time,Utah,pts.away,score,pts.home,Indiana
5:08.0,Personal foul by R. Neto (drawn by J. Teague),,64-68,,
5:03.0,,,64-68,,Turnover by M. Turner (bad pass; steal by G. Hayward)
5:00.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,66-68,,
5:00.0,Shooting foul by T. Young (drawn by R. Gobert),,66-68,,
5:00.0,R. Gobert misses free throw 1 of 1,,66-68,,
5:00.0,,,66-68,,Defensive rebound by P. George
4:38.0,,,66-68,,Turnover by P. George (lost ball; steal by R. Neto)
4:33.0,R. Neto misses 2-pt shot from 1 ft (block by J. Teague),,66-68,,
4:32.0,,,66-68,,Defensive rebound by T. Young
4:27.0,,,66-68,,Shooting foul by R. Neto (drawn by J. Teague)
4:27.0,,,66-69,1,J. Teague makes free throw 1 of 2
4:27.0,,,66-70,1,J. Teague makes free throw 2 of 2
4:12.0,,,66-70,,Personal foul by P. George (drawn by B. Diaw)
3:58.0,G. Hayward misses 2-pt shot from 19 ft,,66-70,,
3:57.0,Offensive rebound by B. Diaw,,66-70,,
3:53.0,G. Hayward makes 2-pt shot at rim (assist by B. Diaw),2,68-70,,
3:40.0,,,68-73,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
3:28.0,,,68-73,,Personal foul by T. Young (drawn by B. Diaw)
3:28.0,,,68-73,,M. Ellis enters the game for C. Miles
3:28.0,,,68-73,,L. Allen enters the game for T. Young
3:13.0,B. Diaw misses 2-pt shot from 2 ft,,68-73,,
3:12.0,,,68-73,,Defensive rebound by M. Turner
2:59.0,,,68-75,2,P. George makes 2-pt shot from 19 ft
2:42.0,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert),2,70-75,,
2:28.0,,,70-75,,P. George misses 3-pt shot from 27 ft
2:27.0,,,70-75,,Offensive rebound by M. Turner
2:18.0,,,70-75,,Turnover by P. George (bad pass; steal by R. Neto)
2:13.0,R. Neto misses 2-pt shot from 1 ft,,70-75,,
2:12.0,,,70-75,,Defensive rebound by J. Teague
2:09.0,,,70-75,,Shooting foul by G. Hayward (drawn by J. Teague)
2:09.0,,,70-75,,Indiana full timeout
2:09.0,,,70-76,1,J. Teague makes free throw 1 of 3
2:09.0,,,70-77,1,J. Teague makes free throw 2 of 3
2:09.0,,,70-78,1,J. Teague makes free throw 3 of 3
2:09.0,,,70-75,,G. Robinson enters the game for P. George
2:09.0,J. Johnson enters the game for G. Hayward,,70-75,,
2:09.0,A. Burks enters the game for R. Gobert,,70-75,,
2:09.0,G. Hill enters the game for B. Diaw,,70-75,,
2:09.0,J. Withey enters the game for R. Neto,,70-75,,
2:09.0,,,70-77,,A. Jefferson enters the game for M. Turner
1:53.0,Turnover by J. Withey (bad pass; steal by J. Teague),,70-78,,
1:26.0,,,70-78,,A. Jefferson misses 2-pt shot from 12 ft
1:25.0,Defensive rebound by G. Hill,,70-78,,
1:20.0,A. Burks misses 2-pt shot from 1 ft (block by G. Robinson),,70-78,,
1:18.0,Offensive rebound by G. Hill,,70-78,,
1:08.0,G. Hill misses 2-pt shot from 19 ft,,70-78,,
1:07.0,,,70-78,,Defensive rebound by J. Teague
0:51.0,,,70-78,,G. Robinson misses 2-pt shot from 6 ft
0:49.0,,,70-78,,Offensive rebound by A. Jefferson
0:36.0,,,70-78,,J. Teague misses 2-pt shot from 1 ft (block by J. Ingles)
0:36.0,,,70-78,,Offensive rebound by Team
0:36.0,,,70-78,,A. Brooks enters the game for J. Teague
0:26.0,,,70-80,2,M. Ellis makes 2-pt shot from 2 ft
0:03.0,G. Hill misses 3-pt shot from 29 ft (block by L. Allen),,70-80,,
0:02.0,,,70-80,,Defensive rebound by G. Robinson
0:00.0,,,70-80,,G. Robinson misses 3-pt shot from 34 ft
0:00.0,,,70-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-82,2,A. Jefferson makes 2-pt shot at rim
11:24.0,J. Johnson misses 2-pt shot from 20 ft,,70-82,,
11:23.0,,,70-82,,Defensive rebound by L. Allen
11:13.0,,,70-82,,A. Jefferson misses 2-pt shot from 14 ft
11:12.0,Defensive rebound by J. Ingles,,70-82,,
11:07.0,G. Hill makes 2-pt shot from 1 ft (assist by J. Ingles),2,72-82,,
11:07.0,Shooting foul by L. Allen (drawn by G. Hill),,72-82,,
11:07.0,G. Hill makes free throw 1 of 1,1,73-82,,
10:54.0,,,73-84,2,M. Ellis makes 2-pt shot from 3 ft
10:30.0,G. Hill misses 2-pt shot from 3 ft,,73-84,,
10:30.0,,,73-84,,Defensive rebound by A. Jefferson
10:18.0,,,73-86,2,A. Jefferson makes 2-pt shot from 8 ft (assist by M. Ellis)
9:54.0,A. Burks makes 2-pt shot from 12 ft,2,75-86,,
9:33.0,,,75-86,,M. Ellis misses 2-pt shot at rim
9:33.0,Defensive rebound by A. Burks,,75-86,,
9:28.0,A. Burks makes 2-pt shot from 3 ft,2,77-86,,
9:28.0,Shooting foul by A. Jefferson (drawn by A. Burks),,77-86,,
9:28.0,A. Burks makes free throw 1 of 1,1,78-86,,
9:14.0,Personal foul by J. Ingles (drawn by G. Robinson),,78-86,,
9:06.0,,,78-86,,A. Jefferson misses 2-pt shot from 6 ft
9:05.0,Defensive rebound by J. Withey,,78-86,,
8:57.0,G. Hill makes 2-pt shot from 1 ft,2,80-86,,
8:49.0,,,80-86,,Indiana full timeout
8:49.0,,,80-86,,M. Turner enters the game for L. Allen
8:49.0,,,80-86,,T. Young enters the game for A. Jefferson
8:49.0,,,80-86,,P. George enters the game for G. Robinson
8:49.0,G. Hayward enters the game for J. Johnson,,80-86,,
8:49.0,B. Diaw enters the game for J. Ingles,,80-86,,
8:49.0,R. Gobert enters the game for J. Withey,,80-86,,
8:29.0,,,80-86,,M. Ellis misses 3-pt shot from 27 ft
8:29.0,,,80-86,,Offensive rebound by Team
8:29.0,,,80-86,,Turnover by Team (shot clock)
8:12.0,G. Hill makes 2-pt shot from 12 ft,2,82-86,,
7:54.0,,,82-86,,Shooting foul by R. Gobert (drawn by M. Turner)
7:54.0,,,82-87,1,M. Turner makes free throw 1 of 2
7:54.0,,,82-88,1,M. Turner makes free throw 2 of 2
7:54.0,,,82-87,,J. Teague enters the game for A. Brooks
7:54.0,R. Hood enters the game for A. Burks,,82-87,,
7:30.0,G. Hayward misses 2-pt shot from 12 ft,,82-88,,
7:30.0,,,82-88,,Defensive rebound by P. George
7:14.0,,,82-90,2,P. George makes 2-pt shot from 14 ft
6:58.0,R. Hood misses 3-pt shot from 25 ft,,82-90,,
6:57.0,Offensive rebound by R. Gobert,,82-90,,
6:52.0,R. Hood makes 2-pt shot from 2 ft (assist by R. Gobert),2,84-90,,
6:40.0,Def 3 sec tech foul by R. Gobert,,84-90,,
6:40.0,,,84-91,1,P. George makes technical free throw
6:37.0,,,84-91,,P. George misses 2-pt shot from 18 ft
6:37.0,Defensive rebound by B. Diaw,,84-91,,
6:26.0,,,84-91,,Personal foul by P. George (drawn by G. Hayward)
6:11.0,R. Hood misses 2-pt shot from 18 ft,,84-91,,
6:11.0,,,84-91,,Defensive rebound by P. George
5:58.0,,,84-93,2,J. Teague makes 2-pt shot from 2 ft
5:58.0,,,84-93,,Shooting foul by R. Hood (drawn by J. Teague)
5:58.0,Official timeout,,84-93,,
5:58.0,,,84-94,1,J. Teague makes free throw 1 of 1
5:58.0,J. Ingles enters the game for R. Hood,,84-93,,
5:58.0,J. Johnson enters the game for B. Diaw,,84-93,,
5:44.0,G. Hayward makes 2-pt shot from 3 ft (assist by J. Johnson),2,86-94,,
5:17.0,,,86-94,,T. Young misses 2-pt shot from 3 ft
5:17.0,Defensive rebound by R. Gobert,,86-94,,
5:03.0,G. Hill misses 3-pt shot from 26 ft,,86-94,,
5:03.0,,,86-94,,Defensive rebound by P. George
4:56.0,,,86-96,2,M. Turner makes 2-pt shot from 4 ft (assist by T. Young)
4:38.0,Shooting foul by M. Turner (drawn by R. Gobert),,86-96,,
4:38.0,R. Gobert makes free throw 1 of 2,1,87-96,,
4:38.0,R. Gobert makes free throw 2 of 2,1,88-96,,
4:23.0,,,88-98,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
4:07.0,Shooting foul by M. Turner (drawn by G. Hayward),,88-98,,
4:07.0,G. Hayward misses free throw 1 of 2,,88-98,,
4:07.0,Offensive rebound by Team,,88-98,,
4:07.0,G. Hayward makes free throw 2 of 2,1,89-98,,
3:49.0,,,89-98,,M. Ellis misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by R. Gobert,,89-98,,
3:42.0,J. Ingles misses 3-pt shot from 25 ft,,89-98,,
3:41.0,,,89-98,,Defensive rebound by J. Teague
3:18.0,,,89-100,2,T. Young makes 2-pt shot from 1 ft
3:16.0,Utah full timeout,,89-100,,
3:16.0,,,89-100,,C. Miles enters the game for M. Ellis
3:07.0,J. Ingles makes 3-pt shot from 26 ft (assist by G. Hill),3,92-100,,
2:44.0,,,92-100,,M. Turner misses 2-pt shot from 6 ft (block by R. Gobert)
2:43.0,Defensive rebound by J. Ingles,,92-100,,
2:35.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,95-100,,
2:18.0,,,95-100,,P. George misses 2-pt shot from 18 ft (block by R. Gobert)
2:16.0,Defensive rebound by J. Ingles,,95-100,,
