time,Denver,pts.away,score,pts.home,Chicago
3:55.0,J. Murray enters the game for J. Nelson,,17-16,,
3:46.0,,,17-16,,J. Butler misses 2-pt shot from 7 ft
3:44.0,,,17-16,,Offensive rebound by J. Butler
3:37.0,,,17-16,,R. Lopez misses 2-pt shot from 8 ft
3:35.0,,,17-16,,Offensive rebound by R. Lopez
3:31.0,,,17-18,2,R. Lopez makes 2-pt shot from 6 ft
3:23.0,N. Jokic makes 3-pt shot from 25 ft (assist by M. Plumlee),3,20-18,,
3:05.0,,,20-18,,R. Lopez misses 2-pt shot from 20 ft
3:04.0,,,20-18,,Offensive rebound by J. Butler
2:58.0,,,20-18,,N. Mirotic misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by M. Plumlee,,20-18,,
2:49.0,W. Chandler misses 3-pt shot from 24 ft,,20-18,,
2:47.0,,,20-18,,Defensive rebound by D. Valentine
2:42.0,,,20-18,,J. Butler misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by W. Barton,,20-18,,
2:40.0,,,20-18,,Personal foul by R. Lopez (drawn by W. Barton)
2:40.0,Denver full timeout,,20-18,,
2:40.0,G. Harris enters the game for W. Chandler,,20-18,,
2:40.0,D. Gallinari enters the game for N. Jokic,,20-18,,
2:30.0,W. Barton misses 2-pt shot from 14 ft,,20-18,,
2:29.0,,,20-18,,Defensive rebound by D. Valentine
2:05.0,,,20-18,,D. Valentine misses 3-pt shot from 27 ft
2:04.0,Defensive rebound by M. Plumlee,,20-18,,
1:46.0,M. Plumlee misses 2-pt shot from 2 ft (block by R. Lopez),,20-18,,
1:45.0,,,20-18,,Defensive rebound by R. Rondo
1:31.0,,,20-20,2,R. Rondo makes 2-pt shot from 2 ft (assist by R. Lopez)
1:14.0,W. Barton misses 3-pt shot from 25 ft,,20-20,,
1:13.0,,,20-20,,Defensive rebound by R. Rondo
1:00.0,,,20-23,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Butler)
0:53.0,J. Murray makes 2-pt shot from 1 ft,2,22-23,,
0:40.0,,,22-25,2,R. Rondo makes 2-pt shot from 3 ft
0:30.0,J. Murray misses 3-pt shot from 25 ft,,22-25,,
0:30.0,,,22-25,,Defensive rebound by Team
0:25.0,,,22-25,,R. Rondo misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by W. Barton,,22-25,,
0:06.0,W. Barton misses 2-pt shot from 6 ft,,22-25,,
0:05.0,Offensive rebound by Team,,22-25,,
0:02.0,D. Gallinari misses 2-pt shot from 18 ft,,22-25,,
0:01.0,,,22-25,,Defensive rebound by R. Rondo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,22-27,2,C. Felicio makes 2-pt shot at rim (assist by R. Rondo)
11:27.0,Shooting foul by C. Payne (drawn by J. Murray),,22-27,,
11:27.0,J. Murray makes free throw 1 of 2,1,23-27,,
11:27.0,J. Murray makes free throw 2 of 2,1,24-27,,
11:13.0,,,24-27,,Turnover by N. Mirotic (bad pass; steal by W. Barton)
11:10.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,26-27,,
10:50.0,,,26-29,2,D. Valentine makes 2-pt shot from 11 ft
10:36.0,Turnover by J. Murray (bad pass; steal by R. Rondo),,26-29,,
10:33.0,,,26-29,,Shooting foul by J. Murray (drawn by R. Rondo)
10:33.0,,,26-30,1,R. Rondo makes free throw 1 of 2
10:33.0,,,26-31,1,R. Rondo makes free throw 2 of 2
10:20.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray),2,28-31,,
10:03.0,,,28-31,,C. Payne misses 2-pt shot from 9 ft
10:02.0,,,28-31,,Offensive rebound by C. Payne
10:00.0,,,28-31,,C. Payne misses 2-pt shot from 7 ft
9:59.0,Defensive rebound by J. Murray,,28-31,,
9:51.0,M. Plumlee makes 2-pt shot from 17 ft (assist by J. Murray),2,30-31,,
9:41.0,,,30-33,2,R. Rondo makes 2-pt shot from 7 ft
9:28.0,J. Murray makes 2-pt shot from 17 ft,2,32-33,,
9:19.0,Def 3 sec tech foul by J. Murray,,32-33,,
9:19.0,,,32-34,1,N. Mirotic makes technical free throw
9:13.0,,,32-34,,R. Rondo misses 2-pt shot from 2 ft
9:13.0,,,32-34,,Offensive rebound by C. Felicio
9:13.0,,,32-36,2,C. Felicio makes 2-pt shot from 1 ft
9:13.0,,,32-36,,Shooting foul by G. Harris (drawn by C. Felicio)
9:13.0,,,32-36,,C. Felicio misses free throw 1 of 1
9:11.0,Defensive rebound by M. Plumlee,,32-36,,
9:03.0,J. Murray makes 3-pt shot from 26 ft (assist by W. Barton),3,35-36,,
8:44.0,,,35-36,,D. Valentine misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by J. Murray,,35-36,,
8:39.0,J. Murray misses 2-pt shot from 2 ft (block by N. Mirotic),,35-36,,
8:39.0,Offensive rebound by Team,,35-36,,
8:39.0,Denver full timeout,,35-36,,
8:33.0,W. Barton misses 2-pt shot from 6 ft,,35-36,,
8:32.0,,,35-36,,Defensive rebound by N. Mirotic
8:28.0,,,35-38,2,R. Rondo makes 2-pt shot from 1 ft
8:07.0,Turnover by W. Barton (lost ball; steal by R. Rondo),,35-38,,
8:00.0,,,35-40,2,C. Felicio makes 2-pt shot from 1 ft (assist by N. Mirotic)
8:00.0,,,35-40,,Shooting foul by M. Plumlee (drawn by C. Felicio)
8:00.0,Denver full timeout,,35-40,,
8:00.0,,,35-41,1,C. Felicio makes free throw 1 of 1
8:00.0,J. Hernangomez enters the game for G. Harris,,35-40,,
8:00.0,,,35-40,,D. Wade enters the game for C. Payne
7:39.0,M. Plumlee misses 2-pt shot from 7 ft,,35-41,,
7:38.0,,,35-41,,Defensive rebound by D. Wade
7:34.0,,,35-43,2,C. Felicio makes 2-pt shot at rim (assist by R. Rondo)
7:14.0,D. Gallinari misses 2-pt shot from 20 ft,,35-43,,
7:13.0,Offensive rebound by D. Gallinari,,35-43,,
7:11.0,Shooting foul by C. Felicio (drawn by D. Gallinari),,35-43,,
7:11.0,D. Gallinari makes free throw 1 of 2,1,36-43,,
7:11.0,D. Gallinari makes free throw 2 of 2,1,37-43,,
7:11.0,N. Jokic enters the game for M. Plumlee,,36-43,,
7:11.0,J. Nelson enters the game for J. Murray,,36-43,,
6:57.0,,,37-45,2,D. Valentine makes 2-pt shot from 2 ft
6:41.0,Shooting foul by C. Felicio (drawn by D. Gallinari),,37-45,,
6:41.0,D. Gallinari misses free throw 1 of 2,,37-45,,
6:41.0,Offensive rebound by Team,,37-45,,
6:41.0,D. Gallinari makes free throw 2 of 2,1,38-45,,
6:41.0,G. Harris enters the game for W. Barton,,37-45,,
6:41.0,,,37-45,,J. Butler enters the game for R. Rondo
6:41.0,,,37-45,,C. Payne enters the game for D. Valentine
6:23.0,,,38-47,2,D. Wade makes 2-pt shot from 14 ft
6:02.0,G. Harris misses 3-pt shot from 27 ft,,38-47,,
6:01.0,,,38-47,,Defensive rebound by C. Payne
5:52.0,,,38-47,,C. Payne misses 3-pt shot from 24 ft
5:51.0,,,38-47,,Offensive rebound by D. Wade
5:49.0,,,38-47,,D. Wade misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by N. Jokic,,38-47,,
5:38.0,G. Harris misses 3-pt shot from 26 ft,,38-47,,
5:37.0,,,38-47,,Defensive rebound by D. Wade
5:26.0,,,38-47,,J. Butler misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by N. Jokic,,38-47,,
5:07.0,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris),3,41-47,,
4:52.0,Personal foul by J. Hernangomez,,41-47,,
4:52.0,W. Chandler enters the game for D. Gallinari,,41-47,,
4:44.0,,,41-47,,C. Payne misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by W. Chandler,,41-47,,
4:33.0,N. Jokic makes 3-pt shot from 26 ft,3,44-47,,
4:30.0,,,44-47,,Chicago full timeout
4:30.0,,,44-47,,R. Lopez enters the game for C. Felicio
4:17.0,,,44-47,,D. Wade misses 2-pt shot from 4 ft
4:15.0,,,44-47,,Offensive rebound by J. Butler
4:15.0,,,44-49,2,J. Butler makes 2-pt shot from 1 ft
3:56.0,W. Chandler makes 2-pt shot from 16 ft,2,46-49,,
3:30.0,,,46-49,,R. Lopez misses 2-pt shot from 6 ft
3:29.0,,,46-49,,Offensive rebound by R. Lopez
3:27.0,,,46-49,,Turnover by R. Lopez (lost ball; steal by G. Harris)
3:22.0,G. Harris makes 2-pt shot from 12 ft,2,48-49,,
3:01.0,,,48-51,2,D. Wade makes 2-pt shot from 14 ft
2:48.0,Shooting foul by R. Lopez,,48-51,,
2:48.0,J. Hernangomez makes free throw 1 of 2,1,49-51,,
2:48.0,J. Hernangomez makes free throw 2 of 2,1,50-51,,
2:48.0,,,49-51,,R. Rondo enters the game for C. Payne
2:32.0,,,50-51,,Turnover by D. Wade (lost ball; steal by G. Harris)
2:32.0,Turnover by J. Hernangomez (lost ball),,50-51,,
2:32.0,D. Gallinari enters the game for J. Hernangomez,,50-51,,
2:20.0,,,50-51,,R. Rondo misses 2-pt shot from 2 ft
2:19.0,Defensive rebound by N. Jokic,,50-51,,
2:09.0,J. Nelson makes 2-pt shot from 20 ft,2,52-51,,
1:50.0,,,52-51,,R. Lopez misses 2-pt shot from 6 ft
1:49.0,Defensive rebound by J. Nelson,,52-51,,
1:45.0,,,52-51,,Personal foul by R. Rondo (drawn by W. Chandler)
1:45.0,W. Chandler makes free throw 1 of 2,1,53-51,,
1:45.0,W. Chandler makes free throw 2 of 2,1,54-51,,
1:45.0,,,53-51,,B. Portis enters the game for N. Mirotic
1:32.0,,,54-53,2,D. Wade makes 2-pt shot at rim (assist by R. Rondo)
1:17.0,Turnover by J. Nelson (traveling),,54-53,,
1:10.0,Personal foul by J. Nelson (drawn by J. Butler),,54-53,,
1:10.0,,,54-54,1,J. Butler makes free throw 1 of 2
1:10.0,,,54-55,1,J. Butler makes free throw 2 of 2
1:00.0,J. Nelson makes 2-pt shot from 19 ft (assist by N. Jokic),2,56-55,,
0:42.0,,,56-55,,R. Rondo misses 2-pt shot from 3 ft
0:42.0,,,56-55,,Offensive rebound by R. Lopez
0:42.0,,,56-57,2,R. Lopez makes 2-pt shot from 1 ft
0:25.0,N. Jokic misses 2-pt shot from 9 ft (block by R. Lopez),,56-57,,
0:24.0,,,56-57,,Defensive rebound by B. Portis
0:20.0,,,56-59,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
0:03.0,Turnover by W. Chandler (lost ball; steal by J. Butler),,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,56-59,,R. Lopez misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by N. Jokic,,56-59,,
11:31.0,G. Harris makes 2-pt shot from 11 ft (assist by N. Jokic),2,58-59,,
11:13.0,,,58-59,,Shooting foul by J. Nelson (drawn by J. Grant)
11:13.0,,,58-60,1,J. Grant makes free throw 1 of 2
11:13.0,,,58-61,1,J. Grant makes free throw 2 of 2
11:02.0,G. Harris misses 3-pt shot from 25 ft,,58-61,,
11:01.0,,,58-61,,Defensive rebound by J. Butler
10:48.0,,,58-63,2,J. Butler makes 2-pt shot from 8 ft
10:25.0,D. Gallinari makes 2-pt shot from 3 ft,2,60-63,,
10:08.0,,,60-66,3,B. Portis makes 3-pt shot from 23 ft (assist by R. Lopez)
9:52.0,N. Jokic misses 2-pt shot from 5 ft,,60-66,,
9:52.0,,,60-66,,Defensive rebound by Team
9:38.0,,,60-68,2,R. Lopez makes 2-pt shot from 19 ft (assist by D. Wade)
9:37.0,Denver full timeout,,60-68,,
9:26.0,Shooting foul by B. Portis (drawn by W. Chandler),,60-68,,
9:26.0,W. Chandler makes free throw 1 of 2,1,61-68,,
9:26.0,W. Chandler makes free throw 2 of 2,1,62-68,,
9:09.0,,,62-70,2,B. Portis makes 2-pt shot from 15 ft (assist by D. Wade)
8:52.0,W. Chandler misses 2-pt shot from 12 ft,,62-70,,
8:51.0,Offensive rebound by W. Chandler,,62-70,,
8:45.0,J. Nelson misses 3-pt shot from 26 ft,,62-70,,
8:44.0,Offensive rebound by G. Harris,,62-70,,
8:34.0,W. Chandler makes 2-pt shot from 20 ft,2,64-70,,
8:16.0,,,64-70,,R. Lopez misses 2-pt shot from 21 ft
8:14.0,Defensive rebound by W. Chandler,,64-70,,
8:01.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,66-70,,
7:39.0,,,66-70,,R. Lopez misses 2-pt shot from 7 ft (block by N. Jokic)
7:37.0,Defensive rebound by G. Harris,,66-70,,
7:35.0,,,66-70,,Personal foul by B. Portis (drawn by N. Jokic)
7:32.0,G. Harris misses 2-pt shot from 1 ft,,66-70,,
7:31.0,,,66-70,,Defensive rebound by B. Portis
7:22.0,Personal foul by D. Gallinari (drawn by J. Butler),,66-70,,
7:06.0,,,66-72,2,J. Grant makes 2-pt shot from 22 ft
7:01.0,Turnover by J. Nelson (step out of bounds),,66-72,,
6:46.0,,,66-72,,J. Butler misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by N. Jokic,,66-72,,
6:36.0,Shooting foul by R. Lopez (drawn by W. Chandler),,66-72,,
6:36.0,W. Chandler makes free throw 1 of 2,1,67-72,,
6:36.0,W. Chandler makes free throw 2 of 2,1,68-72,,
6:20.0,,,68-72,,D. Wade misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by G. Harris,,68-72,,
6:10.0,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson),3,71-72,,
6:10.0,,,71-72,,Chicago full timeout
6:10.0,,,71-72,,R. Rondo enters the game for D. Wade
6:10.0,,,71-72,,D. Valentine enters the game for J. Grant
6:10.0,M. Plumlee enters the game for D. Gallinari,,71-72,,
6:10.0,W. Barton enters the game for G. Harris,,71-72,,
6:01.0,Personal foul by W. Chandler (drawn by J. Butler),,71-72,,
5:51.0,,,71-72,,B. Portis misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by W. Barton,,71-72,,
5:38.0,Offensive foul by M. Plumlee,,71-72,,
5:38.0,Turnover by M. Plumlee (offensive foul),,71-72,,
5:21.0,,,71-75,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Valentine)
5:00.0,W. Barton makes 2-pt shot from 7 ft,2,73-75,,
4:44.0,,,73-75,,J. Butler misses 2-pt shot from 12 ft
4:42.0,Defensive rebound by N. Jokic,,73-75,,
4:26.0,W. Chandler misses 2-pt shot from 18 ft,,73-75,,
4:25.0,,,73-75,,Defensive rebound by D. Valentine
4:21.0,,,73-75,,Turnover by D. Valentine (bad pass)
4:06.0,J. Nelson makes 3-pt shot from 26 ft (assist by N. Jokic),3,76-75,,
3:52.0,,,76-77,2,R. Rondo makes 2-pt shot from 22 ft
3:34.0,W. Barton misses 2-pt shot from 2 ft,,76-77,,
3:32.0,Offensive rebound by N. Jokic,,76-77,,
3:32.0,N. Jokic misses 2-pt shot from 1 ft,,76-77,,
3:31.0,Offensive rebound by N. Jokic,,76-77,,
3:31.0,N. Jokic makes 2-pt shot from 1 ft,2,78-77,,
3:08.0,,,78-79,2,R. Rondo makes 2-pt shot from 15 ft (assist by R. Lopez)
2:58.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,81-79,,
2:30.0,,,81-79,,R. Rondo misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by N. Jokic,,81-79,,
2:21.0,W. Chandler makes 2-pt shot from 5 ft (assist by N. Jokic),2,83-79,,
2:21.0,Shooting foul by R. Rondo (drawn by W. Chandler),,83-79,,
2:21.0,W. Chandler misses free throw 1 of 1,,83-79,,
2:21.0,,,83-79,,C. Felicio enters the game for R. Lopez
2:19.0,,,83-79,,Defensive rebound by B. Portis
2:00.0,,,83-79,,Turnover by C. Felicio (lost ball)
1:45.0,W. Barton misses 3-pt shot from 25 ft,,83-79,,
1:44.0,,,83-79,,Defensive rebound by C. Felicio
1:33.0,,,83-79,,J. Butler misses 2-pt shot from 11 ft
1:32.0,Defensive rebound by N. Jokic,,83-79,,
1:25.0,,,83-79,,Personal foul by D. Valentine (drawn by N. Jokic)
1:25.0,N. Jokic makes free throw 1 of 2,1,84-79,,
1:25.0,N. Jokic makes free throw 2 of 2,1,85-79,,
1:25.0,,,84-79,,N. Mirotic enters the game for B. Portis
1:25.0,J. Murray enters the game for J. Nelson,,84-79,,
1:03.0,,,85-79,,J. Butler misses 2-pt shot from 22 ft
1:02.0,Defensive rebound by M. Plumlee,,85-79,,
0:53.0,,,85-79,,Personal foul by J. Butler (drawn by J. Murray)
0:53.0,J. Murray makes free throw 1 of 2,1,86-79,,
0:53.0,J. Murray makes free throw 2 of 2,1,87-79,,
0:46.0,,,87-81,2,R. Rondo makes 2-pt shot from 2 ft
0:34.0,,,87-81,,Personal foul by N. Mirotic (drawn by M. Plumlee)
0:34.0,N. Jokic makes free throw 1 of 2,1,88-81,,
0:34.0,N. Jokic makes free throw 2 of 2,1,89-81,,
0:25.0,Personal foul by N. Jokic (drawn by J. Butler),,89-81,,
0:14.0,,,89-83,2,N. Mirotic makes 2-pt shot from 11 ft (assist by J. Butler)
0:05.0,W. Barton makes 2-pt shot from 2 ft,2,91-83,,
0:00.0,,,91-83,,J. Butler misses 3-pt shot from 42 ft
0:00.0,,,91-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by W. Barton (bad pass; steal by R. Rondo),,91-83,,
11:26.0,,,91-83,,C. Payne misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by M. Plumlee,,91-83,,
11:21.0,,,91-83,,Personal foul by N. Mirotic (drawn by M. Plumlee)
11:12.0,Shooting foul by N. Mirotic (drawn by D. Gallinari),,91-83,,
11:12.0,D. Gallinari makes free throw 1 of 2,1,92-83,,
11:12.0,D. Gallinari makes free throw 2 of 2,1,93-83,,
11:01.0,,,93-83,,C. Payne misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by M. Plumlee,,93-83,,
10:51.0,J. Murray misses 2-pt shot from 3 ft,,93-83,,
10:51.0,,,93-83,,Defensive rebound by Team
10:51.0,Loose ball foul by M. Plumlee (drawn by N. Mirotic),,93-83,,
10:37.0,,,93-83,,R. Rondo misses 2-pt shot from 13 ft
10:36.0,Defensive rebound by W. Barton,,93-83,,
10:28.0,D. Gallinari makes 3-pt shot from 25 ft (assist by M. Plumlee),3,96-83,,
10:28.0,,,96-83,,Chicago full timeout
10:28.0,,,96-83,,D. Wade enters the game for C. Payne
10:14.0,,,96-83,,Turnover by R. Rondo (bad pass)
10:01.0,D. Gallinari makes 3-pt shot from 27 ft (assist by M. Plumlee),3,99-83,,
9:44.0,,,99-86,3,D. Wade makes 3-pt shot from 25 ft (assist by N. Mirotic)
9:27.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray),2,101-86,,
9:16.0,,,101-89,3,N. Mirotic makes 3-pt shot from 27 ft (assist by R. Rondo)
9:02.0,J. Murray misses 3-pt shot from 25 ft,,101-89,,
9:01.0,,,101-89,,Defensive rebound by D. Valentine
8:54.0,,,101-89,,D. Valentine misses 3-pt shot from 26 ft
8:53.0,,,101-89,,Offensive rebound by C. Felicio
8:50.0,,,101-89,,D. Valentine misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by W. Barton,,101-89,,
8:41.0,W. Barton makes 3-pt shot from 25 ft,3,104-89,,
8:30.0,,,104-89,,Offensive charge foul by D. Valentine
8:30.0,,,104-89,,Turnover by D. Valentine (offensive foul)
8:30.0,,,104-89,,J. Butler enters the game for C. Felicio
8:09.0,D. Gallinari makes 3-pt shot from 25 ft (assist by M. Plumlee),3,107-89,,
7:49.0,,,107-89,,N. Mirotic misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by W. Barton,,107-89,,
7:45.0,Offensive charge foul by W. Barton,,107-89,,
7:45.0,Turnover by W. Barton (offensive foul),,107-89,,
7:30.0,,,107-89,,Turnover by N. Mirotic (lost ball; steal by M. Plumlee)
7:25.0,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris),3,110-89,,
7:25.0,,,110-89,,Chicago full timeout
7:25.0,,,110-89,,C. Payne enters the game for R. Rondo
7:25.0,,,110-89,,B. Portis enters the game for N. Mirotic
7:15.0,,,110-91,2,D. Wade makes 2-pt shot from 3 ft (assist by C. Payne)
7:15.0,,,110-91,,Shooting foul by M. Plumlee (drawn by D. Wade)
7:15.0,,,110-92,1,D. Wade makes free throw 1 of 1
6:50.0,D. Gallinari misses 3-pt shot from 27 ft,,110-92,,
6:50.0,Offensive rebound by G. Harris,,110-92,,
6:50.0,,,110-92,,Personal foul by D. Valentine (drawn by G. Harris)
6:41.0,W. Barton misses 3-pt shot from 24 ft,,110-92,,
6:40.0,,,110-92,,Defensive rebound by D. Valentine
6:33.0,,,110-92,,D. Wade misses 2-pt shot from 7 ft
6:32.0,Defensive rebound by D. Gallinari,,110-92,,
6:06.0,J. Murray misses 3-pt shot from 25 ft,,110-92,,
6:05.0,,,110-92,,Defensive rebound by D. Valentine
5:58.0,,,110-92,,Offensive foul by B. Portis
5:58.0,,,110-92,,Turnover by B. Portis (offensive foul)
5:58.0,N. Jokic enters the game for M. Plumlee,,110-92,,
5:58.0,J. Nelson enters the game for J. Murray,,110-92,,
5:43.0,W. Barton makes 2-pt shot from 2 ft (assist by G. Harris),2,112-92,,
5:34.0,,,112-92,,Turnover by D. Valentine (step out of bounds)
5:19.0,G. Harris makes 2-pt shot from 2 ft,2,114-92,,
5:07.0,,,114-92,,B. Portis misses 2-pt shot from 19 ft
5:06.0,Defensive rebound by N. Jokic,,114-92,,
4:52.0,Turnover by N. Jokic (bad pass; steal by J. Butler),,114-92,,
4:46.0,,,114-95,3,D. Wade makes 3-pt shot from 25 ft (assist by J. Butler)
4:24.0,W. Barton makes 2-pt shot from 5 ft,2,116-95,,
4:15.0,,,116-95,,C. Payne misses 2-pt shot from 2 ft
4:15.0,,,116-95,,Offensive rebound by Team
4:15.0,W. Chandler enters the game for D. Gallinari,,116-95,,
4:08.0,,,116-95,,Turnover by D. Wade (bad pass; steal by W. Barton)
4:05.0,W. Barton makes 2-pt shot from 2 ft,2,118-95,,
4:05.0,,,118-95,,Chicago full timeout
4:05.0,,,118-95,,A. Morrow enters the game for J. Butler
4:05.0,,,118-95,,J. Lauvergne enters the game for D. Wade
3:45.0,,,118-98,3,C. Payne makes 3-pt shot from 26 ft
3:22.0,N. Jokic misses 2-pt shot from 14 ft,,118-98,,
3:21.0,,,118-98,,Defensive rebound by B. Portis
3:12.0,,,118-100,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by C. Payne)
2:54.0,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic),3,121-100,,
2:31.0,,,121-102,2,B. Portis makes 2-pt shot from 2 ft
2:09.0,W. Chandler misses 3-pt shot from 27 ft,,121-102,,
2:08.0,,,121-102,,Defensive rebound by D. Valentine
1:58.0,,,121-102,,B. Portis misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by W. Barton,,121-102,,
1:48.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,123-102,,
1:45.0,Personal take foul by J. Nelson (drawn by C. Payne),,123-102,,
1:45.0,M. Miller enters the game for W. Chandler,,123-102,,
1:45.0,J. Hernangomez enters the game for N. Jokic,,123-102,,
1:45.0,J. Murray enters the game for G. Harris,,123-102,,
1:45.0,R. Hibbert enters the game for J. Nelson,,123-102,,
