time,Orlando,pts.away,score,pts.home,Detroit
5:02.0,,,71-65,,T. Harris misses 2-pt shot from 15 ft
5:01.0,Defensive rebound by D. Augustin,,71-65,,
4:55.0,D. Augustin makes 3-pt shot from 26 ft,3,74-65,,
4:39.0,,,74-65,,T. Harris misses 2-pt shot from 13 ft
4:39.0,Defensive rebound by Team,,74-65,,
4:39.0,,,74-65,,Loose ball foul by A. Drummond (drawn by N. Vucevic)
4:39.0,,,74-65,,J. Leuer enters the game for T. Harris
4:26.0,N. Vucevic misses 2-pt shot from 18 ft,,74-65,,
4:25.0,,,74-65,,Defensive rebound by M. Morris
4:14.0,,,74-65,,I. Smith misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by S. Ibaka,,74-65,,
4:04.0,D. Augustin misses 3-pt shot from 26 ft,,74-65,,
4:04.0,,,74-65,,Defensive rebound by J. Leuer
3:45.0,J. Green enters the game for N. Vucevic,,74-65,,
3:44.0,,,74-65,,Turnover by K. Caldwell-Pope (lost ball)
3:44.0,Jump ball: K. Caldwell-Pope vs. E. Fournier (J. Green gains possession),,,,Jump ball: K. Caldwell-Pope vs. E. Fournier (J. Green gains possession)
3:24.0,S. Ibaka makes 2-pt shot from 17 ft,2,76-65,,
3:10.0,,,76-65,,Turnover by J. Leuer (bad pass; steal by E. Fournier)
3:03.0,Turnover by E. Fournier (bad pass; steal by M. Morris),,76-65,,
2:50.0,,,76-65,,Shooting foul by D. Augustin (drawn by M. Morris)
2:50.0,,,76-65,,Detroit full timeout
2:50.0,,,76-66,1,M. Morris makes free throw 1 of 2
2:50.0,,,76-67,1,M. Morris makes free throw 2 of 2
2:50.0,E. Payton enters the game for D. Augustin,,76-65,,
2:50.0,,,76-65,,A. Baynes enters the game for A. Drummond
2:34.0,E. Payton misses 2-pt shot from 6 ft,,76-67,,
2:32.0,,,76-67,,Defensive rebound by J. Leuer
2:25.0,,,76-67,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:24.0,Defensive rebound by A. Gordon,,76-67,,
2:15.0,A. Gordon makes 2-pt shot at rim (assist by E. Fournier),2,78-67,,
2:15.0,Shooting foul by I. Smith (drawn by A. Gordon),,78-67,,
2:15.0,A. Gordon misses free throw 1 of 1,,78-67,,
2:14.0,,,78-67,,Defensive rebound by M. Morris
1:54.0,,,78-69,2,J. Leuer makes 2-pt shot from 7 ft
1:42.0,J. Green misses 2-pt shot from 15 ft,,78-69,,
1:41.0,,,78-69,,Defensive rebound by K. Caldwell-Pope
1:26.0,,,78-71,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris)
1:09.0,J. Green misses 2-pt shot from 6 ft,,78-71,,
1:08.0,,,78-71,,Defensive rebound by J. Leuer
1:04.0,,,78-71,,I. Smith misses 2-pt shot from 3 ft (block by S. Ibaka)
1:04.0,,,78-71,,Offensive rebound by Team
1:04.0,N. Vucevic enters the game for S. Ibaka,,78-71,,
1:00.0,,,78-73,2,I. Smith makes 2-pt shot from 7 ft
0:40.0,N. Vucevic misses 2-pt shot from 18 ft,,78-73,,
0:39.0,,,78-73,,Defensive rebound by K. Caldwell-Pope
0:28.0,,,78-73,,A. Baynes misses 2-pt shot from 1 ft (block by N. Vucevic)
0:26.0,Defensive rebound by N. Vucevic,,78-73,,
0:20.0,E. Fournier misses 2-pt shot from 4 ft,,78-73,,
0:19.0,,,78-73,,Defensive rebound by J. Leuer
0:01.0,,,78-73,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,78-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,78-73,,R. Jackson misses 2-pt shot from 18 ft
11:35.0,,,78-73,,Offensive rebound by Team
11:35.0,,,78-73,,Turnover by Team (shot clock)
11:23.0,J. Meeks misses 2-pt shot from 18 ft,,78-73,,
11:22.0,,,78-73,,Defensive rebound by A. Baynes
11:12.0,,,78-73,,J. Leuer misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by J. Green,,78-73,,
10:55.0,N. Vucevic misses 2-pt shot from 12 ft,,78-73,,
10:53.0,,,78-73,,Defensive rebound by A. Baynes
10:52.0,,,78-73,,Shooting foul by J. Green (drawn by J. Leuer)
10:52.0,,,78-74,1,J. Leuer makes free throw 1 of 2
10:52.0,,,78-74,,J. Leuer misses free throw 2 of 2
10:51.0,Defensive rebound by N. Vucevic,,78-74,,
10:37.0,E. Payton makes 2-pt shot at rim (assist by J. Green),2,80-74,,
10:37.0,Shooting foul by J. Leuer (drawn by E. Payton),,80-74,,
10:37.0,E. Payton misses free throw 1 of 1,,80-74,,
10:35.0,,,80-74,,Defensive rebound by A. Baynes
10:18.0,,,80-76,2,R. Jackson makes 2-pt shot from 17 ft
10:03.0,E. Payton makes 2-pt shot from 8 ft,2,82-76,,
9:57.0,,,82-76,,Turnover by R. Jackson (traveling)
9:43.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,84-76,,
9:29.0,,,84-76,,J. Leuer misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by B. Biyombo,,84-76,,
9:11.0,N. Vucevic makes 2-pt shot from 8 ft (assist by J. Meeks),2,86-76,,
9:11.0,,,86-76,,Detroit full timeout
8:51.0,,,86-76,,D. Hilliard misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by B. Biyombo,,86-76,,
8:26.0,N. Vucevic misses 2-pt shot from 18 ft,,86-76,,
8:26.0,,,86-76,,Defensive rebound by A. Baynes
8:19.0,,,86-76,,D. Hilliard misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by B. Biyombo,,86-76,,
8:05.0,J. Meeks misses 3-pt shot from 24 ft,,86-76,,
8:04.0,Offensive rebound by J. Meeks,,86-76,,
7:58.0,J. Green misses 3-pt shot from 26 ft,,86-76,,
7:58.0,Offensive rebound by Team,,86-76,,
7:58.0,,,86-76,,A. Drummond enters the game for A. Baynes
7:58.0,,,86-76,,K. Caldwell-Pope enters the game for D. Hilliard
7:54.0,J. Meeks misses 2-pt shot from 9 ft,,86-76,,
7:53.0,,,86-76,,Defensive rebound by T. Harris
7:37.0,,,86-78,2,A. Drummond makes 2-pt shot from 6 ft (assist by J. Leuer)
7:18.0,E. Payton misses 2-pt shot from 8 ft (block by J. Leuer),,86-78,,
7:17.0,,,86-78,,Defensive rebound by A. Drummond
6:50.0,,,86-80,2,R. Jackson makes 2-pt shot at rim
6:36.0,J. Meeks misses 3-pt shot from 26 ft,,86-80,,
6:36.0,,,86-80,,Defensive rebound by J. Leuer
6:17.0,,,86-80,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by E. Payton,,86-80,,
6:17.0,Orlando full timeout,,86-80,,
6:17.0,D. Augustin enters the game for E. Payton,,86-80,,
6:17.0,S. Ibaka enters the game for N. Vucevic,,86-80,,
6:17.0,E. Fournier enters the game for J. Meeks,,86-80,,
6:17.0,,,86-80,,I. Smith enters the game for R. Jackson
6:02.0,Shooting foul by I. Smith (drawn by B. Biyombo),,86-80,,
6:02.0,B. Biyombo misses free throw 1 of 2,,86-80,,
6:02.0,Offensive rebound by Team,,86-80,,
6:02.0,B. Biyombo makes free throw 2 of 2,1,87-80,,
5:49.0,,,87-80,,Turnover by A. Drummond (bad pass)
5:49.0,,,87-80,,M. Morris enters the game for T. Harris
5:32.0,S. Ibaka makes 3-pt shot from 26 ft (assist by B. Biyombo),3,90-80,,
5:07.0,,,90-82,2,A. Drummond makes 2-pt shot from 7 ft
4:46.0,D. Augustin makes 2-pt shot from 15 ft,2,92-82,,
4:28.0,,,92-82,,I. Smith misses 3-pt shot from 25 ft
4:27.0,,,92-82,,Offensive rebound by A. Drummond
4:22.0,,,92-82,,A. Drummond misses 2-pt shot from 3 ft (block by S. Ibaka)
4:21.0,Defensive rebound by D. Augustin,,92-82,,
3:59.0,J. Green misses 2-pt shot from 12 ft,,92-82,,
3:59.0,,,92-82,,Defensive rebound by A. Drummond
3:50.0,,,92-82,,J. Leuer misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by B. Biyombo,,92-82,,
3:35.0,E. Fournier makes 3-pt shot from 28 ft (assist by B. Biyombo),3,95-82,,
3:35.0,,,95-82,,Detroit full timeout
3:35.0,,,95-82,,T. Harris enters the game for J. Leuer
3:19.0,,,95-82,,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by B. Biyombo)
3:19.0,,,95-82,,Offensive rebound by Team
3:11.0,,,95-82,,I. Smith misses 2-pt shot from 15 ft
3:11.0,,,95-82,,Offensive rebound by I. Smith
3:05.0,,,95-82,,K. Caldwell-Pope misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by D. Augustin,,95-82,,
2:50.0,Turnover by E. Fournier (bad pass; steal by K. Caldwell-Pope),,95-82,,
2:36.0,,,95-82,,K. Caldwell-Pope misses 2-pt shot from 17 ft
2:36.0,Defensive rebound by S. Ibaka,,95-82,,
2:15.0,Turnover by J. Green (lost ball; steal by M. Morris),,95-82,,
2:09.0,,,95-84,2,T. Harris makes 2-pt shot from 1 ft
1:48.0,,,95-84,,Personal foul by A. Drummond (drawn by S. Ibaka)
1:33.0,Turnover by Team (shot clock),,95-84,,
1:25.0,,,95-87,3,T. Harris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
1:25.0,,,95-87,,Violation by Team (jump ball)
1:25.0,Orlando full timeout,,95-87,,
1:25.0,N. Vucevic enters the game for B. Biyombo,,95-87,,
1:00.0,J. Green misses 2-pt shot from 1 ft,,95-87,,
1:00.0,Offensive rebound by Team,,95-87,,
0:47.0,Turnover by E. Fournier (bad pass; steal by A. Drummond),,95-87,,
0:40.0,,,95-90,3,K. Caldwell-Pope makes 3-pt shot from 23 ft
0:40.0,Orlando full timeout,,95-90,,
0:20.0,J. Green makes 2-pt shot from 13 ft,2,97-90,,
0:20.0,,,97-90,,Detroit full timeout
0:20.0,A. Gordon enters the game for E. Fournier,,97-90,,
0:20.0,B. Biyombo enters the game for D. Augustin,,97-90,,
0:20.0,E. Payton enters the game for N. Vucevic,,97-90,,
0:14.0,,,97-90,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:14.0,,,97-90,,Offensive rebound by K. Caldwell-Pope
0:09.0,,,97-90,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by A. Gordon,,97-90,,
0:06.0,,,97-90,,Personal foul by I. Smith (drawn by A. Gordon)
0:06.0,A. Gordon misses free throw 1 of 2,,97-90,,
0:06.0,Offensive rebound by Team,,97-90,,
0:06.0,A. Gordon makes free throw 2 of 2,1,98-90,,
0:01.0,,,98-92,2,I. Smith makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
