time,Toronto,pts.away,score,pts.home,Miami
6:40.0,,,10-17,3,R. McGruder makes 3-pt shot from 26 ft (assist by G. Dragic)
6:27.0,D. Carroll misses 3-pt shot from 24 ft,,10-17,,
6:26.0,,,10-17,,Defensive rebound by G. Dragic
6:14.0,,,10-17,,H. Whiteside misses 2-pt shot from 2 ft (block by J. Valanciunas)
6:13.0,,,10-17,,Offensive rebound by Team
6:13.0,,,10-17,,W. Reed enters the game for H. Whiteside
6:07.0,,,10-17,,Shooting foul by C. Joseph (drawn by G. Dragic)
6:07.0,,,10-18,1,G. Dragic makes free throw 1 of 2
6:07.0,,,10-19,1,G. Dragic makes free throw 2 of 2
6:07.0,P. Patterson enters the game for P. Tucker,,10-18,,
6:07.0,J. Poeltl enters the game for D. Carroll,,10-18,,
6:07.0,N. Powell enters the game for J. Valanciunas,,10-18,,
6:07.0,,,10-18,,T. Johnson enters the game for J. Richardson
5:51.0,C. Joseph misses 2-pt shot from 2 ft,,10-19,,
5:50.0,Offensive rebound by N. Powell,,10-19,,
5:38.0,P. Patterson misses 2-pt shot from 11 ft,,10-19,,
5:37.0,,,10-19,,Defensive rebound by W. Reed
5:29.0,,,10-19,,Turnover by T. Johnson (bad pass; steal by D. DeRozan)
5:20.0,D. DeRozan makes 2-pt shot from 2 ft,2,12-19,,
5:18.0,,,12-19,,Turnover by L. Babbitt (step out of bounds)
5:07.0,Turnover by C. Joseph (lost ball; steal by G. Dragic),,12-19,,
5:02.0,,,12-21,2,R. McGruder makes 2-pt shot at rim (assist by G. Dragic)
4:42.0,D. DeRozan makes 2-pt shot from 18 ft,2,14-21,,
4:30.0,,,14-21,,L. Babbitt misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by N. Powell,,14-21,,
4:23.0,N. Powell misses 2-pt shot from 2 ft,,14-21,,
4:22.0,Offensive rebound by Team,,14-21,,
4:21.0,,,14-21,,Loose ball foul by L. Babbitt (drawn by J. Poeltl)
4:21.0,,,14-21,,J. Johnson enters the game for L. Babbitt
4:03.0,D. DeRozan makes 2-pt shot from 19 ft,2,16-21,,
3:56.0,,,16-21,,Miami full timeout
3:56.0,P. Tucker enters the game for J. Poeltl,,16-21,,
3:47.0,,,16-23,2,W. Reed makes 2-pt shot at rim (assist by R. McGruder)
3:28.0,D. DeRozan misses 2-pt shot from 16 ft,,16-23,,
3:27.0,,,16-23,,Defensive rebound by J. Johnson
3:18.0,,,16-26,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
3:03.0,Turnover by C. Joseph (traveling),,16-26,,
2:44.0,,,16-26,,W. Reed misses 2-pt shot from 2 ft (block by N. Powell)
2:43.0,Defensive rebound by P. Patterson,,16-26,,
2:32.0,D. DeRozan makes 2-pt shot from 12 ft,2,18-26,,
2:17.0,,,18-28,2,W. Reed makes 2-pt shot from 7 ft (assist by G. Dragic)
1:52.0,C. Joseph misses 3-pt shot from 24 ft,,18-28,,
1:51.0,,,18-28,,Defensive rebound by G. Dragic
1:39.0,,,18-30,2,W. Reed makes 2-pt shot from 5 ft (assist by T. Johnson)
1:34.0,Offensive charge foul by N. Powell,,18-30,,
1:34.0,Turnover by N. Powell (offensive foul),,18-30,,
1:34.0,,,18-30,,W. Ellington enters the game for R. McGruder
1:34.0,,,18-30,,J. Richardson enters the game for G. Dragic
1:34.0,D. Wright enters the game for C. Joseph,,18-30,,
1:26.0,,,18-32,2,T. Johnson makes 2-pt shot from 7 ft
1:26.0,,,18-32,,Shooting foul by P. Tucker (drawn by T. Johnson)
1:26.0,,,18-33,1,T. Johnson makes free throw 1 of 1
1:06.0,N. Powell makes 2-pt shot from 17 ft,2,20-33,,
0:55.0,,,20-33,,Turnover by J. Johnson (bad pass; steal by N. Powell)
0:52.0,Turnover by N. Powell (traveling),,20-33,,
0:37.0,,,20-33,,T. Johnson misses 2-pt shot from 3 ft
0:36.0,Defensive rebound by D. Wright,,20-33,,
0:28.0,N. Powell makes 3-pt shot from 25 ft (assist by P. Tucker),3,23-33,,
0:09.0,,,23-33,,J. Johnson misses 2-pt shot from 11 ft
0:07.0,Defensive rebound by Team,,23-33,,
0:07.0,,,23-33,,Loose ball foul by W. Reed (drawn by P. Patterson)
0:01.0,P. Tucker misses 3-pt shot from 24 ft,,23-33,,
0:00.0,Offensive rebound by Team,,23-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,P. Patterson misses 3-pt shot from 24 ft,,23-33,,
11:35.0,,,23-33,,Defensive rebound by J. Johnson
11:12.0,,,23-33,,J. Johnson misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by D. Wright,,23-33,,
10:53.0,,,23-33,,Personal foul by J. Richardson (drawn by N. Powell)
10:41.0,Offensive foul by J. Poeltl,,23-33,,
10:41.0,Turnover by J. Poeltl (offensive foul),,23-33,,
10:25.0,,,23-35,2,T. Johnson makes 2-pt shot at rim (assist by W. Reed)
10:12.0,Shooting foul by T. Johnson (drawn by D. Wright),,23-35,,
10:12.0,D. Wright makes free throw 1 of 2,1,24-35,,
10:12.0,D. Wright misses free throw 2 of 2,,24-35,,
10:12.0,,,24-35,,H. Whiteside enters the game for W. Reed
10:11.0,,,24-35,,Defensive rebound by H. Whiteside
9:56.0,,,24-35,,Turnover by J. Johnson (bad pass; steal by P. Tucker)
9:30.0,N. Powell misses 3-pt shot from 25 ft,,24-35,,
9:29.0,,,24-35,,Defensive rebound by J. Johnson
9:24.0,,,24-35,,J. Johnson misses 2-pt shot from 12 ft
9:23.0,Defensive rebound by D. Wright,,24-35,,
9:14.0,P. Tucker makes 3-pt shot from 24 ft (assist by D. Wright),3,27-35,,
8:56.0,,,27-35,,Shooting foul by J. Poeltl (drawn by J. Richardson)
8:56.0,Official timeout,,27-35,,
8:56.0,,,27-36,1,J. Richardson makes free throw 1 of 2
8:56.0,,,27-36,,J. Richardson misses free throw 2 of 2
8:56.0,D. Carroll enters the game for P. Tucker,,27-35,,
8:55.0,Defensive rebound by P. Patterson,,27-36,,
8:40.0,Shooting foul by T. Johnson (drawn by D. Wright),,27-36,,
8:40.0,D. Wright misses free throw 1 of 2,,27-36,,
8:40.0,Offensive rebound by Team,,27-36,,
8:40.0,D. Wright makes free throw 2 of 2,1,28-36,,
8:39.0,,,28-36,,Turnover by T. Johnson (traveling)
8:35.0,,,28-36,,Personal foul by T. Johnson (drawn by D. Wright)
8:35.0,,,28-36,,G. Dragic enters the game for T. Johnson
8:23.0,P. Patterson misses 3-pt shot from 25 ft,,28-36,,
8:22.0,,,28-36,,Defensive rebound by W. Ellington
8:01.0,,,28-36,,J. Richardson misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by P. Patterson,,28-36,,
7:48.0,J. Poeltl misses 2-pt shot from 2 ft (block by J. Johnson),,28-36,,
7:47.0,Offensive rebound by Team,,28-36,,
7:47.0,J. Valanciunas enters the game for J. Poeltl,,28-36,,
7:39.0,P. Patterson makes 2-pt shot from 11 ft (assist by D. Wright),2,30-36,,
7:25.0,,,30-36,,Shooting foul by P. Patterson (drawn by H. Whiteside)
7:25.0,,,30-37,1,H. Whiteside makes free throw 1 of 2
7:25.0,,,30-38,1,H. Whiteside makes free throw 2 of 2
7:25.0,,,30-37,,O. White enters the game for J. Johnson
7:15.0,N. Powell makes 2-pt shot at rim,2,32-38,,
7:07.0,,,32-38,,Miami full timeout
7:07.0,D. DeRozan enters the game for P. Patterson,,32-38,,
7:07.0,,,32-38,,R. McGruder enters the game for J. Richardson
6:50.0,,,32-38,,G. Dragic misses 2-pt shot from 22 ft
6:49.0,,,32-38,,Offensive rebound by Team
6:49.0,Loose ball foul by D. Carroll (drawn by O. White),,32-38,,
6:37.0,,,32-38,,W. Ellington misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by Team,,32-38,,
6:36.0,,,32-38,,Loose ball foul by O. White (drawn by D. DeRozan)
6:36.0,D. DeRozan makes free throw 1 of 2,1,33-38,,
6:36.0,D. DeRozan makes free throw 2 of 2,1,34-38,,
6:15.0,,,34-38,,R. McGruder misses 2-pt shot from 13 ft
6:13.0,,,34-38,,Offensive rebound by Team
6:13.0,,,34-38,,Loose ball foul by H. Whiteside (drawn by J. Valanciunas)
6:13.0,J. Valanciunas misses free throw 1 of 2,,34-38,,
6:13.0,Defensive rebound by Team,,34-38,,
6:13.0,J. Valanciunas misses free throw 2 of 2,,34-38,,
6:12.0,,,34-38,,Defensive rebound by O. White
6:05.0,Personal foul by D. Wright (drawn by G. Dragic),,34-38,,
6:05.0,,,34-38,,J. Johnson enters the game for O. White
5:50.0,,,34-38,,Turnover by R. McGruder (bad pass; steal by D. Carroll)
5:41.0,Turnover by N. Powell (back court),,34-38,,
5:41.0,C. Joseph enters the game for D. Carroll,,34-38,,
5:41.0,P. Tucker enters the game for D. Wright,,34-38,,
5:31.0,,,34-38,,Turnover by G. Dragic (bad pass; steal by C. Joseph)
5:27.0,,,34-38,,J. Richardson enters the game for W. Ellington
5:06.0,N. Powell misses 3-pt shot from 25 ft,,34-38,,
5:05.0,,,34-38,,Defensive rebound by G. Dragic
4:53.0,,,34-38,,J. Johnson misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by N. Powell,,34-38,,
4:34.0,D. DeRozan misses 2-pt shot from 18 ft,,34-38,,
4:33.0,,,34-38,,Defensive rebound by H. Whiteside
4:23.0,,,34-38,,G. Dragic misses 2-pt shot from 12 ft
4:22.0,Defensive rebound by C. Joseph,,34-38,,
4:13.0,N. Powell misses 3-pt shot from 23 ft,,34-38,,
4:12.0,,,34-38,,Defensive rebound by R. McGruder
4:09.0,Personal foul by P. Tucker,,34-38,,
4:09.0,,,34-39,1,J. Johnson makes free throw 1 of 2
4:09.0,,,34-40,1,J. Johnson makes free throw 2 of 2
4:03.0,Toronto full timeout,,34-40,,
4:03.0,F. VanVleet enters the game for N. Powell,,34-40,,
3:56.0,Shooting foul by H. Whiteside (drawn by D. DeRozan),,34-40,,
3:56.0,D. DeRozan makes free throw 1 of 2,1,35-40,,
3:56.0,D. DeRozan makes free throw 2 of 2,1,36-40,,
3:41.0,,,36-40,,G. Dragic misses 2-pt shot from 12 ft
3:40.0,Defensive rebound by J. Valanciunas,,36-40,,
3:39.0,Offensive foul by J. Valanciunas,,36-40,,
3:39.0,Turnover by J. Valanciunas (offensive foul),,36-40,,
3:22.0,Personal foul by J. Valanciunas (drawn by R. McGruder),,36-40,,
3:22.0,,,36-41,1,R. McGruder makes free throw 1 of 2
3:22.0,,,36-41,,R. McGruder misses free throw 2 of 2
3:21.0,Defensive rebound by P. Tucker,,36-41,,
3:07.0,D. DeRozan makes 2-pt shot from 16 ft,2,38-41,,
2:56.0,,,38-43,2,J. Johnson makes 2-pt shot from 4 ft
2:56.0,,,38-43,,Shooting foul by C. Joseph (drawn by J. Johnson)
2:56.0,,,38-43,,J. Johnson misses free throw 1 of 1
2:56.0,D. Carroll enters the game for P. Tucker,,38-43,,
2:55.0,Defensive rebound by J. Valanciunas,,38-43,,
2:45.0,Offensive foul by J. Valanciunas,,38-43,,
2:45.0,Turnover by J. Valanciunas (offensive foul),,38-43,,
2:45.0,J. Poeltl enters the game for J. Valanciunas,,38-43,,
2:21.0,,,38-43,,Turnover by Team (shot clock)
2:07.0,D. DeRozan misses 2-pt shot from 20 ft,,38-43,,
2:06.0,,,38-43,,Defensive rebound by H. Whiteside
1:53.0,,,38-43,,J. Richardson misses 2-pt shot from 17 ft
1:52.0,,,38-43,,Offensive rebound by H. Whiteside
1:51.0,Personal foul by D. Carroll (drawn by H. Whiteside),,38-43,,
1:51.0,,,38-44,1,H. Whiteside makes free throw 1 of 2
1:51.0,,,38-44,,H. Whiteside misses free throw 2 of 2
1:50.0,Defensive rebound by D. DeRozan,,38-44,,
1:38.0,D. DeRozan misses 2-pt shot from 1 ft (block by J. Johnson),,38-44,,
1:37.0,Offensive rebound by Team,,38-44,,
1:37.0,,,38-44,,W. Reed enters the game for H. Whiteside
1:28.0,D. DeRozan makes 2-pt shot from 1 ft,2,40-44,,
1:15.0,,,40-44,,Turnover by W. Reed (offensive goaltending)
0:58.0,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan),3,43-44,,
0:46.0,,,43-44,,J. Johnson misses 2-pt shot from 1 ft
0:45.0,,,43-44,,Offensive rebound by Team
0:44.0,Personal foul by C. Joseph (drawn by W. Reed),,43-44,,
0:44.0,,,43-44,,W. Reed misses free throw 1 of 2
0:44.0,,,43-44,,Offensive rebound by Team
0:44.0,,,43-45,1,W. Reed makes free throw 2 of 2
0:44.0,D. Wright enters the game for C. Joseph,,43-44,,
0:36.0,Shooting foul by J. Johnson (drawn by D. DeRozan),,43-45,,
0:36.0,D. DeRozan makes free throw 1 of 2,1,44-45,,
0:36.0,D. DeRozan makes free throw 2 of 2,1,45-45,,
0:12.0,,,45-45,,G. Dragic misses 3-pt shot from 24 ft
0:11.0,Defensive rebound by D. Wright,,45-45,,
0:07.0,F. VanVleet misses 2-pt shot from 2 ft (block by J. Richardson),,45-45,,
0:06.0,Offensive rebound by D. Wright,,45-45,,
0:04.0,Turnover by D. Wright (bad pass; steal by J. Johnson),,45-45,,
0:00.0,,,45-47,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. DeRozan makes 2-pt shot from 15 ft,2,47-47,,
11:19.0,,,47-47,,G. Dragic misses 3-pt shot from 23 ft
11:18.0,,,47-47,,Offensive rebound by R. McGruder
11:14.0,,,47-49,2,R. McGruder makes 2-pt shot from 9 ft
11:05.0,J. Valanciunas misses 2-pt shot from 18 ft,,47-49,,
11:04.0,,,47-49,,Defensive rebound by G. Dragic
10:51.0,,,47-51,2,J. Richardson makes 2-pt shot from 5 ft
10:41.0,Shooting foul by H. Whiteside (drawn by J. Valanciunas),,47-51,,
10:41.0,J. Valanciunas makes free throw 1 of 2,1,48-51,,
10:41.0,J. Valanciunas makes free throw 2 of 2,1,49-51,,
10:22.0,,,49-53,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
10:04.0,C. Joseph misses 2-pt shot from 8 ft,,49-53,,
10:03.0,,,49-53,,Defensive rebound by J. Richardson
9:51.0,,,49-53,,J. Richardson misses 2-pt shot from 12 ft
9:47.0,,,49-53,,Offensive rebound by H. Whiteside
9:45.0,,,49-53,,Turnover by H. Whiteside (lost ball; steal by D. Carroll)
9:43.0,Turnover by D. Carroll (lost ball; steal by G. Dragic),,49-53,,
9:34.0,,,49-53,,Turnover by G. Dragic (lost ball)
9:20.0,C. Joseph makes 2-pt shot from 16 ft,2,51-53,,
9:02.0,,,51-53,,R. McGruder misses 2-pt shot from 12 ft
9:01.0,Defensive rebound by J. Valanciunas,,51-53,,
9:00.0,Turnover by J. Valanciunas (bad pass),,51-53,,
8:46.0,,,51-55,2,H. Whiteside makes 2-pt shot from 9 ft (assist by R. McGruder)
8:30.0,Turnover by C. Joseph (bad pass; steal by G. Dragic),,51-55,,
8:12.0,,,51-55,,J. Richardson misses 2-pt shot from 20 ft
8:11.0,Defensive rebound by J. Valanciunas,,51-55,,
7:54.0,Shooting foul by L. Babbitt (drawn by D. DeRozan),,51-55,,
7:54.0,D. DeRozan makes free throw 1 of 2,1,52-55,,
7:54.0,D. DeRozan makes free throw 2 of 2,1,53-55,,
7:39.0,,,53-57,2,G. Dragic makes 2-pt shot from 13 ft
7:17.0,Shooting foul by J. Richardson (drawn by D. Carroll),,53-57,,
7:17.0,D. Carroll misses free throw 1 of 2,,53-57,,
7:17.0,Offensive rebound by Team,,53-57,,
7:17.0,D. Carroll makes free throw 2 of 2,1,54-57,,
7:01.0,,,54-59,2,J. Richardson makes 2-pt shot from 9 ft
6:49.0,P. Tucker misses 2-pt shot from 2 ft,,54-59,,
6:48.0,,,54-59,,Defensive rebound by H. Whiteside
6:38.0,,,54-59,,G. Dragic misses 2-pt shot from 8 ft
6:37.0,,,54-59,,Offensive rebound by G. Dragic
6:33.0,,,54-59,,G. Dragic misses 2-pt shot from 6 ft (block by J. Valanciunas)
6:32.0,Defensive rebound by J. Valanciunas,,54-59,,
6:25.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Joseph),3,57-59,,
6:12.0,,,57-59,,R. McGruder misses 2-pt shot from 9 ft
6:11.0,,,57-59,,Offensive rebound by H. Whiteside
6:10.0,,,57-61,2,H. Whiteside makes 2-pt shot from 1 ft
5:52.0,D. DeRozan misses 2-pt shot from 2 ft (block by H. Whiteside),,57-61,,
5:51.0,,,57-61,,Defensive rebound by R. McGruder
5:46.0,,,57-61,,G. Dragic misses 2-pt shot from 2 ft
5:45.0,,,57-61,,Offensive rebound by G. Dragic
5:44.0,,,57-61,,G. Dragic misses 2-pt shot from 3 ft
5:40.0,Defensive rebound by J. Valanciunas,,57-61,,
5:40.0,,,57-61,,Personal foul by J. Richardson (drawn by J. Valanciunas)
5:40.0,,,57-61,,Miami full timeout
5:40.0,N. Powell enters the game for P. Tucker,,57-61,,
5:40.0,J. Poeltl enters the game for J. Valanciunas,,57-61,,
5:40.0,,,57-61,,T. Johnson enters the game for G. Dragic
5:26.0,D. DeRozan makes 2-pt shot from 15 ft,2,59-61,,
5:06.0,,,59-61,,T. Johnson misses 2-pt shot from 15 ft
5:05.0,,,59-61,,Offensive rebound by H. Whiteside
5:04.0,,,59-61,,H. Whiteside misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by D. DeRozan,,59-61,,
4:58.0,D. Carroll makes 2-pt shot from 2 ft,2,61-61,,
4:43.0,,,61-63,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson)
4:43.0,,,61-63,,Shooting foul by J. Poeltl (drawn by H. Whiteside)
4:43.0,,,61-64,1,H. Whiteside makes free throw 1 of 1
4:43.0,,,61-63,,J. Johnson enters the game for L. Babbitt
4:28.0,D. DeRozan makes 2-pt shot from 18 ft,2,63-64,,
4:11.0,,,63-64,,Turnover by H. Whiteside (bad pass)
3:50.0,D. Carroll misses 3-pt shot from 24 ft,,63-64,,
3:49.0,,,63-64,,Defensive rebound by H. Whiteside
3:47.0,,,63-64,,Turnover by H. Whiteside (bad pass; steal by D. Carroll)
3:45.0,Shooting foul by H. Whiteside (drawn by D. Carroll),,63-64,,
3:45.0,D. Carroll makes free throw 1 of 2,1,64-64,,
3:45.0,D. Carroll makes free throw 2 of 2,1,65-64,,
3:45.0,,,64-64,,W. Reed enters the game for H. Whiteside
3:27.0,,,65-64,,J. Johnson misses 3-pt shot from 24 ft
3:26.0,,,65-64,,Offensive rebound by R. McGruder
3:25.0,,,65-66,2,R. McGruder makes 2-pt shot from 2 ft
3:15.0,Turnover by D. DeRozan (bad pass; steal by W. Reed),,65-66,,
3:10.0,,,65-66,,R. McGruder misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by Team,,65-66,,
3:08.0,Toronto full timeout,,65-66,,
3:08.0,D. Wright enters the game for D. Carroll,,65-66,,
3:08.0,P. Patterson enters the game for C. Joseph,,65-66,,
2:57.0,P. Patterson misses 3-pt shot from 24 ft,,65-66,,
2:56.0,Offensive rebound by P. Patterson,,65-66,,
2:36.0,P. Patterson makes 2-pt shot from 2 ft (assist by D. Wright),2,67-66,,
2:18.0,,,67-66,,J. Richardson misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by P. Patterson,,67-66,,
2:07.0,,,67-66,,Personal foul by W. Reed (drawn by D. Wright)
2:07.0,D. Wright makes free throw 1 of 2,1,68-66,,
2:07.0,D. Wright makes free throw 2 of 2,1,69-66,,
2:07.0,,,68-66,,G. Dragic enters the game for R. McGruder
1:51.0,,,69-68,2,W. Reed makes 2-pt shot from 4 ft (assist by J. Richardson)
1:36.0,D. DeRozan makes 2-pt shot from 12 ft,2,71-68,,
1:12.0,,,71-68,,T. Johnson misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by P. Patterson,,71-68,,
0:56.0,D. Wright makes 2-pt shot from 12 ft,2,73-68,,
0:56.0,Shooting foul by T. Johnson (drawn by D. Wright),,73-68,,
0:56.0,D. Wright makes free throw 1 of 1,1,74-68,,
0:56.0,,,73-68,,W. Ellington enters the game for T. Johnson
0:38.0,,,74-68,,G. Dragic misses 2-pt shot from 7 ft
0:37.0,Defensive rebound by P. Patterson,,74-68,,
0:36.0,,,74-68,,Personal foul by W. Reed (drawn by P. Patterson)
0:36.0,P. Patterson makes free throw 1 of 2,1,75-68,,
0:36.0,P. Patterson misses free throw 2 of 2,,75-68,,
0:35.0,,,75-68,,Defensive rebound by Team
0:15.0,,,75-68,,J. Johnson misses 2-pt shot from 13 ft
0:14.0,Defensive rebound by D. DeRozan,,75-68,,
0:01.0,D. DeRozan misses 3-pt shot from 25 ft,,75-68,,
0:00.0,Offensive rebound by Team,,75-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-68,,Turnover by G. Dragic (bad pass)
11:37.0,N. Powell misses 2-pt shot from 12 ft,,75-68,,
11:36.0,Offensive rebound by Team,,75-68,,
11:36.0,,,75-68,,Loose ball foul by W. Ellington (drawn by J. Poeltl)
11:30.0,D. Wright makes 2-pt shot from 1 ft,2,77-68,,
11:14.0,,,77-68,,Turnover by T. Johnson (lost ball; steal by D. Wright)
11:07.0,J. Poeltl misses 2-pt shot from 1 ft (block by W. Reed),,77-68,,
11:06.0,Offensive rebound by Team,,77-68,,
10:52.0,D. Wright misses 2-pt shot from 3 ft,,77-68,,
10:51.0,Offensive rebound by P. Patterson,,77-68,,
10:42.0,Shooting foul by W. Reed (drawn by N. Powell),,77-68,,
10:42.0,N. Powell makes free throw 1 of 2,1,78-68,,
10:42.0,N. Powell makes free throw 2 of 2,1,79-68,,
10:22.0,,,79-68,,W. Ellington misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by J. Poeltl,,79-68,,
10:00.0,J. Poeltl makes 2-pt shot from 11 ft (assist by P. Tucker),2,81-68,,
10:00.0,,,81-68,,Miami full timeout
9:42.0,,,81-68,,T. Johnson misses 2-pt shot from 7 ft
9:41.0,Defensive rebound by J. Poeltl,,81-68,,
9:18.0,D. Wright misses 2-pt shot from 19 ft (block by J. Johnson),,81-68,,
9:17.0,Offensive rebound by P. Patterson,,81-68,,
9:16.0,P. Patterson misses 2-pt shot from 2 ft,,81-68,,
9:15.0,,,81-68,,Defensive rebound by W. Ellington
9:05.0,,,81-71,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
8:51.0,D. Wright misses 2-pt shot from 3 ft (block by J. Johnson),,81-71,,
8:50.0,,,81-71,,Defensive rebound by J. Johnson
8:50.0,,,81-71,,H. Whiteside enters the game for W. Reed
8:50.0,,,81-71,,R. McGruder enters the game for W. Ellington
8:41.0,,,81-71,,Turnover by J. Johnson (lost ball; steal by D. Wright)
8:31.0,N. Powell makes 2-pt shot from 2 ft,2,83-71,,
8:18.0,,,83-71,,T. Johnson misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by P. Patterson,,83-71,,
7:58.0,J. Valanciunas enters the game for J. Poeltl,,83-71,,
7:55.0,P. Patterson misses 3-pt shot from 23 ft,,83-71,,
7:54.0,Offensive rebound by Team,,83-71,,
7:54.0,Turnover by Team (shot clock),,83-71,,
7:46.0,,,83-71,,J. Johnson misses 2-pt shot from 1 ft
7:45.0,,,83-71,,Offensive rebound by Team
7:34.0,,,83-71,,H. Whiteside misses 2-pt shot from 4 ft
7:33.0,Defensive rebound by J. Valanciunas,,83-71,,
7:12.0,D. Wright makes 2-pt shot at rim,2,85-71,,
6:57.0,,,85-71,,J. Johnson misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by P. Tucker,,85-71,,
6:51.0,N. Powell makes 3-pt shot from 24 ft (assist by P. Tucker),3,88-71,,
6:51.0,,,88-71,,Miami full timeout
6:31.0,Personal foul by N. Powell (drawn by T. Johnson),,88-71,,
6:31.0,,,88-71,,J. Richardson enters the game for G. Dragic
6:24.0,,,88-73,2,J. Johnson makes 2-pt shot from 3 ft
6:24.0,,,88-73,,Shooting foul by J. Valanciunas (drawn by J. Johnson)
6:24.0,,,88-73,,J. Johnson misses free throw 1 of 1
6:23.0,Defensive rebound by J. Valanciunas,,88-73,,
6:10.0,D. DeRozan enters the game for N. Powell,,88-73,,
5:58.0,D. DeRozan makes 2-pt shot from 17 ft,2,90-73,,
5:49.0,,,90-73,,Turnover by T. Johnson (bad pass)
5:33.0,D. DeRozan misses 2-pt shot from 16 ft (block by J. Richardson),,90-73,,
5:32.0,,,90-73,,Defensive rebound by T. Johnson
5:26.0,,,90-73,,Shooting foul by J. Valanciunas (drawn by T. Johnson)
