time,Milwaukee,pts.away,score,pts.home,Portland
6:29.0,,,6-14,2,D. Lillard makes 2-pt shot from 2 ft
6:12.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,6-14,,
6:11.0,Offensive rebound by G. Monroe,,6-14,,
6:10.0,,,6-14,,Personal foul by J. Nurkic (drawn by G. Monroe)
5:59.0,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,8-14,,
5:43.0,M. Dellavedova enters the game for M. Brogdon,,8-14,,
5:43.0,M. Teletovic enters the game for G. Antetokounmpo,,8-14,,
5:43.0,,,8-14,,A. Crabbe enters the game for C. McCollum
5:35.0,,,8-16,2,J. Nurkic makes 2-pt shot from 20 ft (assist by N. Vonleh)
5:18.0,K. Middleton misses 2-pt shot at rim,,8-16,,
5:18.0,Offensive rebound by G. Monroe,,8-16,,
5:12.0,M. Teletovic misses 3-pt shot from 25 ft,,8-16,,
5:11.0,,,8-16,,Defensive rebound by J. Nurkic
4:58.0,,,8-16,,Shooting foul by G. Monroe (drawn by J. Nurkic)
4:58.0,,,8-16,,J. Nurkic misses free throw 1 of 2
4:58.0,,,8-16,,Offensive rebound by Team
4:58.0,,,8-17,1,J. Nurkic makes free throw 2 of 2
4:47.0,,,8-17,,Personal block foul by J. Nurkic (drawn by G. Monroe)
4:47.0,,,8-17,,E. Turner enters the game for M. Harkless
4:47.0,,,8-17,,M. Leonard enters the game for J. Nurkic
4:47.0,,,8-17,,A. Aminu enters the game for N. Vonleh
4:42.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe),3,11-17,,
4:25.0,,,11-17,,A. Crabbe misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by T. Snell,,11-17,,
4:15.0,G. Monroe makes 2-pt shot from 3 ft,2,13-17,,
4:01.0,,,13-17,,D. Lillard misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by M. Teletovic,,13-17,,
3:45.0,K. Middleton misses 2-pt shot from 18 ft,,13-17,,
3:44.0,,,13-17,,Defensive rebound by M. Leonard
3:33.0,,,13-17,,A. Crabbe misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by M. Teletovic,,13-17,,
3:25.0,K. Middleton makes 2-pt shot from 3 ft (assist by G. Monroe),2,15-17,,
3:25.0,,,15-17,,Portland full timeout
3:25.0,J. Terry enters the game for T. Snell,,15-17,,
3:05.0,,,15-17,,E. Turner misses 2-pt shot from 20 ft
3:04.0,Defensive rebound by G. Monroe,,15-17,,
2:45.0,G. Monroe misses 2-pt shot from 16 ft,,15-17,,
2:44.0,,,15-17,,Defensive rebound by A. Aminu
2:33.0,,,15-17,,Turnover by A. Aminu (bad pass; steal by J. Terry)
2:22.0,Turnover by G. Monroe (traveling),,15-17,,
2:22.0,,,15-17,,C. McCollum enters the game for D. Lillard
2:09.0,,,15-17,,Turnover by C. McCollum (bad pass; steal by K. Middleton)
2:07.0,Turnover by J. Terry (bad pass),,15-17,,
1:54.0,,,15-17,,Turnover by A. Crabbe (lost ball; steal by K. Middleton)
1:46.0,J. Terry misses 2-pt shot from 21 ft,,15-17,,
1:46.0,,,15-17,,Defensive rebound by A. Crabbe
1:37.0,,,15-19,2,C. McCollum makes 2-pt shot from 3 ft
1:16.0,G. Monroe misses 2-pt shot from 3 ft,,15-19,,
1:16.0,Offensive rebound by G. Monroe,,15-19,,
1:13.0,G. Monroe misses 2-pt shot from 3 ft,,15-19,,
1:12.0,,,15-19,,Defensive rebound by M. Leonard
0:58.0,,,15-21,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Leonard)
0:49.0,,,15-21,,Personal foul by M. Leonard (drawn by M. Dellavedova)
0:49.0,G. Antetokounmpo enters the game for K. Middleton,,15-21,,
0:40.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,15-21,,
0:39.0,,,15-21,,Defensive rebound by A. Aminu
0:29.0,,,15-21,,C. McCollum misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by G. Antetokounmpo,,15-21,,
0:10.0,J. Terry makes 3-pt shot from 26 ft (assist by M. Teletovic),3,18-21,,
0:00.0,,,18-21,,Turnover by C. McCollum (bad pass; steal by M. Dellavedova)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,18-21,,Personal foul by M. Leonard (drawn by G. Antetokounmpo)
11:44.0,M. Teletovic misses 3-pt shot from 25 ft,,18-21,,
11:43.0,,,18-21,,Defensive rebound by E. Turner
11:31.0,,,18-21,,Turnover by E. Turner (bad pass; steal by G. Antetokounmpo)
11:28.0,Offensive charge foul by J. Henson,,18-21,,
11:28.0,Turnover by J. Henson (offensive foul),,18-21,,
11:14.0,,,18-21,,Turnover by E. Turner (lost ball; steal by J. Henson)
11:10.0,G. Antetokounmpo makes 2-pt shot at rim,2,20-21,,
11:10.0,Violation by Team (jump ball),,20-21,,
10:52.0,,,20-21,,M. Leonard misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by M. Teletovic,,20-21,,
10:41.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,20-21,,
10:40.0,,,20-21,,Defensive rebound by A. Aminu
10:30.0,,,20-21,,E. Turner misses 2-pt shot from 4 ft (block by J. Henson)
10:28.0,Defensive rebound by M. Teletovic,,20-21,,
10:27.0,G. Antetokounmpo misses 2-pt shot at rim,,20-21,,
10:26.0,,,20-21,,Defensive rebound by A. Aminu
10:15.0,,,20-21,,Shooting foul by G. Antetokounmpo (drawn by A. Aminu)
10:15.0,,,20-21,,A. Aminu misses free throw 1 of 2
10:15.0,,,20-21,,Offensive rebound by Team
10:15.0,,,20-21,,A. Aminu misses free throw 2 of 2
10:15.0,,,20-21,,N. Vonleh enters the game for M. Leonard
10:14.0,Defensive rebound by G. Antetokounmpo,,20-21,,
9:53.0,M. Teletovic misses 2-pt shot from 19 ft,,20-21,,
9:53.0,,,20-21,,Defensive rebound by A. Crabbe
9:45.0,,,20-21,,Turnover by A. Aminu (traveling)
9:36.0,,,20-21,,Def 3 sec tech foul by N. Vonleh
9:36.0,M. Dellavedova makes technical free throw,1,21-21,,
9:27.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,23-21,,
9:10.0,,,23-21,,E. Turner misses 2-pt shot from 16 ft
9:10.0,Defensive rebound by M. Dellavedova,,23-21,,
9:07.0,Shooting foul by C. McCollum (drawn by G. Antetokounmpo),,23-21,,
9:07.0,G. Antetokounmpo makes free throw 1 of 2,1,24-21,,
9:07.0,G. Antetokounmpo makes free throw 2 of 2,1,25-21,,
9:07.0,,,24-21,,D. Lillard enters the game for C. McCollum
9:07.0,,,24-21,,S. Napier enters the game for E. Turner
8:52.0,,,25-21,,Shooting foul by M. Teletovic (drawn by A. Aminu)
8:52.0,Official timeout,,25-21,,
8:52.0,,,25-21,,A. Aminu misses free throw 1 of 2
8:52.0,,,25-21,,Offensive rebound by Team
8:52.0,,,25-22,1,A. Aminu makes free throw 2 of 2
8:33.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,27-22,,
8:10.0,,,27-24,2,N. Vonleh makes 2-pt shot at rim (assist by A. Crabbe)
7:52.0,,,27-24,,Personal foul by S. Napier (drawn by G. Antetokounmpo)
7:43.0,M. Dellavedova makes 2-pt shot from 20 ft,2,29-24,,
7:25.0,,,29-24,,D. Lillard misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by G. Antetokounmpo,,29-24,,
7:14.0,M. Teletovic misses 3-pt shot from 25 ft,,29-24,,
7:12.0,,,29-24,,Defensive rebound by Team
7:12.0,T. Snell enters the game for M. Teletovic,,29-24,,
6:58.0,,,29-24,,S. Napier misses 2-pt shot from 1 ft (block by J. Henson)
6:56.0,Defensive rebound by J. Henson,,29-24,,
6:44.0,G. Antetokounmpo misses 2-pt shot at rim,,29-24,,
6:43.0,Offensive rebound by J. Henson,,29-24,,
6:43.0,J. Henson makes 2-pt shot at rim,2,31-24,,
6:43.0,,,31-24,,Portland full timeout
6:43.0,,,31-24,,J. Nurkic enters the game for N. Vonleh
6:43.0,,,31-24,,M. Harkless enters the game for A. Aminu
6:43.0,M. Brogdon enters the game for M. Dellavedova,,31-24,,
6:26.0,,,31-27,3,D. Lillard makes 3-pt shot from 26 ft (assist by S. Napier)
6:12.0,J. Terry misses 2-pt shot from 3 ft (block by M. Harkless),,31-27,,
6:12.0,Offensive rebound by Team,,31-27,,
6:12.0,,,31-27,,C. McCollum enters the game for S. Napier
5:59.0,J. Henson misses 2-pt shot from 2 ft (block by M. Harkless),,31-27,,
5:58.0,,,31-27,,Defensive rebound by M. Harkless
5:50.0,,,31-27,,Shooting foul by M. Brogdon
5:50.0,,,31-28,1,C. McCollum makes free throw 1 of 2
5:50.0,,,31-29,1,C. McCollum makes free throw 2 of 2
5:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,33-29,,
5:35.0,Shooting foul by C. McCollum (drawn by G. Antetokounmpo),,33-29,,
5:35.0,G. Antetokounmpo makes free throw 1 of 1,1,34-29,,
5:14.0,,,34-29,,J. Nurkic misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by G. Antetokounmpo,,34-29,,
4:55.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,36-29,,
4:42.0,,,36-29,,A. Crabbe misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by J. Terry,,36-29,,
4:28.0,J. Henson misses 2-pt shot from 4 ft,,36-29,,
4:28.0,Offensive rebound by Team,,36-29,,
4:28.0,K. Middleton enters the game for J. Terry,,36-29,,
4:28.0,G. Monroe enters the game for J. Henson,,36-29,,
4:28.0,,,36-29,,E. Turner enters the game for A. Crabbe
4:12.0,G. Monroe misses 2-pt shot from 18 ft,,36-29,,
4:12.0,,,36-29,,Defensive rebound by D. Lillard
4:03.0,,,36-29,,D. Lillard misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by M. Brogdon,,36-29,,
3:46.0,Turnover by M. Brogdon (bad pass; steal by D. Lillard),,36-29,,
3:42.0,,,36-31,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
3:42.0,Milwaukee full timeout,,36-31,,
3:25.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,36-31,,
3:24.0,,,36-31,,Defensive rebound by J. Nurkic
3:14.0,,,36-31,,Turnover by D. Lillard (bad pass; steal by K. Middleton)
3:09.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,38-31,,
2:42.0,,,38-31,,C. McCollum misses 2-pt shot from 15 ft
2:41.0,Defensive rebound by M. Brogdon,,38-31,,
2:28.0,K. Middleton misses 2-pt shot from 8 ft,,38-31,,
2:28.0,,,38-31,,Defensive rebound by J. Nurkic
2:13.0,,,38-31,,M. Harkless misses 3-pt shot from 23 ft
2:13.0,,,38-31,,Offensive rebound by J. Nurkic
2:13.0,Personal foul by M. Brogdon (drawn by J. Nurkic),,38-31,,
1:58.0,,,38-31,,Shooting foul by K. Middleton (drawn by D. Lillard)
1:58.0,,,38-32,1,D. Lillard makes free throw 1 of 2
1:58.0,,,38-33,1,D. Lillard makes free throw 2 of 2
1:41.0,G. Monroe makes 2-pt shot from 4 ft,2,40-33,,
1:21.0,,,40-33,,C. McCollum misses 3-pt shot from 25 ft
1:21.0,,,40-33,,Offensive rebound by Team
1:15.0,,,40-33,,D. Lillard misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by M. Brogdon,,40-33,,
1:06.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Brogdon),3,43-33,,
0:45.0,,,43-33,,C. McCollum misses 2-pt shot from 1 ft (block by G. Monroe)
0:41.0,Defensive rebound by M. Brogdon,,43-33,,
0:37.0,K. Middleton makes 3-pt shot from 25 ft,3,46-33,,
0:37.0,,,46-33,,Portland full timeout
0:37.0,,,46-33,,M. Leonard enters the game for J. Nurkic
0:37.0,,,46-33,,A. Crabbe enters the game for E. Turner
0:27.0,,,46-35,2,A. Crabbe makes 2-pt shot from 8 ft (assist by D. Lillard)
0:07.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,48-35,,
0:00.0,,,48-35,,D. Lillard misses 3-pt shot from 26 ft
0:00.0,,,48-35,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Middleton makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,50-35,,
11:25.0,,,50-35,,M. Harkless misses 3-pt shot from 25 ft
11:24.0,,,50-35,,Offensive rebound by N. Vonleh
11:22.0,,,50-35,,N. Vonleh misses 2-pt shot from 2 ft
11:22.0,,,50-35,,Offensive rebound by N. Vonleh
11:22.0,,,50-35,,Shooting foul by G. Antetokounmpo (drawn by N. Vonleh)
11:22.0,,,50-36,1,N. Vonleh makes free throw 1 of 2
11:22.0,,,50-36,,N. Vonleh misses free throw 2 of 2
11:19.0,,,50-36,,Offensive rebound by J. Nurkic
11:19.0,,,50-36,,J. Nurkic misses 2-pt shot from 2 ft
11:16.0,,,50-36,,Offensive rebound by J. Nurkic
11:15.0,,,50-38,2,J. Nurkic makes 2-pt shot from 1 ft
11:01.0,K. Middleton misses 2-pt shot from 13 ft,,50-38,,
11:01.0,,,50-38,,Defensive rebound by N. Vonleh
10:54.0,Personal foul by J. Henson (drawn by J. Nurkic),,50-38,,
10:43.0,,,50-38,,Turnover by J. Nurkic (lost ball)
10:27.0,M. Brogdon misses 3-pt shot from 25 ft,,50-38,,
10:26.0,,,50-38,,Defensive rebound by N. Vonleh
10:17.0,,,50-41,3,D. Lillard makes 3-pt shot from 26 ft
9:58.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,53-41,,
9:38.0,,,53-41,,Turnover by C. McCollum (bad pass)
9:21.0,K. Middleton misses 2-pt shot from 10 ft,,53-41,,
9:19.0,Offensive rebound by J. Henson,,53-41,,
9:13.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,53-41,,
9:12.0,,,53-41,,Defensive rebound by J. Nurkic
9:03.0,,,53-43,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
8:48.0,K. Middleton makes 2-pt shot from 3 ft (assist by T. Snell),2,55-43,,
8:48.0,Shooting foul by M. Harkless (drawn by K. Middleton),,55-43,,
8:48.0,K. Middleton makes free throw 1 of 1,1,56-43,,
8:35.0,,,56-45,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
8:10.0,K. Middleton makes 2-pt shot from 16 ft (assist by M. Brogdon),2,58-45,,
7:59.0,,,58-45,,D. Lillard misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by M. Brogdon,,58-45,,
7:46.0,Turnover by J. Henson (lost ball; steal by J. Nurkic),,58-45,,
7:32.0,,,58-47,2,C. McCollum makes 2-pt shot from 20 ft (assist by D. Lillard)
7:09.0,G. Monroe enters the game for J. Henson,,58-47,,
7:07.0,T. Snell makes 2-pt shot from 2 ft (assist by K. Middleton),2,60-47,,
7:04.0,,,60-47,,Portland full timeout
6:50.0,,,60-49,2,C. McCollum makes 2-pt shot at rim
6:23.0,K. Middleton misses 2-pt shot from 17 ft,,60-49,,
6:22.0,,,60-49,,Defensive rebound by M. Harkless
6:09.0,,,60-49,,J. Nurkic misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by K. Middleton,,60-49,,
6:00.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,60-49,,
5:58.0,Offensive rebound by M. Brogdon,,60-49,,
5:55.0,M. Brogdon makes 2-pt shot from 1 ft,2,62-49,,
5:26.0,,,62-49,,C. McCollum misses 2-pt shot from 18 ft
5:25.0,Defensive rebound by K. Middleton,,62-49,,
5:19.0,G. Monroe misses 2-pt shot at rim,,62-49,,
5:18.0,Offensive rebound by G. Monroe,,62-49,,
5:18.0,Shooting foul by J. Nurkic (drawn by G. Monroe),,62-49,,
5:18.0,G. Monroe misses free throw 1 of 2,,62-49,,
5:18.0,Offensive rebound by Team,,62-49,,
5:18.0,G. Monroe makes free throw 2 of 2,1,63-49,,
5:18.0,,,62-49,,A. Crabbe enters the game for C. McCollum
5:18.0,,,62-49,,A. Aminu enters the game for J. Nurkic
5:18.0,M. Dellavedova enters the game for T. Snell,,62-49,,
5:05.0,,,63-49,,A. Crabbe misses 2-pt shot from 23 ft
5:03.0,Defensive rebound by G. Antetokounmpo,,63-49,,
4:58.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Lillard),,63-49,,
4:46.0,,,63-51,2,D. Lillard makes 2-pt shot from 2 ft
4:32.0,G. Monroe misses 2-pt shot from 2 ft (block by A. Aminu),,63-51,,
4:31.0,,,63-51,,Defensive rebound by M. Harkless
4:30.0,Personal foul by G. Monroe (drawn by D. Lillard),,63-51,,
4:07.0,,,63-51,,M. Harkless misses 2-pt shot from 2 ft
4:07.0,,,63-51,,Offensive rebound by N. Vonleh
4:07.0,,,63-53,2,N. Vonleh makes 2-pt shot at rim
4:07.0,,,63-53,,Shooting foul by G. Monroe (drawn by N. Vonleh)
4:07.0,,,63-54,1,N. Vonleh makes free throw 1 of 1
4:07.0,,,63-53,,E. Turner enters the game for M. Harkless
3:48.0,M. Dellavedova misses 2-pt shot at rim,,63-54,,
3:48.0,,,63-54,,Defensive rebound by D. Lillard
3:39.0,,,63-54,,Shooting foul by M. Brogdon (drawn by N. Vonleh)
3:39.0,,,63-55,1,N. Vonleh makes free throw 1 of 2
3:39.0,,,63-56,1,N. Vonleh makes free throw 2 of 2
3:27.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,65-56,,
3:14.0,,,65-56,,E. Turner misses 2-pt shot from 19 ft
3:13.0,,,65-56,,Offensive rebound by A. Aminu
3:13.0,,,65-56,,A. Aminu misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by G. Antetokounmpo,,65-56,,
3:04.0,M. Dellavedova misses 3-pt shot from 23 ft,,65-56,,
3:03.0,,,65-56,,Defensive rebound by A. Aminu
2:54.0,,,65-58,2,D. Lillard makes 2-pt shot from 1 ft
2:53.0,Milwaukee full timeout,,65-58,,
2:53.0,J. Terry enters the game for G. Antetokounmpo,,65-58,,
2:53.0,M. Teletovic enters the game for M. Brogdon,,65-58,,
2:33.0,M. Teletovic misses 2-pt shot from 3 ft,,65-58,,
2:33.0,Offensive rebound by G. Monroe,,65-58,,
2:30.0,G. Monroe misses 2-pt shot from 2 ft,,65-58,,
2:29.0,,,65-58,,Defensive rebound by A. Aminu
2:19.0,,,65-58,,A. Crabbe misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by M. Dellavedova,,65-58,,
2:05.0,K. Middleton makes 2-pt shot from 18 ft,2,67-58,,
1:42.0,,,67-60,2,D. Lillard makes 2-pt shot from 15 ft
1:28.0,Turnover by K. Middleton (bad pass; steal by N. Vonleh),,67-60,,
1:22.0,Personal foul by M. Teletovic (drawn by D. Lillard),,67-60,,
1:22.0,,,67-61,1,D. Lillard makes free throw 1 of 2
1:22.0,,,67-61,,D. Lillard misses free throw 2 of 2
1:22.0,,,67-61,,J. Nurkic enters the game for N. Vonleh
1:22.0,T. Snell enters the game for K. Middleton,,67-61,,
1:21.0,Defensive rebound by G. Monroe,,67-61,,
1:02.0,Turnover by T. Snell (lost ball; steal by D. Lillard),,67-61,,
1:00.0,,,67-63,2,D. Lillard makes 2-pt shot from 1 ft (assist by A. Aminu)
0:48.0,M. Dellavedova misses 2-pt shot from 1 ft,,67-63,,
0:48.0,,,67-63,,Defensive rebound by J. Nurkic
0:33.0,,,67-63,,D. Lillard misses 2-pt shot from 3 ft
0:31.0,,,67-63,,Offensive rebound by D. Lillard
0:22.0,,,67-63,,A. Aminu misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by J. Terry,,67-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,67-63,,A. Aminu misses 2-pt shot from 18 ft (block by J. Terry)
11:35.0,Defensive rebound by J. Terry,,67-63,,
11:20.0,M. Teletovic makes 3-pt shot from 26 ft (assist by T. Snell),3,70-63,,
11:07.0,,,70-66,3,C. McCollum makes 3-pt shot from 26 ft
10:52.0,Turnover by J. Henson (bad pass; steal by J. Nurkic),,70-66,,
10:50.0,,,70-66,,Shooting foul by T. Snell (drawn by A. Crabbe)
10:50.0,,,70-67,1,A. Crabbe makes free throw 1 of 2
10:50.0,,,70-68,1,A. Crabbe makes free throw 2 of 2
10:42.0,,,70-68,,Def 3 sec tech foul by J. Nurkic
10:42.0,M. Dellavedova makes technical free throw,1,71-68,,
10:35.0,M. Dellavedova misses 2-pt shot from 13 ft,,71-68,,
10:32.0,Offensive rebound by J. Henson,,71-68,,
10:32.0,J. Henson misses 2-pt shot from 1 ft,,71-68,,
10:29.0,Offensive rebound by J. Henson,,71-68,,
10:29.0,J. Henson makes 2-pt shot from 8 ft,2,73-68,,
10:13.0,,,73-68,,Shooting foul by M. Teletovic (drawn by A. Aminu)
10:13.0,,,73-69,1,A. Aminu makes free throw 1 of 2
10:13.0,,,73-69,,A. Aminu misses free throw 2 of 2
10:13.0,Defensive rebound by Team,,73-69,,
10:13.0,,,73-69,,Personal foul by A. Aminu (drawn by J. Terry)
10:05.0,M. Dellavedova makes 2-pt shot from 8 ft,2,75-69,,
9:47.0,,,75-71,2,A. Crabbe makes 2-pt shot from 21 ft (assist by C. McCollum)
9:34.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,78-71,,
9:19.0,,,78-71,,A. Aminu misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by T. Snell,,78-71,,
9:08.0,T. Snell misses 3-pt shot from 24 ft,,78-71,,
9:07.0,,,78-71,,Defensive rebound by A. Crabbe
8:59.0,,,78-71,,Offensive charge foul by J. Nurkic
8:59.0,,,78-71,,Turnover by J. Nurkic (offensive foul)
8:59.0,Official timeout,,78-71,,
8:59.0,,,78-71,,D. Lillard enters the game for E. Turner
8:45.0,M. Teletovic makes 2-pt shot from 2 ft,2,80-71,,
8:23.0,,,80-73,2,J. Nurkic makes 2-pt shot from 2 ft
8:23.0,,,80-73,,Shooting foul by J. Henson (drawn by J. Nurkic)
8:23.0,,,80-73,,J. Nurkic misses free throw 1 of 1
8:23.0,Defensive rebound by J. Henson,,80-73,,
8:23.0,,,80-73,,M. Harkless enters the game for A. Aminu
8:15.0,Offensive foul by J. Henson,,80-73,,
8:15.0,Turnover by J. Henson (offensive foul),,80-73,,
8:15.0,,,80-73,,N. Vonleh enters the game for J. Nurkic
8:03.0,,,80-75,2,D. Lillard makes 2-pt shot from 4 ft
7:47.0,M. Dellavedova misses 2-pt shot from 15 ft,,80-75,,
7:47.0,Offensive rebound by Team,,80-75,,
7:47.0,,,80-75,,Personal foul by N. Vonleh (drawn by J. Henson)
7:47.0,G. Antetokounmpo enters the game for M. Teletovic,,80-75,,
7:47.0,G. Monroe enters the game for J. Henson,,80-75,,
7:34.0,Shooting foul by M. Harkless (drawn by G. Antetokounmpo),,80-75,,
7:34.0,G. Antetokounmpo makes free throw 1 of 2,1,81-75,,
7:34.0,G. Antetokounmpo misses free throw 2 of 2,,81-75,,
7:33.0,,,81-75,,Defensive rebound by A. Crabbe
7:10.0,,,81-77,2,D. Lillard makes 2-pt shot at rim
6:54.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,83-77,,
6:42.0,,,83-79,2,D. Lillard makes 2-pt shot from 1 ft
6:24.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,83-79,,
6:24.0,,,83-79,,Defensive rebound by N. Vonleh
6:17.0,Personal foul by J. Terry (drawn by M. Harkless),,83-79,,
6:17.0,K. Middleton enters the game for G. Monroe,,83-79,,
6:01.0,,,83-79,,C. McCollum misses 3-pt shot from 23 ft
6:01.0,,,83-79,,Offensive rebound by Team
6:01.0,Loose ball foul by G. Antetokounmpo (drawn by M. Harkless),,83-79,,
6:01.0,,,83-80,1,M. Harkless makes free throw 1 of 2
6:01.0,,,83-81,1,M. Harkless makes free throw 2 of 2
5:43.0,,,83-81,,Personal foul by M. Harkless (drawn by G. Antetokounmpo)
5:43.0,,,83-81,,Portland full timeout
5:43.0,G. Antetokounmpo makes free throw 1 of 2,1,84-81,,
5:43.0,G. Antetokounmpo makes free throw 2 of 2,1,85-81,,
5:22.0,,,85-81,,D. Lillard misses 2-pt shot from 20 ft
5:21.0,,,85-81,,Offensive rebound by M. Harkless
5:18.0,,,85-81,,M. Harkless misses 2-pt shot at rim (block by G. Antetokounmpo)
5:16.0,Defensive rebound by K. Middleton,,85-81,,
5:13.0,Offensive charge foul by K. Middleton,,85-81,,
5:13.0,Turnover by K. Middleton (offensive foul),,85-81,,
4:59.0,,,85-84,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
