time,Orlando,pts.away,score,pts.home,Houston
6:04.0,Defensive rebound by N. Vucevic,,18-11,,
5:53.0,Shooting foul by J. Harden (drawn by E. Fournier),,18-11,,
5:53.0,,,18-11,,Houston full timeout
5:53.0,E. Fournier makes free throw 1 of 2,1,19-11,,
5:53.0,E. Fournier makes free throw 2 of 2,1,20-11,,
5:53.0,,,18-11,,N. Hilario enters the game for C. Capela
5:53.0,,,18-11,,E. Gordon enters the game for P. Beverley
5:42.0,,,20-11,,Shooting foul by E. Fournier (drawn by J. Harden)
5:42.0,,,20-12,1,J. Harden makes free throw 1 of 2
5:42.0,,,20-13,1,J. Harden makes free throw 2 of 2
5:27.0,E. Fournier misses 3-pt shot from 25 ft,,20-13,,
5:26.0,,,20-13,,Defensive rebound by R. Anderson
5:20.0,,,20-16,3,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon)
5:05.0,E. Payton misses 2-pt shot from 6 ft,,20-16,,
5:04.0,,,20-16,,Defensive rebound by N. Hilario
4:54.0,,,20-19,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
4:30.0,Turnover by S. Ibaka (bad pass; steal by T. Ariza),,20-19,,
4:27.0,Violation by A. Gordon (def goaltending),,20-19,,
4:27.0,,,20-21,2,T. Ariza makes 2-pt shot from 1 ft
4:27.0,Orlando full timeout,,20-21,,
4:27.0,,,20-21,,S. Dekker enters the game for R. Anderson
4:27.0,C. Watson enters the game for E. Fournier,,20-21,,
4:11.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,22-21,,
3:55.0,,,22-24,3,J. Harden makes 3-pt shot from 25 ft (assist by E. Gordon)
3:30.0,A. Gordon makes 2-pt shot from 10 ft (assist by E. Payton),2,24-24,,
3:23.0,,,24-24,,T. Ariza misses 2-pt shot from 3 ft
3:22.0,,,24-24,,Offensive rebound by T. Ariza
3:22.0,,,24-26,2,T. Ariza makes 2-pt shot from 2 ft
3:06.0,S. Ibaka makes 2-pt shot from 19 ft (assist by E. Payton),2,26-26,,
2:51.0,,,26-26,,Turnover by N. Hilario (lost ball; steal by N. Vucevic)
2:38.0,S. Ibaka makes 2-pt shot from 10 ft (assist by A. Gordon),2,28-26,,
2:28.0,,,28-28,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
2:14.0,Turnover by A. Gordon (lost ball; steal by J. Harden),,28-28,,
2:07.0,,,28-28,,Turnover by T. Ariza (bad pass)
2:07.0,D. Augustin enters the game for E. Payton,,28-28,,
2:07.0,B. Biyombo enters the game for N. Vucevic,,28-28,,
1:53.0,S. Ibaka misses 2-pt shot from 13 ft,,28-28,,
1:52.0,,,28-28,,Defensive rebound by J. Harden
1:43.0,,,28-31,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
1:20.0,C. Watson misses 3-pt shot from 26 ft,,28-31,,
1:19.0,,,28-31,,Defensive rebound by E. Gordon
1:10.0,,,28-31,,T. Ariza misses 3-pt shot from 23 ft
1:09.0,,,28-31,,Offensive rebound by T. Ariza
1:05.0,,,28-33,2,T. Ariza makes 2-pt shot from 1 ft
0:46.0,A. Gordon misses 3-pt shot from 23 ft,,28-33,,
0:46.0,,,28-33,,Defensive rebound by S. Dekker
0:38.0,,,28-33,,S. Dekker misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by B. Biyombo,,28-33,,
0:20.0,Turnover by B. Biyombo (lost ball; steal by N. Hilario),,28-33,,
0:17.0,,,28-35,2,N. Hilario makes 2-pt shot at rim
0:06.0,,,28-35,,Personal take foul by E. Gordon (drawn by D. Augustin)
0:02.0,A. Gordon misses 3-pt shot from 26 ft,,28-35,,
0:01.0,,,28-35,,Defensive rebound by N. Hilario
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by B. Biyombo (drawn by N. Hilario),,28-35,,
11:41.0,,,28-37,2,N. Hilario makes 2-pt shot from 13 ft (assist by P. Beverley)
11:25.0,E. Fournier misses 3-pt shot from 25 ft,,28-37,,
11:24.0,,,28-37,,Defensive rebound by Team
11:11.0,,,28-39,2,E. Gordon makes 2-pt shot from 4 ft
11:00.0,D. Augustin misses 2-pt shot from 17 ft,,28-39,,
10:59.0,,,28-39,,Defensive rebound by N. Hilario
10:47.0,,,28-41,2,N. Hilario makes 2-pt shot from 19 ft (assist by P. Beverley)
10:29.0,C. Watson misses 2-pt shot from 18 ft,,28-41,,
10:29.0,,,28-41,,Defensive rebound by P. Beverley
10:22.0,,,28-41,,S. Dekker misses 2-pt shot from 3 ft (block by B. Biyombo)
10:21.0,Defensive rebound by E. Fournier,,28-41,,
10:09.0,,,28-41,,Personal foul by N. Hilario (drawn by E. Fournier)
9:59.0,Shooting foul by P. Beverley (drawn by D. Augustin),,28-41,,
9:59.0,D. Augustin makes free throw 1 of 2,1,29-41,,
9:59.0,D. Augustin makes free throw 2 of 2,1,30-41,,
9:49.0,,,30-43,2,N. Hilario makes 2-pt shot from 3 ft (assist by P. Beverley)
9:49.0,,,30-43,,Shooting foul by D. Rudez (drawn by N. Hilario)
9:49.0,,,30-44,1,N. Hilario makes free throw 1 of 1
9:27.0,B. Biyombo misses 2-pt shot from 9 ft,,30-44,,
9:26.0,,,30-44,,Defensive rebound by C. Brewer
9:12.0,,,30-46,2,N. Hilario makes 2-pt shot from 2 ft (assist by S. Dekker)
8:52.0,D. Rudez misses 3-pt shot from 26 ft,,30-46,,
8:51.0,,,30-46,,Defensive rebound by E. Gordon
8:40.0,,,30-46,,P. Beverley misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by D. Augustin,,30-46,,
8:36.0,Turnover by D. Augustin (bad pass),,30-46,,
8:36.0,Official timeout,,30-46,,
8:36.0,,,30-46,,C. Capela enters the game for N. Hilario
8:16.0,,,30-46,,Shooting foul by E. Fournier (drawn by C. Capela)
8:16.0,,,30-46,,C. Capela misses free throw 1 of 2
8:16.0,,,30-46,,Offensive rebound by Team
8:16.0,,,30-46,,C. Capela misses free throw 2 of 2
8:16.0,Defensive rebound by C. Watson,,30-46,,
8:02.0,Turnover by E. Fournier (lost ball; steal by C. Capela),,30-46,,
7:59.0,,,30-46,,Shooting foul by D. Rudez (drawn by S. Dekker)
7:59.0,,,30-46,,S. Dekker misses free throw 1 of 2
7:59.0,,,30-46,,Offensive rebound by Team
7:59.0,,,30-47,1,S. Dekker makes free throw 2 of 2
7:49.0,D. Augustin misses 3-pt shot from 26 ft,,30-47,,
7:49.0,,,30-47,,Defensive rebound by C. Capela
7:39.0,,,30-50,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
7:39.0,Orlando full timeout,,30-50,,
7:22.0,Shooting foul by S. Dekker (drawn by D. Augustin),,30-50,,
7:22.0,D. Augustin makes free throw 1 of 2,1,31-50,,
7:22.0,D. Augustin makes free throw 2 of 2,1,32-50,,
7:22.0,,,31-50,,J. Harden enters the game for E. Gordon
7:22.0,,,31-50,,R. Anderson enters the game for S. Dekker
7:22.0,,,31-50,,T. Ariza enters the game for C. Brewer
7:22.0,S. Ibaka enters the game for E. Fournier,,31-50,,
7:22.0,A. Gordon enters the game for D. Rudez,,31-50,,
7:09.0,,,32-52,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:54.0,S. Ibaka makes 3-pt shot from 24 ft (assist by C. Watson),3,35-52,,
6:29.0,,,35-52,,Shooting foul by S. Ibaka (drawn by J. Harden)
6:29.0,,,35-53,1,J. Harden makes free throw 1 of 3
6:29.0,,,35-54,1,J. Harden makes free throw 2 of 3
6:29.0,,,35-55,1,J. Harden makes free throw 3 of 3
6:29.0,E. Fournier enters the game for C. Watson,,35-54,,
6:29.0,N. Vucevic enters the game for B. Biyombo,,35-54,,
6:13.0,Shooting foul by T. Ariza (drawn by D. Augustin),,35-55,,
6:13.0,D. Augustin makes free throw 1 of 2,1,36-55,,
6:13.0,D. Augustin makes free throw 2 of 2,1,37-55,,
5:58.0,,,37-57,2,P. Beverley makes 2-pt shot at rim (assist by J. Harden)
5:54.0,Orlando full timeout,,37-57,,
5:36.0,,,37-57,,Personal foul by P. Beverley (drawn by D. Augustin)
5:36.0,D. Augustin misses free throw 1 of 2,,37-57,,
5:36.0,Offensive rebound by Team,,37-57,,
5:36.0,D. Augustin misses free throw 2 of 2,,37-57,,
5:36.0,,,37-57,,Defensive rebound by C. Capela
5:15.0,,,37-60,3,J. Harden makes 3-pt shot from 25 ft
5:04.0,N. Vucevic makes 2-pt shot from 15 ft,2,39-60,,
4:56.0,,,39-60,,Turnover by J. Harden (bad pass; steal by N. Vucevic)
4:51.0,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon),2,41-60,,
4:33.0,,,41-60,,J. Harden misses 2-pt shot from 12 ft
4:32.0,Defensive rebound by N. Vucevic,,41-60,,
4:23.0,D. Augustin misses 2-pt shot from 1 ft,,41-60,,
4:22.0,Offensive rebound by D. Augustin,,41-60,,
4:14.0,D. Augustin makes 3-pt shot from 22 ft (assist by E. Fournier),3,44-60,,
4:03.0,,,44-62,2,J. Harden makes 2-pt shot from 1 ft
4:03.0,,,44-62,,Shooting foul by A. Gordon (drawn by J. Harden)
4:03.0,,,44-63,1,J. Harden makes free throw 1 of 1
4:03.0,E. Payton enters the game for D. Augustin,,44-62,,
4:03.0,,,44-62,,E. Gordon enters the game for P. Beverley
3:46.0,E. Fournier misses 2-pt shot from 2 ft,,44-63,,
3:45.0,Offensive rebound by N. Vucevic,,44-63,,
3:45.0,N. Vucevic makes 2-pt shot from 2 ft,2,46-63,,
3:30.0,,,46-65,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:22.0,Turnover by E. Payton (lost ball),,46-65,,
3:15.0,,,46-65,,R. Anderson misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by E. Payton,,46-65,,
3:03.0,S. Ibaka makes 2-pt shot from 8 ft,2,48-65,,
2:37.0,,,48-65,,J. Harden misses 3-pt shot from 25 ft (block by N. Vucevic)
2:36.0,Defensive rebound by E. Payton,,48-65,,
2:34.0,Turnover by E. Payton (lost ball; steal by T. Ariza),,48-65,,
2:31.0,,,48-67,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
2:07.0,S. Ibaka misses 3-pt shot from 26 ft,,48-67,,
2:06.0,Offensive rebound by A. Gordon,,48-67,,
2:02.0,E. Fournier misses 3-pt shot from 25 ft,,48-67,,
2:01.0,Offensive rebound by N. Vucevic,,48-67,,
2:01.0,N. Vucevic misses 2-pt shot from 2 ft,,48-67,,
1:59.0,,,48-67,,Defensive rebound by C. Capela
1:50.0,,,48-67,,E. Gordon misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by N. Vucevic,,48-67,,
1:42.0,E. Fournier makes 2-pt shot from 2 ft,2,50-67,,
1:35.0,,,50-67,,J. Harden misses 2-pt shot from 3 ft
1:34.0,Defensive rebound by N. Vucevic,,50-67,,
1:25.0,S. Ibaka makes 2-pt shot at rim (assist by A. Gordon),2,52-67,,
1:08.0,,,52-67,,T. Ariza misses 3-pt shot from 24 ft
1:08.0,,,52-67,,Offensive rebound by T. Ariza
1:02.0,,,52-70,3,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson)
0:51.0,E. Payton misses 2-pt shot from 17 ft,,52-70,,
0:51.0,,,52-70,,Defensive rebound by J. Harden
0:31.0,,,52-70,,Turnover by J. Harden (bad pass; steal by N. Vucevic)
0:26.0,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon),2,54-70,,
0:03.0,,,54-70,,J. Harden misses 2-pt shot from 6 ft (block by E. Fournier)
0:02.0,,,54-70,,Offensive rebound by Team
0:02.0,,,54-70,,Turnover by Team (bad pass)
0:02.0,,,54-70,,Houston full timeout
0:02.0,C. Watson enters the game for A. Gordon,,54-70,,
0:02.0,D. Augustin enters the game for E. Payton,,54-70,,
0:01.0,Turnover by C. Watson (bad pass),,54-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-70,,J. Harden misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by N. Vucevic,,54-70,,
11:23.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,56-70,,
11:03.0,,,56-70,,P. Beverley misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by N. Vucevic,,56-70,,
10:48.0,E. Payton misses 2-pt shot from 7 ft,,56-70,,
10:47.0,Offensive rebound by N. Vucevic,,56-70,,
10:47.0,N. Vucevic misses 2-pt shot from 2 ft,,56-70,,
10:46.0,Offensive rebound by N. Vucevic,,56-70,,
10:46.0,N. Vucevic makes 2-pt shot from 2 ft,2,58-70,,
10:27.0,,,58-70,,T. Ariza misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by N. Vucevic,,58-70,,
10:20.0,Turnover by M. Hezonja (bad pass; steal by R. Anderson),,58-70,,
10:08.0,,,58-73,3,P. Beverley makes 3-pt shot from 26 ft (assist by R. Anderson)
9:45.0,N. Vucevic misses 2-pt shot from 15 ft,,58-73,,
9:44.0,Offensive rebound by E. Fournier,,58-73,,
9:42.0,E. Fournier makes 2-pt shot from 3 ft,2,60-73,,
9:28.0,,,60-76,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:08.0,S. Ibaka misses 2-pt shot from 18 ft,,60-76,,
9:07.0,,,60-76,,Defensive rebound by T. Ariza
8:58.0,,,60-76,,T. Ariza misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by Team,,60-76,,
8:47.0,,,60-76,,Personal foul by C. Capela (drawn by N. Vucevic)
8:37.0,S. Ibaka misses 2-pt shot from 9 ft,,60-76,,
8:36.0,,,60-76,,Defensive rebound by T. Ariza
8:29.0,,,60-76,,J. Harden misses 2-pt shot from 10 ft
8:28.0,,,60-76,,Offensive rebound by J. Harden
8:28.0,,,60-76,,J. Harden misses 2-pt shot from 2 ft
8:28.0,Defensive rebound by Team,,60-76,,
8:18.0,M. Hezonja misses 2-pt shot from 2 ft,,60-76,,
8:17.0,,,60-76,,Defensive rebound by T. Ariza
8:10.0,,,60-76,,Shooting foul by M. Hezonja (drawn by J. Harden)
8:10.0,,,60-76,,J. Harden misses free throw 1 of 3
8:10.0,,,60-76,,Offensive rebound by Team
8:10.0,,,60-77,1,J. Harden makes free throw 2 of 3
8:10.0,,,60-78,1,J. Harden makes free throw 3 of 3
7:57.0,,,60-78,,Personal foul by P. Beverley (drawn by E. Fournier)
7:50.0,Turnover by M. Hezonja (lost ball),,60-78,,
7:36.0,,,60-78,,P. Beverley misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by S. Ibaka,,60-78,,
7:28.0,E. Payton makes 2-pt shot from 6 ft,2,62-78,,
7:12.0,,,62-78,,T. Ariza misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by N. Vucevic,,62-78,,
7:05.0,S. Ibaka misses 2-pt shot from 6 ft,,62-78,,
7:04.0,,,62-78,,Defensive rebound by C. Capela
6:46.0,,,62-81,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
6:31.0,M. Hezonja makes 2-pt shot from 20 ft (assist by E. Payton),2,64-81,,
6:15.0,,,64-81,,J. Harden misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by N. Vucevic,,64-81,,
6:05.0,E. Payton makes 2-pt shot from 11 ft,2,66-81,,
5:43.0,,,66-83,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
5:28.0,E. Payton misses 2-pt shot from 1 ft (block by C. Capela),,66-83,,
5:27.0,,,66-83,,Defensive rebound by P. Beverley
5:23.0,,,66-83,,Shooting foul by N. Vucevic (drawn by J. Harden)
5:23.0,,,66-83,,Houston full timeout
5:23.0,,,66-84,1,J. Harden makes free throw 1 of 2
5:23.0,,,66-85,1,J. Harden makes free throw 2 of 2
5:23.0,,,66-83,,N. Hilario enters the game for C. Capela
5:23.0,,,66-83,,E. Gordon enters the game for P. Beverley
5:11.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,68-85,,
4:56.0,,,68-87,2,R. Anderson makes 2-pt shot from 4 ft (assist by T. Ariza)
4:56.0,,,68-87,,Shooting foul by M. Hezonja (drawn by R. Anderson)
4:56.0,,,68-88,1,R. Anderson makes free throw 1 of 1
4:36.0,E. Fournier misses 2-pt shot from 6 ft,,68-88,,
4:36.0,,,68-88,,Defensive rebound by Team
4:24.0,,,68-88,,J. Harden misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by N. Vucevic,,68-88,,
4:13.0,M. Hezonja misses 2-pt shot from 21 ft,,68-88,,
4:12.0,,,68-88,,Defensive rebound by J. Harden
4:09.0,,,68-88,,Turnover by J. Harden (bad pass; steal by M. Hezonja)
4:04.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,70-88,,
3:45.0,,,70-88,,Turnover by E. Gordon (lost ball; steal by E. Payton)
3:39.0,E. Payton makes 2-pt shot from 1 ft,2,72-88,,
3:29.0,,,72-88,,Shooting foul by E. Payton (drawn by E. Gordon)
3:29.0,,,72-89,1,E. Gordon makes free throw 1 of 3
3:29.0,,,72-90,1,E. Gordon makes free throw 2 of 3
3:29.0,,,72-91,1,E. Gordon makes free throw 3 of 3
3:29.0,,,72-90,,S. Dekker enters the game for R. Anderson
3:29.0,D. Augustin enters the game for E. Payton,,72-90,,
3:29.0,C. Watson enters the game for M. Hezonja,,72-90,,
3:10.0,S. Ibaka makes 2-pt shot from 19 ft,2,74-91,,
2:57.0,,,74-91,,E. Gordon misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by C. Watson,,74-91,,
2:42.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier),2,76-91,,
2:27.0,,,76-93,2,J. Harden makes 2-pt shot from 10 ft
2:21.0,Orlando full timeout,,76-93,,
2:21.0,,,76-93,,P. Beverley enters the game for T. Ariza
2:21.0,,,76-93,,C. Brewer enters the game for J. Harden
2:11.0,Shooting foul by N. Hilario (drawn by E. Fournier),,76-93,,
2:11.0,E. Fournier makes free throw 1 of 2,1,77-93,,
2:11.0,E. Fournier makes free throw 2 of 2,1,78-93,,
1:47.0,,,78-93,,N. Hilario misses 2-pt shot from 19 ft
1:47.0,Defensive rebound by C. Watson,,78-93,,
1:40.0,Shooting foul by C. Brewer (drawn by E. Fournier),,78-93,,
1:40.0,E. Fournier makes free throw 1 of 2,1,79-93,,
1:40.0,E. Fournier makes free throw 2 of 2,1,80-93,,
1:40.0,B. Biyombo enters the game for N. Vucevic,,79-93,,
1:18.0,,,80-93,,Turnover by P. Beverley (bad pass; steal by C. Watson)
1:11.0,Shooting foul by S. Dekker (drawn by D. Augustin),,80-93,,
1:11.0,D. Augustin makes free throw 1 of 2,1,81-93,,
1:11.0,D. Augustin makes free throw 2 of 2,1,82-93,,
0:48.0,,,82-93,,E. Gordon misses 2-pt shot from 10 ft
0:47.0,Defensive rebound by S. Ibaka,,82-93,,
0:31.0,B. Biyombo makes 2-pt shot from 11 ft (assist by D. Augustin),2,84-93,,
0:23.0,,,84-93,,Shooting foul by C. Watson (drawn by E. Gordon)
0:23.0,,,84-94,1,E. Gordon makes free throw 1 of 2
0:23.0,,,84-94,,E. Gordon misses free throw 2 of 2
0:23.0,Defensive rebound by B. Biyombo,,84-94,,
0:06.0,Offensive charge foul by E. Fournier,,84-94,,
0:06.0,Turnover by E. Fournier (offensive foul),,84-94,,
0:00.0,,,84-94,,P. Beverley misses 3-pt shot from 25 ft
0:00.0,,,84-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,E. Fournier makes 2-pt shot from 16 ft (assist by B. Biyombo),2,86-94,,
11:34.0,,,86-94,,Turnover by E. Gordon (bad pass)
11:23.0,,,86-94,,Violation by N. Hilario (kicked ball)
11:11.0,B. Biyombo misses 2-pt shot from 7 ft,,86-94,,
11:10.0,,,86-94,,Defensive rebound by P. Beverley
11:06.0,,,86-96,2,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley)
11:06.0,,,86-96,,Shooting foul by E. Fournier (drawn by C. Brewer)
11:06.0,,,86-97,1,C. Brewer makes free throw 1 of 1
10:55.0,S. Ibaka makes 3-pt shot from 25 ft (assist by C. Watson),3,89-97,,
10:45.0,,,89-99,2,P. Beverley makes 2-pt shot from 2 ft
10:28.0,C. Watson misses 2-pt shot from 4 ft (block by E. Gordon),,89-99,,
10:22.0,,,89-99,,Defensive rebound by C. Brewer
10:19.0,,,89-99,,C. Brewer misses 2-pt shot from 2 ft (block by S. Ibaka)
10:17.0,Defensive rebound by B. Biyombo,,89-99,,
10:10.0,Turnover by B. Biyombo (step out of bounds),,89-99,,
10:10.0,Violation by Team (jump ball),,89-99,,
9:54.0,,,89-102,3,E. Gordon makes 3-pt shot from 27 ft
9:34.0,E. Fournier misses 3-pt shot from 25 ft,,89-102,,
9:33.0,,,89-102,,Defensive rebound by Team
9:18.0,,,89-102,,N. Hilario misses 2-pt shot from 18 ft
9:16.0,Defensive rebound by S. Ibaka,,89-102,,
9:10.0,,,89-102,,Personal foul by P. Beverley (drawn by D. Augustin)
9:10.0,M. Hezonja enters the game for E. Fournier,,89-102,,
8:55.0,M. Hezonja makes 2-pt shot from 20 ft (assist by C. Watson),2,91-102,,
8:45.0,,,91-102,,E. Gordon misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by D. Augustin,,91-102,,
8:41.0,C. Watson makes 2-pt shot from 1 ft (assist by D. Augustin),2,93-102,,
8:41.0,,,93-102,,Houston full timeout
8:41.0,,,93-102,,T. Ariza enters the game for P. Beverley
8:41.0,,,93-102,,R. Anderson enters the game for N. Hilario
8:41.0,,,93-102,,J. Harden enters the game for S. Dekker
8:41.0,,,93-102,,C. Capela enters the game for C. Brewer
8:18.0,,,93-102,,J. Harden misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by S. Ibaka,,93-102,,
8:01.0,B. Biyombo misses 2-pt shot from 2 ft,,93-102,,
8:00.0,Offensive rebound by B. Biyombo,,93-102,,
8:00.0,B. Biyombo misses 2-pt shot from 1 ft,,93-102,,
7:59.0,,,93-102,,Defensive rebound by C. Capela
7:47.0,Personal foul by C. Watson (drawn by J. Harden),,93-102,,
7:39.0,,,93-104,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
7:25.0,S. Ibaka makes 2-pt shot from 19 ft (assist by C. Watson),2,95-104,,
7:06.0,,,95-104,,Shooting foul by M. Hezonja (drawn by C. Capela)
7:06.0,,,95-105,1,C. Capela makes free throw 1 of 2
7:06.0,,,95-106,1,C. Capela makes free throw 2 of 2
6:39.0,M. Hezonja misses 3-pt shot from 24 ft,,95-106,,
6:39.0,,,95-106,,Defensive rebound by Team
6:34.0,,,95-106,,J. Harden misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by M. Hezonja,,95-106,,
6:21.0,S. Ibaka makes 2-pt shot from 14 ft (assist by D. Augustin),2,97-106,,
6:05.0,,,97-106,,C. Capela misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by M. Hezonja,,97-106,,
5:57.0,C. Watson misses 3-pt shot from 24 ft,,97-106,,
5:57.0,,,97-106,,Defensive rebound by T. Ariza
5:46.0,,,97-106,,Shooting foul by B. Biyombo (drawn by J. Harden)
5:46.0,,,97-106,,Houston full timeout
5:46.0,,,97-106,,J. Harden misses free throw 1 of 2
5:46.0,,,97-106,,Offensive rebound by Team
5:46.0,,,97-106,,J. Harden misses free throw 2 of 2
5:46.0,Defensive rebound by S. Ibaka,,97-106,,
5:46.0,N. Vucevic enters the game for B. Biyombo,,97-106,,
5:46.0,E. Fournier enters the game for M. Hezonja,,97-106,,
5:28.0,D. Augustin misses 3-pt shot from 23 ft,,97-106,,
5:27.0,,,97-106,,Defensive rebound by J. Harden
