time,Indiana,pts.away,score,pts.home,Chicago
5:52.0,,,29-41,,Turnover by J. Butler (bad pass)
5:52.0,Indiana full timeout,,29-41,,
5:52.0,,,29-41,,T. Gibson enters the game for D. Wade
5:52.0,,,29-41,,R. Lopez enters the game for N. Mirotic
5:52.0,,,29-41,,R. Rondo enters the game for C. Felicio
5:52.0,J. Teague enters the game for A. Jefferson,,29-41,,
5:52.0,M. Turner enters the game for C. Miles,,29-41,,
5:52.0,G. Robinson enters the game for A. Brooks,,29-41,,
5:38.0,J. Teague makes 2-pt shot from 5 ft (assist by P. George),2,31-41,,
5:21.0,,,31-41,,T. Gibson misses 2-pt shot from 19 ft
5:21.0,Defensive rebound by Team,,31-41,,
4:58.0,J. Teague makes 3-pt shot from 26 ft,3,34-41,,
4:38.0,Violation by T. Young (kicked ball),,34-41,,
4:27.0,,,34-44,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Rondo)
4:12.0,P. George makes 2-pt shot from 18 ft (assist by J. Teague),2,36-44,,
4:02.0,,,36-44,,Shooting foul by T. Young (drawn by J. Butler)
4:02.0,,,36-44,,J. Butler misses free throw 1 of 2
4:02.0,,,36-44,,Offensive rebound by Team
4:02.0,,,36-45,1,J. Butler makes free throw 2 of 2
3:47.0,M. Turner misses 2-pt shot from 21 ft,,36-45,,
3:46.0,,,36-45,,Defensive rebound by J. Grant
3:38.0,,,36-47,2,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo)
3:32.0,Turnover by T. Young (bad pass; steal by J. Grant),,36-47,,
3:17.0,,,36-49,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler)
3:15.0,Indiana full timeout,,36-49,,
3:04.0,,,36-49,,Personal foul by J. Grant (drawn by P. George)
2:52.0,T. Young makes 3-pt shot from 25 ft (assist by P. George),3,39-49,,
2:26.0,,,39-49,,T. Gibson misses 2-pt shot from 6 ft
2:26.0,,,39-49,,Offensive rebound by R. Lopez
2:26.0,,,39-49,,R. Lopez misses 2-pt shot from 3 ft
2:26.0,,,39-49,,Offensive rebound by R. Lopez
2:26.0,,,39-51,2,R. Lopez makes 2-pt shot from 3 ft
2:26.0,,,39-51,,Shooting foul by M. Turner (drawn by R. Lopez)
2:26.0,,,39-51,,R. Lopez misses free throw 1 of 1
2:24.0,Defensive rebound by M. Turner,,39-51,,
2:14.0,J. Teague misses 2-pt shot from 13 ft,,39-51,,
2:14.0,,,39-51,,Defensive rebound by Team
1:51.0,,,39-51,,R. Lopez misses 2-pt shot from 10 ft
1:48.0,Defensive rebound by M. Turner,,39-51,,
1:29.0,P. George misses 3-pt shot from 26 ft,,39-51,,
1:28.0,Offensive rebound by T. Young,,39-51,,
1:20.0,T. Young misses 3-pt shot from 25 ft,,39-51,,
1:19.0,Offensive rebound by T. Young,,39-51,,
1:18.0,,,39-51,,N. Mirotic enters the game for R. Lopez
0:55.0,M. Turner misses 3-pt shot from 24 ft,,39-51,,
0:51.0,,,39-51,,Defensive rebound by R. Rondo
0:44.0,,,39-51,,T. Gibson misses 2-pt shot from 17 ft
0:42.0,Defensive rebound by T. Young,,39-51,,
0:31.0,T. Young makes 2-pt shot from 5 ft,2,41-51,,
0:07.0,,,41-51,,J. Grant misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by M. Turner,,41-51,,
0:00.0,G. Robinson misses 3-pt shot from 24 ft,,41-51,,
0:00.0,Offensive rebound by Team,,41-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,41-51,,Personal foul by R. Rondo (drawn by P. George)
11:40.0,J. Teague misses 3-pt shot from 25 ft,,41-51,,
11:39.0,,,41-51,,Defensive rebound by J. Butler
11:18.0,,,41-51,,T. Gibson misses 2-pt shot from 15 ft
11:16.0,Defensive rebound by M. Turner,,41-51,,
10:59.0,P. George misses 2-pt shot from 20 ft,,41-51,,
10:58.0,,,41-51,,Defensive rebound by R. Lopez
10:46.0,,,41-53,2,R. Lopez makes 2-pt shot from 5 ft (assist by R. Rondo)
10:21.0,T. Young misses 2-pt shot from 18 ft,,41-53,,
10:20.0,,,41-53,,Defensive rebound by D. Wade
10:15.0,,,41-53,,R. Rondo misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by P. George,,41-53,,
10:08.0,T. Young makes 2-pt shot from 5 ft (assist by P. George),2,43-53,,
9:55.0,Personal foul by M. Turner (drawn by R. Lopez),,43-53,,
9:48.0,,,43-53,,R. Lopez misses 2-pt shot from 5 ft (block by M. Turner)
9:47.0,Defensive rebound by T. Young,,43-53,,
9:39.0,P. George misses 2-pt shot from 19 ft,,43-53,,
9:38.0,,,43-53,,Defensive rebound by R. Lopez
9:24.0,,,43-53,,D. Wade misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by J. Teague,,43-53,,
9:12.0,M. Turner makes 3-pt shot from 24 ft (assist by J. Teague),3,46-53,,
8:48.0,,,46-53,,J. Butler misses 2-pt shot from 9 ft
8:46.0,Defensive rebound by M. Turner,,46-53,,
8:29.0,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague),2,48-53,,
8:29.0,,,48-53,,Chicago full timeout
8:16.0,,,48-53,,Turnover by T. Gibson (lost ball; steal by T. Young)
8:15.0,,,48-53,,Personal foul by R. Rondo (drawn by G. Robinson)
8:10.0,Turnover by P. George (lost ball; steal by R. Lopez),,48-53,,
8:00.0,,,48-55,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Wade)
7:38.0,G. Robinson misses 3-pt shot from 23 ft,,48-55,,
7:37.0,,,48-55,,Defensive rebound by R. Lopez
7:17.0,,,48-55,,D. Wade misses 2-pt shot from 8 ft
7:14.0,Defensive rebound by T. Young,,48-55,,
7:07.0,P. George misses 3-pt shot from 23 ft,,48-55,,
7:06.0,,,48-55,,Defensive rebound by R. Lopez
6:51.0,,,48-57,2,J. Butler makes 2-pt shot from 4 ft
6:23.0,J. Teague misses 2-pt shot from 18 ft,,48-57,,
6:21.0,,,48-57,,Defensive rebound by R. Rondo
6:09.0,,,48-57,,T. Gibson misses 2-pt shot from 3 ft
6:07.0,,,48-57,,Offensive rebound by R. Lopez
6:07.0,,,48-59,2,R. Lopez makes 2-pt shot from 2 ft
5:48.0,M. Turner misses 3-pt shot from 24 ft,,48-59,,
5:47.0,,,48-59,,Defensive rebound by D. Wade
5:38.0,,,48-59,,Turnover by R. Rondo (bad pass; steal by T. Young)
5:33.0,Turnover by T. Young (bad pass; steal by R. Lopez),,48-59,,
5:28.0,,,48-59,,Offensive charge foul by D. Wade
5:28.0,,,48-59,,Turnover by D. Wade (offensive foul)
5:28.0,,,48-59,,M. Carter-Williams enters the game for D. Wade
5:28.0,,,48-59,,N. Mirotic enters the game for T. Gibson
5:28.0,K. Seraphin enters the game for T. Young,,48-59,,
5:13.0,Shooting foul by R. Rondo (drawn by M. Turner),,48-59,,
5:13.0,M. Turner misses free throw 1 of 2,,48-59,,
5:13.0,Offensive rebound by Team,,48-59,,
5:13.0,M. Turner makes free throw 2 of 2,1,49-59,,
4:58.0,,,49-59,,R. Rondo misses 3-pt shot from 22 ft
4:57.0,Defensive rebound by G. Robinson,,49-59,,
4:46.0,M. Turner misses 2-pt shot from 3 ft,,49-59,,
4:45.0,,,49-59,,Defensive rebound by N. Mirotic
4:37.0,,,49-59,,Turnover by R. Rondo (bad pass; steal by P. George)
4:32.0,Turnover by J. Teague (step out of bounds),,49-59,,
4:32.0,,,49-59,,J. Grant enters the game for R. Rondo
4:24.0,,,49-59,,Shooting foul by K. Seraphin (drawn by J. Butler)
4:24.0,,,49-60,1,J. Butler makes free throw 1 of 2
4:24.0,,,49-61,1,J. Butler makes free throw 2 of 2
4:24.0,A. Brooks enters the game for J. Teague,,49-60,,
4:01.0,Turnover by A. Brooks (bad pass; steal by J. Grant),,49-61,,
3:50.0,,,49-61,,Offensive foul by R. Lopez
3:50.0,,,49-61,,Turnover by R. Lopez (offensive foul)
3:26.0,P. George misses 3-pt shot from 24 ft,,49-61,,
3:25.0,,,49-61,,Defensive rebound by Team
3:23.0,Loose ball foul by K. Seraphin (drawn by N. Mirotic),,49-61,,
3:22.0,C. Miles enters the game for G. Robinson,,49-61,,
3:14.0,,,49-61,,N. Mirotic misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by K. Seraphin,,49-61,,
3:06.0,P. George makes 2-pt shot from 22 ft (assist by A. Brooks),2,51-61,,
3:06.0,Shooting foul by M. Carter-Williams (drawn by P. George),,51-61,,
3:06.0,P. George makes free throw 1 of 1,1,52-61,,
3:06.0,A. Jefferson enters the game for M. Turner,,51-61,,
2:54.0,Indiana full timeout,,52-61,,
2:44.0,,,52-61,,J. Butler misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by A. Jefferson,,52-61,,
2:23.0,K. Seraphin makes 2-pt shot from 5 ft,2,54-61,,
2:07.0,,,54-61,,Offensive foul by R. Lopez
2:07.0,,,54-61,,Turnover by R. Lopez (offensive foul)
1:53.0,A. Brooks makes 2-pt shot from 7 ft,2,56-61,,
1:38.0,,,56-61,,Shooting foul by A. Jefferson (drawn by J. Butler)
1:38.0,,,56-61,,J. Butler misses free throw 1 of 2
1:38.0,,,56-61,,Offensive rebound by Team
1:38.0,,,56-62,1,J. Butler makes free throw 2 of 2
1:38.0,G. Robinson enters the game for P. George,,56-61,,
1:21.0,A. Brooks makes 2-pt shot from 14 ft (assist by A. Jefferson),2,58-62,,
0:56.0,,,58-62,,J. Butler misses 2-pt shot from 15 ft
0:55.0,Defensive rebound by C. Miles,,58-62,,
0:35.0,K. Seraphin misses 2-pt shot from 14 ft,,58-62,,
0:34.0,,,58-62,,Defensive rebound by M. Carter-Williams
0:30.0,,,58-62,,Shooting foul by A. Brooks (drawn by M. Carter-Williams)
0:30.0,,,58-62,,M. Carter-Williams misses free throw 1 of 2
0:30.0,,,58-62,,Offensive rebound by Team
0:30.0,,,58-63,1,M. Carter-Williams makes free throw 2 of 2
0:30.0,,,58-62,,D. Wade enters the game for J. Butler
0:13.0,A. Brooks makes 3-pt shot from 25 ft (assist by K. Seraphin),3,61-63,,
0:04.0,,,61-63,,D. Wade misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by K. Seraphin,,61-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,61-63,,Shooting foul by C. Miles (drawn by C. Felicio)
11:51.0,,,61-63,,C. Felicio misses free throw 1 of 2
11:51.0,,,61-63,,Offensive rebound by Team
11:51.0,,,61-64,1,C. Felicio makes free throw 2 of 2
11:33.0,A. Brooks makes 3-pt shot from 26 ft (assist by A. Jefferson),3,64-64,,
11:17.0,Personal foul by K. Seraphin (drawn by N. Mirotic),,64-64,,
11:12.0,,,64-66,2,D. Wade makes 2-pt shot from 7 ft
11:12.0,,,64-66,,Shooting foul by A. Jefferson (drawn by D. Wade)
11:12.0,,,64-67,1,D. Wade makes free throw 1 of 1
10:53.0,G. Robinson misses 2-pt shot from 3 ft (block by D. Wade),,64-67,,
10:50.0,Offensive rebound by A. Jefferson,,64-67,,
10:50.0,A. Jefferson misses 2-pt shot from 3 ft,,64-67,,
10:49.0,,,64-67,,Defensive rebound by N. Mirotic
10:40.0,,,64-67,,C. Felicio misses 2-pt shot from 2 ft (block by K. Seraphin)
10:40.0,,,64-67,,Offensive rebound by Team
10:29.0,,,64-67,,D. Wade misses 2-pt shot from 14 ft
10:27.0,,,64-67,,Offensive rebound by N. Mirotic
10:24.0,,,64-69,2,N. Mirotic makes 2-pt shot from 2 ft
10:05.0,Turnover by K. Seraphin (3 sec),,64-69,,
9:50.0,,,64-69,,N. Mirotic misses 3-pt shot from 26 ft
9:48.0,,,64-69,,Offensive rebound by J. Grant
9:31.0,,,64-69,,M. Carter-Williams misses 2-pt shot from 17 ft
9:29.0,,,64-69,,Offensive rebound by N. Mirotic
9:23.0,,,64-69,,D. Wade misses 3-pt shot from 23 ft
9:22.0,,,64-69,,Offensive rebound by C. Felicio
9:18.0,,,64-69,,Offensive charge foul by J. Grant
9:18.0,,,64-69,,Turnover by J. Grant (offensive foul)
9:02.0,C. Miles misses 2-pt shot from 13 ft,,64-69,,
9:00.0,,,64-69,,Defensive rebound by N. Mirotic
8:54.0,,,64-71,2,D. Wade makes 2-pt shot from 6 ft
8:32.0,K. Seraphin misses 2-pt shot from 20 ft,,64-71,,
8:31.0,Offensive rebound by A. Brooks,,64-71,,
8:19.0,A. Jefferson misses 2-pt shot from 13 ft,,64-71,,
8:19.0,Offensive rebound by G. Robinson,,64-71,,
8:19.0,G. Robinson misses 2-pt shot from 1 ft,,64-71,,
8:19.0,,,64-71,,Defensive rebound by Team
8:19.0,Loose ball foul by K. Seraphin (drawn by N. Mirotic),,64-71,,
8:19.0,,,64-71,,Chicago full timeout
8:19.0,T. Young enters the game for G. Robinson,,64-71,,
8:19.0,P. George enters the game for K. Seraphin,,64-71,,
8:14.0,Personal foul by A. Jefferson (drawn by C. Felicio),,64-71,,
8:14.0,,,64-71,,C. Felicio misses free throw 1 of 2
8:14.0,,,64-71,,Offensive rebound by Team
8:14.0,,,64-72,1,C. Felicio makes free throw 2 of 2
8:14.0,,,64-71,,J. Butler enters the game for M. Carter-Williams
7:51.0,C. Miles misses 2-pt shot from 3 ft,,64-72,,
7:50.0,,,64-72,,Defensive rebound by C. Felicio
7:43.0,Personal foul by P. George (drawn by D. Wade),,64-72,,
7:43.0,,,64-73,1,D. Wade makes free throw 1 of 2
7:43.0,,,64-74,1,D. Wade makes free throw 2 of 2
7:34.0,Shooting foul by J. Grant (drawn by A. Brooks),,64-74,,
7:34.0,A. Brooks makes free throw 1 of 2,1,65-74,,
7:34.0,A. Brooks makes free throw 2 of 2,1,66-74,,
7:12.0,,,66-76,2,N. Mirotic makes 2-pt shot from 2 ft (assist by D. Wade)
6:55.0,T. Young makes 3-pt shot from 23 ft (assist by P. George),3,69-76,,
6:38.0,,,69-76,,D. Wade misses 2-pt shot from 9 ft
6:37.0,Defensive rebound by A. Jefferson,,69-76,,
6:29.0,A. Jefferson makes 2-pt shot from 6 ft (assist by A. Brooks),2,71-76,,
6:29.0,Shooting foul by C. Felicio (drawn by A. Jefferson),,71-76,,
6:29.0,A. Jefferson makes free throw 1 of 1,1,72-76,,
6:29.0,,,71-76,,R. Lopez enters the game for C. Felicio
6:11.0,,,72-76,,R. Lopez misses 2-pt shot from 1 ft (block by A. Brooks)
6:10.0,Defensive rebound by A. Brooks,,72-76,,
6:06.0,Shooting foul by R. Lopez (drawn by A. Brooks),,72-76,,
6:06.0,A. Brooks makes free throw 1 of 2,1,73-76,,
6:06.0,A. Brooks makes free throw 2 of 2,1,74-76,,
5:46.0,,,74-76,,J. Butler misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by C. Miles,,74-76,,
5:35.0,T. Young misses 3-pt shot from 24 ft,,74-76,,
5:34.0,,,74-76,,Defensive rebound by R. Lopez
5:15.0,,,74-79,3,J. Grant makes 3-pt shot from 23 ft (assist by D. Wade)
4:52.0,Turnover by P. George (bad pass),,74-79,,
4:52.0,,,74-79,,Chicago full timeout
4:52.0,M. Turner enters the game for A. Jefferson,,74-79,,
4:44.0,,,74-79,,Shooting foul by C. Miles (drawn by J. Butler)
4:44.0,,,74-80,1,J. Butler makes free throw 1 of 2
4:44.0,,,74-80,,J. Butler misses free throw 2 of 2
4:43.0,Defensive rebound by M. Turner,,74-80,,
4:29.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,76-80,,
4:12.0,,,76-80,,J. Butler misses 2-pt shot from 5 ft
4:09.0,Jump ball: R. Lopez vs. T. Young (M. Turner gains possession),,,,Jump ball: R. Lopez vs. T. Young (M. Turner gains possession)
4:09.0,Defensive rebound by Team,,76-80,,
3:53.0,M. Turner makes 2-pt shot from 21 ft (assist by C. Miles),2,78-80,,
3:38.0,,,78-80,,D. Wade misses 2-pt shot from 2 ft
3:37.0,,,78-80,,Offensive rebound by R. Lopez
3:14.0,,,78-80,,J. Grant misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by M. Turner,,78-80,,
2:50.0,M. Turner misses 2-pt shot from 21 ft,,78-80,,
2:49.0,,,78-80,,Defensive rebound by R. Lopez
2:29.0,,,78-82,2,D. Wade makes 2-pt shot from 18 ft
2:29.0,Indiana full timeout,,78-82,,
2:29.0,,,78-82,,T. Gibson enters the game for R. Lopez
2:08.0,A. Brooks makes 2-pt shot from 13 ft,2,80-82,,
1:51.0,,,80-82,,D. Wade misses 2-pt shot from 9 ft (block by M. Turner)
1:49.0,Defensive rebound by P. George,,80-82,,
1:36.0,Turnover by P. George (lost ball; steal by J. Butler),,80-82,,
1:36.0,,,80-82,,Chicago full timeout
