time,Minnesota,pts.away,score,pts.home,Washington
2:43.0,,,45-49,,M. Morris misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by Z. LaVine,,45-49,,
2:30.0,G. Dieng misses 2-pt shot from 19 ft,,45-49,,
2:29.0,,,45-49,,Defensive rebound by O. Porter
2:24.0,Minnesota full timeout,,45-49,,
2:06.0,,,45-51,2,O. Porter makes 2-pt shot from 20 ft (assist by M. Gortat)
1:50.0,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Towns),2,47-51,,
1:31.0,,,47-51,,M. Morris misses 2-pt shot from 21 ft
1:30.0,,,47-51,,Offensive rebound by M. Gortat
1:27.0,,,47-54,3,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter)
1:11.0,Turnover by G. Dieng (lost ball; steal by J. Wall),,47-54,,
1:09.0,,,47-54,,Turnover by J. Wall (discontinued dribble)
0:55.0,Offensive foul by K. Towns,,47-54,,
0:55.0,Turnover by K. Towns (offensive foul),,47-54,,
0:37.0,,,47-54,,O. Porter misses 2-pt shot from 6 ft
0:36.0,Defensive rebound by K. Towns,,47-54,,
0:31.0,Shooting foul by M. Morris (drawn by A. Wiggins),,47-54,,
0:31.0,A. Wiggins misses free throw 1 of 2,,47-54,,
0:31.0,Offensive rebound by Team,,47-54,,
0:31.0,A. Wiggins makes free throw 2 of 2,1,48-54,,
0:07.0,,,48-54,,J. Wall misses 2-pt shot from 16 ft
0:05.0,,,48-54,,Offensive rebound by O. Porter
0:02.0,,,48-56,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Shooting foul by M. Morris (drawn by A. Wiggins),,48-56,,
11:49.0,A. Wiggins makes free throw 1 of 2,1,49-56,,
11:49.0,A. Wiggins makes free throw 2 of 2,1,50-56,,
11:29.0,,,50-59,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
11:02.0,A. Wiggins makes 2-pt shot from 16 ft,2,52-59,,
10:49.0,,,52-61,2,B. Beal makes 2-pt shot from 1 ft
10:29.0,K. Towns misses 2-pt shot from 7 ft,,52-61,,
10:28.0,,,52-61,,Defensive rebound by M. Morris
10:22.0,,,52-64,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
10:21.0,Minnesota full timeout,,52-64,,
9:58.0,K. Towns misses 3-pt shot from 29 ft,,52-64,,
9:57.0,,,52-64,,Defensive rebound by B. Beal
9:44.0,,,52-64,,Turnover by J. Wall (bad pass; steal by K. Towns)
9:30.0,K. Towns misses 3-pt shot from 26 ft,,52-64,,
9:29.0,Offensive rebound by G. Dieng,,52-64,,
9:27.0,G. Dieng misses 2-pt shot from 2 ft,,52-64,,
9:26.0,,,52-64,,Defensive rebound by O. Porter
9:26.0,,,52-64,,Washington full timeout
9:15.0,,,52-66,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:01.0,Turnover by R. Rubio (bad pass),,52-66,,
8:41.0,,,52-66,,O. Porter misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by R. Rubio,,52-66,,
8:23.0,A. Wiggins makes 3-pt shot from 27 ft,3,55-66,,
8:08.0,,,55-66,,Turnover by M. Gortat (lost ball; steal by G. Dieng)
8:01.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,57-66,,
7:45.0,,,57-66,,B. Beal misses 3-pt shot from 27 ft
7:44.0,Defensive rebound by G. Dieng,,57-66,,
7:35.0,K. Towns makes 2-pt shot from 7 ft,2,59-66,,
7:16.0,,,59-66,,Shooting foul by G. Dieng (drawn by M. Gortat)
7:16.0,,,59-66,,M. Gortat misses free throw 1 of 2
7:16.0,,,59-66,,Offensive rebound by Team
7:16.0,,,59-67,1,M. Gortat makes free throw 2 of 2
7:08.0,A. Wiggins misses 2-pt shot from 7 ft (block by O. Porter),,59-67,,
7:08.0,Offensive rebound by A. Wiggins,,59-67,,
7:08.0,A. Wiggins makes 2-pt shot from 7 ft,2,61-67,,
7:08.0,Shooting foul by M. Gortat (drawn by A. Wiggins),,61-67,,
7:08.0,A. Wiggins makes free throw 1 of 1,1,62-67,,
6:59.0,Violation by R. Rubio (kicked ball),,62-67,,
6:48.0,,,62-67,,Turnover by J. Wall (bad pass; steal by A. Wiggins)
6:42.0,G. Dieng misses 2-pt shot from 1 ft,,62-67,,
6:42.0,,,62-67,,Defensive rebound by M. Gortat
6:33.0,,,62-67,,B. Beal misses 2-pt shot from 5 ft
6:31.0,Defensive rebound by R. Rubio,,62-67,,
6:24.0,Z. LaVine makes 3-pt shot from 23 ft (assist by K. Towns),3,65-67,,
6:04.0,,,65-69,2,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall)
5:51.0,Z. LaVine makes 3-pt shot from 27 ft,3,68-69,,
5:35.0,,,68-71,2,B. Beal makes 2-pt shot from 20 ft
5:13.0,G. Dieng makes 2-pt shot from 5 ft (assist by K. Towns),2,70-71,,
4:56.0,,,70-74,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
4:41.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,72-74,,
4:39.0,,,72-74,,Washington full timeout
4:39.0,,,72-74,,J. Smith enters the game for M. Morris
4:26.0,,,72-74,,Turnover by O. Porter (bad pass)
4:11.0,Z. LaVine misses 2-pt shot from 17 ft,,72-74,,
4:10.0,,,72-74,,Defensive rebound by M. Gortat
4:07.0,,,72-74,,Turnover by M. Gortat (discontinued dribble)
4:07.0,B. Rush enters the game for Z. LaVine,,72-74,,
3:55.0,A. Wiggins misses 2-pt shot from 17 ft,,72-74,,
3:54.0,Offensive rebound by R. Rubio,,72-74,,
3:42.0,,,72-74,,Personal foul by J. Wall (drawn by R. Rubio)
3:34.0,B. Rush makes 2-pt shot from 19 ft (assist by R. Rubio),2,74-74,,
3:19.0,Personal foul by R. Rubio (drawn by B. Beal),,74-74,,
3:19.0,,,74-74,,S. Mac enters the game for B. Beal
3:10.0,,,74-76,2,J. Wall makes 2-pt shot from 19 ft
2:50.0,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio),3,77-76,,
2:40.0,,,77-78,2,J. Wall makes 2-pt shot from 2 ft
2:21.0,A. Wiggins makes 2-pt shot from 21 ft,2,79-78,,
2:05.0,,,79-80,2,J. Wall makes 2-pt shot from 16 ft
1:48.0,A. Wiggins makes 2-pt shot from 16 ft,2,81-80,,
1:36.0,,,81-80,,J. Wall misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by G. Dieng,,81-80,,
1:22.0,R. Rubio makes 2-pt shot from 1 ft (assist by K. Towns),2,83-80,,
1:08.0,,,83-80,,Turnover by O. Porter (bad pass; steal by G. Dieng)
1:02.0,G. Dieng makes 2-pt shot from 1 ft,2,85-80,,
0:50.0,,,85-80,,J. Smith misses 2-pt shot from 19 ft
0:49.0,,,85-80,,Offensive rebound by S. Mac
0:46.0,,,85-80,,S. Mac misses 2-pt shot from 3 ft
0:45.0,Defensive rebound by G. Dieng,,85-80,,
0:36.0,Turnover by R. Rubio (back court),,85-80,,
0:36.0,N. Bjelica enters the game for K. Towns,,85-80,,
0:30.0,,,85-80,,J. Wall misses 2-pt shot from 20 ft
0:29.0,,,85-80,,Offensive rebound by Team
0:15.0,,,85-80,,J. Smith misses 2-pt shot from 21 ft
0:14.0,,,85-80,,Offensive rebound by M. Gortat
0:05.0,Personal take foul by R. Rubio (drawn by J. Wall),,85-80,,
0:02.0,,,85-80,,J. Wall misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by G. Dieng,,85-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,85-82,2,M. Gortat makes 2-pt shot from 7 ft
11:25.0,Z. LaVine misses 3-pt shot from 31 ft,,85-82,,
11:24.0,,,85-82,,Defensive rebound by Team
11:00.0,,,85-82,,J. Wall misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by C. Aldrich,,85-82,,
10:43.0,N. Bjelica misses 3-pt shot from 28 ft,,85-82,,
10:42.0,,,85-82,,Defensive rebound by K. Oubre
10:35.0,,,85-84,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:19.0,K. Dunn misses 2-pt shot from 10 ft,,85-84,,
10:18.0,,,85-84,,Defensive rebound by M. Gortat
10:04.0,,,85-87,3,K. Oubre makes 3-pt shot from 27 ft (assist by S. Mac)
9:45.0,N. Bjelica misses 3-pt shot from 24 ft,,85-87,,
9:44.0,,,85-87,,Defensive rebound by M. Gortat
9:26.0,,,85-89,2,J. Smith makes 2-pt shot from 15 ft (assist by S. Mac)
9:25.0,Minnesota full timeout,,85-89,,
9:25.0,,,85-89,,T. Burke enters the game for J. Wall
9:25.0,G. Dieng enters the game for Z. LaVine,,85-89,,
9:25.0,A. Wiggins enters the game for N. Bjelica,,85-89,,
9:25.0,K. Towns enters the game for C. Aldrich,,85-89,,
9:25.0,,,85-89,,M. Morris enters the game for M. Gortat
9:08.0,A. Wiggins misses 2-pt shot from 9 ft,,85-89,,
9:07.0,Offensive rebound by K. Towns,,85-89,,
8:54.0,G. Dieng makes 2-pt shot from 16 ft (assist by K. Dunn),2,87-89,,
8:36.0,,,87-91,2,J. Smith makes 2-pt shot from 22 ft (assist by S. Mac)
8:24.0,,,87-91,,Personal foul by K. Oubre (drawn by A. Wiggins)
8:11.0,G. Dieng makes 3-pt shot from 23 ft (assist by A. Wiggins),3,90-91,,
7:53.0,Personal foul by K. Dunn (drawn by M. Morris),,90-91,,
7:53.0,,,90-91,,B. Beal enters the game for S. Mac
7:37.0,,,90-91,,K. Oubre misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by K. Towns,,90-91,,
7:24.0,Z. LaVine enters the game for B. Rush,,90-91,,
7:24.0,R. Rubio enters the game for K. Dunn,,90-91,,
7:19.0,Offensive foul by K. Towns,,90-91,,
7:19.0,Turnover by K. Towns (offensive foul),,90-91,,
7:19.0,,,90-91,,J. Wall enters the game for T. Burke
7:08.0,,,90-93,2,J. Smith makes 2-pt shot at rim (assist by J. Wall)
7:07.0,Minnesota full timeout,,90-93,,
7:07.0,,,90-93,,M. Gortat enters the game for J. Smith
6:54.0,K. Towns makes 2-pt shot from 12 ft,2,92-93,,
6:38.0,,,92-93,,Offensive foul by K. Oubre
6:38.0,,,92-93,,Turnover by K. Oubre (offensive foul)
6:24.0,K. Towns misses 2-pt shot from 6 ft (block by M. Gortat),,92-93,,
6:24.0,Offensive rebound by K. Towns,,92-93,,
6:24.0,Turnover by K. Towns (step out of bounds),,92-93,,
6:24.0,,,92-93,,O. Porter enters the game for K. Oubre
6:10.0,,,92-95,2,M. Morris makes 2-pt shot from 8 ft (assist by J. Wall)
5:54.0,Shooting foul by O. Porter (drawn by A. Wiggins),,92-95,,
5:54.0,A. Wiggins misses free throw 1 of 2,,92-95,,
5:54.0,Offensive rebound by Team,,92-95,,
5:54.0,A. Wiggins makes free throw 2 of 2,1,93-95,,
5:39.0,,,93-95,,B. Beal misses 2-pt shot from 1 ft (block by K. Towns)
5:37.0,,,93-95,,Offensive rebound by Team
5:31.0,,,93-95,,J. Wall misses 2-pt shot from 22 ft
5:30.0,Defensive rebound by Z. LaVine,,93-95,,
5:14.0,A. Wiggins misses 2-pt shot from 8 ft,,93-95,,
5:13.0,Offensive rebound by K. Towns,,93-95,,
5:12.0,K. Towns makes 2-pt shot from 1 ft,2,95-95,,
5:12.0,Shooting foul by M. Morris (drawn by K. Towns),,95-95,,
5:12.0,K. Towns misses free throw 1 of 1,,95-95,,
5:11.0,,,95-95,,Defensive rebound by M. Gortat
5:01.0,,,95-95,,B. Beal misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by K. Towns,,95-95,,
4:45.0,K. Towns misses 2-pt shot from 11 ft,,95-95,,
4:44.0,,,95-95,,Defensive rebound by Team
4:27.0,,,95-97,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:07.0,A. Wiggins makes 2-pt shot at rim,2,97-97,,
3:40.0,,,97-99,2,J. Wall makes 2-pt shot from 23 ft (assist by B. Beal)
3:22.0,Shooting foul by M. Morris (drawn by K. Towns),,97-99,,
3:22.0,K. Towns makes free throw 1 of 2,1,98-99,,
3:22.0,K. Towns makes free throw 2 of 2,1,99-99,,
3:04.0,,,99-99,,M. Morris misses 2-pt shot from 8 ft
3:03.0,Defensive rebound by G. Dieng,,99-99,,
2:50.0,A. Wiggins makes 2-pt shot from 19 ft,2,101-99,,
2:31.0,,,101-101,2,O. Porter makes 2-pt shot from 19 ft
2:15.0,A. Wiggins misses 2-pt shot from 18 ft,,101-101,,
2:14.0,,,101-101,,Defensive rebound by O. Porter
2:09.0,,,101-103,2,J. Wall makes 2-pt shot at rim
1:47.0,A. Wiggins misses 2-pt shot from 2 ft,,101-103,,
1:44.0,Offensive rebound by G. Dieng,,101-103,,
1:42.0,G. Dieng misses 2-pt shot at rim,,101-103,,
1:41.0,,,101-103,,Defensive rebound by O. Porter
1:40.0,,,101-105,2,J. Wall makes 2-pt shot from 2 ft
1:40.0,Minnesota full timeout,,101-105,,
1:40.0,Official timeout,,101-105,,
1:34.0,A. Wiggins makes 2-pt shot at rim,2,103-105,,
1:20.0,Personal foul by Z. LaVine (drawn by B. Beal),,103-105,,
1:09.0,,,103-108,3,B. Beal makes 3-pt shot from 29 ft (assist by J. Wall)
1:03.0,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio),2,105-108,,
0:48.0,,,105-110,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:48.0,Minnesota full timeout,,105-110,,
0:48.0,N. Bjelica enters the game for G. Dieng,,105-110,,
0:42.0,A. Wiggins misses 2-pt shot from 19 ft,,105-110,,
0:41.0,,,105-110,,Defensive rebound by J. Wall
0:20.0,,,105-110,,Turnover by M. Gortat (lost ball)
0:14.0,Z. LaVine misses 3-pt shot from 31 ft,,105-110,,
0:13.0,,,105-110,,Defensive rebound by O. Porter
0:08.0,Personal take foul by Z. LaVine (drawn by J. Wall),,105-110,,
0:08.0,,,105-111,1,J. Wall makes free throw 1 of 2
0:08.0,,,105-112,1,J. Wall makes free throw 2 of 2
0:08.0,,,105-111,,K. Oubre enters the game for M. Gortat
0:03.0,A. Wiggins misses 3-pt shot from 27 ft,,105-112,,
0:02.0,Offensive rebound by Team,,105-112,,
0:01.0,K. Towns misses 2-pt shot from 8 ft,,105-112,,
0:00.0,,,105-112,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
