time,Minnesota,pts.away,score,pts.home,LA Lakers
8:41.0,Turnover by K. Dunn (step out of bounds),,23-36,,
8:41.0,Official timeout,,23-36,,
8:23.0,,,23-36,,Turnover by T. Robinson (bad pass; steal by T. Jones)
8:18.0,K. Dunn misses 2-pt shot from 1 ft (block by T. Black),,23-36,,
8:18.0,Offensive rebound by Team,,23-36,,
8:08.0,Shooting foul by T. Black (drawn by K. Towns),,23-36,,
8:08.0,K. Towns misses free throw 1 of 2,,23-36,,
8:08.0,Offensive rebound by Team,,23-36,,
8:08.0,K. Towns makes free throw 2 of 2,1,24-36,,
7:43.0,,,24-36,,D. Russell misses 2-pt shot from 19 ft
7:42.0,Defensive rebound by K. Dunn,,24-36,,
7:32.0,Shooting foul by T. Ennis (drawn by S. Muhammad),,24-36,,
7:32.0,S. Muhammad makes free throw 1 of 2,1,25-36,,
7:32.0,S. Muhammad makes free throw 2 of 2,1,26-36,,
7:19.0,,,26-38,2,T. Robinson makes 2-pt shot from 5 ft (assist by D. Russell)
6:59.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,28-38,,
6:49.0,,,28-41,3,T. Ennis makes 3-pt shot from 25 ft
6:42.0,S. Muhammad misses 2-pt shot from 1 ft (block by T. Black),,28-41,,
6:40.0,Offensive rebound by K. Towns,,28-41,,
6:38.0,K. Towns misses 2-pt shot from 2 ft,,28-41,,
6:37.0,Offensive rebound by K. Towns,,28-41,,
6:33.0,K. Towns makes 2-pt shot from 1 ft,2,30-41,,
6:22.0,,,30-44,3,T. Ennis makes 3-pt shot from 25 ft
6:13.0,,,30-44,,Personal foul by T. Black (drawn by T. Jones)
6:13.0,R. Rubio enters the game for O. Casspi,,30-44,,
6:13.0,A. Wiggins enters the game for K. Dunn,,30-44,,
6:13.0,G. Dieng enters the game for T. Jones,,30-44,,
6:13.0,,,30-44,,J. Randle enters the game for T. Black
6:07.0,,,30-44,,T. Black enters the game for T. Robinson
5:59.0,G. Dieng misses 2-pt shot from 12 ft (block by T. Black),,30-44,,
5:59.0,Offensive rebound by Team,,30-44,,
5:59.0,Turnover by Team (shot clock),,30-44,,
5:59.0,,,30-44,,LA Lakers full timeout
5:59.0,,,30-44,,J. Clarkson enters the game for T. Ennis
5:59.0,,,30-44,,L. Nance enters the game for C. Brewer
5:59.0,,,30-44,,B. Ingram enters the game for T. Black
5:39.0,,,30-46,2,J. Randle makes 2-pt shot from 4 ft (assist by D. Russell)
5:11.0,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio),3,33-46,,
4:58.0,,,33-46,,Turnover by B. Ingram (dbl dribble)
4:45.0,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins),2,35-46,,
4:24.0,,,35-48,2,J. Clarkson makes 2-pt shot from 10 ft
4:03.0,Shooting foul by B. Ingram (drawn by K. Towns),,35-48,,
4:03.0,K. Towns makes free throw 1 of 2,1,36-48,,
4:03.0,K. Towns misses free throw 2 of 2,,36-48,,
4:03.0,B. Rush enters the game for S. Muhammad,,36-48,,
4:01.0,,,36-48,,Defensive rebound by J. Randle
3:49.0,,,36-48,,Turnover by D. Russell (bad pass; steal by G. Dieng)
3:42.0,R. Rubio misses 2-pt shot from 21 ft,,36-48,,
3:42.0,Offensive rebound by Team,,36-48,,
3:42.0,,,36-48,,Loose ball foul by J. Randle (drawn by G. Dieng)
3:42.0,G. Dieng makes free throw 1 of 2,1,37-48,,
3:42.0,G. Dieng makes free throw 2 of 2,1,38-48,,
3:26.0,,,38-48,,Turnover by J. Randle (bad pass)
3:16.0,Shooting foul by B. Ingram (drawn by A. Wiggins),,38-48,,
3:16.0,A. Wiggins makes free throw 1 of 2,1,39-48,,
3:16.0,A. Wiggins makes free throw 2 of 2,1,40-48,,
3:01.0,,,40-50,2,D. Russell makes 2-pt shot from 5 ft
2:46.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,42-50,,
2:46.0,,,42-50,,Shooting block foul by J. Clarkson (drawn by K. Towns)
2:46.0,Minnesota full timeout,,42-50,,
2:46.0,K. Towns makes free throw 1 of 1,1,43-50,,
2:34.0,,,43-50,,Shooting foul by A. Wiggins (drawn by B. Ingram)
2:34.0,,,43-51,1,B. Ingram makes free throw 1 of 2
2:34.0,,,43-51,,B. Ingram misses free throw 2 of 2
2:33.0,Defensive rebound by G. Dieng,,43-51,,
2:26.0,A. Wiggins misses 2-pt shot from 1 ft,,43-51,,
2:26.0,Offensive rebound by K. Towns,,43-51,,
2:26.0,K. Towns makes 2-pt shot at rim,2,45-51,,
2:26.0,Shooting foul by L. Nance (drawn by K. Towns),,45-51,,
2:26.0,K. Towns misses free throw 1 of 1,,45-51,,
2:24.0,,,45-51,,Defensive rebound by J. Randle
2:16.0,,,45-51,,Turnover by D. Russell (lost ball; steal by R. Rubio)
2:11.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,47-51,,
1:51.0,,,47-51,,D. Russell misses 3-pt shot from 24 ft
1:50.0,,,47-51,,Offensive rebound by L. Nance
1:44.0,,,47-53,2,L. Nance makes 2-pt shot from 5 ft
1:27.0,A. Wiggins makes 2-pt shot from 2 ft,2,49-53,,
1:03.0,,,49-53,,J. Clarkson misses 2-pt shot from 16 ft
1:02.0,Defensive rebound by K. Towns,,49-53,,
0:53.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,51-53,,
0:53.0,,,51-53,,LA Lakers full timeout
0:28.0,,,51-53,,B. Ingram misses 2-pt shot from 13 ft
0:26.0,,,51-53,,Offensive rebound by L. Nance
0:05.0,,,51-53,,J. Clarkson misses 2-pt shot from 2 ft
0:03.0,Defensive rebound by A. Wiggins,,51-53,,
0:00.0,A. Wiggins misses 3-pt shot from 48 ft,,51-53,,
0:00.0,Offensive rebound by Team,,51-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,53-53,,
11:33.0,,,53-53,,Turnover by J. Randle (lost ball)
11:10.0,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng),2,55-53,,
10:50.0,,,55-53,,L. Nance misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by K. Towns,,55-53,,
10:31.0,G. Dieng makes 2-pt shot at rim (assist by K. Towns),2,57-53,,
10:19.0,,,57-53,,J. Randle misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by G. Dieng,,57-53,,
10:05.0,R. Rubio misses 3-pt shot from 25 ft,,57-53,,
10:05.0,,,57-53,,Defensive rebound by J. Clarkson
10:03.0,,,57-53,,Turnover by J. Clarkson (bad pass)
9:48.0,Turnover by R. Rubio (bad pass; steal by B. Ingram),,57-53,,
9:31.0,,,57-53,,D. Russell misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by K. Towns,,57-53,,
9:29.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,59-53,,
9:29.0,Shooting foul by J. Clarkson (drawn by A. Wiggins),,59-53,,
9:29.0,A. Wiggins makes free throw 1 of 1,1,60-53,,
9:16.0,,,60-55,2,L. Nance makes 2-pt shot from 20 ft (assist by J. Clarkson)
8:55.0,R. Rubio misses 2-pt shot from 17 ft,,60-55,,
8:54.0,,,60-55,,Defensive rebound by Team
8:34.0,,,60-55,,J. Clarkson misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by K. Towns,,60-55,,
8:23.0,Turnover by K. Towns (lost ball; steal by D. Russell),,60-55,,
8:22.0,Personal take foul by G. Dieng (drawn by D. Russell),,60-55,,
8:11.0,,,60-55,,D. Russell misses 2-pt shot from 13 ft
8:09.0,Defensive rebound by K. Towns,,60-55,,
7:53.0,Shooting foul by J. Randle (drawn by A. Wiggins),,60-55,,
7:53.0,A. Wiggins makes free throw 1 of 2,1,61-55,,
7:53.0,A. Wiggins makes free throw 2 of 2,1,62-55,,
7:38.0,,,62-57,2,J. Clarkson makes 2-pt shot from 13 ft (assist by L. Nance)
7:23.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,64-57,,
7:10.0,,,64-59,2,J. Clarkson makes 2-pt shot from 1 ft
7:03.0,Minnesota full timeout,,64-59,,
6:46.0,A. Wiggins misses 3-pt shot from 24 ft,,64-59,,
6:45.0,,,64-59,,Defensive rebound by L. Nance
6:27.0,,,64-59,,B. Ingram misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by R. Rubio,,64-59,,
6:25.0,,,64-59,,Personal foul by B. Ingram (drawn by G. Dieng)
6:25.0,G. Dieng makes free throw 1 of 2,1,65-59,,
6:25.0,G. Dieng makes free throw 2 of 2,1,66-59,,
6:11.0,,,66-59,,Turnover by D. Russell (bad pass; steal by R. Rubio)
6:05.0,Turnover by R. Rubio (bad pass),,66-59,,
5:47.0,,,66-61,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Nance)
5:31.0,G. Dieng makes 2-pt shot from 16 ft (assist by K. Towns),2,68-61,,
5:24.0,Personal foul by R. Rubio (drawn by D. Russell),,68-61,,
5:17.0,,,68-63,2,J. Randle makes 2-pt shot at rim (assist by L. Nance)
4:58.0,A. Wiggins misses 2-pt shot from 1 ft (block by L. Nance),,68-63,,
4:58.0,,,68-63,,Defensive rebound by J. Clarkson
4:55.0,,,68-63,,Shooting foul by R. Rubio (drawn by J. Clarkson)
4:55.0,,,68-64,1,J. Clarkson makes free throw 1 of 2
4:55.0,,,68-65,1,J. Clarkson makes free throw 2 of 2
4:44.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,70-65,,
4:30.0,,,70-67,2,L. Nance makes 2-pt shot at rim (assist by D. Russell)
4:16.0,Turnover by R. Rubio (lost ball; steal by J. Randle),,70-67,,
4:10.0,,,70-67,,D. Russell misses 3-pt shot from 23 ft
4:07.0,Defensive rebound by K. Towns,,70-67,,
3:52.0,B. Rush misses 3-pt shot from 24 ft,,70-67,,
3:50.0,,,70-67,,Defensive rebound by L. Nance
3:41.0,,,70-69,2,B. Ingram makes 2-pt shot from 2 ft
3:41.0,,,70-69,,Shooting foul by A. Wiggins (drawn by B. Ingram)
3:41.0,,,70-70,1,B. Ingram makes free throw 1 of 1
3:27.0,A. Wiggins misses 2-pt shot from 2 ft (block by J. Randle),,70-70,,
3:24.0,,,70-70,,Defensive rebound by J. Randle
3:18.0,,,70-70,,J. Clarkson misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by K. Towns,,70-70,,
3:07.0,Offensive foul by K. Towns,,70-70,,
3:07.0,Turnover by K. Towns (offensive foul),,70-70,,
3:07.0,K. Dunn enters the game for R. Rubio,,70-70,,
2:57.0,,,70-70,,Shooting foul by K. Dunn (drawn by D. Russell)
2:57.0,,,70-70,,LA Lakers full timeout
2:57.0,,,70-71,1,D. Russell makes free throw 1 of 2
2:57.0,,,70-72,1,D. Russell makes free throw 2 of 2
2:57.0,,,70-70,,T. Ennis enters the game for J. Clarkson
2:57.0,,,70-70,,T. Black enters the game for J. Randle
2:36.0,A. Wiggins makes 2-pt shot from 21 ft,2,72-72,,
2:19.0,,,72-74,2,L. Nance makes 2-pt shot from 4 ft (assist by B. Ingram)
2:01.0,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng),2,74-74,,
1:42.0,,,74-74,,Turnover by B. Ingram (bad pass; steal by K. Towns)
1:22.0,A. Wiggins misses 2-pt shot from 18 ft,,74-74,,
1:20.0,,,74-74,,Defensive rebound by L. Nance
1:16.0,,,74-76,2,D. Russell makes 2-pt shot at rim (assist by L. Nance)
0:56.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,76-76,,
0:45.0,,,76-76,,T. Black misses 2-pt shot from 2 ft (block by G. Dieng)
0:43.0,Defensive rebound by K. Dunn,,76-76,,
0:36.0,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Dunn),3,79-76,,
0:19.0,O. Casspi enters the game for K. Towns,,79-76,,
0:19.0,S. Muhammad enters the game for B. Rush,,79-76,,
0:12.0,,,79-78,2,T. Ennis makes 2-pt shot from 4 ft
0:02.0,Turnover by A. Wiggins (lost ball; steal by T. Black),,79-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,79-80,2,T. Black makes 2-pt shot from 2 ft (assist by M. World Peace)
11:26.0,Turnover by A. Wiggins (lost ball; steal by M. World Peace),,79-80,,
11:18.0,,,79-82,2,T. Ennis makes 2-pt shot from 2 ft (assist by C. Brewer)
10:52.0,A. Wiggins misses 2-pt shot from 18 ft,,79-82,,
10:51.0,Offensive rebound by G. Dieng,,79-82,,
10:46.0,S. Muhammad makes 2-pt shot from 8 ft (assist by O. Casspi),2,81-82,,
10:28.0,,,81-82,,T. Robinson misses 2-pt shot at rim
10:23.0,Defensive rebound by G. Dieng,,81-82,,
10:15.0,,,81-82,,Personal foul by T. Robinson (drawn by S. Muhammad)
10:05.0,G. Dieng misses 2-pt shot from 17 ft,,81-82,,
10:05.0,,,81-82,,Defensive rebound by T. Robinson
9:56.0,,,81-84,2,C. Brewer makes 2-pt shot from 6 ft (assist by T. Ennis)
9:38.0,A. Wiggins misses 2-pt shot at rim,,81-84,,
9:38.0,,,81-84,,Defensive rebound by T. Black
9:29.0,,,81-86,2,M. World Peace makes 2-pt shot from 8 ft
9:08.0,A. Wiggins misses 2-pt shot from 1 ft,,81-86,,
9:04.0,Offensive rebound by A. Wiggins,,81-86,,
9:04.0,A. Wiggins makes 2-pt shot at rim,2,83-86,,
8:58.0,,,83-86,,M. World Peace misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by K. Dunn,,83-86,,
8:55.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Dunn),2,85-86,,
8:55.0,Shooting foul by C. Brewer (drawn by A. Wiggins),,85-86,,
8:55.0,Official timeout,,85-86,,
8:55.0,A. Wiggins makes free throw 1 of 1,1,86-86,,
8:55.0,K. Towns enters the game for G. Dieng,,85-86,,
8:32.0,,,86-86,,C. Brewer misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by K. Towns,,86-86,,
8:26.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,88-86,,
8:20.0,,,88-89,3,M. World Peace makes 3-pt shot from 25 ft (assist by C. Brewer)
8:02.0,K. Towns misses 2-pt shot from 4 ft,,88-89,,
8:00.0,,,88-89,,Defensive rebound by T. Robinson
7:57.0,T. Jones enters the game for A. Wiggins,,88-89,,
7:49.0,,,88-92,3,T. Ennis makes 3-pt shot from 25 ft
7:34.0,O. Casspi misses 3-pt shot from 24 ft,,88-92,,
7:34.0,Offensive rebound by S. Muhammad,,88-92,,
7:27.0,S. Muhammad misses 3-pt shot from 23 ft,,88-92,,
7:26.0,,,88-92,,Defensive rebound by T. Robinson
7:20.0,,,88-92,,Turnover by T. Robinson (lost ball; steal by O. Casspi)
7:17.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,90-92,,
7:17.0,Shooting foul by T. Robinson (drawn by S. Muhammad),,90-92,,
7:17.0,S. Muhammad misses free throw 1 of 1,,90-92,,
7:17.0,R. Rubio enters the game for K. Dunn,,90-92,,
7:15.0,,,90-92,,Defensive rebound by T. Robinson
6:59.0,,,90-92,,M. World Peace misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by Team,,90-92,,
6:43.0,O. Casspi makes 2-pt shot from 3 ft (assist by K. Towns),2,92-92,,
6:26.0,,,92-95,3,M. World Peace makes 3-pt shot from 24 ft (assist by T. Ennis)
6:05.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,94-95,,
5:46.0,,,94-95,,T. Ennis misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by R. Rubio,,94-95,,
5:41.0,,,94-95,,LA Lakers full timeout
5:26.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,97-95,,
5:06.0,,,97-95,,M. World Peace misses 2-pt shot from 2 ft (block by O. Casspi)
5:04.0,Defensive rebound by T. Jones,,97-95,,
5:04.0,Shooting foul by T. Ennis (drawn by S. Muhammad),,97-95,,
5:04.0,S. Muhammad makes free throw 1 of 2,1,98-95,,
5:04.0,S. Muhammad makes free throw 2 of 2,1,99-95,,
4:42.0,,,99-95,,T. Robinson misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by T. Jones,,99-95,,
4:16.0,S. Muhammad misses 3-pt shot from 23 ft,,99-95,,
4:13.0,,,99-95,,Defensive rebound by M. World Peace
4:09.0,,,99-95,,Shooting foul by R. Rubio (drawn by T. Black)
4:09.0,,,99-96,1,T. Black makes free throw 1 of 2
4:09.0,,,99-97,1,T. Black makes free throw 2 of 2
4:09.0,,,99-96,,D. Russell enters the game for T. Ennis
4:09.0,,,99-96,,J. Randle enters the game for T. Robinson
4:09.0,,,99-96,,J. Clarkson enters the game for C. Brewer
4:09.0,G. Dieng enters the game for O. Casspi,,99-96,,
4:09.0,A. Wiggins enters the game for T. Jones,,99-96,,
3:52.0,Turnover by S. Muhammad (lost ball; steal by D. Russell),,99-97,,
3:46.0,,,99-97,,D. Russell misses 3-pt shot from 25 ft
3:46.0,,,99-97,,Offensive rebound by J. Randle
3:46.0,,,99-97,,Shooting foul by G. Dieng (drawn by J. Randle)
3:46.0,,,99-98,1,J. Randle makes free throw 1 of 2
3:46.0,,,99-98,,J. Randle misses free throw 2 of 2
3:46.0,,,99-98,,L. Nance enters the game for T. Black
3:46.0,,,99-98,,C. Brewer enters the game for M. World Peace
3:46.0,B. Rush enters the game for S. Muhammad,,99-98,,
3:42.0,Defensive rebound by K. Towns,,99-98,,
3:27.0,A. Wiggins misses 3-pt shot from 25 ft,,99-98,,
3:27.0,,,99-98,,Defensive rebound by Team
3:09.0,,,99-101,3,D. Russell makes 3-pt shot from 25 ft
2:50.0,R. Rubio makes 2-pt shot from 2 ft,2,101-101,,
2:30.0,,,101-101,,D. Russell misses 2-pt shot from 5 ft
2:30.0,,,101-101,,Offensive rebound by J. Randle
