time,LA Lakers,pts.away,score,pts.home,Washington
11:04.0,,,29-33,,Turnover by J. Smith (lost ball; steal by L. Nance)
11:01.0,L. Nance misses 2-pt shot from 21 ft,,29-33,,
11:00.0,,,29-33,,Defensive rebound by M. Morris
10:43.0,,,29-33,,T. Burke misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by I. Zubac,,29-33,,
10:33.0,J. Clarkson misses 3-pt shot from 24 ft,,29-33,,
10:32.0,,,29-33,,Defensive rebound by J. Smith
10:22.0,,,29-33,,T. Burke misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by J. Clarkson,,29-33,,
10:14.0,I. Zubac misses 2-pt shot from 8 ft,,29-33,,
10:13.0,Offensive rebound by L. Nance,,29-33,,
10:11.0,,,29-33,,Personal foul by T. Burke (drawn by L. Nance)
10:11.0,J. Randle enters the game for I. Zubac,,29-33,,
9:57.0,Turnover by L. Williams (bad pass; steal by M. Morris),,29-33,,
9:51.0,,,29-33,,J. Smith misses 2-pt shot from 6 ft (block by L. Williams)
9:46.0,Defensive rebound by L. Nance,,29-33,,
9:42.0,L. Williams misses 2-pt shot from 6 ft,,29-33,,
9:39.0,,,29-33,,Defensive rebound by J. Smith
9:35.0,Personal foul by B. Ingram (drawn by T. Satoransky),,29-33,,
9:25.0,,,29-35,2,M. Morris makes 2-pt shot from 2 ft
9:06.0,B. Ingram makes 2-pt shot from 1 ft,2,31-35,,
8:48.0,,,31-37,2,T. Burke makes 2-pt shot from 2 ft
8:38.0,Offensive foul by L. Williams,,31-37,,
8:38.0,Turnover by L. Williams (offensive foul),,31-37,,
8:38.0,Official timeout,,31-37,,
8:29.0,,,31-37,,Turnover by M. Morris (bad pass; steal by L. Nance)
8:26.0,Turnover by L. Nance (discontinued dribble),,31-37,,
8:14.0,,,31-39,2,J. Smith makes 2-pt shot from 1 ft (assist by T. Burke)
8:03.0,Turnover by J. Randle (offensive foul),,31-39,,
8:03.0,Offensive foul by J. Randle,,31-39,,
8:03.0,,,31-39,,B. Beal enters the game for T. Satoransky
7:52.0,,,31-41,2,K. Oubre makes 2-pt shot from 19 ft (assist by T. Burke)
7:38.0,L. Nance makes 2-pt shot from 12 ft (assist by L. Williams),2,33-41,,
7:19.0,,,33-41,,Shooting foul by B. Ingram (drawn by T. Burke)
7:19.0,,,33-41,,T. Burke misses free throw 1 of 2
7:19.0,,,33-41,,Offensive rebound by Team
7:19.0,,,33-42,1,T. Burke makes free throw 2 of 2
7:06.0,,,33-42,,Personal foul by B. Beal (drawn by L. Nance)
7:06.0,N. Young enters the game for J. Clarkson,,33-42,,
7:06.0,L. Deng enters the game for B. Ingram,,33-42,,
6:57.0,J. Randle misses 2-pt shot from 2 ft (block by M. Morris),,33-42,,
6:55.0,Offensive rebound by L. Nance,,33-42,,
6:54.0,L. Nance misses 2-pt shot from 2 ft,,33-42,,
6:53.0,,,33-42,,Defensive rebound by T. Burke
6:48.0,,,33-42,,K. Oubre misses 3-pt shot from 27 ft
6:47.0,Defensive rebound by J. Randle,,33-42,,
6:39.0,L. Williams misses 3-pt shot from 28 ft,,33-42,,
6:38.0,,,33-42,,Defensive rebound by Team
6:37.0,,,33-42,,J. Wall enters the game for T. Burke
6:37.0,,,33-42,,M. Gortat enters the game for J. Smith
6:24.0,,,33-45,3,B. Beal makes 3-pt shot from 26 ft
6:05.0,L. Deng misses 3-pt shot from 26 ft,,33-45,,
6:04.0,,,33-45,,Defensive rebound by M. Morris
5:57.0,,,33-45,,M. Morris misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by L. Williams,,33-45,,
5:52.0,,,33-45,,Personal foul by M. Morris (drawn by J. Randle)
5:52.0,,,33-45,,Washington full timeout
5:52.0,T. Mozgov enters the game for L. Nance,,33-45,,
5:52.0,,,33-45,,O. Porter enters the game for M. Morris
5:52.0,D. Russell enters the game for L. Williams,,33-45,,
5:43.0,J. Randle misses 2-pt shot from 1 ft,,33-45,,
5:42.0,Offensive rebound by J. Randle,,33-45,,
5:40.0,J. Randle makes 2-pt shot from 2 ft,2,35-45,,
5:26.0,,,35-47,2,B. Beal makes 2-pt shot at rim (assist by M. Gortat)
5:06.0,J. Randle misses 2-pt shot from 13 ft,,35-47,,
5:05.0,,,35-47,,Defensive rebound by O. Porter
4:54.0,,,35-49,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:41.0,Turnover by D. Russell (lost ball; steal by O. Porter),,35-49,,
4:36.0,,,35-51,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:36.0,LA Lakers full timeout,,35-51,,
4:36.0,T. Black enters the game for J. Randle,,35-51,,
4:22.0,N. Young misses 3-pt shot from 25 ft,,35-51,,
4:21.0,,,35-51,,Defensive rebound by O. Porter
3:59.0,,,35-51,,Turnover by J. Wall (step out of bounds)
3:50.0,Turnover by D. Russell (bad pass; steal by J. Wall),,35-51,,
3:42.0,,,35-51,,J. Wall misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by D. Russell,,35-51,,
3:35.0,Offensive foul by T. Mozgov,,35-51,,
3:35.0,Turnover by T. Mozgov (offensive foul),,35-51,,
3:35.0,,,35-51,,M. Morris enters the game for K. Oubre
3:35.0,B. Ingram enters the game for T. Mozgov,,35-51,,
3:22.0,,,35-54,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
3:07.0,D. Russell makes 3-pt shot from 27 ft,3,38-54,,
2:51.0,,,38-54,,B. Beal misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by D. Russell,,38-54,,
2:45.0,Shooting foul by B. Beal (drawn by L. Deng),,38-54,,
2:45.0,L. Deng makes free throw 1 of 2,1,39-54,,
2:45.0,L. Deng makes free throw 2 of 2,1,40-54,,
2:30.0,,,40-54,,J. Wall misses 2-pt shot from 1 ft
2:29.0,,,40-54,,Offensive rebound by M. Gortat
2:28.0,,,40-56,2,M. Gortat makes 2-pt shot from 1 ft
2:17.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,42-56,,
1:52.0,,,42-56,,M. Morris misses 3-pt shot from 27 ft
1:51.0,Defensive rebound by T. Black,,42-56,,
1:43.0,N. Young misses 3-pt shot from 26 ft,,42-56,,
1:42.0,,,42-56,,Defensive rebound by Team
1:23.0,,,42-56,,Turnover by M. Gortat (bad pass)
1:13.0,D. Russell misses 2-pt shot from 6 ft,,42-56,,
1:12.0,Offensive rebound by D. Russell,,42-56,,
1:10.0,Shooting foul by B. Beal (drawn by D. Russell),,42-56,,
1:10.0,D. Russell misses free throw 1 of 2,,42-56,,
1:10.0,Offensive rebound by Team,,42-56,,
1:10.0,D. Russell misses free throw 2 of 2,,42-56,,
1:10.0,,,42-56,,T. Burke enters the game for B. Beal
1:09.0,Offensive rebound by B. Ingram,,42-56,,
1:05.0,Shooting foul by M. Gortat (drawn by B. Ingram),,42-56,,
1:05.0,B. Ingram makes free throw 1 of 2,1,43-56,,
1:05.0,B. Ingram makes free throw 2 of 2,1,44-56,,
0:42.0,,,44-56,,T. Burke misses 2-pt shot from 15 ft
0:40.0,Defensive rebound by N. Young,,44-56,,
0:34.0,D. Russell misses 3-pt shot from 27 ft,,44-56,,
0:33.0,,,44-56,,Defensive rebound by M. Gortat
0:27.0,,,44-58,2,J. Wall makes 2-pt shot from 1 ft
0:09.0,Turnover by D. Russell (bad pass; steal by O. Porter),,44-58,,
0:08.0,Personal take foul by D. Russell (drawn by J. Wall),,44-58,,
0:01.0,,,44-58,,M. Morris misses 3-pt shot from 23 ft
0:00.0,,,44-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,44-58,,Turnover by M. Morris (step out of bounds)
11:29.0,T. Black misses 2-pt shot from 3 ft (block by J. Wall),,44-58,,
11:27.0,,,44-58,,Defensive rebound by J. Wall
11:23.0,,,44-58,,M. Morris misses 2-pt shot from 1 ft (block by L. Deng)
11:22.0,Defensive rebound by T. Black,,44-58,,
11:16.0,N. Young makes 2-pt shot from 16 ft (assist by D. Russell),2,46-58,,
11:04.0,,,46-58,,Shooting foul by N. Young (drawn by M. Morris)
11:04.0,,,46-59,1,M. Morris makes free throw 1 of 2
11:04.0,,,46-60,1,M. Morris makes free throw 2 of 2
10:52.0,T. Mozgov misses 2-pt shot from 9 ft,,46-60,,
10:51.0,,,46-60,,Defensive rebound by M. Morris
10:44.0,,,46-62,2,M. Gortat makes 2-pt shot from 13 ft (assist by O. Porter)
10:32.0,Turnover by D. Russell (bad pass; steal by M. Morris),,46-62,,
10:24.0,,,46-62,,B. Beal misses 3-pt shot from 27 ft
10:24.0,,,46-62,,Offensive rebound by Team
10:24.0,Loose ball foul by T. Black (drawn by M. Gortat),,46-62,,
10:23.0,Personal foul by N. Young (drawn by B. Beal),,46-62,,
10:15.0,,,46-62,,M. Morris misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by L. Deng,,46-62,,
10:08.0,L. Deng misses 3-pt shot from 25 ft,,46-62,,
10:07.0,Offensive rebound by T. Black,,46-62,,
10:01.0,L. Deng makes 2-pt shot at rim (assist by D. Russell),2,48-62,,
9:36.0,,,48-62,,M. Morris misses 2-pt shot from 20 ft
9:35.0,,,48-62,,Offensive rebound by Team
9:22.0,,,48-62,,J. Wall misses 2-pt shot from 15 ft (block by D. Russell)
9:20.0,Defensive rebound by T. Black,,48-62,,
9:12.0,T. Black makes 2-pt shot from 5 ft,2,50-62,,
9:12.0,Shooting foul by M. Gortat (drawn by T. Black),,50-62,,
9:12.0,T. Black misses free throw 1 of 1,,50-62,,
9:10.0,,,50-62,,Defensive rebound by M. Gortat
8:54.0,,,50-62,,B. Beal misses 3-pt shot from 27 ft
8:53.0,Defensive rebound by T. Black,,50-62,,
8:40.0,Shooting foul by O. Porter (drawn by D. Russell),,50-62,,
8:40.0,D. Russell misses free throw 1 of 2,,50-62,,
8:40.0,Offensive rebound by Team,,50-62,,
8:40.0,D. Russell makes free throw 2 of 2,1,51-62,,
8:30.0,,,51-62,,Shooting foul by T. Mozgov (drawn by J. Wall)
8:30.0,,,51-63,1,J. Wall makes free throw 1 of 2
8:30.0,,,51-63,,J. Wall misses free throw 2 of 2
8:28.0,Defensive rebound by T. Black,,51-63,,
8:14.0,,,51-63,,Personal foul by J. Wall (drawn by T. Mozgov)
8:06.0,L. Deng misses 2-pt shot from 15 ft,,51-63,,
8:05.0,Offensive rebound by L. Deng,,51-63,,
8:03.0,L. Deng makes 2-pt shot from 3 ft,2,53-63,,
7:41.0,,,53-63,,Shooting foul by T. Black (drawn by M. Morris)
7:41.0,,,53-64,1,M. Morris makes free throw 1 of 2
7:41.0,,,53-64,,M. Morris misses free throw 2 of 2
7:40.0,Defensive rebound by L. Deng,,53-64,,
7:28.0,Shooting foul by M. Morris (drawn by T. Black),,53-64,,
7:28.0,T. Black makes free throw 1 of 2,1,54-64,,
7:28.0,T. Black makes free throw 2 of 2,1,55-64,,
7:11.0,,,55-67,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Morris)
6:56.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,58-67,,
6:41.0,,,58-67,,B. Beal misses 2-pt shot from 5 ft
6:40.0,Defensive rebound by Team,,58-67,,
6:34.0,L. Deng makes 2-pt shot at rim (assist by D. Russell),2,60-67,,
6:34.0,,,60-67,,Washington full timeout
6:18.0,,,60-67,,J. Wall misses 2-pt shot from 1 ft (block by T. Mozgov)
6:17.0,,,60-67,,Offensive rebound by M. Gortat
6:13.0,,,60-69,2,B. Beal makes 2-pt shot from 9 ft
6:01.0,D. Russell makes 3-pt shot from 26 ft,3,63-69,,
5:43.0,,,63-71,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
5:31.0,Turnover by T. Black (bad pass),,63-71,,
5:21.0,Personal foul by T. Black (drawn by J. Wall),,63-71,,
5:21.0,,,63-71,,J. Wall misses free throw 1 of 2
5:21.0,,,63-71,,Offensive rebound by Team
5:21.0,,,63-72,1,J. Wall makes free throw 2 of 2
5:21.0,,,63-71,,K. Oubre enters the game for M. Morris
5:21.0,J. Clarkson enters the game for N. Young,,63-71,,
5:21.0,I. Zubac enters the game for T. Mozgov,,63-71,,
5:10.0,Turnover by D. Russell (lost ball; steal by J. Wall),,63-72,,
5:05.0,,,63-74,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:47.0,D. Russell makes 3-pt shot from 28 ft,3,66-74,,
4:35.0,,,66-76,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:19.0,T. Black makes 2-pt shot from 6 ft (assist by D. Russell),2,68-76,,
4:07.0,,,68-79,3,O. Porter makes 3-pt shot from 27 ft (assist by M. Gortat)
3:54.0,,,68-79,,Personal foul by B. Beal (drawn by D. Russell)
3:54.0,D. Russell makes free throw 1 of 2,1,69-79,,
3:54.0,D. Russell makes free throw 2 of 2,1,70-79,,
3:54.0,B. Ingram enters the game for T. Black,,69-79,,
3:42.0,,,70-81,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
3:42.0,,,70-81,,Shooting foul by B. Ingram (drawn by M. Gortat)
3:42.0,,,70-82,1,M. Gortat makes free throw 1 of 1
3:42.0,,,70-81,,T. Burke enters the game for B. Beal
3:23.0,J. Clarkson makes 2-pt shot from 16 ft,2,72-82,,
3:07.0,,,72-84,2,M. Gortat makes 2-pt shot from 8 ft (assist by T. Burke)
2:48.0,D. Russell misses 2-pt shot from 16 ft,,72-84,,
2:47.0,,,72-84,,Defensive rebound by M. Gortat
2:38.0,,,72-84,,T. Burke misses 3-pt shot from 23 ft
2:37.0,,,72-84,,Offensive rebound by M. Gortat
2:37.0,,,72-86,2,M. Gortat makes 2-pt shot at rim
2:37.0,LA Lakers full timeout,,72-86,,
2:36.0,L. Williams enters the game for L. Deng,,72-86,,
2:36.0,L. Nance enters the game for D. Russell,,72-86,,
2:35.0,,,72-86,,J. Smith enters the game for M. Gortat
2:20.0,,,72-86,,Shooting block foul by J. Wall (drawn by B. Ingram)
2:20.0,B. Ingram makes free throw 1 of 2,1,73-86,,
2:20.0,B. Ingram misses free throw 2 of 2,,73-86,,
2:19.0,,,73-86,,Defensive rebound by O. Porter
1:58.0,,,73-86,,J. Wall misses 2-pt shot from 18 ft
1:57.0,Defensive rebound by B. Ingram,,73-86,,
1:47.0,J. Clarkson makes 2-pt shot from 18 ft,2,75-86,,
1:22.0,,,75-86,,K. Oubre misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by B. Ingram,,75-86,,
1:13.0,L. Williams misses 2-pt shot from 1 ft,,75-86,,
1:12.0,Offensive rebound by I. Zubac,,75-86,,
1:11.0,I. Zubac makes 2-pt shot at rim,2,77-86,,
1:00.0,,,77-88,2,J. Wall makes 2-pt shot from 3 ft
0:56.0,J. Clarkson makes 2-pt shot from 1 ft,2,79-88,,
0:40.0,,,79-88,,Turnover by J. Wall (lost ball; steal by B. Ingram)
0:34.0,L. Williams misses 3-pt shot from 29 ft,,79-88,,
0:33.0,,,79-88,,Defensive rebound by J. Smith
0:10.0,,,79-90,2,T. Burke makes 2-pt shot from 19 ft (assist by J. Wall)
0:01.0,L. Williams misses 3-pt shot from 29 ft (block by T. Burke),,79-90,,
0:00.0,Offensive rebound by Team,,79-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Clarkson makes 3-pt shot from 26 ft,3,82-90,,
11:17.0,,,82-90,,Shooting foul by N. Young (drawn by M. Morris)
11:17.0,,,82-90,,M. Morris misses free throw 1 of 2
11:17.0,,,82-90,,Offensive rebound by Team
11:17.0,,,82-91,1,M. Morris makes free throw 2 of 2
11:08.0,Shooting foul by J. Smith,,82-91,,
11:08.0,L. Williams makes free throw 1 of 3,1,83-91,,
11:08.0,L. Williams makes free throw 2 of 3,1,84-91,,
11:08.0,L. Williams makes free throw 3 of 3,1,85-91,,
10:44.0,,,85-91,,T. Burke misses 2-pt shot from 9 ft (block by B. Ingram)
10:43.0,,,85-91,,Offensive rebound by M. Morris
10:43.0,,,85-91,,Turnover by Team (shot clock)
10:33.0,B. Ingram misses 2-pt shot at rim,,85-91,,
10:32.0,,,85-91,,Defensive rebound by M. Morris
10:16.0,,,85-91,,T. Burke misses 2-pt shot from 15 ft (block by B. Ingram)
10:14.0,Defensive rebound by L. Williams,,85-91,,
10:11.0,N. Young misses 3-pt shot from 27 ft,,85-91,,
10:08.0,,,85-91,,Defensive rebound by T. Satoransky
10:02.0,,,85-91,,Turnover by T. Satoransky (lost ball; steal by L. Nance)
9:58.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,87-91,,
9:58.0,,,87-91,,Washington full timeout
9:58.0,,,87-91,,J. Wall enters the game for T. Burke
9:58.0,,,87-91,,B. Beal enters the game for T. Satoransky
9:45.0,,,87-91,,M. Morris misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by B. Ingram,,87-91,,
9:38.0,Shooting foul by K. Oubre,,87-91,,
9:38.0,L. Williams makes free throw 1 of 2,1,88-91,,
9:38.0,L. Williams makes free throw 2 of 2,1,89-91,,
9:15.0,,,89-91,,Turnover by K. Oubre (offensive goaltending)
9:09.0,L. Williams makes 2-pt shot from 2 ft,2,91-91,,
8:51.0,,,91-91,,J. Smith misses 3-pt shot from 25 ft
8:50.0,,,91-91,,Offensive rebound by M. Morris
8:44.0,,,91-94,3,J. Wall makes 3-pt shot from 27 ft (assist by B. Beal)
8:32.0,L. Nance makes 2-pt shot from 17 ft (assist by L. Williams),2,93-94,,
8:18.0,,,93-96,2,J. Wall makes 2-pt shot from 1 ft
8:01.0,J. Clarkson misses 3-pt shot from 26 ft,,93-96,,
8:00.0,,,93-96,,Defensive rebound by J. Wall
7:59.0,Personal take foul by L. Nance (drawn by J. Wall),,93-96,,
7:59.0,,,93-96,,M. Gortat enters the game for J. Smith
7:59.0,,,93-96,,O. Porter enters the game for K. Oubre
7:43.0,,,93-99,3,J. Wall makes 3-pt shot from 27 ft
7:26.0,J. Clarkson misses 3-pt shot from 24 ft,,93-99,,
7:26.0,,,93-99,,Defensive rebound by M. Gortat
7:26.0,Loose ball foul by L. Nance (drawn by M. Gortat),,93-99,,
7:16.0,,,93-99,,J. Wall misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by L. Nance,,93-99,,
7:06.0,N. Young misses 3-pt shot from 25 ft,,93-99,,
7:05.0,,,93-99,,Defensive rebound by M. Gortat
6:49.0,Personal foul by J. Clarkson (drawn by O. Porter),,93-99,,
6:49.0,L. Deng enters the game for B. Ingram,,93-99,,
6:49.0,D. Russell enters the game for N. Young,,93-99,,
6:40.0,,,93-99,,B. Beal misses 2-pt shot from 9 ft
6:39.0,Defensive rebound by D. Russell,,93-99,,
6:34.0,L. Nance misses 2-pt shot from 2 ft (block by M. Morris),,93-99,,
6:32.0,,,93-99,,Defensive rebound by M. Morris
6:18.0,,,93-99,,J. Wall misses 2-pt shot from 1 ft
6:18.0,,,93-99,,Offensive rebound by M. Gortat
6:18.0,,,93-101,2,M. Gortat makes 2-pt shot from 2 ft
6:18.0,LA Lakers full timeout,,93-101,,
6:18.0,T. Black enters the game for L. Nance,,93-101,,
6:09.0,L. Williams makes 3-pt shot from 26 ft,3,96-101,,
5:43.0,,,96-101,,O. Porter misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by J. Clarkson,,96-101,,
5:35.0,L. Deng misses 3-pt shot from 27 ft,,96-101,,
5:34.0,,,96-101,,Defensive rebound by M. Morris
5:13.0,,,96-101,,J. Wall misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by Team,,96-101,,
5:02.0,D. Russell misses 3-pt shot from 27 ft,,96-101,,
5:00.0,,,96-101,,Defensive rebound by M. Gortat
4:46.0,,,96-101,,M. Morris misses 2-pt shot at rim
4:44.0,Defensive rebound by L. Deng,,96-101,,
