time,Atlanta,pts.away,score,pts.home,Orlando
8:12.0,Turnover by T. Hardaway (bad pass; steal by T. Ross),,7-8,,
8:12.0,Personal foul by M. Delaney (drawn by E. Payton),,7-8,,
7:59.0,,,7-8,,N. Vucevic misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by P. Millsap,,7-8,,
7:51.0,D. Howard misses 2-pt shot from 9 ft,,7-8,,
7:50.0,,,7-8,,Defensive rebound by N. Vucevic
7:40.0,,,7-10,2,N. Vucevic makes 2-pt shot from 22 ft (assist by T. Ross)
7:28.0,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Delaney),3,10-10,,
7:14.0,,,10-12,2,T. Ross makes 2-pt shot from 10 ft (assist by E. Payton)
6:58.0,M. Delaney misses 2-pt shot from 9 ft (block by N. Vucevic),,10-12,,
6:57.0,,,10-12,,Defensive rebound by N. Vucevic
6:52.0,,,10-14,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
6:30.0,Turnover by M. Delaney (bad pass; steal by E. Payton),,10-14,,
6:24.0,,,10-17,3,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton)
6:23.0,Atlanta full timeout,,10-17,,
6:08.0,Turnover by D. Howard (3 sec),,10-17,,
5:53.0,,,10-17,,N. Vucevic misses 2-pt shot from 7 ft
5:53.0,Defensive rebound by K. Bazemore,,10-17,,
5:36.0,M. Delaney misses 3-pt shot from 24 ft,,10-17,,
5:34.0,,,10-17,,Defensive rebound by N. Vucevic
5:29.0,Personal foul by P. Millsap (drawn by A. Gordon),,10-17,,
5:29.0,T. Sefolosha enters the game for K. Bazemore,,10-17,,
5:17.0,,,10-19,2,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon)
5:04.0,Shooting foul by N. Vucevic (drawn by D. Howard),,10-19,,
5:04.0,D. Howard misses free throw 1 of 2,,10-19,,
5:04.0,Offensive rebound by Team,,10-19,,
5:04.0,D. Howard misses free throw 2 of 2,,10-19,,
5:04.0,E. Ilyasova enters the game for P. Millsap,,10-19,,
5:03.0,,,10-19,,Defensive rebound by A. Gordon
4:57.0,Shooting block foul by D. Howard (drawn by E. Fournier),,10-19,,
4:57.0,,,10-20,1,E. Fournier makes free throw 1 of 2
4:57.0,,,10-21,1,E. Fournier makes free throw 2 of 2
4:57.0,D. Schroder enters the game for M. Delaney,,10-20,,
4:35.0,E. Ilyasova misses 2-pt shot from 1 ft,,10-21,,
4:35.0,Offensive rebound by Team,,10-21,,
4:35.0,,,10-21,,M. Hezonja enters the game for T. Ross
4:32.0,D. Schroder misses 2-pt shot from 20 ft (block by E. Payton),,10-21,,
4:32.0,Offensive rebound by Team,,10-21,,
4:32.0,Turnover by Team (shot clock),,10-21,,
4:22.0,,,10-21,,Offensive charge foul by A. Gordon
4:22.0,,,10-21,,Turnover by A. Gordon (offensive foul)
4:06.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder),2,12-21,,
3:40.0,,,12-21,,Shooting foul by T. Sefolosha (drawn by E. Payton)
3:40.0,,,12-21,,E. Payton misses free throw 1 of 2
3:40.0,,,12-21,,Offensive rebound by Team
3:40.0,,,12-22,1,E. Payton makes free throw 2 of 2
3:24.0,D. Howard makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,14-22,,
3:15.0,,,14-22,,A. Gordon misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by T. Hardaway,,14-22,,
3:10.0,Shooting foul by E. Fournier (drawn by E. Ilyasova),,14-22,,
3:10.0,,,14-22,,Orlando full timeout
3:10.0,E. Ilyasova misses free throw 1 of 2,,14-22,,
3:10.0,Offensive rebound by Team,,14-22,,
3:10.0,E. Ilyasova makes free throw 2 of 2,1,15-22,,
3:10.0,P. Millsap enters the game for D. Howard,,14-22,,
3:10.0,,,14-22,,J. Green enters the game for A. Gordon
3:02.0,,,15-22,,Turnover by N. Vucevic (bad pass; steal by T. Sefolosha)
2:56.0,T. Sefolosha makes 2-pt shot at rim,2,17-22,,
2:36.0,,,17-22,,N. Vucevic misses 2-pt shot from 21 ft
2:36.0,Defensive rebound by D. Schroder,,17-22,,
2:25.0,T. Hardaway misses 3-pt shot from 24 ft,,17-22,,
2:25.0,,,17-22,,Defensive rebound by N. Vucevic
2:11.0,,,17-22,,Turnover by N. Vucevic (3 sec)
2:11.0,T. Waller-Prince enters the game for T. Hardaway,,17-22,,
2:11.0,,,17-22,,D. Augustin enters the game for N. Vucevic
2:11.0,,,17-22,,B. Biyombo enters the game for E. Payton
1:56.0,D. Schroder misses 2-pt shot from 15 ft,,17-22,,
1:55.0,,,17-22,,Defensive rebound by B. Biyombo
1:46.0,,,17-22,,D. Augustin misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by D. Schroder,,17-22,,
1:38.0,D. Schroder makes 2-pt shot from 1 ft,2,19-22,,
1:16.0,,,19-22,,E. Fournier misses 2-pt shot from 12 ft
1:15.0,Defensive rebound by E. Ilyasova,,19-22,,
1:03.0,P. Millsap misses 3-pt shot from 23 ft,,19-22,,
1:02.0,,,19-22,,Defensive rebound by E. Fournier
0:53.0,,,19-22,,Turnover by E. Fournier (bad pass)
0:34.0,D. Schroder misses 2-pt shot from 3 ft,,19-22,,
0:32.0,,,19-22,,Defensive rebound by M. Hezonja
0:11.0,,,19-22,,J. Green misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by T. Waller-Prince,,19-22,,
0:02.0,Offensive foul by E. Ilyasova,,19-22,,
0:02.0,Turnover by E. Ilyasova (offensive foul),,19-22,,
0:02.0,M. Muscala enters the game for P. Millsap,,19-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by T. Waller-Prince (bad pass; steal by J. Green),,19-22,,
11:46.0,Personal foul by E. Ilyasova (drawn by J. Green),,19-22,,
11:36.0,,,19-24,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
11:22.0,E. Ilyasova makes 2-pt shot from 13 ft (assist by T. Sefolosha),2,21-24,,
11:04.0,,,21-24,,T. Ross misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by E. Ilyasova,,21-24,,
10:48.0,T. Sefolosha misses 3-pt shot from 24 ft (block by B. Biyombo),,21-24,,
10:47.0,,,21-24,,Defensive rebound by M. Hezonja
10:35.0,,,21-27,3,T. Ross makes 3-pt shot from 25 ft (assist by M. Hezonja)
10:16.0,T. Sefolosha misses 2-pt shot from 2 ft,,21-27,,
10:16.0,,,21-27,,Defensive rebound by J. Green
10:09.0,,,21-27,,T. Ross misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by E. Ilyasova,,21-27,,
9:57.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,24-27,,
9:36.0,,,24-27,,M. Hezonja misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by D. Schroder,,24-27,,
9:30.0,D. Schroder makes 3-pt shot from 25 ft,3,27-27,,
9:09.0,,,27-27,,M. Hezonja misses 2-pt shot from 23 ft
9:08.0,Defensive rebound by P. Millsap,,27-27,,
9:01.0,D. Schroder makes 2-pt shot from 17 ft,2,29-27,,
9:00.0,,,29-27,,Orlando full timeout
9:00.0,D. Howard enters the game for P. Millsap,,29-27,,
9:00.0,K. Bazemore enters the game for T. Sefolosha,,29-27,,
8:48.0,,,29-27,,Turnover by B. Biyombo (bad pass)
8:32.0,E. Ilyasova misses 2-pt shot from 8 ft (block by B. Biyombo),,29-27,,
8:31.0,,,29-27,,Defensive rebound by T. Ross
8:27.0,,,29-30,3,D. Augustin makes 3-pt shot from 26 ft (assist by T. Ross)
8:15.0,,,29-30,,Personal foul by J. Green (drawn by D. Howard)
8:12.0,T. Hardaway enters the game for E. Ilyasova,,29-30,,
8:04.0,Turnover by K. Bazemore (bad pass; steal by T. Ross),,29-30,,
7:52.0,,,29-30,,M. Hezonja misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by D. Howard,,29-30,,
7:43.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,32-30,,
7:28.0,,,32-30,,Offensive foul by B. Biyombo
7:28.0,,,32-30,,Turnover by B. Biyombo (offensive foul)
7:18.0,D. Schroder misses 2-pt shot from 9 ft,,32-30,,
7:17.0,Offensive rebound by D. Howard,,32-30,,
7:17.0,Shooting foul by M. Hezonja (drawn by D. Howard),,32-30,,
7:17.0,,,32-30,,Technical foul by Team
7:17.0,D. Schroder makes technical free throw,1,33-30,,
7:17.0,D. Howard makes free throw 1 of 2,1,34-30,,
7:17.0,D. Howard makes free throw 2 of 2,1,35-30,,
7:17.0,M. Delaney enters the game for D. Schroder,,34-30,,
6:59.0,,,35-30,,Shooting foul by T. Hardaway (drawn by J. Green)
6:59.0,,,35-31,1,J. Green makes free throw 1 of 2
6:59.0,,,35-32,1,J. Green makes free throw 2 of 2
6:45.0,K. Bazemore makes 2-pt shot from 17 ft,2,37-32,,
6:29.0,,,37-32,,B. Biyombo misses 2-pt shot from 3 ft (block by T. Waller-Prince)
6:28.0,Defensive rebound by D. Howard,,37-32,,
6:22.0,T. Waller-Prince misses 2-pt shot from 1 ft,,37-32,,
6:21.0,,,37-32,,Defensive rebound by B. Biyombo
6:14.0,,,37-32,,Turnover by J. Green (lost ball; steal by T. Hardaway)
6:09.0,K. Bazemore misses 2-pt shot at rim,,37-32,,
6:08.0,Offensive rebound by T. Waller-Prince,,37-32,,
6:08.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,39-32,,
6:08.0,,,39-32,,Orlando full timeout
6:08.0,,,39-32,,N. Vucevic enters the game for J. Green
6:08.0,,,39-32,,E. Payton enters the game for D. Augustin
6:08.0,,,39-32,,A. Gordon enters the game for B. Biyombo
5:52.0,Official timeout,,39-32,,
5:52.0,,,39-32,,E. Fournier enters the game for M. Hezonja
5:44.0,,,39-32,,E. Fournier misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by D. Howard,,39-32,,
5:23.0,M. Delaney makes 2-pt shot from 21 ft,2,41-32,,
5:07.0,P. Millsap enters the game for T. Waller-Prince,,41-32,,
5:00.0,,,41-32,,A. Gordon misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by D. Howard,,41-32,,
4:53.0,,,41-32,,Personal foul by E. Payton (drawn by T. Hardaway)
4:53.0,D. Schroder enters the game for M. Delaney,,41-32,,
4:44.0,T. Hardaway misses 2-pt shot from 19 ft,,41-32,,
4:43.0,,,41-32,,Defensive rebound by T. Ross
4:33.0,,,41-32,,E. Payton misses 2-pt shot from 2 ft
4:32.0,,,41-32,,Offensive rebound by E. Payton
4:32.0,,,41-32,,E. Payton misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by D. Howard,,41-32,,
4:24.0,P. Millsap misses 3-pt shot from 26 ft,,41-32,,
4:23.0,,,41-32,,Defensive rebound by Team
4:23.0,Loose ball foul by D. Howard (drawn by N. Vucevic),,41-32,,
4:12.0,,,41-32,,T. Ross misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by P. Millsap,,41-32,,
4:00.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Ross),,41-32,,
3:58.0,,,41-32,,Defensive rebound by N. Vucevic
3:51.0,,,41-32,,E. Fournier misses 3-pt shot from 25 ft
3:51.0,,,41-32,,Offensive rebound by N. Vucevic
3:51.0,,,41-34,2,N. Vucevic makes 2-pt shot from 2 ft
3:51.0,,,41-34,,Shooting foul by D. Howard (drawn by N. Vucevic)
3:51.0,,,41-35,1,N. Vucevic makes free throw 1 of 1
3:34.0,K. Bazemore misses 3-pt shot from 23 ft,,41-35,,
3:33.0,,,41-35,,Defensive rebound by Team
3:11.0,,,41-37,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
3:11.0,Away from play foul by D. Howard (drawn by N. Vucevic),,41-37,,
3:11.0,Atlanta full timeout,,41-37,,
3:11.0,,,41-38,1,N. Vucevic makes free throw 1 of 1
3:11.0,T. Waller-Prince enters the game for D. Howard,,41-37,,
3:11.0,E. Ilyasova enters the game for K. Bazemore,,41-37,,
2:53.0,D. Schroder misses 3-pt shot from 25 ft,,41-38,,
2:52.0,Offensive rebound by E. Ilyasova,,41-38,,
2:49.0,E. Ilyasova misses 2-pt shot from 1 ft,,41-38,,
2:49.0,,,41-38,,Defensive rebound by N. Vucevic
2:35.0,,,41-41,3,T. Ross makes 3-pt shot from 27 ft (assist by E. Payton)
2:13.0,T. Hardaway makes 2-pt shot at rim (assist by E. Ilyasova),2,43-41,,
1:58.0,,,43-43,2,E. Payton makes 2-pt shot from 9 ft
1:39.0,Turnover by D. Schroder (bad pass; steal by N. Vucevic),,43-43,,
1:35.0,,,43-45,2,E. Payton makes 2-pt shot from 3 ft (assist by A. Gordon)
1:18.0,P. Millsap misses 2-pt shot from 2 ft,,43-45,,
1:17.0,,,43-45,,Defensive rebound by N. Vucevic
1:05.0,,,43-45,,N. Vucevic misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by E. Ilyasova,,43-45,,
0:52.0,P. Millsap misses 2-pt shot from 17 ft,,43-45,,
0:52.0,,,43-45,,Defensive rebound by A. Gordon
0:32.0,,,43-45,,E. Payton misses 2-pt shot from 4 ft
0:32.0,,,43-45,,Offensive rebound by N. Vucevic
0:31.0,,,43-47,2,N. Vucevic makes 2-pt shot from 3 ft
0:09.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder),3,46-47,,
0:00.0,,,46-47,,Shooting foul by P. Millsap (drawn by E. Payton)
0:00.0,,,46-48,1,E. Payton makes free throw 1 of 2
0:00.0,,,46-49,1,E. Payton makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Howard misses 2-pt shot from 9 ft,,46-49,,
11:47.0,,,46-49,,Defensive rebound by E. Payton
11:30.0,,,46-51,2,N. Vucevic makes 2-pt shot from 17 ft (assist by A. Gordon)
11:04.0,T. Hardaway misses 3-pt shot from 25 ft,,46-51,,
11:03.0,,,46-51,,Defensive rebound by E. Payton
10:53.0,,,46-51,,Turnover by E. Fournier (bad pass)
10:48.0,,,46-51,,Personal block foul by N. Vucevic (drawn by D. Schroder)
10:39.0,K. Bazemore misses 2-pt shot from 2 ft,,46-51,,
10:38.0,Offensive rebound by D. Howard,,46-51,,
10:38.0,Shooting foul by E. Fournier (drawn by D. Howard),,46-51,,
10:38.0,D. Howard misses free throw 1 of 2,,46-51,,
10:38.0,Offensive rebound by Team,,46-51,,
10:38.0,D. Howard makes free throw 2 of 2,1,47-51,,
10:30.0,,,47-54,3,T. Ross makes 3-pt shot from 26 ft
10:14.0,D. Howard misses 2-pt shot from 1 ft,,47-54,,
10:14.0,,,47-54,,Defensive rebound by E. Payton
10:09.0,,,47-56,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
9:53.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,49-56,,
9:47.0,,,49-56,,Orlando full timeout
9:47.0,,,49-56,,B. Biyombo enters the game for N. Vucevic
9:32.0,,,49-58,2,A. Gordon makes 2-pt shot from 15 ft
9:19.0,,,49-58,,Personal foul by A. Gordon (drawn by P. Millsap)
9:19.0,P. Millsap makes free throw 1 of 2,1,50-58,,
9:19.0,P. Millsap makes free throw 2 of 2,1,51-58,,
9:19.0,,,50-58,,N. Vucevic enters the game for B. Biyombo
9:11.0,,,51-58,,Shooting foul by D. Schroder (drawn by E. Payton)
9:11.0,,,51-59,1,E. Payton makes free throw 1 of 2
9:11.0,,,51-60,1,E. Payton makes free throw 2 of 2
9:01.0,Turnover by T. Hardaway (lost ball; steal by A. Gordon),,51-60,,
8:42.0,,,51-62,2,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton)
8:26.0,D. Howard makes 2-pt shot from 1 ft (assist by P. Millsap),2,53-62,,
8:26.0,Shooting foul by E. Fournier (drawn by D. Howard),,53-62,,
8:26.0,D. Howard misses free throw 1 of 1,,53-62,,
8:25.0,,,53-62,,Defensive rebound by A. Gordon
8:10.0,,,53-62,,N. Vucevic misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by P. Millsap,,53-62,,
8:04.0,E. Ilyasova enters the game for D. Howard,,53-62,,
7:52.0,E. Ilyasova misses 2-pt shot from 1 ft,,53-62,,
7:51.0,Offensive rebound by E. Ilyasova,,53-62,,
7:51.0,E. Ilyasova misses 2-pt shot from 1 ft,,53-62,,
7:50.0,Offensive rebound by E. Ilyasova,,53-62,,
7:50.0,E. Ilyasova misses 2-pt shot from 1 ft,,53-62,,
7:48.0,,,53-62,,Defensive rebound by E. Fournier
7:41.0,,,53-62,,Shooting foul by K. Bazemore (drawn by A. Gordon)
7:41.0,,,53-63,1,A. Gordon makes free throw 1 of 2
7:41.0,,,53-64,1,A. Gordon makes free throw 2 of 2
7:30.0,D. Schroder misses 2-pt shot at rim (block by E. Payton),,53-64,,
7:28.0,Offensive rebound by K. Bazemore,,53-64,,
7:26.0,K. Bazemore misses 2-pt shot from 1 ft (block by N. Vucevic),,53-64,,
7:25.0,,,53-64,,Defensive rebound by N. Vucevic
7:20.0,,,53-64,,N. Vucevic misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by K. Bazemore,,53-64,,
7:17.0,Turnover by K. Bazemore (bad pass),,53-64,,
7:06.0,Violation by D. Schroder (kicked ball),,53-64,,
6:53.0,,,53-64,,E. Fournier misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by P. Millsap,,53-64,,
6:46.0,K. Bazemore misses 2-pt shot from 2 ft,,53-64,,
6:44.0,,,53-64,,Defensive rebound by N. Vucevic
6:41.0,,,53-64,,E. Payton misses 2-pt shot from 2 ft (block by P. Millsap)
6:41.0,Defensive rebound by Team,,53-64,,
6:25.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,55-64,,
6:12.0,,,55-66,2,T. Ross makes 2-pt shot from 13 ft
5:55.0,Turnover by P. Millsap (bad pass; steal by A. Gordon),,55-66,,
5:49.0,,,55-69,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
5:49.0,Atlanta full timeout,,55-69,,
5:49.0,T. Sefolosha enters the game for K. Bazemore,,55-69,,
5:37.0,D. Schroder misses 3-pt shot from 26 ft,,55-69,,
5:37.0,,,55-69,,Defensive rebound by E. Payton
5:28.0,,,55-69,,E. Payton misses 2-pt shot from 3 ft (block by D. Schroder)
5:28.0,,,55-69,,Offensive rebound by E. Payton
5:22.0,,,55-69,,T. Ross misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by D. Schroder,,55-69,,
5:11.0,Turnover by E. Ilyasova (lost ball),,55-69,,
4:56.0,,,55-71,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
4:34.0,T. Hardaway misses 3-pt shot from 26 ft,,55-71,,
4:33.0,,,55-71,,Defensive rebound by E. Payton
4:25.0,,,55-71,,N. Vucevic misses 2-pt shot from 23 ft
4:24.0,Defensive rebound by T. Hardaway,,55-71,,
4:17.0,T. Hardaway makes 2-pt shot from 1 ft,2,57-71,,
4:01.0,,,57-71,,E. Fournier misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by E. Ilyasova,,57-71,,
3:54.0,,,57-71,,Personal foul by T. Ross (drawn by T. Hardaway)
3:54.0,T. Hardaway misses free throw 1 of 2,,57-71,,
3:54.0,Offensive rebound by Team,,57-71,,
3:54.0,T. Hardaway makes free throw 2 of 2,1,58-71,,
3:54.0,,,57-71,,M. Hezonja enters the game for T. Ross
3:37.0,,,58-71,,E. Fournier misses 2-pt shot from 10 ft
3:36.0,Defensive rebound by P. Millsap,,58-71,,
3:33.0,Shooting foul by N. Vucevic (drawn by P. Millsap),,58-71,,
3:33.0,P. Millsap makes free throw 1 of 2,1,59-71,,
3:33.0,P. Millsap makes free throw 2 of 2,1,60-71,,
3:25.0,,,60-71,,Shooting foul by P. Millsap (drawn by E. Payton)
3:25.0,,,60-72,1,E. Payton makes free throw 1 of 2
3:25.0,,,60-73,1,E. Payton makes free throw 2 of 2
3:25.0,,,60-72,,J. Green enters the game for A. Gordon
3:13.0,Turnover by T. Hardaway (lost ball; steal by E. Fournier),,60-73,,
3:07.0,,,60-75,2,M. Hezonja makes 2-pt shot from 2 ft
3:00.0,,,60-75,,Personal block foul by M. Hezonja (drawn by D. Schroder)
3:00.0,D. Schroder makes free throw 1 of 2,1,61-75,,
3:00.0,D. Schroder misses free throw 2 of 2,,61-75,,
3:00.0,T. Waller-Prince enters the game for T. Hardaway,,61-75,,
2:58.0,,,61-75,,Defensive rebound by E. Payton
2:35.0,,,61-78,3,J. Green makes 3-pt shot from 25 ft (assist by E. Fournier)
2:18.0,Turnover by P. Millsap (lost ball; steal by E. Payton),,61-78,,
2:12.0,,,61-78,,M. Hezonja misses 2-pt shot at rim
2:10.0,,,61-78,,Offensive rebound by E. Payton
2:10.0,,,61-80,2,E. Payton makes 2-pt shot from 2 ft
1:52.0,P. Millsap makes 2-pt shot from 10 ft (assist by D. Schroder),2,63-80,,
1:29.0,,,63-80,,N. Vucevic misses 2-pt shot at rim
1:28.0,Defensive rebound by E. Ilyasova,,63-80,,
1:07.0,D. Schroder makes 2-pt shot from 18 ft,2,65-80,,
0:50.0,Personal foul by E. Ilyasova (drawn by J. Green),,65-80,,
0:50.0,D. Howard enters the game for P. Millsap,,65-80,,
0:50.0,,,65-80,,D. Augustin enters the game for E. Fournier
0:50.0,,,65-80,,B. Biyombo enters the game for N. Vucevic
0:48.0,,,65-80,,Offensive charge foul by M. Hezonja
0:48.0,,,65-80,,Turnover by M. Hezonja (offensive foul)
0:30.0,D. Schroder misses 2-pt shot from 19 ft,,65-80,,
0:29.0,,,65-80,,Defensive rebound by M. Hezonja
0:05.0,,,65-80,,B. Biyombo misses 2-pt shot from 8 ft
0:05.0,Defensive rebound by D. Howard,,65-80,,
0:00.0,T. Sefolosha misses 3-pt shot from 25 ft,,65-80,,
0:00.0,Offensive rebound by Team,,65-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,65-80,,Offensive foul by B. Biyombo
11:46.0,,,65-80,,Turnover by B. Biyombo (offensive foul)
11:31.0,,,65-80,,Personal foul by J. Green (drawn by D. Howard)
11:23.0,D. Schroder misses 2-pt shot from 11 ft,,65-80,,
11:23.0,,,65-80,,Defensive rebound by M. Hezonja
11:12.0,,,65-80,,E. Fournier enters the game for T. Ross
10:59.0,,,65-80,,D. Augustin misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by D. Howard,,65-80,,
10:48.0,D. Schroder misses 3-pt shot from 24 ft,,65-80,,
10:47.0,,,65-80,,Defensive rebound by E. Fournier
10:31.0,,,65-80,,E. Fournier misses 3-pt shot from 22 ft
10:31.0,Defensive rebound by T. Waller-Prince,,65-80,,
10:20.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,68-80,,
9:54.0,,,68-83,3,D. Augustin makes 3-pt shot from 26 ft
9:38.0,D. Schroder misses 2-pt shot from 8 ft,,68-83,,
9:38.0,,,68-83,,Defensive rebound by J. Green
9:33.0,,,68-85,2,M. Hezonja makes 2-pt shot at rim (assist by D. Augustin)
9:32.0,Atlanta full timeout,,68-85,,
9:32.0,,,68-85,,T. Ross enters the game for E. Fournier
9:32.0,T. Sefolosha enters the game for D. Schroder,,68-85,,
9:24.0,Turnover by K. Bazemore (bad pass),,68-85,,
9:08.0,,,68-87,2,T. Ross makes 2-pt shot from 15 ft
9:00.0,T. Hardaway misses 3-pt shot from 26 ft,,68-87,,
9:00.0,Offensive rebound by T. Hardaway,,68-87,,
8:57.0,T. Hardaway makes 2-pt shot from 9 ft,2,70-87,,
8:35.0,,,70-89,2,T. Ross makes 2-pt shot from 16 ft
8:21.0,,,70-89,,Personal foul by B. Biyombo (drawn by D. Howard)
8:13.0,Shooting foul by J. Green (drawn by D. Howard),,70-89,,
8:13.0,D. Howard misses free throw 1 of 2,,70-89,,
8:13.0,Offensive rebound by Team,,70-89,,
8:13.0,D. Howard misses free throw 2 of 2,,70-89,,
8:13.0,,,70-89,,Defensive rebound by J. Green
8:01.0,,,70-91,2,T. Ross makes 2-pt shot from 15 ft (assist by D. Augustin)
7:46.0,,,70-91,,Personal foul by T. Ross (drawn by K. Bazemore)
7:33.0,T. Hardaway makes 2-pt shot from 5 ft,2,72-91,,
7:10.0,,,72-93,2,D. Augustin makes 2-pt shot from 19 ft
6:59.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Howard),2,74-93,,
6:38.0,,,74-95,2,T. Ross makes 2-pt shot from 15 ft
6:33.0,,,74-95,,Personal foul by B. Biyombo (drawn by D. Howard)
6:33.0,D. Howard makes free throw 1 of 2,1,75-95,,
6:33.0,D. Howard makes free throw 2 of 2,1,76-95,,
6:33.0,D. Schroder enters the game for K. Bazemore,,75-95,,
6:17.0,,,76-95,,Turnover by M. Hezonja (bad pass; steal by T. Waller-Prince)
6:15.0,,,76-95,,Violation by M. Hezonja (kicked ball)
6:15.0,,,76-95,,E. Fournier enters the game for M. Hezonja
6:02.0,T. Sefolosha misses 2-pt shot from 10 ft (block by B. Biyombo),,76-95,,
6:01.0,Offensive rebound by D. Howard,,76-95,,
6:00.0,D. Howard misses 2-pt shot from 2 ft,,76-95,,
6:00.0,,,76-95,,Defensive rebound by E. Fournier
5:53.0,,,76-95,,Shooting foul by T. Sefolosha (drawn by J. Green)
5:53.0,Official timeout,,76-95,,
5:53.0,,,76-96,1,J. Green makes free throw 1 of 2
5:53.0,,,76-97,1,J. Green makes free throw 2 of 2
