time,Minnesota,pts.away,score,pts.home,Toronto
7:12.0,,,14-6,,Defensive rebound by D. Carroll
6:57.0,,,14-8,2,K. Lowry makes 2-pt shot from 4 ft
6:45.0,,,14-8,,Personal block foul by J. Valanciunas (drawn by R. Rubio)
6:45.0,,,14-8,,L. Nogueira enters the game for J. Valanciunas
6:34.0,,,14-8,,Personal foul by D. Carroll (drawn by G. Dieng)
6:34.0,,,14-8,,T. Ross enters the game for D. Carroll
6:28.0,G. Dieng misses 2-pt shot from 20 ft,,14-8,,
6:27.0,Offensive rebound by A. Wiggins,,14-8,,
6:25.0,A. Wiggins makes 2-pt shot from 2 ft,2,16-8,,
6:12.0,,,16-11,3,P. Patterson makes 3-pt shot from 26 ft (assist by K. Lowry)
6:00.0,Turnover by G. Dieng (traveling),,16-11,,
5:48.0,,,16-11,,T. Ross misses 3-pt shot from 25 ft
5:48.0,,,16-11,,Offensive rebound by K. Lowry
5:40.0,,,16-11,,Shooting foul by R. Rubio (drawn by P. Patterson)
5:40.0,,,16-11,,P. Patterson misses free throw 1 of 2
5:40.0,,,16-11,,Offensive rebound by Team
5:40.0,,,16-11,,P. Patterson misses free throw 2 of 2
5:38.0,Defensive rebound by K. Towns,,16-11,,
5:33.0,R. Rubio misses 2-pt shot from 3 ft,,16-11,,
5:33.0,,,16-11,,Defensive rebound by D. DeRozan
5:18.0,,,16-13,2,L. Nogueira makes 2-pt shot at rim (assist by T. Ross)
5:08.0,Turnover by R. Rubio (bad pass; steal by T. Ross),,16-13,,
5:02.0,Personal block foul by R. Rubio (drawn by K. Lowry),,16-13,,
4:45.0,,,16-16,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
4:25.0,,,16-16,,Def 3 sec tech foul by K. Lowry
4:25.0,R. Rubio makes technical free throw,1,17-16,,
4:25.0,S. Muhammad enters the game for Z. LaVine,,17-16,,
4:25.0,,,17-16,,C. Joseph enters the game for K. Lowry
4:10.0,R. Rubio misses 3-pt shot from 26 ft,,17-16,,
4:10.0,,,17-16,,Defensive rebound by P. Patterson
4:01.0,,,17-16,,P. Patterson misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by A. Wiggins,,17-16,,
3:50.0,A. Wiggins makes 2-pt shot from 19 ft,2,19-16,,
3:31.0,,,19-16,,T. Ross misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by G. Dieng,,19-16,,
3:24.0,,,19-16,,Personal foul by T. Ross (drawn by S. Muhammad)
3:24.0,S. Muhammad misses free throw 1 of 2,,19-16,,
3:24.0,Offensive rebound by Team,,19-16,,
3:24.0,S. Muhammad makes free throw 2 of 2,1,20-16,,
3:24.0,K. Dunn enters the game for R. Rubio,,19-16,,
3:11.0,,,20-16,,T. Ross misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by K. Towns,,20-16,,
3:01.0,A. Wiggins makes 2-pt shot at rim (assist by K. Dunn),2,22-16,,
2:50.0,,,22-16,,Shooting foul by G. Dieng (drawn by D. DeRozan)
2:50.0,Minnesota full timeout,,22-16,,
2:50.0,,,22-17,1,D. DeRozan makes free throw 1 of 2
2:50.0,,,22-18,1,D. DeRozan makes free throw 2 of 2
2:50.0,C. Aldrich enters the game for G. Dieng,,22-16,,
2:34.0,A. Wiggins misses 2-pt shot from 5 ft,,22-18,,
2:34.0,Offensive rebound by C. Aldrich,,22-18,,
2:33.0,C. Aldrich makes 2-pt shot at rim,2,24-18,,
2:16.0,,,24-18,,D. DeRozan misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by K. Towns,,24-18,,
2:02.0,A. Wiggins misses 3-pt shot from 29 ft,,24-18,,
2:02.0,,,24-18,,Defensive rebound by Team
2:00.0,N. Bjelica enters the game for K. Towns,,24-18,,
1:46.0,,,24-18,,D. DeRozan misses 2-pt shot from 4 ft
1:46.0,,,24-18,,Offensive rebound by L. Nogueira
1:45.0,,,24-18,,L. Nogueira misses 2-pt shot at rim
1:44.0,Defensive rebound by A. Wiggins,,24-18,,
1:44.0,,,24-18,,Personal foul by D. DeRozan (drawn by N. Bjelica)
1:44.0,N. Bjelica makes free throw 1 of 2,1,25-18,,
1:44.0,N. Bjelica misses free throw 2 of 2,,25-18,,
1:42.0,,,25-18,,Defensive rebound by P. Patterson
1:20.0,,,25-18,,T. Ross misses 3-pt shot from 28 ft
1:20.0,,,25-18,,Offensive rebound by C. Joseph
1:11.0,,,25-18,,Turnover by D. DeRozan (traveling)
1:03.0,K. Dunn misses 2-pt shot from 3 ft (block by L. Nogueira),,25-18,,
1:02.0,Offensive rebound by C. Aldrich,,25-18,,
1:02.0,,,25-18,,Violation by L. Nogueira (def goaltending)
1:02.0,C. Aldrich makes 2-pt shot from 2 ft,2,27-18,,
0:50.0,,,27-18,,D. DeRozan misses 2-pt shot from 7 ft
0:50.0,,,27-18,,Offensive rebound by L. Nogueira
0:50.0,,,27-20,2,L. Nogueira makes 2-pt shot at rim
0:45.0,N. Bjelica makes 3-pt shot from 26 ft (assist by K. Dunn),3,30-20,,
0:39.0,,,30-22,2,L. Nogueira makes 2-pt shot from 2 ft (assist by C. Joseph)
0:24.0,S. Muhammad makes 2-pt shot from 9 ft (assist by K. Dunn),2,32-22,,
0:02.0,,,32-22,,D. DeRozan misses 2-pt shot from 5 ft (block by C. Aldrich)
0:01.0,,,32-22,,Offensive rebound by P. Patterson
0:00.0,,,32-22,,P. Patterson misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by C. Aldrich,,32-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Offensive foul by K. Dunn,,32-22,,
11:46.0,Turnover by K. Dunn (offensive foul),,32-22,,
11:34.0,,,32-24,2,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry)
11:15.0,Z. LaVine misses 2-pt shot from 18 ft,,32-24,,
11:14.0,,,32-24,,Defensive rebound by L. Nogueira
11:05.0,,,32-24,,Turnover by C. Joseph (bad pass; steal by N. Bjelica)
10:59.0,Z. LaVine makes 2-pt shot from 3 ft,2,34-24,,
10:46.0,Personal foul by K. Dunn (drawn by C. Joseph),,34-24,,
10:41.0,,,34-24,,P. Patterson misses 3-pt shot from 25 ft
10:41.0,,,34-24,,Offensive rebound by N. Powell
10:32.0,,,34-24,,K. Lowry misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by N. Bjelica,,34-24,,
10:25.0,K. Dunn makes 2-pt shot from 3 ft (assist by Z. LaVine),2,36-24,,
10:04.0,,,36-26,2,C. Joseph makes 2-pt shot from 18 ft
9:40.0,S. Muhammad misses 2-pt shot from 22 ft,,36-26,,
9:40.0,Offensive rebound by Team,,36-26,,
9:40.0,,,36-26,,Loose ball foul by K. Lowry (drawn by C. Aldrich)
9:40.0,,,36-26,,J. Valanciunas enters the game for L. Nogueira
9:40.0,,,36-26,,D. Carroll enters the game for P. Patterson
9:34.0,Turnover by K. Dunn (bad pass; steal by D. Carroll),,36-26,,
9:30.0,,,36-28,2,C. Joseph makes 2-pt shot from 2 ft (assist by D. Carroll)
9:09.0,C. Aldrich makes 2-pt shot from 2 ft (assist by Z. LaVine),2,38-28,,
8:56.0,,,38-30,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by C. Joseph)
8:46.0,Turnover by N. Bjelica (traveling),,38-30,,
8:46.0,Official timeout,,38-30,,
8:46.0,G. Dieng enters the game for C. Aldrich,,38-30,,
8:24.0,,,38-32,2,C. Joseph makes 2-pt shot from 7 ft
7:58.0,Z. LaVine makes 2-pt shot from 2 ft,2,40-32,,
7:49.0,,,40-32,,Shooting foul by Z. LaVine (drawn by K. Lowry)
7:49.0,,,40-33,1,K. Lowry makes free throw 1 of 2
7:49.0,,,40-33,,K. Lowry misses free throw 2 of 2
7:47.0,Defensive rebound by N. Bjelica,,40-33,,
7:40.0,Technical foul by Team,,40-33,,
7:40.0,,,40-34,1,K. Lowry makes technical free throw
7:25.0,K. Dunn makes 2-pt shot from 5 ft,2,42-34,,
7:08.0,,,42-34,,K. Lowry misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by N. Bjelica,,42-34,,
7:03.0,Shooting foul by C. Joseph (drawn by G. Dieng),,42-34,,
7:03.0,G. Dieng makes free throw 1 of 2,1,43-34,,
7:03.0,G. Dieng makes free throw 2 of 2,1,44-34,,
7:03.0,,,43-34,,D. DeRozan enters the game for C. Joseph
7:03.0,A. Wiggins enters the game for S. Muhammad,,43-34,,
6:49.0,,,44-36,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by K. Lowry)
6:27.0,Z. LaVine misses 3-pt shot from 26 ft,,44-36,,
6:26.0,Offensive rebound by A. Wiggins,,44-36,,
6:23.0,A. Wiggins misses 2-pt shot from 1 ft,,44-36,,
6:23.0,Offensive rebound by A. Wiggins,,44-36,,
6:23.0,A. Wiggins makes 2-pt shot from 1 ft,2,46-36,,
6:11.0,,,46-39,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:56.0,N. Bjelica makes 3-pt shot from 26 ft (assist by Z. LaVine),3,49-39,,
5:43.0,,,49-39,,Shooting foul by K. Dunn (drawn by D. DeRozan)
5:43.0,,,49-39,,Toronto full timeout
5:43.0,,,49-40,1,D. DeRozan makes free throw 1 of 2
5:43.0,,,49-41,1,D. DeRozan makes free throw 2 of 2
5:43.0,,,49-39,,P. Patterson enters the game for N. Powell
5:43.0,K. Towns enters the game for K. Dunn,,49-39,,
5:43.0,R. Rubio enters the game for N. Bjelica,,49-39,,
5:21.0,Z. LaVine misses 2-pt shot from 5 ft,,49-41,,
5:21.0,Offensive rebound by G. Dieng,,49-41,,
5:19.0,G. Dieng makes 2-pt shot from 2 ft,2,51-41,,
4:59.0,,,51-43,2,J. Valanciunas makes 2-pt shot from 5 ft
4:38.0,G. Dieng makes 2-pt shot from 14 ft (assist by Z. LaVine),2,53-43,,
4:23.0,,,53-46,3,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson)
3:57.0,G. Dieng misses 3-pt shot from 24 ft,,53-46,,
3:57.0,,,53-46,,Defensive rebound by D. Carroll
3:51.0,,,53-48,2,D. DeRozan makes 2-pt shot at rim (assist by D. Carroll)
3:48.0,,,53-48,,Violation by Team (jump ball)
3:28.0,K. Towns misses 2-pt shot from 13 ft,,53-48,,
3:27.0,Offensive rebound by R. Rubio,,53-48,,
3:21.0,Z. LaVine misses 3-pt shot from 23 ft,,53-48,,
3:21.0,,,53-48,,Defensive rebound by P. Patterson
3:02.0,,,53-48,,P. Patterson misses 2-pt shot from 7 ft
3:02.0,Defensive rebound by G. Dieng,,53-48,,
2:53.0,K. Towns misses 3-pt shot from 24 ft,,53-48,,
2:53.0,,,53-48,,Defensive rebound by J. Valanciunas
2:45.0,,,53-48,,D. Carroll misses 3-pt shot from 26 ft
2:45.0,,,53-48,,Offensive rebound by Team
2:45.0,Loose ball foul by G. Dieng (drawn by J. Valanciunas),,53-48,,
2:45.0,Minnesota full timeout,,53-48,,
2:33.0,,,53-51,3,D. Carroll makes 3-pt shot from 23 ft (assist by K. Lowry)
2:13.0,K. Towns misses 2-pt shot from 14 ft,,53-51,,
2:12.0,,,53-51,,Defensive rebound by D. DeRozan
2:01.0,,,53-54,3,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan)
1:46.0,,,53-54,,Personal block foul by D. DeRozan (drawn by Z. LaVine)
1:31.0,Z. LaVine makes 2-pt shot from 14 ft,2,55-54,,
1:17.0,,,55-54,,D. DeRozan misses 2-pt shot from 13 ft
1:17.0,,,55-54,,Offensive rebound by J. Valanciunas
1:13.0,,,55-57,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Valanciunas)
0:54.0,R. Rubio misses 3-pt shot from 23 ft,,55-57,,
0:53.0,Offensive rebound by K. Towns,,55-57,,
0:48.0,A. Wiggins makes 2-pt shot from 14 ft (assist by G. Dieng),2,57-57,,
0:36.0,,,57-59,2,K. Lowry makes 2-pt shot from 4 ft
0:25.0,G. Dieng makes 2-pt shot at rim,2,59-59,,
0:01.0,,,59-59,,Turnover by Team (shot clock)
0:01.0,,,59-59,,L. Nogueira enters the game for J. Valanciunas
0:01.0,Minnesota full timeout,,59-59,,
0:01.0,,,59-59,,N. Powell enters the game for D. DeRozan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Wiggins misses 2-pt shot from 19 ft,,59-59,,
11:40.0,,,59-59,,Defensive rebound by J. Valanciunas
11:21.0,,,59-59,,Shooting foul by K. Towns (drawn by P. Siakam)
11:21.0,,,59-60,1,P. Siakam makes free throw 1 of 2
11:21.0,,,59-61,1,P. Siakam makes free throw 2 of 2
11:17.0,Offensive charge foul by A. Wiggins,,59-61,,
11:17.0,Turnover by A. Wiggins (offensive foul),,59-61,,
11:06.0,,,59-63,2,D. DeRozan makes 2-pt shot from 5 ft
10:48.0,G. Dieng misses 2-pt shot from 13 ft,,59-63,,
10:48.0,,,59-63,,Defensive rebound by J. Valanciunas
10:42.0,,,59-65,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
10:42.0,Minnesota full timeout,,59-65,,
10:26.0,A. Wiggins misses 3-pt shot from 25 ft,,59-65,,
10:25.0,,,59-65,,Defensive rebound by D. DeRozan
10:15.0,,,59-65,,D. DeRozan misses 2-pt shot from 16 ft
10:14.0,,,59-65,,Offensive rebound by J. Valanciunas
10:13.0,,,59-65,,J. Valanciunas misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by K. Towns,,59-65,,
10:03.0,A. Wiggins misses 2-pt shot from 6 ft,,59-65,,
10:02.0,Offensive rebound by K. Towns,,59-65,,
10:01.0,K. Towns misses 2-pt shot from 2 ft,,59-65,,
10:01.0,Offensive rebound by K. Towns,,59-65,,
10:00.0,K. Towns makes 2-pt shot from 1 ft,2,61-65,,
9:54.0,,,61-67,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
9:54.0,,,61-67,,Shooting foul by A. Wiggins (drawn by D. DeRozan)
9:54.0,,,61-68,1,D. DeRozan makes free throw 1 of 1
9:41.0,Offensive foul by K. Towns,,61-68,,
9:41.0,Turnover by K. Towns (offensive foul),,61-68,,
9:28.0,,,61-70,2,J. Valanciunas makes 2-pt shot from 8 ft
9:02.0,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins),3,64-70,,
8:47.0,,,64-72,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
8:33.0,,,64-72,,Personal foul by P. Siakam (drawn by K. Towns)
8:23.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,66-72,,
8:11.0,,,66-72,,Shooting foul by Z. LaVine (drawn by D. DeRozan)
8:11.0,,,66-72,,D. DeRozan misses free throw 1 of 2
8:11.0,,,66-72,,Offensive rebound by Team
8:11.0,,,66-73,1,D. DeRozan makes free throw 2 of 2
7:58.0,K. Towns makes 2-pt shot at rim,2,68-73,,
7:46.0,Personal foul by R. Rubio (drawn by D. DeRozan),,68-73,,
7:30.0,,,68-75,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:14.0,A. Wiggins makes 2-pt shot from 14 ft,2,70-75,,
7:00.0,,,70-75,,D. Carroll misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by G. Dieng,,70-75,,
6:58.0,,,70-75,,Personal foul by P. Siakam (drawn by R. Rubio)
6:42.0,Z. LaVine makes 3-pt shot from 27 ft (assist by G. Dieng),3,73-75,,
6:24.0,,,73-77,2,J. Valanciunas makes 2-pt shot from 20 ft (assist by D. DeRozan)
6:09.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,75-77,,
5:41.0,,,75-80,3,K. Lowry makes 3-pt shot from 31 ft
5:24.0,K. Towns makes 2-pt shot from 4 ft,2,77-80,,
5:11.0,,,77-80,,D. DeRozan misses 2-pt shot from 5 ft
5:10.0,,,77-80,,Offensive rebound by J. Valanciunas
5:09.0,,,77-80,,J. Valanciunas misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by A. Wiggins,,77-80,,
5:07.0,,,77-80,,Personal foul by D. Carroll (drawn by R. Rubio)
5:07.0,,,77-80,,P. Patterson enters the game for P. Siakam
4:55.0,A. Wiggins misses 3-pt shot from 25 ft,,77-80,,
4:55.0,,,77-80,,Defensive rebound by D. DeRozan
4:52.0,S. Muhammad enters the game for Z. LaVine,,77-80,,
4:52.0,Jump ball: D. DeRozan vs. G. Dieng,,,,Jump ball: D. DeRozan vs. G. Dieng
4:42.0,,,77-80,,Shooting foul by A. Wiggins (drawn by D. DeRozan)
4:42.0,,,77-81,1,D. DeRozan makes free throw 1 of 2
4:42.0,,,77-82,1,D. DeRozan makes free throw 2 of 2
4:42.0,Z. LaVine enters the game for A. Wiggins,,77-81,,
4:42.0,,,77-81,,C. Joseph enters the game for K. Lowry
4:25.0,K. Towns misses 2-pt shot from 21 ft,,77-82,,
4:25.0,,,77-82,,Defensive rebound by D. DeRozan
4:16.0,,,77-82,,D. DeRozan misses 2-pt shot from 6 ft
4:16.0,Defensive rebound by R. Rubio,,77-82,,
4:03.0,R. Rubio makes 3-pt shot from 23 ft (assist by Z. LaVine),3,80-82,,
4:00.0,,,80-82,,Toronto full timeout
4:00.0,,,80-82,,T. Ross enters the game for D. Carroll
4:00.0,C. Aldrich enters the game for G. Dieng,,80-82,,
3:47.0,,,80-82,,Offensive foul by J. Valanciunas
3:47.0,,,80-82,,Turnover by J. Valanciunas (offensive foul)
3:35.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,83-82,,
3:14.0,,,83-82,,D. DeRozan misses 2-pt shot from 13 ft
3:14.0,,,83-82,,Offensive rebound by J. Valanciunas
3:14.0,,,83-82,,J. Valanciunas misses 2-pt shot from 1 ft
3:14.0,,,83-82,,Offensive rebound by Team
3:14.0,Loose ball foul by R. Rubio (drawn by J. Valanciunas),,83-82,,
3:14.0,,,83-83,1,J. Valanciunas makes free throw 1 of 2
3:14.0,,,83-84,1,J. Valanciunas makes free throw 2 of 2
3:14.0,K. Dunn enters the game for R. Rubio,,83-83,,
2:58.0,Z. LaVine makes 2-pt shot from 19 ft,2,85-84,,
2:39.0,,,85-84,,P. Patterson misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by C. Aldrich,,85-84,,
2:25.0,S. Muhammad misses 2-pt shot from 13 ft (block by C. Joseph),,85-84,,
2:25.0,Offensive rebound by S. Muhammad,,85-84,,
2:25.0,,,85-84,,L. Nogueira enters the game for J. Valanciunas
2:24.0,Jump ball: C. Joseph vs. S. Muhammad (Z. LaVine gains possession),,,,Jump ball: C. Joseph vs. S. Muhammad (Z. LaVine gains possession)
2:16.0,Z. LaVine makes 2-pt shot from 1 ft,2,87-84,,
2:00.0,,,87-86,2,C. Joseph makes 2-pt shot from 19 ft
1:43.0,K. Towns misses 3-pt shot from 27 ft,,87-86,,
1:43.0,,,87-86,,Defensive rebound by D. DeRozan
1:36.0,,,87-86,,D. DeRozan misses 2-pt shot from 2 ft
1:35.0,Defensive rebound by C. Aldrich,,87-86,,
1:30.0,Turnover by Z. LaVine (bad pass; steal by T. Ross),,87-86,,
1:22.0,,,87-86,,C. Joseph misses 2-pt shot from 14 ft
1:22.0,Defensive rebound by C. Aldrich,,87-86,,
1:09.0,K. Dunn misses 2-pt shot from 5 ft (block by L. Nogueira),,87-86,,
1:08.0,Offensive rebound by K. Towns,,87-86,,
1:06.0,K. Towns makes 2-pt shot at rim,2,89-86,,
0:51.0,,,89-88,2,D. DeRozan makes 2-pt shot from 3 ft
0:42.0,Z. LaVine misses 3-pt shot from 26 ft,,89-88,,
0:42.0,Offensive rebound by Z. LaVine,,89-88,,
0:25.0,Turnover by K. Towns (traveling),,89-88,,
0:05.0,,,89-88,,C. Joseph misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by C. Aldrich,,89-88,,
0:00.0,Z. LaVine misses 3-pt shot from 28 ft,,89-88,,
0:00.0,Offensive rebound by Team,,89-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,89-88,,Offensive foul by L. Nogueira
11:51.0,,,89-88,,Turnover by L. Nogueira (offensive foul)
11:34.0,Z. LaVine misses 2-pt shot from 4 ft (block by L. Nogueira),,89-88,,
11:34.0,Offensive rebound by Team,,89-88,,
11:31.0,Turnover by C. Aldrich (lost ball; steal by K. Lowry),,89-88,,
11:25.0,,,89-90,2,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry)
11:00.0,N. Bjelica misses 3-pt shot from 25 ft,,89-90,,
10:59.0,,,89-90,,Defensive rebound by K. Lowry
10:52.0,,,89-90,,P. Patterson misses 3-pt shot from 22 ft
10:51.0,Defensive rebound by C. Aldrich,,89-90,,
10:39.0,Z. LaVine makes 2-pt shot from 18 ft,2,91-90,,
10:21.0,,,91-90,,Shooting foul by S. Muhammad (drawn by T. Ross)
10:21.0,,,91-91,1,T. Ross makes free throw 1 of 2
10:21.0,,,91-92,1,T. Ross makes free throw 2 of 2
10:21.0,A. Wiggins enters the game for Z. LaVine,,91-91,,
10:21.0,,,91-91,,D. Carroll enters the game for P. Patterson
10:15.0,A. Wiggins misses 2-pt shot from 10 ft,,91-92,,
10:14.0,,,91-92,,Defensive rebound by L. Nogueira
10:04.0,,,91-92,,Turnover by K. Lowry (lost ball; steal by C. Aldrich)
9:49.0,K. Dunn misses 2-pt shot from 15 ft,,91-92,,
9:49.0,,,91-92,,Defensive rebound by L. Nogueira
9:41.0,,,91-94,2,C. Joseph makes 2-pt shot from 2 ft
9:19.0,A. Wiggins makes 2-pt shot from 16 ft,2,93-94,,
8:53.0,,,93-94,,K. Lowry misses 3-pt shot from 27 ft
8:52.0,Defensive rebound by K. Dunn,,93-94,,
8:46.0,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Dunn),2,95-94,,
8:31.0,,,95-96,2,K. Lowry makes 2-pt shot from 1 ft
8:07.0,A. Wiggins misses 2-pt shot from 21 ft,,95-96,,
8:07.0,Offensive rebound by S. Muhammad,,95-96,,
8:06.0,Turnover by Team (shot clock),,95-96,,
8:06.0,Official timeout,,95-96,,
7:50.0,,,95-98,2,T. Ross makes 2-pt shot from 14 ft
7:31.0,Shooting foul by C. Joseph (drawn by A. Wiggins),,95-98,,
7:31.0,A. Wiggins makes free throw 1 of 2,1,96-98,,
7:31.0,A. Wiggins misses free throw 2 of 2,,96-98,,
7:31.0,K. Towns enters the game for N. Bjelica,,96-98,,
7:31.0,,,96-98,,P. Patterson enters the game for C. Joseph
7:30.0,,,96-98,,Defensive rebound by P. Patterson
7:17.0,,,96-101,3,K. Lowry makes 3-pt shot from 25 ft
7:17.0,,,96-101,,Shooting foul by K. Dunn (drawn by K. Lowry)
7:17.0,,,96-102,1,K. Lowry makes free throw 1 of 1
7:09.0,,,96-102,,Personal foul by P. Patterson (drawn by K. Towns)
7:09.0,G. Dieng enters the game for C. Aldrich,,96-102,,
6:52.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Dunn),3,99-102,,
6:35.0,,,99-102,,Shooting foul by K. Towns (drawn by K. Lowry)
6:35.0,,,99-102,,K. Lowry misses free throw 1 of 2
6:35.0,,,99-102,,Offensive rebound by Team
6:35.0,,,99-103,1,K. Lowry makes free throw 2 of 2
6:35.0,Z. LaVine enters the game for S. Muhammad,,99-102,,
6:22.0,Turnover by A. Wiggins (bad pass; steal by D. Carroll),,99-103,,
6:18.0,,,99-105,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
6:18.0,Minnesota full timeout,,99-105,,
6:18.0,,,99-105,,D. DeRozan enters the game for T. Ross
6:18.0,R. Rubio enters the game for K. Dunn,,99-105,,
5:58.0,K. Towns misses 3-pt shot from 25 ft,,99-105,,
5:58.0,,,99-105,,Defensive rebound by L. Nogueira
5:37.0,,,99-105,,D. Carroll misses 3-pt shot from 26 ft
5:36.0,,,99-105,,Offensive rebound by L. Nogueira
5:31.0,,,99-108,3,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson)
5:05.0,Z. LaVine misses 3-pt shot from 25 ft,,99-108,,
5:05.0,,,99-108,,Defensive rebound by L. Nogueira
4:51.0,,,99-108,,K. Lowry misses 2-pt shot from 4 ft
4:50.0,,,99-108,,Offensive rebound by L. Nogueira
4:47.0,,,99-111,3,P. Patterson makes 3-pt shot from 23 ft (assist by L. Nogueira)
4:47.0,Minnesota full timeout,,99-111,,
4:23.0,R. Rubio misses 3-pt shot from 26 ft,,99-111,,
4:22.0,,,99-111,,Defensive rebound by D. Carroll
4:12.0,,,99-111,,Offensive charge foul by D. Carroll
4:12.0,,,99-111,,Turnover by D. Carroll (offensive foul)
4:12.0,,,99-111,,J. Valanciunas enters the game for L. Nogueira
3:51.0,Z. LaVine makes 2-pt shot from 1 ft,2,101-111,,
3:39.0,,,101-113,2,D. DeRozan makes 2-pt shot from 2 ft
