time,Philadelphia,pts.away,score,pts.home,Orlando
2:45.0,Defensive rebound by T. McConnell,,40-42,,
2:39.0,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell),3,43-42,,
2:39.0,,,43-42,,Orlando full timeout
2:37.0,,,43-42,,Turnover by C. Watson (lost ball; steal by D. Saric)
2:36.0,Shooting foul by C. Watson (drawn by D. Saric),,43-42,,
2:36.0,D. Saric makes free throw 1 of 2,1,44-42,,
2:36.0,D. Saric misses free throw 2 of 2,,44-42,,
2:34.0,Offensive rebound by R. Covington,,44-42,,
2:31.0,R. Covington misses 2-pt shot from 3 ft (block by S. Ibaka),,44-42,,
2:30.0,Offensive rebound by R. Covington,,44-42,,
2:24.0,D. Saric makes 3-pt shot from 26 ft (assist by N. Stauskas),3,47-42,,
2:08.0,,,47-42,,Turnover by S. Ibaka (lost ball; steal by D. Saric)
2:05.0,Turnover by N. Stauskas (bad pass),,47-42,,
1:56.0,Personal foul by T. McConnell,,47-42,,
1:56.0,,,47-43,1,C. Watson makes free throw 1 of 2
1:56.0,,,47-44,1,C. Watson makes free throw 2 of 2
1:48.0,D. Saric misses 2-pt shot from 4 ft,,47-44,,
1:47.0,,,47-44,,Defensive rebound by C. Watson
1:44.0,,,47-44,,Shooting foul by R. Covington (drawn by C. Watson)
1:44.0,,,47-45,1,C. Watson makes free throw 1 of 2
1:44.0,,,47-46,1,C. Watson makes free throw 2 of 2
1:44.0,E. Ilyasova enters the game for R. Covington,,47-45,,
1:35.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,50-46,,
1:14.0,,,50-46,,Shooting foul by E. Ilyasova (drawn by E. Fournier)
1:14.0,,,50-47,1,E. Fournier makes free throw 1 of 2
1:14.0,,,50-48,1,E. Fournier makes free throw 2 of 2
1:14.0,G. Henderson enters the game for E. Ilyasova,,50-47,,
1:02.0,,,50-48,,Personal foul by S. Ibaka (drawn by J. Okafor)
1:02.0,,,50-48,,E. Payton enters the game for S. Ibaka
1:02.0,,,50-48,,J. Green enters the game for C. Watson
0:55.0,D. Saric makes 2-pt shot from 1 ft,2,52-48,,
0:55.0,Shooting foul by J. Green (drawn by D. Saric),,52-48,,
0:55.0,D. Saric makes free throw 1 of 1,1,53-48,,
0:52.0,,,53-48,,Turnover by E. Payton (bad pass)
0:34.0,D. Saric misses 3-pt shot from 23 ft,,53-48,,
0:33.0,Offensive rebound by T. McConnell,,53-48,,
0:30.0,T. McConnell misses 2-pt shot from 2 ft,,53-48,,
0:29.0,,,53-48,,Defensive rebound by N. Vucevic
0:12.0,,,53-48,,M. Hezonja misses 3-pt shot from 23 ft
0:11.0,Defensive rebound by T. McConnell,,53-48,,
0:04.0,J. Okafor misses 2-pt shot from 2 ft,,53-48,,
0:04.0,Offensive rebound by D. Saric,,53-48,,
0:04.0,D. Saric makes 2-pt shot from 1 ft,2,55-48,,
0:00.0,,,55-48,,E. Payton misses 3-pt shot from 27 ft
0:00.0,,,55-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,Turnover by J. Okafor (traveling),,55-48,,
11:22.0,,,55-48,,C. Watson misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by J. Okafor,,55-48,,
11:07.0,E. Ilyasova misses 2-pt shot from 19 ft,,55-48,,
11:06.0,,,55-48,,Defensive rebound by E. Fournier
10:58.0,,,55-50,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier)
10:42.0,Turnover by J. Okafor (lost ball; steal by E. Fournier),,55-50,,
10:36.0,,,55-52,2,S. Ibaka makes 2-pt shot from 11 ft (assist by E. Fournier)
10:36.0,Philadelphia full timeout,,55-52,,
10:21.0,J. Okafor misses 2-pt shot from 3 ft (block by N. Vucevic),,55-52,,
10:20.0,Offensive rebound by Team,,55-52,,
10:10.0,G. Henderson makes 2-pt shot from 17 ft,2,57-52,,
9:57.0,,,57-52,,N. Vucevic misses 2-pt shot from 9 ft
9:55.0,Defensive rebound by G. Henderson,,57-52,,
9:37.0,E. Ilyasova misses 3-pt shot from 26 ft,,57-52,,
9:36.0,Offensive rebound by R. Covington,,57-52,,
9:34.0,R. Covington makes 2-pt shot from 3 ft,2,59-52,,
9:20.0,,,59-54,2,N. Vucevic makes 2-pt shot from 2 ft (assist by M. Hezonja)
9:19.0,Turnover by J. Okafor (inbound),,59-54,,
9:19.0,,,59-54,,Turnover by M. Hezonja (inbound)
9:06.0,G. Henderson makes 2-pt shot from 9 ft,2,61-54,,
8:54.0,,,61-54,,Turnover by M. Hezonja (bad pass; steal by R. Covington)
8:49.0,R. Covington misses 2-pt shot from 1 ft,,61-54,,
8:49.0,,,61-54,,Defensive rebound by E. Fournier
8:43.0,,,61-54,,Turnover by E. Fournier (bad pass; steal by E. Ilyasova)
8:39.0,R. Covington makes 2-pt shot at rim (assist by E. Ilyasova),2,63-54,,
8:20.0,,,63-56,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
8:07.0,Shooting foul by N. Vucevic (drawn by J. Okafor),,63-56,,
8:07.0,J. Okafor misses free throw 1 of 2,,63-56,,
8:07.0,Offensive rebound by Team,,63-56,,
8:07.0,J. Okafor makes free throw 2 of 2,1,64-56,,
7:47.0,,,64-58,2,N. Vucevic makes 2-pt shot from 1 ft (assist by C. Watson)
7:35.0,J. Okafor misses 2-pt shot from 7 ft,,64-58,,
7:35.0,,,64-58,,Defensive rebound by S. Ibaka
7:29.0,,,64-61,3,C. Watson makes 3-pt shot from 26 ft
7:13.0,E. Ilyasova misses 2-pt shot from 14 ft,,64-61,,
7:12.0,,,64-61,,Defensive rebound by M. Hezonja
7:03.0,,,64-61,,Turnover by C. Watson (lost ball; steal by T. McConnell)
6:55.0,G. Henderson misses 3-pt shot from 26 ft,,64-61,,
6:55.0,,,64-61,,Defensive rebound by M. Hezonja
6:45.0,,,64-64,3,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Fournier)
6:19.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by R. Covington),2,66-64,,
6:19.0,Shooting foul by S. Ibaka (drawn by E. Ilyasova),,66-64,,
6:19.0,E. Ilyasova makes free throw 1 of 1,1,67-64,,
6:19.0,N. Noel enters the game for J. Okafor,,66-64,,
6:19.0,N. Stauskas enters the game for G. Henderson,,66-64,,
6:05.0,,,67-64,,Turnover by N. Vucevic (lost ball; steal by N. Noel)
6:02.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Covington),2,69-64,,
6:02.0,Shooting foul by M. Hezonja (drawn by E. Ilyasova),,69-64,,
6:02.0,E. Ilyasova makes free throw 1 of 1,1,70-64,,
6:02.0,S. Rodriguez enters the game for T. McConnell,,69-64,,
6:02.0,,,69-64,,E. Payton enters the game for M. Hezonja
5:47.0,,,70-67,3,S. Ibaka makes 3-pt shot from 26 ft (assist by N. Vucevic)
5:25.0,N. Noel misses 2-pt shot from 15 ft,,70-67,,
5:25.0,,,70-67,,Defensive rebound by E. Fournier
5:16.0,,,70-69,2,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier)
5:12.0,Turnover by R. Covington (lost ball),,70-69,,
5:12.0,D. Saric enters the game for E. Ilyasova,,70-69,,
5:00.0,,,70-69,,N. Vucevic misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by N. Stauskas,,70-69,,
4:48.0,N. Stauskas misses 2-pt shot from 2 ft,,70-69,,
4:48.0,,,70-69,,Defensive rebound by N. Vucevic
4:38.0,,,70-71,2,S. Ibaka makes 2-pt shot from 10 ft (assist by E. Payton)
4:20.0,Turnover by S. Rodriguez (lost ball; steal by C. Watson),,70-71,,
4:17.0,,,70-71,,C. Watson misses 2-pt shot from 1 ft
4:16.0,,,70-71,,Offensive rebound by E. Fournier
4:16.0,,,70-71,,E. Fournier misses 2-pt shot from 2 ft
4:15.0,,,70-71,,Offensive rebound by Team
4:15.0,Loose ball foul by D. Saric (drawn by N. Vucevic),,70-71,,
4:15.0,T. Luwawu-Cabarrot enters the game for R. Covington,,70-71,,
4:04.0,,,70-71,,S. Ibaka misses 2-pt shot from 10 ft
4:04.0,,,70-71,,Offensive rebound by N. Vucevic
4:04.0,,,70-71,,Shooting foul by N. Noel (drawn by N. Vucevic)
4:04.0,,,70-73,2,N. Vucevic makes 2-pt shot from 1 ft
4:04.0,,,70-73,,N. Vucevic misses free throw 1 of 1
4:02.0,Defensive rebound by D. Saric,,70-73,,
3:40.0,N. Noel misses 2-pt shot from 7 ft,,70-73,,
3:40.0,,,70-73,,Defensive rebound by E. Fournier
3:32.0,,,70-76,3,S. Ibaka makes 3-pt shot from 24 ft (assist by E. Fournier)
3:32.0,Philadelphia full timeout,,70-76,,
3:25.0,Turnover by N. Stauskas (bad pass; steal by N. Vucevic),,70-76,,
3:24.0,,,70-76,,Turnover by N. Vucevic (bad pass)
3:12.0,N. Stauskas makes 3-pt shot from 24 ft (assist by S. Rodriguez),3,73-76,,
2:56.0,,,73-78,2,E. Fournier makes 2-pt shot from 8 ft
2:44.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,75-78,,
2:33.0,,,75-78,,Turnover by C. Watson (bad pass; steal by N. Noel)
2:27.0,,,75-78,,Personal foul by C. Watson (drawn by S. Rodriguez)
2:27.0,,,75-78,,Orlando full timeout
2:27.0,,,75-78,,B. Biyombo enters the game for N. Vucevic
2:27.0,,,75-78,,D. Augustin enters the game for C. Watson
2:17.0,N. Stauskas misses 2-pt shot from 2 ft,,75-78,,
2:17.0,Offensive rebound by T. Luwawu-Cabarrot,,75-78,,
2:17.0,,,75-78,,Personal foul by E. Fournier (drawn by T. Luwawu-Cabarrot)
2:17.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,75-78,,
2:17.0,Offensive rebound by Team,,75-78,,
2:17.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,76-78,,
1:52.0,,,76-80,2,B. Biyombo makes 2-pt shot from 10 ft (assist by S. Ibaka)
1:34.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by N. Stauskas),3,79-80,,
1:13.0,,,79-80,,S. Ibaka misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by N. Noel,,79-80,,
1:03.0,D. Saric makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,82-80,,
0:51.0,,,82-82,2,E. Payton makes 2-pt shot from 5 ft
0:36.0,S. Rodriguez misses 2-pt shot from 13 ft,,82-82,,
0:35.0,,,82-82,,Defensive rebound by B. Biyombo
0:27.0,Personal take foul by T. Luwawu-Cabarrot (drawn by B. Biyombo),,82-82,,
0:27.0,,,82-83,1,B. Biyombo makes free throw 1 of 2
0:27.0,,,82-84,1,B. Biyombo makes free throw 2 of 2
0:27.0,,,82-83,,J. Green enters the game for E. Fournier
0:03.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by N. Stauskas),3,85-84,,
0:00.0,,,85-84,,J. Green misses 3-pt shot from 61 ft
0:00.0,,,85-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,85-87,3,D. Augustin makes 3-pt shot from 23 ft (assist by E. Fournier)
11:19.0,R. Covington misses 3-pt shot from 26 ft,,85-87,,
11:18.0,,,85-87,,Defensive rebound by J. Green
11:14.0,,,85-87,,Shooting foul by E. Ilyasova (drawn by E. Payton)
11:14.0,,,85-87,,E. Payton misses free throw 1 of 2
11:14.0,,,85-87,,Offensive rebound by Team
11:14.0,,,85-88,1,E. Payton makes free throw 2 of 2
10:59.0,G. Henderson misses 3-pt shot from 26 ft,,85-88,,
10:56.0,Offensive rebound by E. Ilyasova,,85-88,,
10:53.0,E. Ilyasova misses 2-pt shot from 3 ft,,85-88,,
10:53.0,,,85-88,,Defensive rebound by J. Green
10:45.0,,,85-88,,E. Fournier misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by R. Covington,,85-88,,
10:33.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,88-88,,
10:07.0,,,88-88,,J. Green misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by E. Ilyasova,,88-88,,
10:00.0,T. McConnell misses 2-pt shot from 5 ft,,88-88,,
9:59.0,,,88-88,,Defensive rebound by D. Augustin
9:52.0,,,88-90,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
9:38.0,R. Covington misses 2-pt shot from 1 ft,,88-90,,
9:38.0,,,88-90,,Defensive rebound by B. Biyombo
9:27.0,,,88-92,2,E. Payton makes 2-pt shot at rim (assist by D. Augustin)
9:27.0,Philadelphia full timeout,,88-92,,
9:07.0,E. Ilyasova misses 3-pt shot from 26 ft,,88-92,,
9:06.0,,,88-92,,Defensive rebound by B. Biyombo
8:49.0,,,88-95,3,D. Augustin makes 3-pt shot from 24 ft (assist by B. Biyombo)
8:32.0,G. Henderson misses 2-pt shot from 14 ft,,88-95,,
8:32.0,,,88-95,,Defensive rebound by Team
8:32.0,Loose ball foul by E. Ilyasova (drawn by J. Green),,88-95,,
8:32.0,S. Rodriguez enters the game for G. Henderson,,88-95,,
8:32.0,N. Stauskas enters the game for T. McConnell,,88-95,,
8:32.0,N. Noel enters the game for J. Okafor,,88-95,,
8:17.0,Personal foul by N. Noel (drawn by D. Augustin),,88-95,,
8:09.0,,,88-95,,E. Fournier misses 2-pt shot from 15 ft
8:07.0,,,88-95,,Offensive rebound by Team
7:59.0,,,88-95,,E. Fournier misses 2-pt shot from 9 ft (block by R. Covington)
7:58.0,Defensive rebound by S. Rodriguez,,88-95,,
7:54.0,Shooting foul by J. Green (drawn by N. Noel),,88-95,,
7:54.0,N. Noel makes free throw 1 of 2,1,89-95,,
7:54.0,N. Noel makes free throw 2 of 2,1,90-95,,
7:54.0,,,89-95,,N. Vucevic enters the game for B. Biyombo
7:54.0,D. Saric enters the game for E. Ilyasova,,89-95,,
7:39.0,,,90-95,,Shooting foul by N. Noel (drawn by N. Vucevic)
7:39.0,,,90-95,,N. Vucevic misses free throw 1 of 2
7:39.0,,,90-95,,Offensive rebound by Team
