time,Minnesota,pts.away,score,pts.home,Memphis
1:53.0,Shooting foul by D. Davis (drawn by A. Wiggins),,14-16,,
1:53.0,A. Wiggins makes free throw 1 of 2,1,15-16,,
1:53.0,A. Wiggins makes free throw 2 of 2,1,16-16,,
1:35.0,,,16-18,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley)
1:10.0,R. Rubio misses 3-pt shot from 24 ft,,16-18,,
1:10.0,,,16-18,,Defensive rebound by D. Davis
0:53.0,,,16-18,,Z. Randolph misses 2-pt shot from 7 ft
0:52.0,Defensive rebound by G. Dieng,,16-18,,
0:45.0,A. Wiggins misses 3-pt shot from 25 ft,,16-18,,
0:44.0,,,16-18,,Defensive rebound by D. Davis
0:23.0,,,16-18,,A. Harrison misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by A. Wiggins,,16-18,,
0:01.0,A. Wiggins misses 2-pt shot from 1 ft,,16-18,,
0:00.0,,,16-18,,Defensive rebound by Z. Randolph
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Towns makes 2-pt shot from 15 ft (assist by Z. LaVine),2,18-18,,
11:28.0,Jump ball: C. Aldrich vs. M. Conley (Z. LaVine gains possession),,,,Jump ball: C. Aldrich vs. M. Conley (Z. LaVine gains possession)
11:28.0,,,18-18,,Turnover by M. Conley (lost ball)
11:08.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn),3,21-18,,
10:55.0,,,21-18,,Memphis full timeout
10:55.0,,,21-18,,J. Ennis enters the game for A. Harrison
10:50.0,,,21-18,,V. Carter misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by C. Aldrich,,21-18,,
10:36.0,Turnover by K. Towns (lost ball),,21-18,,
10:21.0,,,21-18,,Z. Randolph misses 2-pt shot from 2 ft
10:20.0,,,21-18,,Offensive rebound by D. Davis
10:20.0,,,21-20,2,D. Davis makes 2-pt shot at rim
10:11.0,R. Rubio misses 2-pt shot from 20 ft,,21-20,,
10:08.0,,,21-20,,Defensive rebound by Z. Randolph
9:52.0,,,21-20,,D. Davis misses 2-pt shot from 21 ft
9:52.0,,,21-20,,Offensive rebound by Team
9:45.0,Personal foul by Z. LaVine (drawn by V. Carter),,21-20,,
9:35.0,,,21-20,,Shooting foul by K. Dunn (drawn by V. Carter)
9:35.0,,,21-21,1,V. Carter makes free throw 1 of 2
9:35.0,,,21-22,1,V. Carter makes free throw 2 of 2
9:35.0,A. Wiggins enters the game for K. Dunn,,21-21,,
9:24.0,,,21-22,,Violation by D. Davis (def goaltending)
9:24.0,Z. LaVine makes 2-pt shot from 1 ft,2,23-22,,
9:08.0,,,23-24,2,Z. Randolph makes 2-pt shot from 7 ft
8:58.0,R. Rubio misses 2-pt shot from 1 ft,,23-24,,
8:56.0,,,23-24,,Defensive rebound by Z. Randolph
8:39.0,,,23-24,,Shooting foul by K. Towns (drawn by Z. Randolph)
8:39.0,Official timeout,,23-24,,
8:39.0,,,23-25,1,Z. Randolph makes free throw 1 of 2
8:39.0,,,23-26,1,Z. Randolph makes free throw 2 of 2
8:39.0,,,23-24,,A. Harrison enters the game for M. Conley
8:39.0,,,23-24,,T. Allen enters the game for V. Carter
8:14.0,Turnover by Team (shot clock),,23-26,,
8:01.0,Personal foul by K. Towns (drawn by Z. Randolph),,23-26,,
8:01.0,G. Dieng enters the game for C. Aldrich,,23-26,,
8:01.0,,,23-26,,M. Gasol enters the game for D. Davis
7:45.0,,,23-28,2,Z. Randolph makes 2-pt shot from 14 ft (assist by J. Ennis)
7:29.0,K. Towns misses 2-pt shot from 4 ft,,23-28,,
7:27.0,,,23-28,,Defensive rebound by M. Gasol
7:07.0,,,23-30,2,A. Harrison makes 2-pt shot from 1 ft
6:51.0,A. Wiggins makes 2-pt shot at rim,2,25-30,,
6:27.0,,,25-30,,M. Gasol misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by G. Dieng,,25-30,,
6:15.0,,,25-30,,Personal foul by A. Harrison (drawn by A. Wiggins)
6:15.0,,,25-30,,J. Green enters the game for Z. Randolph
6:07.0,,,25-30,,Personal foul by M. Gasol (drawn by K. Towns)
5:57.0,K. Towns makes 2-pt shot from 1 ft,2,27-30,,
5:41.0,,,27-30,,M. Gasol misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by Team,,27-30,,
5:39.0,,,27-30,,Memphis full timeout
5:25.0,K. Towns misses 2-pt shot from 7 ft,,27-30,,
5:23.0,,,27-30,,Defensive rebound by J. Green
5:04.0,,,27-30,,T. Allen misses 2-pt shot from 23 ft
5:04.0,Defensive rebound by R. Rubio,,27-30,,
4:51.0,Shooting foul by J. Ennis (drawn by G. Dieng),,27-30,,
4:51.0,G. Dieng misses free throw 1 of 2,,27-30,,
4:51.0,Offensive rebound by Team,,27-30,,
4:51.0,G. Dieng makes free throw 2 of 2,1,28-30,,
4:35.0,,,28-30,,T. Allen misses 2-pt shot from 1 ft
4:34.0,,,28-30,,Offensive rebound by J. Green
4:33.0,,,28-32,2,J. Green makes 2-pt shot from 1 ft
4:33.0,,,28-32,,Shooting foul by K. Towns (drawn by J. Green)
4:33.0,,,28-33,1,J. Green makes free throw 1 of 1
4:33.0,A. Payne enters the game for K. Towns,,28-32,,
4:21.0,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio),3,31-33,,
4:09.0,,,31-35,2,A. Harrison makes 2-pt shot from 15 ft
3:49.0,Shooting foul by A. Harrison (drawn by R. Rubio),,31-35,,
3:49.0,R. Rubio misses free throw 1 of 2,,31-35,,
3:49.0,Offensive rebound by Team,,31-35,,
3:49.0,R. Rubio makes free throw 2 of 2,1,32-35,,
3:49.0,,,31-35,,M. Conley enters the game for A. Harrison
3:30.0,,,32-35,,M. Conley misses 2-pt shot from 11 ft
3:28.0,,,32-35,,Offensive rebound by J. Ennis
3:27.0,,,32-37,2,J. Ennis makes 2-pt shot at rim
3:19.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,34-37,,
2:59.0,,,34-39,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
2:41.0,A. Wiggins misses 2-pt shot from 4 ft,,34-39,,
2:39.0,,,34-39,,Defensive rebound by M. Gasol
2:27.0,,,34-39,,T. Allen misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by A. Wiggins,,34-39,,
2:24.0,Turnover by A. Wiggins (lost ball; steal by T. Allen),,34-39,,
2:17.0,Shooting block foul by A. Payne (drawn by J. Ennis),,34-39,,
2:17.0,Minnesota full timeout,,34-39,,
2:17.0,,,34-40,1,J. Ennis makes free throw 1 of 2
2:17.0,,,34-41,1,J. Ennis makes free throw 2 of 2
1:58.0,A. Payne misses 3-pt shot from 24 ft,,34-41,,
1:56.0,,,34-41,,Defensive rebound by T. Allen
1:37.0,,,34-41,,M. Conley misses 2-pt shot from 2 ft (block by G. Dieng)
1:35.0,Defensive rebound by G. Dieng,,34-41,,
1:25.0,A. Payne makes 2-pt shot from 4 ft,2,36-41,,
1:18.0,,,36-41,,Memphis full timeout
1:18.0,,,36-41,,V. Carter enters the game for J. Green
1:18.0,,,36-41,,Z. Randolph enters the game for T. Allen
1:18.0,S. Muhammad enters the game for A. Wiggins,,36-41,,
1:07.0,,,36-41,,V. Carter misses 2-pt shot from 12 ft
1:06.0,,,36-41,,Offensive rebound by V. Carter
0:56.0,,,36-41,,Turnover by M. Gasol (bad pass; steal by A. Payne)
0:56.0,,,36-41,,Personal take foul by Z. Randolph (drawn by R. Rubio)
0:56.0,R. Rubio makes free throw 1 of 2,1,37-41,,
0:56.0,R. Rubio misses free throw 2 of 2,,37-41,,
0:54.0,,,37-41,,Defensive rebound by J. Ennis
0:42.0,,,37-41,,V. Carter misses 3-pt shot from 25 ft
0:41.0,,,37-41,,Offensive rebound by M. Conley
0:25.0,,,37-41,,M. Gasol misses 2-pt shot from 6 ft
0:24.0,,,37-41,,Offensive rebound by Z. Randolph
0:24.0,,,37-43,2,Z. Randolph makes 2-pt shot from 1 ft
0:00.0,A. Payne makes 2-pt shot from 1 ft (assist by R. Rubio),2,39-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins),3,42-43,,
11:22.0,,,42-43,,Shooting foul by K. Towns (drawn by J. Ennis)
11:22.0,,,42-43,,J. Ennis misses free throw 1 of 2
11:22.0,,,42-43,,Offensive rebound by Team
11:22.0,,,42-44,1,J. Ennis makes free throw 2 of 2
11:05.0,N. Bjelica enters the game for K. Towns,,42-44,,
11:05.0,Jump ball: J. Ennis vs. A. Wiggins (R. Rubio gains possession),,,,Jump ball: J. Ennis vs. A. Wiggins (R. Rubio gains possession)
10:59.0,R. Rubio misses 2-pt shot from 5 ft (block by M. Conley),,42-44,,
10:59.0,Offensive rebound by R. Rubio,,42-44,,
10:59.0,Turnover by Team (shot clock),,42-44,,
10:43.0,,,42-46,2,J. Green makes 2-pt shot from 18 ft (assist by M. Gasol)
10:23.0,Turnover by G. Dieng (traveling),,42-46,,
10:08.0,,,42-48,2,J. Green makes 2-pt shot from 16 ft
9:52.0,,,42-48,,Personal foul by M. Gasol (drawn by G. Dieng)
9:44.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,45-48,,
9:25.0,,,45-48,,Turnover by M. Gasol (bad pass; steal by Z. LaVine)
9:20.0,Turnover by R. Rubio (bad pass),,45-48,,
8:59.0,,,45-48,,M. Gasol misses 2-pt shot from 9 ft
8:56.0,Defensive rebound by N. Bjelica,,45-48,,
8:46.0,Z. LaVine misses 3-pt shot from 25 ft,,45-48,,
8:46.0,,,45-48,,Defensive rebound by M. Gasol
8:38.0,,,45-48,,T. Allen misses 2-pt shot from 2 ft (block by A. Wiggins)
8:37.0,Defensive rebound by G. Dieng,,45-48,,
8:31.0,Turnover by N. Bjelica (lost ball; steal by J. Ennis),,45-48,,
8:15.0,,,45-48,,T. Allen misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by G. Dieng,,45-48,,
8:06.0,Z. LaVine makes 2-pt shot from 2 ft,2,47-48,,
8:06.0,,,47-48,,Memphis full timeout
7:44.0,,,47-48,,M. Gasol misses 2-pt shot from 1 ft (block by N. Bjelica)
7:44.0,Defensive rebound by N. Bjelica,,47-48,,
7:44.0,,,47-48,,Personal foul by M. Gasol (drawn by N. Bjelica)
7:27.0,G. Dieng misses 2-pt shot from 3 ft (block by M. Gasol),,47-48,,
7:25.0,Offensive rebound by G. Dieng,,47-48,,
7:22.0,Shooting foul by J. Green (drawn by A. Wiggins),,47-48,,
7:22.0,A. Wiggins makes free throw 1 of 2,1,48-48,,
7:22.0,A. Wiggins misses free throw 2 of 2,,48-48,,
7:22.0,,,48-48,,V. Carter enters the game for T. Allen
7:21.0,,,48-48,,Defensive rebound by M. Gasol
7:00.0,,,48-48,,Shooting foul by N. Bjelica (drawn by M. Conley)
7:00.0,,,48-49,1,M. Conley makes free throw 1 of 2
7:00.0,,,48-50,1,M. Conley makes free throw 2 of 2
6:43.0,Z. LaVine misses 2-pt shot from 4 ft (block by J. Green),,48-50,,
6:42.0,,,48-50,,Defensive rebound by J. Green
6:41.0,,,48-50,,Shooting foul by N. Bjelica (drawn by J. Green)
6:41.0,,,48-51,1,J. Green makes free throw 1 of 2
6:41.0,,,48-52,1,J. Green makes free throw 2 of 2
6:26.0,N. Bjelica misses 3-pt shot from 25 ft,,48-52,,
6:26.0,,,48-52,,Defensive rebound by M. Conley
6:14.0,Shooting block foul by A. Wiggins (drawn by V. Carter),,48-52,,
6:14.0,,,48-53,1,V. Carter makes free throw 1 of 2
6:14.0,,,48-53,,V. Carter misses free throw 2 of 2
6:12.0,Defensive rebound by N. Bjelica,,48-53,,
5:58.0,A. Wiggins misses 2-pt shot from 13 ft,,48-53,,
5:57.0,,,48-53,,Defensive rebound by J. Green
5:50.0,,,48-53,,V. Carter misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by Team,,48-53,,
5:35.0,Turnover by A. Wiggins (bad pass; steal by M. Gasol),,48-53,,
5:30.0,,,48-55,2,J. Ennis makes 2-pt shot at rim
5:30.0,Minnesota full timeout,,48-55,,
5:13.0,R. Rubio misses 3-pt shot from 26 ft,,48-55,,
5:13.0,,,48-55,,Defensive rebound by J. Green
4:52.0,,,48-55,,M. Gasol misses 2-pt shot from 5 ft
4:52.0,,,48-55,,Offensive rebound by Team
4:52.0,Loose ball foul by N. Bjelica (drawn by J. Green),,48-55,,
4:52.0,,,48-56,1,J. Green makes free throw 1 of 2
4:52.0,,,48-56,,J. Green misses free throw 2 of 2
4:52.0,,,48-56,,A. Harrison enters the game for M. Conley
4:51.0,Defensive rebound by N. Bjelica,,48-56,,
4:40.0,Z. LaVine misses 3-pt shot from 23 ft,,48-56,,
4:39.0,,,48-56,,Defensive rebound by V. Carter
4:28.0,,,48-56,,J. Ennis misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by G. Dieng,,48-56,,
4:12.0,Turnover by Z. LaVine (bad pass; steal by A. Harrison),,48-56,,
4:12.0,Personal take foul by G. Dieng (drawn by A. Harrison),,48-56,,
4:12.0,,,48-57,1,A. Harrison makes free throw 1 of 2
4:12.0,,,48-58,1,A. Harrison makes free throw 2 of 2
4:12.0,K. Dunn enters the game for R. Rubio,,48-57,,
4:00.0,N. Bjelica misses 3-pt shot from 29 ft,,48-58,,
4:00.0,,,48-58,,Defensive rebound by M. Gasol
3:50.0,,,48-60,2,M. Gasol makes 2-pt shot at rim (assist by A. Harrison)
3:50.0,Minnesota full timeout,,48-60,,
3:50.0,S. Muhammad enters the game for Z. LaVine,,48-60,,
3:33.0,N. Bjelica misses 3-pt shot from 27 ft,,48-60,,
3:33.0,,,48-60,,Defensive rebound by J. Ennis
3:11.0,,,48-60,,J. Ennis misses 3-pt shot from 28 ft
3:10.0,Defensive rebound by G. Dieng,,48-60,,
2:52.0,A. Wiggins misses 3-pt shot from 26 ft,,48-60,,
2:52.0,,,48-60,,Defensive rebound by Team
2:52.0,A. Payne enters the game for N. Bjelica,,48-60,,
2:52.0,,,48-60,,Z. Randolph enters the game for M. Gasol
2:31.0,,,48-62,2,Z. Randolph makes 2-pt shot from 15 ft (assist by V. Carter)
2:15.0,K. Dunn misses 3-pt shot from 25 ft,,48-62,,
2:14.0,,,48-62,,Defensive rebound by V. Carter
2:04.0,,,48-62,,Z. Randolph misses 3-pt shot from 26 ft
2:03.0,,,48-62,,Offensive rebound by A. Harrison
1:53.0,,,48-62,,Turnover by J. Green (bad pass)
1:28.0,G. Dieng makes 2-pt shot from 1 ft,2,50-62,,
1:24.0,Inbound foul by K. Dunn,,50-62,,
1:24.0,,,50-63,1,V. Carter makes free throw 1 of 1
1:24.0,K. Towns enters the game for G. Dieng,,50-62,,
1:05.0,,,50-65,2,J. Ennis makes 2-pt shot from 1 ft
0:55.0,K. Towns misses 2-pt shot from 21 ft,,50-65,,
0:54.0,,,50-65,,Defensive rebound by A. Harrison
0:36.0,,,50-65,,J. Ennis misses 2-pt shot at rim (block by A. Payne)
0:34.0,Defensive rebound by K. Dunn,,50-65,,
0:29.0,Turnover by A. Wiggins (bad pass; steal by J. Green),,50-65,,
0:24.0,,,50-65,,Turnover by A. Harrison (bad pass; steal by S. Muhammad)
0:16.0,S. Muhammad makes 2-pt shot at rim (assist by A. Payne),2,52-65,,
0:02.0,,,52-65,,A. Harrison misses 3-pt shot from 25 ft
0:01.0,,,52-65,,Offensive rebound by J. Green
0:01.0,,,52-65,,J. Green misses 2-pt shot from 1 ft
0:00.0,,,52-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,52-65,,V. Carter misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by A. Payne,,52-65,,
11:21.0,K. Dunn misses 2-pt shot from 1 ft,,52-65,,
11:21.0,,,52-65,,Defensive rebound by Team
11:03.0,,,52-67,2,M. Conley makes 2-pt shot from 9 ft (assist by M. Gasol)
11:03.0,,,52-67,,Shooting foul by A. Payne (drawn by M. Conley)
11:03.0,,,52-68,1,M. Conley makes free throw 1 of 1
10:48.0,Shooting foul by V. Carter (drawn by K. Towns),,52-68,,
10:48.0,K. Towns makes free throw 1 of 2,1,53-68,,
10:48.0,K. Towns misses free throw 2 of 2,,53-68,,
10:47.0,,,53-68,,Defensive rebound by Z. Randolph
10:32.0,,,53-70,2,Z. Randolph makes 2-pt shot from 19 ft (assist by A. Harrison)
10:20.0,,,53-70,,Personal foul by M. Conley (drawn by A. Payne)
10:12.0,Z. LaVine misses 3-pt shot from 25 ft,,53-70,,
10:12.0,,,53-70,,Defensive rebound by Z. Randolph
9:48.0,,,53-70,,A. Harrison misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by A. Payne,,53-70,,
9:36.0,Shooting foul by Z. Randolph (drawn by A. Payne),,53-70,,
9:36.0,A. Payne makes free throw 1 of 2,1,54-70,,
9:36.0,A. Payne makes free throw 2 of 2,1,55-70,,
9:09.0,,,55-70,,M. Gasol misses 2-pt shot from 20 ft
9:09.0,,,55-70,,Offensive rebound by M. Conley
8:54.0,,,55-70,,Shooting foul by A. Payne (drawn by Z. Randolph)
8:54.0,,,55-70,,Memphis full timeout
8:54.0,,,55-70,,Z. Randolph misses free throw 1 of 2
8:54.0,,,55-70,,Offensive rebound by Team
8:54.0,,,55-71,1,Z. Randolph makes free throw 2 of 2
8:40.0,Z. LaVine makes 2-pt shot from 6 ft,2,57-71,,
8:16.0,,,57-74,3,Z. Randolph makes 3-pt shot from 23 ft (assist by A. Harrison)
7:58.0,K. Dunn misses 3-pt shot from 24 ft,,57-74,,
7:58.0,,,57-74,,Defensive rebound by M. Gasol
7:44.0,,,57-74,,M. Conley misses 2-pt shot at rim
7:43.0,,,57-74,,Offensive rebound by V. Carter
7:43.0,,,57-74,,V. Carter misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by S. Muhammad,,57-74,,
7:33.0,Turnover by A. Payne (bad pass; steal by M. Conley),,57-74,,
7:30.0,,,57-76,2,M. Conley makes 2-pt shot from 1 ft
7:28.0,Minnesota full timeout,,57-76,,
7:28.0,R. Rubio enters the game for K. Dunn,,57-76,,
7:28.0,G. Dieng enters the game for A. Payne,,57-76,,
7:28.0,,,57-76,,T. Allen enters the game for V. Carter
7:28.0,,,57-76,,J. Ennis enters the game for A. Harrison
7:14.0,Z. LaVine misses 2-pt shot from 1 ft (block by J. Ennis),,57-76,,
7:14.0,Offensive rebound by Team,,57-76,,
7:13.0,Turnover by Z. LaVine (step out of bounds),,57-76,,
6:58.0,,,57-76,,Z. Randolph misses 2-pt shot from 21 ft
6:57.0,Defensive rebound by R. Rubio,,57-76,,
6:37.0,K. Towns misses 2-pt shot from 16 ft,,57-76,,
6:37.0,,,57-76,,Defensive rebound by Z. Randolph
6:16.0,,,57-76,,M. Conley misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by S. Muhammad,,57-76,,
6:10.0,K. Towns makes 2-pt shot from 2 ft (assist by S. Muhammad),2,59-76,,
5:46.0,,,59-76,,J. Ennis misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by Team,,59-76,,
5:37.0,,,59-76,,Personal foul by M. Gasol (drawn by K. Towns)
5:26.0,G. Dieng misses 2-pt shot from 17 ft,,59-76,,
5:26.0,,,59-76,,Defensive rebound by M. Gasol
5:14.0,,,59-76,,Shooting foul by K. Towns (drawn by M. Gasol)
5:14.0,,,59-77,1,M. Gasol makes free throw 1 of 2
5:14.0,,,59-78,1,M. Gasol makes free throw 2 of 2
5:14.0,,,59-77,,V. Carter enters the game for T. Allen
4:52.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,61-78,,
4:33.0,,,61-78,,M. Gasol misses 2-pt shot from 22 ft
4:32.0,Defensive rebound by Z. LaVine,,61-78,,
4:21.0,K. Towns makes 3-pt shot from 25 ft (assist by Z. LaVine),3,64-78,,
4:21.0,,,64-78,,Memphis full timeout
4:21.0,,,64-78,,J. Green enters the game for J. Ennis
4:21.0,,,64-78,,A. Harrison enters the game for Z. Randolph
3:55.0,,,64-81,3,M. Conley makes 3-pt shot from 25 ft (assist by A. Harrison)
3:29.0,Turnover by Team (shot clock),,64-81,,
3:05.0,,,64-83,2,J. Green makes 2-pt shot from 1 ft (assist by A. Harrison)
2:57.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,66-83,,
2:44.0,,,66-85,2,J. Green makes 2-pt shot from 2 ft (assist by A. Harrison)
2:44.0,,,66-85,,Shooting foul by G. Dieng (drawn by J. Green)
2:44.0,,,66-86,1,J. Green makes free throw 1 of 1
2:44.0,A. Payne enters the game for K. Towns,,66-85,,
2:44.0,T. Jones enters the game for Z. LaVine,,66-85,,
2:20.0,,,66-86,,Personal foul by J. Green (drawn by G. Dieng)
2:20.0,G. Dieng makes free throw 1 of 2,1,67-86,,
2:20.0,G. Dieng misses free throw 2 of 2,,67-86,,
2:20.0,,,67-86,,T. Williams enters the game for M. Gasol
2:20.0,,,67-86,,D. Davis enters the game for V. Carter
2:20.0,K. Dunn enters the game for S. Muhammad,,67-86,,
2:18.0,Offensive rebound by A. Payne,,67-86,,
2:15.0,A. Payne misses 2-pt shot from 5 ft,,67-86,,
2:14.0,,,67-86,,Defensive rebound by Team
2:14.0,Loose ball foul by A. Payne (drawn by J. Green),,67-86,,
2:14.0,,,67-87,1,J. Green makes free throw 1 of 2
