time,Toronto,pts.away,score,pts.home,Memphis
1:00.0,C. Joseph makes free throw 2 of 2,1,34-30,,
0:51.0,,,34-30,,Shooting foul by C. Joseph (drawn by M. Conley)
0:51.0,,,34-31,1,M. Conley makes free throw 1 of 2
0:51.0,,,34-32,1,M. Conley makes free throw 2 of 2
0:51.0,,,34-31,,T. Allen enters the game for A. Harrison
0:32.0,Turnover by L. Nogueira (bad pass; steal by M. Gasol),,34-32,,
0:22.0,,,34-32,,T. Allen misses 2-pt shot from 2 ft
0:21.0,Defensive rebound by L. Nogueira,,34-32,,
0:01.0,J. Sullinger misses 3-pt shot from 26 ft,,34-32,,
0:00.0,Offensive rebound by Team,,34-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Shooting foul by Z. Randolph (drawn by P. Patterson),,34-32,,
11:41.0,P. Patterson misses free throw 1 of 2,,34-32,,
11:41.0,Offensive rebound by Team,,34-32,,
11:41.0,P. Patterson misses free throw 2 of 2,,34-32,,
11:39.0,,,34-32,,Defensive rebound by Z. Randolph
11:18.0,,,34-32,,D. Davis misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by Team,,34-32,,
11:00.0,T. Ross makes 3-pt shot from 26 ft,3,37-32,,
10:47.0,,,37-34,2,M. Conley makes 2-pt shot from 6 ft
10:34.0,K. Lowry misses 3-pt shot from 25 ft,,37-34,,
10:34.0,,,37-34,,Defensive rebound by J. Ennis
10:24.0,,,37-34,,Turnover by Z. Randolph (bad pass; steal by K. Lowry)
10:13.0,T. Ross misses 2-pt shot from 6 ft,,37-34,,
10:13.0,,,37-34,,Defensive rebound by Z. Randolph
9:57.0,,,37-36,2,Z. Randolph makes 2-pt shot from 5 ft
9:48.0,C. Joseph makes 2-pt shot from 2 ft,2,39-36,,
9:48.0,Shooting foul by D. Davis (drawn by C. Joseph),,39-36,,
9:48.0,C. Joseph makes free throw 1 of 1,1,40-36,,
9:33.0,,,40-38,2,V. Carter makes 2-pt shot from 1 ft
9:21.0,K. Lowry misses 2-pt shot from 2 ft,,40-38,,
9:19.0,,,40-38,,Defensive rebound by D. Davis
9:11.0,,,40-38,,M. Conley misses 2-pt shot from 2 ft (block by L. Nogueira)
9:09.0,Defensive rebound by L. Nogueira,,40-38,,
8:53.0,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry),3,43-38,,
8:35.0,,,43-40,2,M. Conley makes 2-pt shot from 12 ft
8:19.0,T. Ross misses 3-pt shot from 26 ft,,43-40,,
8:19.0,,,43-40,,Defensive rebound by Team
8:19.0,,,43-40,,Memphis full timeout
8:13.0,,,43-40,,Offensive foul by J. Ennis
8:13.0,,,43-40,,Turnover by J. Ennis (offensive foul)
7:58.0,K. Lowry misses 2-pt shot from 10 ft (block by D. Davis),,43-40,,
7:54.0,Offensive rebound by L. Nogueira,,43-40,,
7:54.0,L. Nogueira makes 2-pt shot at rim,2,45-40,,
7:39.0,,,45-40,,V. Carter misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by C. Joseph,,45-40,,
7:32.0,C. Joseph makes 2-pt shot from 1 ft,2,47-40,,
7:15.0,,,47-40,,Turnover by M. Conley (bad pass; steal by L. Nogueira)
7:05.0,C. Joseph misses 3-pt shot from 26 ft,,47-40,,
7:05.0,Offensive rebound by K. Lowry,,47-40,,
6:46.0,P. Patterson misses 3-pt shot from 24 ft,,47-40,,
6:45.0,,,47-40,,Defensive rebound by D. Davis
6:30.0,,,47-40,,Shooting foul by C. Joseph (drawn by V. Carter)
6:30.0,,,47-41,1,V. Carter makes free throw 1 of 2
6:30.0,,,47-42,1,V. Carter makes free throw 2 of 2
6:30.0,J. Valanciunas enters the game for L. Nogueira,,47-41,,
6:30.0,N. Powell enters the game for K. Lowry,,47-41,,
6:30.0,,,47-41,,T. Allen enters the game for J. Ennis
6:30.0,,,47-41,,A. Harrison enters the game for M. Conley
6:30.0,,,47-41,,M. Gasol enters the game for D. Davis
6:11.0,N. Powell makes 2-pt shot from 23 ft,2,49-42,,
5:53.0,,,49-42,,Shooting foul by N. Powell (drawn by V. Carter)
5:53.0,,,49-42,,Memphis full timeout
5:53.0,,,49-43,1,V. Carter makes free throw 1 of 2
5:53.0,,,49-43,,V. Carter misses free throw 2 of 2
5:53.0,J. Sullinger enters the game for P. Patterson,,49-42,,
5:52.0,Defensive rebound by J. Sullinger,,49-43,,
5:34.0,N. Powell misses 3-pt shot from 25 ft,,49-43,,
5:34.0,,,49-43,,Defensive rebound by M. Gasol
5:13.0,,,49-46,3,T. Allen makes 3-pt shot from 26 ft (assist by A. Harrison)
4:59.0,J. Sullinger misses 2-pt shot from 21 ft,,49-46,,
4:58.0,,,49-46,,Defensive rebound by T. Allen
4:50.0,,,49-46,,T. Allen misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by C. Joseph,,49-46,,
4:39.0,,,49-46,,D. Davis enters the game for Z. Randolph
4:37.0,N. Powell misses 2-pt shot from 1 ft,,49-46,,
4:35.0,,,49-46,,Defensive rebound by T. Allen
4:27.0,,,49-46,,Shooting foul by J. Sullinger (drawn by D. Davis)
4:27.0,,,49-47,1,D. Davis makes free throw 1 of 2
4:27.0,,,49-48,1,D. Davis makes free throw 2 of 2
4:27.0,D. Carroll enters the game for T. Ross,,49-47,,
4:10.0,C. Joseph misses 2-pt shot from 3 ft,,49-48,,
4:08.0,,,49-48,,Defensive rebound by D. Davis
4:01.0,,,49-48,,V. Carter misses 2-pt shot from 4 ft
3:58.0,,,49-48,,Offensive rebound by D. Davis
3:58.0,,,49-48,,D. Davis misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by N. Powell,,49-48,,
3:48.0,N. Powell misses 2-pt shot from 1 ft,,49-48,,
3:46.0,Offensive rebound by N. Powell,,49-48,,
3:38.0,C. Joseph makes 2-pt shot from 21 ft,2,51-48,,
3:13.0,,,51-48,,M. Gasol misses 2-pt shot from 15 ft
3:13.0,,,51-48,,Offensive rebound by Team
3:13.0,Loose ball foul by D. Carroll (drawn by V. Carter),,51-48,,
3:13.0,K. Lowry enters the game for C. Joseph,,51-48,,
3:13.0,,,51-48,,M. Conley enters the game for V. Carter
3:13.0,,,51-48,,Z. Randolph enters the game for D. Davis
3:06.0,Personal foul by J. Valanciunas (drawn by Z. Randolph),,51-48,,
3:06.0,,,51-49,1,Z. Randolph makes free throw 1 of 2
3:06.0,,,51-49,,Z. Randolph misses free throw 2 of 2
3:05.0,Defensive rebound by J. Valanciunas,,51-49,,
2:53.0,Shooting foul by M. Gasol (drawn by N. Powell),,51-49,,
2:53.0,Toronto full timeout,,51-49,,
2:53.0,N. Powell misses free throw 1 of 2,,51-49,,
2:53.0,Offensive rebound by Team,,51-49,,
2:53.0,N. Powell misses free throw 2 of 2,,51-49,,
2:52.0,,,51-49,,Defensive rebound by M. Gasol
2:38.0,Personal foul by J. Sullinger (drawn by M. Gasol),,51-49,,
2:38.0,,,51-50,1,M. Gasol makes free throw 1 of 2
2:38.0,,,51-51,1,M. Gasol makes free throw 2 of 2
2:38.0,,,51-50,,V. Carter enters the game for A. Harrison
2:25.0,Turnover by J. Valanciunas (lost ball),,51-51,,
2:10.0,,,51-53,2,M. Gasol makes 2-pt shot from 7 ft
1:49.0,J. Sullinger misses 2-pt shot from 11 ft,,51-53,,
1:48.0,Offensive rebound by N. Powell,,51-53,,
1:46.0,N. Powell misses 2-pt shot from 1 ft,,51-53,,
1:45.0,Offensive rebound by J. Valanciunas,,51-53,,
1:45.0,Shooting foul by V. Carter (drawn by J. Valanciunas),,51-53,,
1:45.0,J. Valanciunas makes free throw 1 of 2,1,52-53,,
1:45.0,J. Valanciunas makes free throw 2 of 2,1,53-53,,
1:45.0,L. Nogueira enters the game for J. Sullinger,,52-53,,
1:45.0,,,52-53,,J. Ennis enters the game for T. Allen
1:26.0,,,53-53,,M. Conley misses 2-pt shot from 10 ft
1:24.0,Defensive rebound by J. Valanciunas,,53-53,,
1:14.0,D. Carroll misses 3-pt shot from 25 ft,,53-53,,
1:14.0,,,53-53,,Defensive rebound by M. Gasol
1:01.0,,,53-56,3,J. Ennis makes 3-pt shot from 25 ft (assist by V. Carter)
0:51.0,K. Lowry misses 3-pt shot from 26 ft,,53-56,,
0:50.0,Offensive rebound by K. Lowry,,53-56,,
0:48.0,D. Carroll makes 2-pt shot from 2 ft,2,55-56,,
0:30.0,,,55-56,,M. Gasol misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by J. Valanciunas,,55-56,,
0:18.0,N. Powell misses 3-pt shot from 25 ft,,55-56,,
0:17.0,Offensive rebound by L. Nogueira,,55-56,,
0:07.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,57-56,,
0:01.0,,,57-56,,Turnover by J. Ennis (lost ball; steal by D. Carroll)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,57-56,,Technical foul by V. Carter
12:00.0,K. Lowry makes technical free throw,1,58-56,,
11:50.0,Offensive foul by J. Valanciunas,,58-56,,
11:50.0,Turnover by J. Valanciunas (offensive foul),,58-56,,
11:37.0,,,58-58,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
11:15.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,61-58,,
10:53.0,,,61-61,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
10:25.0,K. Lowry makes 2-pt shot at rim,2,63-61,,
10:01.0,,,63-63,2,M. Gasol makes 2-pt shot from 6 ft
9:41.0,N. Powell misses 2-pt shot from 2 ft,,63-63,,
9:40.0,,,63-63,,Defensive rebound by M. Gasol
9:40.0,Personal foul by N. Powell (drawn by M. Gasol),,63-63,,
9:24.0,,,63-63,,Z. Randolph misses 2-pt shot from 13 ft
9:21.0,,,63-63,,Offensive rebound by J. Ennis
9:21.0,,,63-63,,J. Ennis misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by D. Carroll,,63-63,,
9:12.0,K. Lowry misses 3-pt shot from 27 ft,,63-63,,
9:12.0,Offensive rebound by J. Sullinger,,63-63,,
9:02.0,D. Carroll misses 2-pt shot from 2 ft (block by M. Gasol),,63-63,,
9:01.0,,,63-63,,Defensive rebound by M. Gasol
8:51.0,,,63-66,3,Z. Randolph makes 3-pt shot from 26 ft (assist by J. Ennis)
8:27.0,D. Carroll makes 2-pt shot from 22 ft,2,65-66,,
8:00.0,,,65-66,,M. Conley misses 2-pt shot from 10 ft
7:58.0,Defensive rebound by D. Carroll,,65-66,,
7:51.0,N. Powell makes 3-pt shot from 25 ft (assist by K. Lowry),3,68-66,,
7:50.0,,,68-66,,Memphis full timeout
7:33.0,,,68-66,,M. Conley misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by D. Carroll,,68-66,,
7:23.0,K. Lowry misses 3-pt shot from 25 ft,,68-66,,
7:22.0,,,68-66,,Defensive rebound by J. Ennis
7:12.0,,,68-66,,M. Conley misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by D. Carroll,,68-66,,
6:56.0,D. Carroll misses 3-pt shot from 23 ft,,68-66,,
6:56.0,,,68-66,,Defensive rebound by M. Gasol
6:47.0,,,68-66,,M. Conley misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by D. Carroll,,68-66,,
6:33.0,N. Powell misses 2-pt shot at rim,,68-66,,
6:31.0,,,68-66,,Defensive rebound by Z. Randolph
6:15.0,,,68-66,,M. Gasol misses 2-pt shot from 14 ft
6:15.0,Defensive rebound by K. Lowry,,68-66,,
6:08.0,D. Carroll misses 2-pt shot from 1 ft,,68-66,,
6:06.0,,,68-66,,Defensive rebound by M. Conley
6:06.0,Personal take foul by K. Lowry (drawn by M. Conley),,68-66,,
6:06.0,L. Nogueira enters the game for J. Valanciunas,,68-66,,
6:06.0,P. Patterson enters the game for J. Sullinger,,68-66,,
6:06.0,,,68-66,,A. Harrison enters the game for J. Ennis
6:06.0,,,68-66,,V. Carter enters the game for M. Conley
5:53.0,,,68-68,2,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter)
5:31.0,P. Patterson misses 3-pt shot from 25 ft,,68-68,,
5:30.0,,,68-68,,Defensive rebound by T. Allen
5:23.0,,,68-70,2,T. Allen makes 2-pt shot from 2 ft
5:10.0,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry),2,70-70,,
4:44.0,,,70-70,,T. Allen misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by P. Patterson,,70-70,,
4:32.0,P. Patterson misses 3-pt shot from 23 ft,,70-70,,
4:31.0,,,70-70,,Defensive rebound by Z. Randolph
4:23.0,Personal foul by L. Nogueira (drawn by M. Gasol),,70-70,,
4:23.0,C. Joseph enters the game for K. Lowry,,70-70,,
4:23.0,T. Ross enters the game for D. Carroll,,70-70,,
4:23.0,,,70-70,,J. Ennis enters the game for Z. Randolph
4:15.0,,,70-73,3,M. Gasol makes 3-pt shot from 25 ft (assist by V. Carter)
3:55.0,C. Joseph misses 2-pt shot from 12 ft,,70-73,,
3:53.0,Offensive rebound by L. Nogueira,,70-73,,
3:50.0,P. Patterson misses 3-pt shot from 24 ft,,70-73,,
3:49.0,,,70-73,,Defensive rebound by J. Ennis
3:41.0,,,70-73,,Shooting foul by N. Powell (drawn by M. Gasol)
3:41.0,,,70-75,2,M. Gasol makes 2-pt shot from 1 ft
3:41.0,,,70-76,1,M. Gasol makes free throw 1 of 1
3:39.0,Toronto full timeout,,70-76,,
3:39.0,F. VanVleet enters the game for P. Patterson,,70-76,,
3:30.0,,,70-76,,Violation by V. Carter (kicked ball)
3:30.0,,,70-76,,Inbound foul by J. Ennis
3:30.0,C. Joseph makes free throw 1 of 1,1,71-76,,
3:18.0,Shooting foul by V. Carter (drawn by C. Joseph),,71-76,,
3:18.0,C. Joseph misses free throw 1 of 2,,71-76,,
3:18.0,Offensive rebound by Team,,71-76,,
3:18.0,C. Joseph makes free throw 2 of 2,1,72-76,,
3:02.0,,,72-76,,M. Gasol misses 3-pt shot from 25 ft
3:02.0,,,72-76,,Offensive rebound by J. Ennis
2:52.0,,,72-78,2,T. Allen makes 2-pt shot from 2 ft
2:52.0,,,72-78,,Shooting foul by L. Nogueira (drawn by T. Allen)
2:52.0,,,72-78,,T. Allen misses free throw 1 of 1
2:51.0,Defensive rebound by L. Nogueira,,72-78,,
2:36.0,T. Ross misses 3-pt shot from 26 ft,,72-78,,
2:35.0,Offensive rebound by N. Powell,,72-78,,
2:27.0,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph),3,75-78,,
2:08.0,,,75-78,,T. Allen misses 2-pt shot from 1 ft
2:06.0,,,75-78,,Offensive rebound by T. Allen
2:06.0,,,75-78,,T. Allen misses 2-pt shot from 2 ft
2:05.0,,,75-78,,Offensive rebound by T. Allen
2:04.0,,,75-80,2,T. Allen makes 2-pt shot from 1 ft
1:47.0,C. Joseph makes 2-pt shot from 20 ft,2,77-80,,
1:30.0,,,77-80,,J. Ennis misses 2-pt shot from 5 ft (block by F. VanVleet)
1:28.0,Defensive rebound by F. VanVleet,,77-80,,
1:27.0,F. VanVleet misses 2-pt shot from 3 ft (block by T. Allen),,77-80,,
1:27.0,Offensive rebound by Team,,77-80,,
1:27.0,K. Lowry enters the game for N. Powell,,77-80,,
1:23.0,,,77-80,,M. Conley enters the game for T. Allen
1:14.0,Turnover by L. Nogueira (lost ball; steal by M. Conley),,77-80,,
1:04.0,,,77-82,2,V. Carter makes 2-pt shot from 1 ft
0:49.0,T. Ross misses 3-pt shot from 25 ft,,77-82,,
0:49.0,,,77-82,,Defensive rebound by A. Harrison
0:43.0,Personal foul by F. VanVleet (drawn by A. Harrison),,77-82,,
0:43.0,,,77-83,1,A. Harrison makes free throw 1 of 2
0:43.0,,,77-84,1,A. Harrison makes free throw 2 of 2
0:34.0,C. Joseph misses 2-pt shot from 15 ft,,77-84,,
0:34.0,,,77-84,,Defensive rebound by V. Carter
0:12.0,,,77-87,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol)
0:01.0,K. Lowry misses 2-pt shot from 2 ft (block by A. Harrison),,77-87,,
0:00.0,,,77-87,,Defensive rebound by J. Ennis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,77-87,,M. Conley misses 2-pt shot from 22 ft
11:34.0,Defensive rebound by Team,,77-87,,
11:09.0,C. Joseph misses 2-pt shot from 2 ft,,77-87,,
11:08.0,,,77-87,,Defensive rebound by Z. Randolph
10:49.0,,,77-89,2,M. Conley makes 2-pt shot from 6 ft
10:33.0,,,77-89,,Personal foul by J. Ennis (drawn by L. Nogueira)
10:23.0,L. Nogueira makes 2-pt shot at rim (assist by T. Ross),2,79-89,,
10:08.0,,,79-89,,Z. Randolph misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by P. Patterson,,79-89,,
9:55.0,K. Lowry makes 2-pt shot from 5 ft,2,81-89,,
9:28.0,,,81-89,,A. Harrison misses 2-pt shot from 22 ft (block by K. Lowry)
9:28.0,,,81-89,,Offensive rebound by A. Harrison
9:28.0,,,81-89,,Turnover by Team (shot clock)
9:11.0,T. Ross misses 2-pt shot from 21 ft,,81-89,,
9:10.0,,,81-89,,Defensive rebound by Team
9:02.0,,,81-89,,Turnover by A. Harrison (offensive foul)
9:02.0,,,81-89,,Offensive foul by A. Harrison
9:02.0,,,81-89,,T. Allen enters the game for A. Harrison
8:49.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry),2,83-89,,
8:49.0,,,83-89,,Memphis full timeout
8:37.0,,,83-91,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
8:21.0,K. Lowry makes 2-pt shot from 12 ft,2,85-91,,
7:58.0,,,85-91,,J. Ennis misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by P. Patterson,,85-91,,
7:53.0,,,85-91,,Personal foul by V. Carter (drawn by P. Patterson)
7:53.0,,,85-91,,M. Gasol enters the game for V. Carter
7:45.0,K. Lowry misses 3-pt shot from 26 ft,,85-91,,
7:44.0,,,85-91,,Defensive rebound by T. Allen
7:29.0,,,85-93,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
7:18.0,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry),2,87-93,,
7:18.0,Shooting foul by M. Conley (drawn by L. Nogueira),,87-93,,
7:18.0,L. Nogueira misses free throw 1 of 1,,87-93,,
7:17.0,,,87-93,,Defensive rebound by T. Allen
7:00.0,,,87-95,2,Z. Randolph makes 2-pt shot from 5 ft
6:41.0,T. Ross misses 3-pt shot from 27 ft,,87-95,,
6:38.0,,,87-95,,Defensive rebound by T. Allen
6:24.0,,,87-95,,T. Allen misses 2-pt shot from 2 ft
6:24.0,,,87-95,,Offensive rebound by T. Allen
6:24.0,,,87-97,2,T. Allen makes 2-pt shot from 2 ft
6:20.0,Toronto full timeout,,87-97,,
6:20.0,J. Valanciunas enters the game for L. Nogueira,,87-97,,
6:20.0,N. Powell enters the game for T. Ross,,87-97,,
5:58.0,C. Joseph misses 2-pt shot from 22 ft,,87-97,,
5:58.0,Offensive rebound by Team,,87-97,,
5:58.0,Turnover by Team (shot clock),,87-97,,
5:38.0,,,87-97,,M. Gasol misses 2-pt shot from 4 ft (block by J. Valanciunas)
5:35.0,Defensive rebound by J. Valanciunas,,87-97,,
5:19.0,Turnover by J. Valanciunas (bad pass; steal by J. Ennis),,87-97,,
4:58.0,,,87-97,,M. Gasol misses 3-pt shot from 27 ft
4:57.0,,,87-97,,Offensive rebound by Team
4:55.0,,,87-97,,Turnover by T. Allen (bad pass; steal by N. Powell)
4:55.0,Turnover by N. Powell (bad pass),,87-97,,
4:47.0,,,87-97,,Shooting foul by J. Valanciunas (drawn by M. Gasol)
4:47.0,,,87-98,1,M. Gasol makes free throw 1 of 2
4:47.0,,,87-99,1,M. Gasol makes free throw 2 of 2
4:47.0,,,87-98,,A. Harrison enters the game for M. Conley
4:34.0,N. Powell makes 2-pt shot from 3 ft,2,89-99,,
4:20.0,,,89-99,,J. Ennis misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by Team,,89-99,,
4:02.0,K. Lowry makes 2-pt shot from 1 ft (assist by N. Powell),2,91-99,,
3:41.0,,,91-99,,Z. Randolph misses 2-pt shot from 21 ft
3:40.0,Defensive rebound by J. Valanciunas,,91-99,,
3:33.0,K. Lowry makes 2-pt shot from 9 ft,2,93-99,,
3:32.0,,,93-99,,Memphis full timeout
3:32.0,,,93-99,,M. Conley enters the game for J. Ennis
3:32.0,,,93-99,,V. Carter enters the game for A. Harrison
3:12.0,,,93-99,,M. Conley misses 3-pt shot from 25 ft
3:11.0,,,93-99,,Offensive rebound by M. Conley
3:06.0,,,93-99,,T. Allen misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by J. Valanciunas,,93-99,,
3:06.0,,,93-99,,Loose ball foul by T. Allen (drawn by J. Valanciunas)
2:47.0,J. Valanciunas misses 2-pt shot from 1 ft (block by V. Carter),,93-99,,
2:47.0,Offensive rebound by Team,,93-99,,
2:39.0,P. Patterson misses 3-pt shot from 23 ft,,93-99,,
