time,Memphis,pts.away,score,pts.home,Portland
6:55.0,,,37-48,,Defensive rebound by A. Aminu
6:50.0,,,37-50,2,M. Plumlee makes 2-pt shot from 4 ft (assist by A. Aminu)
6:50.0,,,37-50,,Shooting foul by J. Green (drawn by M. Plumlee)
6:50.0,,,37-51,1,M. Plumlee makes free throw 1 of 1
6:32.0,C. Parsons misses 3-pt shot from 26 ft,,37-51,,
6:31.0,,,37-51,,Defensive rebound by Team
6:31.0,Z. Randolph enters the game for J. Green,,37-51,,
6:22.0,Personal foul by A. Harrison (drawn by C. McCollum),,37-51,,
6:11.0,,,37-53,2,E. Turner makes 2-pt shot from 1 ft
6:06.0,Memphis full timeout,,37-53,,
5:52.0,M. Gasol misses 2-pt shot from 18 ft,,37-53,,
5:51.0,,,37-53,,Defensive rebound by A. Aminu
5:31.0,,,37-53,,E. Turner misses 2-pt shot from 11 ft
5:30.0,Defensive rebound by Z. Randolph,,37-53,,
5:25.0,Shooting foul by E. Turner (drawn by A. Harrison),,37-53,,
5:25.0,A. Harrison misses free throw 1 of 2,,37-53,,
5:25.0,Offensive rebound by Team,,37-53,,
5:25.0,A. Harrison makes free throw 2 of 2,1,38-53,,
5:25.0,,,37-53,,D. Lillard enters the game for E. Turner
5:14.0,,,38-56,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee)
4:58.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,40-56,,
4:49.0,Personal foul by A. Harrison (drawn by D. Lillard),,40-56,,
4:49.0,,,40-56,,D. Lillard misses free throw 1 of 2
4:49.0,,,40-56,,Offensive rebound by Team
4:49.0,,,40-57,1,D. Lillard makes free throw 2 of 2
4:49.0,V. Carter enters the game for C. Parsons,,40-56,,
4:49.0,M. Conley enters the game for A. Harrison,,40-56,,
4:34.0,M. Gasol misses 2-pt shot from 10 ft,,40-57,,
4:33.0,Offensive rebound by V. Carter,,40-57,,
4:31.0,V. Carter misses 2-pt shot from 2 ft,,40-57,,
4:29.0,Offensive rebound by Z. Randolph,,40-57,,
4:25.0,Z. Randolph makes 2-pt shot from 2 ft,2,42-57,,
4:19.0,,,42-57,,Offensive foul by A. Aminu
4:19.0,,,42-57,,Turnover by A. Aminu (offensive foul)
4:07.0,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley),2,44-57,,
4:07.0,Shooting foul by C. McCollum (drawn by M. Gasol),,44-57,,
4:07.0,M. Gasol makes free throw 1 of 1,1,45-57,,
3:57.0,,,45-57,,C. McCollum misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by M. Gasol,,45-57,,
3:49.0,,,45-57,,Shooting block foul by M. Plumlee (drawn by M. Gasol)
3:49.0,M. Gasol makes free throw 1 of 2,1,46-57,,
3:49.0,M. Gasol makes free throw 2 of 2,1,47-57,,
3:36.0,,,47-57,,M. Plumlee misses 2-pt shot from 3 ft (block by M. Gasol)
3:35.0,,,47-57,,Offensive rebound by M. Plumlee
3:35.0,,,47-57,,Shooting foul by V. Carter (drawn by M. Plumlee)
3:35.0,,,47-58,1,M. Plumlee makes free throw 1 of 2
3:35.0,,,47-59,1,M. Plumlee makes free throw 2 of 2
3:23.0,Turnover by M. Conley (bad pass),,47-59,,
3:09.0,,,47-59,,D. Lillard misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by Z. Randolph,,47-59,,
2:59.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,50-59,,
2:57.0,,,50-59,,Portland full timeout
2:35.0,,,50-59,,A. Crabbe misses 3-pt shot from 23 ft
2:34.0,,,50-59,,Offensive rebound by M. Plumlee
2:26.0,,,50-62,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee)
2:12.0,Shooting foul by A. Crabbe (drawn by M. Conley),,50-62,,
2:12.0,M. Conley makes free throw 1 of 3,1,51-62,,
2:12.0,M. Conley misses free throw 2 of 3,,51-62,,
2:12.0,Offensive rebound by Team,,51-62,,
2:12.0,M. Conley makes free throw 3 of 3,1,52-62,,
2:12.0,,,51-62,,P. Connaughton enters the game for A. Crabbe
1:55.0,,,52-62,,P. Connaughton misses 2-pt shot from 15 ft
1:53.0,Defensive rebound by M. Gasol,,52-62,,
1:43.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,54-62,,
1:29.0,,,54-62,,D. Lillard misses 2-pt shot from 17 ft
1:29.0,Defensive rebound by Z. Randolph,,54-62,,
1:21.0,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley),2,56-62,,
0:59.0,,,56-62,,Turnover by D. Lillard (bad pass; steal by T. Allen)
0:59.0,Turnover by T. Allen (bad pass),,56-62,,
0:49.0,,,56-62,,A. Aminu misses 2-pt shot from 22 ft
0:48.0,Defensive rebound by Z. Randolph,,56-62,,
0:40.0,M. Gasol misses 3-pt shot from 25 ft,,56-62,,
0:39.0,,,56-62,,Defensive rebound by C. McCollum
0:31.0,,,56-62,,Turnover by C. McCollum (step out of bounds)
0:31.0,Memphis full timeout,,56-62,,
0:10.0,M. Conley misses 3-pt shot from 25 ft,,56-62,,
0:09.0,,,56-62,,Defensive rebound by A. Aminu
0:02.0,,,56-62,,A. Aminu misses 2-pt shot at rim
0:01.0,,,56-62,,Offensive rebound by D. Lillard
0:00.0,,,56-62,,D. Lillard misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by Z. Randolph,,56-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,56-62,,N. Vonleh misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by T. Allen,,56-62,,
11:25.0,M. Gasol misses 2-pt shot from 8 ft,,56-62,,
11:24.0,Offensive rebound by J. Green,,56-62,,
11:23.0,Shooting foul by N. Vonleh (drawn by J. Green),,56-62,,
11:23.0,J. Green misses free throw 1 of 2,,56-62,,
11:23.0,Offensive rebound by Team,,56-62,,
11:23.0,J. Green makes free throw 2 of 2,1,57-62,,
11:06.0,,,57-62,,C. McCollum misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by M. Gasol,,57-62,,
10:45.0,J. Green misses 3-pt shot from 25 ft,,57-62,,
10:45.0,,,57-62,,Defensive rebound by C. McCollum
10:35.0,,,57-62,,Shooting foul by T. Allen (drawn by C. McCollum)
10:35.0,,,57-63,1,C. McCollum makes free throw 1 of 2
10:35.0,,,57-64,1,C. McCollum makes free throw 2 of 2
10:12.0,M. Conley makes 3-pt shot from 25 ft,3,60-64,,
10:00.0,,,60-67,3,D. Lillard makes 3-pt shot from 27 ft
9:42.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Conley),3,63-67,,
9:18.0,,,63-67,,D. Lillard misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by C. Parsons,,63-67,,
9:05.0,Shooting foul by N. Vonleh (drawn by M. Gasol),,63-67,,
9:05.0,M. Gasol makes 2-pt shot from 4 ft,2,65-67,,
9:05.0,M. Gasol makes free throw 1 of 1,1,66-67,,
8:50.0,,,66-69,2,C. McCollum makes 2-pt shot from 20 ft (assist by E. Turner)
8:33.0,C. Parsons misses 3-pt shot from 25 ft,,66-69,,
8:32.0,,,66-69,,Defensive rebound by N. Vonleh
8:18.0,,,66-69,,D. Lillard misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by T. Allen,,66-69,,
8:18.0,,,66-69,,Personal foul by N. Vonleh (drawn by T. Allen)
8:02.0,Turnover by J. Green (traveling),,66-69,,
8:02.0,Violation by Team (jump ball),,66-69,,
7:40.0,,,66-72,3,E. Turner makes 3-pt shot from 23 ft (assist by C. McCollum)
7:28.0,J. Green makes 2-pt shot from 17 ft (assist by T. Allen),2,68-72,,
7:14.0,,,68-72,,M. Plumlee misses 2-pt shot from 18 ft
7:13.0,,,68-72,,Offensive rebound by C. McCollum
7:13.0,,,68-74,2,C. McCollum makes 2-pt shot from 1 ft
6:54.0,Offensive charge foul by M. Gasol,,68-74,,
6:54.0,Turnover by M. Gasol (offensive foul),,68-74,,
6:35.0,,,68-74,,D. Lillard misses 2-pt shot from 10 ft
6:32.0,Defensive rebound by M. Conley,,68-74,,
6:27.0,Shooting foul by C. McCollum (drawn by M. Gasol),,68-74,,
6:27.0,M. Gasol makes free throw 1 of 2,1,69-74,,
6:27.0,M. Gasol makes free throw 2 of 2,1,70-74,,
6:05.0,,,70-74,,M. Plumlee misses 2-pt shot from 19 ft
6:04.0,Defensive rebound by T. Allen,,70-74,,
5:55.0,M. Conley misses 3-pt shot from 26 ft,,70-74,,
5:55.0,,,70-74,,Defensive rebound by M. Plumlee
5:48.0,,,70-76,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
5:29.0,M. Conley misses 3-pt shot from 25 ft,,70-76,,
5:28.0,,,70-76,,Defensive rebound by E. Turner
5:19.0,,,70-76,,E. Turner misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by J. Green,,70-76,,
5:19.0,,,70-76,,Personal foul by N. Vonleh (drawn by J. Green)
5:19.0,,,70-76,,Portland full timeout
5:19.0,J. Green makes free throw 1 of 2,1,71-76,,
5:19.0,J. Green makes free throw 2 of 2,1,72-76,,
5:19.0,A. Harrison enters the game for M. Conley,,70-76,,
5:19.0,,,70-76,,A. Crabbe enters the game for C. McCollum
4:56.0,,,72-76,,E. Turner misses 2-pt shot from 6 ft (block by M. Gasol)
4:55.0,Defensive rebound by T. Allen,,72-76,,
4:32.0,M. Gasol makes 2-pt shot from 18 ft (assist by C. Parsons),2,74-76,,
4:13.0,,,74-76,,E. Turner misses 2-pt shot from 16 ft
4:13.0,,,74-76,,Offensive rebound by M. Plumlee
4:13.0,,,74-76,,M. Plumlee misses 2-pt shot at rim
4:11.0,Defensive rebound by J. Green,,74-76,,
3:59.0,T. Allen misses 3-pt shot from 24 ft,,74-76,,
3:58.0,,,74-76,,Defensive rebound by M. Plumlee
3:50.0,Personal foul by T. Allen (drawn by D. Lillard),,74-76,,
3:50.0,,,74-76,,P. Connaughton enters the game for E. Turner
3:50.0,Z. Randolph enters the game for J. Green,,74-76,,
3:50.0,V. Carter enters the game for C. Parsons,,74-76,,
3:50.0,,,74-76,,A. Aminu enters the game for N. Vonleh
3:42.0,,,74-79,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee)
3:30.0,T. Allen misses 2-pt shot from 1 ft,,74-79,,
3:29.0,,,74-79,,Defensive rebound by M. Plumlee
3:21.0,,,74-82,3,A. Crabbe makes 3-pt shot from 23 ft (assist by P. Connaughton)
3:21.0,Memphis full timeout,,74-82,,
3:21.0,J. Ennis enters the game for T. Allen,,74-82,,
3:21.0,,,74-82,,M. Leonard enters the game for M. Plumlee
3:03.0,M. Gasol makes 2-pt shot from 4 ft,2,76-82,,
2:45.0,,,76-82,,D. Lillard misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by Z. Randolph,,76-82,,
2:27.0,A. Harrison makes 3-pt shot from 24 ft (assist by Z. Randolph),3,79-82,,
2:07.0,,,79-85,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
1:41.0,J. Ennis misses 3-pt shot from 25 ft,,79-85,,
1:41.0,,,79-85,,Defensive rebound by A. Crabbe
1:23.0,,,79-85,,C. McCollum enters the game for D. Lillard
1:21.0,Personal foul by M. Gasol (drawn by M. Leonard),,79-85,,
1:21.0,M. Conley enters the game for M. Gasol,,79-85,,
1:16.0,,,79-85,,Turnover by C. McCollum (bad pass; steal by V. Carter)
1:06.0,A. Harrison makes 2-pt shot from 1 ft,2,81-85,,
1:06.0,Shooting foul by A. Aminu (drawn by A. Harrison),,81-85,,
1:06.0,A. Harrison makes free throw 1 of 1,1,82-85,,
0:50.0,,,82-85,,Turnover by C. McCollum (lost ball)
0:38.0,M. Conley makes 2-pt shot from 3 ft (assist by A. Harrison),2,84-85,,
0:27.0,,,84-85,,C. McCollum misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by M. Conley,,84-85,,
0:03.0,Z. Randolph misses 3-pt shot from 25 ft,,84-85,,
0:02.0,,,84-85,,Defensive rebound by M. Leonard
0:00.0,,,84-85,,M. Leonard misses 3-pt shot from 82 ft
0:00.0,,,84-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Shooting foul by C. McCollum (drawn by V. Carter),,84-85,,
11:40.0,V. Carter makes free throw 1 of 2,1,85-85,,
11:40.0,V. Carter makes free throw 2 of 2,1,86-85,,
11:32.0,,,86-85,,Turnover by C. McCollum (traveling)
11:32.0,,,86-85,,Violation by Team (jump ball)
11:19.0,V. Carter misses 2-pt shot from 2 ft,,86-85,,
11:19.0,,,86-85,,Defensive rebound by Team
11:19.0,Loose ball foul by V. Carter (drawn by A. Aminu),,86-85,,
11:02.0,,,86-85,,C. McCollum misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by Z. Randolph,,86-85,,
10:50.0,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley),2,88-85,,
10:50.0,,,88-85,,Portland full timeout
10:50.0,,,88-85,,E. Turner enters the game for P. Connaughton
10:29.0,,,88-87,2,A. Aminu makes 2-pt shot from 1 ft
10:14.0,Turnover by M. Conley (bad pass; steal by A. Aminu),,88-87,,
10:00.0,,,88-90,3,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu)
10:00.0,Memphis full timeout,,88-90,,
10:00.0,M. Gasol enters the game for M. Conley,,88-90,,
9:47.0,Shooting foul by A. Crabbe (drawn by J. Ennis),,88-90,,
9:47.0,J. Ennis misses free throw 1 of 2,,88-90,,
9:47.0,Offensive rebound by Team,,88-90,,
9:47.0,J. Ennis makes free throw 2 of 2,1,89-90,,
9:47.0,T. Allen enters the game for V. Carter,,88-90,,
9:36.0,,,89-90,,Offensive foul by C. McCollum
9:36.0,,,89-90,,Turnover by C. McCollum (offensive foul)
9:22.0,Turnover by Z. Randolph (bad pass),,89-90,,
9:22.0,,,89-90,,D. Lillard enters the game for C. McCollum
9:06.0,Personal foul by T. Allen (drawn by D. Lillard),,89-90,,
8:55.0,,,89-93,3,E. Turner makes 3-pt shot from 23 ft (assist by M. Leonard)
8:41.0,,,89-93,,Personal foul by M. Leonard (drawn by M. Gasol)
8:41.0,M. Conley enters the game for A. Harrison,,89-93,,
8:34.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,92-93,,
8:13.0,,,92-93,,Turnover by D. Lillard (bad pass; steal by T. Allen)
8:07.0,Turnover by T. Allen (lost ball),,92-93,,
8:07.0,,,92-93,,M. Plumlee enters the game for M. Leonard
7:53.0,,,92-93,,A. Crabbe misses 2-pt shot at rim
7:52.0,Defensive rebound by J. Ennis,,92-93,,
7:45.0,T. Allen misses 2-pt shot from 2 ft,,92-93,,
7:44.0,Offensive rebound by Z. Randolph,,92-93,,
7:44.0,Z. Randolph makes 2-pt shot from 1 ft,2,94-93,,
7:26.0,,,94-93,,D. Lillard misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by Z. Randolph,,94-93,,
7:13.0,M. Gasol misses 3-pt shot from 25 ft,,94-93,,
7:12.0,,,94-93,,Defensive rebound by E. Turner
7:04.0,,,94-93,,Turnover by E. Turner (lost ball; steal by Z. Randolph)
7:04.0,,,94-93,,Loose ball foul by E. Turner (drawn by M. Conley)
6:53.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Aminu),,94-93,,
6:53.0,,,94-93,,Defensive rebound by Team
6:53.0,Loose ball foul by Z. Randolph (drawn by D. Lillard),,94-93,,
6:33.0,,,94-93,,A. Aminu misses 3-pt shot from 23 ft
6:32.0,,,94-93,,Offensive rebound by M. Plumlee
6:29.0,,,94-93,,M. Plumlee misses 2-pt shot from 7 ft (block by M. Gasol)
6:29.0,,,94-93,,Offensive rebound by Team
6:29.0,V. Carter enters the game for J. Ennis,,94-93,,
6:25.0,,,94-93,,Shooting foul by M. Gasol (drawn by D. Lillard)
6:25.0,,,94-94,1,D. Lillard makes free throw 1 of 2
6:25.0,,,94-95,1,D. Lillard makes free throw 2 of 2
6:04.0,Memphis full timeout,,94-95,,
5:59.0,M. Gasol makes 2-pt shot from 1 ft (assist by V. Carter),2,96-95,,
5:40.0,,,96-97,2,D. Lillard makes 2-pt shot from 21 ft
5:20.0,Turnover by M. Gasol (lost ball; steal by M. Plumlee),,96-97,,
5:11.0,,,96-100,3,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner)
4:52.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,98-100,,
4:34.0,,,98-103,3,D. Lillard makes 3-pt shot from 26 ft
4:09.0,M. Conley makes 3-pt shot from 26 ft,3,101-103,,
3:45.0,,,101-106,3,D. Lillard makes 3-pt shot from 26 ft (assist by E. Turner)
3:22.0,M. Conley misses 2-pt shot from 11 ft,,101-106,,
3:21.0,Offensive rebound by M. Conley,,101-106,,
3:19.0,M. Conley misses 2-pt shot from 5 ft,,101-106,,
3:18.0,Offensive rebound by Z. Randolph,,101-106,,
3:17.0,Z. Randolph makes 2-pt shot from 2 ft,2,103-106,,
2:58.0,,,103-106,,Shooting foul by M. Gasol (drawn by A. Aminu)
2:58.0,Official timeout,,103-106,,
2:58.0,,,103-107,1,A. Aminu makes free throw 1 of 2
2:58.0,,,103-108,1,A. Aminu makes free throw 2 of 2
2:58.0,,,103-106,,C. McCollum enters the game for A. Crabbe
2:46.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley),2,105-108,,
2:26.0,Personal foul by M. Gasol (drawn by D. Lillard),,105-108,,
2:26.0,,,105-109,1,D. Lillard makes free throw 1 of 2
2:26.0,,,105-110,1,D. Lillard makes free throw 2 of 2
2:13.0,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley),2,107-110,,
1:50.0,,,107-110,,D. Lillard misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by M. Gasol,,107-110,,
