time,Chicago,pts.away,score,pts.home,Memphis
8:48.0,,,6-4,,M. Conley misses 2-pt shot from 1 ft (block by R. Lopez)
8:46.0,Defensive rebound by J. Butler,,6-4,,
8:36.0,T. Gibson makes 2-pt shot from 2 ft,2,8-4,,
8:24.0,,,8-4,,C. Parsons misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by T. Gibson,,8-4,,
8:15.0,Turnover by P. Zipser (bad pass),,8-4,,
8:03.0,,,8-6,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
7:46.0,M. Carter-Williams misses 3-pt shot from 24 ft,,8-6,,
7:45.0,,,8-6,,Defensive rebound by C. Parsons
7:42.0,,,8-8,2,T. Allen makes 2-pt shot from 1 ft (assist by C. Parsons)
7:33.0,M. Carter-Williams misses 2-pt shot from 11 ft,,8-8,,
7:30.0,,,8-8,,Defensive rebound by J. Green
7:19.0,,,8-11,3,M. Conley makes 3-pt shot from 23 ft
6:59.0,P. Zipser makes 2-pt shot from 18 ft,2,10-11,,
6:36.0,,,10-13,2,J. Green makes 2-pt shot from 22 ft (assist by C. Parsons)
6:13.0,J. Butler misses 3-pt shot from 24 ft,,10-13,,
6:13.0,,,10-13,,Defensive rebound by M. Conley
6:03.0,,,10-13,,M. Gasol misses 2-pt shot from 22 ft
6:02.0,Defensive rebound by J. Butler,,10-13,,
5:50.0,T. Gibson misses 2-pt shot from 11 ft,,10-13,,
5:49.0,,,10-13,,Defensive rebound by M. Gasol
5:37.0,,,10-13,,J. Green misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by M. Carter-Williams,,10-13,,
5:33.0,J. Butler makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,12-13,,
5:33.0,Shooting foul by C. Parsons (drawn by J. Butler),,12-13,,
5:33.0,,,12-13,,Memphis full timeout
5:33.0,J. Butler misses free throw 1 of 1,,12-13,,
5:33.0,,,12-13,,Z. Randolph enters the game for J. Green
5:33.0,,,12-13,,V. Carter enters the game for M. Conley
5:31.0,,,12-13,,Defensive rebound by Z. Randolph
5:18.0,,,12-15,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
5:06.0,Shooting foul by V. Carter (drawn by R. Lopez),,12-15,,
5:06.0,R. Lopez misses free throw 1 of 2,,12-15,,
5:06.0,Offensive rebound by Team,,12-15,,
5:06.0,R. Lopez misses free throw 2 of 2,,12-15,,
5:06.0,,,12-15,,J. Ennis enters the game for C. Parsons
5:06.0,R. Rondo enters the game for M. Carter-Williams,,12-15,,
5:04.0,,,12-15,,Defensive rebound by Z. Randolph
4:47.0,,,12-17,2,M. Gasol makes 2-pt shot from 1 ft
4:37.0,Offensive foul by R. Lopez,,12-17,,
4:37.0,Turnover by R. Lopez (offensive foul),,12-17,,
4:18.0,,,12-17,,Z. Randolph misses 2-pt shot from 21 ft
4:18.0,Defensive rebound by T. Gibson,,12-17,,
4:02.0,P. Zipser misses 3-pt shot from 26 ft,,12-17,,
4:02.0,,,12-17,,Defensive rebound by Z. Randolph
3:51.0,,,12-17,,Turnover by M. Gasol (traveling)
3:51.0,D. McDermott enters the game for P. Zipser,,12-17,,
3:34.0,J. Butler misses 2-pt shot from 17 ft,,12-17,,
3:30.0,Offensive rebound by R. Lopez,,12-17,,
3:30.0,R. Lopez misses 2-pt shot from 1 ft,,12-17,,
3:27.0,,,12-17,,Defensive rebound by T. Allen
3:27.0,,,12-17,,Turnover by T. Allen (bad pass; steal by T. Gibson)
3:24.0,T. Gibson misses 2-pt shot from 7 ft,,12-17,,
3:23.0,,,12-17,,Defensive rebound by M. Gasol
3:15.0,,,12-17,,V. Carter misses 2-pt shot at rim (block by R. Lopez)
3:13.0,Defensive rebound by J. Butler,,12-17,,
3:07.0,J. Butler misses 3-pt shot from 26 ft,,12-17,,
3:04.0,,,12-17,,Defensive rebound by Z. Randolph
2:56.0,,,12-17,,T. Allen misses 2-pt shot from 8 ft
2:53.0,Defensive rebound by D. McDermott,,12-17,,
2:38.0,T. Gibson misses 2-pt shot from 13 ft,,12-17,,
2:36.0,,,12-17,,Defensive rebound by T. Allen
2:20.0,,,12-17,,T. Allen misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by D. McDermott,,12-17,,
2:05.0,R. Rondo misses 2-pt shot from 17 ft,,12-17,,
2:04.0,,,12-17,,Defensive rebound by Z. Randolph
1:58.0,,,12-17,,Memphis full timeout
1:58.0,Chicago full timeout,,12-17,,
1:58.0,,,12-17,,M. Conley enters the game for T. Allen
1:58.0,B. Portis enters the game for T. Gibson,,12-17,,
1:40.0,,,12-17,,Z. Randolph misses 2-pt shot from 12 ft
1:40.0,Defensive rebound by R. Rondo,,12-17,,
1:20.0,R. Rondo misses 2-pt shot from 2 ft,,12-17,,
1:19.0,Offensive rebound by R. Lopez,,12-17,,
1:15.0,D. McDermott misses 3-pt shot from 25 ft,,12-17,,
1:15.0,Offensive rebound by R. Rondo,,12-17,,
1:11.0,D. McDermott misses 2-pt shot from 2 ft,,12-17,,
1:09.0,,,12-17,,Defensive rebound by J. Ennis
1:05.0,,,12-17,,Shooting foul by B. Portis (drawn by M. Gasol)
1:05.0,,,12-18,1,M. Gasol makes free throw 1 of 2
1:05.0,,,12-19,1,M. Gasol makes free throw 2 of 2
0:48.0,B. Portis misses 3-pt shot from 25 ft,,12-19,,
0:48.0,,,12-19,,Defensive rebound by M. Gasol
0:40.0,,,12-19,,M. Conley misses 3-pt shot from 26 ft
0:37.0,,,12-19,,Offensive rebound by Z. Randolph
0:23.0,,,12-19,,Turnover by M. Gasol (back court)
0:23.0,,,12-19,,J. Green enters the game for M. Gasol
0:03.0,D. McDermott makes 2-pt shot from 2 ft (assist by R. Lopez),2,14-19,,
0:01.0,,,14-19,,M. Conley misses 3-pt shot from 44 ft
0:00.0,,,14-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,14-19,,Turnover by Z. Randolph (bad pass; steal by D. Valentine)
11:36.0,D. Valentine misses 3-pt shot from 26 ft,,14-19,,
11:36.0,,,14-19,,Defensive rebound by Z. Randolph
11:36.0,Loose ball foul by C. Felicio (drawn by Z. Randolph),,14-19,,
11:26.0,,,14-21,2,M. Conley makes 2-pt shot from 2 ft
10:55.0,C. Felicio makes 2-pt shot from 20 ft,2,16-21,,
10:43.0,,,16-23,2,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Conley)
10:27.0,R. Rondo misses 3-pt shot from 25 ft,,16-23,,
10:26.0,,,16-23,,Defensive rebound by J. Green
10:16.0,Personal foul by D. Valentine (drawn by J. Ennis),,16-23,,
10:09.0,,,16-23,,Z. Randolph misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by B. Portis,,16-23,,
9:57.0,D. McDermott makes 3-pt shot from 23 ft (assist by D. Valentine),3,19-23,,
9:45.0,,,19-25,2,J. Green makes 2-pt shot from 1 ft
9:30.0,D. McDermott misses 3-pt shot from 25 ft,,19-25,,
9:30.0,,,19-25,,Defensive rebound by J. Green
9:15.0,,,19-25,,V. Carter misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by D. McDermott,,19-25,,
9:04.0,D. McDermott makes 2-pt shot at rim (assist by R. Rondo),2,21-25,,
8:41.0,,,21-28,3,J. Green makes 3-pt shot from 24 ft (assist by V. Carter)
8:26.0,Shooting foul by J. Ennis (drawn by D. McDermott),,21-28,,
8:26.0,Chicago full timeout,,21-28,,
8:26.0,D. McDermott makes free throw 1 of 2,1,22-28,,
8:26.0,D. McDermott makes free throw 2 of 2,1,23-28,,
8:26.0,,,21-28,,T. Daniels enters the game for J. Ennis
8:09.0,,,23-28,,T. Daniels misses 3-pt shot from 28 ft
8:09.0,Defensive rebound by R. Rondo,,23-28,,
7:56.0,,,23-28,,Def 3 sec tech foul by Z. Randolph
7:56.0,D. McDermott makes technical free throw,1,24-28,,
7:56.0,,,24-28,,M. Gasol enters the game for Z. Randolph
7:48.0,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo),3,27-28,,
7:48.0,Shooting foul by V. Carter (drawn by D. McDermott),,27-28,,
7:48.0,D. McDermott makes free throw 1 of 1,1,28-28,,
7:31.0,,,28-30,2,V. Carter makes 2-pt shot from 1 ft
7:11.0,Turnover by C. Felicio (lost ball; steal by M. Conley),,28-30,,
7:04.0,,,28-30,,V. Carter misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by B. Portis,,28-30,,
6:56.0,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo),3,31-30,,
6:43.0,,,31-33,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
6:22.0,R. Rondo makes 2-pt shot from 2 ft,2,33-33,,
6:06.0,,,33-33,,V. Carter misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by B. Portis,,33-33,,
5:50.0,D. McDermott makes 2-pt shot from 21 ft,2,35-33,,
5:50.0,Shooting foul by T. Daniels (drawn by D. McDermott),,35-33,,
5:50.0,,,35-33,,Memphis full timeout
5:50.0,D. McDermott makes free throw 1 of 1,1,36-33,,
5:50.0,T. Gibson enters the game for R. Rondo,,35-33,,
5:50.0,M. Carter-Williams enters the game for B. Portis,,35-33,,
5:50.0,R. Lopez enters the game for D. Valentine,,35-33,,
5:50.0,J. Butler enters the game for C. Felicio,,35-33,,
5:50.0,,,35-33,,J. Ennis enters the game for M. Conley
5:50.0,,,35-33,,T. Allen enters the game for V. Carter
5:50.0,,,35-33,,C. Parsons enters the game for T. Daniels
5:41.0,,,36-36,3,C. Parsons makes 3-pt shot from 23 ft (assist by T. Allen)
5:28.0,D. McDermott makes 2-pt shot from 5 ft (assist by J. Butler),2,38-36,,
5:12.0,,,38-36,,M. Gasol misses 2-pt shot from 12 ft
5:10.0,Defensive rebound by J. Butler,,38-36,,
4:53.0,T. Gibson makes 2-pt shot from 5 ft,2,40-36,,
4:38.0,,,40-36,,J. Ennis misses 2-pt shot at rim
4:37.0,Defensive rebound by M. Carter-Williams,,40-36,,
4:36.0,Turnover by M. Carter-Williams (lost ball; steal by T. Allen),,40-36,,
4:23.0,,,40-36,,T. Allen misses 2-pt shot from 2 ft (block by M. Carter-Williams)
4:22.0,Defensive rebound by J. Butler,,40-36,,
4:02.0,Shooting foul by J. Green (drawn by M. Carter-Williams),,40-36,,
4:02.0,M. Carter-Williams makes free throw 1 of 2,1,41-36,,
4:02.0,M. Carter-Williams makes free throw 2 of 2,1,42-36,,
3:43.0,,,42-36,,C. Parsons misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by R. Lopez,,42-36,,
3:35.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,44-36,,
3:34.0,,,44-36,,Memphis full timeout
3:34.0,,,44-36,,Z. Randolph enters the game for J. Green
3:17.0,,,44-36,,C. Parsons misses 3-pt shot from 24 ft (block by D. McDermott)
3:14.0,,,44-36,,Offensive rebound by M. Gasol
3:12.0,,,44-38,2,M. Gasol makes 2-pt shot from 5 ft
2:49.0,R. Lopez misses 2-pt shot from 2 ft,,44-38,,
2:47.0,Offensive rebound by R. Lopez,,44-38,,
2:47.0,R. Lopez makes 2-pt shot at rim,2,46-38,,
2:29.0,,,46-40,2,M. Gasol makes 2-pt shot from 21 ft (assist by C. Parsons)
2:02.0,R. Lopez misses 2-pt shot from 4 ft (block by T. Allen),,46-40,,
2:00.0,,,46-40,,Defensive rebound by M. Gasol
1:58.0,,,46-40,,Turnover by M. Gasol (lost ball; steal by J. Butler)
1:55.0,Turnover by M. Carter-Williams (bad pass; steal by T. Allen),,46-40,,
1:52.0,,,46-40,,J. Ennis misses 2-pt shot from 1 ft (block by R. Lopez)
1:49.0,Defensive rebound by D. McDermott,,46-40,,
1:45.0,J. Butler makes 2-pt shot from 1 ft,2,48-40,,
1:35.0,,,48-40,,Memphis full timeout
1:35.0,,,48-40,,M. Conley enters the game for J. Ennis
1:18.0,,,48-40,,C. Parsons misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by T. Gibson,,48-40,,
0:56.0,T. Gibson misses 3-pt shot from 24 ft,,48-40,,
0:56.0,,,48-40,,Defensive rebound by T. Allen
0:47.0,,,48-43,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
0:33.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Butler),2,50-43,,
0:26.0,,,50-46,3,M. Conley makes 3-pt shot from 25 ft
0:00.0,T. Gibson makes 2-pt shot from 10 ft,2,52-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,52-49,3,J. Green makes 3-pt shot from 25 ft (assist by C. Parsons)
11:26.0,J. Butler misses 2-pt shot from 10 ft,,52-49,,
11:25.0,,,52-49,,Defensive rebound by T. Allen
11:11.0,,,52-49,,M. Gasol misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by T. Gibson,,52-49,,
10:51.0,M. Carter-Williams misses 2-pt shot from 8 ft,,52-49,,
10:47.0,,,52-49,,Defensive rebound by M. Gasol
10:45.0,,,52-49,,Shooting foul by M. Carter-Williams (drawn by M. Conley)
10:45.0,,,52-50,1,M. Conley makes free throw 1 of 2
10:45.0,,,52-51,1,M. Conley makes free throw 2 of 2
10:22.0,T. Gibson makes 2-pt shot at rim,2,54-51,,
10:02.0,,,54-51,,M. Gasol misses 2-pt shot from 7 ft
10:01.0,,,54-51,,Offensive rebound by J. Green
10:00.0,,,54-51,,J. Green misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by R. Lopez,,54-51,,
9:54.0,,,54-51,,Violation by M. Conley (kicked ball)
9:45.0,R. Lopez makes 2-pt shot from 21 ft (assist by J. Butler),2,56-51,,
9:31.0,,,56-53,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
9:17.0,R. Lopez misses 2-pt shot from 5 ft,,56-53,,
9:15.0,Offensive rebound by M. Carter-Williams,,56-53,,
9:15.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,58-53,,
8:50.0,,,58-53,,T. Allen misses 2-pt shot from 15 ft
8:50.0,Defensive rebound by M. Carter-Williams,,58-53,,
8:30.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by R. Lopez),2,60-53,,
8:11.0,,,60-55,2,C. Parsons makes 2-pt shot from 1 ft
7:52.0,Shooting foul by J. Green (drawn by T. Gibson),,60-55,,
7:52.0,T. Gibson makes free throw 1 of 2,1,61-55,,
7:52.0,T. Gibson makes free throw 2 of 2,1,62-55,,
7:33.0,,,62-57,2,M. Gasol makes 2-pt shot from 17 ft (assist by T. Allen)
7:22.0,Shooting foul by J. Green (drawn by M. Carter-Williams),,62-57,,
7:22.0,M. Carter-Williams makes free throw 1 of 2,1,63-57,,
7:22.0,M. Carter-Williams makes free throw 2 of 2,1,64-57,,
7:22.0,,,63-57,,Z. Randolph enters the game for J. Green
7:03.0,,,64-57,,Z. Randolph misses 2-pt shot from 5 ft
7:02.0,Defensive rebound by T. Gibson,,64-57,,
6:51.0,Turnover by P. Zipser (traveling),,64-57,,
6:51.0,,,64-57,,V. Carter enters the game for T. Allen
6:42.0,,,64-57,,Shooting foul by P. Zipser (drawn by C. Parsons)
6:42.0,,,64-58,1,C. Parsons makes free throw 1 of 2
6:42.0,,,64-59,1,C. Parsons makes free throw 2 of 2
6:24.0,Turnover by J. Butler (bad pass; steal by M. Conley),,64-59,,
6:19.0,,,64-59,,Turnover by M. Conley (bad pass; steal by J. Butler)
6:12.0,,,64-59,,Personal foul by C. Parsons (drawn by J. Butler)
6:04.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,66-59,,
6:04.0,Shooting foul by M. Conley (drawn by M. Carter-Williams),,66-59,,
6:04.0,M. Carter-Williams misses free throw 1 of 1,,66-59,,
6:04.0,,,66-59,,J. Ennis enters the game for C. Parsons
6:03.0,,,66-59,,Defensive rebound by Z. Randolph
5:53.0,,,66-59,,M. Gasol misses 2-pt shot from 22 ft
5:53.0,Defensive rebound by P. Zipser,,66-59,,
5:44.0,Shooting foul by J. Ennis (drawn by J. Butler),,66-59,,
5:44.0,,,66-59,,Memphis full timeout
5:44.0,J. Butler misses free throw 1 of 2,,66-59,,
5:44.0,Offensive rebound by Team,,66-59,,
5:44.0,J. Butler makes free throw 2 of 2,1,67-59,,
5:29.0,,,67-59,,Z. Randolph misses 2-pt shot from 19 ft
5:29.0,Defensive rebound by J. Butler,,67-59,,
5:10.0,T. Gibson misses 2-pt shot from 16 ft,,67-59,,
5:10.0,,,67-59,,Defensive rebound by M. Conley
5:05.0,,,67-59,,Shooting foul by J. Butler (drawn by M. Conley)
5:05.0,,,67-60,1,M. Conley makes free throw 1 of 2
5:05.0,,,67-61,1,M. Conley makes free throw 2 of 2
5:05.0,R. Rondo enters the game for M. Carter-Williams,,67-60,,
5:05.0,D. McDermott enters the game for P. Zipser,,67-60,,
4:48.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Butler),2,69-61,,
4:31.0,,,69-64,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol)
4:13.0,D. McDermott misses 2-pt shot from 22 ft,,69-64,,
4:12.0,,,69-64,,Defensive rebound by J. Ennis
4:00.0,,,69-67,3,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph)
4:00.0,Chicago full timeout,,69-67,,
4:00.0,B. Portis enters the game for T. Gibson,,69-67,,
3:44.0,J. Butler misses 2-pt shot from 21 ft,,69-67,,
3:41.0,,,69-67,,Defensive rebound by Z. Randolph
3:22.0,,,69-70,3,M. Conley makes 3-pt shot from 26 ft (assist by Z. Randolph)
3:12.0,,,69-70,,Personal foul by Z. Randolph (drawn by D. McDermott)
3:12.0,D. McDermott makes free throw 1 of 2,1,70-70,,
3:12.0,D. McDermott makes free throw 2 of 2,1,71-70,,
2:59.0,,,71-72,2,V. Carter makes 2-pt shot from 6 ft (assist by M. Conley)
2:46.0,R. Lopez misses 2-pt shot from 6 ft,,71-72,,
2:44.0,,,71-72,,Defensive rebound by M. Conley
2:37.0,,,71-72,,J. Ennis misses 2-pt shot from 1 ft
2:35.0,,,71-72,,Offensive rebound by Z. Randolph
2:32.0,,,71-72,,Z. Randolph misses 2-pt shot from 4 ft
2:31.0,Defensive rebound by R. Lopez,,71-72,,
2:21.0,R. Rondo makes 2-pt shot from 9 ft,2,73-72,,
2:04.0,Personal foul by B. Portis (drawn by M. Conley),,73-72,,
2:04.0,,,73-72,,T. Daniels enters the game for M. Gasol
2:04.0,,,73-72,,T. Allen enters the game for M. Conley
2:04.0,C. Felicio enters the game for R. Lopez,,73-72,,
1:52.0,,,73-72,,Z. Randolph misses 2-pt shot from 12 ft
1:51.0,Defensive rebound by B. Portis,,73-72,,
1:37.0,D. McDermott makes 2-pt shot from 12 ft,2,75-72,,
1:22.0,Personal foul by R. Rondo (drawn by T. Daniels),,75-72,,
1:22.0,,,75-73,1,T. Daniels makes free throw 1 of 2
1:22.0,,,75-74,1,T. Daniels makes free throw 2 of 2
1:02.0,D. McDermott misses 3-pt shot from 25 ft,,75-74,,
1:02.0,,,75-74,,Defensive rebound by T. Allen
0:53.0,,,75-74,,T. Daniels misses 3-pt shot from 28 ft
0:52.0,Defensive rebound by J. Butler,,75-74,,
0:42.0,D. McDermott misses 2-pt shot from 19 ft,,75-74,,
0:41.0,Offensive rebound by B. Portis,,75-74,,
0:40.0,B. Portis makes 2-pt shot from 10 ft,2,77-74,,
0:25.0,,,77-74,,Z. Randolph misses 2-pt shot from 5 ft
0:23.0,Defensive rebound by D. McDermott,,77-74,,
0:23.0,,,77-74,,Personal foul by T. Allen (drawn by D. McDermott)
0:23.0,D. McDermott makes free throw 1 of 2,1,78-74,,
0:23.0,D. McDermott misses free throw 2 of 2,,78-74,,
0:23.0,,,78-74,,Defensive rebound by J. Ennis
0:03.0,,,78-77,3,Z. Randolph makes 3-pt shot from 25 ft (assist by T. Daniels)
0:01.0,J. Butler misses 3-pt shot from 50 ft,,78-77,,
0:00.0,Offensive rebound by Team,,78-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. McDermott makes 2-pt shot from 10 ft,2,80-77,,
11:24.0,,,80-77,,T. Daniels misses 3-pt shot from 25 ft
11:23.0,,,80-77,,Offensive rebound by Z. Randolph
11:23.0,,,80-77,,Z. Randolph misses 2-pt shot from 1 ft
11:21.0,,,80-77,,Offensive rebound by T. Allen
11:20.0,,,80-77,,Turnover by T. Allen (lost ball; steal by D. McDermott)
11:00.0,B. Portis makes 2-pt shot from 9 ft,2,82-77,,
10:37.0,,,82-77,,T. Daniels misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by C. Felicio,,82-77,,
10:30.0,C. Felicio makes 2-pt shot from 1 ft (assist by R. Rondo),2,84-77,,
10:24.0,,,84-77,,Memphis full timeout
10:24.0,,,84-77,,M. Gasol enters the game for J. Ennis
10:24.0,,,84-77,,M. Conley enters the game for T. Daniels
10:04.0,,,84-77,,M. Conley misses 3-pt shot from 25 ft
10:02.0,,,84-77,,Offensive rebound by T. Allen
10:01.0,,,84-77,,Turnover by T. Allen (bad pass; steal by C. Felicio)
9:53.0,Turnover by D. McDermott (lost ball; steal by M. Gasol),,84-77,,
9:47.0,,,84-79,2,M. Conley makes 2-pt shot from 1 ft (assist by T. Allen)
9:21.0,C. Felicio misses 2-pt shot from 21 ft,,84-79,,
9:20.0,,,84-79,,Defensive rebound by M. Conley
9:16.0,,,84-79,,M. Gasol misses 3-pt shot from 26 ft
9:14.0,,,84-79,,Offensive rebound by Z. Randolph
9:14.0,,,84-81,2,Z. Randolph makes 2-pt shot from 1 ft
9:14.0,Chicago full timeout,,84-81,,
9:14.0,R. Lopez enters the game for C. Felicio,,84-81,,
8:59.0,R. Lopez makes 2-pt shot from 22 ft (assist by R. Rondo),2,86-81,,
8:38.0,,,86-83,2,Z. Randolph makes 2-pt shot from 15 ft
8:12.0,Turnover by D. Valentine (bad pass; steal by T. Allen),,86-83,,
8:06.0,Personal foul by B. Portis (drawn by Z. Randolph),,86-83,,
8:06.0,J. Butler enters the game for D. Valentine,,86-83,,
8:06.0,T. Gibson enters the game for B. Portis,,86-83,,
7:54.0,,,86-85,2,M. Conley makes 2-pt shot from 13 ft
7:30.0,M. Carter-Williams enters the game for R. Rondo,,86-85,,
7:30.0,Turnover by T. Gibson (lost ball),,86-85,,
7:30.0,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession)
7:15.0,,,86-85,,Z. Randolph misses 2-pt shot from 5 ft
7:14.0,Defensive rebound by T. Gibson,,86-85,,
6:58.0,T. Gibson misses 2-pt shot from 16 ft,,86-85,,
6:58.0,,,86-85,,Defensive rebound by M. Gasol
6:45.0,,,86-87,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
6:32.0,Shooting foul by T. Allen (drawn by T. Gibson),,86-87,,
6:32.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,88-87,,
6:32.0,T. Gibson makes free throw 1 of 1,1,89-87,,
6:20.0,,,89-89,2,M. Conley makes 2-pt shot from 20 ft
6:06.0,J. Butler misses 2-pt shot from 7 ft (block by M. Gasol),,89-89,,
6:03.0,,,89-89,,Defensive rebound by M. Gasol
5:56.0,,,89-89,,T. Allen misses 2-pt shot from 6 ft
5:55.0,,,89-89,,Offensive rebound by Z. Randolph
5:55.0,,,89-91,2,Z. Randolph makes 2-pt shot from 1 ft
5:42.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Butler),2,91-91,,
5:42.0,Shooting foul by Z. Randolph (drawn by R. Lopez),,91-91,,
5:42.0,R. Lopez makes free throw 1 of 1,1,92-91,,
5:28.0,,,92-91,,M. Gasol misses 2-pt shot at rim
5:27.0,,,92-91,,Offensive rebound by Z. Randolph
5:27.0,,,92-91,,Z. Randolph misses 2-pt shot from 1 ft
5:24.0,Defensive rebound by R. Lopez,,92-91,,
5:13.0,R. Lopez misses 2-pt shot from 20 ft,,92-91,,
5:13.0,,,92-91,,Defensive rebound by V. Carter
5:02.0,,,92-93,2,M. Conley makes 2-pt shot from 9 ft
4:42.0,J. Butler makes 3-pt shot from 23 ft (assist by T. Gibson),3,95-93,,
4:22.0,,,95-93,,M. Conley misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by M. Carter-Williams,,95-93,,
4:14.0,Offensive foul by J. Butler,,95-93,,
4:14.0,Turnover by J. Butler (offensive foul),,95-93,,
4:14.0,,,95-93,,J. Ennis enters the game for T. Allen
3:59.0,Inbound foul by M. Carter-Williams,,95-93,,
3:59.0,,,95-94,1,M. Conley makes free throw 1 of 1
3:47.0,,,95-94,,M. Gasol misses 2-pt shot from 9 ft
3:44.0,,,95-94,,Offensive rebound by Z. Randolph
3:44.0,,,95-94,,Z. Randolph misses 2-pt shot from 6 ft
3:43.0,Defensive rebound by M. Carter-Williams,,95-94,,
3:33.0,Shooting foul by J. Ennis (drawn by J. Butler),,95-94,,
3:33.0,J. Butler makes free throw 1 of 2,1,96-94,,
3:33.0,J. Butler makes free throw 2 of 2,1,97-94,,
3:24.0,,,97-94,,M. Gasol misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by M. Carter-Williams,,97-94,,
3:16.0,,,97-94,,Personal foul by M. Conley (drawn by M. Carter-Williams)
3:16.0,,,97-94,,T. Allen enters the game for J. Ennis
3:00.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,99-94,,
