time,Toronto,pts.away,score,pts.home,Boston
3:58.0,,,18-10,1,I. Thomas makes free throw 1 of 2
3:58.0,,,18-11,1,I. Thomas makes free throw 2 of 2
3:58.0,,,18-10,,T. Zeller enters the game for A. Horford
3:44.0,N. Powell makes 2-pt shot from 2 ft,2,20-11,,
3:41.0,,,20-11,,Turnover by J. Crowder (bad pass; steal by D. Carroll)
3:24.0,L. Nogueira misses 3-pt shot from 25 ft,,20-11,,
3:23.0,,,20-11,,Defensive rebound by T. Zeller
3:14.0,,,20-13,2,I. Thomas makes 2-pt shot from 7 ft
3:02.0,Toronto full timeout,,20-13,,
3:02.0,,,20-13,,G. Green enters the game for J. Crowder
3:02.0,T. Ross enters the game for D. Carroll,,20-13,,
3:02.0,J. Poeltl enters the game for L. Nogueira,,20-13,,
2:49.0,J. Sullinger misses 3-pt shot from 25 ft,,20-13,,
2:48.0,Offensive rebound by J. Poeltl,,20-13,,
2:40.0,,,20-13,,Personal foul by T. Zeller (drawn by J. Sullinger)
2:34.0,J. Sullinger makes 2-pt shot from 18 ft (assist by C. Joseph),2,22-13,,
2:16.0,,,22-13,,J. Jerebko misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by J. Sullinger,,22-13,,
2:07.0,C. Joseph misses 2-pt shot from 2 ft,,22-13,,
2:06.0,Offensive rebound by J. Poeltl,,22-13,,
2:06.0,J. Poeltl makes 2-pt shot from 2 ft,2,24-13,,
1:47.0,,,24-15,2,G. Green makes 2-pt shot from 14 ft (assist by I. Thomas)
1:32.0,Turnover by N. Powell (bad pass; steal by G. Green),,24-15,,
1:26.0,,,24-18,3,M. Smart makes 3-pt shot from 24 ft (assist by G. Green)
1:05.0,T. Ross makes 2-pt shot from 15 ft (assist by J. Sullinger),2,26-18,,
0:48.0,,,26-21,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
0:48.0,,,26-21,,Shooting foul by N. Powell (drawn by I. Thomas)
0:48.0,,,26-22,1,I. Thomas makes free throw 1 of 1
0:48.0,K. Lowry enters the game for N. Powell,,26-21,,
0:33.0,T. Ross makes 2-pt shot from 3 ft (assist by C. Joseph),2,28-22,,
0:26.0,,,28-25,3,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas)
0:06.0,J. Sullinger makes 2-pt shot from 21 ft (assist by C. Joseph),2,30-25,,
0:03.0,,,30-28,3,I. Thomas makes 3-pt shot from 36 ft (assist by M. Smart)
0:01.0,T. Ross misses 3-pt shot from 47 ft,,30-28,,
0:00.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,30-28,,G. Green misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by C. Joseph,,30-28,,
11:20.0,C. Joseph makes 2-pt shot from 5 ft,2,32-28,,
11:02.0,,,32-28,,G. Green misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by L. Nogueira,,32-28,,
10:50.0,P. Patterson makes 2-pt shot from 2 ft,2,34-28,,
10:50.0,Shooting foul by J. Jerebko (drawn by P. Patterson),,34-28,,
10:50.0,P. Patterson misses free throw 1 of 1,,34-28,,
10:49.0,,,34-28,,Defensive rebound by T. Rozier
10:27.0,,,34-28,,T. Rozier misses 2-pt shot from 5 ft
10:25.0,,,34-28,,Offensive rebound by M. Smart
10:23.0,,,34-28,,J. Jerebko misses 2-pt shot from 6 ft (block by L. Nogueira)
10:22.0,,,34-28,,Offensive rebound by Team
10:16.0,,,34-28,,M. Smart misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by P. Patterson,,34-28,,
9:58.0,P. Patterson misses 3-pt shot from 23 ft,,34-28,,
9:57.0,,,34-28,,Defensive rebound by T. Rozier
9:45.0,,,34-28,,T. Rozier misses 2-pt shot from 5 ft
9:44.0,,,34-28,,Offensive rebound by T. Zeller
9:43.0,,,34-30,2,T. Zeller makes 2-pt shot from 4 ft
9:27.0,T. Ross misses 3-pt shot from 24 ft,,34-30,,
9:26.0,,,34-30,,Defensive rebound by G. Green
9:20.0,Personal foul by C. Joseph (drawn by G. Green),,34-30,,
9:20.0,,,34-30,,J. Brown enters the game for J. Jerebko
9:10.0,Personal foul by C. Joseph (drawn by T. Zeller),,34-30,,
9:10.0,N. Powell enters the game for C. Joseph,,34-30,,
9:00.0,,,34-30,,Turnover by G. Green (lost ball; steal by T. Ross)
8:57.0,Shooting foul by G. Green (drawn by T. Ross),,34-30,,
8:57.0,Official timeout,,34-30,,
8:57.0,T. Ross misses free throw 1 of 2,,34-30,,
8:57.0,Offensive rebound by Team,,34-30,,
8:57.0,T. Ross misses free throw 2 of 2,,34-30,,
8:57.0,,,34-30,,Defensive rebound by J. Crowder
8:57.0,D. Carroll enters the game for P. Patterson,,34-30,,
8:57.0,,,34-30,,J. Crowder enters the game for G. Green
8:42.0,,,34-30,,J. Brown misses 2-pt shot from 2 ft (block by L. Nogueira)
8:41.0,Defensive rebound by K. Lowry,,34-30,,
8:34.0,T. Ross misses 3-pt shot from 24 ft,,34-30,,
8:33.0,Offensive rebound by L. Nogueira,,34-30,,
8:33.0,Shooting foul by T. Zeller (drawn by L. Nogueira),,34-30,,
8:33.0,L. Nogueira makes free throw 1 of 2,1,35-30,,
8:33.0,L. Nogueira makes free throw 2 of 2,1,36-30,,
8:33.0,,,35-30,,A. Horford enters the game for T. Zeller
8:16.0,,,36-32,2,J. Brown makes 2-pt shot from 2 ft
8:09.0,K. Lowry makes 2-pt shot from 13 ft,2,38-32,,
8:03.0,,,38-32,,J. Crowder misses 2-pt shot from 2 ft
8:01.0,,,38-32,,Offensive rebound by A. Horford
8:00.0,,,38-32,,A. Horford misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by T. Ross,,38-32,,
7:53.0,K. Lowry makes 2-pt shot from 10 ft,2,40-32,,
7:53.0,Shooting foul by J. Brown (drawn by K. Lowry),,40-32,,
7:53.0,K. Lowry makes free throw 1 of 1,1,41-32,,
7:53.0,J. Valanciunas enters the game for L. Nogueira,,40-32,,
7:34.0,,,41-32,,A. Horford misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by T. Ross,,41-32,,
7:27.0,,,41-32,,Personal foul by M. Smart (drawn by J. Valanciunas)
7:27.0,J. Valanciunas misses free throw 1 of 2,,41-32,,
7:27.0,Offensive rebound by Team,,41-32,,
7:27.0,J. Valanciunas makes free throw 2 of 2,1,42-32,,
7:11.0,Personal foul by J. Valanciunas (drawn by A. Horford),,42-32,,
7:11.0,J. Poeltl enters the game for J. Valanciunas,,42-32,,
7:05.0,,,42-32,,A. Horford misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by D. Carroll,,42-32,,
6:58.0,K. Lowry makes 3-pt shot from 29 ft (assist by D. Carroll),3,45-32,,
6:48.0,,,45-32,,Boston full timeout
6:48.0,,,45-32,,I. Thomas enters the game for J. Brown
6:48.0,,,45-32,,A. Johnson enters the game for M. Smart
6:48.0,J. Sullinger enters the game for T. Ross,,45-32,,
6:35.0,,,45-32,,A. Horford misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by J. Poeltl,,45-32,,
6:26.0,D. Carroll misses 3-pt shot from 25 ft,,45-32,,
6:25.0,,,45-32,,Defensive rebound by I. Thomas
6:19.0,,,45-34,2,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas)
5:54.0,D. Carroll misses 2-pt shot from 4 ft,,45-34,,
5:54.0,,,45-34,,Defensive rebound by A. Johnson
5:42.0,,,45-37,3,A. Johnson makes 3-pt shot from 26 ft (assist by I. Thomas)
5:28.0,Toronto full timeout,,45-37,,
5:14.0,J. Sullinger makes 3-pt shot from 29 ft (assist by N. Powell),3,48-37,,
4:59.0,,,48-37,,A. Horford misses 3-pt shot from 25 ft
4:57.0,,,48-37,,Offensive rebound by A. Johnson
4:47.0,,,48-37,,J. Crowder misses 3-pt shot from 25 ft
4:46.0,,,48-37,,Offensive rebound by T. Rozier
4:43.0,,,48-37,,I. Thomas misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by Team,,48-37,,
4:24.0,N. Powell makes 2-pt shot from 8 ft,2,50-37,,
4:07.0,,,50-39,2,T. Rozier makes 2-pt shot from 1 ft (assist by A. Horford)
3:40.0,K. Lowry makes 2-pt shot from 12 ft,2,52-39,,
3:31.0,,,52-39,,Turnover by A. Horford (lost ball)
3:31.0,,,52-39,,M. Smart enters the game for T. Rozier
3:16.0,Toronto full timeout,,52-39,,
3:16.0,Toronto full timeout,,52-39,,
3:09.0,Shooting foul by A. Horford (drawn by J. Sullinger),,52-39,,
3:09.0,J. Sullinger misses free throw 1 of 2,,52-39,,
3:09.0,Offensive rebound by Team,,52-39,,
3:09.0,J. Sullinger makes free throw 2 of 2,1,53-39,,
2:57.0,,,53-41,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
2:57.0,,,53-41,,Shooting foul by N. Powell (drawn by J. Crowder)
2:57.0,,,53-42,1,J. Crowder makes free throw 1 of 1
2:43.0,K. Lowry misses 3-pt shot from 26 ft,,53-42,,
2:41.0,Offensive rebound by D. Carroll,,53-42,,
2:38.0,D. Carroll misses 3-pt shot from 26 ft,,53-42,,
2:37.0,,,53-42,,Defensive rebound by M. Smart
2:36.0,Personal foul by J. Sullinger (drawn by M. Smart),,53-42,,
2:36.0,,,53-43,1,M. Smart makes free throw 1 of 2
2:36.0,,,53-43,,M. Smart misses free throw 2 of 2
2:36.0,L. Nogueira enters the game for J. Sullinger,,53-43,,
2:34.0,Defensive rebound by L. Nogueira,,53-43,,
2:26.0,K. Lowry misses 3-pt shot from 26 ft,,53-43,,
2:25.0,Offensive rebound by J. Poeltl,,53-43,,
2:25.0,J. Poeltl makes 2-pt shot from 4 ft,2,55-43,,
2:06.0,,,55-45,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
1:46.0,N. Powell makes 2-pt shot from 19 ft,2,57-45,,
1:31.0,,,57-45,,M. Smart misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by K. Lowry,,57-45,,
1:20.0,Turnover by K. Lowry (lost ball; steal by M. Smart),,57-45,,
1:14.0,,,57-47,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
0:53.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,60-47,,
0:46.0,,,60-47,,Shooting foul by J. Poeltl (drawn by I. Thomas)
0:46.0,,,60-48,1,I. Thomas makes free throw 1 of 2
0:46.0,,,60-49,1,I. Thomas makes free throw 2 of 2
0:46.0,T. Ross enters the game for J. Poeltl,,60-48,,
0:46.0,,,60-48,,T. Rozier enters the game for A. Johnson
0:31.0,L. Nogueira makes 2-pt shot at rim (assist by T. Ross),2,62-49,,
0:11.0,,,62-49,,Shooting foul by N. Powell (drawn by I. Thomas)
0:11.0,,,62-50,1,I. Thomas makes free throw 1 of 2
0:11.0,,,62-51,1,I. Thomas makes free throw 2 of 2
0:00.0,K. Lowry misses 3-pt shot from 25 ft,,62-51,,
0:00.0,Offensive rebound by Team,,62-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-53,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
11:19.0,N. Powell misses 3-pt shot from 24 ft,,62-53,,
11:18.0,Offensive rebound by Team,,62-53,,
11:17.0,Offensive foul by J. Valanciunas,,62-53,,
11:17.0,Turnover by J. Valanciunas (offensive foul),,62-53,,
11:08.0,Personal foul by N. Powell (drawn by M. Smart),,62-53,,
11:08.0,L. Nogueira enters the game for J. Valanciunas,,62-53,,
11:03.0,,,62-53,,M. Smart misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by N. Powell,,62-53,,
10:48.0,P. Patterson makes 2-pt shot from 2 ft (assist by K. Lowry),2,64-53,,
10:30.0,,,64-53,,J. Crowder misses 3-pt shot from 24 ft
10:28.0,,,64-53,,Offensive rebound by J. Crowder
10:25.0,,,64-55,2,J. Crowder makes 2-pt shot from 2 ft
10:18.0,K. Lowry makes 2-pt shot from 12 ft,2,66-55,,
10:18.0,Shooting foul by A. Johnson (drawn by K. Lowry),,66-55,,
10:18.0,K. Lowry makes free throw 1 of 1,1,67-55,,
10:18.0,T. Ross enters the game for N. Powell,,66-55,,
10:00.0,,,67-55,,M. Smart misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by P. Patterson,,67-55,,
9:48.0,Shooting foul by A. Johnson (drawn by P. Patterson),,67-55,,
9:48.0,P. Patterson misses free throw 1 of 2,,67-55,,
9:48.0,Offensive rebound by Team,,67-55,,
9:48.0,P. Patterson makes free throw 2 of 2,1,68-55,,
9:34.0,,,68-55,,Turnover by M. Smart (bad pass; steal by L. Nogueira)
9:29.0,L. Nogueira makes 2-pt shot at rim (assist by T. Ross),2,70-55,,
9:10.0,,,70-55,,Offensive foul by A. Johnson
9:10.0,,,70-55,,Turnover by A. Johnson (offensive foul)
9:10.0,,,70-55,,J. Jerebko enters the game for A. Johnson
8:56.0,K. Lowry makes 2-pt shot from 2 ft,2,72-55,,
8:56.0,,,72-55,,Boston full timeout
8:37.0,,,72-57,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
8:28.0,K. Lowry makes 3-pt shot from 23 ft,3,75-57,,
8:09.0,,,75-59,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford)
7:43.0,Turnover by Team (shot clock),,75-59,,
7:32.0,,,75-59,,I. Thomas misses 3-pt shot from 23 ft
7:31.0,,,75-59,,Offensive rebound by J. Crowder
7:30.0,,,75-61,2,J. Crowder makes 2-pt shot from 2 ft
7:12.0,Turnover by K. Lowry (traveling),,75-61,,
7:07.0,,,75-61,,M. Smart misses 3-pt shot from 24 ft
7:06.0,,,75-61,,Offensive rebound by Team
6:54.0,,,75-63,2,I. Thomas makes 2-pt shot from 7 ft (assist by A. Horford)
6:37.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,77-63,,
6:21.0,,,77-63,,Shooting foul by D. Carroll (drawn by J. Crowder)
6:21.0,,,77-64,1,J. Crowder makes free throw 1 of 3
6:21.0,,,77-65,1,J. Crowder makes free throw 2 of 3
6:21.0,,,77-65,,J. Crowder misses free throw 3 of 3
6:21.0,Defensive rebound by D. Carroll,,77-65,,
6:21.0,C. Joseph enters the game for P. Patterson,,77-65,,
5:57.0,K. Lowry misses 3-pt shot from 24 ft,,77-65,,
5:56.0,,,77-65,,Defensive rebound by I. Thomas
5:49.0,,,77-65,,J. Jerebko misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by T. Ross,,77-65,,
5:42.0,,,77-65,,Personal foul by I. Thomas (drawn by L. Nogueira)
5:29.0,T. Ross misses 2-pt shot from 6 ft,,77-65,,
5:28.0,,,77-65,,Defensive rebound by J. Jerebko
5:14.0,,,77-67,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford)
5:05.0,Toronto full timeout,,77-67,,
5:05.0,J. Sullinger enters the game for K. Lowry,,77-67,,
4:58.0,,,77-67,,Personal foul by M. Smart (drawn by T. Ross)
4:51.0,Shooting foul by I. Thomas (drawn by C. Joseph),,77-67,,
4:51.0,C. Joseph makes 2-pt shot from 9 ft,2,79-67,,
4:51.0,C. Joseph misses free throw 1 of 1,,79-67,,
4:51.0,,,79-67,,Defensive rebound by J. Crowder
4:38.0,,,79-70,3,I. Thomas makes 3-pt shot from 25 ft
4:18.0,T. Ross misses 3-pt shot from 25 ft,,79-70,,
4:18.0,,,79-70,,Defensive rebound by J. Crowder
4:10.0,,,79-70,,I. Thomas misses 3-pt shot from 29 ft
4:08.0,Defensive rebound by Team,,79-70,,
4:08.0,,,79-70,,J. Brown enters the game for M. Smart
3:57.0,T. Ross misses 2-pt shot from 14 ft,,79-70,,
3:57.0,,,79-70,,Defensive rebound by A. Horford
3:38.0,,,79-70,,I. Thomas misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by T. Ross,,79-70,,
3:17.0,C. Joseph misses 2-pt shot from 5 ft,,79-70,,
3:17.0,Offensive rebound by Team,,79-70,,
3:17.0,,,79-70,,Loose ball foul by J. Brown (drawn by L. Nogueira)
3:17.0,L. Nogueira makes free throw 1 of 2,1,80-70,,
3:17.0,L. Nogueira makes free throw 2 of 2,1,81-70,,
3:17.0,,,80-70,,T. Rozier enters the game for I. Thomas
3:02.0,,,81-70,,A. Horford misses 2-pt shot from 5 ft
3:00.0,Defensive rebound by J. Sullinger,,81-70,,
2:38.0,J. Sullinger makes 2-pt shot from 2 ft (assist by T. Ross),2,83-70,,
2:38.0,Shooting foul by A. Horford (drawn by J. Sullinger),,83-70,,
2:38.0,J. Sullinger misses free throw 1 of 1,,83-70,,
2:38.0,,,83-70,,Defensive rebound by J. Jerebko
2:38.0,,,83-70,,T. Zeller enters the game for A. Horford
2:22.0,,,83-70,,J. Jerebko misses 2-pt shot from 3 ft (block by L. Nogueira)
2:21.0,Defensive rebound by T. Ross,,83-70,,
2:20.0,Turnover by T. Ross (step out of bounds),,83-70,,
2:12.0,,,83-70,,T. Zeller misses 2-pt shot from 18 ft
2:11.0,Defensive rebound by J. Sullinger,,83-70,,
2:04.0,Turnover by D. Carroll (step out of bounds),,83-70,,
1:52.0,,,83-70,,Shooting foul by J. Sullinger (drawn by J. Brown)
1:52.0,,,83-70,,J. Brown misses free throw 1 of 2
1:52.0,,,83-70,,Offensive rebound by Team
1:52.0,,,83-71,1,J. Brown makes free throw 2 of 2
1:52.0,J. Valanciunas enters the game for L. Nogueira,,83-70,,
1:52.0,,,83-70,,M. Smart enters the game for J. Crowder
1:36.0,J. Sullinger misses 3-pt shot from 25 ft,,83-71,,
1:35.0,,,83-71,,Defensive rebound by J. Jerebko
1:26.0,,,83-74,3,J. Jerebko makes 3-pt shot from 26 ft (assist by M. Smart)
1:01.0,C. Joseph misses 2-pt shot from 4 ft,,83-74,,
1:01.0,Offensive rebound by J. Sullinger,,83-74,,
0:58.0,J. Sullinger misses 2-pt shot from 2 ft (block by J. Jerebko),,83-74,,
0:58.0,,,83-74,,Defensive rebound by T. Rozier
0:52.0,,,83-74,,M. Smart misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by J. Sullinger,,83-74,,
0:33.0,C. Joseph makes 2-pt shot from 3 ft,2,85-74,,
0:14.0,,,85-77,3,T. Rozier makes 3-pt shot from 25 ft (assist by J. Jerebko)
0:00.0,T. Ross misses 3-pt shot from 35 ft,,85-77,,
0:00.0,Offensive rebound by Team,,85-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,Turnover by K. Lowry (bad pass; steal by M. Smart),,85-77,,
11:30.0,,,85-79,2,M. Smart makes 2-pt shot from 1 ft
11:15.0,T. Ross makes 2-pt shot at rim,2,87-79,,
10:49.0,Personal foul by L. Nogueira (drawn by T. Zeller),,87-79,,
10:41.0,Personal foul by C. Joseph (drawn by M. Smart),,87-79,,
10:41.0,Inbound foul by T. Ross,,87-79,,
10:41.0,,,87-80,1,I. Thomas makes free throw 1 of 1
10:41.0,,,87-79,,I. Thomas enters the game for J. Jerebko
10:34.0,,,87-82,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
10:18.0,Shooting foul by T. Zeller (drawn by K. Lowry),,87-82,,
10:18.0,K. Lowry makes free throw 1 of 2,1,88-82,,
10:18.0,K. Lowry makes free throw 2 of 2,1,89-82,,
10:18.0,N. Powell enters the game for P. Patterson,,88-82,,
10:03.0,,,89-82,,M. Smart misses 2-pt shot from 7 ft
10:01.0,Defensive rebound by T. Ross,,89-82,,
9:39.0,C. Joseph misses 2-pt shot from 5 ft,,89-82,,
9:38.0,,,89-82,,Defensive rebound by T. Zeller
9:37.0,Personal foul by K. Lowry (drawn by I. Thomas),,89-82,,
9:24.0,,,89-82,,T. Rozier misses 3-pt shot from 24 ft
9:23.0,,,89-82,,Offensive rebound by T. Zeller
9:04.0,,,89-82,,T. Rozier misses 2-pt shot from 20 ft
9:03.0,,,89-82,,Offensive rebound by Team
9:00.0,,,89-82,,I. Thomas misses 3-pt shot from 23 ft
8:59.0,,,89-82,,Offensive rebound by T. Rozier
8:56.0,,,89-82,,T. Rozier misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by L. Nogueira,,89-82,,
8:43.0,Offensive charge foul by T. Ross,,89-82,,
8:43.0,Turnover by T. Ross (offensive foul),,89-82,,
8:43.0,Official timeout,,89-82,,
8:43.0,J. Valanciunas enters the game for L. Nogueira,,89-82,,
8:43.0,D. Carroll enters the game for T. Ross,,89-82,,
8:26.0,,,89-82,,J. Brown misses 2-pt shot from 3 ft (block by J. Valanciunas)
8:25.0,,,89-82,,Offensive rebound by Team
8:19.0,,,89-82,,I. Thomas misses 3-pt shot from 25 ft
8:18.0,,,89-82,,Offensive rebound by Team
8:18.0,,,89-82,,Turnover by Team (shot clock)
8:01.0,D. Carroll misses 2-pt shot from 2 ft,,89-82,,
8:00.0,Offensive rebound by Team,,89-82,,
7:53.0,K. Lowry misses 3-pt shot from 25 ft,,89-82,,
7:52.0,,,89-82,,Defensive rebound by T. Zeller
7:44.0,,,89-82,,Offensive charge foul by M. Smart
7:44.0,,,89-82,,Turnover by M. Smart (offensive foul)
7:29.0,C. Joseph misses 2-pt shot from 3 ft (block by T. Zeller),,89-82,,
7:28.0,,,89-82,,Defensive rebound by T. Rozier
7:26.0,,,89-82,,Shooting foul by K. Lowry (drawn by J. Brown)
7:26.0,,,89-82,,Technical foul by T. Rozier
7:26.0,Technical foul by D. Carroll,,89-82,,
7:26.0,,,89-83,1,J. Brown makes free throw 1 of 2
7:26.0,,,89-84,1,J. Brown makes free throw 2 of 2
7:05.0,K. Lowry makes 2-pt shot from 12 ft (assist by J. Valanciunas),2,91-84,,
6:50.0,,,91-86,2,J. Brown makes 2-pt shot at rim (assist by T. Zeller)
6:22.0,K. Lowry makes 3-pt shot from 26 ft,3,94-86,,
6:11.0,,,94-88,2,I. Thomas makes 2-pt shot from 1 ft
5:52.0,Offensive foul by C. Joseph,,94-88,,
5:52.0,Turnover by C. Joseph (offensive foul),,94-88,,
5:52.0,,,94-88,,Boston full timeout
5:52.0,,,94-88,,A. Horford enters the game for T. Zeller
5:52.0,,,94-88,,J. Crowder enters the game for M. Smart
