time,Utah,pts.away,score,pts.home,LA Lakers
3:09.0,R. Neto enters the game for S. Mack,,20-15,,
3:04.0,,,20-15,,B. Ingram misses 2-pt shot from 2 ft (block by G. Hayward)
3:00.0,Defensive rebound by J. Ingles,,20-15,,
2:44.0,J. Ingles makes 2-pt shot from 1 ft,2,22-15,,
2:30.0,,,22-17,2,T. Robinson makes 2-pt shot at rim (assist by B. Ingram)
2:15.0,G. Hayward makes 2-pt shot from 15 ft,2,24-17,,
2:04.0,,,24-17,,L. Deng misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by R. Neto,,24-17,,
1:51.0,Turnover by B. Diaw (bad pass; steal by L. Deng),,24-17,,
1:47.0,,,24-19,2,L. Deng makes 2-pt shot from 1 ft
1:34.0,G. Hayward misses 2-pt shot from 16 ft,,24-19,,
1:31.0,,,24-19,,Defensive rebound by L. Deng
1:26.0,,,24-21,2,J. Clarkson makes 2-pt shot from 11 ft
1:14.0,R. Neto makes 2-pt shot from 2 ft,2,26-21,,
0:55.0,,,26-23,2,B. Ingram makes 2-pt shot from 10 ft
0:46.0,,,26-23,,Personal foul by B. Ingram (drawn by G. Hayward)
0:46.0,R. Hood enters the game for J. Ingles,,26-23,,
0:46.0,D. Favors enters the game for R. Gobert,,26-23,,
0:46.0,J. Johnson enters the game for G. Hayward,,26-23,,
0:33.0,B. Diaw misses 3-pt shot from 25 ft,,26-23,,
0:32.0,,,26-23,,Defensive rebound by T. Robinson
0:24.0,,,26-23,,Shooting foul by D. Favors
0:24.0,,,26-24,1,L. Williams makes free throw 1 of 2
0:24.0,,,26-25,1,L. Williams makes free throw 2 of 2
0:02.0,J. Johnson makes 2-pt shot from 5 ft,2,28-25,,
0:01.0,,,28-25,,L. Deng misses 3-pt shot from 56 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-25,,L. Williams misses 2-pt shot from 1 ft (block by J. Johnson)
11:44.0,Defensive rebound by R. Hood,,28-25,,
11:41.0,R. Hood misses 2-pt shot from 3 ft (block by L. Deng),,28-25,,
11:39.0,,,28-25,,Defensive rebound by B. Ingram
11:39.0,Personal foul by R. Neto (drawn by B. Ingram),,28-25,,
11:28.0,,,28-27,2,T. Robinson makes 2-pt shot from 14 ft (assist by J. Clarkson)
11:20.0,,,28-27,,Personal foul by T. Robinson (drawn by D. Favors)
11:14.0,R. Neto misses 3-pt shot from 25 ft,,28-27,,
11:13.0,Offensive rebound by D. Favors,,28-27,,
10:51.0,B. Diaw makes 3-pt shot from 25 ft (assist by R. Neto),3,31-27,,
10:31.0,,,31-27,,Turnover by J. Clarkson (bad pass; steal by R. Neto)
10:28.0,Turnover by J. Johnson (lost ball; steal by T. Robinson),,31-27,,
10:22.0,,,31-27,,J. Clarkson misses 3-pt shot from 26 ft
10:18.0,,,31-27,,Offensive rebound by T. Robinson
10:18.0,,,31-29,2,T. Robinson makes 2-pt shot at rim
10:09.0,Offensive charge foul by B. Diaw,,31-29,,
10:09.0,Turnover by B. Diaw (offensive foul),,31-29,,
10:09.0,T. Lyles enters the game for B. Diaw,,31-29,,
9:59.0,,,31-29,,J. Clarkson misses 2-pt shot from 6 ft
9:54.0,,,31-29,,Offensive rebound by J. Clarkson
9:50.0,,,31-29,,Turnover by Team (back court)
9:50.0,S. Mack enters the game for R. Neto,,31-29,,
9:36.0,Turnover by J. Johnson (traveling),,31-29,,
9:25.0,,,31-29,,B. Ingram misses 2-pt shot from 13 ft
9:22.0,,,31-29,,Offensive rebound by Team
9:16.0,,,31-29,,J. Clarkson misses 2-pt shot from 1 ft
9:14.0,,,31-29,,Offensive rebound by J. Clarkson
9:14.0,,,31-31,2,J. Clarkson makes 2-pt shot at rim
8:56.0,Turnover by S. Mack (bad pass),,31-31,,
8:56.0,Official timeout,,31-31,,
8:47.0,,,31-31,,Shooting foul by S. Mack
8:47.0,,,31-32,1,L. Williams makes free throw 1 of 2
8:47.0,,,31-33,1,L. Williams makes free throw 2 of 2
8:30.0,J. Johnson misses 3-pt shot from 24 ft,,31-33,,
8:28.0,,,31-33,,Defensive rebound by L. Deng
8:20.0,,,31-33,,Turnover by L. Williams (bad pass)
8:20.0,,,31-33,,N. Young enters the game for L. Deng
8:07.0,J. Johnson misses 2-pt shot from 19 ft,,31-33,,
8:05.0,Offensive rebound by D. Favors,,31-33,,
7:58.0,S. Mack makes 2-pt shot at rim (assist by J. Johnson),2,33-33,,
7:58.0,Shooting foul by L. Williams (drawn by S. Mack),,33-33,,
7:58.0,S. Mack makes free throw 1 of 1,1,34-33,,
7:35.0,,,34-35,2,J. Clarkson makes 2-pt shot from 1 ft
7:20.0,S. Mack misses 3-pt shot from 25 ft,,34-35,,
7:19.0,,,34-35,,Defensive rebound by J. Clarkson
6:59.0,,,34-37,2,T. Robinson makes 2-pt shot from 1 ft (assist by B. Ingram)
6:59.0,Utah full timeout,,34-37,,
6:59.0,G. Hayward enters the game for D. Favors,,34-37,,
6:59.0,R. Gobert enters the game for J. Johnson,,34-37,,
6:59.0,,,34-37,,J. Randle enters the game for B. Ingram
6:59.0,,,34-37,,T. Mozgov enters the game for T. Robinson
6:35.0,Turnover by Team (shot clock),,34-37,,
6:21.0,,,34-39,2,J. Clarkson makes 2-pt shot from 1 ft
6:06.0,G. Hayward makes 2-pt shot from 5 ft,2,36-39,,
5:55.0,,,36-39,,L. Williams misses 2-pt shot from 1 ft
5:54.0,Defensive rebound by T. Lyles,,36-39,,
5:43.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,38-39,,
5:27.0,,,38-39,,L. Williams misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by T. Lyles,,38-39,,
5:13.0,R. Hood misses 3-pt shot from 24 ft,,38-39,,
5:12.0,Offensive rebound by R. Gobert,,38-39,,
5:04.0,Shooting foul by L. Williams (drawn by S. Mack),,38-39,,
5:04.0,S. Mack misses free throw 1 of 2,,38-39,,
5:04.0,Offensive rebound by Team,,38-39,,
5:04.0,S. Mack misses free throw 2 of 2,,38-39,,
5:04.0,J. Ingles enters the game for R. Hood,,38-39,,
5:04.0,B. Diaw enters the game for T. Lyles,,38-39,,
5:04.0,,,38-39,,D. Russell enters the game for L. Williams
5:03.0,,,38-39,,Defensive rebound by J. Randle
4:47.0,,,38-41,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
4:36.0,B. Diaw makes 2-pt shot from 1 ft (assist by S. Mack),2,40-41,,
4:20.0,,,40-41,,T. Mozgov misses 2-pt shot from 1 ft (block by R. Gobert)
4:20.0,,,40-41,,B. Ingram enters the game for J. Clarkson
4:20.0,R. Neto enters the game for S. Mack,,40-41,,
4:18.0,Jump ball: R. Gobert vs. T. Mozgov (R. Neto gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (R. Neto gains possession)
4:18.0,Defensive rebound by R. Gobert,,40-41,,
4:09.0,B. Diaw makes 3-pt shot from 26 ft (assist by R. Neto),3,43-41,,
3:45.0,,,43-41,,N. Young misses 3-pt shot from 26 ft
3:44.0,Defensive rebound by G. Hayward,,43-41,,
3:26.0,G. Hayward misses 2-pt shot from 21 ft,,43-41,,
3:24.0,,,43-41,,Defensive rebound by N. Young
3:19.0,,,43-41,,Shooting foul by R. Gobert (drawn by J. Randle)
3:19.0,,,43-42,1,J. Randle makes free throw 1 of 2
3:19.0,,,43-42,,J. Randle misses free throw 2 of 2
3:17.0,,,43-42,,Offensive rebound by J. Randle
3:11.0,,,43-44,2,N. Young makes 2-pt shot from 17 ft (assist by J. Randle)
2:54.0,,,43-44,,Personal foul by D. Russell (drawn by R. Gobert)
2:54.0,,,43-44,,LA Lakers full timeout
2:54.0,S. Mack enters the game for R. Neto,,43-44,,
2:49.0,,,43-44,,Inbound foul by D. Russell
2:49.0,G. Hayward makes free throw 1 of 1,1,44-44,,
2:43.0,B. Diaw misses 2-pt shot from 19 ft,,44-44,,
2:41.0,,,44-44,,Defensive rebound by J. Randle
2:37.0,,,44-44,,D. Russell misses 3-pt shot from 26 ft
2:36.0,,,44-44,,Offensive rebound by T. Mozgov
2:22.0,,,44-44,,T. Mozgov misses 2-pt shot from 19 ft
2:20.0,Defensive rebound by R. Gobert,,44-44,,
2:09.0,Turnover by B. Diaw (bad pass),,44-44,,
2:09.0,R. Hood enters the game for J. Ingles,,44-44,,
1:56.0,,,44-44,,N. Young misses 2-pt shot from 21 ft
1:54.0,Defensive rebound by G. Hayward,,44-44,,
1:44.0,G. Hayward makes 3-pt shot from 26 ft,3,47-44,,
1:34.0,,,47-44,,Shooting foul by R. Hood (drawn by T. Mozgov)
1:34.0,,,47-45,1,T. Mozgov makes free throw 1 of 2
1:34.0,,,47-46,1,T. Mozgov makes free throw 2 of 2
1:19.0,R. Hood misses 2-pt shot from 21 ft,,47-46,,
1:18.0,,,47-46,,Defensive rebound by B. Ingram
1:03.0,,,47-48,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
0:47.0,Turnover by R. Gobert (bad pass; steal by T. Mozgov),,47-48,,
0:38.0,,,47-48,,N. Young misses 3-pt shot from 25 ft
0:37.0,,,47-48,,Offensive rebound by J. Randle
0:34.0,,,47-50,2,J. Randle makes 2-pt shot from 5 ft
0:14.0,Shooting foul by B. Ingram (drawn by R. Gobert),,47-50,,
0:14.0,R. Gobert makes free throw 1 of 2,1,48-50,,
0:14.0,R. Gobert misses free throw 2 of 2,,48-50,,
0:14.0,,,48-50,,L. Deng enters the game for T. Mozgov
0:14.0,J. Ingles enters the game for B. Diaw,,48-50,,
0:13.0,,,48-50,,Defensive rebound by J. Randle
0:02.0,,,48-52,2,D. Russell makes 2-pt shot from 6 ft
0:01.0,R. Gobert misses 3-pt shot from 45 ft,,48-52,,
0:00.0,Offensive rebound by Team,,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,48-52,,D. Russell misses 2-pt shot from 15 ft
11:40.0,,,48-52,,Offensive rebound by L. Deng
11:36.0,,,48-52,,N. Young misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by G. Hayward,,48-52,,
11:18.0,Turnover by R. Hood (traveling),,48-52,,
11:01.0,,,48-52,,L. Deng misses 2-pt shot from 8 ft
10:59.0,,,48-52,,Offensive rebound by J. Randle
10:50.0,,,48-52,,Turnover by D. Russell (lost ball)
10:37.0,,,48-52,,Personal foul by T. Mozgov (drawn by R. Gobert)
10:23.0,D. Favors misses 2-pt shot at rim,,48-52,,
10:23.0,Offensive rebound by R. Gobert,,48-52,,
10:23.0,Turnover by R. Gobert (traveling),,48-52,,
10:07.0,,,48-52,,D. Russell misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by D. Favors,,48-52,,
9:57.0,Turnover by S. Mack (bad pass; steal by N. Young),,48-52,,
9:47.0,,,48-52,,Turnover by N. Young (lost ball; steal by R. Gobert)
9:43.0,Turnover by R. Gobert (bad pass; steal by N. Young),,48-52,,
9:40.0,,,48-52,,Turnover by L. Deng (step out of bounds)
9:23.0,S. Mack makes 2-pt shot from 19 ft,2,50-52,,
9:09.0,,,50-52,,Turnover by J. Randle (offensive foul)
9:09.0,,,50-52,,Offensive foul by J. Randle
8:58.0,Turnover by R. Gobert (bad pass),,50-52,,
8:46.0,,,50-52,,L. Deng misses 2-pt shot from 19 ft
8:45.0,Defensive rebound by D. Favors,,50-52,,
8:36.0,Turnover by S. Mack (lost ball; steal by T. Mozgov),,50-52,,
8:31.0,,,50-52,,Shooting foul by D. Favors (drawn by J. Randle)
8:31.0,,,50-53,1,J. Randle makes free throw 1 of 2
8:31.0,,,50-54,1,J. Randle makes free throw 2 of 2
8:31.0,J. Ingles enters the game for S. Mack,,50-53,,
8:16.0,R. Hood misses 2-pt shot from 10 ft,,50-54,,
8:15.0,Offensive rebound by R. Gobert,,50-54,,
8:15.0,,,50-54,,Personal foul by J. Randle (drawn by R. Gobert)
8:04.0,D. Favors misses 2-pt shot from 1 ft (block by T. Mozgov),,50-54,,
8:02.0,Offensive rebound by R. Gobert,,50-54,,
8:02.0,Turnover by R. Gobert (offensive goaltending),,50-54,,
7:50.0,,,50-56,2,N. Young makes 2-pt shot from 19 ft (assist by T. Mozgov)
7:35.0,Shooting foul by N. Young (drawn by G. Hayward),,50-56,,
7:35.0,G. Hayward makes free throw 1 of 2,1,51-56,,
7:35.0,G. Hayward misses free throw 2 of 2,,51-56,,
7:33.0,Offensive rebound by G. Hayward,,51-56,,
7:29.0,Shooting foul by N. Young (drawn by D. Favors),,51-56,,
7:29.0,D. Favors makes free throw 1 of 2,1,52-56,,
7:29.0,D. Favors makes free throw 2 of 2,1,53-56,,
7:16.0,,,53-58,2,J. Randle makes 2-pt shot from 6 ft (assist by L. Deng)
7:03.0,G. Hayward makes 2-pt shot at rim (assist by D. Favors),2,55-58,,
6:55.0,Personal foul by J. Ingles (drawn by L. Deng),,55-58,,
6:55.0,R. Neto enters the game for R. Hood,,55-58,,
6:52.0,Violation by R. Gobert (kicked ball),,55-58,,
6:44.0,,,55-58,,D. Russell misses 2-pt shot from 2 ft (block by R. Gobert)
6:43.0,Defensive rebound by R. Neto,,55-58,,
6:34.0,,,55-58,,Personal foul by L. Deng (drawn by G. Hayward)
6:34.0,G. Hayward makes free throw 1 of 2,1,56-58,,
6:34.0,G. Hayward makes free throw 2 of 2,1,57-58,,
6:34.0,B. Diaw enters the game for D. Favors,,56-58,,
6:18.0,,,57-58,,D. Russell misses 2-pt shot from 17 ft
6:14.0,Defensive rebound by G. Hayward,,57-58,,
6:03.0,J. Ingles makes 3-pt shot from 25 ft (assist by B. Diaw),3,60-58,,
6:01.0,,,60-58,,LA Lakers full timeout
5:47.0,Personal foul by R. Gobert (drawn by T. Mozgov),,60-58,,
5:33.0,,,60-58,,L. Deng misses 2-pt shot from 1 ft
5:33.0,,,60-58,,Offensive rebound by Team
5:22.0,,,60-58,,B. Ingram enters the game for N. Young
5:22.0,,,60-58,,J. Clarkson enters the game for L. Deng
5:10.0,,,60-58,,B. Ingram misses 2-pt shot from 3 ft
5:10.0,,,60-58,,Offensive rebound by T. Mozgov
5:10.0,,,60-58,,T. Mozgov misses 2-pt shot from 1 ft
5:10.0,,,60-58,,Offensive rebound by J. Randle
5:10.0,,,60-58,,Shooting foul by R. Neto (drawn by J. Randle)
5:10.0,,,60-59,1,J. Randle makes free throw 1 of 2
5:10.0,,,60-60,1,J. Randle makes free throw 2 of 2
4:57.0,G. Hayward makes 2-pt shot from 14 ft (assist by R. Neto),2,62-60,,
4:44.0,Personal foul by R. Gobert (drawn by T. Mozgov),,62-60,,
4:44.0,,,62-60,,T. Mozgov misses free throw 1 of 2
4:44.0,,,62-60,,Offensive rebound by Team
4:44.0,,,62-61,1,T. Mozgov makes free throw 2 of 2
4:35.0,Shooting foul by T. Mozgov (drawn by G. Hayward),,62-61,,
4:35.0,G. Hayward makes free throw 1 of 2,1,63-61,,
4:35.0,G. Hayward makes free throw 2 of 2,1,64-61,,
4:22.0,,,64-61,,L. Williams enters the game for D. Russell
4:12.0,,,64-61,,L. Williams misses 2-pt shot from 3 ft
4:09.0,,,64-61,,Offensive rebound by T. Mozgov
4:02.0,,,64-63,2,J. Randle makes 2-pt shot from 2 ft
3:43.0,B. Diaw misses 2-pt shot from 17 ft,,64-63,,
3:40.0,Offensive rebound by G. Hayward,,64-63,,
3:25.0,B. Diaw misses 3-pt shot from 26 ft,,64-63,,
3:24.0,,,64-63,,Defensive rebound by J. Randle
3:12.0,,,64-63,,J. Clarkson misses 2-pt shot from 6 ft
3:12.0,Defensive rebound by Team,,64-63,,
3:12.0,,,64-63,,Loose ball foul by T. Mozgov (drawn by R. Gobert)
3:12.0,R. Gobert makes free throw 1 of 2,1,65-63,,
3:12.0,R. Gobert makes free throw 2 of 2,1,66-63,,
3:12.0,J. Johnson enters the game for G. Hayward,,65-63,,
2:59.0,,,66-63,,Turnover by L. Williams (bad pass; steal by J. Ingles)
2:55.0,J. Ingles makes 2-pt shot at rim (assist by B. Diaw),2,68-63,,
2:32.0,,,68-63,,Turnover by B. Ingram (step out of bounds)
2:32.0,Utah full timeout,,68-63,,
2:32.0,D. Favors enters the game for R. Gobert,,68-63,,
2:32.0,,,68-63,,T. Robinson enters the game for J. Randle
2:32.0,,,68-63,,L. Deng enters the game for T. Mozgov
2:21.0,J. Ingles misses 3-pt shot from 25 ft,,68-63,,
2:20.0,,,68-63,,Defensive rebound by L. Williams
2:00.0,,,68-66,3,L. Williams makes 3-pt shot from 25 ft
1:38.0,R. Neto misses 3-pt shot from 24 ft,,68-66,,
1:36.0,,,68-66,,Defensive rebound by L. Deng
1:26.0,,,68-68,2,L. Williams makes 2-pt shot from 5 ft
1:15.0,Shooting foul by T. Robinson (drawn by D. Favors),,68-68,,
1:15.0,D. Favors makes free throw 1 of 2,1,69-68,,
1:15.0,D. Favors makes free throw 2 of 2,1,70-68,,
1:02.0,,,70-70,2,L. Williams makes 2-pt shot from 15 ft
0:44.0,D. Favors misses 2-pt shot from 2 ft,,70-70,,
0:42.0,,,70-70,,Defensive rebound by T. Robinson
0:34.0,,,70-72,2,T. Robinson makes 2-pt shot from 1 ft (assist by L. Williams)
0:18.0,R. Neto makes 2-pt shot from 3 ft,2,72-72,,
0:06.0,,,72-72,,Shooting foul by J. Ingles
0:06.0,,,72-73,1,L. Williams makes free throw 1 of 2
0:06.0,,,72-74,1,L. Williams makes free throw 2 of 2
0:02.0,R. Neto misses 2-pt shot from 23 ft,,72-74,,
0:00.0,Offensive rebound by Team,,72-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Johnson misses 2-pt shot from 8 ft,,72-74,,
11:44.0,Offensive rebound by D. Favors,,72-74,,
11:44.0,D. Favors makes 2-pt shot from 2 ft,2,74-74,,
11:27.0,,,74-74,,L. Williams misses 2-pt shot from 11 ft
11:25.0,Defensive rebound by T. Lyles,,74-74,,
11:10.0,Turnover by S. Mack (bad pass; steal by J. Clarkson),,74-74,,
11:05.0,,,74-76,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson)
10:46.0,,,74-76,,Personal foul by B. Ingram (drawn by J. Johnson)
10:38.0,J. Johnson makes 2-pt shot from 17 ft,2,76-76,,
10:21.0,,,76-76,,T. Robinson misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by T. Lyles,,76-76,,
10:10.0,S. Mack makes 2-pt shot from 16 ft,2,78-76,,
9:52.0,Personal foul by D. Favors,,78-76,,
9:40.0,,,78-76,,Turnover by B. Ingram (bad pass; steal by D. Favors)
9:34.0,R. Hood makes 2-pt shot from 1 ft (assist by T. Lyles),2,80-76,,
9:34.0,,,80-76,,LA Lakers full timeout
9:34.0,R. Gobert enters the game for D. Favors,,80-76,,
9:23.0,,,80-78,2,L. Williams makes 2-pt shot from 1 ft (assist by L. Deng)
9:05.0,,,80-78,,Personal foul by J. Clarkson (drawn by R. Gobert)
8:56.0,R. Hood misses 2-pt shot from 18 ft,,80-78,,
8:55.0,,,80-78,,Defensive rebound by L. Deng
8:46.0,,,80-78,,Turnover by T. Robinson (bad pass; steal by J. Johnson)
8:40.0,J. Johnson makes 2-pt shot at rim (assist by S. Mack),2,82-78,,
8:20.0,Personal foul by T. Lyles (drawn by L. Deng),,82-78,,
8:13.0,,,82-78,,L. Deng misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by T. Lyles,,82-78,,
8:04.0,J. Johnson makes 2-pt shot from 7 ft,2,84-78,,
7:50.0,,,84-80,2,J. Clarkson makes 2-pt shot from 6 ft
7:33.0,J. Johnson makes 2-pt shot from 8 ft (assist by T. Lyles),2,86-80,,
7:05.0,G. Hayward enters the game for R. Hood,,86-80,,
7:01.0,,,86-82,2,J. Clarkson makes 2-pt shot from 13 ft (assist by L. Williams)
6:38.0,S. Mack misses 3-pt shot from 24 ft,,86-82,,
6:37.0,Offensive rebound by G. Hayward,,86-82,,
6:23.0,J. Johnson misses 2-pt shot from 4 ft (block by J. Clarkson),,86-82,,
6:21.0,Offensive rebound by T. Lyles,,86-82,,
6:19.0,Shooting foul by J. Clarkson (drawn by R. Gobert),,86-82,,
6:19.0,R. Gobert misses free throw 1 of 2,,86-82,,
6:19.0,Offensive rebound by Team,,86-82,,
6:19.0,R. Gobert makes free throw 2 of 2,1,87-82,,
6:19.0,,,86-82,,T. Mozgov enters the game for T. Robinson
6:19.0,,,86-82,,J. Randle enters the game for L. Deng
6:06.0,,,87-82,,Shooting foul by J. Johnson (drawn by B. Ingram)
6:06.0,,,87-83,1,B. Ingram makes free throw 1 of 2
6:06.0,,,87-83,,B. Ingram misses free throw 2 of 2
6:04.0,Defensive rebound by R. Gobert,,87-83,,
5:58.0,Utah full timeout,,87-83,,
5:58.0,J. Ingles enters the game for J. Johnson,,87-83,,
5:45.0,R. Gobert misses 2-pt shot from 4 ft,,87-83,,
5:43.0,,,87-83,,Defensive rebound by L. Williams
5:37.0,,,87-86,3,L. Williams makes 3-pt shot from 27 ft (assist by J. Randle)
5:09.0,T. Lyles makes 3-pt shot from 23 ft (assist by J. Ingles),3,90-86,,
4:42.0,,,90-89,3,J. Randle makes 3-pt shot from 26 ft
4:19.0,G. Hayward misses 2-pt shot from 19 ft,,90-89,,
4:16.0,,,90-89,,Defensive rebound by J. Clarkson
4:12.0,,,90-91,2,L. Williams makes 2-pt shot from 5 ft
4:12.0,Utah full timeout,,90-91,,
4:12.0,B. Diaw enters the game for T. Lyles,,90-91,,
4:12.0,,,90-91,,D. Russell enters the game for J. Clarkson
4:00.0,G. Hayward makes 2-pt shot at rim,2,92-91,,
3:48.0,,,92-91,,Shooting foul by B. Diaw
3:48.0,,,92-92,1,L. Williams makes free throw 1 of 2
3:48.0,,,92-93,1,L. Williams makes free throw 2 of 2
3:48.0,,,92-92,,L. Deng enters the game for T. Mozgov
3:33.0,G. Hayward misses 3-pt shot from 26 ft,,92-93,,
3:31.0,,,92-93,,Defensive rebound by J. Randle
3:12.0,,,92-93,,L. Williams misses 3-pt shot from 25 ft
3:08.0,,,92-93,,Offensive rebound by J. Randle
3:08.0,,,92-93,,J. Randle misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by R. Gobert,,92-93,,
2:58.0,J. Ingles makes 3-pt shot from 26 ft (assist by G. Hayward),3,95-93,,
2:30.0,,,95-95,2,D. Russell makes 2-pt shot from 22 ft
2:12.0,Shooting foul by B. Ingram (drawn by G. Hayward),,95-95,,
2:12.0,G. Hayward makes free throw 1 of 2,1,96-95,,
2:12.0,,,96-95,,LA Lakers full timeout
2:12.0,G. Hayward makes free throw 2 of 2,1,97-95,,
1:58.0,,,97-97,2,J. Randle makes 2-pt shot from 6 ft (assist by L. Williams)
1:33.0,B. Diaw misses 2-pt shot from 20 ft,,97-97,,
1:32.0,,,97-97,,Defensive rebound by D. Russell
1:09.0,,,97-99,2,J. Randle makes 2-pt shot from 4 ft (assist by D. Russell)
1:09.0,Utah full timeout,,97-99,,
