time,Minnesota,pts.away,score,pts.home,Portland
5:01.0,,,63-77,,A. Crabbe enters the game for C. McCollum
5:01.0,O. Casspi enters the game for K. Towns,,63-77,,
5:01.0,K. Dunn enters the game for B. Rush,,63-77,,
5:00.0,,,63-77,,Defensive rebound by J. Nurkic
4:51.0,,,63-77,,D. Lillard misses 2-pt shot from 3 ft (block by G. Dieng)
4:48.0,Defensive rebound by K. Dunn,,63-77,,
4:43.0,R. Rubio makes 2-pt shot from 20 ft (assist by A. Wiggins),2,65-77,,
4:27.0,,,65-77,,J. Nurkic misses 2-pt shot from 10 ft
4:26.0,,,65-77,,Offensive rebound by M. Harkless
4:26.0,,,65-79,2,M. Harkless makes 2-pt shot from 1 ft
4:09.0,,,65-79,,A. Aminu enters the game for J. Nurkic
4:03.0,R. Rubio makes 2-pt shot from 15 ft,2,67-79,,
3:39.0,,,67-82,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Harkless)
3:23.0,R. Rubio misses 2-pt shot from 18 ft,,67-82,,
3:21.0,,,67-82,,Defensive rebound by A. Crabbe
3:03.0,,,67-85,3,A. Crabbe makes 3-pt shot from 24 ft (assist by N. Vonleh)
2:46.0,Shooting foul by A. Aminu (drawn by A. Wiggins),,67-85,,
2:46.0,,,67-85,,Portland full timeout
2:46.0,A. Wiggins makes free throw 1 of 2,1,68-85,,
2:46.0,A. Wiggins misses free throw 2 of 2,,68-85,,
2:46.0,T. Jones enters the game for R. Rubio,,67-85,,
2:44.0,,,68-85,,Defensive rebound by A. Aminu
2:33.0,,,68-85,,Turnover by D. Lillard (bad pass; steal by G. Dieng)
2:28.0,Shooting foul by N. Vonleh (drawn by G. Dieng),,68-85,,
2:28.0,G. Dieng makes free throw 1 of 2,1,69-85,,
2:28.0,G. Dieng makes free throw 2 of 2,1,70-85,,
2:28.0,,,69-85,,E. Turner enters the game for N. Vonleh
2:12.0,,,70-87,2,D. Lillard makes 2-pt shot from 14 ft
1:51.0,O. Casspi misses 3-pt shot from 23 ft,,70-87,,
1:50.0,,,70-87,,Defensive rebound by D. Lillard
1:42.0,Personal foul by K. Dunn (drawn by D. Lillard),,70-87,,
1:30.0,,,70-89,2,A. Aminu makes 2-pt shot from 2 ft
1:14.0,Turnover by T. Jones (bad pass; steal by A. Aminu),,70-89,,
1:03.0,,,70-91,2,M. Harkless makes 2-pt shot from 2 ft
0:46.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Dunn),2,72-91,,
0:35.0,,,72-94,3,D. Lillard makes 3-pt shot from 28 ft
0:11.0,A. Wiggins misses 2-pt shot from 18 ft,,72-94,,
0:10.0,Offensive rebound by K. Dunn,,72-94,,
0:09.0,K. Dunn makes 2-pt shot from 1 ft,2,74-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Jump ball: K. Dunn vs. E. Turner (C. McCollum gains possession),,,,Jump ball: K. Dunn vs. E. Turner (C. McCollum gains possession)
11:34.0,,,74-96,2,C. McCollum makes 2-pt shot from 1 ft
11:12.0,K. Dunn makes 3-pt shot from 25 ft,3,77-96,,
10:50.0,,,77-99,3,M. Leonard makes 3-pt shot from 25 ft (assist by E. Turner)
10:43.0,,,77-99,,Personal foul by M. Leonard (drawn by K. Towns)
10:33.0,Shooting foul by M. Leonard (drawn by K. Towns),,77-99,,
10:33.0,K. Towns makes free throw 1 of 2,1,78-99,,
10:33.0,K. Towns makes free throw 2 of 2,1,79-99,,
10:17.0,,,79-99,,E. Turner misses 2-pt shot from 13 ft
10:16.0,Defensive rebound by Team,,79-99,,
10:08.0,K. Towns misses 3-pt shot from 26 ft,,79-99,,
10:07.0,,,79-99,,Defensive rebound by A. Aminu
9:57.0,,,79-99,,Turnover by A. Aminu (lost ball; steal by T. Jones)
9:53.0,K. Dunn makes 2-pt shot from 1 ft (assist by T. Jones),2,81-99,,
9:52.0,,,81-99,,Portland full timeout
9:36.0,,,81-99,,Turnover by A. Crabbe (bad pass; steal by K. Dunn)
9:31.0,S. Muhammad misses 2-pt shot from 2 ft,,81-99,,
9:30.0,,,81-99,,Defensive rebound by C. McCollum
9:26.0,,,81-101,2,A. Crabbe makes 2-pt shot from 17 ft (assist by C. McCollum)
9:03.0,T. Jones misses 2-pt shot from 10 ft (block by A. Crabbe),,81-101,,
9:00.0,,,81-101,,Defensive rebound by A. Crabbe
8:47.0,,,81-101,,Shooting foul by K. Dunn
8:47.0,,,81-102,1,C. McCollum makes free throw 1 of 2
8:47.0,,,81-103,1,C. McCollum makes free throw 2 of 2
8:41.0,Turnover by K. Towns (lost ball),,81-103,,
8:28.0,Violation by K. Dunn (kicked ball),,81-103,,
8:18.0,,,81-103,,Turnover by C. McCollum (lost ball; steal by K. Dunn)
8:03.0,O. Casspi misses 3-pt shot from 28 ft,,81-103,,
8:03.0,,,81-103,,Defensive rebound by C. McCollum
7:48.0,,,81-105,2,E. Turner makes 2-pt shot from 2 ft (assist by M. Leonard)
7:48.0,Minnesota full timeout,,81-105,,
7:48.0,G. Dieng enters the game for K. Towns,,81-105,,
7:48.0,A. Payne enters the game for O. Casspi,,81-105,,
7:28.0,T. Jones misses 2-pt shot from 17 ft,,81-105,,
7:26.0,,,81-105,,Defensive rebound by E. Turner
7:13.0,,,81-105,,Shooting foul by A. Payne (drawn by A. Aminu)
7:13.0,,,81-105,,A. Aminu misses free throw 1 of 2
7:13.0,,,81-105,,Offensive rebound by Team
7:13.0,,,81-105,,A. Aminu misses free throw 2 of 2
7:13.0,,,81-105,,S. Napier enters the game for C. McCollum
7:12.0,Defensive rebound by G. Dieng,,81-105,,
6:58.0,S. Muhammad makes 2-pt shot from 14 ft (assist by T. Jones),2,83-105,,
6:35.0,,,83-105,,Turnover by M. Leonard (bad pass; steal by A. Payne)
6:21.0,S. Muhammad makes 2-pt shot from 16 ft,2,85-105,,
5:59.0,,,85-105,,Turnover by S. Napier (lost ball)
5:41.0,Shooting foul by E. Turner (drawn by S. Muhammad),,85-105,,
5:41.0,S. Muhammad makes free throw 1 of 2,1,86-105,,
5:41.0,S. Muhammad makes free throw 2 of 2,1,87-105,,
5:24.0,,,87-105,,A. Aminu misses 2-pt shot from 18 ft
5:23.0,Defensive rebound by G. Dieng,,87-105,,
5:07.0,A. Payne misses 2-pt shot from 8 ft,,87-105,,
5:04.0,Offensive rebound by T. Jones,,87-105,,
4:57.0,S. Muhammad misses 3-pt shot from 26 ft,,87-105,,
4:57.0,,,87-105,,Defensive rebound by A. Aminu
4:34.0,,,87-105,,S. Napier misses 2-pt shot from 3 ft (block by T. Jones)
4:34.0,,,87-105,,Offensive rebound by Team
4:34.0,C. Aldrich enters the game for G. Dieng,,87-105,,
4:33.0,,,87-105,,Turnover by Team (shot clock)
4:21.0,S. Muhammad makes 2-pt shot from 12 ft,2,89-105,,
4:21.0,Shooting foul by E. Turner (drawn by S. Muhammad),,89-105,,
4:21.0,S. Muhammad makes free throw 1 of 1,1,90-105,,
3:59.0,,,90-105,,S. Napier misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by S. Muhammad,,90-105,,
3:49.0,Turnover by S. Muhammad (bad pass),,90-105,,
3:33.0,Personal foul by A. Payne (drawn by M. Leonard),,90-105,,
3:33.0,,,90-105,,N. Vonleh enters the game for A. Aminu
3:23.0,,,90-107,2,S. Napier makes 2-pt shot from 18 ft
3:04.0,K. Dunn misses 2-pt shot from 16 ft,,90-107,,
3:02.0,,,90-107,,Defensive rebound by S. Napier
2:54.0,,,90-107,,Shooting foul by A. Payne (drawn by S. Napier)
2:54.0,Official timeout,,90-107,,
2:54.0,,,90-108,1,S. Napier makes free throw 1 of 2
2:54.0,,,90-109,1,S. Napier makes free throw 2 of 2
2:54.0,,,90-107,,P. Connaughton enters the game for A. Crabbe
2:54.0,,,90-107,,J. Layman enters the game for E. Turner
2:40.0,K. Dunn makes 2-pt shot from 9 ft,2,92-109,,
2:22.0,,,92-109,,Turnover by P. Connaughton (step out of bounds)
2:07.0,K. Dunn makes 2-pt shot from 20 ft,2,94-109,,
1:47.0,,,94-109,,S. Napier misses 2-pt shot from 21 ft
1:45.0,Defensive rebound by S. Muhammad,,94-109,,
1:37.0,C. Aldrich makes 2-pt shot from 2 ft (assist by T. Jones),2,96-109,,
1:12.0,,,96-109,,M. Leonard misses 3-pt shot from 28 ft
1:12.0,Defensive rebound by Team,,96-109,,
0:59.0,K. Dunn misses 2-pt shot from 2 ft,,96-109,,
0:58.0,,,96-109,,Defensive rebound by N. Vonleh
0:49.0,,,96-112,3,P. Connaughton makes 3-pt shot from 23 ft (assist by S. Napier)
0:37.0,A. Payne makes 2-pt shot from 16 ft,2,98-112,,
0:15.0,,,98-112,,M. Leonard misses 3-pt shot from 26 ft
0:14.0,Defensive rebound by A. Payne,,98-112,,
0:11.0,S. Muhammad makes 2-pt shot at rim (assist by A. Payne),2,100-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
