time,Orlando,pts.away,score,pts.home,Cleveland
4:17.0,,,15-19,,R. Jefferson enters the game for K. Love
4:17.0,J. Green enters the game for S. Ibaka,,15-19,,
4:12.0,Shooting foul by J. Smith (drawn by J. Green),,15-19,,
4:12.0,J. Green misses free throw 1 of 2,,15-19,,
4:12.0,Offensive rebound by Team,,15-19,,
4:12.0,J. Green makes free throw 2 of 2,1,16-19,,
4:12.0,,,15-19,,K. Felder enters the game for J. Smith
3:59.0,,,16-19,,K. Felder misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by A. Gordon,,16-19,,
3:53.0,Turnover by A. Gordon (lost ball; steal by I. Shumpert),,16-19,,
3:47.0,Jump ball: E. Fournier vs. L. James (R. Jefferson gains possession),,,,Jump ball: E. Fournier vs. L. James (R. Jefferson gains possession)
3:23.0,,,16-22,3,L. James makes 3-pt shot from 28 ft
3:04.0,E. Payton misses 2-pt shot from 18 ft,,16-22,,
3:03.0,,,16-22,,Defensive rebound by T. Thompson
2:53.0,,,16-25,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
2:37.0,E. Fournier misses 3-pt shot from 25 ft,,16-25,,
2:37.0,Offensive rebound by J. Green,,16-25,,
2:18.0,N. Vucevic makes 2-pt shot from 6 ft,2,18-25,,
2:05.0,,,18-27,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
1:48.0,E. Fournier makes 2-pt shot from 14 ft,2,20-27,,
1:26.0,,,20-29,2,R. Jefferson makes 2-pt shot from 16 ft
1:06.0,Turnover by N. Vucevic (3 sec),,20-29,,
1:06.0,,,20-29,,Cleveland full timeout
1:06.0,,,20-29,,K. Love enters the game for L. James
1:06.0,,,20-29,,C. Andersen enters the game for T. Thompson
1:06.0,B. Biyombo enters the game for N. Vucevic,,20-29,,
1:06.0,D. Augustin enters the game for E. Payton,,20-29,,
0:48.0,,,20-29,,R. Jefferson misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by B. Biyombo,,20-29,,
0:28.0,A. Gordon misses 2-pt shot from 16 ft,,20-29,,
0:27.0,Offensive rebound by B. Biyombo,,20-29,,
0:25.0,Turnover by B. Biyombo (lost ball; steal by C. Andersen),,20-29,,
0:07.0,,,20-31,2,K. Love makes 2-pt shot from 22 ft (assist by K. Felder)
0:05.0,Offensive foul by E. Fournier,,20-31,,
0:05.0,Turnover by E. Fournier (offensive foul),,20-31,,
0:05.0,M. Hezonja enters the game for A. Gordon,,20-31,,
0:05.0,,,20-31,,M. Dunleavy enters the game for C. Andersen
0:00.0,,,20-33,2,K. Felder makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,20-35,2,C. Andersen makes 2-pt shot at rim (assist by M. Dunleavy)
11:37.0,Offensive foul by B. Biyombo,,20-35,,
11:37.0,Turnover by B. Biyombo (offensive foul),,20-35,,
11:29.0,,,20-35,,Offensive foul by R. Jefferson
11:29.0,,,20-35,,Turnover by R. Jefferson (offensive foul)
11:26.0,B. Biyombo misses 2-pt shot at rim,,20-35,,
11:26.0,,,20-35,,Defensive rebound by R. Jefferson
11:14.0,,,20-35,,K. Irving misses 2-pt shot from 13 ft
11:13.0,Defensive rebound by J. Green,,20-35,,
10:58.0,J. Green misses 2-pt shot from 14 ft,,20-35,,
10:57.0,,,20-35,,Defensive rebound by M. Dunleavy
10:46.0,,,20-35,,Shooting foul by M. Hezonja (drawn by C. Andersen)
10:46.0,,,20-35,,C. Andersen misses free throw 1 of 2
10:46.0,,,20-35,,Offensive rebound by Team
10:46.0,,,20-35,,C. Andersen misses free throw 2 of 2
10:46.0,Defensive rebound by J. Green,,20-35,,
10:36.0,M. Hezonja misses 2-pt shot from 16 ft,,20-35,,
10:35.0,,,20-35,,Defensive rebound by R. Jefferson
10:26.0,,,20-37,2,K. Irving makes 2-pt shot from 13 ft
10:26.0,,,20-37,,Shooting foul by D. Augustin (drawn by K. Irving)
10:26.0,,,20-38,1,K. Irving makes free throw 1 of 1
10:16.0,D. Augustin misses 2-pt shot from 1 ft,,20-38,,
10:13.0,Offensive rebound by B. Biyombo,,20-38,,
10:10.0,M. Hezonja misses 3-pt shot from 25 ft,,20-38,,
10:10.0,Offensive rebound by B. Biyombo,,20-38,,
10:10.0,,,20-38,,Personal foul by C. Andersen (drawn by B. Biyombo)
10:00.0,J. Green makes 3-pt shot from 26 ft (assist by D. Augustin),3,23-38,,
9:40.0,,,23-38,,I. Shumpert misses 2-pt shot at rim (block by B. Biyombo)
9:30.0,,,23-38,,Offensive rebound by C. Andersen
9:30.0,,,23-40,2,C. Andersen makes 2-pt shot from 1 ft
9:25.0,Turnover by M. Hezonja (lost ball),,23-40,,
9:12.0,,,23-43,3,K. Irving makes 3-pt shot from 25 ft (assist by C. Andersen)
9:06.0,Orlando full timeout,,23-43,,
8:50.0,D. Augustin makes 3-pt shot from 25 ft (assist by J. Green),3,26-43,,
8:36.0,,,26-43,,M. Dunleavy misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by J. Green,,26-43,,
8:28.0,Shooting foul by R. Jefferson (drawn by J. Green),,26-43,,
8:28.0,J. Green makes free throw 1 of 2,1,27-43,,
8:28.0,J. Green makes free throw 2 of 2,1,28-43,,
8:14.0,,,28-45,2,R. Jefferson makes 2-pt shot from 15 ft (assist by I. Shumpert)
7:53.0,J. Green misses 3-pt shot from 25 ft,,28-45,,
7:52.0,Offensive rebound by B. Biyombo,,28-45,,
7:42.0,M. Hezonja misses 3-pt shot from 27 ft,,28-45,,
7:42.0,,,28-45,,Defensive rebound by M. Dunleavy
7:30.0,,,28-45,,Turnover by K. Irving (lost ball; steal by J. Green)
7:25.0,Shooting foul by I. Shumpert (drawn by J. Green),,28-45,,
7:25.0,J. Green makes free throw 1 of 2,1,29-45,,
7:25.0,J. Green misses free throw 2 of 2,,29-45,,
7:25.0,,,29-45,,Defensive rebound by K. Love
7:25.0,S. Ibaka enters the game for D. Augustin,,29-45,,
7:25.0,E. Payton enters the game for M. Hezonja,,29-45,,
7:25.0,A. Gordon enters the game for C. Wilcox,,29-45,,
7:25.0,,,29-45,,K. Love enters the game for I. Shumpert
7:25.0,,,29-45,,J. Smith enters the game for R. Jefferson
7:25.0,,,29-45,,L. James enters the game for C. Andersen
7:25.0,,,29-45,,T. Thompson enters the game for M. Dunleavy
7:03.0,,,29-45,,K. Love misses 2-pt shot from 7 ft
7:01.0,Defensive rebound by S. Ibaka,,29-45,,
6:53.0,B. Biyombo misses 2-pt shot at rim (block by T. Thompson),,29-45,,
6:52.0,,,29-45,,Defensive rebound by T. Thompson
6:44.0,,,29-45,,K. Love misses 3-pt shot from 24 ft
6:44.0,,,29-45,,Offensive rebound by T. Thompson
6:38.0,,,29-48,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
6:31.0,Orlando full timeout,,29-48,,
6:31.0,E. Fournier enters the game for J. Green,,29-48,,
6:31.0,,,29-48,,M. Dunleavy enters the game for K. Irving
6:14.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,32-48,,
6:03.0,,,32-51,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by L. James)
5:48.0,A. Gordon misses 3-pt shot from 23 ft,,32-51,,
5:47.0,,,32-51,,Defensive rebound by L. James
5:37.0,,,32-51,,Shooting foul by B. Biyombo (drawn by T. Thompson)
5:37.0,Official timeout,,32-51,,
5:37.0,,,32-51,,T. Thompson misses free throw 1 of 2
5:37.0,,,32-51,,Offensive rebound by Team
5:37.0,,,32-51,,T. Thompson misses free throw 2 of 2
5:37.0,Defensive rebound by E. Fournier,,32-51,,
5:37.0,N. Vucevic enters the game for B. Biyombo,,32-51,,
5:26.0,Turnover by N. Vucevic (bad pass),,32-51,,
5:13.0,,,32-54,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by L. James)
4:59.0,E. Payton makes 2-pt shot from 14 ft,2,34-54,,
4:41.0,,,34-54,,Shooting foul by A. Gordon (drawn by L. James)
4:41.0,,,34-54,,L. James misses free throw 1 of 2
4:41.0,,,34-54,,Offensive rebound by Team
4:41.0,,,34-54,,L. James misses free throw 2 of 2
4:41.0,Defensive rebound by N. Vucevic,,34-54,,
4:28.0,E. Payton misses 3-pt shot from 25 ft,,34-54,,
4:28.0,,,34-54,,Defensive rebound by L. James
4:24.0,Personal foul by E. Payton (drawn by L. James),,34-54,,
4:18.0,,,34-54,,L. James misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by N. Vucevic,,34-54,,
4:09.0,S. Ibaka makes 2-pt shot from 7 ft (assist by N. Vucevic),2,36-54,,
3:54.0,,,36-54,,J. Smith misses 3-pt shot from 27 ft
3:54.0,,,36-54,,Offensive rebound by T. Thompson
3:45.0,,,36-54,,Turnover by K. Love (bad pass; steal by A. Gordon)
3:41.0,E. Payton makes 2-pt shot at rim (assist by A. Gordon),2,38-54,,
3:41.0,,,38-54,,Cleveland full timeout
3:41.0,,,38-54,,K. Irving enters the game for M. Dunleavy
3:32.0,Personal foul by S. Ibaka (drawn by K. Love),,38-54,,
3:32.0,,,38-55,1,K. Love makes free throw 1 of 2
3:32.0,,,38-56,1,K. Love makes free throw 2 of 2
3:16.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,40-56,,
2:54.0,,,40-59,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
2:54.0,,,40-59,,Shooting foul by A. Gordon (drawn by L. James)
2:54.0,,,40-60,1,L. James makes free throw 1 of 1
2:54.0,J. Green enters the game for A. Gordon,,40-59,,
2:39.0,E. Fournier misses 3-pt shot from 25 ft,,40-60,,
2:39.0,,,40-60,,Defensive rebound by L. James
2:29.0,,,40-60,,Cleveland full timeout
2:29.0,,,40-60,,I. Shumpert enters the game for J. Smith
2:18.0,,,40-60,,L. James misses 2-pt shot from 21 ft
2:16.0,Defensive rebound by E. Payton,,40-60,,
2:04.0,S. Ibaka misses 2-pt shot from 15 ft,,40-60,,
2:03.0,,,40-60,,Defensive rebound by T. Thompson
1:55.0,,,40-60,,K. Irving misses 2-pt shot from 16 ft (block by E. Payton)
1:54.0,Defensive rebound by N. Vucevic,,40-60,,
1:51.0,Turnover by N. Vucevic (bad pass; steal by T. Thompson),,40-60,,
1:46.0,,,40-60,,T. Thompson misses 2-pt shot from 3 ft
1:44.0,Defensive rebound by N. Vucevic,,40-60,,
1:28.0,S. Ibaka makes 2-pt shot from 17 ft (assist by E. Fournier),2,42-60,,
1:13.0,,,42-60,,K. Irving misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by J. Green,,42-60,,
1:04.0,J. Green misses 3-pt shot from 25 ft,,42-60,,
1:03.0,Offensive rebound by N. Vucevic,,42-60,,
1:03.0,N. Vucevic makes 2-pt shot from 1 ft,2,44-60,,
0:40.0,,,44-60,,K. Irving misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by Team,,44-60,,
0:40.0,D. Augustin enters the game for S. Ibaka,,44-60,,
0:28.0,,,44-60,,Personal foul by K. Love (drawn by N. Vucevic)
0:17.0,D. Augustin misses 3-pt shot from 24 ft,,44-60,,
0:17.0,Offensive rebound by Team,,44-60,,
0:17.0,,,44-60,,Personal foul by K. Love (drawn by N. Vucevic)
0:17.0,N. Vucevic misses free throw 1 of 2,,44-60,,
0:17.0,Offensive rebound by Team,,44-60,,
0:17.0,N. Vucevic makes free throw 2 of 2,1,45-60,,
0:17.0,M. Hezonja enters the game for D. Augustin,,44-60,,
0:17.0,,,44-60,,M. Dunleavy enters the game for T. Thompson
0:01.0,,,45-62,2,L. James makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,45-62,,Turnover by L. James (bad pass; steal by A. Gordon)
11:29.0,E. Fournier misses 3-pt shot from 26 ft,,45-62,,
11:29.0,,,45-62,,Defensive rebound by J. Smith
11:20.0,Jump ball: L. James vs. E. Payton (J. Smith gains possession),,,,Jump ball: L. James vs. E. Payton (J. Smith gains possession)
11:09.0,,,45-62,,L. James misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by N. Vucevic,,45-62,,
11:04.0,S. Ibaka misses 2-pt shot from 3 ft (block by K. Irving),,45-62,,
11:03.0,,,45-62,,Defensive rebound by K. Irving
11:01.0,,,45-62,,Shooting foul by N. Vucevic (drawn by L. James)
11:01.0,,,45-62,,L. James misses free throw 1 of 2
11:01.0,,,45-62,,Offensive rebound by Team
11:01.0,,,45-63,1,L. James makes free throw 2 of 2
10:46.0,S. Ibaka misses 2-pt shot from 15 ft,,45-63,,
10:45.0,,,45-63,,Defensive rebound by T. Thompson
10:35.0,,,45-65,2,K. Irving makes 2-pt shot from 19 ft
10:22.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier),2,47-65,,
10:03.0,,,47-67,2,K. Love makes 2-pt shot from 4 ft
9:50.0,A. Gordon misses 3-pt shot from 25 ft,,47-67,,
9:50.0,,,47-67,,Defensive rebound by T. Thompson
9:29.0,,,47-67,,Turnover by K. Love (lost ball; steal by A. Gordon)
9:23.0,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon),2,49-67,,
9:11.0,,,49-67,,K. Irving misses 2-pt shot from 13 ft
9:11.0,Defensive rebound by N. Vucevic,,49-67,,
9:06.0,Shooting foul by L. James (drawn by A. Gordon),,49-67,,
9:06.0,A. Gordon makes free throw 1 of 2,1,50-67,,
9:06.0,A. Gordon misses free throw 2 of 2,,50-67,,
9:05.0,,,50-67,,Defensive rebound by T. Thompson
8:49.0,,,50-67,,J. Smith misses 3-pt shot from 27 ft
8:49.0,Defensive rebound by A. Gordon,,50-67,,
8:38.0,N. Vucevic misses 2-pt shot from 6 ft,,50-67,,
8:36.0,Offensive rebound by N. Vucevic,,50-67,,
8:33.0,N. Vucevic makes 2-pt shot from 1 ft,2,52-67,,
8:12.0,,,52-67,,Shooting foul by E. Fournier (drawn by K. Love)
8:12.0,,,52-68,1,K. Love makes free throw 1 of 2
8:12.0,,,52-69,1,K. Love makes free throw 2 of 2
7:54.0,E. Fournier misses 3-pt shot from 25 ft,,52-69,,
7:54.0,Offensive rebound by Team,,52-69,,
7:54.0,,,52-69,,Loose ball foul by K. Love (drawn by S. Ibaka)
7:39.0,Turnover by E. Fournier (traveling),,52-69,,
7:25.0,,,52-69,,K. Love misses 2-pt shot from 6 ft
7:24.0,,,52-69,,Offensive rebound by K. Love
7:24.0,,,52-69,,Shooting foul by S. Ibaka (drawn by K. Love)
7:24.0,,,52-70,1,K. Love makes free throw 1 of 2
7:24.0,,,52-71,1,K. Love makes free throw 2 of 2
7:04.0,Turnover by A. Gordon (bad pass),,52-71,,
6:52.0,,,52-71,,Offensive charge foul by K. Love
6:52.0,,,52-71,,Turnover by K. Love (offensive foul)
6:36.0,E. Fournier misses 2-pt shot from 19 ft,,52-71,,
6:36.0,,,52-71,,Defensive rebound by Team
6:36.0,,,52-71,,R. Jefferson enters the game for K. Love
6:21.0,,,52-73,2,K. Irving makes 2-pt shot from 17 ft
6:08.0,N. Vucevic misses 2-pt shot from 18 ft,,52-73,,
6:08.0,,,52-73,,Defensive rebound by K. Irving
6:00.0,,,52-73,,L. James misses 3-pt shot from 29 ft
5:59.0,,,52-73,,Offensive rebound by J. Smith
5:54.0,,,52-73,,L. James misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by E. Payton,,52-73,,
5:48.0,E. Payton misses 2-pt shot from 1 ft (block by L. James),,52-73,,
5:47.0,,,52-73,,Defensive rebound by Team
5:47.0,,,52-73,,Cleveland full timeout
5:25.0,,,52-73,,L. James misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by S. Ibaka,,52-73,,
5:16.0,A. Gordon makes 2-pt shot from 6 ft,2,54-73,,
4:58.0,Def 3 sec tech foul by N. Vucevic,,54-73,,
4:58.0,,,54-74,1,K. Irving makes technical free throw
4:44.0,,,54-74,,K. Irving misses 2-pt shot from 8 ft
4:44.0,Defensive rebound by Team,,54-74,,
4:26.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier),2,56-74,,
4:13.0,,,56-74,,Shooting foul by E. Fournier (drawn by L. James)
4:13.0,,,56-75,1,L. James makes free throw 1 of 2
4:13.0,,,56-76,1,L. James makes free throw 2 of 2
4:13.0,,,56-75,,K. Felder enters the game for K. Irving
4:13.0,,,56-75,,I. Shumpert enters the game for J. Smith
3:50.0,,,56-76,,Personal foul by R. Jefferson (drawn by E. Payton)
3:50.0,B. Biyombo enters the game for N. Vucevic,,56-76,,
3:42.0,E. Payton misses 3-pt shot from 26 ft,,56-76,,
3:41.0,,,56-76,,Defensive rebound by L. James
3:31.0,,,56-76,,K. Felder misses 2-pt shot from 6 ft
3:30.0,,,56-76,,Offensive rebound by K. Felder
3:20.0,,,56-76,,L. James misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by Team,,56-76,,
3:19.0,D. Augustin enters the game for E. Payton,,56-76,,
3:19.0,,,56-76,,Cleveland full timeout
3:19.0,J. Green enters the game for A. Gordon,,56-76,,
3:19.0,,,56-76,,C. Andersen enters the game for L. James
3:19.0,,,56-76,,M. Dunleavy enters the game for T. Thompson
3:19.0,,,56-76,,K. Irving enters the game for K. Felder
2:59.0,Turnover by E. Fournier (bad pass; steal by I. Shumpert),,56-76,,
2:51.0,,,56-76,,R. Jefferson misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by J. Green,,56-76,,
2:41.0,J. Green misses 2-pt shot from 17 ft,,56-76,,
2:41.0,Offensive rebound by B. Biyombo,,56-76,,
2:37.0,Turnover by B. Biyombo (bad pass; steal by I. Shumpert),,56-76,,
2:32.0,,,56-78,2,I. Shumpert makes 2-pt shot from 2 ft
2:12.0,E. Fournier makes 2-pt shot from 22 ft,2,58-78,,
1:58.0,,,58-78,,Offensive foul by I. Shumpert
1:58.0,,,58-78,,Turnover by I. Shumpert (offensive foul)
1:38.0,,,58-78,,Violation by M. Dunleavy (kicked ball)
1:30.0,D. Augustin misses 3-pt shot from 25 ft,,58-78,,
1:30.0,Offensive rebound by Team,,58-78,,
1:30.0,,,58-78,,Loose ball foul by M. Dunleavy (drawn by J. Green)
1:30.0,Orlando full timeout,,58-78,,
1:11.0,E. Fournier makes 2-pt shot from 9 ft,2,60-78,,
0:58.0,,,60-78,,M. Dunleavy misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by D. Augustin,,60-78,,
0:41.0,D. Augustin misses 2-pt shot from 20 ft,,60-78,,
0:39.0,Offensive rebound by S. Ibaka,,60-78,,
0:39.0,Shooting foul by C. Andersen (drawn by S. Ibaka),,60-78,,
0:39.0,S. Ibaka makes free throw 1 of 2,1,61-78,,
0:39.0,S. Ibaka makes free throw 2 of 2,1,62-78,,
0:39.0,M. Hezonja enters the game for E. Fournier,,61-78,,
0:33.0,,,62-78,,K. Irving misses 3-pt shot from 30 ft
0:31.0,Defensive rebound by B. Biyombo,,62-78,,
0:22.0,J. Green misses 3-pt shot from 25 ft,,62-78,,
0:22.0,,,62-78,,Defensive rebound by C. Andersen
0:01.0,,,62-78,,K. Irving misses 2-pt shot from 15 ft
0:01.0,,,62-78,,Offensive rebound by Team
0:01.0,Loose ball foul by D. Augustin (drawn by C. Andersen),,62-78,,
0:01.0,,,62-79,1,C. Andersen makes free throw 1 of 2
0:01.0,,,62-80,1,C. Andersen makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,C. Wilcox misses 3-pt shot from 25 ft,,62-80,,
11:38.0,Offensive rebound by B. Biyombo,,62-80,,
11:30.0,J. Green makes 3-pt shot from 22 ft (assist by D. Augustin),3,65-80,,
11:03.0,,,65-80,,L. James misses 2-pt shot from 19 ft
11:03.0,Defensive rebound by J. Green,,65-80,,
10:55.0,J. Green misses 2-pt shot at rim,,65-80,,
10:55.0,Offensive rebound by B. Biyombo,,65-80,,
10:55.0,,,65-80,,Personal foul by L. James (drawn by B. Biyombo)
10:45.0,C. Wilcox misses 3-pt shot from 26 ft,,65-80,,
10:45.0,Offensive rebound by Team,,65-80,,
10:31.0,B. Biyombo makes 2-pt shot from 4 ft (assist by D. Augustin),2,67-80,,
10:14.0,,,67-82,2,K. Love makes 2-pt shot from 5 ft
9:55.0,D. Augustin makes 3-pt shot from 23 ft (assist by C. Wilcox),3,70-82,,
9:44.0,,,70-84,2,R. Jefferson makes 2-pt shot from 2 ft
9:37.0,,,70-84,,Personal foul by I. Shumpert (drawn by D. Augustin)
9:31.0,M. Hezonja makes 3-pt shot from 28 ft (assist by J. Green),3,73-84,,
9:07.0,,,73-84,,M. Dunleavy misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by D. Augustin,,73-84,,
9:04.0,,,73-84,,Personal foul by I. Shumpert (drawn by D. Augustin)
8:53.0,Turnover by D. Augustin (bad pass),,73-84,,
8:53.0,Official timeout,,73-84,,
8:53.0,,,73-84,,K. Irving enters the game for I. Shumpert
8:41.0,,,73-84,,R. Jefferson misses 2-pt shot at rim (block by M. Hezonja)
8:40.0,Defensive rebound by M. Hezonja,,73-84,,
8:26.0,Turnover by J. Green (step out of bounds),,73-84,,
8:14.0,,,73-84,,M. Dunleavy misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by M. Hezonja,,73-84,,
8:07.0,Turnover by M. Hezonja (lost ball; steal by R. Jefferson),,73-84,,
7:58.0,,,73-84,,M. Dunleavy misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by M. Hezonja,,73-84,,
7:52.0,D. Augustin misses 2-pt shot from 23 ft,,73-84,,
7:51.0,Offensive rebound by Team,,73-84,,
7:51.0,,,73-84,,J. Smith enters the game for M. Dunleavy
7:51.0,E. Fournier enters the game for C. Wilcox,,73-84,,
7:49.0,Turnover by M. Hezonja (bad pass; steal by J. Smith),,73-84,,
7:46.0,,,73-84,,Shooting foul by B. Biyombo (drawn by L. James)
7:46.0,,,73-85,1,L. James makes free throw 1 of 2
7:46.0,,,73-86,1,L. James makes free throw 2 of 2
7:35.0,Turnover by J. Green (lost ball),,73-86,,
7:24.0,,,73-86,,K. Love misses 2-pt shot from 19 ft
7:23.0,Defensive rebound by M. Hezonja,,73-86,,
7:17.0,D. Augustin makes 2-pt shot from 1 ft,2,75-86,,
7:17.0,Shooting foul by K. Love (drawn by D. Augustin),,75-86,,
7:17.0,D. Augustin makes free throw 1 of 1,1,76-86,,
7:17.0,E. Payton enters the game for M. Hezonja,,75-86,,
7:04.0,,,76-86,,K. Love misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by J. Green,,76-86,,
6:57.0,Shooting foul by J. Smith (drawn by B. Biyombo),,76-86,,
6:57.0,B. Biyombo misses free throw 1 of 2,,76-86,,
6:57.0,Offensive rebound by Team,,76-86,,
6:57.0,B. Biyombo misses free throw 2 of 2,,76-86,,
6:56.0,,,76-86,,Defensive rebound by R. Jefferson
