time,Atlanta,pts.away,score,pts.home,Sacramento
6:35.0,,,9-4,,D. Collison misses 2-pt shot from 9 ft (block by K. Bazemore)
6:33.0,Defensive rebound by K. Bazemore,,9-4,,
6:28.0,T. Hardaway misses 3-pt shot from 22 ft,,9-4,,
6:27.0,,,9-4,,Defensive rebound by K. Koufos
6:19.0,,,9-4,,B. McLemore misses 2-pt shot from 11 ft
6:18.0,,,9-4,,Offensive rebound by B. McLemore
6:09.0,,,9-4,,Turnover by D. Cousins (lost ball; steal by D. Schroder)
6:05.0,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder),2,11-4,,
6:05.0,,,11-4,,Sacramento full timeout
5:46.0,,,11-7,3,D. Collison makes 3-pt shot from 26 ft (assist by K. Koufos)
5:34.0,Turnover by D. Howard (traveling),,11-7,,
5:16.0,D. Bembry enters the game for K. Bazemore,,11-7,,
5:11.0,,,11-7,,D. Cousins misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by D. Bembry,,11-7,,
5:07.0,D. Howard makes 2-pt shot at rim (assist by D. Bembry),2,13-7,,
4:49.0,,,13-10,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
4:31.0,T. Hardaway makes 2-pt shot from 2 ft,2,15-10,,
4:17.0,,,15-10,,B. McLemore misses 2-pt shot from 18 ft
4:16.0,Defensive rebound by D. Howard,,15-10,,
4:04.0,P. Millsap makes 2-pt shot from 14 ft,2,17-10,,
3:42.0,,,17-10,,Turnover by D. Cousins (lost ball; steal by D. Howard)
3:36.0,,,17-10,,Violation by K. Koufos (def goaltending)
3:36.0,D. Schroder makes 2-pt shot from 10 ft,2,19-10,,
3:18.0,,,19-10,,A. Afflalo misses 2-pt shot from 15 ft
3:17.0,Defensive rebound by P. Millsap,,19-10,,
2:53.0,Turnover by D. Howard (bad pass; steal by K. Koufos),,19-10,,
2:47.0,,,19-12,2,D. Cousins makes 2-pt shot at rim
2:46.0,Atlanta full timeout,,19-12,,
2:46.0,,,19-12,,M. Barnes enters the game for A. Afflalo
2:46.0,,,19-12,,A. Tolliver enters the game for K. Koufos
2:46.0,M. Delaney enters the game for D. Howard,,19-12,,
2:46.0,K. Humphries enters the game for D. Schroder,,19-12,,
2:36.0,Shooting foul by D. Cousins (drawn by P. Millsap),,19-12,,
2:36.0,P. Millsap makes free throw 1 of 2,1,20-12,,
2:36.0,P. Millsap makes free throw 2 of 2,1,21-12,,
2:13.0,,,21-14,2,D. Collison makes 2-pt shot from 3 ft (assist by D. Cousins)
2:01.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Bembry),3,24-14,,
1:38.0,,,24-14,,D. Cousins misses 2-pt shot from 12 ft
1:37.0,Defensive rebound by K. Humphries,,24-14,,
1:20.0,Shooting foul by M. Barnes (drawn by T. Hardaway),,24-14,,
1:20.0,T. Hardaway makes free throw 1 of 3,1,25-14,,
1:20.0,T. Hardaway misses free throw 2 of 3,,25-14,,
1:20.0,Offensive rebound by Team,,25-14,,
1:20.0,T. Hardaway makes free throw 3 of 3,1,26-14,,
1:20.0,,,25-14,,A. Afflalo enters the game for D. Collison
1:20.0,,,25-14,,W. Cauley-Stein enters the game for D. Cousins
0:58.0,,,26-14,,Turnover by A. Tolliver (bad pass)
0:58.0,M. Dunleavy enters the game for T. Hardaway,,26-14,,
0:43.0,P. Millsap makes 2-pt shot from 17 ft,2,28-14,,
0:36.0,,,28-14,,Turnover by A. Afflalo (bad pass)
0:29.0,Shooting foul by W. Cauley-Stein (drawn by K. Humphries),,28-14,,
0:29.0,K. Humphries misses free throw 1 of 2,,28-14,,
0:29.0,Offensive rebound by Team,,28-14,,
0:29.0,K. Humphries misses free throw 2 of 2,,28-14,,
0:29.0,,,28-14,,Defensive rebound by A. Tolliver
0:29.0,M. Muscala enters the game for P. Millsap,,28-14,,
0:10.0,,,28-17,3,A. Tolliver makes 3-pt shot from 25 ft (assist by M. Barnes)
0:02.0,M. Delaney misses 3-pt shot from 25 ft,,28-17,,
0:01.0,,,28-17,,Defensive rebound by M. Barnes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by M. Delaney),3,31-17,,
11:34.0,,,31-20,3,M. Richardson makes 3-pt shot from 24 ft (assist by A. Afflalo)
11:16.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by M. Muscala),3,34-20,,
10:52.0,Def 3 sec tech foul by M. Muscala,,34-20,,
10:52.0,,,34-21,1,A. Afflalo makes technical free throw
10:44.0,,,34-24,3,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
10:18.0,K. Humphries makes 2-pt shot from 20 ft (assist by M. Delaney),2,36-24,,
10:02.0,,,36-24,,W. Cauley-Stein misses 2-pt shot from 5 ft
9:59.0,Defensive rebound by K. Humphries,,36-24,,
9:36.0,M. Delaney makes 2-pt shot from 3 ft,2,38-24,,
9:24.0,,,38-26,2,W. Cauley-Stein makes 2-pt shot from 5 ft
9:24.0,Shooting block foul by M. Delaney (drawn by W. Cauley-Stein),,38-26,,
9:24.0,,,38-27,1,W. Cauley-Stein makes free throw 1 of 1
9:13.0,,,38-27,,Personal foul by M. Barnes (drawn by K. Humphries)
9:06.0,Turnover by D. Bembry (bad pass; steal by M. Barnes),,38-27,,
9:05.0,Personal foul by M. Dunleavy (drawn by M. Barnes),,38-27,,
9:05.0,,,38-27,,Technical foul by M. Barnes
9:05.0,M. Delaney makes technical free throw,1,39-27,,
9:05.0,,,39-27,,Violation by Team (jump ball)
9:05.0,,,39-27,,D. Collison enters the game for M. Barnes
8:44.0,,,39-27,,A. Tolliver misses 3-pt shot from 30 ft
8:43.0,Defensive rebound by K. Humphries,,39-27,,
8:22.0,M. Delaney misses 2-pt shot from 15 ft,,39-27,,
8:22.0,Offensive rebound by Team,,39-27,,
8:22.0,,,39-27,,Loose ball foul by D. Collison (drawn by M. Muscala)
8:22.0,Official timeout,,39-27,,
8:22.0,D. Howard enters the game for D. Bembry,,39-27,,
8:22.0,K. Bazemore enters the game for K. Humphries,,39-27,,
8:15.0,M. Dunleavy misses 2-pt shot from 20 ft,,39-27,,
8:14.0,,,39-27,,Defensive rebound by W. Cauley-Stein
7:58.0,,,39-29,2,A. Afflalo makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
7:42.0,M. Delaney misses 2-pt shot from 19 ft,,39-29,,
7:41.0,,,39-29,,Defensive rebound by A. Afflalo
7:30.0,,,39-29,,A. Afflalo misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by D. Howard,,39-29,,
7:12.0,K. Bazemore makes 2-pt shot from 18 ft,2,41-29,,
6:51.0,Personal foul by D. Howard (drawn by M. Richardson),,41-29,,
6:51.0,T. Hardaway enters the game for M. Dunleavy,,41-29,,
6:48.0,Personal foul by M. Delaney (drawn by D. Collison),,41-29,,
6:39.0,,,41-29,,W. Cauley-Stein misses 2-pt shot from 7 ft
6:38.0,Defensive rebound by D. Howard,,41-29,,
6:32.0,T. Hardaway misses 3-pt shot from 23 ft,,41-29,,
6:32.0,,,41-29,,Defensive rebound by W. Cauley-Stein
6:16.0,P. Millsap enters the game for M. Delaney,,41-29,,
6:16.0,D. Schroder enters the game for M. Muscala,,41-29,,
6:16.0,,,41-29,,D. Cousins enters the game for A. Afflalo
6:16.0,,,41-29,,B. McLemore enters the game for W. Cauley-Stein
6:13.0,,,41-29,,Turnover by A. Tolliver (back court)
6:08.0,K. Bazemore misses 3-pt shot from 23 ft,,41-29,,
6:07.0,Offensive rebound by D. Howard,,41-29,,
6:04.0,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Bazemore),3,44-29,,
6:04.0,,,44-29,,Sacramento full timeout
6:04.0,,,44-29,,Technical foul by Team
6:04.0,D. Schroder makes technical free throw,1,45-29,,
5:55.0,,,45-29,,Offensive foul by D. Cousins
5:55.0,,,45-29,,Turnover by D. Cousins (offensive foul)
5:43.0,Turnover by D. Schroder (lost ball; steal by B. McLemore),,45-29,,
5:30.0,,,45-32,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
5:10.0,P. Millsap misses 3-pt shot from 25 ft,,45-32,,
5:09.0,,,45-32,,Defensive rebound by D. Cousins
4:56.0,,,45-32,,Shooting foul by D. Howard (drawn by D. Cousins)
4:56.0,,,45-33,1,D. Cousins makes free throw 1 of 2
4:56.0,,,45-33,,D. Cousins misses free throw 2 of 2
4:55.0,Defensive rebound by D. Howard,,45-33,,
4:41.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,47-33,,
4:23.0,,,47-36,3,B. McLemore makes 3-pt shot from 25 ft (assist by M. Richardson)
4:07.0,T. Hardaway misses 3-pt shot from 26 ft,,47-36,,
4:06.0,,,47-36,,Defensive rebound by D. Cousins
3:58.0,,,47-36,,B. McLemore misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by Team,,47-36,,
3:57.0,,,47-36,,Loose ball foul by A. Tolliver (drawn by D. Howard)
3:57.0,,,47-36,,A. Afflalo enters the game for A. Tolliver
3:57.0,,,47-36,,M. Barnes enters the game for M. Richardson
3:45.0,P. Millsap makes 2-pt shot from 13 ft,2,49-36,,
3:38.0,,,49-36,,Turnover by D. Collison (step out of bounds)
3:25.0,K. Bazemore misses 3-pt shot from 25 ft,,49-36,,
3:24.0,,,49-36,,Defensive rebound by D. Cousins
3:17.0,,,49-36,,D. Cousins misses 2-pt shot from 2 ft (block by K. Bazemore)
3:15.0,Defensive rebound by D. Howard,,49-36,,
3:14.0,Shooting foul by B. McLemore (drawn by T. Hardaway),,49-36,,
3:14.0,T. Hardaway makes free throw 1 of 2,1,50-36,,
3:14.0,T. Hardaway makes free throw 2 of 2,1,51-36,,
3:14.0,K. Humphries enters the game for D. Howard,,50-36,,
2:58.0,,,51-36,,Shooting foul by K. Bazemore (drawn by D. Collison)
2:58.0,Atlanta full timeout,,51-36,,
2:58.0,,,51-37,1,D. Collison makes free throw 1 of 2
2:58.0,,,51-37,,D. Collison misses free throw 2 of 2
2:58.0,D. Howard enters the game for K. Humphries,,51-36,,
2:57.0,,,51-37,,Offensive rebound by D. Cousins
2:57.0,,,51-37,,Shooting foul by P. Millsap (drawn by D. Cousins)
2:57.0,,,51-38,1,D. Cousins makes free throw 1 of 2
2:57.0,,,51-38,,D. Cousins misses free throw 2 of 2
2:55.0,Defensive rebound by D. Howard,,51-38,,
2:37.0,D. Howard misses 2-pt shot from 6 ft,,51-38,,
2:36.0,,,51-38,,Defensive rebound by D. Collison
2:29.0,,,51-38,,M. Barnes misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by D. Howard,,51-38,,
2:10.0,T. Hardaway makes 2-pt shot at rim (assist by P. Millsap),2,53-38,,
1:49.0,,,53-38,,Turnover by D. Cousins (lost ball)
1:42.0,Offensive foul by T. Hardaway,,53-38,,
1:42.0,Turnover by T. Hardaway (offensive foul),,53-38,,
1:31.0,,,53-40,2,D. Collison makes 2-pt shot from 4 ft (assist by D. Cousins)
1:16.0,D. Schroder makes 3-pt shot from 25 ft,3,56-40,,
1:00.0,,,56-40,,M. Barnes misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Howard,,56-40,,
0:42.0,T. Hardaway makes 2-pt shot from 19 ft,2,58-40,,
0:36.0,,,58-40,,Shooting foul by T. Hardaway (drawn by D. Cousins)
0:36.0,,,58-40,,D. Cousins misses free throw 1 of 2
0:36.0,,,58-40,,Offensive rebound by Team
0:36.0,,,58-40,,D. Cousins misses free throw 2 of 2
0:36.0,Defensive rebound by M. Muscala,,58-40,,
0:36.0,M. Muscala enters the game for D. Howard,,58-40,,
0:30.0,,,58-40,,Personal foul by D. Collison (drawn by D. Schroder)
0:30.0,D. Schroder makes free throw 1 of 2,1,59-40,,
0:30.0,D. Schroder misses free throw 2 of 2,,59-40,,
0:30.0,D. Bembry enters the game for T. Hardaway,,59-40,,
0:28.0,,,59-40,,Defensive rebound by D. Cousins
0:06.0,,,59-43,3,M. Barnes makes 3-pt shot from 22 ft (assist by D. Cousins)
0:02.0,Turnover by D. Schroder (bad pass; steal by M. Barnes),,59-43,,
0:00.0,,,59-43,,D. Collison misses 3-pt shot from 25 ft
0:00.0,,,59-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Hardaway misses 3-pt shot from 24 ft,,59-43,,
11:44.0,,,59-43,,Defensive rebound by D. Collison
11:25.0,,,59-43,,D. Cousins misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by K. Bazemore,,59-43,,
11:15.0,,,59-43,,Personal foul by D. Collison (drawn by D. Howard)
11:11.0,Shooting foul by D. Collison (drawn by D. Schroder),,59-43,,
11:11.0,D. Schroder makes free throw 1 of 2,1,60-43,,
11:11.0,D. Schroder makes free throw 2 of 2,1,61-43,,
10:58.0,,,61-43,,B. McLemore misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by T. Hardaway,,61-43,,
10:55.0,,,61-43,,Personal foul by D. Cousins (drawn by D. Schroder)
10:42.0,K. Bazemore makes 2-pt shot from 19 ft,2,63-43,,
10:26.0,,,63-45,2,K. Koufos makes 2-pt shot from 4 ft (assist by A. Afflalo)
10:15.0,D. Schroder makes 2-pt shot from 4 ft,2,65-45,,
10:01.0,,,65-45,,K. Koufos misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by D. Howard,,65-45,,
9:47.0,T. Hardaway misses 2-pt shot from 21 ft,,65-45,,
9:46.0,,,65-45,,Defensive rebound by D. Cousins
9:38.0,,,65-45,,Shooting foul by P. Millsap (drawn by D. Cousins)
9:38.0,,,65-45,,D. Cousins misses free throw 1 of 2
9:38.0,,,65-45,,Offensive rebound by Team
9:38.0,,,65-46,1,D. Cousins makes free throw 2 of 2
9:29.0,Turnover by D. Schroder (bad pass; steal by D. Cousins),,65-46,,
9:24.0,,,65-46,,Turnover by D. Cousins (bad pass; steal by K. Bazemore)
9:12.0,K. Bazemore misses 3-pt shot from 25 ft,,65-46,,
9:12.0,,,65-46,,Defensive rebound by Team
9:00.0,Personal foul by D. Howard (drawn by D. Collison),,65-46,,
8:52.0,,,65-46,,D. Cousins misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by P. Millsap,,65-46,,
8:39.0,P. Millsap misses 3-pt shot from 26 ft,,65-46,,
8:38.0,,,65-46,,Defensive rebound by K. Koufos
8:25.0,,,65-46,,D. Cousins misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by T. Hardaway,,65-46,,
8:07.0,P. Millsap misses 3-pt shot from 24 ft,,65-46,,
8:06.0,,,65-46,,Defensive rebound by B. McLemore
7:54.0,,,65-49,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
7:31.0,P. Millsap makes 2-pt shot from 17 ft,2,67-49,,
7:31.0,,,67-49,,Shooting block foul by A. Afflalo (drawn by P. Millsap)
7:31.0,P. Millsap makes free throw 1 of 1,1,68-49,,
7:20.0,,,68-49,,Turnover by K. Koufos (bad pass)
7:02.0,D. Schroder makes 3-pt shot from 25 ft,3,71-49,,
6:45.0,,,71-51,2,A. Afflalo makes 2-pt shot from 2 ft
6:32.0,Shooting foul by D. Cousins (drawn by P. Millsap),,71-51,,
6:32.0,P. Millsap makes free throw 1 of 2,1,72-51,,
6:32.0,P. Millsap misses free throw 2 of 2,,72-51,,
6:31.0,,,72-51,,Defensive rebound by D. Cousins
6:21.0,,,72-51,,D. Cousins misses 3-pt shot from 26 ft
6:20.0,,,72-51,,Offensive rebound by K. Koufos
6:15.0,,,72-54,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
5:58.0,D. Howard misses 2-pt shot from 12 ft,,72-54,,
5:57.0,,,72-54,,Defensive rebound by D. Cousins
5:49.0,,,72-54,,D. Cousins misses 2-pt shot from 7 ft
5:48.0,Defensive rebound by K. Bazemore,,72-54,,
5:44.0,T. Hardaway makes 2-pt shot from 4 ft (assist by D. Schroder),2,74-54,,
5:34.0,,,74-54,,Sacramento full timeout
5:34.0,K. Humphries enters the game for D. Howard,,74-54,,
5:26.0,,,74-54,,B. McLemore misses 2-pt shot from 10 ft
5:24.0,,,74-54,,Offensive rebound by B. McLemore
5:24.0,,,74-54,,B. McLemore misses 2-pt shot from 1 ft
5:23.0,,,74-54,,Offensive rebound by B. McLemore
5:23.0,,,74-54,,B. McLemore misses 2-pt shot from 1 ft
5:23.0,,,74-54,,Offensive rebound by Team
5:13.0,,,74-56,2,D. Collison makes 2-pt shot from 3 ft
5:03.0,D. Schroder misses 3-pt shot from 26 ft,,74-56,,
5:02.0,,,74-56,,Defensive rebound by D. Cousins
4:53.0,,,74-59,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
4:37.0,Shooting foul by B. McLemore (drawn by T. Hardaway),,74-59,,
4:37.0,T. Hardaway makes free throw 1 of 2,1,75-59,,
4:37.0,T. Hardaway makes free throw 2 of 2,1,76-59,,
4:37.0,D. Bembry enters the game for K. Bazemore,,75-59,,
4:21.0,Def 3 sec tech foul by K. Humphries,,76-59,,
4:21.0,,,76-60,1,D. Cousins makes technical free throw
4:14.0,,,76-60,,Offensive foul by K. Koufos
4:14.0,,,76-60,,Turnover by K. Koufos (offensive foul)
4:01.0,D. Schroder misses 2-pt shot from 18 ft,,76-60,,
4:00.0,,,76-60,,Defensive rebound by D. Cousins
3:53.0,,,76-60,,Shooting foul by K. Humphries (drawn by D. Cousins)
3:53.0,,,76-61,1,D. Cousins makes free throw 1 of 2
3:53.0,,,76-62,1,D. Cousins makes free throw 2 of 2
3:37.0,Shooting foul by D. Cousins (drawn by P. Millsap),,76-62,,
3:37.0,P. Millsap makes free throw 1 of 2,1,77-62,,
3:37.0,P. Millsap makes free throw 2 of 2,1,78-62,,
3:37.0,M. Delaney enters the game for D. Schroder,,77-62,,
3:28.0,,,78-64,2,D. Collison makes 2-pt shot from 3 ft
3:04.0,K. Humphries makes 3-pt shot from 23 ft (assist by T. Hardaway),3,81-64,,
2:53.0,,,81-67,3,D. Collison makes 3-pt shot from 26 ft
2:52.0,Atlanta full timeout,,81-67,,
2:52.0,,,81-67,,W. Cauley-Stein enters the game for A. Afflalo
2:52.0,,,81-67,,M. Barnes enters the game for D. Cousins
2:52.0,,,81-67,,A. Tolliver enters the game for K. Koufos
2:34.0,D. Bembry misses 3-pt shot from 25 ft,,81-67,,
2:33.0,,,81-67,,Defensive rebound by B. McLemore
2:22.0,,,81-69,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by M. Barnes)
2:22.0,,,81-69,,Shooting foul by K. Humphries (drawn by W. Cauley-Stein)
2:22.0,,,81-69,,W. Cauley-Stein misses free throw 1 of 1
2:21.0,Defensive rebound by T. Hardaway,,81-69,,
1:57.0,P. Millsap misses 2-pt shot from 7 ft,,81-69,,
1:56.0,Offensive rebound by P. Millsap,,81-69,,
1:56.0,P. Millsap misses 2-pt shot from 2 ft,,81-69,,
1:55.0,,,81-69,,Defensive rebound by A. Tolliver
1:39.0,,,81-72,3,A. Tolliver makes 3-pt shot from 25 ft (assist by B. McLemore)
1:20.0,T. Hardaway misses 3-pt shot from 23 ft,,81-72,,
1:19.0,Offensive rebound by P. Millsap,,81-72,,
1:12.0,P. Millsap misses 3-pt shot from 22 ft,,81-72,,
1:11.0,,,81-72,,Defensive rebound by W. Cauley-Stein
1:03.0,,,81-72,,Turnover by B. McLemore (traveling)
0:41.0,Shooting foul by W. Cauley-Stein (drawn by P. Millsap),,81-72,,
0:41.0,P. Millsap makes free throw 1 of 2,1,82-72,,
0:41.0,P. Millsap makes free throw 2 of 2,1,83-72,,
0:29.0,,,83-72,,B. McLemore misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by K. Humphries,,83-72,,
0:15.0,Shooting foul by A. Tolliver (drawn by P. Millsap),,83-72,,
0:15.0,P. Millsap misses free throw 1 of 2,,83-72,,
0:15.0,Offensive rebound by Team,,83-72,,
0:15.0,P. Millsap makes free throw 2 of 2,1,84-72,,
0:03.0,,,84-74,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by D. Collison)
0:00.0,D. Bembry misses 3-pt shot from 50 ft,,84-74,,
0:00.0,Offensive rebound by Team,,84-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,84-74,,M. Barnes misses 2-pt shot from 10 ft
11:38.0,,,84-74,,Offensive rebound by Team
11:34.0,,,84-77,3,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Barnes)
11:14.0,M. Dunleavy makes 2-pt shot from 21 ft (assist by M. Delaney),2,86-77,,
10:56.0,,,86-79,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by A. Tolliver)
10:38.0,Turnover by D. Bembry (lost ball; steal by B. McLemore),,86-79,,
10:32.0,,,86-79,,A. Tolliver misses 3-pt shot from 26 ft (block by D. Bembry)
10:31.0,Defensive rebound by M. Delaney,,86-79,,
10:31.0,,,86-79,,Personal foul by A. Tolliver (drawn by M. Delaney)
10:19.0,M. Dunleavy misses 3-pt shot from 26 ft,,86-79,,
10:18.0,,,86-79,,Defensive rebound by B. McLemore
10:12.0,K. Bazemore enters the game for D. Bembry,,86-79,,
10:05.0,,,86-79,,D. Collison misses 2-pt shot from 4 ft
10:04.0,Defensive rebound by K. Bazemore,,86-79,,
10:00.0,,,86-79,,Personal foul by W. Cauley-Stein (drawn by D. Howard)
9:41.0,Turnover by Team (shot clock),,86-79,,
9:28.0,,,86-79,,Turnover by M. Barnes (offensive foul)
9:28.0,,,86-79,,Offensive foul by M. Barnes
9:28.0,D. Schroder enters the game for M. Delaney,,86-79,,
9:16.0,K. Bazemore makes 2-pt shot from 19 ft (assist by D. Schroder),2,88-79,,
8:56.0,,,88-81,2,D. Collison makes 2-pt shot from 17 ft
8:37.0,Turnover by M. Muscala (bad pass; steal by D. Collison),,88-81,,
8:34.0,Violation by M. Muscala (def goaltending),,88-81,,
8:34.0,,,88-83,2,B. McLemore makes 2-pt shot from 3 ft
8:26.0,Turnover by D. Schroder (bad pass; steal by D. Collison),,88-83,,
8:21.0,,,88-83,,D. Collison misses 2-pt shot from 2 ft (block by K. Bazemore)
8:20.0,Defensive rebound by M. Dunleavy,,88-83,,
8:18.0,,,88-83,,Personal foul by M. Barnes (drawn by D. Schroder)
8:18.0,Official timeout,,88-83,,
8:18.0,P. Millsap enters the game for M. Muscala,,88-83,,
8:08.0,D. Schroder misses 2-pt shot from 18 ft,,88-83,,
8:06.0,,,88-83,,Defensive rebound by W. Cauley-Stein
7:44.0,,,88-85,2,B. McLemore makes 2-pt shot at rim (assist by W. Cauley-Stein)
7:18.0,K. Bazemore misses 2-pt shot from 4 ft,,88-85,,
7:17.0,,,88-85,,Defensive rebound by M. Barnes
6:55.0,,,88-85,,D. Collison misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by D. Schroder,,88-85,,
6:43.0,Turnover by P. Millsap (lost ball),,88-85,,
6:43.0,T. Hardaway enters the game for M. Dunleavy,,88-85,,
6:30.0,,,88-85,,D. Collison misses 2-pt shot from 11 ft
6:29.0,Defensive rebound by T. Hardaway,,88-85,,
6:19.0,D. Schroder makes 2-pt shot from 1 ft,2,90-85,,
6:00.0,,,90-88,3,A. Tolliver makes 3-pt shot from 24 ft (assist by B. McLemore)
5:40.0,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap),3,93-88,,
5:32.0,,,93-88,,Sacramento full timeout
5:32.0,,,93-88,,D. Cousins enters the game for W. Cauley-Stein
5:17.0,Personal foul by D. Howard (drawn by D. Cousins),,93-88,,
5:11.0,Violation by D. Howard (def goaltending),,93-88,,
5:11.0,,,93-90,2,D. Cousins makes 2-pt shot from 7 ft (assist by M. Barnes)
5:01.0,D. Schroder misses 2-pt shot from 14 ft,,93-90,,
5:00.0,,,93-90,,Defensive rebound by B. McLemore
4:52.0,,,93-90,,D. Cousins misses 2-pt shot from 6 ft (block by D. Howard)
4:51.0,,,93-90,,Offensive rebound by A. Tolliver
4:42.0,,,93-93,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
4:23.0,K. Bazemore makes 2-pt shot from 9 ft (assist by P. Millsap),2,95-93,,
4:02.0,Personal foul by D. Howard (drawn by D. Cousins),,95-93,,
4:02.0,Technical foul by D. Howard (drawn by D. Cousins),,95-93,,
4:02.0,,,95-94,1,D. Collison makes technical free throw
3:51.0,,,95-94,,D. Collison misses 2-pt shot from 4 ft
3:49.0,Defensive rebound by K. Bazemore,,95-94,,
3:40.0,T. Hardaway makes 2-pt shot from 13 ft,2,97-94,,
3:40.0,Shooting foul by B. McLemore (drawn by T. Hardaway),,97-94,,
3:40.0,T. Hardaway makes free throw 1 of 1,1,98-94,,
3:40.0,D. Bembry enters the game for D. Howard,,97-94,,
3:24.0,,,98-94,,Turnover by D. Cousins (lost ball; steal by D. Bembry)
