time,Atlanta,pts.away,score,pts.home,Milwaukee
6:25.0,T. Hardaway misses 2-pt shot at rim,,14-14,,
6:23.0,,,14-14,,Defensive rebound by G. Antetokounmpo
6:16.0,,,14-14,,G. Antetokounmpo misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by D. Howard,,14-14,,
6:03.0,Turnover by D. Schroder (bad pass; steal by T. Snell),,14-14,,
6:03.0,Personal foul by T. Sefolosha (drawn by K. Middleton),,14-14,,
6:03.0,,,14-14,,G. Monroe enters the game for K. Middleton
6:03.0,,,14-14,,J. Terry enters the game for T. Maker
6:03.0,T. Waller-Prince enters the game for T. Sefolosha,,14-14,,
5:52.0,,,14-14,,M. Brogdon misses 3-pt shot from 28 ft (block by D. Schroder)
5:49.0,Defensive rebound by E. Ilyasova,,14-14,,
5:40.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,16-14,,
5:22.0,,,16-14,,T. Snell misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by T. Waller-Prince,,16-14,,
5:08.0,T. Hardaway makes 2-pt shot at rim (assist by T. Waller-Prince),2,18-14,,
4:44.0,,,18-14,,G. Monroe misses 2-pt shot from 4 ft
4:43.0,Defensive rebound by E. Ilyasova,,18-14,,
4:36.0,T. Waller-Prince misses 2-pt shot from 13 ft,,18-14,,
4:35.0,,,18-14,,Defensive rebound by G. Monroe
4:16.0,,,18-14,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:15.0,,,18-14,,Offensive rebound by G. Antetokounmpo
4:15.0,,,18-14,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:14.0,,,18-14,,Offensive rebound by G. Antetokounmpo
4:14.0,,,18-16,2,G. Antetokounmpo makes 2-pt shot at rim
4:13.0,Atlanta full timeout,,18-16,,
4:13.0,,,18-16,,M. Dellavedova enters the game for M. Brogdon
3:57.0,D. Howard misses 2-pt shot from 7 ft,,18-16,,
3:56.0,,,18-16,,Defensive rebound by G. Monroe
3:46.0,,,18-18,2,G. Monroe makes 2-pt shot from 1 ft
3:27.0,T. Hardaway misses 3-pt shot from 25 ft,,18-18,,
3:25.0,Offensive rebound by D. Howard,,18-18,,
3:25.0,D. Howard misses 2-pt shot from 3 ft,,18-18,,
3:24.0,Offensive rebound by E. Ilyasova,,18-18,,
3:24.0,E. Ilyasova misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,18-18,,
3:24.0,Offensive rebound by Team,,18-18,,
3:24.0,M. Muscala enters the game for E. Ilyasova,,18-18,,
3:21.0,T. Hardaway misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,18-18,,
3:19.0,Offensive rebound by T. Hardaway,,18-18,,
3:17.0,T. Hardaway misses 2-pt shot from 4 ft,,18-18,,
3:14.0,Offensive rebound by D. Schroder,,18-18,,
3:08.0,D. Schroder makes 3-pt shot from 26 ft,3,21-18,,
2:54.0,,,21-21,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
2:45.0,D. Schroder misses 2-pt shot from 3 ft,,21-21,,
2:44.0,,,21-21,,Defensive rebound by M. Dellavedova
2:40.0,,,21-21,,Shooting foul by T. Waller-Prince (drawn by G. Antetokounmpo)
2:40.0,,,21-21,,Milwaukee full timeout
2:40.0,Violation by Team (delay of game),,21-21,,
2:40.0,,,21-22,1,G. Antetokounmpo makes free throw 1 of 2
2:40.0,,,21-23,1,G. Antetokounmpo makes free throw 2 of 2
2:40.0,M. Dunleavy enters the game for D. Howard,,21-21,,
2:40.0,K. Humphries enters the game for T. Hardaway,,21-21,,
2:27.0,D. Schroder misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,21-23,,
2:26.0,,,21-23,,Defensive rebound by Team
2:09.0,,,21-25,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
1:52.0,,,21-25,,Personal block foul by G. Monroe (drawn by K. Humphries)
1:52.0,M. Delaney enters the game for D. Schroder,,21-25,,
1:43.0,M. Muscala misses 2-pt shot from 15 ft,,21-25,,
1:42.0,,,21-25,,Defensive rebound by G. Antetokounmpo
1:31.0,,,21-25,,G. Monroe misses 2-pt shot from 7 ft
1:30.0,Defensive rebound by Team,,21-25,,
1:15.0,Turnover by M. Delaney (bad pass; steal by G. Antetokounmpo),,21-25,,
1:11.0,,,21-27,2,G. Antetokounmpo makes 2-pt shot at rim
0:49.0,T. Waller-Prince misses 2-pt shot at rim,,21-27,,
0:48.0,,,21-27,,Defensive rebound by G. Antetokounmpo
0:39.0,,,21-27,,Shooting foul by K. Humphries (drawn by G. Antetokounmpo)
0:39.0,,,21-28,1,G. Antetokounmpo makes free throw 1 of 2
0:39.0,,,21-29,1,G. Antetokounmpo makes free throw 2 of 2
0:24.0,M. Muscala misses 3-pt shot from 28 ft,,21-29,,
0:23.0,,,21-29,,Defensive rebound by G. Monroe
0:04.0,,,21-29,,G. Monroe misses 2-pt shot at rim
0:02.0,Defensive rebound by M. Muscala,,21-29,,
0:00.0,M. Delaney misses 3-pt shot from 40 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-29,,M. Brogdon misses 2-pt shot from 1 ft
11:41.0,,,21-29,,Offensive rebound by G. Monroe
11:33.0,,,21-29,,M. Brogdon misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by Team,,21-29,,
11:17.0,K. Humphries makes 3-pt shot from 26 ft (assist by M. Dunleavy),3,24-29,,
11:01.0,,,24-31,2,M. Brogdon makes 2-pt shot at rim (assist by G. Monroe)
10:40.0,K. Humphries misses 2-pt shot from 12 ft,,24-31,,
10:38.0,,,24-31,,Defensive rebound by G. Monroe
10:29.0,,,24-31,,M. Teletovic misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by M. Muscala,,24-31,,
10:17.0,K. Humphries misses 2-pt shot from 1 ft (block by J. Terry),,24-31,,
10:17.0,,,24-31,,Defensive rebound by Team
10:17.0,T. Hardaway enters the game for T. Waller-Prince,,24-31,,
10:06.0,Personal foul by T. Hardaway (drawn by M. Brogdon),,24-31,,
9:51.0,,,24-31,,M. Teletovic misses 3-pt shot from 28 ft
9:50.0,Defensive rebound by K. Humphries,,24-31,,
9:40.0,M. Delaney misses 3-pt shot from 24 ft,,24-31,,
9:39.0,,,24-31,,Defensive rebound by M. Teletovic
9:21.0,,,24-33,2,M. Teletovic makes 2-pt shot at rim (assist by M. Brogdon)
9:06.0,Turnover by M. Muscala (bad pass; steal by M. Dellavedova),,24-33,,
8:44.0,,,24-36,3,J. Terry makes 3-pt shot from 28 ft (assist by M. Dellavedova)
8:44.0,Atlanta full timeout,,24-36,,
8:44.0,T. Sefolosha enters the game for M. Muscala,,24-36,,
8:32.0,,,24-36,,Personal foul by M. Dellavedova (drawn by M. Delaney)
8:26.0,T. Hardaway makes 2-pt shot from 15 ft (assist by M. Dunleavy),2,26-36,,
8:00.0,,,26-36,,G. Monroe misses 2-pt shot from 10 ft
7:59.0,Defensive rebound by M. Delaney,,26-36,,
7:45.0,K. Humphries misses 3-pt shot from 26 ft,,26-36,,
7:44.0,Offensive rebound by M. Dunleavy,,26-36,,
7:40.0,K. Humphries makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,28-36,,
7:25.0,Personal foul by M. Delaney (drawn by M. Brogdon),,28-36,,
7:25.0,D. Howard enters the game for K. Humphries,,28-36,,
7:25.0,D. Schroder enters the game for M. Delaney,,28-36,,
7:21.0,,,28-36,,S. Hawes enters the game for G. Monroe
7:15.0,,,28-38,2,M. Dellavedova makes 2-pt shot from 6 ft (assist by M. Brogdon)
7:01.0,T. Hardaway misses 3-pt shot from 28 ft,,28-38,,
6:59.0,,,28-38,,Defensive rebound by S. Hawes
6:42.0,,,28-40,2,M. Brogdon makes 2-pt shot at rim (assist by M. Dellavedova)
6:22.0,Turnover by T. Hardaway (traveling),,28-40,,
6:22.0,E. Ilyasova enters the game for M. Dunleavy,,28-40,,
6:22.0,Violation by Team (delay of game),,28-40,,
6:07.0,,,28-40,,Turnover by M. Brogdon (bad pass)
5:45.0,T. Hardaway makes 2-pt shot from 7 ft (assist by D. Schroder),2,30-40,,
5:32.0,,,30-40,,M. Teletovic misses 3-pt shot from 27 ft
5:30.0,Defensive rebound by D. Schroder,,30-40,,
5:23.0,Turnover by D. Schroder (bad pass; steal by S. Hawes),,30-40,,
5:08.0,,,30-40,,Shooting foul by T. Hardaway (drawn by M. Brogdon)
5:08.0,,,30-42,2,M. Brogdon makes 2-pt shot from 1 ft (assist by S. Hawes)
5:08.0,Official timeout,,30-42,,
5:08.0,,,30-43,1,M. Brogdon makes free throw 1 of 1
5:08.0,,,30-42,,G. Antetokounmpo enters the game for M. Dellavedova
5:08.0,,,30-42,,K. Middleton enters the game for M. Teletovic
4:58.0,,,30-43,,Personal foul by M. Brogdon (drawn by D. Howard)
4:46.0,D. Schroder makes 2-pt shot at rim,2,32-43,,
4:23.0,,,32-43,,J. Terry misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by T. Sefolosha,,32-43,,
4:15.0,,,32-43,,T. Snell enters the game for J. Terry
4:08.0,T. Sefolosha misses 3-pt shot from 25 ft,,32-43,,
4:07.0,Offensive rebound by Team,,32-43,,
4:01.0,T. Hardaway misses 2-pt shot from 9 ft,,32-43,,
4:00.0,Offensive rebound by Team,,32-43,,
3:52.0,T. Hardaway makes 3-pt shot from 27 ft (assist by D. Schroder),3,35-43,,
3:34.0,,,35-45,2,T. Snell makes 2-pt shot from 17 ft (assist by S. Hawes)
3:19.0,,,35-45,,Personal block foul by S. Hawes (drawn by D. Schroder)
3:11.0,D. Schroder makes 2-pt shot from 16 ft,2,37-45,,
2:54.0,,,37-45,,Turnover by M. Brogdon (bad pass; steal by E. Ilyasova)
2:50.0,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Howard),2,39-45,,
2:34.0,,,39-45,,T. Snell misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by D. Howard,,39-45,,
2:15.0,Turnover by E. Ilyasova (traveling),,39-45,,
2:15.0,,,39-45,,Milwaukee full timeout
2:15.0,T. Waller-Prince enters the game for T. Hardaway,,39-45,,
2:04.0,,,39-45,,Turnover by K. Middleton (bad pass)
1:46.0,,,39-45,,Personal foul by S. Hawes (drawn by D. Howard)
1:46.0,T. Hardaway enters the game for T. Sefolosha,,39-45,,
1:34.0,D. Howard makes 2-pt shot from 1 ft,2,41-45,,
1:14.0,,,41-45,,S. Hawes misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by E. Ilyasova,,41-45,,
0:59.0,,,41-45,,Violation by S. Hawes (def goaltending)
0:59.0,D. Schroder makes 2-pt shot from 1 ft,2,43-45,,
0:39.0,T. Sefolosha enters the game for T. Hardaway,,43-45,,
0:34.0,,,43-45,,K. Middleton misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by E. Ilyasova,,43-45,,
0:18.0,D. Schroder misses 2-pt shot from 11 ft,,43-45,,
0:16.0,,,43-45,,Defensive rebound by M. Brogdon
0:03.0,Personal block foul by T. Sefolosha (drawn by K. Middleton),,43-45,,
0:03.0,M. Delaney enters the game for D. Howard,,43-45,,
0:00.0,,,43-45,,M. Brogdon misses 2-pt shot from 15 ft
0:00.0,,,43-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-47,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
11:21.0,E. Ilyasova misses 2-pt shot from 13 ft,,43-47,,
11:21.0,,,43-47,,Defensive rebound by Team
11:21.0,Loose ball foul by D. Howard (drawn by T. Maker),,43-47,,
11:09.0,,,43-47,,Turnover by G. Antetokounmpo (lost ball; steal by D. Schroder)
11:07.0,Shooting foul by T. Snell (drawn by D. Schroder),,43-47,,
11:07.0,D. Schroder makes free throw 1 of 2,1,44-47,,
11:07.0,D. Schroder makes free throw 2 of 2,1,45-47,,
10:42.0,,,45-47,,T. Snell misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by E. Ilyasova,,45-47,,
10:31.0,D. Howard misses 2-pt shot from 1 ft,,45-47,,
10:30.0,,,45-47,,Defensive rebound by T. Maker
10:09.0,,,45-47,,K. Middleton misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by D. Schroder,,45-47,,
9:59.0,D. Schroder makes 2-pt shot from 1 ft,2,47-47,,
9:32.0,,,47-50,3,M. Brogdon makes 3-pt shot from 24 ft (assist by K. Middleton)
9:23.0,D. Howard makes 2-pt shot at rim (assist by E. Ilyasova),2,49-50,,
9:01.0,,,49-50,,Shooting foul by T. Sefolosha (drawn by K. Middleton)
9:01.0,,,49-51,1,K. Middleton makes free throw 1 of 2
9:01.0,,,49-52,1,K. Middleton makes free throw 2 of 2
8:48.0,Shooting foul by T. Maker (drawn by D. Howard),,49-52,,
8:48.0,D. Howard makes free throw 1 of 2,1,50-52,,
8:48.0,D. Howard makes free throw 2 of 2,1,51-52,,
8:37.0,,,51-52,,T. Maker misses 2-pt shot from 17 ft
8:36.0,Defensive rebound by T. Sefolosha,,51-52,,
8:33.0,Shooting foul by M. Brogdon (drawn by D. Howard),,51-52,,
8:33.0,D. Howard makes free throw 1 of 2,1,52-52,,
8:33.0,D. Howard makes free throw 2 of 2,1,53-52,,
8:18.0,,,53-52,,T. Snell misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by D. Howard,,53-52,,
8:07.0,Shooting foul by T. Maker (drawn by T. Hardaway),,53-52,,
8:07.0,T. Hardaway makes free throw 1 of 2,1,54-52,,
8:07.0,T. Hardaway makes free throw 2 of 2,1,55-52,,
8:07.0,,,54-52,,G. Monroe enters the game for T. Maker
7:52.0,,,55-54,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:37.0,E. Ilyasova misses 2-pt shot from 1 ft,,55-54,,
7:35.0,,,55-54,,Defensive rebound by K. Middleton
7:30.0,,,55-56,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:11.0,E. Ilyasova misses 2-pt shot from 22 ft,,55-56,,
7:10.0,Offensive rebound by T. Sefolosha,,55-56,,
7:07.0,T. Sefolosha misses 2-pt shot from 8 ft,,55-56,,
7:06.0,Offensive rebound by T. Sefolosha,,55-56,,
7:00.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,58-56,,
6:48.0,,,58-56,,K. Middleton misses 2-pt shot from 16 ft
6:47.0,Defensive rebound by D. Howard,,58-56,,
6:41.0,D. Schroder misses 2-pt shot from 1 ft,,58-56,,
6:39.0,,,58-56,,Defensive rebound by G. Monroe
6:32.0,,,58-58,2,G. Monroe makes 2-pt shot from 7 ft (assist by M. Brogdon)
6:10.0,Shooting foul by K. Middleton (drawn by T. Sefolosha),,58-58,,
6:10.0,T. Sefolosha makes free throw 1 of 2,1,59-58,,
6:10.0,T. Sefolosha makes free throw 2 of 2,1,60-58,,
6:10.0,T. Waller-Prince enters the game for E. Ilyasova,,59-58,,
5:44.0,,,60-58,,G. Antetokounmpo misses 3-pt shot from 27 ft
5:44.0,,,60-58,,Offensive rebound by Team
5:44.0,,,60-58,,Turnover by Team (shot clock)
5:44.0,,,60-58,,Milwaukee full timeout
5:32.0,T. Hardaway misses 2-pt shot from 12 ft,,60-58,,
5:30.0,,,60-58,,Defensive rebound by G. Antetokounmpo
5:15.0,,,60-58,,Turnover by M. Brogdon (bad pass; steal by T. Waller-Prince)
5:10.0,T. Waller-Prince makes 2-pt shot at rim,2,62-58,,
4:45.0,,,62-58,,M. Brogdon misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by D. Howard,,62-58,,
4:24.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,64-58,,
4:09.0,,,64-58,,K. Middleton misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by D. Howard,,64-58,,
3:54.0,D. Schroder misses 2-pt shot from 17 ft,,64-58,,
3:53.0,,,64-58,,Defensive rebound by M. Brogdon
3:44.0,,,64-58,,K. Middleton misses 2-pt shot from 2 ft
3:43.0,,,64-58,,Offensive rebound by G. Monroe
3:42.0,,,64-58,,G. Monroe misses 2-pt shot from 1 ft (block by T. Sefolosha)
3:40.0,,,64-58,,Offensive rebound by G. Monroe
3:37.0,,,64-61,3,T. Snell makes 3-pt shot from 22 ft (assist by G. Monroe)
3:26.0,Turnover by D. Schroder (bad pass; steal by K. Middleton),,64-61,,
3:22.0,,,64-61,,Shooting foul by T. Waller-Prince (drawn by G. Antetokounmpo)
3:22.0,,,64-62,1,G. Antetokounmpo makes free throw 1 of 2
3:22.0,,,64-63,1,G. Antetokounmpo makes free throw 2 of 2
3:22.0,E. Ilyasova enters the game for D. Howard,,64-62,,
3:22.0,,,64-62,,M. Dellavedova enters the game for M. Brogdon
3:22.0,,,64-62,,J. Terry enters the game for K. Middleton
3:09.0,D. Schroder makes 3-pt shot from 27 ft (assist by T. Hardaway),3,67-63,,
2:58.0,,,67-65,2,G. Antetokounmpo makes 2-pt shot from 3 ft
2:49.0,Atlanta full timeout,,67-65,,
2:49.0,M. Dunleavy enters the game for T. Hardaway,,67-65,,
2:42.0,D. Schroder makes 2-pt shot from 4 ft,2,69-65,,
2:42.0,Shooting foul by M. Dellavedova (drawn by D. Schroder),,69-65,,
2:42.0,D. Schroder makes free throw 1 of 1,1,70-65,,
2:28.0,Personal foul by E. Ilyasova (drawn by G. Monroe),,70-65,,
2:21.0,,,70-65,,G. Antetokounmpo misses 3-pt shot from 29 ft
2:19.0,Defensive rebound by M. Dunleavy,,70-65,,
2:07.0,Turnover by T. Waller-Prince (bad pass),,70-65,,
1:55.0,,,70-67,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:55.0,,,70-67,,Shooting foul by E. Ilyasova (drawn by G. Antetokounmpo)
1:55.0,,,70-68,1,G. Antetokounmpo makes free throw 1 of 1
1:47.0,D. Schroder misses 2-pt shot from 5 ft,,70-68,,
1:46.0,Offensive rebound by D. Schroder,,70-68,,
1:46.0,D. Schroder misses 2-pt shot from 2 ft,,70-68,,
1:44.0,,,70-68,,Defensive rebound by G. Monroe
1:35.0,,,70-68,,G. Monroe misses 2-pt shot from 1 ft
1:33.0,,,70-68,,Offensive rebound by G. Antetokounmpo
1:33.0,,,70-68,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:32.0,,,70-68,,Offensive rebound by G. Antetokounmpo
1:32.0,,,70-68,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:30.0,,,70-68,,Offensive rebound by Team
1:15.0,,,70-70,2,G. Monroe makes 2-pt shot from 4 ft
0:58.0,D. Schroder misses 2-pt shot from 2 ft (block by J. Terry),,70-70,,
0:58.0,Offensive rebound by E. Ilyasova,,70-70,,
0:58.0,E. Ilyasova makes 2-pt shot from 1 ft,2,72-70,,
0:49.0,,,72-72,2,G. Antetokounmpo makes 2-pt shot from 20 ft
0:33.0,D. Schroder makes 2-pt shot from 1 ft,2,74-72,,
0:10.0,,,74-72,,G. Monroe misses 2-pt shot from 9 ft
0:08.0,Defensive rebound by E. Ilyasova,,74-72,,
0:00.0,T. Sefolosha misses 2-pt shot from 18 ft,,74-72,,
0:00.0,Offensive rebound by Team,,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Delaney),3,77-72,,
11:23.0,,,77-75,3,J. Terry makes 3-pt shot from 24 ft (assist by G. Monroe)
11:04.0,Turnover by T. Hardaway (bad pass),,77-75,,
10:54.0,,,77-75,,G. Monroe misses 2-pt shot from 3 ft
10:52.0,Defensive rebound by E. Ilyasova,,77-75,,
10:46.0,T. Hardaway misses 3-pt shot from 24 ft,,77-75,,
10:44.0,,,77-75,,Defensive rebound by K. Middleton
10:30.0,Personal foul by K. Humphries (drawn by G. Monroe),,77-75,,
10:27.0,,,77-78,3,M. Teletovic makes 3-pt shot from 28 ft (assist by K. Middleton)
10:07.0,Shooting foul by M. Teletovic (drawn by E. Ilyasova),,77-78,,
10:07.0,E. Ilyasova makes free throw 1 of 2,1,78-78,,
10:07.0,E. Ilyasova makes free throw 2 of 2,1,79-78,,
9:57.0,,,79-78,,M. Teletovic misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by M. Dunleavy,,79-78,,
9:44.0,E. Ilyasova misses 3-pt shot from 24 ft,,79-78,,
9:42.0,Offensive rebound by M. Dunleavy,,79-78,,
9:42.0,M. Dunleavy makes 2-pt shot at rim,2,81-78,,
9:22.0,,,81-80,2,G. Monroe makes 2-pt shot from 1 ft
9:05.0,K. Humphries misses 2-pt shot from 13 ft,,81-80,,
9:03.0,,,81-80,,Defensive rebound by K. Middleton
8:55.0,,,81-80,,J. Terry misses 3-pt shot from 24 ft
8:54.0,,,81-80,,Offensive rebound by M. Dellavedova
8:50.0,,,81-80,,K. Middleton misses 3-pt shot from 28 ft
8:49.0,Defensive rebound by M. Dunleavy,,81-80,,
8:31.0,,,81-80,,Personal block foul by G. Monroe (drawn by K. Humphries)
8:31.0,Official timeout,,81-80,,
8:31.0,,,81-80,,S. Hawes enters the game for G. Monroe
8:17.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Hardaway),3,84-80,,
7:57.0,,,84-82,2,K. Middleton makes 2-pt shot from 15 ft (assist by S. Hawes)
7:43.0,Turnover by E. Ilyasova (bad pass),,84-82,,
7:43.0,D. Schroder enters the game for M. Delaney,,84-82,,
7:20.0,,,84-82,,K. Middleton misses 2-pt shot from 11 ft
7:19.0,Defensive rebound by K. Humphries,,84-82,,
7:06.0,D. Schroder misses 2-pt shot from 19 ft,,84-82,,
7:05.0,Offensive rebound by K. Humphries,,84-82,,
7:05.0,K. Humphries misses 2-pt shot at rim,,84-82,,
7:03.0,,,84-82,,Defensive rebound by J. Terry
6:54.0,,,84-82,,Shooting foul by E. Ilyasova (drawn by J. Terry)
6:54.0,,,84-83,1,J. Terry makes free throw 1 of 2
6:54.0,,,84-84,1,J. Terry makes free throw 2 of 2
6:54.0,,,84-83,,M. Brogdon enters the game for M. Dellavedova
6:54.0,D. Howard enters the game for K. Humphries,,84-83,,
6:41.0,M. Dunleavy misses 3-pt shot from 24 ft,,84-84,,
6:40.0,Offensive rebound by D. Schroder,,84-84,,
6:39.0,D. Schroder misses 2-pt shot from 1 ft,,84-84,,
6:38.0,,,84-84,,Defensive rebound by Team
6:38.0,,,84-84,,G. Antetokounmpo enters the game for M. Teletovic
6:29.0,,,84-86,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Brogdon)
6:11.0,Turnover by M. Dunleavy (bad pass; steal by K. Middleton),,84-86,,
5:55.0,,,84-86,,M. Brogdon misses 2-pt shot from 1 ft
5:53.0,,,84-86,,Offensive rebound by M. Brogdon
5:53.0,,,84-88,2,M. Brogdon makes 2-pt shot from 1 ft
5:53.0,Atlanta full timeout,,84-88,,
5:53.0,T. Sefolosha enters the game for E. Ilyasova,,84-88,,
5:53.0,T. Waller-Prince enters the game for M. Dunleavy,,84-88,,
5:45.0,,,84-88,,Personal foul by M. Brogdon (drawn by T. Waller-Prince)
5:32.0,D. Schroder misses 2-pt shot from 17 ft,,84-88,,
5:29.0,Offensive rebound by D. Howard,,84-88,,
5:26.0,Turnover by D. Howard (lost ball; steal by J. Terry),,84-88,,
5:21.0,,,84-88,,K. Middleton misses 3-pt shot from 28 ft
5:20.0,Defensive rebound by D. Howard,,84-88,,
5:03.0,Shooting foul by S. Hawes (drawn by D. Howard),,84-88,,
5:03.0,D. Howard misses free throw 1 of 2,,84-88,,
5:03.0,Offensive rebound by Team,,84-88,,
5:03.0,D. Howard makes free throw 2 of 2,1,85-88,,
4:47.0,,,85-90,2,S. Hawes makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:32.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder),2,87-90,,
4:32.0,Shooting foul by S. Hawes (drawn by T. Waller-Prince),,87-90,,
4:32.0,T. Waller-Prince makes free throw 1 of 1,1,88-90,,
4:09.0,,,88-90,,K. Middleton misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by D. Schroder,,88-90,,
4:06.0,,,88-90,,Personal foul by J. Terry (drawn by T. Hardaway)
4:06.0,T. Hardaway makes free throw 1 of 2,1,89-90,,
4:06.0,T. Hardaway makes free throw 2 of 2,1,90-90,,
4:06.0,,,89-90,,G. Monroe enters the game for J. Terry
4:06.0,,,89-90,,T. Snell enters the game for S. Hawes
3:46.0,,,90-90,,M. Brogdon misses 2-pt shot from 7 ft
