time,Dallas,pts.away,score,pts.home,Portland
6:39.0,D. Williams makes 3-pt shot from 24 ft,3,16-10,,
6:22.0,,,16-10,,A. Aminu misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by D. Williams,,16-10,,
6:08.0,Shooting foul by C. McCollum (drawn by W. Matthews),,16-10,,
6:08.0,W. Matthews makes free throw 1 of 2,1,17-10,,
6:08.0,W. Matthews makes free throw 2 of 2,1,18-10,,
6:08.0,,,17-10,,A. Crabbe enters the game for A. Aminu
5:55.0,Personal foul by H. Barnes (drawn by C. McCollum),,18-10,,
5:55.0,J. Barea enters the game for H. Barnes,,18-10,,
5:55.0,D. Harris enters the game for S. Mejri,,18-10,,
5:55.0,D. Powell enters the game for D. Williams,,18-10,,
5:46.0,,,18-10,,M. Harkless misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by D. Finney-Smith,,18-10,,
5:35.0,W. Matthews misses 2-pt shot from 7 ft,,18-10,,
5:35.0,,,18-10,,Defensive rebound by M. Harkless
5:21.0,,,18-12,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
5:07.0,Shooting foul by M. Plumlee (drawn by D. Powell),,18-12,,
5:07.0,D. Powell makes free throw 1 of 2,1,19-12,,
5:07.0,D. Powell misses free throw 2 of 2,,19-12,,
5:07.0,,,19-12,,E. Davis enters the game for M. Plumlee
5:06.0,,,19-12,,Defensive rebound by E. Davis
4:54.0,,,19-12,,D. Lillard misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by D. Finney-Smith,,19-12,,
4:45.0,J. Barea misses 2-pt shot from 2 ft,,19-12,,
4:44.0,,,19-12,,Defensive rebound by C. McCollum
4:38.0,,,19-12,,C. McCollum misses 2-pt shot from 2 ft
4:37.0,Defensive rebound by D. Harris,,19-12,,
4:32.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris),2,21-12,,
4:03.0,,,21-12,,A. Crabbe misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by W. Matthews,,21-12,,
3:43.0,J. Barea misses 3-pt shot from 24 ft,,21-12,,
3:41.0,Offensive rebound by D. Finney-Smith,,21-12,,
3:41.0,Dallas full timeout,,21-12,,
3:41.0,,,21-12,,S. Napier enters the game for C. McCollum
3:27.0,J. Barea misses 2-pt shot from 10 ft,,21-12,,
3:26.0,Offensive rebound by D. Powell,,21-12,,
3:18.0,D. Harris misses 2-pt shot from 8 ft,,21-12,,
3:18.0,,,21-12,,Defensive rebound by Team
3:18.0,Loose ball foul by D. Powell (drawn by E. Davis),,21-12,,
3:06.0,,,21-12,,D. Lillard misses 3-pt shot from 26 ft
3:06.0,,,21-12,,Offensive rebound by E. Davis
3:02.0,,,21-12,,Turnover by E. Davis (lost ball; steal by D. Harris)
2:56.0,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea),3,24-12,,
2:44.0,,,24-12,,Offensive foul by E. Davis
2:44.0,,,24-12,,Turnover by E. Davis (offensive foul)
2:44.0,H. Barnes enters the game for D. Finney-Smith,,24-12,,
2:24.0,J. Barea misses 2-pt shot from 1 ft,,24-12,,
2:23.0,Offensive rebound by D. Powell,,24-12,,
2:21.0,W. Matthews misses 3-pt shot from 24 ft,,24-12,,
2:20.0,,,24-12,,Defensive rebound by A. Crabbe
2:02.0,,,24-15,3,S. Napier makes 3-pt shot from 27 ft (assist by M. Harkless)
1:45.0,Turnover by J. Barea (bad pass; steal by S. Napier),,24-15,,
1:41.0,,,24-17,2,M. Harkless makes 2-pt shot from 2 ft (assist by S. Napier)
1:40.0,Dallas full timeout,,24-17,,
1:31.0,Shooting foul by S. Napier (drawn by D. Powell),,24-17,,
1:31.0,D. Powell makes free throw 1 of 2,1,25-17,,
1:31.0,D. Powell makes free throw 2 of 2,1,26-17,,
1:11.0,,,26-17,,M. Harkless misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by D. Harris,,26-17,,
1:09.0,,,26-17,,Personal foul by M. Harkless (drawn by D. Powell)
1:09.0,D. Powell misses free throw 1 of 2,,26-17,,
1:09.0,Offensive rebound by Team,,26-17,,
1:09.0,D. Powell makes free throw 2 of 2,1,27-17,,
1:09.0,,,26-17,,C. McCollum enters the game for D. Lillard
1:09.0,,,26-17,,A. Aminu enters the game for M. Harkless
1:00.0,,,27-17,,Turnover by C. McCollum (bad pass; steal by J. Barea)
0:55.0,Turnover by D. Powell (traveling),,27-17,,
0:32.0,,,27-17,,C. McCollum misses 3-pt shot from 24 ft
0:32.0,,,27-17,,Offensive rebound by S. Napier
0:27.0,,,27-20,3,S. Napier makes 3-pt shot from 24 ft
0:04.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,29-20,,
0:04.0,Shooting foul by E. Davis (drawn by D. Powell),,29-20,,
0:04.0,D. Powell makes free throw 1 of 1,1,30-20,,
0:04.0,D. Finney-Smith enters the game for J. Barea,,29-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Barea misses 2-pt shot from 6 ft,,30-20,,
11:38.0,,,30-20,,Defensive rebound by A. Aminu
11:26.0,,,30-20,,C. McCollum misses 3-pt shot from 27 ft
11:25.0,Defensive rebound by J. Barea,,30-20,,
11:16.0,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea),2,32-20,,
11:02.0,,,32-22,2,C. McCollum makes 2-pt shot from 19 ft
10:45.0,S. Mejri makes 2-pt shot from 11 ft (assist by J. Barea),2,34-22,,
10:20.0,,,34-22,,A. Aminu misses 2-pt shot from 10 ft
10:17.0,,,34-22,,Offensive rebound by E. Davis
10:12.0,,,34-25,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
9:56.0,,,34-25,,Personal foul by E. Davis (drawn by H. Barnes)
9:56.0,,,34-25,,M. Plumlee enters the game for E. Davis
9:56.0,D. Williams enters the game for D. Harris,,34-25,,
9:40.0,H. Barnes misses 2-pt shot from 2 ft (block by M. Plumlee),,34-25,,
9:40.0,,,34-25,,Defensive rebound by A. Crabbe
9:25.0,,,34-25,,Turnover by M. Plumlee (lost ball; steal by D. Finney-Smith)
9:09.0,J. Barea misses 3-pt shot from 24 ft,,34-25,,
9:07.0,,,34-25,,Defensive rebound by M. Plumlee
8:54.0,,,34-25,,S. Napier misses 2-pt shot from 1 ft (block by S. Mejri)
8:54.0,,,34-25,,Offensive rebound by Team
8:54.0,Loose ball foul by H. Barnes (drawn by A. Crabbe),,34-25,,
8:54.0,Official timeout,,34-25,,
8:54.0,S. Curry enters the game for J. Barea,,34-25,,
8:45.0,,,34-25,,S. Napier misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by Team,,34-25,,
8:28.0,Offensive foul by S. Mejri,,34-25,,
8:28.0,Turnover by S. Mejri (offensive foul),,34-25,,
8:28.0,W. Matthews enters the game for H. Barnes,,34-25,,
8:15.0,,,34-25,,C. McCollum misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by S. Mejri,,34-25,,
7:59.0,D. Williams makes 2-pt shot from 8 ft,2,36-25,,
7:49.0,,,36-25,,Turnover by C. McCollum (bad pass; steal by S. Curry)
7:38.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Williams),3,39-25,,
7:38.0,,,39-25,,Portland full timeout
7:38.0,,,39-25,,D. Lillard enters the game for C. McCollum
7:38.0,,,39-25,,M. Harkless enters the game for A. Aminu
7:21.0,,,39-25,,D. Lillard misses 2-pt shot from 20 ft
7:20.0,Defensive rebound by S. Mejri,,39-25,,
7:06.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,42-25,,
7:00.0,Shooting block foul by S. Curry (drawn by S. Napier),,42-25,,
7:00.0,,,42-26,1,S. Napier makes free throw 1 of 2
7:00.0,,,42-27,1,S. Napier makes free throw 2 of 2
6:42.0,D. Finney-Smith makes 2-pt shot from 5 ft,2,44-27,,
6:31.0,,,44-27,,D. Lillard misses 2-pt shot from 3 ft (block by S. Mejri)
6:30.0,Defensive rebound by D. Williams,,44-27,,
6:22.0,S. Curry misses 3-pt shot from 23 ft,,44-27,,
6:22.0,,,44-27,,Defensive rebound by A. Crabbe
6:11.0,,,44-30,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
5:51.0,D. Williams makes 2-pt shot from 20 ft,2,46-30,,
5:35.0,,,46-30,,M. Harkless misses 2-pt shot at rim
5:35.0,,,46-30,,Offensive rebound by M. Harkless
5:35.0,,,46-32,2,M. Harkless makes 2-pt shot at rim
5:07.0,W. Matthews misses 3-pt shot from 26 ft,,46-32,,
5:05.0,,,46-32,,Defensive rebound by M. Harkless
4:56.0,,,46-32,,Shooting foul by S. Mejri (drawn by M. Plumlee)
4:56.0,,,46-32,,M. Plumlee misses free throw 1 of 2
4:56.0,,,46-32,,Offensive rebound by Team
4:56.0,,,46-32,,M. Plumlee misses free throw 2 of 2
4:56.0,D. Harris enters the game for D. Williams,,46-32,,
4:56.0,H. Barnes enters the game for D. Finney-Smith,,46-32,,
4:56.0,D. Powell enters the game for S. Mejri,,46-32,,
4:56.0,,,46-32,,C. McCollum enters the game for S. Napier
4:54.0,Defensive rebound by D. Powell,,46-32,,
4:38.0,Shooting foul by C. McCollum (drawn by H. Barnes),,46-32,,
4:38.0,H. Barnes makes free throw 1 of 2,1,47-32,,
4:38.0,H. Barnes makes free throw 2 of 2,1,48-32,,
4:24.0,,,48-32,,C. McCollum misses 2-pt shot from 11 ft (block by D. Powell)
4:24.0,,,48-32,,Offensive rebound by M. Plumlee
4:24.0,,,48-34,2,M. Plumlee makes 2-pt shot at rim
4:08.0,H. Barnes misses 2-pt shot from 7 ft,,48-34,,
4:08.0,Offensive rebound by D. Powell,,48-34,,
3:48.0,S. Curry misses 2-pt shot from 19 ft,,48-34,,
3:47.0,,,48-34,,Defensive rebound by M. Plumlee
3:38.0,,,48-34,,Offensive charge foul by A. Crabbe
3:38.0,,,48-34,,Turnover by A. Crabbe (offensive foul)
3:25.0,Shooting foul by M. Harkless (drawn by H. Barnes),,48-34,,
3:25.0,H. Barnes makes free throw 1 of 2,1,49-34,,
3:25.0,H. Barnes makes free throw 2 of 2,1,50-34,,
3:13.0,,,50-36,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
3:06.0,Dallas full timeout,,50-36,,
3:06.0,D. Williams enters the game for W. Matthews,,50-36,,
3:06.0,W. Matthews enters the game for D. Harris,,50-36,,
2:59.0,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews),2,52-36,,
2:39.0,,,52-36,,Turnover by D. Lillard (bad pass; steal by D. Powell)
2:28.0,W. Matthews misses 2-pt shot from 2 ft,,52-36,,
2:28.0,Offensive rebound by D. Powell,,52-36,,
2:25.0,D. Williams misses 3-pt shot from 26 ft,,52-36,,
2:24.0,,,52-36,,Defensive rebound by C. McCollum
2:19.0,,,52-36,,D. Lillard misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by H. Barnes,,52-36,,
1:59.0,Shooting foul by M. Harkless (drawn by H. Barnes),,52-36,,
1:59.0,H. Barnes makes free throw 1 of 2,1,53-36,,
1:59.0,H. Barnes makes free throw 2 of 2,1,54-36,,
1:59.0,D. Finney-Smith enters the game for W. Matthews,,53-36,,
1:59.0,,,53-36,,A. Aminu enters the game for M. Harkless
1:47.0,,,54-36,,Turnover by C. McCollum (lost ball; steal by D. Powell)
1:37.0,D. Williams makes 2-pt shot from 4 ft,2,56-36,,
1:37.0,Shooting foul by A. Crabbe (drawn by D. Williams),,56-36,,
1:37.0,,,56-36,,Portland full timeout
1:37.0,D. Williams makes free throw 1 of 1,1,57-36,,
1:18.0,,,57-36,,Turnover by D. Lillard (bad pass; steal by D. Powell)
0:59.0,D. Williams makes 2-pt shot from 19 ft,2,59-36,,
0:47.0,,,59-36,,Shooting foul by D. Powell (drawn by M. Plumlee)
0:47.0,,,59-36,,M. Plumlee misses free throw 1 of 2
0:47.0,,,59-36,,Offensive rebound by Team
0:47.0,,,59-36,,M. Plumlee misses free throw 2 of 2
0:47.0,Defensive rebound by H. Barnes,,59-36,,
0:47.0,S. Mejri enters the game for D. Powell,,59-36,,
0:47.0,W. Matthews enters the game for D. Finney-Smith,,59-36,,
0:31.0,D. Williams misses 2-pt shot from 20 ft,,59-36,,
0:29.0,Offensive rebound by D. Williams,,59-36,,
0:06.0,Turnover by D. Williams (lost ball; steal by A. Aminu),,59-36,,
0:03.0,,,59-38,2,A. Crabbe makes 2-pt shot at rim
0:00.0,S. Curry makes 3-pt shot from 24 ft,3,62-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,H. Barnes misses 3-pt shot from 25 ft,,62-38,,
11:42.0,,,62-38,,Defensive rebound by A. Aminu
11:33.0,,,62-38,,D. Lillard misses 2-pt shot from 19 ft
11:33.0,Defensive rebound by H. Barnes,,62-38,,
11:21.0,H. Barnes misses 2-pt shot from 16 ft,,62-38,,
11:21.0,,,62-38,,Defensive rebound by M. Plumlee
11:05.0,,,62-40,2,D. Lillard makes 2-pt shot from 17 ft (assist by M. Plumlee)
10:53.0,,,62-40,,Personal foul by A. Aminu (drawn by H. Barnes)
10:40.0,D. Finney-Smith misses 3-pt shot from 26 ft,,62-40,,
10:39.0,Offensive rebound by H. Barnes,,62-40,,
10:32.0,Turnover by D. Williams (bad pass; steal by A. Aminu),,62-40,,
10:27.0,,,62-40,,Shooting foul by S. Mejri (drawn by M. Harkless)
10:27.0,,,62-41,1,M. Harkless makes free throw 1 of 2
10:27.0,,,62-42,1,M. Harkless makes free throw 2 of 2
10:14.0,W. Matthews makes 2-pt shot from 16 ft,2,64-42,,
10:02.0,,,64-42,,Shooting foul by D. Williams (drawn by D. Lillard)
10:02.0,,,64-43,1,D. Lillard makes free throw 1 of 2
10:02.0,,,64-44,1,D. Lillard makes free throw 2 of 2
9:45.0,W. Matthews makes 2-pt shot from 18 ft,2,66-44,,
9:27.0,,,66-44,,Turnover by A. Aminu (bad pass; steal by W. Matthews)
9:12.0,Shooting foul by C. McCollum (drawn by W. Matthews),,66-44,,
9:12.0,W. Matthews misses free throw 1 of 2,,66-44,,
9:12.0,Offensive rebound by Team,,66-44,,
9:12.0,W. Matthews makes free throw 2 of 2,1,67-44,,
9:00.0,,,67-44,,C. McCollum misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by S. Mejri,,67-44,,
8:46.0,W. Matthews misses 3-pt shot from 24 ft,,67-44,,
8:45.0,,,67-44,,Defensive rebound by D. Lillard
8:29.0,,,67-44,,C. McCollum misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by H. Barnes,,67-44,,
8:09.0,H. Barnes makes 2-pt shot from 18 ft,2,69-44,,
8:09.0,,,69-44,,Portland full timeout
7:55.0,,,69-44,,Shooting foul by D. Finney-Smith (drawn by M. Plumlee)
7:55.0,,,69-45,1,M. Plumlee makes free throw 1 of 2
7:55.0,,,69-45,,M. Plumlee misses free throw 2 of 2
7:53.0,,,69-45,,Offensive rebound by Team
7:42.0,,,69-47,2,D. Lillard makes 2-pt shot from 20 ft (assist by M. Plumlee)
7:30.0,,,69-47,,Personal foul by A. Aminu (drawn by D. Finney-Smith)
7:18.0,D. Williams makes 2-pt shot from 21 ft,2,71-47,,
7:00.0,,,71-49,2,C. McCollum makes 2-pt shot from 15 ft
6:37.0,H. Barnes makes 2-pt shot from 19 ft,2,73-49,,
6:25.0,,,73-49,,Shooting foul by S. Mejri (drawn by D. Lillard)
6:25.0,,,73-50,1,D. Lillard makes free throw 1 of 2
6:25.0,,,73-51,1,D. Lillard makes free throw 2 of 2
6:25.0,D. Powell enters the game for S. Mejri,,73-50,,
6:25.0,D. Harris enters the game for D. Williams,,73-50,,
6:25.0,S. Curry enters the game for H. Barnes,,73-50,,
6:25.0,,,73-50,,E. Davis enters the game for M. Harkless
6:25.0,,,73-50,,A. Crabbe enters the game for M. Plumlee
6:05.0,W. Matthews misses 2-pt shot from 15 ft,,73-51,,
6:04.0,,,73-51,,Defensive rebound by A. Aminu
5:57.0,Personal block foul by W. Matthews (drawn by D. Lillard),,73-51,,
5:57.0,,,73-52,1,D. Lillard makes free throw 1 of 2
5:57.0,,,73-53,1,D. Lillard makes free throw 2 of 2
5:32.0,Turnover by W. Matthews (lost ball; steal by D. Lillard),,73-53,,
5:28.0,,,73-55,2,D. Lillard makes 2-pt shot from 1 ft
5:28.0,Dallas full timeout,,73-55,,
5:13.0,D. Harris misses 3-pt shot from 24 ft,,73-55,,
5:13.0,,,73-55,,Defensive rebound by E. Davis
5:03.0,,,73-55,,D. Lillard misses 3-pt shot from 28 ft
5:01.0,,,73-55,,Offensive rebound by E. Davis
4:57.0,,,73-58,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Crabbe)
4:39.0,W. Matthews misses 3-pt shot from 24 ft,,73-58,,
4:38.0,,,73-58,,Defensive rebound by E. Davis
4:33.0,Personal foul by D. Finney-Smith (drawn by E. Davis),,73-58,,
4:33.0,,,73-58,,E. Davis misses free throw 1 of 2
4:33.0,,,73-58,,Offensive rebound by Team
4:33.0,,,73-59,1,E. Davis makes free throw 2 of 2
4:33.0,,,73-58,,M. Harkless enters the game for A. Aminu
4:33.0,H. Barnes enters the game for D. Finney-Smith,,73-58,,
4:10.0,D. Harris misses 3-pt shot from 24 ft,,73-59,,
4:08.0,,,73-59,,Defensive rebound by D. Lillard
3:58.0,,,73-59,,M. Harkless misses 3-pt shot from 22 ft
3:57.0,Defensive rebound by W. Matthews,,73-59,,
3:35.0,H. Barnes misses 2-pt shot from 22 ft,,73-59,,
3:34.0,,,73-59,,Defensive rebound by A. Crabbe
3:25.0,,,73-59,,A. Crabbe misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by W. Matthews,,73-59,,
3:06.0,S. Curry misses 3-pt shot from 25 ft,,73-59,,
3:05.0,,,73-59,,Defensive rebound by A. Crabbe
2:57.0,,,73-61,2,D. Lillard makes 2-pt shot from 15 ft
2:38.0,Turnover by S. Curry (traveling),,73-61,,
2:38.0,,,73-61,,S. Napier enters the game for C. McCollum
2:28.0,,,73-61,,D. Lillard misses 2-pt shot from 19 ft
2:27.0,,,73-61,,Offensive rebound by E. Davis
2:25.0,,,73-63,2,E. Davis makes 2-pt shot at rim
2:25.0,Dallas full timeout,,73-63,,
2:25.0,D. Williams enters the game for D. Harris,,73-63,,
2:19.0,,,73-63,,Personal foul by M. Harkless (drawn by H. Barnes)
2:01.0,S. Curry misses 3-pt shot from 25 ft,,73-63,,
2:01.0,Offensive rebound by Team,,73-63,,
2:01.0,,,73-63,,Loose ball foul by M. Harkless (drawn by H. Barnes)
2:01.0,,,73-63,,Violation by M. Harkless (lane)
2:01.0,H. Barnes makes free throw 1 of 2,1,74-63,,
2:01.0,H. Barnes makes free throw 2 of 2,1,75-63,,
2:01.0,D. Finney-Smith enters the game for W. Matthews,,74-63,,
2:01.0,,,74-63,,A. Aminu enters the game for M. Harkless
1:44.0,,,75-63,,A. Aminu misses 2-pt shot from 4 ft (block by D. Powell)
1:41.0,,,75-63,,Offensive rebound by Team
1:36.0,,,75-66,3,D. Lillard makes 3-pt shot from 29 ft (assist by A. Aminu)
1:18.0,H. Barnes makes 2-pt shot from 9 ft,2,77-66,,
1:05.0,Personal foul by H. Barnes (drawn by E. Davis),,77-66,,
1:05.0,,,77-66,,E. Davis misses free throw 1 of 2
1:05.0,,,77-66,,Offensive rebound by Team
1:05.0,,,77-67,1,E. Davis makes free throw 2 of 2
1:05.0,,,77-66,,C. McCollum enters the game for D. Lillard
0:56.0,H. Barnes makes 2-pt shot from 12 ft,2,79-67,,
0:48.0,,,79-69,2,S. Napier makes 2-pt shot from 20 ft
0:25.0,H. Barnes makes 2-pt shot from 15 ft,2,81-69,,
0:03.0,,,81-71,2,C. McCollum makes 2-pt shot from 17 ft
0:00.0,D. Williams misses 3-pt shot from 43 ft,,81-71,,
0:00.0,Offensive rebound by Team,,81-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-73,2,C. McCollum makes 2-pt shot from 1 ft
11:32.0,S. Curry misses 3-pt shot from 26 ft,,81-73,,
11:29.0,,,81-73,,Defensive rebound by A. Aminu
11:15.0,,,81-73,,Shooting foul by D. Powell (drawn by A. Aminu)
11:15.0,,,81-74,1,A. Aminu makes free throw 1 of 2
11:15.0,,,81-75,1,A. Aminu makes free throw 2 of 2
11:15.0,W. Matthews enters the game for D. Finney-Smith,,81-74,,
11:01.0,H. Barnes misses 3-pt shot from 24 ft,,81-75,,
10:59.0,Offensive rebound by D. Powell,,81-75,,
10:51.0,S. Curry makes 3-pt shot from 24 ft,3,84-75,,
10:26.0,,,84-75,,S. Napier misses 2-pt shot from 20 ft
10:25.0,Defensive rebound by D. Harris,,84-75,,
10:05.0,H. Barnes misses 2-pt shot from 16 ft,,84-75,,
10:04.0,,,84-75,,Defensive rebound by E. Davis
9:53.0,,,84-75,,C. McCollum misses 2-pt shot from 17 ft
9:52.0,Defensive rebound by H. Barnes,,84-75,,
9:43.0,,,84-75,,Personal foul by S. Napier (drawn by S. Curry)
9:43.0,,,84-75,,D. Lillard enters the game for S. Napier
9:43.0,,,84-75,,M. Harkless enters the game for A. Aminu
9:43.0,D. Williams enters the game for S. Curry,,84-75,,
9:39.0,Shooting foul by C. McCollum (drawn by D. Powell),,84-75,,
9:39.0,D. Powell makes free throw 1 of 2,1,85-75,,
9:39.0,D. Powell makes free throw 2 of 2,1,86-75,,
9:39.0,D. Finney-Smith enters the game for H. Barnes,,85-75,,
9:21.0,,,86-75,,A. Crabbe misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by D. Powell,,86-75,,
9:00.0,D. Powell misses 2-pt shot from 1 ft,,86-75,,
8:59.0,,,86-75,,Defensive rebound by M. Harkless
8:38.0,,,86-75,,Shooting foul by D. Powell (drawn by E. Davis)
8:38.0,Official timeout,,86-75,,
8:38.0,,,86-76,1,E. Davis makes free throw 1 of 2
8:38.0,,,86-77,1,E. Davis makes free throw 2 of 2
8:38.0,S. Mejri enters the game for D. Powell,,86-75,,
8:28.0,D. Williams misses 3-pt shot from 25 ft (block by C. McCollum),,86-77,,
8:28.0,,,86-77,,Defensive rebound by M. Harkless
8:20.0,,,86-77,,D. Lillard misses 3-pt shot from 25 ft
8:18.0,,,86-77,,Offensive rebound by E. Davis
8:11.0,,,86-77,,C. McCollum misses 2-pt shot from 14 ft
8:09.0,Defensive rebound by D. Williams,,86-77,,
7:48.0,W. Matthews makes 2-pt shot from 11 ft,2,88-77,,
7:25.0,,,88-80,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
6:57.0,D. Harris misses 3-pt shot from 24 ft,,88-80,,
6:57.0,,,88-80,,Defensive rebound by E. Davis
6:40.0,Personal block foul by W. Matthews (drawn by E. Davis),,88-80,,
6:40.0,,,88-80,,M. Plumlee enters the game for E. Davis
6:40.0,H. Barnes enters the game for D. Finney-Smith,,88-80,,
6:40.0,S. Curry enters the game for D. Harris,,88-80,,
6:31.0,,,88-82,2,D. Lillard makes 2-pt shot from 2 ft
6:25.0,Dallas full timeout,,88-82,,
6:19.0,Turnover by D. Williams (bad pass; steal by M. Harkless),,88-82,,
6:19.0,Personal foul by D. Williams (drawn by C. McCollum),,88-82,,
6:08.0,,,88-82,,Turnover by M. Plumlee (lost ball)
5:52.0,H. Barnes misses 2-pt shot from 4 ft (block by M. Harkless),,88-82,,
5:51.0,,,88-82,,Defensive rebound by M. Harkless
5:46.0,,,88-82,,Turnover by M. Harkless (bad pass; steal by S. Mejri)
5:24.0,S. Curry misses 2-pt shot from 18 ft,,88-82,,
5:22.0,Offensive rebound by D. Williams,,88-82,,
5:19.0,W. Matthews misses 3-pt shot from 25 ft,,88-82,,
5:17.0,,,88-82,,Defensive rebound by M. Plumlee
5:08.0,,,88-82,,D. Lillard misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by H. Barnes,,88-82,,
4:48.0,D. Williams misses 3-pt shot from 23 ft,,88-82,,
4:47.0,,,88-82,,Defensive rebound by A. Crabbe
4:36.0,,,88-82,,D. Lillard misses 2-pt shot from 17 ft
4:34.0,Defensive rebound by S. Mejri,,88-82,,
4:34.0,,,88-82,,Personal foul by M. Harkless (drawn by S. Mejri)
4:34.0,,,88-82,,Portland full timeout
4:34.0,,,88-82,,A. Aminu enters the game for M. Harkless
4:17.0,H. Barnes makes 2-pt shot from 21 ft (assist by D. Williams),2,90-82,,
3:56.0,,,90-82,,Turnover by M. Plumlee (bad pass; steal by S. Curry)
3:56.0,Turnover by S. Curry (bad pass),,90-82,,
3:54.0,,,90-84,2,M. Plumlee makes 2-pt shot from 3 ft (assist by A. Aminu)
3:54.0,,,90-84,,Shooting foul by S. Mejri (drawn by M. Plumlee)
3:54.0,,,90-85,1,M. Plumlee makes free throw 1 of 1
