time,Memphis,pts.away,score,pts.home,San Antonio
7:48.0,V. Carter misses 3-pt shot from 25 ft,,50-59,,
7:46.0,,,50-59,,Defensive rebound by K. Leonard
7:31.0,,,50-61,2,L. Aldridge makes 2-pt shot from 14 ft
7:10.0,Memphis full timeout,,50-61,,
7:10.0,,,50-61,,P. Gasol enters the game for D. Dedmon
7:03.0,M. Gasol misses 2-pt shot from 5 ft,,50-61,,
7:02.0,,,50-61,,Defensive rebound by P. Gasol
6:42.0,,,50-63,2,K. Leonard makes 2-pt shot from 3 ft (assist by D. Green)
6:21.0,V. Carter makes 3-pt shot from 23 ft (assist by J. Green),3,53-63,,
6:06.0,,,53-63,,Turnover by P. Gasol (bad pass)
6:06.0,Z. Randolph enters the game for J. Green,,53-63,,
5:44.0,M. Conley misses 2-pt shot from 19 ft,,53-63,,
5:43.0,Offensive rebound by Team,,53-63,,
5:42.0,,,53-63,,P. Mills enters the game for T. Parker
5:42.0,,,53-63,,M. Ginobili enters the game for D. Green
5:28.0,T. Allen makes 2-pt shot from 16 ft (assist by Z. Randolph),2,55-63,,
5:28.0,,,55-63,,San Antonio full timeout
5:17.0,Personal foul by Z. Randolph (drawn by M. Ginobili),,55-63,,
5:02.0,,,55-63,,L. Aldridge misses 2-pt shot from 14 ft
5:00.0,Defensive rebound by M. Gasol,,55-63,,
4:52.0,M. Gasol misses 3-pt shot from 25 ft,,55-63,,
4:51.0,,,55-63,,Defensive rebound by L. Aldridge
4:33.0,Personal foul by T. Allen (drawn by K. Leonard),,55-63,,
4:33.0,,,55-63,,K. Leonard misses free throw 1 of 2
4:33.0,,,55-63,,Offensive rebound by Team
4:33.0,,,55-64,1,K. Leonard makes free throw 2 of 2
4:33.0,T. Daniels enters the game for V. Carter,,55-63,,
4:17.0,,,55-64,,Personal foul by M. Ginobili (drawn by T. Allen)
4:03.0,Z. Randolph misses 2-pt shot from 10 ft,,55-64,,
4:01.0,Offensive rebound by M. Gasol,,55-64,,
4:01.0,M. Gasol makes 2-pt shot from 1 ft,2,57-64,,
3:49.0,,,57-66,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
3:26.0,M. Conley makes 2-pt shot from 7 ft,2,59-66,,
3:26.0,Shooting foul by P. Gasol (drawn by M. Conley),,59-66,,
3:26.0,M. Conley makes free throw 1 of 1,1,60-66,,
3:12.0,,,60-69,3,P. Gasol makes 3-pt shot from 23 ft (assist by P. Mills)
2:47.0,,,60-69,,D. Lee enters the game for L. Aldridge
2:47.0,A. Harrison enters the game for M. Conley,,60-69,,
2:47.0,J. Ennis enters the game for T. Allen,,60-69,,
2:38.0,A. Harrison makes 2-pt shot from 18 ft,2,62-69,,
2:22.0,,,62-69,,M. Ginobili misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by A. Harrison,,62-69,,
2:14.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison),3,65-69,,
2:01.0,,,65-72,3,P. Mills makes 3-pt shot from 25 ft
1:38.0,Turnover by A. Harrison (offensive foul),,65-72,,
1:38.0,Offensive foul by A. Harrison,,65-72,,
1:21.0,,,65-72,,P. Mills misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by J. Ennis,,65-72,,
1:14.0,J. Ennis makes 2-pt shot at rim,2,67-72,,
1:00.0,,,67-72,,M. Ginobili misses 3-pt shot from 25 ft
0:59.0,,,67-72,,Offensive rebound by D. Lee
0:54.0,,,67-72,,K. Leonard misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by A. Harrison,,67-72,,
0:35.0,Turnover by T. Daniels (lost ball),,67-72,,
0:28.0,,,67-72,,M. Ginobili misses 2-pt shot from 14 ft
0:26.0,Defensive rebound by Z. Randolph,,67-72,,
0:24.0,J. Ennis makes 2-pt shot at rim (assist by Z. Randolph),2,69-72,,
0:02.0,,,69-74,2,K. Leonard makes 2-pt shot from 2 ft
0:02.0,Turnover by M. Gasol (bad pass; steal by M. Ginobili),,69-74,,
0:01.0,,,69-74,,M. Ginobili misses 2-pt shot from 21 ft
0:00.0,,,69-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-74,,Turnover by P. Mills (bad pass; steal by A. Harrison)
11:19.0,Turnover by Z. Randolph (lost ball; steal by D. Lee),,69-74,,
11:13.0,,,69-74,,D. Green misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by J. Ennis,,69-74,,
10:48.0,B. Wright misses 2-pt shot from 7 ft,,69-74,,
10:48.0,Offensive rebound by Z. Randolph,,69-74,,
10:48.0,Shooting foul by P. Gasol (drawn by Z. Randolph),,69-74,,
10:48.0,Z. Randolph misses free throw 1 of 2,,69-74,,
10:48.0,Offensive rebound by Team,,69-74,,
10:48.0,Z. Randolph misses free throw 2 of 2,,69-74,,
10:48.0,,,69-74,,Defensive rebound by P. Gasol
10:48.0,,,69-74,,T. Parker enters the game for P. Mills
10:27.0,,,69-74,,P. Gasol misses 2-pt shot from 8 ft (block by B. Wright)
10:25.0,Defensive rebound by B. Wright,,69-74,,
10:18.0,A. Harrison makes 3-pt shot from 25 ft (assist by M. Conley),3,72-74,,
9:53.0,,,72-74,,T. Parker misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by J. Ennis,,72-74,,
9:31.0,A. Harrison misses 2-pt shot from 6 ft,,72-74,,
9:30.0,Offensive rebound by B. Wright,,72-74,,
9:30.0,B. Wright makes 2-pt shot from 2 ft,2,74-74,,
9:11.0,,,74-76,2,D. Lee makes 2-pt shot from 5 ft (assist by J. Simmons)
8:49.0,M. Conley misses 3-pt shot from 24 ft,,74-76,,
8:48.0,,,74-76,,Defensive rebound by J. Simmons
8:34.0,,,74-76,,T. Parker misses 2-pt shot from 4 ft
8:34.0,Defensive rebound by Team,,74-76,,
