time,LA Lakers,pts.away,score,pts.home,Utah
6:09.0,,,4-12,,A. Burks enters the game for G. Hill
6:09.0,L. Nance enters the game for T. Mozgov,,4-12,,
6:09.0,J. Clarkson enters the game for J. Calderon,,4-12,,
5:59.0,L. Deng misses 2-pt shot from 23 ft,,4-12,,
5:59.0,,,4-12,,Defensive rebound by R. Gobert
5:44.0,,,4-12,,G. Hayward misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by N. Young,,4-12,,
5:33.0,J. Clarkson misses 2-pt shot from 7 ft,,4-12,,
5:33.0,Offensive rebound by T. Black,,4-12,,
5:28.0,N. Young makes 3-pt shot from 24 ft,3,7-12,,
5:06.0,,,7-12,,T. Lyles misses 2-pt shot from 12 ft
5:06.0,Defensive rebound by L. Deng,,7-12,,
4:52.0,L. Nance makes 2-pt shot from 21 ft (assist by J. Clarkson),2,9-12,,
4:52.0,,,9-12,,Utah full timeout
4:26.0,,,9-12,,A. Burks misses 3-pt shot from 25 ft
4:26.0,,,9-12,,Offensive rebound by J. Ingles
4:24.0,,,9-14,2,J. Ingles makes 2-pt shot from 3 ft
4:08.0,N. Young makes 3-pt shot from 24 ft (assist by L. Nance),3,12-14,,
3:45.0,,,12-14,,T. Lyles misses 2-pt shot from 4 ft
3:44.0,Defensive rebound by L. Nance,,12-14,,
3:38.0,Turnover by L. Deng (lost ball; steal by J. Ingles),,12-14,,
3:32.0,,,12-16,2,A. Burks makes 2-pt shot from 2 ft (assist by J. Ingles)
3:16.0,J. Clarkson makes 2-pt shot from 21 ft,2,14-16,,
2:54.0,,,14-18,2,A. Burks makes 2-pt shot from 6 ft
2:43.0,J. Clarkson misses 2-pt shot from 7 ft,,14-18,,
2:42.0,,,14-18,,Defensive rebound by R. Gobert
2:34.0,,,14-20,2,G. Hayward makes 2-pt shot from 4 ft (assist by A. Burks)
2:34.0,LA Lakers full timeout,,14-20,,
2:34.0,L. Williams enters the game for N. Young,,14-20,,
2:34.0,I. Zubac enters the game for T. Black,,14-20,,
2:34.0,B. Ingram enters the game for L. Deng,,14-20,,
2:34.0,,,14-20,,G. Hill enters the game for A. Burks
2:34.0,,,14-20,,J. Johnson enters the game for G. Hayward
2:17.0,B. Ingram misses 2-pt shot from 2 ft (block by R. Gobert),,14-20,,
2:16.0,,,14-20,,Defensive rebound by G. Hill
2:08.0,,,14-20,,T. Lyles misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by B. Ingram,,14-20,,
2:01.0,Turnover by L. Williams (traveling),,14-20,,
1:48.0,,,14-20,,Shooting foul by L. Williams (drawn by G. Hill)
1:48.0,,,14-21,1,G. Hill makes free throw 1 of 2
1:48.0,,,14-21,,G. Hill misses free throw 2 of 2
1:48.0,,,14-21,,D. Favors enters the game for R. Gobert
1:47.0,Defensive rebound by I. Zubac,,14-21,,
1:25.0,B. Ingram misses 2-pt shot from 15 ft,,14-21,,
1:24.0,,,14-21,,Defensive rebound by T. Lyles
1:03.0,,,14-21,,T. Lyles misses 2-pt shot from 4 ft
1:02.0,Defensive rebound by J. Clarkson,,14-21,,
0:50.0,J. Clarkson misses 2-pt shot from 3 ft,,14-21,,
0:50.0,Offensive rebound by I. Zubac,,14-21,,
0:48.0,I. Zubac misses 2-pt shot from 2 ft,,14-21,,
0:47.0,,,14-21,,Defensive rebound by J. Johnson
0:33.0,,,14-23,2,J. Johnson makes 2-pt shot from 17 ft
0:12.0,I. Zubac makes 2-pt shot from 2 ft (assist by L. Williams),2,16-23,,
0:00.0,,,16-23,,D. Favors misses 2-pt shot from 12 ft
0:00.0,,,16-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Clarkson misses 3-pt shot from 25 ft,,16-23,,
11:36.0,,,16-23,,Defensive rebound by G. Hill
11:19.0,,,16-23,,G. Hill misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by B. Ingram,,16-23,,
11:13.0,Shooting foul by J. Johnson,,16-23,,
11:13.0,L. Williams makes free throw 1 of 2,1,17-23,,
11:13.0,L. Williams makes free throw 2 of 2,1,18-23,,
11:13.0,,,17-23,,B. Diaw enters the game for T. Lyles
11:04.0,Personal foul by L. Williams,,18-23,,
10:53.0,,,18-23,,G. Hill misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by I. Zubac,,18-23,,
10:32.0,Turnover by J. Clarkson (bad pass; steal by G. Hill),,18-23,,
10:21.0,,,18-23,,G. Hill misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by L. Williams,,18-23,,
10:14.0,J. Clarkson misses 2-pt shot from 4 ft,,18-23,,
10:13.0,,,18-23,,Defensive rebound by R. Hood
10:06.0,,,18-23,,R. Hood misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by L. Nance,,18-23,,
9:57.0,Shooting foul by J. Johnson,,18-23,,
9:57.0,L. Williams makes free throw 1 of 2,1,19-23,,
9:57.0,L. Williams makes free throw 2 of 2,1,20-23,,
9:57.0,,,19-23,,R. Gobert enters the game for D. Favors
9:57.0,,,19-23,,A. Burks enters the game for G. Hill
9:41.0,Personal foul by L. Nance (drawn by B. Diaw),,20-23,,
9:34.0,,,20-23,,A. Burks misses 2-pt shot from 18 ft
9:33.0,,,20-23,,Offensive rebound by R. Gobert
9:31.0,,,20-25,2,R. Gobert makes 2-pt shot from 2 ft
9:13.0,I. Zubac makes 2-pt shot from 2 ft (assist by L. Nance),2,22-25,,
8:49.0,,,22-27,2,J. Johnson makes 2-pt shot from 8 ft
8:30.0,J. Clarkson misses 2-pt shot from 19 ft,,22-27,,
8:29.0,Offensive rebound by L. Nance,,22-27,,
8:26.0,Shooting foul by A. Burks,,22-27,,
8:26.0,LA Lakers full timeout,,22-27,,
8:26.0,L. Williams makes free throw 1 of 3,1,23-27,,
8:26.0,L. Williams makes free throw 2 of 3,1,24-27,,
8:26.0,L. Williams makes free throw 3 of 3,1,25-27,,
8:26.0,,,22-27,,J. Ingles enters the game for R. Hood
8:04.0,,,25-27,,Turnover by B. Diaw (bad pass; steal by B. Ingram)
7:56.0,L. Nance makes 2-pt shot from 3 ft (assist by I. Zubac),2,27-27,,
7:32.0,,,27-27,,J. Johnson misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by J. Clarkson,,27-27,,
7:22.0,I. Zubac makes 2-pt shot from 9 ft (assist by J. Clarkson),2,29-27,,
7:08.0,Def 3 sec tech foul by I. Zubac,,29-27,,
7:08.0,,,29-28,1,J. Johnson makes technical free throw
7:08.0,,,29-28,,G. Hayward enters the game for J. Johnson
7:07.0,Personal foul by L. Nance (drawn by B. Diaw),,29-28,,
6:58.0,,,29-31,3,A. Burks makes 3-pt shot from 23 ft (assist by B. Diaw)
6:44.0,Offensive foul by L. Nance,,29-31,,
6:44.0,Turnover by L. Nance (offensive foul),,29-31,,
6:44.0,Violation by Team (jump ball),,29-31,,
6:44.0,T. Black enters the game for L. Nance,,29-31,,
6:32.0,,,29-31,,B. Diaw misses 2-pt shot from 7 ft
6:31.0,,,29-31,,Offensive rebound by R. Gobert
6:30.0,,,29-33,2,R. Gobert makes 2-pt shot at rim
6:28.0,LA Lakers full timeout,,29-33,,
6:13.0,Turnover by L. Williams (bad pass),,29-33,,
5:59.0,,,29-33,,G. Hayward misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by J. Clarkson,,29-33,,
5:51.0,L. Williams makes 2-pt shot from 3 ft (assist by J. Clarkson),2,31-33,,
5:33.0,,,31-33,,Shooting foul by L. Williams (drawn by A. Burks)
5:33.0,,,31-35,2,A. Burks makes 2-pt shot from 2 ft
5:33.0,,,31-35,,A. Burks misses free throw 1 of 1
5:33.0,N. Young enters the game for L. Williams,,31-35,,
5:33.0,,,31-35,,R. Hood enters the game for J. Ingles
5:32.0,Defensive rebound by I. Zubac,,31-35,,
5:19.0,B. Ingram misses 2-pt shot from 11 ft,,31-35,,
5:18.0,,,31-35,,Defensive rebound by A. Burks
5:12.0,,,31-35,,Shooting foul by N. Young (drawn by G. Hayward)
5:12.0,,,31-36,1,G. Hayward makes free throw 1 of 2
5:12.0,,,31-37,1,G. Hayward makes free throw 2 of 2
5:12.0,,,31-36,,G. Hill enters the game for A. Burks
5:12.0,L. Deng enters the game for B. Ingram,,31-36,,
4:58.0,N. Young misses 3-pt shot from 24 ft,,31-37,,
4:57.0,,,31-37,,Defensive rebound by R. Hood
4:40.0,,,31-37,,B. Diaw misses 3-pt shot from 23 ft
4:39.0,,,31-37,,Offensive rebound by R. Gobert
4:35.0,,,31-37,,G. Hill misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by Team,,31-37,,
4:22.0,I. Zubac makes 2-pt shot from 9 ft (assist by T. Black),2,33-37,,
4:05.0,,,33-37,,Shooting foul by L. Deng (drawn by G. Hayward)
4:05.0,,,33-38,1,G. Hayward makes free throw 1 of 2
4:05.0,,,33-39,1,G. Hayward makes free throw 2 of 2
4:05.0,T. Mozgov enters the game for I. Zubac,,33-38,,
3:49.0,T. Mozgov misses 2-pt shot from 11 ft,,33-39,,
3:48.0,,,33-39,,Defensive rebound by R. Hood
3:30.0,,,33-39,,B. Diaw misses 2-pt shot from 3 ft (block by T. Black)
3:30.0,Defensive rebound by T. Mozgov,,33-39,,
3:21.0,T. Black misses 2-pt shot at rim,,33-39,,
3:20.0,,,33-39,,Defensive rebound by G. Hill
3:13.0,,,33-41,2,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hayward)
2:54.0,J. Clarkson makes 2-pt shot from 9 ft,2,35-41,,
2:49.0,,,35-41,,Utah full timeout
2:49.0,,,35-41,,D. Favors enters the game for B. Diaw
2:36.0,,,35-41,,G. Hayward misses 2-pt shot from 7 ft
2:36.0,Defensive rebound by T. Black,,35-41,,
2:27.0,,,35-41,,Personal foul by R. Hood (drawn by N. Young)
2:19.0,T. Mozgov makes 2-pt shot from 21 ft (assist by T. Black),2,37-41,,
2:03.0,,,37-44,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors)
1:49.0,N. Young misses 2-pt shot from 3 ft,,37-44,,
1:49.0,,,37-44,,Defensive rebound by D. Favors
1:32.0,,,37-44,,D. Favors misses 2-pt shot from 17 ft
1:31.0,,,37-44,,Offensive rebound by G. Hill
1:17.0,,,37-44,,Turnover by G. Hill (bad pass)
1:04.0,N. Young makes 2-pt shot from 18 ft,2,39-44,,
0:45.0,,,39-44,,Turnover by G. Hayward (bad pass)
0:35.0,N. Young misses 3-pt shot from 25 ft,,39-44,,
0:35.0,,,39-44,,Defensive rebound by R. Gobert
0:14.0,,,39-44,,D. Favors misses 2-pt shot from 18 ft
0:14.0,Defensive rebound by N. Young,,39-44,,
0:01.0,J. Clarkson makes 2-pt shot from 18 ft,2,41-44,,
0:01.0,,,41-44,,G. Hill misses 3-pt shot from 67 ft
0:00.0,,,41-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,L. Deng makes 2-pt shot from 9 ft,2,43-44,,
11:18.0,,,43-44,,Shooting foul by J. Calderon (drawn by G. Hayward)
11:18.0,,,43-45,1,G. Hayward makes free throw 1 of 2
11:18.0,,,43-45,,G. Hayward misses free throw 2 of 2
11:17.0,Defensive rebound by L. Deng,,43-45,,
10:55.0,T. Black misses 2-pt shot from 2 ft,,43-45,,
10:53.0,Offensive rebound by T. Mozgov,,43-45,,
10:53.0,T. Mozgov makes 2-pt shot from 2 ft,2,45-45,,
10:38.0,,,45-45,,G. Hayward misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by T. Mozgov,,45-45,,
10:28.0,N. Young makes 2-pt shot from 19 ft,2,47-45,,
10:10.0,,,47-45,,Shooting foul by T. Mozgov (drawn by R. Gobert)
10:10.0,,,47-46,1,R. Gobert makes free throw 1 of 2
10:10.0,,,47-47,1,R. Gobert makes free throw 2 of 2
9:51.0,N. Young misses 2-pt shot from 23 ft,,47-47,,
9:50.0,,,47-47,,Defensive rebound by G. Hayward
9:34.0,,,47-47,,R. Gobert misses 2-pt shot from 1 ft (block by T. Mozgov)
9:32.0,Defensive rebound by T. Mozgov,,47-47,,
9:23.0,T. Black makes 2-pt shot from 3 ft (assist by J. Calderon),2,49-47,,
9:10.0,,,49-49,2,G. Hill makes 2-pt shot from 13 ft
8:49.0,T. Black misses 2-pt shot from 8 ft,,49-49,,
8:48.0,Offensive rebound by L. Deng,,49-49,,
8:47.0,L. Deng makes 2-pt shot from 2 ft,2,51-49,,
8:27.0,Personal foul by J. Calderon (drawn by D. Favors),,51-49,,
8:18.0,,,51-49,,Turnover by D. Favors (lost ball; steal by T. Mozgov)
8:13.0,,,51-49,,Flagrant foul type 1 by D. Favors (drawn by T. Mozgov)
8:13.0,T. Mozgov misses flagrant free throw 1 of 2,,51-49,,
8:13.0,Offensive rebound by Team,,51-49,,
8:13.0,T. Mozgov makes flagrant free throw 2 of 2,1,52-49,,
8:13.0,,,52-49,,J. Ingles enters the game for R. Hood
8:13.0,,,52-49,,T. Lyles enters the game for D. Favors
7:56.0,T. Mozgov misses 2-pt shot from 5 ft,,52-49,,
7:55.0,,,52-49,,Defensive rebound by J. Ingles
7:44.0,,,52-52,3,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward)
7:26.0,T. Mozgov makes 2-pt shot from 2 ft,2,54-52,,
7:08.0,,,54-52,,T. Lyles misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by L. Deng,,54-52,,
6:57.0,T. Mozgov makes 2-pt shot at rim,2,56-52,,
6:35.0,Jump ball: T. Black vs. G. Hayward (J. Ingles gains possession),,,,Jump ball: T. Black vs. G. Hayward (J. Ingles gains possession)
6:27.0,,,56-55,3,G. Hayward makes 3-pt shot from 23 ft (assist by G. Hill)
6:06.0,L. Deng misses 2-pt shot from 10 ft (block by R. Gobert),,56-55,,
6:06.0,Offensive rebound by Team,,56-55,,
6:01.0,T. Mozgov misses 2-pt shot from 18 ft,,56-55,,
6:00.0,,,56-55,,Defensive rebound by J. Ingles
5:47.0,,,56-55,,G. Hill misses 2-pt shot from 9 ft
5:47.0,Defensive rebound by T. Mozgov,,56-55,,
5:36.0,J. Calderon misses 2-pt shot from 18 ft,,56-55,,
5:36.0,,,56-55,,Defensive rebound by R. Gobert
5:23.0,,,56-55,,J. Ingles misses 3-pt shot from 25 ft
5:23.0,,,56-55,,Offensive rebound by G. Hill
5:22.0,,,56-57,2,G. Hill makes 2-pt shot from 2 ft
5:22.0,LA Lakers full timeout,,56-57,,
5:22.0,,,56-57,,A. Burks enters the game for G. Hill
5:22.0,L. Nance enters the game for T. Mozgov,,56-57,,
5:22.0,J. Clarkson enters the game for J. Calderon,,56-57,,
5:22.0,B. Ingram enters the game for L. Deng,,56-57,,
5:09.0,N. Young misses 2-pt shot from 2 ft (block by R. Gobert),,56-57,,
5:08.0,,,56-57,,Defensive rebound by R. Gobert
5:01.0,,,56-57,,Turnover by T. Lyles (bad pass; steal by N. Young)
4:45.0,B. Ingram misses 2-pt shot from 3 ft (block by R. Gobert),,56-57,,
4:44.0,Offensive rebound by L. Nance,,56-57,,
4:43.0,Turnover by L. Nance (bad pass; steal by J. Ingles),,56-57,,
4:43.0,Personal foul by J. Clarkson (drawn by J. Ingles),,56-57,,
4:36.0,,,56-59,2,G. Hayward makes 2-pt shot at rim (assist by T. Lyles)
4:17.0,J. Clarkson misses 2-pt shot from 7 ft,,56-59,,
4:17.0,,,56-59,,Defensive rebound by R. Gobert
4:09.0,Personal foul by L. Nance (drawn by J. Ingles),,56-59,,
4:09.0,,,56-60,1,J. Ingles makes free throw 1 of 2
4:09.0,,,56-61,1,J. Ingles makes free throw 2 of 2
3:54.0,Turnover by J. Clarkson (bad pass; steal by J. Ingles),,56-61,,
3:50.0,,,56-63,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
3:50.0,LA Lakers full timeout,,56-63,,
3:50.0,L. Williams enters the game for N. Young,,56-63,,
3:50.0,I. Zubac enters the game for T. Black,,56-63,,
3:28.0,I. Zubac misses 2-pt shot from 18 ft,,56-63,,
3:27.0,Offensive rebound by L. Nance,,56-63,,
3:27.0,L. Nance misses 2-pt shot from 6 ft,,56-63,,
3:26.0,Offensive rebound by Team,,56-63,,
3:26.0,Turnover by Team (shot clock),,56-63,,
3:16.0,,,56-63,,G. Hayward misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by I. Zubac,,56-63,,
3:06.0,L. Williams misses 3-pt shot from 25 ft,,56-63,,
3:06.0,,,56-63,,Defensive rebound by Team
2:48.0,,,56-63,,Shooting foul by B. Ingram (drawn by T. Lyles)
2:48.0,,,56-63,,Utah full timeout
2:48.0,,,56-64,1,T. Lyles makes free throw 1 of 2
2:48.0,,,56-65,1,T. Lyles makes free throw 2 of 2
2:48.0,,,56-63,,J. Johnson enters the game for G. Hayward
2:31.0,B. Ingram misses 3-pt shot from 25 ft,,56-65,,
2:30.0,,,56-65,,Defensive rebound by R. Gobert
2:22.0,,,56-65,,A. Burks misses 2-pt shot from 2 ft
2:21.0,Defensive rebound by I. Zubac,,56-65,,
2:09.0,J. Clarkson misses 2-pt shot from 17 ft,,56-65,,
2:09.0,,,56-65,,Defensive rebound by J. Johnson
1:50.0,,,56-65,,R. Gobert misses 2-pt shot from 3 ft
1:50.0,,,56-65,,Offensive rebound by Team
1:50.0,,,56-65,,D. Favors enters the game for R. Gobert
1:35.0,,,56-65,,D. Favors misses 2-pt shot from 7 ft
1:34.0,Defensive rebound by L. Nance,,56-65,,
1:32.0,,,56-65,,Personal foul by J. Ingles (drawn by I. Zubac)
1:22.0,Turnover by J. Clarkson (bad pass),,56-65,,
1:04.0,,,56-68,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Favors)
0:49.0,Shooting foul by T. Lyles (drawn by I. Zubac),,56-68,,
0:49.0,I. Zubac makes free throw 1 of 2,1,57-68,,
0:49.0,I. Zubac makes free throw 2 of 2,1,58-68,,
0:36.0,,,58-70,2,A. Burks makes 2-pt shot from 5 ft
0:17.0,L. Williams makes 2-pt shot from 2 ft,2,60-70,,
0:01.0,,,60-70,,A. Burks misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by I. Zubac,,60-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,60-70,,J. Ingles misses 3-pt shot from 25 ft
11:47.0,Defensive rebound by J. Clarkson,,60-70,,
11:26.0,J. Clarkson misses 3-pt shot from 23 ft,,60-70,,
11:25.0,,,60-70,,Defensive rebound by T. Lyles
11:08.0,,,60-72,2,D. Favors makes 2-pt shot from 5 ft
10:55.0,I. Zubac misses 2-pt shot from 4 ft,,60-72,,
10:54.0,,,60-72,,Defensive rebound by D. Favors
10:46.0,,,60-74,2,G. Hill makes 2-pt shot from 2 ft
10:18.0,J. Clarkson makes 2-pt shot from 17 ft,2,62-74,,
10:03.0,,,62-74,,B. Diaw enters the game for T. Lyles
9:53.0,,,62-74,,B. Diaw misses 2-pt shot from 2 ft
9:52.0,,,62-74,,Offensive rebound by D. Favors
9:52.0,,,62-76,2,D. Favors makes 2-pt shot from 2 ft
9:43.0,Shooting foul by D. Favors (drawn by I. Zubac),,62-76,,
9:43.0,I. Zubac makes free throw 1 of 2,1,63-76,,
9:43.0,I. Zubac makes free throw 2 of 2,1,64-76,,
9:43.0,,,63-76,,R. Hood enters the game for J. Ingles
9:32.0,Personal foul by L. Williams,,64-76,,
9:32.0,T. Black enters the game for L. Nance,,64-76,,
9:23.0,,,64-76,,D. Favors misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by I. Zubac,,64-76,,
9:06.0,J. Clarkson makes 2-pt shot from 3 ft,2,66-76,,
8:43.0,,,66-76,,R. Hood misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by L. Williams,,66-76,,
8:36.0,Offensive foul by T. Black,,66-76,,
8:36.0,Turnover by T. Black (offensive foul),,66-76,,
8:36.0,,,66-76,,Utah full timeout
8:36.0,,,66-76,,R. Gobert enters the game for D. Favors
8:18.0,,,66-76,,R. Hood misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by I. Zubac,,66-76,,
7:55.0,B. Ingram misses 3-pt shot from 24 ft,,66-76,,
7:54.0,,,66-76,,Defensive rebound by R. Hood
7:44.0,,,66-78,2,R. Hood makes 2-pt shot from 11 ft
7:28.0,I. Zubac makes 2-pt shot from 6 ft (assist by J. Clarkson),2,68-78,,
7:09.0,,,68-80,2,J. Johnson makes 2-pt shot from 8 ft
6:45.0,L. Williams makes 2-pt shot from 3 ft,2,70-80,,
6:27.0,,,70-80,,G. Hill misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by J. Clarkson,,70-80,,
6:16.0,J. Clarkson makes 2-pt shot from 2 ft,2,72-80,,
6:16.0,,,72-80,,Utah full timeout
6:16.0,N. Young enters the game for B. Ingram,,72-80,,
6:16.0,,,72-80,,J. Ingles enters the game for R. Hood
6:16.0,,,72-80,,G. Hayward enters the game for J. Johnson
6:07.0,Personal foul by J. Clarkson (drawn by G. Hill),,72-80,,
5:53.0,,,72-80,,B. Diaw misses 2-pt shot from 14 ft
5:52.0,Defensive rebound by L. Williams,,72-80,,
5:43.0,L. Williams makes 2-pt shot from 12 ft,2,74-80,,
5:30.0,,,74-80,,G. Hayward misses 2-pt shot from 19 ft
5:30.0,Defensive rebound by L. Williams,,74-80,,
5:19.0,T. Black misses 2-pt shot from 6 ft,,74-80,,
5:18.0,,,74-80,,Defensive rebound by G. Hayward
5:03.0,,,74-80,,Turnover by J. Ingles (traveling)
4:50.0,J. Clarkson makes 2-pt shot from 19 ft,2,76-80,,
4:26.0,,,76-80,,Shooting foul by I. Zubac (drawn by G. Hayward)
4:26.0,,,76-81,1,G. Hayward makes free throw 1 of 2
4:26.0,,,76-82,1,G. Hayward makes free throw 2 of 2
4:01.0,I. Zubac misses 2-pt shot from 9 ft,,76-82,,
4:00.0,,,76-82,,Defensive rebound by G. Hill
3:45.0,,,76-82,,G. Hill misses 2-pt shot from 3 ft
3:45.0,,,76-82,,Offensive rebound by G. Hill
3:39.0,,,76-82,,G. Hill misses 3-pt shot from 23 ft
3:39.0,,,76-82,,Offensive rebound by B. Diaw
3:23.0,,,76-84,2,G. Hayward makes 2-pt shot from 11 ft
3:23.0,LA Lakers full timeout,,76-84,,
3:23.0,L. Nance enters the game for T. Black,,76-84,,
3:09.0,N. Young makes 3-pt shot from 24 ft,3,79-84,,
2:57.0,,,79-84,,Shooting foul by N. Young (drawn by R. Gobert)
2:57.0,,,79-85,1,R. Gobert makes free throw 1 of 2
2:57.0,,,79-85,,R. Gobert misses free throw 2 of 2
2:56.0,Defensive rebound by L. Williams,,79-85,,
2:33.0,J. Clarkson misses 2-pt shot from 12 ft,,79-85,,
2:32.0,,,79-85,,Defensive rebound by G. Hayward
2:28.0,,,79-85,,Turnover by G. Hayward (bad pass; steal by J. Clarkson)
2:27.0,J. Clarkson makes 2-pt shot from 2 ft,2,81-85,,
2:07.0,,,81-88,3,G. Hill makes 3-pt shot from 24 ft
1:56.0,L. Williams makes 2-pt shot from 3 ft,2,83-88,,
1:42.0,Personal foul by N. Young (drawn by G. Hayward),,83-88,,
1:42.0,,,83-89,1,G. Hayward makes free throw 1 of 2
1:42.0,,,83-90,1,G. Hayward makes free throw 2 of 2
1:35.0,L. Williams misses 2-pt shot from 10 ft,,83-90,,
1:34.0,,,83-90,,Defensive rebound by J. Ingles
1:16.0,,,83-90,,B. Diaw misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by N. Young,,83-90,,
1:08.0,N. Young misses 3-pt shot from 24 ft,,83-90,,
1:07.0,,,83-90,,Defensive rebound by R. Gobert
1:04.0,,,83-90,,Shooting foul by N. Young (drawn by B. Diaw)
1:04.0,,,83-91,1,B. Diaw makes free throw 1 of 2
1:04.0,,,83-92,1,B. Diaw makes free throw 2 of 2
1:04.0,LA Lakers full timeout,,83-92,,
0:59.0,L. Williams makes 3-pt shot from 23 ft (assist by L. Nance),3,86-92,,
0:38.0,,,86-94,2,B. Diaw makes 2-pt shot from 1 ft
0:27.0,L. Williams misses 3-pt shot from 23 ft,,86-94,,
0:27.0,Offensive rebound by L. Nance,,86-94,,
0:25.0,L. Nance misses 2-pt shot from 3 ft,,86-94,,
0:25.0,Offensive rebound by I. Zubac,,86-94,,
0:25.0,I. Zubac makes 2-pt shot at rim,2,88-94,,
0:13.0,Personal foul by J. Clarkson (drawn by G. Hill),,88-94,,
