time,Sacramento,pts.away,score,pts.home,Dallas
5:51.0,Defensive rebound by D. Cousins,,10-13,,
5:37.0,M. Barnes makes 3-pt shot from 25 ft (assist by D. Collison),3,13-13,,
5:30.0,,,13-13,,Dallas full timeout
5:30.0,T. Lawson enters the game for G. Temple,,13-13,,
5:14.0,,,13-15,2,W. Matthews makes 2-pt shot from 19 ft
4:54.0,Shooting foul by W. Matthews (drawn by D. Cousins),,13-15,,
4:54.0,D. Cousins makes free throw 1 of 2,1,14-15,,
4:54.0,D. Cousins makes free throw 2 of 2,1,15-15,,
4:39.0,,,15-18,3,S. Curry makes 3-pt shot from 24 ft
4:26.0,Shooting foul by A. Hammons (drawn by D. Cousins),,15-18,,
4:26.0,D. Cousins makes free throw 1 of 2,1,16-18,,
4:26.0,D. Cousins makes free throw 2 of 2,1,17-18,,
4:15.0,,,17-18,,D. Powell misses 2-pt shot from 3 ft (block by A. Tolliver)
4:13.0,Defensive rebound by A. Tolliver,,17-18,,
4:08.0,M. Barnes misses 3-pt shot from 25 ft,,17-18,,
4:07.0,,,17-18,,Defensive rebound by A. Hammons
3:57.0,,,17-20,2,D. Powell makes 2-pt shot at rim (assist by S. Curry)
3:41.0,T. Lawson misses 3-pt shot from 22 ft,,17-20,,
3:40.0,,,17-20,,Defensive rebound by S. Curry
3:24.0,,,17-22,2,W. Matthews makes 2-pt shot from 21 ft
2:57.0,D. Cousins misses 3-pt shot from 24 ft,,17-22,,
2:56.0,,,17-22,,Defensive rebound by D. Harris
2:52.0,,,17-22,,Turnover by D. Harris (bad pass; steal by T. Lawson)
2:38.0,A. Tolliver misses 2-pt shot from 1 ft (block by A. Hammons),,17-22,,
2:36.0,Offensive rebound by A. Tolliver,,17-22,,
2:35.0,A. Tolliver makes 2-pt shot from 5 ft,2,19-22,,
2:33.0,,,19-22,,Dallas full timeout
2:33.0,Sacramento full timeout,,19-22,,
2:33.0,,,19-22,,D. Finney-Smith enters the game for W. Matthews
2:33.0,,,19-22,,H. Barnes enters the game for D. Powell
2:16.0,,,19-24,2,D. Harris makes 2-pt shot from 10 ft
2:02.0,D. Collison misses 2-pt shot from 21 ft,,19-24,,
2:01.0,,,19-24,,Defensive rebound by D. Harris
1:56.0,,,19-26,2,D. Harris makes 2-pt shot from 1 ft
1:38.0,M. Barnes misses 3-pt shot from 25 ft,,19-26,,
1:37.0,,,19-26,,Defensive rebound by D. Finney-Smith
1:22.0,,,19-26,,A. Hammons misses 3-pt shot from 23 ft
1:21.0,,,19-26,,Offensive rebound by H. Barnes
1:10.0,,,19-28,2,S. Curry makes 2-pt shot from 3 ft
0:55.0,D. Cousins makes 2-pt shot from 5 ft (assist by T. Lawson),2,21-28,,
0:37.0,,,21-28,,H. Barnes misses 2-pt shot from 10 ft
0:36.0,Defensive rebound by A. Tolliver,,21-28,,
0:29.0,A. Tolliver misses 3-pt shot from 24 ft,,21-28,,
0:28.0,,,21-28,,Defensive rebound by A. Hammons
0:03.0,,,21-28,,S. Curry misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by D. Collison,,21-28,,
0:00.0,D. Collison misses 3-pt shot from 39 ft,,21-28,,
0:00.0,Offensive rebound by Team,,21-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,G. Temple misses 3-pt shot from 24 ft,,21-28,,
11:44.0,Offensive rebound by Team,,21-28,,
11:37.0,,,21-28,,Loose ball foul by D. Williams (drawn by G. Temple)
11:35.0,T. Lawson makes 2-pt shot from 6 ft,2,23-28,,
11:19.0,,,23-28,,H. Barnes misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by Team,,23-28,,
11:05.0,T. Lawson makes 3-pt shot from 23 ft (assist by G. Temple),3,26-28,,
10:47.0,,,26-30,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams)
10:36.0,T. Lawson misses 2-pt shot from 13 ft,,26-30,,
10:35.0,,,26-30,,Defensive rebound by S. Curry
10:19.0,,,26-32,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Williams)
10:06.0,Turnover by W. Cauley-Stein (lost ball; steal by D. Finney-Smith),,26-32,,
10:03.0,Personal block foul by G. Temple (drawn by D. Finney-Smith),,26-32,,
9:58.0,Personal foul by M. Barnes (drawn by D. Powell),,26-32,,
9:45.0,,,26-32,,D. Finney-Smith misses 3-pt shot from 25 ft
9:44.0,,,26-32,,Offensive rebound by H. Barnes
9:30.0,,,26-34,2,S. Curry makes 2-pt shot from 8 ft (assist by D. Williams)
9:23.0,Sacramento full timeout,,26-34,,
9:16.0,Turnover by A. Tolliver (bad pass; steal by S. Curry),,26-34,,
9:12.0,,,26-36,2,D. Finney-Smith makes 2-pt shot at rim (assist by S. Curry)
8:48.0,M. Barnes misses 2-pt shot from 1 ft,,26-36,,
8:46.0,,,26-36,,Defensive rebound by H. Barnes
8:35.0,,,26-36,,Shooting foul by A. Tolliver (drawn by D. Powell)
8:35.0,,,26-37,1,D. Powell makes free throw 1 of 2
8:35.0,,,26-38,1,D. Powell makes free throw 2 of 2
8:35.0,,,26-37,,A. Hammons enters the game for H. Barnes
8:35.0,D. Cousins enters the game for W. Cauley-Stein,,26-37,,
8:27.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,26-38,,
8:25.0,,,26-38,,Turnover by S. Curry (bad pass)
8:25.0,,,26-38,,D. Harris enters the game for S. Curry
8:17.0,Shooting foul by A. Hammons (drawn by D. Cousins),,26-38,,
8:17.0,D. Cousins misses free throw 1 of 2,,26-38,,
8:17.0,Offensive rebound by Team,,26-38,,
8:17.0,D. Cousins makes free throw 2 of 2,1,27-38,,
8:17.0,K. Koufos enters the game for A. Tolliver,,26-38,,
8:06.0,,,27-40,2,D. Williams makes 2-pt shot from 17 ft
7:55.0,Turnover by K. Koufos (lost ball; steal by D. Harris),,27-40,,
7:50.0,,,27-40,,Shooting foul by T. Lawson (drawn by A. Hammons)
7:50.0,,,27-40,,A. Hammons misses free throw 1 of 2
7:50.0,,,27-40,,Offensive rebound by Team
7:50.0,,,27-40,,A. Hammons misses free throw 2 of 2
7:50.0,B. McLemore enters the game for M. Barnes,,27-40,,
7:49.0,Defensive rebound by K. Koufos,,27-40,,
7:34.0,D. Cousins makes 2-pt shot from 1 ft (assist by G. Temple),2,29-40,,
7:13.0,,,29-43,3,D. Williams makes 3-pt shot from 25 ft
6:49.0,G. Temple misses 3-pt shot from 22 ft,,29-43,,
6:47.0,,,29-43,,Defensive rebound by D. Harris
6:44.0,,,29-43,,D. Harris misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by B. McLemore,,29-43,,
6:42.0,,,29-43,,Loose ball foul by A. Hammons (drawn by B. McLemore)
6:42.0,,,29-43,,S. Mejri enters the game for A. Hammons
6:42.0,,,29-43,,H. Barnes enters the game for D. Powell
6:42.0,,,29-43,,W. Matthews enters the game for D. Finney-Smith
6:25.0,,,29-43,,Def 3 sec tech foul by S. Mejri
6:25.0,D. Cousins makes technical free throw,1,30-43,,
6:15.0,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple),2,32-43,,
5:56.0,,,32-43,,H. Barnes misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by K. Koufos,,32-43,,
5:51.0,G. Temple misses 2-pt shot from 3 ft,,32-43,,
5:49.0,,,32-43,,Defensive rebound by D. Harris
5:42.0,Personal foul by G. Temple (drawn by D. Williams),,32-43,,
5:42.0,Official timeout,,32-43,,
5:42.0,,,32-44,1,D. Williams makes free throw 1 of 2
5:42.0,,,32-45,1,D. Williams makes free throw 2 of 2
5:26.0,Turnover by K. Koufos (lost ball; steal by H. Barnes),,32-45,,
5:13.0,,,32-45,,Turnover by D. Harris (bad pass; steal by B. McLemore)
5:07.0,D. Cousins makes 2-pt shot from 1 ft (assist by B. McLemore),2,34-45,,
4:49.0,,,34-47,2,W. Matthews makes 2-pt shot from 18 ft (assist by D. Harris)
4:24.0,T. Lawson makes 3-pt shot from 24 ft,3,37-47,,
4:13.0,Personal foul by D. Cousins (drawn by H. Barnes),,37-47,,
4:13.0,,,37-47,,H. Barnes misses free throw 1 of 2
4:13.0,,,37-47,,Offensive rebound by Team
4:13.0,,,37-48,1,H. Barnes makes free throw 2 of 2
4:13.0,D. Collison enters the game for T. Lawson,,37-47,,
4:13.0,,,37-47,,S. Curry enters the game for D. Williams
3:55.0,D. Cousins misses 2-pt shot from 1 ft (block by S. Mejri),,37-48,,
3:54.0,Offensive rebound by Team,,37-48,,
3:50.0,D. Cousins misses 2-pt shot from 17 ft,,37-48,,
3:48.0,,,37-48,,Defensive rebound by W. Matthews
3:48.0,Personal foul by K. Koufos (drawn by H. Barnes),,37-48,,
3:48.0,,,37-49,1,H. Barnes makes free throw 1 of 2
3:48.0,,,37-50,1,H. Barnes makes free throw 2 of 2
3:37.0,B. McLemore makes 2-pt shot from 20 ft (assist by G. Temple),2,39-50,,
3:11.0,,,39-50,,W. Matthews misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by B. McLemore,,39-50,,
3:06.0,Turnover by B. McLemore (offensive foul),,39-50,,
3:06.0,Offensive charge foul by B. McLemore,,39-50,,
3:06.0,,,39-50,,Dallas full timeout
3:06.0,,,39-50,,D. Williams enters the game for D. Harris
2:54.0,,,39-50,,S. Curry misses 3-pt shot from 25 ft
2:53.0,,,39-50,,Offensive rebound by H. Barnes
2:51.0,,,39-50,,H. Barnes misses 2-pt shot from 7 ft
2:50.0,Defensive rebound by K. Koufos,,39-50,,
2:32.0,D. Cousins misses 2-pt shot from 5 ft (block by S. Mejri),,39-50,,
2:31.0,,,39-50,,Defensive rebound by S. Mejri
2:08.0,,,39-50,,H. Barnes misses 2-pt shot from 10 ft
2:07.0,Defensive rebound by D. Cousins,,39-50,,
1:55.0,D. Collison makes 2-pt shot from 15 ft,2,41-50,,
1:29.0,,,41-53,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
1:09.0,D. Collison misses 3-pt shot from 25 ft,,41-53,,
1:08.0,Offensive rebound by G. Temple,,41-53,,
1:00.0,D. Cousins makes 3-pt shot from 24 ft (assist by B. McLemore),3,44-53,,
0:44.0,,,44-53,,H. Barnes misses 2-pt shot from 2 ft
0:43.0,Defensive rebound by K. Koufos,,44-53,,
0:29.0,G. Temple misses 3-pt shot from 24 ft,,44-53,,
0:28.0,,,44-53,,Defensive rebound by S. Curry
0:07.0,,,44-55,2,D. Williams makes 2-pt shot from 8 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Cousins makes 2-pt shot from 1 ft (assist by G. Temple),2,46-55,,
11:22.0,,,46-55,,Shooting foul by D. Collison (drawn by D. Williams)
11:22.0,,,46-56,1,D. Williams makes free throw 1 of 2
11:22.0,,,46-57,1,D. Williams makes free throw 2 of 2
11:04.0,D. Cousins misses 2-pt shot from 2 ft,,46-57,,
11:03.0,,,46-57,,Defensive rebound by D. Finney-Smith
10:56.0,,,46-57,,H. Barnes misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by D. Cousins,,46-57,,
10:43.0,G. Temple misses 3-pt shot from 24 ft,,46-57,,
10:42.0,Offensive rebound by K. Koufos,,46-57,,
10:39.0,K. Koufos makes 2-pt shot from 1 ft,2,48-57,,
10:22.0,Shooting block foul by K. Koufos (drawn by D. Finney-Smith),,48-57,,
10:22.0,,,48-58,1,D. Finney-Smith makes free throw 1 of 2
10:22.0,,,48-59,1,D. Finney-Smith makes free throw 2 of 2
10:09.0,Turnover by G. Temple (bad pass; steal by H. Barnes),,48-59,,
9:57.0,,,48-61,2,H. Barnes makes 2-pt shot from 5 ft (assist by D. Finney-Smith)
9:42.0,Offensive foul by D. Cousins,,48-61,,
9:42.0,Turnover by D. Cousins (offensive foul),,48-61,,
9:29.0,,,48-61,,H. Barnes misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by K. Koufos,,48-61,,
9:17.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison),3,51-61,,
8:59.0,,,51-64,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams)
8:45.0,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison),3,54-64,,
8:29.0,,,54-64,,W. Matthews misses 3-pt shot from 24 ft
8:28.0,,,54-64,,Offensive rebound by S. Mejri
8:28.0,Loose ball foul by K. Koufos (drawn by S. Mejri),,54-64,,
8:19.0,,,54-64,,D. Finney-Smith misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by K. Koufos,,54-64,,
8:05.0,,,54-64,,Def 3 sec tech foul by D. Williams
8:05.0,D. Collison misses technical free throw,,54-64,,
8:05.0,Offensive rebound by Team,,54-64,,
7:55.0,D. Cousins misses 2-pt shot from 10 ft,,54-64,,
7:54.0,,,54-64,,Defensive rebound by D. Williams
7:37.0,,,54-66,2,D. Finney-Smith makes 2-pt shot from 1 ft
7:22.0,D. Cousins misses 3-pt shot from 24 ft,,54-66,,
7:21.0,,,54-66,,Defensive rebound by H. Barnes
7:11.0,,,54-66,,D. Williams misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by K. Koufos,,54-66,,
7:07.0,Turnover by K. Koufos (bad pass; steal by H. Barnes),,54-66,,
6:52.0,,,54-69,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by H. Barnes)
6:45.0,Sacramento full timeout,,54-69,,
6:33.0,D. Collison misses 2-pt shot from 20 ft,,54-69,,
6:32.0,,,54-69,,Defensive rebound by H. Barnes
6:12.0,,,54-69,,D. Finney-Smith misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by B. McLemore,,54-69,,
5:52.0,D. Cousins misses 3-pt shot from 25 ft,,54-69,,
5:51.0,,,54-69,,Defensive rebound by S. Mejri
5:31.0,,,54-69,,Turnover by D. Finney-Smith (back court)
5:31.0,,,54-69,,D. Harris enters the game for D. Finney-Smith
5:31.0,,,54-69,,A. Hammons enters the game for H. Barnes
5:31.0,,,54-69,,D. Powell enters the game for S. Mejri
5:31.0,,,54-69,,S. Curry enters the game for D. Williams
5:16.0,G. Temple misses 2-pt shot from 17 ft,,54-69,,
5:15.0,,,54-69,,Defensive rebound by D. Powell
4:54.0,,,54-69,,Turnover by W. Matthews (lost ball; steal by K. Koufos)
4:48.0,D. Collison misses 2-pt shot from 2 ft,,54-69,,
4:47.0,Offensive rebound by K. Koufos,,54-69,,
4:47.0,K. Koufos makes 2-pt shot from 1 ft,2,56-69,,
4:28.0,,,56-69,,W. Matthews misses 3-pt shot from 25 ft
4:27.0,,,56-69,,Offensive rebound by D. Powell
4:23.0,,,56-69,,W. Matthews misses 2-pt shot from 8 ft
4:22.0,Defensive rebound by D. Cousins,,56-69,,
4:06.0,D. Collison misses 2-pt shot from 16 ft,,56-69,,
4:05.0,,,56-69,,Defensive rebound by D. Harris
4:05.0,Personal foul by K. Koufos (drawn by D. Harris),,56-69,,
3:49.0,,,56-71,2,D. Harris makes 2-pt shot from 1 ft (assist by S. Curry)
3:49.0,,,56-71,,Shooting foul by B. McLemore (drawn by D. Harris)
3:49.0,,,56-72,1,D. Harris makes free throw 1 of 1
3:25.0,Turnover by Team (shot clock),,56-72,,
3:25.0,W. Cauley-Stein enters the game for K. Koufos,,56-72,,
3:25.0,T. Lawson enters the game for D. Collison,,56-72,,
3:08.0,,,56-72,,D. Harris misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by G. Temple,,56-72,,
2:56.0,G. Temple misses 3-pt shot from 22 ft,,56-72,,
2:52.0,,,56-72,,Defensive rebound by A. Hammons
2:47.0,,,56-72,,W. Matthews misses 2-pt shot from 1 ft (block by G. Temple)
2:46.0,,,56-72,,Offensive rebound by Team
2:46.0,,,56-72,,Dallas full timeout
2:46.0,A. Tolliver enters the game for G. Temple,,56-72,,
2:36.0,,,56-72,,A. Hammons misses 2-pt shot from 3 ft (block by D. Cousins)
2:33.0,,,56-72,,Offensive rebound by D. Powell
2:33.0,,,56-75,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Powell)
2:33.0,,,56-75,,Shooting foul by B. McLemore (drawn by D. Harris)
2:33.0,,,56-76,1,D. Harris makes free throw 1 of 1
2:21.0,B. McLemore misses 2-pt shot from 16 ft,,56-76,,
2:20.0,,,56-76,,Defensive rebound by D. Harris
2:05.0,M. Barnes enters the game for D. Cousins,,56-76,,
1:59.0,,,56-76,,D. Harris misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by T. Lawson,,56-76,,
1:47.0,T. Lawson misses 3-pt shot from 24 ft,,56-76,,
1:46.0,,,56-76,,Defensive rebound by S. Curry
1:28.0,,,56-76,,S. Curry misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by T. Lawson,,56-76,,
1:21.0,B. McLemore misses 3-pt shot from 26 ft,,56-76,,
1:20.0,,,56-76,,Defensive rebound by W. Matthews
1:06.0,,,56-76,,S. Curry misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by W. Cauley-Stein,,56-76,,
0:49.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,58-76,,
0:33.0,,,58-76,,D. Harris misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by A. Tolliver,,58-76,,
0:13.0,Turnover by B. McLemore (lost ball),,58-76,,
0:01.0,,,58-76,,S. Curry misses 2-pt shot from 2 ft (block by A. Tolliver)
0:00.0,Defensive rebound by W. Cauley-Stein,,58-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,58-78,2,H. Barnes makes 2-pt shot from 7 ft
11:19.0,T. Lawson misses 2-pt shot from 2 ft,,58-78,,
11:18.0,Offensive rebound by W. Cauley-Stein,,58-78,,
11:18.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,60-78,,
10:52.0,,,60-78,,Turnover by S. Curry (lost ball)
10:52.0,G. Temple enters the game for B. McLemore,,60-78,,
10:38.0,A. Tolliver makes 3-pt shot from 23 ft (assist by G. Temple),3,63-78,,
10:14.0,,,63-81,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by S. Curry)
9:53.0,Shooting foul by D. Finney-Smith (drawn by A. Tolliver),,63-81,,
9:53.0,A. Tolliver makes free throw 1 of 2,1,64-81,,
9:53.0,A. Tolliver makes free throw 2 of 2,1,65-81,,
9:35.0,,,65-81,,H. Barnes misses 2-pt shot from 15 ft
9:34.0,Defensive rebound by W. Cauley-Stein,,65-81,,
9:27.0,A. Tolliver misses 3-pt shot from 25 ft,,65-81,,
9:26.0,,,65-81,,Defensive rebound by H. Barnes
9:14.0,,,65-84,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Finney-Smith)
9:06.0,G. Temple makes 3-pt shot from 25 ft (assist by A. Tolliver),3,68-84,,
8:40.0,,,68-84,,D. Williams misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by A. Tolliver,,68-84,,
8:34.0,T. Lawson makes 2-pt shot from 2 ft,2,70-84,,
8:34.0,,,70-84,,Dallas full timeout
8:34.0,,,70-84,,D. Harris enters the game for S. Curry
8:34.0,,,70-84,,W. Matthews enters the game for H. Barnes
8:14.0,,,70-84,,D. Harris misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by G. Temple,,70-84,,
7:53.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,70-84,,
7:52.0,,,70-84,,Defensive rebound by D. Powell
7:30.0,,,70-84,,D. Williams misses 2-pt shot from 8 ft
7:29.0,Defensive rebound by W. Cauley-Stein,,70-84,,
7:21.0,Turnover by T. Lawson (bad pass; steal by D. Powell),,70-84,,
7:16.0,,,70-84,,Shooting foul by M. Barnes (drawn by D. Finney-Smith)
7:16.0,,,70-85,1,D. Finney-Smith makes free throw 1 of 2
7:16.0,,,70-86,1,D. Finney-Smith makes free throw 2 of 2
6:58.0,M. Barnes misses 3-pt shot from 24 ft,,70-86,,
6:57.0,,,70-86,,Defensive rebound by D. Powell
6:46.0,,,70-86,,Turnover by D. Williams (bad pass; steal by M. Barnes)
6:40.0,G. Temple misses 3-pt shot from 24 ft,,70-86,,
6:40.0,,,70-86,,Defensive rebound by D. Williams
6:32.0,Personal foul by G. Temple (drawn by D. Williams),,70-86,,
6:32.0,D. Cousins enters the game for W. Cauley-Stein,,70-86,,
6:32.0,,,70-86,,S. Mejri enters the game for D. Powell
6:17.0,,,70-89,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Williams)
5:58.0,A. Tolliver misses 3-pt shot from 24 ft,,70-89,,
5:57.0,,,70-89,,Defensive rebound by D. Harris
5:41.0,,,70-89,,Offensive foul by W. Matthews
5:41.0,,,70-89,,Turnover by W. Matthews (offensive foul)
5:41.0,Official timeout,,70-89,,
5:41.0,,,70-89,,S. Curry enters the game for D. Harris
5:27.0,D. Cousins makes 2-pt shot from 5 ft (assist by G. Temple),2,72-89,,
5:27.0,Shooting foul by D. Finney-Smith (drawn by D. Cousins),,72-89,,
5:27.0,D. Cousins misses free throw 1 of 1,,72-89,,
5:26.0,,,72-89,,Defensive rebound by S. Mejri
5:00.0,,,72-89,,D. Finney-Smith misses 3-pt shot from 23 ft
4:59.0,Defensive rebound by G. Temple,,72-89,,
4:53.0,Turnover by G. Temple (lost ball; steal by W. Matthews),,72-89,,
4:38.0,,,72-89,,W. Matthews misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by D. Cousins,,72-89,,
4:29.0,D. Cousins misses 3-pt shot from 25 ft,,72-89,,
4:27.0,,,72-89,,Defensive rebound by Team
4:14.0,,,72-92,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Williams)
3:54.0,M. Barnes makes 2-pt shot from 6 ft,2,74-92,,
3:38.0,,,74-92,,W. Matthews misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by A. Tolliver,,74-92,,
3:25.0,Shooting foul by S. Mejri (drawn by D. Cousins),,74-92,,
3:25.0,D. Cousins makes free throw 1 of 2,1,75-92,,
3:25.0,D. Cousins misses free throw 2 of 2,,75-92,,
3:25.0,,,75-92,,H. Barnes enters the game for D. Finney-Smith
3:24.0,Offensive rebound by M. Barnes,,75-92,,
3:20.0,Turnover by G. Temple (lost ball),,75-92,,
3:01.0,,,75-92,,D. Williams misses 2-pt shot from 5 ft
2:59.0,Defensive rebound by A. Tolliver,,75-92,,
2:48.0,D. Cousins makes 2-pt shot from 4 ft,2,77-92,,
2:28.0,,,77-94,2,H. Barnes makes 2-pt shot from 4 ft (assist by D. Williams)
2:18.0,T. Lawson misses 2-pt shot from 4 ft (block by H. Barnes),,77-94,,
2:15.0,,,77-94,,Defensive rebound by S. Mejri
2:11.0,,,77-94,,Dallas full timeout
2:11.0,,,77-94,,J. Anderson enters the game for H. Barnes
2:11.0,,,77-94,,J. Gibson enters the game for S. Mejri
2:11.0,,,77-94,,D. Finney-Smith enters the game for W. Matthews
2:11.0,,,77-94,,A. Hammons enters the game for D. Williams
2:11.0,S. Labissiere enters the game for D. Cousins,,77-94,,
2:11.0,W. Cauley-Stein enters the game for G. Temple,,77-94,,
2:11.0,M. Richardson enters the game for A. Tolliver,,77-94,,
1:55.0,,,77-97,3,S. Curry makes 3-pt shot from 27 ft (assist by J. Gibson)
1:49.0,,,77-97,,Personal take foul by J. Gibson (drawn by T. Lawson)
1:49.0,,,77-97,,N. Brussino enters the game for D. Finney-Smith
1:34.0,M. Barnes makes 2-pt shot from 6 ft (assist by T. Lawson),2,79-97,,
1:21.0,,,79-97,,A. Hammons misses 2-pt shot from 5 ft
1:20.0,Defensive rebound by W. Cauley-Stein,,79-97,,
1:20.0,,,79-97,,Loose ball foul by A. Hammons (drawn by W. Cauley-Stein)
1:20.0,W. Cauley-Stein misses free throw 1 of 2,,79-97,,
1:20.0,Offensive rebound by Team,,79-97,,
1:20.0,W. Cauley-Stein misses free throw 2 of 2,,79-97,,
1:19.0,,,79-97,,Defensive rebound by J. Anderson
1:06.0,,,79-97,,J. Anderson misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by M. Barnes,,79-97,,
0:45.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by A. Hammons),,79-97,,
0:44.0,,,79-97,,Defensive rebound by S. Curry
0:31.0,,,79-97,,Shooting foul by M. Barnes (drawn by J. Anderson)
0:31.0,,,79-98,1,J. Anderson makes free throw 1 of 2
0:31.0,,,79-99,1,J. Anderson makes free throw 2 of 2
