time,Toronto,pts.away,score,pts.home,Milwaukee
3:35.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan),3,33-37,,
3:22.0,,,33-37,,Turnover by M. Brogdon (bad pass)
3:22.0,,,33-37,,T. Snell enters the game for K. Middleton
3:11.0,Turnover by S. Ibaka (bad pass; steal by T. Snell),,33-37,,
3:07.0,,,33-39,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:51.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,35-39,,
2:32.0,,,35-42,3,S. Hawes makes 3-pt shot from 27 ft (assist by M. Dellavedova)
2:26.0,Toronto full timeout,,35-42,,
2:26.0,,,35-42,,Milwaukee full timeout
2:26.0,P. Patterson enters the game for J. Valanciunas,,35-42,,
2:17.0,D. DeRozan misses 2-pt shot from 12 ft,,35-42,,
2:15.0,Offensive rebound by D. Carroll,,35-42,,
2:10.0,S. Ibaka makes 2-pt shot from 3 ft (assist by D. DeRozan),2,37-42,,
2:10.0,Shooting foul by S. Hawes (drawn by S. Ibaka),,37-42,,
2:10.0,S. Ibaka makes free throw 1 of 1,1,38-42,,
1:55.0,,,38-44,2,G. Antetokounmpo makes 2-pt shot at rim
1:39.0,S. Ibaka makes 2-pt shot from 14 ft (assist by C. Joseph),2,40-44,,
1:25.0,,,40-46,2,M. Dellavedova makes 2-pt shot from 1 ft
1:09.0,P. Patterson misses 3-pt shot from 27 ft,,40-46,,
1:08.0,,,40-46,,Defensive rebound by G. Antetokounmpo
1:00.0,,,40-48,2,T. Snell makes 2-pt shot from 3 ft (assist by S. Hawes)
0:50.0,D. DeRozan misses 2-pt shot from 19 ft,,40-48,,
0:49.0,,,40-48,,Defensive rebound by S. Hawes
0:34.0,,,40-50,2,S. Hawes makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:34.0,,,40-50,,Shooting foul by D. DeRozan (drawn by S. Hawes)
0:34.0,,,40-51,1,S. Hawes makes free throw 1 of 1
0:29.0,,,40-51,,Personal foul by M. Dellavedova (drawn by S. Ibaka)
0:29.0,S. Ibaka makes free throw 1 of 2,1,41-51,,
0:29.0,S. Ibaka makes free throw 2 of 2,1,42-51,,
0:13.0,,,42-53,2,M. Brogdon makes 2-pt shot from 1 ft
0:01.0,D. Carroll misses 3-pt shot from 24 ft,,42-53,,
0:00.0,,,42-53,,Defensive rebound by S. Hawes
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,42-55,2,K. Middleton makes 2-pt shot from 16 ft
11:28.0,D. DeRozan makes 2-pt shot from 1 ft,2,44-55,,
11:13.0,,,44-55,,T. Snell misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by D. Carroll,,44-55,,
11:05.0,Turnover by D. DeRozan (bad pass),,44-55,,
10:44.0,,,44-57,2,K. Middleton makes 2-pt shot from 4 ft
10:22.0,C. Joseph makes 2-pt shot from 1 ft,2,46-57,,
10:07.0,,,46-57,,M. Brogdon misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by S. Ibaka,,46-57,,
9:57.0,D. DeRozan makes 2-pt shot from 1 ft,2,48-57,,
9:47.0,,,48-57,,T. Snell misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by S. Ibaka,,48-57,,
9:47.0,Toronto full timeout,,48-57,,
9:47.0,P. Tucker enters the game for D. Carroll,,48-57,,
9:36.0,Offensive foul by J. Valanciunas,,48-57,,
9:36.0,Turnover by J. Valanciunas (offensive foul),,48-57,,
9:21.0,,,48-59,2,G. Antetokounmpo makes 2-pt shot from 18 ft
9:10.0,Shooting foul by T. Snell (drawn by J. Valanciunas),,48-59,,
9:10.0,J. Valanciunas makes free throw 1 of 2,1,49-59,,
9:10.0,J. Valanciunas makes free throw 2 of 2,1,50-59,,
8:58.0,Personal foul by P. Tucker (drawn by K. Middleton),,50-59,,
8:49.0,,,50-59,,G. Antetokounmpo misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by J. Valanciunas,,50-59,,
8:39.0,C. Joseph misses 2-pt shot from 17 ft,,50-59,,
8:38.0,,,50-59,,Defensive rebound by T. Snell
8:28.0,Personal foul by J. Valanciunas (drawn by G. Antetokounmpo),,50-59,,
8:19.0,,,50-62,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:06.0,,,50-62,,Personal foul by K. Middleton (drawn by J. Valanciunas)
7:50.0,P. Tucker misses 3-pt shot from 24 ft,,50-62,,
7:48.0,,,50-62,,Defensive rebound by G. Antetokounmpo
7:46.0,,,50-62,,Turnover by T. Snell (traveling)
7:32.0,S. Ibaka makes 2-pt shot from 14 ft (assist by D. DeRozan),2,52-62,,
7:16.0,,,52-64,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
6:57.0,Toronto full timeout,,52-64,,
6:57.0,,,52-64,,G. Monroe enters the game for T. Maker
6:49.0,D. DeRozan misses 3-pt shot from 26 ft,,52-64,,
6:47.0,,,52-64,,Defensive rebound by G. Monroe
6:29.0,,,52-66,2,G. Antetokounmpo makes 2-pt shot from 19 ft
6:02.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Joseph),3,55-66,,
5:33.0,,,55-66,,G. Monroe misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by J. Valanciunas,,55-66,,
5:23.0,Turnover by D. DeRozan (bad pass; steal by K. Middleton),,55-66,,
5:21.0,,,55-68,2,K. Middleton makes 2-pt shot from 1 ft
5:21.0,,,55-68,,Shooting foul by D. DeRozan (drawn by K. Middleton)
5:21.0,,,55-69,1,K. Middleton makes free throw 1 of 1
5:21.0,N. Powell enters the game for J. Valanciunas,,55-68,,
5:06.0,C. Joseph makes 2-pt shot from 1 ft,2,57-69,,
4:48.0,,,57-69,,K. Middleton misses 2-pt shot from 13 ft
4:47.0,,,57-69,,Offensive rebound by G. Monroe
4:46.0,,,57-69,,G. Monroe misses 2-pt shot from 2 ft (block by S. Ibaka)
4:46.0,Defensive rebound by Team,,57-69,,
4:34.0,Shooting foul by K. Middleton (drawn by C. Joseph),,57-69,,
4:34.0,C. Joseph makes free throw 1 of 2,1,58-69,,
4:34.0,C. Joseph makes free throw 2 of 2,1,59-69,,
4:34.0,,,58-69,,J. Terry enters the game for K. Middleton
4:25.0,,,59-71,2,M. Brogdon makes 2-pt shot from 20 ft
4:05.0,D. DeRozan misses 2-pt shot from 2 ft,,59-71,,
4:04.0,,,59-71,,Defensive rebound by T. Snell
3:48.0,,,59-71,,Turnover by T. Snell (lost ball; steal by P. Tucker)
3:39.0,S. Ibaka makes 2-pt shot from 14 ft (assist by N. Powell),2,61-71,,
3:18.0,,,61-71,,T. Snell misses 3-pt shot from 23 ft
3:18.0,,,61-71,,Offensive rebound by Team
3:18.0,Loose ball foul by S. Ibaka (drawn by G. Monroe),,61-71,,
3:18.0,,,61-71,,M. Dellavedova enters the game for T. Snell
3:12.0,,,61-71,,M. Dellavedova misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by P. Tucker,,61-71,,
3:02.0,,,61-71,,Personal foul by M. Dellavedova (drawn by S. Ibaka)
2:47.0,C. Joseph makes 3-pt shot from 28 ft (assist by N. Powell),3,64-71,,
2:36.0,Personal foul by N. Powell (drawn by M. Dellavedova),,64-71,,
2:36.0,,,64-71,,Milwaukee full timeout
2:36.0,,,64-72,1,M. Dellavedova makes free throw 1 of 2
2:36.0,,,64-73,1,M. Dellavedova makes free throw 2 of 2
2:36.0,P. Patterson enters the game for S. Ibaka,,64-71,,
2:36.0,D. Wright enters the game for C. Joseph,,64-71,,
2:19.0,P. Tucker misses 2-pt shot from 4 ft,,64-73,,
2:19.0,Offensive rebound by Team,,64-73,,
2:19.0,,,64-73,,Loose ball foul by J. Terry (drawn by P. Tucker)
2:19.0,P. Tucker misses free throw 1 of 2,,64-73,,
2:19.0,Offensive rebound by Team,,64-73,,
2:19.0,P. Tucker makes free throw 2 of 2,1,65-73,,
2:04.0,,,65-75,2,M. Dellavedova makes 2-pt shot from 8 ft (assist by G. Antetokounmpo)
1:38.0,P. Tucker misses 2-pt shot from 17 ft (block by G. Monroe),,65-75,,
1:36.0,,,65-75,,Defensive rebound by M. Brogdon
1:30.0,,,65-75,,J. Terry misses 3-pt shot from 24 ft
1:29.0,,,65-75,,Offensive rebound by G. Antetokounmpo
1:22.0,,,65-77,2,G. Antetokounmpo makes 2-pt shot at rim
1:00.0,N. Powell makes 2-pt shot at rim,2,67-77,,
0:40.0,,,67-77,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by P. Patterson)
0:39.0,,,67-77,,Offensive rebound by G. Monroe
0:38.0,,,67-77,,G. Monroe misses 2-pt shot from 2 ft (block by D. Wright)
0:38.0,,,67-77,,Offensive rebound by G. Monroe
0:37.0,,,67-77,,G. Monroe misses 2-pt shot from 2 ft
0:36.0,,,67-77,,Offensive rebound by G. Antetokounmpo
0:35.0,,,67-77,,Shooting foul by P. Patterson (drawn by G. Antetokounmpo)
0:35.0,,,67-77,,G. Antetokounmpo misses free throw 1 of 2
0:35.0,,,67-77,,Offensive rebound by Team
0:35.0,,,67-78,1,G. Antetokounmpo makes free throw 2 of 2
0:14.0,P. Tucker misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,67-78,,
0:13.0,Offensive rebound by Team,,67-78,,
0:10.0,D. DeRozan misses 2-pt shot from 15 ft,,67-78,,
0:09.0,,,67-78,,Defensive rebound by M. Dellavedova
0:06.0,,,67-78,,Shooting foul by P. Patterson (drawn by G. Antetokounmpo)
0:06.0,,,67-79,1,G. Antetokounmpo makes free throw 1 of 2
0:06.0,,,67-80,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,P. Patterson makes 2-pt shot from 5 ft (assist by C. Joseph),2,69-80,,
11:21.0,,,69-80,,J. Terry misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by F. VanVleet,,69-80,,
11:12.0,P. Patterson makes 3-pt shot from 27 ft (assist by F. VanVleet),3,72-80,,
10:57.0,,,72-80,,M. Dellavedova misses 2-pt shot from 5 ft
10:57.0,,,72-80,,Offensive rebound by Team
10:57.0,Loose ball foul by P. Patterson (drawn by G. Monroe),,72-80,,
10:57.0,,,72-80,,S. Hawes enters the game for G. Antetokounmpo
10:57.0,,,72-80,,K. Middleton enters the game for G. Monroe
10:52.0,,,72-82,2,S. Hawes makes 2-pt shot from 3 ft (assist by M. Brogdon)
10:40.0,P. Tucker misses 3-pt shot from 23 ft,,72-82,,
10:39.0,,,72-82,,Defensive rebound by S. Hawes
10:25.0,,,72-82,,M. Brogdon misses 3-pt shot from 26 ft
10:24.0,,,72-82,,Offensive rebound by S. Hawes
10:04.0,,,72-84,2,K. Middleton makes 2-pt shot from 15 ft
9:40.0,P. Patterson misses 2-pt shot from 3 ft,,72-84,,
9:38.0,,,72-84,,Defensive rebound by S. Hawes
9:17.0,,,72-84,,K. Middleton misses 2-pt shot from 5 ft
9:17.0,,,72-84,,Offensive rebound by Team
9:17.0,,,72-84,,Turnover by K. Middleton (traveling)
9:02.0,C. Joseph misses 3-pt shot from 26 ft,,72-84,,
9:02.0,Offensive rebound by Team,,72-84,,
9:02.0,,,72-84,,Loose ball foul by K. Middleton (drawn by P. Tucker)
8:55.0,F. VanVleet makes 2-pt shot from 1 ft,2,74-84,,
8:40.0,,,74-84,,M. Brogdon misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by P. Tucker,,74-84,,
8:29.0,C. Joseph misses 2-pt shot from 19 ft,,74-84,,
8:28.0,,,74-84,,Defensive rebound by M. Brogdon
8:13.0,Personal foul by F. VanVleet (drawn by M. Brogdon),,74-84,,
8:13.0,Official timeout,,74-84,,
8:13.0,S. Ibaka enters the game for P. Patterson,,74-84,,
8:03.0,,,74-84,,K. Middleton misses 3-pt shot from 28 ft
8:01.0,Defensive rebound by C. Joseph,,74-84,,
7:42.0,N. Powell makes 2-pt shot from 2 ft (assist by F. VanVleet),2,76-84,,
7:19.0,,,76-84,,Turnover by K. Middleton (bad pass; steal by F. VanVleet)
7:16.0,Shooting foul by J. Terry (drawn by F. VanVleet),,76-84,,
7:16.0,F. VanVleet makes free throw 1 of 2,1,77-84,,
7:16.0,F. VanVleet makes free throw 2 of 2,1,78-84,,
6:56.0,,,78-86,2,M. Brogdon makes 2-pt shot at rim
6:38.0,Turnover by C. Joseph (lost ball),,78-86,,
6:38.0,,,78-86,,G. Antetokounmpo enters the game for K. Middleton
6:25.0,,,78-86,,S. Hawes misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by P. Tucker,,78-86,,
6:18.0,N. Powell makes 2-pt shot at rim,2,80-86,,
6:00.0,,,80-86,,M. Dellavedova misses 2-pt shot from 4 ft
5:59.0,Defensive rebound by S. Ibaka,,80-86,,
5:52.0,F. VanVleet makes 2-pt shot from 1 ft,2,82-86,,
5:52.0,,,82-86,,Milwaukee full timeout
5:52.0,,,82-86,,G. Monroe enters the game for J. Terry
5:52.0,,,82-86,,T. Snell enters the game for S. Hawes
5:27.0,,,82-86,,T. Snell misses 3-pt shot from 25 ft
5:27.0,,,82-86,,Offensive rebound by Team
5:26.0,Loose ball foul by N. Powell (drawn by G. Antetokounmpo),,82-86,,
5:10.0,,,82-86,,M. Dellavedova misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by P. Tucker,,82-86,,
4:56.0,Turnover by F. VanVleet (bad pass),,82-86,,
4:36.0,,,82-86,,G. Monroe misses 2-pt shot from 1 ft (block by S. Ibaka)
4:33.0,Defensive rebound by F. VanVleet,,82-86,,
4:20.0,P. Tucker misses 2-pt shot from 3 ft,,82-86,,
4:18.0,,,82-86,,Defensive rebound by G. Monroe
4:10.0,,,82-88,2,G. Antetokounmpo makes 2-pt shot from 2 ft
3:56.0,F. VanVleet misses 2-pt shot from 19 ft,,82-88,,
3:55.0,,,82-88,,Defensive rebound by G. Antetokounmpo
3:43.0,,,82-90,2,G. Antetokounmpo makes 2-pt shot from 17 ft
3:43.0,Toronto full timeout,,82-90,,
3:43.0,D. DeRozan enters the game for F. VanVleet,,82-90,,
3:43.0,,,82-90,,K. Middleton enters the game for M. Dellavedova
3:30.0,N. Powell misses 2-pt shot from 2 ft (block by G. Monroe),,82-90,,
3:28.0,,,82-90,,Defensive rebound by G. Antetokounmpo
3:07.0,,,82-90,,M. Brogdon misses 3-pt shot from 24 ft
3:06.0,,,82-90,,Offensive rebound by M. Brogdon
3:05.0,,,82-92,2,M. Brogdon makes 2-pt shot at rim
2:40.0,P. Tucker makes 3-pt shot from 25 ft (assist by N. Powell),3,85-92,,
2:20.0,,,85-92,,G. Antetokounmpo misses 2-pt shot from 18 ft
2:19.0,Defensive rebound by D. DeRozan,,85-92,,
2:09.0,D. DeRozan misses 2-pt shot from 16 ft,,85-92,,
2:08.0,,,85-92,,Defensive rebound by G. Antetokounmpo
1:58.0,Personal foul by S. Ibaka (drawn by G. Monroe),,85-92,,
1:54.0,,,85-92,,Technical foul by G. Monroe
1:54.0,Technical foul by S. Ibaka,,85-92,,
1:54.0,,,85-94,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe)
1:34.0,C. Joseph makes 2-pt shot from 2 ft,2,87-94,,
1:23.0,,,87-94,,Turnover by G. Antetokounmpo (traveling)
1:14.0,Offensive charge foul by D. DeRozan,,87-94,,
1:14.0,Turnover by D. DeRozan (offensive foul),,87-94,,
0:58.0,,,87-97,3,T. Snell makes 3-pt shot from 23 ft (assist by G. Monroe)
0:58.0,Toronto full timeout,,87-97,,
0:56.0,,,87-97,,Personal foul by T. Snell (drawn by C. Joseph)
0:52.0,,,87-97,,Violation by K. Middleton (kicked ball)
0:49.0,S. Ibaka makes 3-pt shot from 25 ft (assist by P. Tucker),3,90-97,,
0:48.0,Personal foul by C. Joseph (drawn by M. Brogdon),,90-97,,
0:48.0,,,90-98,1,M. Brogdon makes free throw 1 of 2
0:48.0,,,90-99,1,M. Brogdon makes free throw 2 of 2
0:41.0,N. Powell misses 3-pt shot from 28 ft,,90-99,,
0:39.0,Offensive rebound by C. Joseph,,90-99,,
0:34.0,Shooting foul by G. Antetokounmpo (drawn by N. Powell),,90-99,,
0:34.0,N. Powell makes free throw 1 of 2,1,91-99,,
