time,Phoenix,pts.away,score,pts.home,Utah
9:50.0,L. Barbosa makes 2-pt shot from 8 ft,2,31-33,,
9:50.0,Shooting foul by R. Neto (drawn by L. Barbosa),,31-33,,
9:50.0,L. Barbosa makes free throw 1 of 1,1,32-33,,
9:35.0,Personal foul by D. Bender (drawn by R. Hood),,32-33,,
9:29.0,,,32-33,,Turnover by J. Johnson (bad pass; steal by L. Barbosa)
9:25.0,L. Barbosa makes 2-pt shot from 2 ft,2,34-33,,
9:07.0,,,34-35,2,T. Lyles makes 2-pt shot from 10 ft
8:47.0,D. Bender misses 3-pt shot from 24 ft,,34-35,,
8:47.0,,,34-35,,Defensive rebound by R. Hood
8:39.0,,,34-37,2,R. Hood makes 2-pt shot from 20 ft
8:22.0,B. Knight misses 2-pt shot from 3 ft,,34-37,,
8:21.0,,,34-37,,Defensive rebound by T. Lyles
8:06.0,,,34-39,2,R. Neto makes 2-pt shot from 9 ft
7:50.0,B. Knight misses 2-pt shot from 15 ft,,34-39,,
7:50.0,,,34-39,,Defensive rebound by J. Johnson
7:39.0,,,34-39,,J. Johnson misses 2-pt shot from 23 ft
7:39.0,Defensive rebound by P. Tucker,,34-39,,
7:21.0,B. Knight misses 2-pt shot from 2 ft,,34-39,,
7:21.0,Offensive rebound by A. Len,,34-39,,
7:19.0,A. Len misses 2-pt shot from 2 ft,,34-39,,
7:17.0,,,34-39,,Defensive rebound by R. Hood
7:11.0,Personal foul by B. Knight (drawn by R. Hood),,34-39,,
7:11.0,,,34-39,,R. Gobert enters the game for D. Favors
7:04.0,,,34-39,,Turnover by R. Hood (lost ball)
6:47.0,L. Barbosa makes 2-pt shot from 11 ft,2,36-39,,
6:38.0,,,36-41,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Lyles)
6:20.0,B. Knight misses 2-pt shot from 18 ft,,36-41,,
6:20.0,,,36-41,,Defensive rebound by T. Lyles
6:14.0,Personal foul by A. Len (drawn by T. Lyles),,36-41,,
6:14.0,E. Bledsoe enters the game for B. Knight,,36-41,,
6:14.0,T. Chandler enters the game for A. Len,,36-41,,
6:02.0,,,36-41,,T. Lyles misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by E. Bledsoe,,36-41,,
5:53.0,Turnover by T. Chandler (lost ball),,36-41,,
5:53.0,,,36-41,,Utah full timeout
5:53.0,D. Booker enters the game for L. Barbosa,,36-41,,
5:53.0,,,36-41,,J. Ingles enters the game for R. Hood
5:53.0,,,36-41,,G. Hayward enters the game for J. Johnson
5:32.0,,,36-41,,Shooting foul by T. Chandler (drawn by R. Neto)
5:32.0,Violation by Team (jump ball),,36-41,,
5:32.0,,,36-42,1,R. Neto makes free throw 1 of 2
5:32.0,,,36-43,1,R. Neto makes free throw 2 of 2
5:18.0,E. Bledsoe misses 3-pt shot from 25 ft,,36-43,,
5:17.0,,,36-43,,Defensive rebound by G. Hayward
5:07.0,,,36-43,,J. Ingles misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by T. Chandler,,36-43,,
5:02.0,,,36-43,,Personal foul by R. Neto (drawn by E. Bledsoe)
4:49.0,D. Booker misses 2-pt shot from 18 ft,,36-43,,
4:48.0,,,36-43,,Defensive rebound by G. Hayward
4:33.0,,,36-43,,R. Neto misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by T. Chandler,,36-43,,
4:18.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,39-43,,
4:10.0,,,39-43,,Utah full timeout
4:10.0,,,39-43,,S. Mack enters the game for R. Neto
4:10.0,,,39-43,,B. Diaw enters the game for T. Lyles
3:53.0,,,39-43,,B. Diaw misses 2-pt shot from 2 ft
3:52.0,,,39-43,,Offensive rebound by R. Gobert
3:51.0,,,39-45,2,R. Gobert makes 2-pt shot from 2 ft
3:35.0,E. Bledsoe misses 2-pt shot from 17 ft,,39-45,,
3:33.0,,,39-45,,Defensive rebound by R. Gobert
3:15.0,,,39-45,,B. Diaw misses 2-pt shot from 5 ft
3:14.0,Defensive rebound by T. Chandler,,39-45,,
3:06.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,42-45,,
2:43.0,,,42-45,,S. Mack misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by E. Bledsoe,,42-45,,
2:33.0,D. Bender makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,45-45,,
2:33.0,,,45-45,,Utah full timeout
2:33.0,,,45-45,,R. Hood enters the game for J. Ingles
2:33.0,,,45-45,,J. Johnson enters the game for B. Diaw
2:18.0,,,45-47,2,R. Hood makes 2-pt shot from 3 ft
2:04.0,D. Bender makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,48-47,,
2:04.0,,,48-47,,Away from play foul by J. Johnson (drawn by T. Chandler)
2:04.0,T. Chandler misses free throw 1 of 1,,48-47,,
2:04.0,,,48-47,,Defensive rebound by R. Gobert
1:48.0,,,48-47,,R. Hood misses 3-pt shot from 24 ft
1:48.0,,,48-47,,Offensive rebound by Team
1:48.0,Loose ball foul by T. Chandler (drawn by R. Gobert),,48-47,,
1:48.0,,,48-47,,R. Gobert misses free throw 1 of 2
1:48.0,,,48-47,,Offensive rebound by Team
1:48.0,,,48-48,1,R. Gobert makes free throw 2 of 2
1:34.0,E. Bledsoe misses 3-pt shot from 24 ft,,48-48,,
1:33.0,,,48-48,,Defensive rebound by R. Gobert
1:24.0,,,48-48,,Shooting foul by T. Chandler (drawn by R. Gobert)
1:24.0,,,48-49,1,R. Gobert makes free throw 1 of 2
1:24.0,,,48-50,1,R. Gobert makes free throw 2 of 2
1:24.0,M. Chriss enters the game for T. Chandler,,48-49,,
1:24.0,,,48-49,,J. Ingles enters the game for R. Hood
1:10.0,E. Bledsoe misses 2-pt shot from 2 ft,,48-50,,
1:10.0,Offensive rebound by Team,,48-50,,
1:10.0,,,48-50,,Loose ball foul by S. Mack (drawn by M. Chriss)
1:06.0,Offensive foul by D. Bender,,48-50,,
1:06.0,Turnover by D. Bender (offensive foul),,48-50,,
0:57.0,,,48-52,2,G. Hayward makes 2-pt shot from 2 ft
0:35.0,E. Bledsoe makes 2-pt shot from 2 ft,2,50-52,,
0:35.0,Shooting foul by J. Johnson (drawn by E. Bledsoe),,50-52,,
0:35.0,E. Bledsoe makes free throw 1 of 1,1,51-52,,
0:30.0,,,51-55,3,J. Ingles makes 3-pt shot from 24 ft
0:10.0,M. Chriss misses 3-pt shot from 23 ft,,51-55,,
0:08.0,,,51-55,,Defensive rebound by Team
0:01.0,,,51-55,,R. Gobert misses 2-pt shot from 2 ft (block by D. Bender)
0:00.0,,,51-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,51-55,,D. Favors misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by T. Chandler,,51-55,,
11:26.0,,,51-55,,Personal foul by R. Gobert (drawn by E. Bledsoe)
11:21.0,Turnover by D. Booker (bad pass; steal by G. Hayward),,51-55,,
11:19.0,,,51-57,2,G. Hayward makes 2-pt shot from 2 ft
11:19.0,,,51-57,,Shooting foul by T. Warren (drawn by G. Hayward)
11:19.0,,,51-58,1,G. Hayward makes free throw 1 of 1
11:06.0,E. Bledsoe misses 2-pt shot from 15 ft,,51-58,,
11:06.0,,,51-58,,Defensive rebound by D. Favors
10:50.0,,,51-58,,S. Mack misses 2-pt shot from 3 ft
10:49.0,Defensive rebound by E. Bledsoe,,51-58,,
10:26.0,E. Bledsoe makes 3-pt shot from 25 ft,3,54-58,,
10:07.0,,,54-60,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
9:58.0,Turnover by M. Chriss (bad pass; steal by G. Hayward),,54-60,,
9:51.0,,,54-63,3,S. Mack makes 3-pt shot from 24 ft (assist by G. Hayward)
9:51.0,Phoenix full timeout,,54-63,,
9:30.0,T. Chandler makes 2-pt shot from 3 ft (assist by D. Booker),2,56-63,,
9:12.0,,,56-63,,D. Favors misses 2-pt shot from 12 ft
9:12.0,Defensive rebound by M. Chriss,,56-63,,
9:00.0,E. Bledsoe makes 2-pt shot from 11 ft,2,58-63,,
8:44.0,,,58-63,,G. Hayward misses 2-pt shot from 21 ft
8:43.0,Defensive rebound by E. Bledsoe,,58-63,,
8:35.0,T. Warren misses 2-pt shot from 2 ft,,58-63,,
8:34.0,Offensive rebound by M. Chriss,,58-63,,
8:32.0,M. Chriss makes 2-pt shot from 1 ft,2,60-63,,
8:15.0,,,60-63,,S. Mack misses 2-pt shot from 5 ft
8:14.0,,,60-63,,Offensive rebound by D. Favors
8:10.0,,,60-63,,Turnover by D. Favors (bad pass; steal by D. Booker)
8:08.0,D. Booker makes 2-pt shot at rim,2,62-63,,
7:45.0,,,62-66,3,R. Hood makes 3-pt shot from 25 ft (assist by S. Mack)
7:26.0,T. Warren misses 2-pt shot from 14 ft,,62-66,,
7:26.0,,,62-66,,Defensive rebound by R. Gobert
7:09.0,,,62-66,,G. Hayward misses 2-pt shot from 15 ft
7:09.0,,,62-66,,Offensive rebound by R. Gobert
7:08.0,Personal foul by E. Bledsoe (drawn by R. Gobert),,62-66,,
7:04.0,Personal foul by D. Booker (drawn by R. Hood),,62-66,,
6:54.0,,,62-66,,D. Favors misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by T. Chandler,,62-66,,
6:37.0,M. Chriss misses 2-pt shot from 5 ft (block by R. Gobert),,62-66,,
6:36.0,,,62-66,,Defensive rebound by D. Favors
6:30.0,,,62-66,,R. Hood misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by T. Chandler,,62-66,,
6:17.0,E. Bledsoe misses 3-pt shot from 24 ft,,62-66,,
6:17.0,,,62-66,,Defensive rebound by D. Favors
6:07.0,,,62-69,3,R. Hood makes 3-pt shot from 24 ft (assist by S. Mack)
5:47.0,E. Bledsoe makes 2-pt shot from 2 ft,2,64-69,,
5:21.0,,,64-71,2,G. Hayward makes 2-pt shot from 2 ft
5:04.0,Shooting foul by S. Mack (drawn by E. Bledsoe),,64-71,,
5:04.0,E. Bledsoe makes free throw 1 of 2,1,65-71,,
5:04.0,E. Bledsoe makes free throw 2 of 2,1,66-71,,
5:04.0,,,65-71,,J. Ingles enters the game for S. Mack
5:04.0,,,65-71,,T. Lyles enters the game for D. Favors
5:04.0,P. Tucker enters the game for T. Warren,,65-71,,
4:41.0,,,66-71,,R. Hood misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by E. Bledsoe,,66-71,,
4:37.0,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe),2,68-71,,
4:16.0,,,68-71,,R. Hood misses 2-pt shot from 2 ft
4:16.0,,,68-71,,Offensive rebound by R. Hood
4:16.0,Personal foul by T. Chandler (drawn by R. Hood),,68-71,,
4:16.0,,,68-71,,R. Neto enters the game for R. Hood
4:16.0,A. Len enters the game for T. Chandler,,68-71,,
4:04.0,,,68-71,,Turnover by R. Gobert (3 sec)
3:47.0,D. Booker misses 2-pt shot from 12 ft,,68-71,,
3:46.0,,,68-71,,Defensive rebound by T. Lyles
3:30.0,,,68-71,,Shooting foul by M. Chriss (drawn by T. Lyles)
3:30.0,,,68-71,,T. Lyles misses free throw 1 of 2
3:30.0,,,68-71,,Offensive rebound by Team
3:30.0,,,68-72,1,T. Lyles makes free throw 2 of 2
3:30.0,T. Ulis enters the game for E. Bledsoe,,68-71,,
3:30.0,,,68-71,,J. Johnson enters the game for G. Hayward
3:18.0,,,68-72,,Violation by T. Lyles (kicked ball)
3:09.0,T. Ulis misses 2-pt shot from 10 ft,,68-72,,
3:08.0,,,68-72,,Defensive rebound by R. Gobert
2:57.0,,,68-72,,T. Lyles misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by P. Tucker,,68-72,,
2:47.0,D. Booker misses 2-pt shot from 19 ft,,68-72,,
2:46.0,,,68-72,,Defensive rebound by R. Gobert
2:25.0,,,68-74,2,R. Neto makes 2-pt shot from 3 ft
2:04.0,T. Ulis misses 2-pt shot from 17 ft,,68-74,,
2:04.0,,,68-74,,Defensive rebound by J. Johnson
1:56.0,,,68-74,,J. Johnson misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by D. Booker,,68-74,,
1:44.0,Turnover by T. Ulis (lost ball; steal by R. Neto),,68-74,,
1:41.0,,,68-76,2,R. Neto makes 2-pt shot from 2 ft (assist by T. Lyles)
1:13.0,D. Booker misses 3-pt shot from 24 ft,,68-76,,
1:12.0,,,68-76,,Defensive rebound by R. Neto
0:57.0,,,68-76,,Turnover by J. Johnson (bad pass)
0:57.0,,,68-76,,Utah full timeout
0:57.0,,,68-76,,D. Favors enters the game for R. Gobert
0:57.0,L. Barbosa enters the game for M. Chriss,,68-76,,
0:38.0,A. Len misses 2-pt shot from 2 ft,,68-76,,
0:38.0,,,68-76,,Defensive rebound by T. Lyles
0:15.0,,,68-76,,Turnover by J. Ingles (lost ball; steal by D. Booker)
0:10.0,Turnover by L. Barbosa (bad pass),,68-76,,
0:05.0,,,68-76,,Offensive foul by T. Lyles
0:05.0,,,68-76,,Turnover by T. Lyles (offensive foul)
0:02.0,L. Barbosa makes 2-pt shot from 13 ft,2,70-76,,
0:02.0,Shooting foul by J. Johnson (drawn by L. Barbosa),,70-76,,
0:02.0,L. Barbosa makes free throw 1 of 1,1,71-76,,
0:00.0,,,71-76,,R. Neto misses 3-pt shot from 78 ft
0:00.0,,,71-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,L. Barbosa makes 2-pt shot from 3 ft,2,73-76,,
11:22.0,,,73-76,,J. Johnson misses 2-pt shot from 10 ft
11:22.0,Defensive rebound by L. Barbosa,,73-76,,
11:02.0,T. Ulis makes 2-pt shot from 14 ft,2,75-76,,
10:49.0,,,75-76,,Shooting foul by A. Len (drawn by D. Favors)
10:49.0,,,75-77,1,D. Favors makes free throw 1 of 2
10:49.0,,,75-77,,D. Favors misses free throw 2 of 2
10:49.0,,,75-77,,B. Diaw enters the game for T. Lyles
10:49.0,,,75-77,,G. Hayward enters the game for J. Ingles
10:48.0,Defensive rebound by P. Tucker,,75-77,,
10:25.0,L. Barbosa misses 2-pt shot from 12 ft,,75-77,,
10:24.0,,,75-77,,Defensive rebound by B. Diaw
10:09.0,,,75-77,,Shooting foul by A. Len (drawn by G. Hayward)
10:09.0,,,75-77,,G. Hayward misses free throw 1 of 2
10:09.0,,,75-77,,Offensive rebound by Team
10:09.0,,,75-78,1,G. Hayward makes free throw 2 of 2
9:54.0,A. Len makes 2-pt shot from 3 ft,2,77-78,,
9:41.0,,,77-78,,S. Mack misses 2-pt shot from 12 ft
9:40.0,Defensive rebound by P. Tucker,,77-78,,
9:31.0,T. Ulis makes 2-pt shot from 15 ft,2,79-78,,
9:23.0,,,79-78,,Utah full timeout
9:23.0,,,79-78,,R. Hood enters the game for J. Johnson
9:16.0,,,79-78,,Shooting foul by A. Len (drawn by D. Favors)
9:16.0,,,79-78,,D. Favors misses free throw 1 of 2
9:16.0,,,79-78,,Offensive rebound by Team
9:16.0,,,79-78,,D. Favors misses free throw 2 of 2
9:15.0,Defensive rebound by L. Barbosa,,79-78,,
8:58.0,D. Bender misses 3-pt shot from 25 ft,,79-78,,
8:57.0,,,79-78,,Defensive rebound by S. Mack
8:39.0,,,79-78,,G. Hayward misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by L. Barbosa,,79-78,,
8:29.0,T. Ulis misses 2-pt shot from 9 ft,,79-78,,
8:28.0,,,79-78,,Defensive rebound by G. Hayward
8:19.0,,,79-78,,Turnover by D. Favors (lost ball)
8:19.0,,,79-78,,R. Gobert enters the game for D. Favors
7:56.0,L. Barbosa misses 2-pt shot from 16 ft,,79-78,,
7:56.0,Offensive rebound by L. Barbosa,,79-78,,
7:34.0,Shooting foul by R. Hood (drawn by D. Bender),,79-78,,
7:34.0,D. Bender misses free throw 1 of 3,,79-78,,
7:34.0,Offensive rebound by Team,,79-78,,
7:34.0,D. Bender misses free throw 2 of 3,,79-78,,
7:34.0,Offensive rebound by Team,,79-78,,
7:34.0,D. Bender makes free throw 3 of 3,1,80-78,,
7:34.0,,,79-78,,R. Neto enters the game for S. Mack
7:09.0,,,80-81,3,R. Hood makes 3-pt shot from 27 ft (assist by G. Hayward)
6:45.0,T. Ulis makes 2-pt shot from 8 ft,2,82-81,,
6:29.0,,,82-81,,Turnover by R. Gobert (lost ball; steal by P. Tucker)
6:08.0,T. Ulis misses 2-pt shot from 14 ft,,82-81,,
6:07.0,,,82-81,,Defensive rebound by R. Gobert
5:58.0,,,82-81,,R. Hood misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by A. Len,,82-81,,
5:44.0,L. Barbosa misses 2-pt shot from 21 ft,,82-81,,
5:44.0,,,82-81,,Defensive rebound by R. Gobert
5:39.0,,,82-81,,Utah full timeout
5:39.0,,,82-81,,Utah full timeout
5:39.0,E. Bledsoe enters the game for T. Ulis,,82-81,,
5:39.0,D. Booker enters the game for L. Barbosa,,82-81,,
5:39.0,,,82-81,,T. Lyles enters the game for B. Diaw
5:39.0,,,82-81,,S. Mack enters the game for R. Neto
5:23.0,,,82-83,2,G. Hayward makes 2-pt shot from 13 ft
5:00.0,E. Bledsoe makes 2-pt shot from 19 ft,2,84-83,,
4:38.0,,,84-83,,T. Lyles misses 2-pt shot from 7 ft
4:37.0,Defensive rebound by D. Bender,,84-83,,
4:21.0,,,84-83,,Personal foul by R. Hood (drawn by D. Booker)
4:21.0,,,84-83,,J. Ingles enters the game for R. Hood
4:08.0,E. Bledsoe misses 2-pt shot from 3 ft,,84-83,,
4:08.0,,,84-83,,Defensive rebound by R. Gobert
4:08.0,Loose ball foul by E. Bledsoe (drawn by R. Gobert),,84-83,,
3:50.0,,,84-83,,S. Mack misses 2-pt shot from 6 ft
3:49.0,,,84-83,,Offensive rebound by G. Hayward
3:49.0,,,84-85,2,G. Hayward makes 2-pt shot from 2 ft
3:31.0,D. Booker misses 2-pt shot from 14 ft,,84-85,,
3:30.0,,,84-85,,Defensive rebound by G. Hayward
3:20.0,,,84-87,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
3:20.0,Phoenix full timeout,,84-87,,
3:20.0,T. Chandler enters the game for A. Len,,84-87,,
3:20.0,M. Chriss enters the game for D. Bender,,84-87,,
3:00.0,E. Bledsoe misses 3-pt shot from 26 ft,,84-87,,
2:59.0,Offensive rebound by P. Tucker,,84-87,,
2:44.0,E. Bledsoe misses 2-pt shot from 3 ft (block by R. Gobert),,84-87,,
2:43.0,Offensive rebound by E. Bledsoe,,84-87,,
2:38.0,M. Chriss misses 2-pt shot at rim,,84-87,,
2:37.0,,,84-87,,Defensive rebound by S. Mack
2:16.0,,,84-87,,Turnover by J. Ingles (lost ball)
1:59.0,D. Booker misses 2-pt shot from 4 ft,,84-87,,
1:57.0,Offensive rebound by T. Chandler,,84-87,,
1:52.0,Turnover by Team (shot clock),,84-87,,
1:46.0,,,84-89,2,R. Gobert makes 2-pt shot at rim (assist by S. Mack)
1:46.0,Phoenix full timeout,,84-89,,
1:43.0,T. Chandler makes 2-pt shot at rim,2,86-89,,
1:43.0,D. Booker misses 2-pt shot from 5 ft,,86-89,,
1:43.0,Offensive rebound by T. Chandler,,86-89,,
1:29.0,,,86-89,,G. Hayward misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by D. Booker,,86-89,,
1:06.0,E. Bledsoe misses 2-pt shot from 2 ft,,86-89,,
1:06.0,,,86-89,,Defensive rebound by R. Gobert
0:47.0,,,86-89,,Utah full timeout
0:44.0,,,86-89,,Turnover by S. Mack (bad pass)
0:44.0,,,86-89,,Loose ball foul by G. Hayward (drawn by D. Booker)
0:33.0,Turnover by E. Bledsoe (bad pass),,86-89,,
0:33.0,,,86-89,,Technical foul by R. Gobert
0:33.0,Technical foul by D. Booker,,86-89,,
0:33.0,,,86-89,,R. Hood enters the game for T. Lyles
0:13.0,,,86-89,,G. Hayward misses 2-pt shot from 3 ft
0:13.0,Defensive rebound by T. Chandler,,86-89,,
0:12.0,Phoenix full timeout,,86-89,,
0:06.0,D. Booker misses 3-pt shot from 25 ft,,86-89,,
0:04.0,,,86-89,,Defensive rebound by G. Hayward
0:03.0,Personal foul by D. Booker (drawn by G. Hayward),,86-89,,
0:03.0,,,86-90,1,G. Hayward makes free throw 1 of 2
