time,Toronto,pts.away,score,pts.home,Houston
2:55.0,,,45-34,,Defensive rebound by Team
2:41.0,,,45-34,,Turnover by R. Anderson (step out of bounds)
2:41.0,C. Joseph enters the game for K. Lowry,,45-34,,
2:23.0,Shooting foul by M. Harrell (drawn by J. Valanciunas),,45-34,,
2:23.0,J. Valanciunas misses free throw 1 of 2,,45-34,,
2:23.0,Offensive rebound by Team,,45-34,,
2:23.0,J. Valanciunas makes free throw 2 of 2,1,46-34,,
2:11.0,,,46-36,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Ariza)
2:11.0,,,46-36,,Technical foul by M. Harrell
2:11.0,D. DeRozan makes technical free throw,1,47-36,,
1:58.0,D. Carroll misses 3-pt shot from 24 ft,,47-36,,
1:58.0,,,47-36,,Defensive rebound by Team
1:54.0,,,47-36,,Offensive foul by M. Harrell
1:54.0,,,47-36,,Turnover by M. Harrell (offensive foul)
1:48.0,,,47-36,,Personal foul by T. Ariza (drawn by D. DeRozan)
1:48.0,,,47-36,,C. Brewer enters the game for T. Ariza
1:41.0,,,47-36,,Personal foul by J. Harden (drawn by J. Valanciunas)
1:41.0,J. Valanciunas makes free throw 1 of 2,1,48-36,,
1:41.0,J. Valanciunas makes free throw 2 of 2,1,49-36,,
1:33.0,,,49-36,,Turnover by J. Harden (bad pass)
1:10.0,C. Joseph makes 3-pt shot from 26 ft (assist by P. Siakam),3,52-36,,
0:59.0,Personal foul by P. Siakam (drawn by M. Harrell),,52-36,,
0:49.0,,,52-36,,R. Anderson misses 3-pt shot from 28 ft
0:46.0,Defensive rebound by D. DeRozan,,52-36,,
0:39.0,P. Siakam misses 2-pt shot from 1 ft,,52-36,,
0:37.0,,,52-36,,Defensive rebound by C. Brewer
0:32.0,,,52-39,3,J. Harden makes 3-pt shot from 26 ft
0:13.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. DeRozan),2,54-39,,
0:02.0,,,54-39,,J. Harden misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Valanciunas,,54-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-42,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
11:18.0,K. Lowry misses 3-pt shot from 24 ft,,54-42,,
11:16.0,,,54-42,,Defensive rebound by P. Beverley
11:11.0,,,54-45,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
10:58.0,,,54-45,,Violation by Team (jump ball)
10:45.0,D. DeRozan makes 2-pt shot from 5 ft (assist by D. Carroll),2,56-45,,
10:33.0,,,56-48,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
10:16.0,,,56-48,,Violation by C. Capela (def goaltending)
10:16.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. DeRozan),2,58-48,,
9:51.0,,,58-48,,Turnover by Team (shot clock)
9:35.0,D. Carroll makes 3-pt shot from 23 ft (assist by D. DeRozan),3,61-48,,
9:18.0,,,61-50,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
9:00.0,Turnover by D. DeRozan (lost ball; steal by T. Ariza),,61-50,,
9:00.0,Personal foul by D. DeRozan (drawn by P. Beverley),,61-50,,
8:47.0,,,61-50,,R. Anderson misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by J. Valanciunas,,61-50,,
8:40.0,Shooting foul by P. Beverley (drawn by D. DeRozan),,61-50,,
8:40.0,D. DeRozan makes free throw 1 of 2,1,62-50,,
8:40.0,D. DeRozan makes free throw 2 of 2,1,63-50,,
8:31.0,,,63-52,2,J. Harden makes 2-pt shot from 3 ft
8:18.0,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry),2,65-52,,
8:00.0,,,65-52,,Offensive foul by R. Anderson
8:00.0,,,65-52,,Turnover by R. Anderson (offensive foul)
7:42.0,Offensive charge foul by J. Valanciunas,,65-52,,
7:42.0,Turnover by J. Valanciunas (offensive foul),,65-52,,
7:27.0,,,65-52,,J. Harden misses 3-pt shot from 31 ft
7:26.0,,,65-52,,Offensive rebound by T. Ariza
7:17.0,,,65-52,,Turnover by J. Harden (bad pass; steal by K. Lowry)
7:12.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,67-52,,
6:55.0,,,67-55,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Ariza)
6:35.0,D. DeRozan makes 2-pt shot from 4 ft,2,69-55,,
6:22.0,,,69-57,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:58.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,72-57,,
5:52.0,Personal foul by K. Lowry (drawn by J. Harden),,72-57,,
5:52.0,,,72-57,,Houston full timeout
5:52.0,,,72-57,,M. Harrell enters the game for C. Capela
5:52.0,,,72-57,,E. Gordon enters the game for P. Beverley
5:42.0,,,72-59,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
5:18.0,,,72-59,,Personal foul by T. Ariza (drawn by D. DeRozan)
5:03.0,K. Lowry makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,75-59,,
4:54.0,,,75-59,,Shooting foul by K. Lowry (drawn by J. Harden)
4:54.0,,,75-60,1,J. Harden makes free throw 1 of 3
4:54.0,,,75-61,1,J. Harden makes free throw 2 of 3
4:54.0,,,75-62,1,J. Harden makes free throw 3 of 3
4:54.0,C. Joseph enters the game for K. Lowry,,75-61,,
4:40.0,D. Carroll misses 3-pt shot from 25 ft,,75-62,,
4:38.0,Offensive rebound by D. Carroll,,75-62,,
4:35.0,Turnover by D. Carroll (bad pass; steal by E. Gordon),,75-62,,
4:31.0,,,75-62,,Turnover by E. Gordon (traveling)
4:11.0,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan),3,78-62,,
4:03.0,,,78-62,,Turnover by J. Harden (lost ball; steal by D. Carroll)
4:02.0,,,78-62,,Personal foul by J. Harden (drawn by D. Carroll)
4:02.0,,,78-62,,S. Dekker enters the game for R. Anderson
3:52.0,,,78-62,,Personal foul by M. Harrell (drawn by D. DeRozan)
3:52.0,Technical foul by D. DeRozan,,78-62,,
3:52.0,,,78-63,1,J. Harden makes technical free throw
3:49.0,D. DeRozan misses 2-pt shot from 7 ft,,78-63,,
3:45.0,,,78-63,,Defensive rebound by M. Harrell
3:45.0,,,78-63,,Turnover by M. Harrell (bad pass; steal by D. Carroll)
3:40.0,D. Carroll misses 2-pt shot from 3 ft,,78-63,,
3:37.0,Offensive rebound by D. DeRozan,,78-63,,
3:37.0,D. DeRozan misses 2-pt shot from 3 ft,,78-63,,
3:36.0,,,78-63,,Defensive rebound by M. Harrell
3:36.0,,,78-63,,Shooting foul by D. Carroll (drawn by J. Harden)
3:36.0,,,78-64,1,J. Harden makes free throw 1 of 2
3:36.0,,,78-65,1,J. Harden makes free throw 2 of 2
3:36.0,P. Patterson enters the game for P. Siakam,,78-64,,
3:36.0,T. Ross enters the game for D. Carroll,,78-64,,
3:34.0,D. DeRozan makes 3-pt shot from 24 ft (assist by T. Ross),3,81-65,,
3:26.0,D. DeRozan misses 2-pt shot from 22 ft,,81-65,,
3:25.0,Offensive rebound by D. DeRozan,,81-65,,
3:26.0,,,81-65,,Shooting foul by P. Patterson (drawn by J. Harden)
3:26.0,,,81-66,1,J. Harden makes free throw 1 of 2
3:26.0,,,81-67,1,J. Harden makes free throw 2 of 2
3:26.0,L. Nogueira enters the game for J. Valanciunas,,81-66,,
3:14.0,D. DeRozan makes 2-pt shot from 21 ft,2,83-67,,
3:03.0,,,83-67,,S. Dekker misses 2-pt shot from 2 ft (block by L. Nogueira)
3:01.0,Defensive rebound by P. Patterson,,83-67,,
2:52.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan),3,86-67,,
2:34.0,,,86-69,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden)
2:18.0,D. DeRozan misses 2-pt shot from 17 ft,,86-69,,
2:17.0,,,86-69,,Defensive rebound by S. Dekker
2:10.0,,,86-69,,T. Ariza misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by P. Patterson,,86-69,,
2:05.0,,,86-69,,Houston full timeout
2:05.0,,,86-69,,C. Brewer enters the game for T. Ariza
1:45.0,D. DeRozan makes 2-pt shot from 17 ft,2,88-69,,
1:40.0,,,88-69,,Turnover by E. Gordon (traveling)
1:24.0,,,88-69,,Personal foul by E. Gordon (drawn by L. Nogueira)
1:24.0,L. Nogueira makes free throw 1 of 2,1,89-69,,
1:24.0,L. Nogueira misses free throw 2 of 2,,89-69,,
1:22.0,,,89-69,,Defensive rebound by J. Harden
1:10.0,,,89-72,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
0:46.0,Turnover by D. DeRozan (step out of bounds),,89-72,,
0:37.0,,,89-72,,J. Harden misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by D. DeRozan,,89-72,,
0:33.0,,,89-72,,Personal foul by C. Brewer (drawn by D. DeRozan)
0:33.0,D. DeRozan makes free throw 1 of 2,1,90-72,,
0:33.0,D. DeRozan misses free throw 2 of 2,,90-72,,
0:30.0,,,90-72,,Defensive rebound by J. Harden
0:28.0,,,90-74,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
0:03.0,T. Ross misses 2-pt shot from 10 ft,,90-74,,
0:00.0,,,90-74,,Defensive rebound by C. Brewer
0:00.0,,,90-74,,C. Brewer misses 3-pt shot from 51 ft
0:00.0,,,90-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry),2,92-74,,
11:25.0,,,92-74,,Turnover by J. Harden (bad pass; steal by P. Patterson)
11:14.0,P. Patterson misses 3-pt shot from 25 ft,,92-74,,
11:13.0,,,92-74,,Defensive rebound by J. Harden
10:51.0,,,92-76,2,E. Gordon makes 2-pt shot from 4 ft
10:37.0,Offensive foul by L. Nogueira,,92-76,,
10:37.0,Turnover by L. Nogueira (offensive foul),,92-76,,
10:23.0,,,92-76,,E. Gordon misses 3-pt shot from 27 ft
10:22.0,Defensive rebound by Team,,92-76,,
10:16.0,Offensive foul by L. Nogueira,,92-76,,
10:16.0,Turnover by L. Nogueira (offensive foul),,92-76,,
10:08.0,,,92-76,,Shooting foul by L. Nogueira (drawn by J. Harden)
10:08.0,,,92-77,1,J. Harden makes free throw 1 of 2
10:08.0,,,92-78,1,J. Harden makes free throw 2 of 2
9:55.0,T. Ross makes 2-pt shot at rim (assist by L. Nogueira),2,94-78,,
9:49.0,,,94-78,,Turnover by J. Harden (bad pass; steal by T. Ross)
9:41.0,K. Lowry misses 2-pt shot from 4 ft,,94-78,,
9:39.0,,,94-78,,Defensive rebound by J. Harden
9:20.0,,,94-78,,Turnover by P. Beverley (lost ball; steal by P. Patterson)
9:20.0,,,94-78,,Personal block foul by J. Harden (drawn by T. Ross)
9:20.0,,,94-78,,R. Anderson enters the game for S. Dekker
9:09.0,Shooting foul by R. Anderson (drawn by P. Patterson),,94-78,,
9:09.0,P. Patterson makes free throw 1 of 2,1,95-78,,
9:09.0,P. Patterson makes free throw 2 of 2,1,96-78,,
8:56.0,,,96-81,3,J. Harden makes 3-pt shot from 26 ft (assist by E. Gordon)
8:30.0,C. Joseph misses 2-pt shot from 19 ft,,96-81,,
8:28.0,,,96-81,,Defensive rebound by P. Beverley
8:21.0,,,96-81,,E. Gordon misses 2-pt shot from 19 ft
8:20.0,,,96-81,,Offensive rebound by C. Capela
8:15.0,,,96-81,,Turnover by J. Harden (bad pass; steal by L. Nogueira)
8:11.0,T. Ross makes 2-pt shot at rim,2,98-81,,
7:55.0,,,98-81,,Turnover by P. Beverley (lost ball)
7:55.0,Official timeout,,98-81,,
7:31.0,Turnover by Team (shot clock),,98-81,,
7:18.0,,,98-83,2,J. Harden makes 2-pt shot from 3 ft
6:58.0,K. Lowry misses 3-pt shot from 28 ft,,98-83,,
6:56.0,,,98-83,,Defensive rebound by P. Beverley
6:49.0,,,98-86,3,R. Anderson makes 3-pt shot from 30 ft (assist by J. Harden)
6:28.0,K. Lowry misses 2-pt shot from 20 ft,,98-86,,
6:28.0,,,98-86,,Defensive rebound by Team
6:28.0,Loose ball foul by L. Nogueira (drawn by C. Capela),,98-86,,
6:28.0,D. DeRozan enters the game for T. Ross,,98-86,,
6:28.0,J. Valanciunas enters the game for L. Nogueira,,98-86,,
6:03.0,,,98-86,,Turnover by Team (shot clock)
5:51.0,D. DeRozan misses 2-pt shot from 6 ft (block by C. Capela),,98-86,,
5:49.0,Offensive rebound by C. Joseph,,98-86,,
5:39.0,D. DeRozan misses 2-pt shot from 19 ft,,98-86,,
5:36.0,,,98-86,,Defensive rebound by P. Beverley
5:32.0,,,98-88,2,E. Gordon makes 2-pt shot from 4 ft (assist by J. Harden)
5:32.0,Toronto full timeout,,98-88,,
5:32.0,,,98-88,,M. Harrell enters the game for R. Anderson
5:32.0,,,98-88,,T. Ariza enters the game for C. Capela
5:32.0,D. Carroll enters the game for C. Joseph,,98-88,,
5:15.0,K. Lowry misses 3-pt shot from 27 ft,,98-88,,
5:14.0,Offensive rebound by J. Valanciunas,,98-88,,
5:13.0,J. Valanciunas makes 2-pt shot from 2 ft,2,100-88,,
5:04.0,,,100-91,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
4:55.0,Offensive foul by J. Valanciunas,,100-91,,
4:55.0,Turnover by J. Valanciunas (offensive foul),,100-91,,
4:45.0,,,100-91,,E. Gordon misses 3-pt shot from 26 ft (block by D. Carroll)
4:44.0,,,100-91,,Offensive rebound by P. Beverley
4:40.0,,,100-91,,E. Gordon misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by J. Valanciunas,,100-91,,
4:37.0,,,100-91,,Personal foul by P. Beverley (drawn by J. Valanciunas)
4:18.0,K. Lowry makes 2-pt shot from 18 ft,2,102-91,,
4:07.0,,,102-93,2,J. Harden makes 2-pt shot from 1 ft
3:45.0,J. Valanciunas misses 2-pt shot from 8 ft,,102-93,,
3:44.0,Offensive rebound by J. Valanciunas,,102-93,,
3:41.0,J. Valanciunas makes 2-pt shot from 3 ft,2,104-93,,
3:18.0,,,104-93,,T. Ariza misses 3-pt shot from 23 ft
3:17.0,,,104-93,,Offensive rebound by P. Beverley
3:06.0,,,104-93,,J. Harden misses 2-pt shot from 6 ft (block by D. Carroll)
3:04.0,,,104-93,,Offensive rebound by T. Ariza
3:02.0,,,104-93,,T. Ariza misses 3-pt shot from 26 ft
3:02.0,,,104-93,,Offensive rebound by Team
3:02.0,Loose ball foul by P. Patterson (drawn by J. Harden),,104-93,,
