time,Chicago,pts.away,score,pts.home,Houston
8:17.0,,,33-38,,Offensive rebound by Team
8:13.0,,,33-38,,E. Gordon misses 3-pt shot from 26 ft
8:12.0,,,33-38,,Offensive rebound by R. Anderson
8:03.0,,,33-41,3,P. Beverley makes 3-pt shot from 26 ft
8:03.0,Chicago full timeout,,33-41,,
7:48.0,,,33-41,,Personal foul by P. Beverley (drawn by D. Wade)
7:48.0,T. Gibson enters the game for N. Mirotic,,33-41,,
7:36.0,C. Felicio misses 2-pt shot from 4 ft,,33-41,,
7:35.0,,,33-41,,Defensive rebound by M. Harrell
7:17.0,,,33-43,2,M. Harrell makes 2-pt shot at rim (assist by P. Beverley)
7:01.0,R. Rondo misses 3-pt shot from 24 ft,,33-43,,
7:00.0,,,33-43,,Defensive rebound by R. Anderson
6:44.0,,,33-43,,E. Gordon misses 2-pt shot from 5 ft
6:44.0,,,33-43,,Offensive rebound by M. Harrell
6:44.0,,,33-43,,Shooting foul by T. Gibson (drawn by M. Harrell)
6:44.0,,,33-44,1,M. Harrell makes free throw 1 of 2
6:44.0,,,33-45,1,M. Harrell makes free throw 2 of 2
6:44.0,R. Lopez enters the game for C. Felicio,,33-44,,
6:44.0,M. Carter-Williams enters the game for R. Rondo,,33-44,,
6:32.0,M. Carter-Williams misses 2-pt shot from 4 ft,,33-45,,
6:31.0,,,33-45,,Defensive rebound by P. Beverley
6:22.0,,,33-47,2,P. Beverley makes 2-pt shot from 8 ft
6:22.0,,,33-47,,Shooting foul by M. Carter-Williams (drawn by P. Beverley)
6:22.0,,,33-48,1,P. Beverley makes free throw 1 of 1
6:10.0,Turnover by D. Wade (bad pass; steal by P. Beverley),,33-48,,
6:02.0,,,33-48,,E. Gordon misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by D. Wade,,33-48,,
5:54.0,D. Wade misses 2-pt shot from 3 ft,,33-48,,
5:52.0,,,33-48,,Defensive rebound by P. Beverley
5:46.0,,,33-50,2,C. Brewer makes 2-pt shot at rim (assist by P. Beverley)
5:46.0,Chicago full timeout,,33-50,,
5:46.0,,,33-50,,J. Harden enters the game for E. Gordon
5:31.0,D. Wade misses 2-pt shot from 19 ft,,33-50,,
5:30.0,,,33-50,,Defensive rebound by R. Anderson
5:20.0,,,33-50,,R. Anderson misses 2-pt shot from 19 ft
5:19.0,Defensive rebound by M. Carter-Williams,,33-50,,
5:16.0,,,33-50,,Personal foul by C. Brewer (drawn by M. Carter-Williams)
5:10.0,D. Wade makes 2-pt shot from 14 ft,2,35-50,,
5:04.0,,,35-52,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
4:39.0,M. Carter-Williams misses 3-pt shot from 27 ft,,35-52,,
4:38.0,,,35-52,,Defensive rebound by J. Harden
4:26.0,,,35-52,,R. Anderson misses 3-pt shot from 27 ft
4:25.0,,,35-52,,Offensive rebound by Team
4:12.0,,,35-52,,J. Harden misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by R. Lopez,,35-52,,
4:03.0,D. McDermott makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,38-52,,
3:54.0,,,38-52,,C. Brewer misses 2-pt shot from 7 ft
3:53.0,Defensive rebound by D. Wade,,38-52,,
3:44.0,T. Gibson makes 2-pt shot from 2 ft (assist by D. Wade),2,40-52,,
3:44.0,,,40-52,,Houston full timeout
3:44.0,,,40-52,,T. Ariza enters the game for P. Beverley
3:44.0,,,40-52,,C. Capela enters the game for M. Harrell
3:44.0,,,40-52,,E. Gordon enters the game for C. Brewer
3:35.0,,,40-52,,J. Harden misses 3-pt shot from 26 ft
3:34.0,,,40-52,,Offensive rebound by C. Capela
3:26.0,,,40-54,2,E. Gordon makes 2-pt shot from 2 ft
3:10.0,Offensive foul by T. Gibson,,40-54,,
3:10.0,Turnover by T. Gibson (offensive foul),,40-54,,
2:50.0,,,40-57,3,J. Harden makes 3-pt shot from 25 ft
2:29.0,D. Wade makes 2-pt shot from 18 ft,2,42-57,,
2:19.0,,,42-59,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
1:55.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,44-59,,
1:55.0,Shooting foul by C. Capela (drawn by M. Carter-Williams),,44-59,,
1:55.0,M. Carter-Williams makes free throw 1 of 1,1,45-59,,
1:31.0,,,45-59,,Turnover by Team (shot clock)
1:19.0,D. Wade misses 2-pt shot from 15 ft,,45-59,,
1:17.0,Offensive rebound by T. Gibson,,45-59,,
1:13.0,T. Gibson makes 2-pt shot from 2 ft,2,47-59,,
0:58.0,,,47-59,,Shooting foul by R. Lopez (drawn by T. Ariza)
0:58.0,,,47-59,,T. Ariza misses free throw 1 of 2
0:58.0,,,47-59,,Offensive rebound by Team
0:58.0,,,47-60,1,T. Ariza makes free throw 2 of 2
0:45.0,M. Carter-Williams makes 2-pt shot from 12 ft (assist by D. Wade),2,49-60,,
0:30.0,,,49-60,,J. Harden misses 2-pt shot from 5 ft
0:28.0,Defensive rebound by T. Gibson,,49-60,,
0:24.0,M. Carter-Williams misses 2-pt shot from 3 ft,,49-60,,
0:20.0,Offensive rebound by T. Gibson,,49-60,,
0:17.0,D. McDermott misses 3-pt shot from 29 ft,,49-60,,
0:16.0,,,49-60,,Defensive rebound by C. Capela
0:00.0,,,49-60,,J. Harden misses 3-pt shot from 26 ft
0:00.0,,,49-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,49-60,,T. Ariza misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by M. Carter-Williams,,49-60,,
11:34.0,R. Lopez misses 2-pt shot from 8 ft (block by C. Capela),,49-60,,
11:33.0,Offensive rebound by R. Lopez,,49-60,,
11:26.0,T. Gibson makes 2-pt shot at rim (assist by R. Lopez),2,51-60,,
11:14.0,,,51-60,,Offensive foul by R. Anderson
11:14.0,,,51-60,,Turnover by R. Anderson (offensive foul)
10:57.0,M. Carter-Williams makes 2-pt shot at rim,2,53-60,,
10:45.0,Personal foul by D. Wade (drawn by P. Beverley),,53-60,,
10:36.0,,,53-60,,Offensive foul by J. Harden
10:36.0,,,53-60,,Turnover by J. Harden (offensive foul)
10:22.0,D. Wade makes 2-pt shot from 19 ft,2,55-60,,
10:00.0,,,55-60,,P. Beverley misses 2-pt shot from 3 ft
9:59.0,Defensive rebound by R. Lopez,,55-60,,
9:49.0,Shooting foul by P. Beverley (drawn by J. Grant),,55-60,,
9:49.0,J. Grant makes free throw 1 of 2,1,56-60,,
9:49.0,J. Grant makes free throw 2 of 2,1,57-60,,
9:40.0,Personal foul by M. Carter-Williams (drawn by J. Harden),,57-60,,
9:31.0,,,57-62,2,J. Harden makes 2-pt shot from 11 ft
9:12.0,M. Carter-Williams misses 2-pt shot from 8 ft,,57-62,,
9:11.0,,,57-62,,Defensive rebound by J. Harden
9:04.0,,,57-62,,Turnover by P. Beverley (lost ball)
8:55.0,,,57-62,,Personal foul by R. Anderson (drawn by T. Gibson)
8:46.0,T. Gibson makes 2-pt shot at rim,2,59-62,,
8:46.0,Shooting foul by R. Anderson (drawn by T. Gibson),,59-62,,
8:46.0,T. Gibson misses free throw 1 of 1,,59-62,,
8:46.0,,,59-62,,Defensive rebound by C. Capela
8:46.0,,,59-62,,S. Dekker enters the game for R. Anderson
8:29.0,,,59-62,,J. Harden misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by D. Wade,,59-62,,
8:20.0,D. Wade misses 2-pt shot from 18 ft,,59-62,,
8:19.0,,,59-62,,Defensive rebound by C. Capela
8:07.0,,,59-62,,S. Dekker misses 2-pt shot from 6 ft (block by R. Lopez)
8:05.0,Defensive rebound by M. Carter-Williams,,59-62,,
7:59.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,61-62,,
7:48.0,,,61-62,,J. Harden misses 2-pt shot from 8 ft
7:47.0,,,61-62,,Offensive rebound by J. Harden
7:47.0,,,61-64,2,J. Harden makes 2-pt shot from 1 ft
7:29.0,,,61-64,,Personal foul by J. Harden (drawn by T. Gibson)
7:21.0,T. Gibson makes 2-pt shot at rim (assist by J. Grant),2,63-64,,
7:20.0,,,63-64,,Houston full timeout
7:06.0,,,63-67,3,S. Dekker makes 3-pt shot from 24 ft (assist by P. Beverley)
6:55.0,,,63-67,,Personal foul by C. Capela (drawn by T. Gibson)
6:55.0,T. Gibson makes free throw 1 of 2,1,64-67,,
6:55.0,T. Gibson makes free throw 2 of 2,1,65-67,,
6:32.0,,,65-67,,J. Harden misses 2-pt shot from 10 ft
6:31.0,Defensive rebound by R. Lopez,,65-67,,
6:24.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by J. Grant),2,67-67,,
6:05.0,,,67-69,2,C. Capela makes 2-pt shot at rim (assist by S. Dekker)
5:40.0,R. Lopez misses 2-pt shot from 7 ft,,67-69,,
5:39.0,Offensive rebound by M. Carter-Williams,,67-69,,
5:28.0,T. Gibson misses 3-pt shot from 24 ft,,67-69,,
5:27.0,,,67-69,,Defensive rebound by S. Dekker
5:16.0,,,67-69,,P. Beverley misses 2-pt shot from 3 ft (block by R. Lopez)
5:14.0,Defensive rebound by D. Wade,,67-69,,
5:10.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,69-69,,
4:55.0,,,69-69,,Shooting foul by M. Carter-Williams (drawn by J. Harden)
4:55.0,,,69-70,1,J. Harden makes free throw 1 of 3
4:55.0,,,69-71,1,J. Harden makes free throw 2 of 3
4:55.0,,,69-72,1,J. Harden makes free throw 3 of 3
4:55.0,,,69-71,,M. Harrell enters the game for C. Capela
4:55.0,,,69-71,,E. Gordon enters the game for P. Beverley
4:55.0,R. Rondo enters the game for M. Carter-Williams,,69-71,,
4:55.0,P. Zipser enters the game for D. Wade,,69-71,,
4:30.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Lopez),3,72-72,,
4:16.0,,,72-72,,S. Dekker misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by R. Rondo,,72-72,,
4:05.0,,,72-72,,Personal foul by S. Dekker (drawn by R. Lopez)
4:05.0,R. Lopez makes free throw 1 of 2,1,73-72,,
4:05.0,R. Lopez misses free throw 2 of 2,,73-72,,
4:05.0,,,73-72,,Defensive rebound by T. Ariza
4:05.0,N. Mirotic enters the game for T. Gibson,,73-72,,
4:05.0,,,73-72,,R. Anderson enters the game for S. Dekker
3:51.0,,,73-72,,M. Harrell misses 2-pt shot from 3 ft
3:48.0,,,73-72,,Offensive rebound by M. Harrell
3:48.0,,,73-74,2,M. Harrell makes 2-pt shot from 1 ft
3:39.0,J. Grant misses 3-pt shot from 26 ft,,73-74,,
3:38.0,,,73-74,,Defensive rebound by J. Harden
3:36.0,,,73-74,,Turnover by J. Harden (lost ball; steal by P. Zipser)
3:32.0,J. Grant makes 2-pt shot from 2 ft (assist by P. Zipser),2,75-74,,
3:15.0,,,75-74,,E. Gordon misses 2-pt shot from 8 ft
3:14.0,Defensive rebound by N. Mirotic,,75-74,,
3:07.0,N. Mirotic misses 3-pt shot from 25 ft,,75-74,,
3:05.0,Offensive rebound by R. Rondo,,75-74,,
3:05.0,Turnover by R. Rondo (bad pass),,75-74,,
3:05.0,D. McDermott enters the game for J. Grant,,75-74,,
2:49.0,,,75-74,,T. Ariza misses 3-pt shot from 27 ft
2:48.0,Defensive rebound by N. Mirotic,,75-74,,
2:39.0,P. Zipser misses 3-pt shot from 24 ft,,75-74,,
2:38.0,,,75-74,,Defensive rebound by T. Ariza
2:26.0,,,75-77,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
2:25.0,Chicago full timeout,,75-77,,
2:08.0,R. Lopez misses 2-pt shot from 10 ft,,75-77,,
2:06.0,,,75-77,,Defensive rebound by T. Ariza
1:47.0,,,75-77,,R. Anderson misses 3-pt shot from 27 ft
1:46.0,Defensive rebound by N. Mirotic,,75-77,,
1:29.0,R. Lopez makes 2-pt shot from 11 ft,2,77-77,,
1:12.0,,,77-77,,R. Anderson misses 3-pt shot from 28 ft
1:11.0,Defensive rebound by D. McDermott,,77-77,,
1:07.0,N. Mirotic makes 2-pt shot from 3 ft (assist by D. McDermott),2,79-77,,
1:07.0,Shooting foul by R. Anderson (drawn by N. Mirotic),,79-77,,
1:07.0,N. Mirotic misses free throw 1 of 1,,79-77,,
1:07.0,,,79-77,,Defensive rebound by M. Harrell
1:07.0,,,79-77,,C. Brewer enters the game for R. Anderson
1:07.0,B. Portis enters the game for R. Lopez,,79-77,,
0:55.0,,,79-77,,Turnover by E. Gordon (traveling)
0:40.0,N. Mirotic misses 2-pt shot from 5 ft,,79-77,,
0:39.0,,,79-77,,Defensive rebound by J. Harden
0:32.0,,,79-77,,J. Harden misses 2-pt shot from 3 ft
0:31.0,,,79-77,,Offensive rebound by C. Brewer
0:26.0,,,79-77,,Turnover by C. Brewer (bad pass; steal by R. Rondo)
0:25.0,D. McDermott makes 2-pt shot at rim (assist by R. Rondo),2,81-77,,
0:07.0,Personal take foul by P. Zipser (drawn by J. Harden),,81-77,,
0:01.0,,,81-79,2,J. Harden makes 2-pt shot from 2 ft
0:01.0,Turnover by B. Portis (bad pass; steal by T. Ariza),,81-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,N. Mirotic makes 3-pt shot from 27 ft (assist by D. McDermott),3,84-79,,
11:21.0,,,84-79,,E. Gordon misses 2-pt shot from 4 ft
11:20.0,Defensive rebound by N. Mirotic,,84-79,,
11:12.0,P. Zipser misses 3-pt shot from 26 ft,,84-79,,
11:11.0,,,84-79,,Defensive rebound by Team
10:58.0,,,84-81,2,C. Brewer makes 2-pt shot from 8 ft (assist by P. Beverley)
10:58.0,,,84-81,,Shooting foul by D. McDermott (drawn by C. Brewer)
10:58.0,,,84-81,,C. Brewer misses free throw 1 of 1
10:58.0,Defensive rebound by B. Portis,,84-81,,
10:44.0,P. Zipser misses 3-pt shot from 24 ft,,84-81,,
10:42.0,,,84-81,,Defensive rebound by P. Beverley
10:35.0,,,84-81,,E. Gordon misses 3-pt shot from 27 ft (block by P. Zipser)
10:35.0,,,84-81,,Offensive rebound by Team
10:35.0,Personal foul by D. McDermott (drawn by S. Dekker),,84-81,,
10:32.0,Personal foul by D. McDermott (drawn by C. Brewer),,84-81,,
10:26.0,,,84-81,,M. Harrell misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by N. Mirotic,,84-81,,
10:17.0,Shooting foul by S. Dekker (drawn by D. McDermott),,84-81,,
10:17.0,D. McDermott makes free throw 1 of 2,1,85-81,,
10:17.0,D. McDermott makes free throw 2 of 2,1,86-81,,
10:06.0,,,86-84,3,S. Dekker makes 3-pt shot from 26 ft (assist by E. Gordon)
10:06.0,,,86-84,,Loose ball foul by M. Harrell (drawn by B. Portis)
9:54.0,D. McDermott makes 2-pt shot from 11 ft (assist by N. Mirotic),2,88-84,,
9:37.0,,,88-86,2,E. Gordon makes 2-pt shot from 20 ft
9:15.0,P. Zipser misses 3-pt shot from 24 ft,,88-86,,
9:14.0,Offensive rebound by B. Portis,,88-86,,
9:11.0,B. Portis makes 2-pt shot from 5 ft,2,90-86,,
9:00.0,,,90-86,,Turnover by P. Beverley (bad pass; steal by N. Mirotic)
8:56.0,Shooting foul by E. Gordon (drawn by P. Zipser),,90-86,,
8:56.0,Official timeout,,90-86,,
8:56.0,P. Zipser makes free throw 1 of 2,1,91-86,,
8:56.0,P. Zipser makes free throw 2 of 2,1,92-86,,
8:56.0,,,90-86,,J. Harden enters the game for C. Brewer
8:38.0,,,92-86,,J. Harden misses 2-pt shot from 13 ft
8:38.0,,,92-86,,Offensive rebound by Team
8:38.0,Loose ball foul by B. Portis (drawn by M. Harrell),,92-86,,
8:29.0,,,92-89,3,J. Harden makes 3-pt shot from 25 ft
8:10.0,R. Rondo misses 2-pt shot from 18 ft,,92-89,,
8:09.0,,,92-89,,Defensive rebound by J. Harden
8:09.0,Personal foul by N. Mirotic (drawn by J. Harden),,92-89,,
8:09.0,,,92-90,1,J. Harden makes free throw 1 of 2
8:09.0,,,92-91,1,J. Harden makes free throw 2 of 2
8:09.0,D. Wade enters the game for D. McDermott,,92-90,,
7:54.0,,,92-91,,Personal foul by P. Beverley (drawn by N. Mirotic)
7:54.0,R. Lopez enters the game for B. Portis,,92-91,,
7:54.0,T. Gibson enters the game for N. Mirotic,,92-91,,
7:51.0,Turnover by P. Zipser (lost ball),,92-91,,
7:28.0,,,92-93,2,J. Harden makes 2-pt shot from 17 ft
7:15.0,D. Wade makes 2-pt shot from 18 ft (assist by R. Rondo),2,94-93,,
6:59.0,,,94-93,,J. Harden misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by D. Wade,,94-93,,
6:54.0,P. Zipser makes 2-pt shot at rim (assist by D. Wade),2,96-93,,
6:27.0,,,96-93,,J. Harden misses 3-pt shot from 26 ft
6:24.0,,,96-93,,Offensive rebound by M. Harrell
6:21.0,,,96-93,,M. Harrell misses 2-pt shot from 10 ft
6:21.0,,,96-93,,Offensive rebound by Team
6:21.0,Loose ball foul by P. Zipser (drawn by J. Harden),,96-93,,
6:21.0,,,96-93,,Technical foul by J. Harden
6:21.0,D. Wade makes technical free throw,1,97-93,,
6:21.0,,,97-93,,J. Harden misses free throw 1 of 2
6:21.0,,,97-93,,Offensive rebound by Team
6:21.0,,,97-93,,J. Harden misses free throw 2 of 2
6:21.0,Defensive rebound by R. Rondo,,97-93,,
6:21.0,,,97-93,,T. Ariza enters the game for E. Gordon
6:21.0,M. Carter-Williams enters the game for P. Zipser,,97-93,,
6:03.0,D. Wade misses 2-pt shot from 6 ft,,97-93,,
6:02.0,Offensive rebound by R. Rondo,,97-93,,
5:53.0,M. Carter-Williams misses 3-pt shot from 40 ft,,97-93,,
5:51.0,Offensive rebound by R. Lopez,,97-93,,
5:45.0,Turnover by R. Rondo (bad pass),,97-93,,
5:45.0,,,97-93,,Houston full timeout
5:45.0,,,97-93,,R. Anderson enters the game for S. Dekker
5:45.0,,,97-93,,C. Capela enters the game for M. Harrell
5:45.0,P. Zipser enters the game for R. Rondo,,97-93,,
5:24.0,,,97-93,,J. Harden misses 3-pt shot from 25 ft (block by T. Gibson)
5:22.0,Defensive rebound by M. Carter-Williams,,97-93,,
5:18.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,99-93,,
5:06.0,,,99-93,,J. Harden misses 3-pt shot from 26 ft
