time,Portland,pts.away,score,pts.home,Chicago
7:36.0,,,11-10,,Shooting foul by M. Plumlee (drawn by R. Lopez)
7:36.0,,,11-11,1,R. Lopez makes free throw 1 of 2
7:36.0,,,11-11,,R. Lopez misses free throw 2 of 2
7:34.0,Defensive rebound by E. Davis,,11-11,,
7:24.0,M. Harkless misses 2-pt shot from 2 ft,,11-11,,
7:23.0,Offensive rebound by E. Davis,,11-11,,
7:23.0,E. Davis makes 2-pt shot at rim,2,13-11,,
7:10.0,,,13-11,,J. Grant misses 2-pt shot from 9 ft (block by D. Lillard)
7:08.0,Defensive rebound by M. Plumlee,,13-11,,
7:01.0,D. Lillard misses 2-pt shot from 2 ft,,13-11,,
7:01.0,,,13-11,,Defensive rebound by Team
6:45.0,,,13-14,3,J. Grant makes 3-pt shot from 26 ft (assist by J. Butler)
6:29.0,C. McCollum makes 2-pt shot from 1 ft,2,15-14,,
6:05.0,,,15-14,,D. Wade misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by M. Plumlee,,15-14,,
5:55.0,C. McCollum misses 3-pt shot from 25 ft,,15-14,,
5:54.0,Offensive rebound by M. Harkless,,15-14,,
5:52.0,D. Lillard makes 3-pt shot from 26 ft (assist by M. Harkless),3,18-14,,
5:52.0,,,18-14,,Chicago full timeout
5:44.0,Personal foul by M. Harkless (drawn by J. Butler),,18-14,,
5:36.0,,,18-16,2,J. Butler makes 2-pt shot from 20 ft
5:17.0,C. McCollum makes 2-pt shot from 8 ft,2,20-16,,
5:08.0,,,20-16,,Offensive foul by D. Wade
5:08.0,,,20-16,,Turnover by D. Wade (offensive foul)
5:08.0,E. Turner enters the game for M. Harkless,,20-16,,
5:08.0,A. Crabbe enters the game for C. McCollum,,20-16,,
5:08.0,,,20-16,,I. Canaan enters the game for D. Wade
5:05.0,,,20-16,,Technical foul by D. Wade
5:05.0,D. Lillard makes technical free throw,1,21-16,,
4:49.0,A. Crabbe makes 2-pt shot from 19 ft (assist by M. Plumlee),2,23-16,,
4:39.0,,,23-16,,J. Grant misses 2-pt shot from 15 ft
4:38.0,,,23-16,,Offensive rebound by J. Butler
4:36.0,,,23-18,2,J. Butler makes 2-pt shot at rim
4:16.0,M. Plumlee misses 2-pt shot from 16 ft,,23-18,,
4:15.0,Offensive rebound by A. Crabbe,,23-18,,
4:08.0,D. Lillard misses 2-pt shot from 15 ft,,23-18,,
4:07.0,,,23-18,,Defensive rebound by J. Butler
3:49.0,,,23-20,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
3:27.0,A. Aminu enters the game for E. Davis,,23-20,,
3:27.0,,,23-20,,N. Mirotic enters the game for T. Gibson
3:27.0,,,23-20,,D. Valentine enters the game for J. Grant
3:22.0,M. Plumlee makes 2-pt shot from 5 ft (assist by A. Aminu),2,25-20,,
3:02.0,,,25-23,3,J. Butler makes 3-pt shot from 25 ft (assist by I. Canaan)
2:48.0,A. Crabbe misses 3-pt shot from 25 ft,,25-23,,
2:47.0,,,25-23,,Defensive rebound by R. Lopez
2:41.0,,,25-23,,Shooting foul by A. Crabbe (drawn by J. Butler)
2:41.0,Portland full timeout,,25-23,,
2:41.0,,,25-24,1,J. Butler makes free throw 1 of 2
2:41.0,,,25-25,1,J. Butler makes free throw 2 of 2
2:41.0,M. Leonard enters the game for M. Plumlee,,25-23,,
2:41.0,,,25-24,,B. Portis enters the game for R. Lopez
2:31.0,Turnover by M. Leonard (lost ball; steal by B. Portis),,25-25,,
2:19.0,,,25-25,,I. Canaan misses 2-pt shot from 20 ft (block by D. Lillard)
2:17.0,Defensive rebound by A. Crabbe,,25-25,,
2:09.0,D. Lillard misses 2-pt shot from 1 ft (block by B. Portis),,25-25,,
2:07.0,,,25-25,,Defensive rebound by N. Mirotic
2:00.0,,,25-25,,D. Valentine misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by A. Aminu,,25-25,,
1:52.0,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner),2,27-25,,
1:34.0,,,27-25,,Turnover by I. Canaan (bad pass; steal by A. Crabbe)
1:23.0,D. Lillard makes 2-pt shot from 2 ft,2,29-25,,
1:23.0,Violation by Team (delay of game),,29-25,,
1:08.0,,,29-25,,J. Butler misses 2-pt shot from 15 ft
1:07.0,Defensive rebound by M. Leonard,,29-25,,
0:58.0,M. Leonard misses 3-pt shot from 24 ft,,29-25,,
0:57.0,,,29-25,,Defensive rebound by D. Valentine
0:50.0,,,29-25,,J. Butler misses 2-pt shot from 1 ft
0:49.0,,,29-25,,Offensive rebound by J. Butler
0:49.0,Personal foul by M. Leonard (drawn by J. Butler),,29-25,,
0:49.0,C. McCollum enters the game for D. Lillard,,29-25,,
0:49.0,,,29-25,,D. Wade enters the game for J. Butler
0:44.0,,,29-27,2,D. Wade makes 2-pt shot from 6 ft
0:33.0,Turnover by C. McCollum (lost ball; steal by D. Wade),,29-27,,
0:30.0,,,29-29,2,D. Wade makes 2-pt shot from 3 ft (assist by B. Portis)
0:30.0,,,29-29,,Shooting foul by M. Leonard (drawn by D. Wade)
0:30.0,,,29-30,1,D. Wade makes free throw 1 of 1
0:18.0,Turnover by E. Turner (lost ball; steal by I. Canaan),,29-30,,
0:15.0,,,29-32,2,I. Canaan makes 2-pt shot from 1 ft (assist by D. Wade)
0:02.0,C. McCollum misses 2-pt shot from 16 ft,,29-32,,
0:00.0,,,29-32,,Defensive rebound by B. Portis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,A. Aminu misses 2-pt shot from 2 ft (block by N. Mirotic),,29-32,,
11:36.0,,,29-32,,Defensive rebound by D. Valentine
11:27.0,,,29-32,,D. Wade misses 2-pt shot from 16 ft (block by A. Aminu)
11:25.0,Defensive rebound by E. Turner,,29-32,,
11:15.0,A. Crabbe makes 2-pt shot from 2 ft,2,31-32,,
10:58.0,,,31-32,,Turnover by N. Mirotic (lost ball)
10:40.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard),3,34-32,,
10:25.0,,,34-35,3,N. Mirotic makes 3-pt shot from 26 ft (assist by B. Portis)
10:12.0,C. McCollum makes 2-pt shot from 17 ft (assist by E. Turner),2,36-35,,
10:02.0,Personal foul by A. Aminu (drawn by N. Mirotic),,36-35,,
10:02.0,,,36-35,,N. Mirotic misses free throw 1 of 2
10:02.0,,,36-35,,Offensive rebound by Team
10:02.0,,,36-36,1,N. Mirotic makes free throw 2 of 2
9:47.0,A. Crabbe makes 2-pt shot from 19 ft (assist by C. McCollum),2,38-36,,
9:32.0,,,38-38,2,D. Wade makes 2-pt shot from 3 ft
9:23.0,,,38-38,,Personal foul by D. Valentine (drawn by E. Turner)
9:16.0,C. McCollum makes 2-pt shot from 15 ft,2,40-38,,
8:56.0,,,40-38,,D. Wade misses 2-pt shot from 22 ft
8:56.0,Defensive rebound by A. Crabbe,,40-38,,
8:49.0,M. Leonard makes 2-pt shot from 6 ft (assist by C. McCollum),2,42-38,,
8:31.0,,,42-40,2,D. Valentine makes 2-pt shot from 5 ft
8:16.0,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner),3,45-40,,
8:16.0,,,45-40,,Chicago full timeout
8:16.0,,,45-40,,T. Gibson enters the game for I. Canaan
8:16.0,,,45-40,,J. Grant enters the game for B. Portis
7:57.0,,,45-40,,N. Mirotic misses 2-pt shot from 14 ft
7:55.0,,,45-40,,Offensive rebound by D. Wade
7:51.0,,,45-40,,N. Mirotic misses 2-pt shot from 3 ft
7:49.0,Defensive rebound by E. Turner,,45-40,,
7:45.0,A. Aminu misses 2-pt shot from 1 ft (block by T. Gibson),,45-40,,
7:42.0,,,45-40,,Defensive rebound by D. Valentine
7:39.0,,,45-40,,Shooting foul by A. Aminu (drawn by D. Wade)
7:39.0,,,45-41,1,D. Wade makes free throw 1 of 2
7:39.0,,,45-42,1,D. Wade makes free throw 2 of 2
7:39.0,,,45-41,,J. Butler enters the game for N. Mirotic
7:39.0,M. Harkless enters the game for A. Aminu,,45-41,,
7:23.0,Turnover by E. Turner (lost ball; steal by J. Butler),,45-42,,
7:17.0,E. Davis enters the game for M. Leonard,,45-42,,
7:04.0,,,45-45,3,D. Wade makes 3-pt shot from 26 ft
6:40.0,E. Davis misses 2-pt shot from 2 ft (block by J. Butler),,45-45,,
6:36.0,Jump ball: J. Butler vs. E. Davis (C. McCollum gains possession),,,,Jump ball: J. Butler vs. E. Davis (C. McCollum gains possession)
6:36.0,Offensive rebound by Team,,45-45,,
6:36.0,C. McCollum misses 3-pt shot from 36 ft,,45-45,,
6:36.0,Offensive rebound by Team,,45-45,,
6:36.0,Turnover by Team (shot clock),,45-45,,
6:25.0,,,45-47,2,D. Wade makes 2-pt shot from 20 ft
6:07.0,E. Turner makes 2-pt shot from 10 ft,2,47-47,,
5:52.0,,,47-47,,Turnover by J. Grant (bad pass; steal by M. Harkless)
5:48.0,M. Harkless makes 2-pt shot from 1 ft,2,49-47,,
5:33.0,,,49-47,,D. Wade misses 2-pt shot from 5 ft
5:32.0,Defensive rebound by M. Harkless,,49-47,,
5:25.0,E. Turner misses 3-pt shot from 25 ft,,49-47,,
5:24.0,,,49-47,,Defensive rebound by D. Valentine
5:20.0,,,49-49,2,J. Butler makes 2-pt shot from 3 ft (assist by D. Wade)
5:20.0,Portland full timeout,,49-49,,
5:20.0,D. Lillard enters the game for C. McCollum,,49-49,,
5:20.0,,,49-49,,R. Lopez enters the game for D. Wade
5:03.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,52-49,,
4:45.0,,,52-51,2,J. Butler makes 2-pt shot from 10 ft
4:30.0,D. Lillard makes 2-pt shot from 7 ft,2,54-51,,
4:13.0,,,54-51,,J. Butler misses 2-pt shot from 8 ft (block by M. Harkless)
4:11.0,Defensive rebound by D. Lillard,,54-51,,
4:10.0,M. Harkless makes 2-pt shot from 4 ft (assist by D. Lillard),2,56-51,,
4:10.0,Shooting foul by J. Grant (drawn by M. Harkless),,56-51,,
4:10.0,M. Harkless makes free throw 1 of 1,1,57-51,,
4:10.0,M. Plumlee enters the game for E. Turner,,56-51,,
4:10.0,,,56-51,,I. Canaan enters the game for J. Grant
3:57.0,,,57-51,,T. Gibson misses 2-pt shot from 14 ft
3:56.0,Defensive rebound by E. Davis,,57-51,,
3:46.0,D. Lillard misses 2-pt shot from 12 ft,,57-51,,
3:45.0,Offensive rebound by M. Harkless,,57-51,,
3:40.0,A. Crabbe misses 2-pt shot from 2 ft,,57-51,,
3:39.0,,,57-51,,Defensive rebound by J. Butler
3:36.0,,,57-51,,I. Canaan misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by E. Davis,,57-51,,
3:16.0,A. Crabbe misses 3-pt shot from 24 ft,,57-51,,
3:15.0,,,57-51,,Defensive rebound by J. Butler
3:10.0,Personal foul by M. Harkless (drawn by J. Butler),,57-51,,
3:03.0,,,57-51,,Turnover by I. Canaan (bad pass; steal by A. Crabbe)
3:02.0,Turnover by M. Harkless (bad pass),,57-51,,
2:48.0,,,57-51,,D. Valentine misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by D. Lillard,,57-51,,
2:44.0,A. Crabbe makes 2-pt shot from 3 ft (assist by D. Lillard),2,59-51,,
2:44.0,,,59-51,,Chicago full timeout
2:44.0,,,59-51,,Chicago full timeout
2:44.0,,,59-51,,D. Wade enters the game for D. Valentine
2:24.0,,,59-51,,Turnover by T. Gibson (bad pass)
2:06.0,D. Lillard makes 2-pt shot from 9 ft,2,61-51,,
1:51.0,Violation by M. Plumlee (kicked ball),,61-51,,
1:40.0,,,61-53,2,D. Wade makes 2-pt shot from 18 ft (assist by R. Lopez)
1:23.0,D. Lillard makes 2-pt shot from 12 ft (assist by A. Crabbe),2,63-53,,
1:08.0,,,63-53,,Turnover by D. Wade (lost ball)
1:08.0,C. McCollum enters the game for A. Crabbe,,63-53,,
1:08.0,,,63-53,,N. Mirotic enters the game for T. Gibson
0:52.0,M. Harkless misses 3-pt shot from 25 ft,,63-53,,
0:51.0,,,63-53,,Defensive rebound by I. Canaan
0:48.0,,,63-55,2,I. Canaan makes 2-pt shot from 3 ft
0:48.0,,,63-55,,Shooting foul by E. Davis (drawn by I. Canaan)
0:48.0,,,63-56,1,I. Canaan makes free throw 1 of 1
0:48.0,A. Crabbe enters the game for E. Davis,,63-55,,
0:28.0,A. Crabbe makes 2-pt shot from 9 ft (assist by D. Lillard),2,65-56,,
0:14.0,Personal foul by C. McCollum (drawn by D. Wade),,65-56,,
0:14.0,,,65-57,1,D. Wade makes free throw 1 of 2
0:14.0,,,65-57,,D. Wade misses free throw 2 of 2
0:14.0,,,65-57,,T. Gibson enters the game for R. Lopez
0:13.0,Defensive rebound by M. Plumlee,,65-57,,
0:04.0,D. Lillard misses 2-pt shot from 5 ft (block by J. Butler),,65-57,,
0:04.0,Offensive rebound by Team,,65-57,,
0:04.0,Portland full timeout,,65-57,,
0:04.0,A. Aminu enters the game for M. Plumlee,,65-57,,
0:03.0,M. Harkless misses 2-pt shot from 6 ft (block by D. Wade),,65-57,,
0:02.0,Offensive rebound by M. Harkless,,65-57,,
0:01.0,M. Harkless misses 2-pt shot from 2 ft,,65-57,,
0:00.0,,,65-57,,Defensive rebound by N. Mirotic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,65-57,,Personal foul by J. Grant (drawn by E. Davis)
11:31.0,M. Plumlee misses 2-pt shot from 3 ft,,65-57,,
11:30.0,Offensive rebound by E. Davis,,65-57,,
11:30.0,Shooting foul by T. Gibson (drawn by E. Davis),,65-57,,
11:30.0,E. Davis misses free throw 1 of 2,,65-57,,
11:30.0,Offensive rebound by Team,,65-57,,
11:30.0,E. Davis makes free throw 2 of 2,1,66-57,,
11:12.0,,,66-57,,J. Grant misses 2-pt shot from 6 ft
11:11.0,,,66-57,,Offensive rebound by R. Lopez
11:11.0,,,66-57,,R. Lopez misses 2-pt shot at rim (block by M. Plumlee)
11:09.0,,,66-57,,Offensive rebound by T. Gibson
10:59.0,,,66-57,,D. Wade misses 3-pt shot from 25 ft
10:57.0,,,66-57,,Offensive rebound by R. Lopez
10:50.0,,,66-59,2,R. Lopez makes 2-pt shot from 4 ft
10:27.0,C. McCollum misses 2-pt shot from 16 ft,,66-59,,
10:26.0,,,66-59,,Defensive rebound by T. Gibson
10:22.0,Personal foul by D. Lillard (drawn by J. Butler),,66-59,,
10:18.0,,,66-59,,Turnover by R. Lopez (lost ball; steal by M. Plumlee)
10:12.0,Turnover by M. Plumlee (bad pass; steal by J. Grant),,66-59,,
10:09.0,,,66-59,,Shooting foul by E. Davis (drawn by J. Butler)
10:09.0,,,66-60,1,J. Butler makes free throw 1 of 2
10:09.0,,,66-61,1,J. Butler makes free throw 2 of 2
9:50.0,D. Lillard misses 2-pt shot from 18 ft,,66-61,,
9:49.0,,,66-61,,Defensive rebound by T. Gibson
9:32.0,,,66-63,2,J. Butler makes 2-pt shot from 2 ft
9:20.0,M. Plumlee misses 2-pt shot from 19 ft,,66-63,,
9:19.0,,,66-63,,Defensive rebound by J. Grant
9:12.0,,,66-65,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Grant)
9:12.0,,,66-65,,Shooting foul by E. Davis (drawn by T. Gibson)
9:12.0,Portland full timeout,,66-65,,
9:12.0,,,66-65,,T. Gibson misses free throw 1 of 1
9:10.0,,,66-65,,Offensive rebound by R. Lopez
9:01.0,,,66-65,,T. Gibson misses 2-pt shot from 1 ft
8:59.0,,,66-65,,Offensive rebound by R. Lopez
8:59.0,,,66-67,2,R. Lopez makes 2-pt shot from 2 ft
8:42.0,D. Lillard misses 3-pt shot from 26 ft,,66-67,,
8:41.0,,,66-67,,Defensive rebound by T. Gibson
8:34.0,,,66-67,,Turnover by J. Butler (lost ball; steal by D. Lillard)
8:30.0,D. Lillard misses 2-pt shot from 1 ft (block by T. Gibson),,66-67,,
8:30.0,Offensive rebound by Team,,66-67,,
8:20.0,C. McCollum misses 2-pt shot from 14 ft,,66-67,,
8:19.0,Offensive rebound by C. McCollum,,66-67,,
8:19.0,C. McCollum misses 2-pt shot from 12 ft,,66-67,,
8:17.0,,,66-67,,Defensive rebound by R. Lopez
8:02.0,,,66-69,2,J. Butler makes 2-pt shot from 4 ft (assist by D. Wade)
7:43.0,C. McCollum makes 2-pt shot from 22 ft (assist by D. Lillard),2,68-69,,
7:25.0,,,68-69,,D. Wade misses 2-pt shot from 17 ft
7:25.0,,,68-69,,Offensive rebound by Team
7:25.0,Personal foul by E. Davis (drawn by R. Lopez),,68-69,,
7:25.0,M. Leonard enters the game for E. Davis,,68-69,,
7:19.0,,,68-69,,J. Grant misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by M. Plumlee,,68-69,,
7:14.0,,,68-69,,Personal foul by J. Grant (drawn by D. Lillard)
7:05.0,D. Lillard misses 2-pt shot from 2 ft (block by R. Lopez),,68-69,,
7:03.0,,,68-69,,Defensive rebound by T. Gibson
6:59.0,,,68-69,,Shooting foul by C. McCollum (drawn by D. Wade)
6:59.0,,,68-70,1,D. Wade makes free throw 1 of 2
6:59.0,,,68-71,1,D. Wade makes free throw 2 of 2
6:46.0,M. Plumlee misses 2-pt shot from 2 ft (block by R. Lopez),,68-71,,
6:44.0,Offensive rebound by M. Plumlee,,68-71,,
6:42.0,M. Plumlee makes 2-pt shot from 2 ft,2,70-71,,
6:18.0,,,70-71,,R. Lopez misses 2-pt shot from 18 ft
6:17.0,Defensive rebound by C. McCollum,,70-71,,
6:11.0,D. Lillard misses 2-pt shot from 18 ft,,70-71,,
6:10.0,,,70-71,,Defensive rebound by T. Gibson
6:05.0,,,70-71,,Shooting foul by M. Leonard (drawn by J. Grant)
6:05.0,,,70-72,1,J. Grant makes free throw 1 of 2
6:05.0,,,70-73,1,J. Grant makes free throw 2 of 2
6:05.0,,,70-72,,N. Mirotic enters the game for T. Gibson
5:48.0,Turnover by M. Leonard (lost ball; steal by N. Mirotic),,70-73,,
5:44.0,,,70-73,,Shooting foul by M. Leonard (drawn by N. Mirotic)
5:44.0,,,70-74,1,N. Mirotic makes free throw 1 of 2
5:44.0,,,70-75,1,N. Mirotic makes free throw 2 of 2
5:44.0,A. Aminu enters the game for M. Leonard,,70-74,,
5:31.0,C. McCollum makes 3-pt shot from 26 ft,3,73-75,,
5:08.0,,,73-77,2,D. Wade makes 2-pt shot from 18 ft
4:52.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,75-77,,
4:37.0,,,75-77,,J. Grant misses 3-pt shot from 24 ft
4:34.0,,,75-77,,Offensive rebound by D. Wade
4:24.0,,,75-77,,N. Mirotic misses 3-pt shot from 23 ft
4:24.0,,,75-77,,Offensive rebound by Team
4:24.0,,,75-77,,D. Valentine enters the game for D. Wade
4:09.0,,,75-77,,Turnover by D. Valentine (bad pass)
3:54.0,C. McCollum misses 2-pt shot from 21 ft,,75-77,,
3:53.0,,,75-77,,Defensive rebound by J. Grant
3:44.0,,,75-77,,Shooting foul by M. Harkless (drawn by N. Mirotic)
3:44.0,,,75-78,1,N. Mirotic makes free throw 1 of 2
3:44.0,,,75-79,1,N. Mirotic makes free throw 2 of 2
3:44.0,,,75-78,,I. Canaan enters the game for J. Grant
3:44.0,A. Crabbe enters the game for C. McCollum,,75-78,,
3:44.0,E. Turner enters the game for M. Harkless,,75-78,,
3:31.0,D. Lillard makes 2-pt shot from 21 ft,2,77-79,,
3:11.0,,,77-81,2,I. Canaan makes 2-pt shot from 17 ft (assist by J. Butler)
3:11.0,,,77-81,,Shooting foul by D. Lillard (drawn by I. Canaan)
3:11.0,,,77-82,1,I. Canaan makes free throw 1 of 1
3:03.0,,,77-82,,Personal foul by J. Butler (drawn by D. Lillard)
2:57.0,,,77-82,,Personal foul by D. Valentine (drawn by M. Plumlee)
2:57.0,,,77-82,,Chicago full timeout
2:57.0,M. Plumlee makes free throw 1 of 2,1,78-82,,
2:57.0,M. Plumlee makes free throw 2 of 2,1,79-82,,
2:37.0,,,79-85,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
2:18.0,,,79-85,,Personal foul by I. Canaan (drawn by A. Crabbe)
2:18.0,A. Crabbe makes free throw 1 of 2,1,80-85,,
2:18.0,A. Crabbe makes free throw 2 of 2,1,81-85,,
2:18.0,M. Leonard enters the game for M. Plumlee,,80-85,,
2:05.0,,,81-85,,Turnover by N. Mirotic (lost ball; steal by A. Aminu)
1:54.0,A. Crabbe misses 2-pt shot from 21 ft,,81-85,,
1:53.0,Offensive rebound by A. Crabbe,,81-85,,
1:48.0,A. Aminu makes 2-pt shot from 2 ft (assist by D. Lillard),2,83-85,,
1:31.0,,,83-85,,R. Lopez misses 2-pt shot from 1 ft
1:31.0,,,83-85,,Offensive rebound by R. Lopez
1:31.0,,,83-85,,J. Butler misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by A. Aminu,,83-85,,
1:20.0,Shooting foul by N. Mirotic (drawn by A. Aminu),,83-85,,
1:20.0,A. Aminu misses free throw 1 of 2,,83-85,,
1:20.0,Offensive rebound by Team,,83-85,,
1:20.0,A. Aminu misses free throw 2 of 2,,83-85,,
1:20.0,C. McCollum enters the game for D. Lillard,,83-85,,
1:20.0,,,83-85,,D. Wade enters the game for J. Butler
1:18.0,,,83-85,,Defensive rebound by R. Lopez
0:55.0,,,83-85,,D. Valentine misses 3-pt shot from 26 ft
0:55.0,Defensive rebound by Team,,83-85,,
0:33.0,C. McCollum misses 2-pt shot from 18 ft,,83-85,,
0:32.0,,,83-85,,Defensive rebound by N. Mirotic
0:23.0,,,83-85,,D. Wade misses 2-pt shot from 17 ft
0:23.0,,,83-85,,Offensive rebound by R. Lopez
0:23.0,Personal foul by M. Leonard (drawn by R. Lopez),,83-85,,
0:23.0,,,83-86,1,R. Lopez makes free throw 1 of 2
0:23.0,,,83-87,1,R. Lopez makes free throw 2 of 2
0:00.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Leonard),3,86-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,86-87,,D. Wade misses 2-pt shot from 12 ft
11:37.0,Defensive rebound by M. Leonard,,86-87,,
11:26.0,Shooting foul by D. Wade (drawn by A. Aminu),,86-87,,
11:26.0,A. Aminu misses free throw 1 of 2,,86-87,,
11:26.0,Offensive rebound by Team,,86-87,,
11:26.0,A. Aminu makes free throw 2 of 2,1,87-87,,
11:22.0,,,87-87,,Offensive foul by T. Gibson
11:22.0,,,87-87,,Turnover by T. Gibson (offensive foul)
11:04.0,M. Leonard misses 3-pt shot from 25 ft,,87-87,,
11:03.0,,,87-87,,Defensive rebound by N. Mirotic
10:55.0,,,87-87,,Shooting foul by M. Leonard (drawn by D. Wade)
10:55.0,,,87-88,1,D. Wade makes free throw 1 of 2
10:55.0,,,87-89,1,D. Wade makes free throw 2 of 2
10:55.0,E. Davis enters the game for M. Leonard,,87-87,,
10:39.0,Turnover by C. McCollum (bad pass; steal by I. Canaan),,87-89,,
10:27.0,,,87-89,,D. Wade misses 2-pt shot from 11 ft
10:26.0,Defensive rebound by A. Aminu,,87-89,,
10:25.0,,,87-89,,Personal foul by N. Mirotic (drawn by A. Aminu)
10:14.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu),3,90-89,,
9:53.0,,,90-89,,I. Canaan misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by A. Crabbe,,90-89,,
9:43.0,A. Crabbe misses 2-pt shot from 19 ft,,90-89,,
9:42.0,,,90-89,,Defensive rebound by N. Mirotic
9:33.0,,,90-92,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Wade)
9:08.0,E. Turner makes 2-pt shot from 18 ft,2,92-92,,
8:43.0,,,92-92,,I. Canaan misses 2-pt shot from 2 ft
8:42.0,,,92-92,,Offensive rebound by I. Canaan
8:34.0,,,92-92,,Shooting foul by E. Turner (drawn by D. Wade)
8:34.0,,,92-92,,Chicago full timeout
8:34.0,,,92-92,,D. Wade misses free throw 1 of 2
8:34.0,,,92-92,,Offensive rebound by Team
8:34.0,,,92-93,1,D. Wade makes free throw 2 of 2
8:34.0,M. Harkless enters the game for A. Aminu,,92-92,,
8:19.0,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum),2,94-93,,
7:58.0,,,94-93,,D. Wade misses 2-pt shot from 18 ft
7:57.0,,,94-93,,Offensive rebound by I. Canaan
7:48.0,,,94-93,,D. Valentine misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by E. Davis,,94-93,,
7:39.0,E. Turner makes 2-pt shot from 17 ft,2,96-93,,
7:15.0,,,96-93,,D. Valentine misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by Team,,96-93,,
7:15.0,D. Lillard enters the game for C. McCollum,,96-93,,
7:15.0,,,96-93,,J. Butler enters the game for D. Valentine
7:00.0,E. Turner makes 2-pt shot from 12 ft,2,98-93,,
6:59.0,,,98-93,,Chicago full timeout
6:59.0,,,98-93,,R. Lopez enters the game for T. Gibson
6:59.0,,,98-93,,J. Grant enters the game for D. Wade
6:46.0,,,98-93,,J. Butler misses 2-pt shot from 9 ft (block by E. Davis)
6:46.0,Defensive rebound by Team,,98-93,,
6:27.0,E. Turner makes 2-pt shot from 6 ft,2,100-93,,
6:05.0,,,100-93,,Turnover by J. Butler (lost ball; steal by D. Lillard)
5:55.0,D. Lillard makes 3-pt shot from 27 ft,3,103-93,,
5:55.0,,,103-93,,Chicago full timeout
5:42.0,,,103-93,,I. Canaan misses 2-pt shot from 3 ft (block by E. Davis)
5:42.0,Defensive rebound by Team,,103-93,,
