time,San Antonio,pts.away,score,pts.home,Indiana
1:06.0,Loose ball foul by L. Aldridge (drawn by M. Turner),,46-46,,
1:06.0,,,46-46,,M. Turner misses free throw 1 of 2
1:06.0,,,46-46,,Offensive rebound by Team
1:06.0,,,46-47,1,M. Turner makes free throw 2 of 2
1:06.0,,,46-46,,G. Robinson enters the game for M. Ellis
0:50.0,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard),3,49-47,,
0:33.0,,,49-47,,Shooting foul by L. Aldridge (drawn by M. Turner)
0:33.0,,,49-48,1,M. Turner makes free throw 1 of 2
0:33.0,,,49-49,1,M. Turner makes free throw 2 of 2
0:14.0,K. Leonard misses 2-pt shot from 22 ft,,49-49,,
0:12.0,,,49-49,,Defensive rebound by M. Turner
0:07.0,,,49-49,,Indiana full timeout
0:07.0,J. Simmons enters the game for L. Aldridge,,49-49,,
0:07.0,D. Dedmon enters the game for D. Lee,,49-49,,
0:00.0,,,49-49,,P. George misses 2-pt shot from 21 ft
0:00.0,,,49-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-52,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
11:25.0,K. Leonard makes 2-pt shot from 14 ft,2,51-52,,
11:05.0,,,51-54,2,M. Turner makes 2-pt shot from 12 ft (assist by J. Teague)
10:51.0,K. Leonard makes 2-pt shot from 13 ft,2,53-54,,
10:40.0,,,53-54,,Turnover by J. Teague (bad pass; steal by K. Leonard)
10:30.0,K. Leonard misses 2-pt shot from 18 ft,,53-54,,
10:29.0,,,53-54,,Defensive rebound by K. Seraphin
10:20.0,Personal foul by D. Green (drawn by M. Turner),,53-54,,
10:09.0,,,53-54,,G. Robinson misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by D. Green,,53-54,,
9:55.0,L. Aldridge misses 2-pt shot from 10 ft,,53-54,,
9:54.0,,,53-54,,Defensive rebound by G. Robinson
9:41.0,,,53-54,,Shooting foul by L. Aldridge (drawn by M. Turner)
9:41.0,,,53-54,,M. Turner misses free throw 1 of 2
9:41.0,,,53-54,,Offensive rebound by Team
9:41.0,,,53-55,1,M. Turner makes free throw 2 of 2
9:23.0,L. Aldridge misses 2-pt shot from 6 ft,,53-55,,
9:21.0,Offensive rebound by L. Aldridge,,53-55,,
9:21.0,L. Aldridge makes 2-pt shot from 2 ft,2,55-55,,
9:05.0,,,55-55,,M. Turner misses 2-pt shot from 22 ft
9:05.0,Defensive rebound by D. Dedmon,,55-55,,
8:47.0,K. Leonard misses 3-pt shot from 25 ft,,55-55,,
8:46.0,,,55-55,,Defensive rebound by J. Teague
8:40.0,,,55-58,3,J. Teague makes 3-pt shot from 26 ft
8:22.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,57-58,,
8:08.0,,,57-58,,M. Turner misses 2-pt shot from 7 ft
8:07.0,Defensive rebound by D. Dedmon,,57-58,,
7:54.0,,,57-58,,Personal foul by K. Seraphin (drawn by L. Aldridge)
7:43.0,,,57-58,,Personal foul by P. George (drawn by K. Leonard)
7:30.0,D. Green makes 2-pt shot from 4 ft,2,59-58,,
7:06.0,,,59-58,,M. Turner misses 2-pt shot from 5 ft
7:05.0,Defensive rebound by Team,,59-58,,
6:51.0,K. Leonard misses 2-pt shot from 12 ft,,59-58,,
6:50.0,,,59-58,,Defensive rebound by K. Seraphin
6:30.0,,,59-58,,Shooting foul by D. Dedmon (drawn by J. Teague)
6:30.0,,,59-59,1,J. Teague makes free throw 1 of 2
6:30.0,,,59-60,1,J. Teague makes free throw 2 of 2
6:22.0,,,59-60,,Personal foul by K. Seraphin (drawn by K. Leonard)
6:22.0,,,59-60,,A. Jefferson enters the game for K. Seraphin
6:09.0,T. Parker makes 2-pt shot from 16 ft,2,61-60,,
5:46.0,,,61-62,2,P. George makes 2-pt shot from 3 ft
5:46.0,,,61-62,,Shooting foul by L. Aldridge (drawn by P. George)
5:46.0,,,61-62,,Indiana full timeout
5:46.0,,,61-63,1,P. George makes free throw 1 of 1
5:46.0,D. Lee enters the game for L. Aldridge,,61-62,,
5:37.0,K. Leonard makes 2-pt shot from 3 ft (assist by T. Parker),2,63-63,,
5:37.0,Shooting foul by P. George (drawn by K. Leonard),,63-63,,
5:37.0,K. Leonard makes free throw 1 of 1,1,64-63,,
5:23.0,,,64-66,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
5:21.0,San Antonio full timeout,,64-66,,
5:21.0,,,64-66,,M. Ellis enters the game for G. Robinson
5:11.0,K. Leonard makes 2-pt shot from 2 ft (assist by T. Parker),2,66-66,,
4:54.0,,,66-68,2,J. Teague makes 2-pt shot from 6 ft
4:42.0,Shooting foul by A. Jefferson (drawn by T. Parker),,66-68,,
4:42.0,T. Parker makes free throw 1 of 2,1,67-68,,
4:42.0,T. Parker makes free throw 2 of 2,1,68-68,,
4:42.0,,,67-68,,C. Miles enters the game for A. Jefferson
4:42.0,J. Simmons enters the game for D. Green,,67-68,,
4:42.0,K. Anderson enters the game for D. Dedmon,,67-68,,
4:30.0,,,68-70,2,M. Ellis makes 2-pt shot from 2 ft
4:14.0,T. Parker makes 2-pt shot from 16 ft,2,70-70,,
3:58.0,Personal foul by J. Simmons (drawn by M. Turner),,70-70,,
3:58.0,,,70-71,1,M. Turner makes free throw 1 of 2
3:58.0,,,70-72,1,M. Turner makes free throw 2 of 2
3:58.0,P. Mills enters the game for T. Parker,,70-71,,
3:34.0,P. Mills misses 3-pt shot from 25 ft,,70-72,,
3:34.0,,,70-72,,Defensive rebound by P. George
3:23.0,,,70-72,,P. George misses 3-pt shot from 25 ft
3:22.0,,,70-72,,Offensive rebound by J. Teague
3:14.0,,,70-72,,M. Ellis misses 2-pt shot from 4 ft
3:13.0,Defensive rebound by D. Lee,,70-72,,
3:07.0,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills),2,72-72,,
2:49.0,,,72-72,,M. Turner misses 2-pt shot from 8 ft (block by K. Anderson)
2:48.0,Defensive rebound by K. Anderson,,72-72,,
2:38.0,K. Leonard makes 3-pt shot from 23 ft (assist by J. Simmons),3,75-72,,
2:14.0,,,75-72,,M. Ellis misses 2-pt shot from 4 ft
2:14.0,Defensive rebound by J. Simmons,,75-72,,
2:01.0,D. Lee makes 2-pt shot from 4 ft (assist by K. Anderson),2,77-72,,
2:01.0,Shooting foul by C. Miles (drawn by D. Lee),,77-72,,
2:01.0,D. Lee makes free throw 1 of 1,1,78-72,,
2:01.0,,,77-72,,R. Stuckey enters the game for J. Teague
2:01.0,,,77-72,,A. Jefferson enters the game for M. Turner
2:01.0,M. Ginobili enters the game for K. Leonard,,77-72,,
1:46.0,,,78-72,,M. Ellis misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by D. Lee,,78-72,,
1:42.0,Turnover by D. Lee (bad pass; steal by C. Miles),,78-72,,
1:30.0,,,78-72,,Turnover by M. Ellis (lost ball; steal by J. Simmons)
1:24.0,P. Mills makes 3-pt shot from 26 ft (assist by J. Simmons),3,81-72,,
1:00.0,,,81-75,3,C. Miles makes 3-pt shot from 25 ft (assist by A. Jefferson)
0:46.0,K. Anderson misses 2-pt shot from 20 ft,,81-75,,
0:45.0,,,81-75,,Defensive rebound by P. George
0:38.0,,,81-75,,Shooting foul by J. Simmons (drawn by P. George)
0:38.0,,,81-76,1,P. George makes free throw 1 of 3
0:38.0,,,81-77,1,P. George makes free throw 2 of 3
0:38.0,,,81-78,1,P. George makes free throw 3 of 3
0:38.0,D. Green enters the game for J. Simmons,,81-77,,
0:38.0,K. Leonard enters the game for K. Anderson,,81-77,,
0:38.0,,,81-77,,M. Turner enters the game for A. Jefferson
0:30.0,P. Mills misses 2-pt shot from 16 ft,,81-78,,
0:29.0,Offensive rebound by D. Lee,,81-78,,
0:29.0,,,81-78,,Loose ball foul by P. George (drawn by D. Lee)
0:29.0,D. Lee makes free throw 1 of 2,1,82-78,,
0:29.0,D. Lee makes free throw 2 of 2,1,83-78,,
0:29.0,,,82-78,,G. Robinson enters the game for P. George
0:29.0,K. Anderson enters the game for K. Leonard,,82-78,,
0:16.0,,,83-78,,Shooting foul by P. Mills (drawn by M. Turner)
0:16.0,,,83-78,,M. Turner misses free throw 1 of 2
0:16.0,,,83-78,,Offensive rebound by Team
0:16.0,,,83-79,1,M. Turner makes free throw 2 of 2
0:16.0,K. Leonard enters the game for K. Anderson,,83-78,,
0:16.0,D. Bertans enters the game for D. Lee,,83-78,,
0:00.0,K. Leonard misses 2-pt shot from 12 ft,,83-79,,
0:00.0,Offensive rebound by Team,,83-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Green misses 2-pt shot from 4 ft,,83-79,,
11:47.0,Offensive rebound by K. Anderson,,83-79,,
11:47.0,Shooting foul by A. Jefferson (drawn by K. Anderson),,83-79,,
11:47.0,K. Anderson makes free throw 1 of 2,1,84-79,,
11:47.0,K. Anderson misses free throw 2 of 2,,84-79,,
11:44.0,,,84-79,,Defensive rebound by C. Miles
11:22.0,,,84-81,2,A. Jefferson makes 2-pt shot from 2 ft (assist by R. Stuckey)
10:58.0,M. Ginobili misses 3-pt shot from 26 ft,,84-81,,
10:57.0,,,84-81,,Defensive rebound by R. Stuckey
10:43.0,,,84-81,,A. Jefferson misses 2-pt shot from 9 ft
10:42.0,Defensive rebound by D. Lee,,84-81,,
10:28.0,M. Ginobili misses 2-pt shot from 5 ft (block by A. Jefferson),,84-81,,
10:27.0,,,84-81,,Defensive rebound by A. Jefferson
10:27.0,Personal take foul by D. Lee (drawn by M. Ellis),,84-81,,
10:27.0,L. Aldridge enters the game for D. Lee,,84-81,,
10:10.0,,,84-81,,A. Jefferson misses 2-pt shot from 2 ft (block by L. Aldridge)
10:09.0,Defensive rebound by L. Aldridge,,84-81,,
10:01.0,L. Aldridge misses 2-pt shot from 20 ft,,84-81,,
9:59.0,,,84-81,,Defensive rebound by G. Robinson
9:45.0,,,84-83,2,R. Stuckey makes 2-pt shot from 15 ft
9:24.0,Turnover by D. Green (bad pass; steal by M. Ellis),,84-83,,
9:19.0,,,84-85,2,M. Ellis makes 2-pt shot from 3 ft
9:19.0,San Antonio full timeout,,84-85,,
9:19.0,,,84-85,,P. George enters the game for G. Robinson
9:19.0,K. Leonard enters the game for M. Ginobili,,84-85,,
9:05.0,Turnover by K. Leonard (lost ball; steal by R. Stuckey),,84-85,,
9:00.0,,,84-87,2,M. Ellis makes 2-pt shot from 3 ft (assist by R. Stuckey)
8:34.0,K. Leonard makes 2-pt shot from 11 ft (assist by D. Green),2,86-87,,
8:11.0,,,86-87,,R. Stuckey misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by K. Leonard,,86-87,,
8:01.0,Shooting foul by C. Miles (drawn by K. Anderson),,86-87,,
8:01.0,K. Anderson makes free throw 1 of 2,1,87-87,,
8:01.0,K. Anderson misses free throw 2 of 2,,87-87,,
8:01.0,,,87-87,,Defensive rebound by C. Miles
8:01.0,,,87-87,,M. Turner enters the game for A. Jefferson
8:01.0,T. Parker enters the game for P. Mills,,87-87,,
7:52.0,,,87-89,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
7:33.0,L. Aldridge misses 2-pt shot from 19 ft,,87-89,,
7:33.0,,,87-89,,Defensive rebound by P. George
7:11.0,,,87-89,,M. Ellis misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by K. Anderson,,87-89,,
7:00.0,Turnover by T. Parker (lost ball),,87-89,,
7:00.0,D. Lee enters the game for K. Anderson,,87-89,,
7:00.0,,,87-89,,K. Seraphin enters the game for C. Miles
6:38.0,,,87-91,2,K. Seraphin makes 2-pt shot from 9 ft (assist by M. Ellis)
6:20.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lee),2,89-91,,
6:03.0,,,89-91,,M. Turner misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by D. Green,,89-91,,
5:51.0,L. Aldridge misses 2-pt shot from 2 ft,,89-91,,
5:50.0,,,89-91,,Defensive rebound by P. George
5:44.0,,,89-93,2,K. Seraphin makes 2-pt shot from 1 ft (assist by P. George)
5:24.0,T. Parker makes 2-pt shot from 2 ft,2,91-93,,
5:17.0,,,91-95,2,R. Stuckey makes 2-pt shot from 3 ft
5:17.0,,,91-95,,Shooting foul by D. Green (drawn by R. Stuckey)
5:17.0,Official timeout,,91-95,,
5:17.0,,,91-95,,R. Stuckey misses free throw 1 of 1
5:17.0,Defensive rebound by L. Aldridge,,91-95,,
5:02.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,94-95,,
4:42.0,,,94-95,,R. Stuckey misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by L. Aldridge,,94-95,,
4:23.0,L. Aldridge misses 2-pt shot from 12 ft,,94-95,,
4:22.0,,,94-95,,Defensive rebound by Team
4:22.0,Personal foul by D. Lee (drawn by M. Turner),,94-95,,
4:10.0,,,94-95,,M. Ellis misses 2-pt shot from 3 ft (block by D. Lee)
4:08.0,,,94-95,,Offensive rebound by M. Turner
4:08.0,,,94-95,,M. Turner misses 2-pt shot from 2 ft (block by D. Green)
4:08.0,,,94-95,,Offensive rebound by M. Turner
4:08.0,,,94-95,,Shooting foul by D. Lee (drawn by M. Turner)
4:08.0,,,94-96,1,M. Turner makes free throw 1 of 2
4:08.0,,,94-97,1,M. Turner makes free throw 2 of 2
4:08.0,,,94-96,,J. Teague enters the game for R. Stuckey
4:08.0,D. Dedmon enters the game for D. Lee,,94-96,,
3:55.0,Shooting foul by M. Turner (drawn by L. Aldridge),,94-97,,
3:55.0,L. Aldridge makes free throw 1 of 2,1,95-97,,
3:55.0,L. Aldridge makes free throw 2 of 2,1,96-97,,
3:55.0,Loose ball foul by D. Dedmon (drawn by K. Seraphin),,96-97,,
3:55.0,,,96-97,,K. Seraphin misses free throw 1 of 2
3:55.0,,,96-97,,Offensive rebound by Team
3:55.0,,,96-97,,K. Seraphin misses free throw 2 of 2
3:55.0,Defensive rebound by D. Dedmon,,96-97,,
3:38.0,K. Leonard makes 2-pt shot from 17 ft (assist by D. Dedmon),2,98-97,,
3:31.0,,,98-97,,Indiana full timeout
