time,Milwaukee,pts.away,score,pts.home,Detroit
8:30.0,,,70-63,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
8:08.0,J. Parker makes 2-pt shot at rim,2,72-63,,
7:42.0,,,72-63,,K. Caldwell-Pope misses 2-pt shot from 10 ft
7:41.0,,,72-63,,Offensive rebound by A. Drummond
7:38.0,,,72-63,,A. Drummond misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by J. Parker,,72-63,,
7:30.0,,,72-63,,Personal foul by A. Drummond (drawn by G. Antetokounmpo)
7:26.0,M. Dellavedova makes 2-pt shot at rim (assist by J. Henson),2,74-63,,
7:26.0,,,74-63,,Detroit full timeout
7:13.0,,,74-63,,Shooting foul by G. Antetokounmpo (drawn by A. Drummond)
7:13.0,,,74-63,,A. Drummond misses free throw 1 of 2
7:13.0,,,74-63,,Offensive rebound by Team
7:13.0,,,74-64,1,A. Drummond makes free throw 2 of 2
6:56.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,76-64,,
6:31.0,,,76-64,,K. Caldwell-Pope misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by J. Parker,,76-64,,
6:15.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,76-64,,
6:13.0,,,76-64,,Defensive rebound by J. Leuer
6:10.0,Personal foul by M. Dellavedova (drawn by R. Jackson),,76-64,,
6:10.0,G. Monroe enters the game for J. Henson,,76-64,,
6:10.0,M. Brogdon enters the game for M. Dellavedova,,76-64,,
6:10.0,,,76-64,,T. Harris enters the game for J. Leuer
6:00.0,,,76-64,,M. Morris misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by T. Snell,,76-64,,
5:44.0,Turnover by J. Parker (bad pass; steal by K. Caldwell-Pope),,76-64,,
5:34.0,,,76-64,,A. Drummond misses 2-pt shot from 8 ft
5:34.0,,,76-64,,Offensive rebound by A. Drummond
5:34.0,,,76-64,,Shooting foul by G. Monroe (drawn by A. Drummond)
5:34.0,,,76-64,,A. Drummond misses free throw 1 of 2
5:34.0,,,76-64,,Offensive rebound by Team
5:34.0,,,76-65,1,A. Drummond makes free throw 2 of 2
5:34.0,M. Beasley enters the game for G. Antetokounmpo,,76-64,,
5:18.0,M. Beasley misses 2-pt shot from 18 ft,,76-65,,
5:18.0,,,76-65,,Defensive rebound by A. Drummond
5:09.0,,,76-65,,M. Morris misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by T. Snell,,76-65,,
5:08.0,Milwaukee full timeout,,76-65,,
4:57.0,T. Snell makes 2-pt shot from 1 ft (assist by G. Monroe),2,78-65,,
4:34.0,,,78-65,,R. Jackson misses 3-pt shot from 23 ft
4:34.0,Defensive rebound by J. Parker,,78-65,,
4:28.0,G. Monroe misses 2-pt shot at rim,,78-65,,
4:26.0,,,78-65,,Defensive rebound by T. Harris
4:23.0,,,78-65,,Turnover by T. Harris (lost ball; steal by G. Monroe)
4:15.0,M. Beasley makes 2-pt shot at rim (assist by G. Monroe),2,80-65,,
4:15.0,,,80-65,,Detroit full timeout
4:15.0,,,80-65,,S. Johnson enters the game for M. Morris
4:15.0,,,80-65,,I. Smith enters the game for A. Drummond
4:15.0,,,80-65,,A. Baynes enters the game for K. Caldwell-Pope
4:15.0,,,80-65,,J. Leuer enters the game for R. Jackson
3:50.0,,,80-67,2,S. Johnson makes 2-pt shot from 7 ft
3:31.0,J. Parker makes 3-pt shot from 25 ft (assist by G. Monroe),3,83-67,,
3:13.0,,,83-69,2,T. Harris makes 2-pt shot from 14 ft (assist by I. Smith)
2:51.0,M. Beasley makes 2-pt shot at rim (assist by G. Monroe),2,85-69,,
2:37.0,,,85-69,,T. Harris misses 3-pt shot from 24 ft
2:37.0,Defensive rebound by G. Monroe,,85-69,,
2:24.0,T. Snell makes 3-pt shot from 26 ft (assist by J. Parker),3,88-69,,
2:08.0,,,88-69,,J. Leuer misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by G. Monroe,,88-69,,
1:57.0,J. Parker misses 3-pt shot from 28 ft,,88-69,,
1:56.0,,,88-69,,Defensive rebound by A. Baynes
1:50.0,,,88-71,2,I. Smith makes 2-pt shot at rim
1:31.0,M. Brogdon makes 2-pt shot from 18 ft (assist by G. Monroe),2,90-71,,
1:18.0,,,90-71,,Turnover by I. Smith (lost ball; steal by G. Monroe)
1:06.0,G. Monroe misses 2-pt shot from 6 ft,,90-71,,
1:05.0,,,90-71,,Defensive rebound by A. Baynes
0:59.0,,,90-71,,S. Johnson misses 3-pt shot from 24 ft
0:59.0,,,90-71,,Offensive rebound by T. Harris
0:56.0,,,90-71,,Shooting foul by J. Parker (drawn by T. Harris)
0:56.0,,,90-72,1,T. Harris makes free throw 1 of 2
0:56.0,,,90-73,1,T. Harris makes free throw 2 of 2
0:56.0,G. Antetokounmpo enters the game for J. Parker,,90-72,,
0:56.0,J. Terry enters the game for T. Snell,,90-72,,
0:37.0,Turnover by G. Monroe (traveling),,90-73,,
0:22.0,,,90-75,2,A. Baynes makes 2-pt shot from 16 ft (assist by J. Leuer)
0:03.0,Turnover by G. Monroe (offensive goaltending),,90-75,,
0:02.0,,,90-75,,J. Leuer misses 2-pt shot from 21 ft (block by M. Beasley)
0:00.0,,,90-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,92-75,,
11:43.0,Shooting foul by A. Baynes (drawn by G. Monroe),,92-75,,
11:43.0,G. Monroe misses free throw 1 of 1,,92-75,,
11:43.0,,,92-75,,Defensive rebound by T. Harris
11:36.0,Personal foul by M. Brogdon (drawn by S. Johnson),,92-75,,
11:21.0,,,92-78,3,J. Leuer makes 3-pt shot from 26 ft (assist by T. Harris)
10:55.0,M. Brogdon misses 3-pt shot from 24 ft,,92-78,,
10:55.0,,,92-78,,Defensive rebound by T. Harris
10:48.0,,,92-78,,Turnover by I. Smith (bad pass; steal by M. Beasley)
10:34.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,92-78,,
10:33.0,,,92-78,,Defensive rebound by T. Harris
10:27.0,,,92-78,,Turnover by I. Smith (bad pass; steal by M. Brogdon)
10:22.0,M. Beasley makes 2-pt shot from 1 ft (assist by M. Brogdon),2,94-78,,
9:58.0,,,94-78,,I. Smith misses 2-pt shot from 4 ft
9:58.0,Defensive rebound by G. Monroe,,94-78,,
9:48.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,96-78,,
9:48.0,,,96-78,,Detroit full timeout
9:47.0,,,96-78,,R. Jackson enters the game for I. Smith
9:31.0,,,96-80,2,T. Harris makes 2-pt shot from 14 ft
9:10.0,M. Beasley misses 2-pt shot from 17 ft,,96-80,,
9:10.0,,,96-80,,Defensive rebound by T. Harris
8:57.0,,,96-80,,S. Johnson misses 3-pt shot from 26 ft
8:56.0,,,96-80,,Offensive rebound by S. Johnson
8:51.0,,,96-80,,R. Jackson misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by G. Antetokounmpo,,96-80,,
8:47.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,98-80,,
8:47.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,98-80,,
8:47.0,Official timeout,,98-80,,
8:47.0,G. Antetokounmpo makes free throw 1 of 1,1,99-80,,
8:47.0,J. Parker enters the game for M. Beasley,,98-80,,
8:47.0,,,98-80,,K. Caldwell-Pope enters the game for J. Leuer
8:32.0,,,99-82,2,A. Baynes makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:10.0,Turnover by M. Brogdon (bad pass; steal by A. Baynes),,99-82,,
8:02.0,,,99-84,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
7:45.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker),2,101-84,,
7:20.0,,,101-84,,R. Jackson misses 2-pt shot from 16 ft
7:19.0,Defensive rebound by G. Monroe,,101-84,,
6:54.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by J. Parker),2,103-84,,
6:39.0,,,103-84,,S. Johnson misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by J. Parker,,103-84,,
6:35.0,J. Parker makes 2-pt shot at rim,2,105-84,,
6:35.0,Shooting foul by K. Caldwell-Pope (drawn by J. Parker),,105-84,,
6:35.0,J. Parker makes free throw 1 of 1,1,106-84,,
6:21.0,,,106-86,2,A. Baynes makes 2-pt shot at rim (assist by R. Jackson)
5:58.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Brogdon),3,109-86,,
5:42.0,,,109-86,,R. Jackson misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by J. Parker,,109-86,,
5:34.0,G. Antetokounmpo misses 2-pt shot at rim,,109-86,,
5:34.0,,,109-86,,Defensive rebound by A. Baynes
5:22.0,,,109-89,3,T. Harris makes 3-pt shot from 26 ft (assist by S. Johnson)
4:59.0,J. Parker makes 2-pt shot at rim,2,111-89,,
4:37.0,,,111-89,,R. Jackson misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by G. Antetokounmpo,,111-89,,
4:15.0,G. Monroe makes 2-pt shot from 20 ft (assist by M. Brogdon),2,113-89,,
4:15.0,,,113-89,,Detroit full timeout
4:15.0,,,113-89,,D. Hilliard enters the game for K. Caldwell-Pope
4:15.0,,,113-89,,H. Ellenson enters the game for R. Jackson
4:15.0,,,113-89,,I. Smith enters the game for T. Harris
4:15.0,,,113-89,,B. Marjanovic enters the game for A. Baynes
3:50.0,,,113-89,,H. Ellenson misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by J. Parker,,113-89,,
3:27.0,G. Monroe makes 2-pt shot from 15 ft (assist by J. Parker),2,115-89,,
3:12.0,,,115-89,,Turnover by H. Ellenson (bad pass; steal by G. Antetokounmpo)
3:05.0,J. Terry misses 3-pt shot from 25 ft,,115-89,,
3:05.0,,,115-89,,Defensive rebound by S. Johnson
2:43.0,,,115-89,,Turnover by I. Smith (palming)
2:43.0,Milwaukee full timeout,,115-89,,
2:43.0,T. Maker enters the game for G. Antetokounmpo,,115-89,,
2:43.0,M. Plumlee enters the game for J. Parker,,115-89,,
2:43.0,S. Novak enters the game for G. Monroe,,115-89,,
2:29.0,T. Maker misses 3-pt shot from 24 ft,,115-89,,
2:29.0,Offensive rebound by J. Terry,,115-89,,
2:20.0,M. Plumlee misses 2-pt shot from 4 ft,,115-89,,
2:19.0,,,115-89,,Defensive rebound by B. Marjanovic
2:10.0,,,115-91,2,B. Marjanovic makes 2-pt shot at rim (assist by S. Johnson)
1:49.0,T. Maker makes 2-pt shot from 18 ft,2,117-91,,
1:32.0,,,117-93,2,D. Hilliard makes 2-pt shot from 8 ft (assist by I. Smith)
1:20.0,M. Plumlee makes 2-pt shot at rim (assist by M. Brogdon),2,119-93,,
1:00.0,,,119-93,,B. Marjanovic misses 2-pt shot from 6 ft
0:59.0,Defensive rebound by S. Novak,,119-93,,
0:49.0,Turnover by M. Brogdon (lost ball; steal by I. Smith),,119-93,,
0:46.0,,,119-93,,Turnover by S. Johnson (lost ball; steal by J. Terry)
0:35.0,T. Maker misses 3-pt shot from 25 ft,,119-93,,
0:35.0,Offensive rebound by J. Terry,,119-93,,
0:19.0,S. Novak misses 3-pt shot from 26 ft,,119-93,,
0:18.0,,,119-93,,Defensive rebound by B. Marjanovic
0:09.0,,,119-93,,S. Johnson misses 2-pt shot from 8 ft
0:09.0,,,119-93,,Offensive rebound by B. Marjanovic
