time,Cleveland,pts.away,score,pts.home,Chicago
5:37.0,K. Irving makes 2-pt shot from 3 ft (assist by L. James),2,19-16,,
5:23.0,,,19-16,,J. Butler misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by T. Thompson,,19-16,,
5:13.0,L. James misses 2-pt shot from 2 ft,,19-16,,
5:11.0,Offensive rebound by T. Thompson,,19-16,,
5:11.0,T. Thompson makes 2-pt shot at rim,2,21-16,,
5:11.0,,,21-16,,Chicago full timeout
5:11.0,,,21-16,,I. Canaan enters the game for D. Wade
5:02.0,,,21-18,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
4:46.0,Turnover by T. Thompson (bad pass; steal by R. Rondo),,21-18,,
4:42.0,,,21-20,2,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo)
4:36.0,L. James makes 2-pt shot from 1 ft,2,23-20,,
4:28.0,,,23-22,2,J. Butler makes 2-pt shot from 11 ft (assist by R. Rondo)
4:11.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,25-22,,
3:58.0,,,25-22,,J. Butler misses 2-pt shot from 17 ft
3:58.0,Defensive rebound by Team,,25-22,,
3:49.0,K. Irving makes 2-pt shot from 12 ft,2,27-22,,
3:49.0,Shooting foul by I. Canaan (drawn by K. Irving),,27-22,,
3:49.0,K. Irving makes free throw 1 of 1,1,28-22,,
3:34.0,,,28-24,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo)
3:20.0,T. Thompson makes 2-pt shot from 3 ft (assist by K. Irving),2,30-24,,
3:20.0,Shooting foul by R. Lopez (drawn by T. Thompson),,30-24,,
3:20.0,,,30-24,,Violation by R. Rondo (lane)
3:20.0,T. Thompson makes free throw 1 of 1,1,31-24,,
3:20.0,I. Shumpert enters the game for K. Irving,,30-24,,
3:20.0,R. Jefferson enters the game for L. James,,30-24,,
3:20.0,,,30-24,,N. Mirotic enters the game for R. Lopez
3:08.0,,,31-26,2,J. Butler makes 2-pt shot from 1 ft
2:54.0,K. Love misses 2-pt shot from 16 ft,,31-26,,
2:53.0,,,31-26,,Defensive rebound by R. Rondo
2:43.0,,,31-26,,Turnover by N. Mirotic (bad pass; steal by K. Love)
2:36.0,Turnover by K. Love (3 sec),,31-26,,
2:36.0,Cleveland full timeout,,31-26,,
2:36.0,,,31-26,,R. Lopez enters the game for J. Butler
2:36.0,,,31-26,,J. Grant enters the game for T. Gibson
2:36.0,,,31-26,,D. Wade enters the game for R. Rondo
2:25.0,Violation by T. Thompson (def goaltending),,31-26,,
2:25.0,,,31-28,2,D. Wade makes 2-pt shot from 7 ft (assist by J. Grant)
2:12.0,Turnover by I. Shumpert (bad pass; steal by D. Wade),,31-28,,
2:12.0,,,31-28,,Turnover by D. Wade (bad pass)
1:59.0,Turnover by J. Smith (lost ball; steal by N. Mirotic),,31-28,,
1:46.0,,,31-30,2,R. Lopez makes 2-pt shot from 5 ft (assist by N. Mirotic)
1:36.0,K. Love misses 2-pt shot from 12 ft,,31-30,,
1:36.0,,,31-30,,Defensive rebound by Team
1:25.0,,,31-30,,N. Mirotic misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by J. Smith,,31-30,,
1:09.0,K. Love misses 2-pt shot from 19 ft,,31-30,,
1:08.0,,,31-30,,Defensive rebound by J. Grant
0:55.0,,,31-30,,I. Canaan misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by T. Thompson,,31-30,,
0:47.0,Offensive charge foul by I. Shumpert,,31-30,,
0:47.0,Turnover by I. Shumpert (offensive foul),,31-30,,
0:37.0,,,31-30,,D. Wade misses 2-pt shot from 16 ft
0:34.0,,,31-30,,Offensive rebound by R. Lopez
0:34.0,,,31-30,,N. Mirotic misses 2-pt shot from 1 ft
0:33.0,,,31-30,,Offensive rebound by Team
0:30.0,,,31-30,,R. Lopez misses 2-pt shot from 14 ft
0:29.0,Defensive rebound by K. Love,,31-30,,
0:11.0,I. Shumpert makes 2-pt shot from 2 ft,2,33-30,,
0:04.0,,,33-30,,D. Wade misses 2-pt shot from 4 ft (block by R. Jefferson)
0:04.0,Defensive rebound by Team,,33-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,I. Shumpert misses 2-pt shot from 21 ft,,33-30,,
11:32.0,,,33-30,,Defensive rebound by N. Mirotic
11:23.0,,,33-32,2,J. Grant makes 2-pt shot from 5 ft
11:11.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,36-32,,
10:46.0,,,36-32,,D. Wade misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by L. James,,36-32,,
10:34.0,L. James makes 2-pt shot from 3 ft,2,38-32,,
10:11.0,,,38-32,,N. Mirotic misses 2-pt shot from 16 ft
10:10.0,Defensive rebound by L. James,,38-32,,
10:02.0,C. Frye makes 2-pt shot at rim (assist by L. James),2,40-32,,
10:02.0,,,40-32,,Chicago full timeout
9:41.0,,,40-34,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Butler)
9:29.0,K. Irving makes 2-pt shot from 2 ft (assist by I. Shumpert),2,42-34,,
9:12.0,,,42-34,,J. Butler misses 2-pt shot from 2 ft
9:12.0,,,42-34,,Offensive rebound by D. Wade
9:12.0,,,42-34,,Shooting foul by I. Shumpert (drawn by D. Wade)
9:12.0,,,42-34,,D. Wade misses free throw 1 of 2
9:12.0,,,42-34,,Offensive rebound by Team
9:12.0,,,42-35,1,D. Wade makes free throw 2 of 2
9:12.0,,,42-34,,T. Gibson enters the game for N. Mirotic
8:54.0,K. Irving misses 2-pt shot from 1 ft,,42-35,,
8:53.0,,,42-35,,Defensive rebound by T. Gibson
8:43.0,,,42-37,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Grant)
8:33.0,K. Irving makes 2-pt shot from 2 ft,2,44-37,,
8:33.0,Shooting foul by J. Grant (drawn by K. Irving),,44-37,,
8:33.0,K. Irving misses free throw 1 of 1,,44-37,,
8:33.0,,,44-37,,R. Rondo enters the game for J. Grant
8:31.0,,,44-37,,Defensive rebound by R. Rondo
8:19.0,,,44-37,,I. Canaan misses 3-pt shot from 25 ft
8:18.0,,,44-37,,Offensive rebound by J. Butler
8:02.0,,,44-39,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo)
7:43.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,47-39,,
7:34.0,,,47-39,,Turnover by D. Wade (dbl dribble)
7:25.0,Turnover by K. Irving (bad pass; steal by T. Gibson),,47-39,,
7:22.0,,,47-41,2,I. Canaan makes 2-pt shot at rim (assist by T. Gibson)
6:59.0,I. Shumpert makes 2-pt shot from 2 ft (assist by L. James),2,49-41,,
6:36.0,,,49-41,,J. Butler misses 2-pt shot from 14 ft
6:35.0,Defensive rebound by K. Irving,,49-41,,
6:28.0,K. Irving misses 2-pt shot from 2 ft (block by R. Rondo),,49-41,,
6:27.0,Offensive rebound by K. Irving,,49-41,,
6:27.0,K. Irving misses 2-pt shot from 2 ft,,49-41,,
6:26.0,,,49-41,,Defensive rebound by J. Butler
6:23.0,,,49-41,,D. Wade misses 2-pt shot from 2 ft
6:22.0,,,49-41,,Offensive rebound by J. Butler
6:22.0,,,49-43,2,J. Butler makes 2-pt shot from 2 ft
6:22.0,Cleveland full timeout,,49-43,,
6:22.0,J. Smith enters the game for I. Shumpert,,49-43,,
6:22.0,,,49-43,,D. Valentine enters the game for D. Wade
6:02.0,C. Frye misses 3-pt shot from 27 ft,,49-43,,
6:00.0,,,49-43,,Defensive rebound by R. Rondo
5:54.0,,,49-43,,I. Canaan misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by K. Irving,,49-43,,
5:48.0,Turnover by L. James (discontinued dribble),,49-43,,
5:48.0,K. Love enters the game for R. Jefferson,,49-43,,
5:37.0,,,49-43,,R. Rondo misses 2-pt shot from 7 ft
5:36.0,Defensive rebound by C. Frye,,49-43,,
5:31.0,Turnover by L. James (lost ball; steal by J. Butler),,49-43,,
5:21.0,,,49-45,2,R. Rondo makes 2-pt shot from 1 ft (assist by J. Butler)
5:07.0,K. Love misses 3-pt shot from 25 ft,,49-45,,
5:06.0,,,49-45,,Defensive rebound by T. Gibson
4:59.0,,,49-47,2,I. Canaan makes 2-pt shot from 1 ft
4:37.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,51-47,,
4:23.0,,,51-49,2,R. Rondo makes 2-pt shot from 2 ft
4:07.0,C. Frye makes 2-pt shot from 9 ft (assist by K. Irving),2,53-49,,
3:49.0,,,53-49,,Turnover by R. Rondo (bad pass; steal by C. Frye)
3:49.0,,,53-49,,Personal foul by R. Rondo (drawn by L. James)
3:48.0,T. Thompson enters the game for C. Frye,,53-49,,
3:48.0,,,53-49,,R. Lopez enters the game for I. Canaan
3:36.0,J. Smith misses 3-pt shot from 27 ft,,53-49,,
3:35.0,,,53-49,,Defensive rebound by R. Rondo
3:34.0,,,53-49,,Turnover by T. Gibson (3 sec)
3:17.0,,,53-49,,Def 3 sec tech foul by R. Lopez
3:17.0,K. Irving makes technical free throw,1,54-49,,
3:03.0,L. James misses 2-pt shot from 14 ft (block by J. Butler),,54-49,,
3:02.0,,,54-49,,Defensive rebound by R. Rondo
2:57.0,,,54-51,2,R. Rondo makes 2-pt shot from 1 ft
2:47.0,L. James misses 2-pt shot from 12 ft,,54-51,,
2:45.0,Offensive rebound by T. Thompson,,54-51,,
2:39.0,K. Irving misses 2-pt shot from 2 ft,,54-51,,
2:39.0,,,54-51,,Defensive rebound by Team
2:39.0,,,54-51,,Chicago full timeout
2:39.0,,,54-51,,D. Wade enters the game for D. Valentine
2:25.0,,,54-53,2,R. Lopez makes 2-pt shot from 6 ft (assist by R. Rondo)
2:06.0,K. Love makes 2-pt shot from 2 ft,2,56-53,,
1:48.0,,,56-53,,D. Wade misses 2-pt shot from 13 ft
1:47.0,Defensive rebound by L. James,,56-53,,
1:44.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,58-53,,
1:24.0,,,58-53,,J. Butler misses 2-pt shot from 10 ft
1:23.0,,,58-53,,Offensive rebound by J. Butler
1:23.0,,,58-53,,Shooting foul by T. Thompson (drawn by J. Butler)
1:23.0,,,58-54,1,J. Butler makes free throw 1 of 2
1:23.0,,,58-55,1,J. Butler makes free throw 2 of 2
1:12.0,,,58-55,,Personal foul by T. Gibson (drawn by K. Love)
1:05.0,K. Love misses 2-pt shot from 17 ft,,58-55,,
1:03.0,,,58-55,,Defensive rebound by D. Wade
0:53.0,,,58-55,,Shooting foul by K. Love (drawn by T. Gibson)
0:53.0,,,58-56,1,T. Gibson makes free throw 1 of 2
0:53.0,,,58-57,1,T. Gibson makes free throw 2 of 2
0:38.0,L. James misses 3-pt shot from 26 ft,,58-57,,
0:37.0,,,58-57,,Defensive rebound by R. Rondo
0:29.0,,,58-57,,Turnover by D. Wade (bad pass; steal by J. Smith)
0:27.0,Turnover by K. Love (bad pass; steal by J. Butler),,58-57,,
0:27.0,,,58-59,2,T. Gibson makes 2-pt shot at rim
0:06.0,Shooting foul by T. Gibson (drawn by K. Love),,58-59,,
0:06.0,K. Love makes free throw 1 of 3,1,59-59,,
0:06.0,K. Love makes free throw 2 of 3,1,60-59,,
0:06.0,K. Love misses free throw 3 of 3,,60-59,,
0:06.0,,,60-59,,N. Mirotic enters the game for R. Lopez
0:03.0,,,60-59,,Defensive rebound by D. Wade
0:00.0,,,60-59,,N. Mirotic misses 3-pt shot from 26 ft
0:00.0,,,60-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Irving makes 2-pt shot from 17 ft (assist by K. Love),2,62-59,,
11:26.0,,,62-61,2,J. Butler makes 2-pt shot from 20 ft (assist by D. Wade)
11:07.0,K. Irving misses 3-pt shot from 26 ft,,62-61,,
11:06.0,,,62-61,,Defensive rebound by T. Gibson
10:57.0,,,62-63,2,R. Lopez makes 2-pt shot from 1 ft (assist by R. Rondo)
10:41.0,L. James misses 2-pt shot from 19 ft,,62-63,,
10:40.0,,,62-63,,Defensive rebound by J. Butler
10:29.0,,,62-63,,J. Butler misses 2-pt shot from 13 ft
10:27.0,,,62-63,,Offensive rebound by R. Lopez
10:27.0,,,62-63,,R. Lopez misses 2-pt shot from 2 ft
10:26.0,,,62-63,,Offensive rebound by R. Rondo
10:19.0,,,62-65,2,D. Wade makes 2-pt shot from 4 ft (assist by T. Gibson)
10:04.0,L. James makes 2-pt shot from 16 ft,2,64-65,,
9:38.0,,,64-65,,J. Butler misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by T. Thompson,,64-65,,
9:24.0,K. Irving misses 2-pt shot from 14 ft,,64-65,,
9:23.0,,,64-65,,Defensive rebound by T. Gibson
9:13.0,,,64-67,2,T. Gibson makes 2-pt shot from 1 ft (assist by D. Wade)
9:13.0,,,64-67,,Shooting foul by J. Smith (drawn by T. Gibson)
9:13.0,,,64-68,1,T. Gibson makes free throw 1 of 1
8:56.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Love),2,66-68,,
8:56.0,Shooting foul by D. Wade (drawn by T. Thompson),,66-68,,
8:56.0,T. Thompson misses free throw 1 of 1,,66-68,,
8:55.0,,,66-68,,Defensive rebound by R. Rondo
8:42.0,Personal foul by L. James (drawn by R. Lopez),,66-68,,
8:28.0,,,66-68,,J. Butler misses 3-pt shot from 26 ft
8:26.0,,,66-68,,Offensive rebound by R. Rondo
8:15.0,,,66-71,3,D. Wade makes 3-pt shot from 24 ft
7:56.0,L. James misses 2-pt shot from 19 ft,,66-71,,
7:55.0,,,66-71,,Defensive rebound by J. Butler
7:50.0,,,66-71,,Shooting foul by T. Thompson (drawn by J. Butler)
7:50.0,,,66-71,,J. Butler misses free throw 1 of 2
7:50.0,,,66-71,,Offensive rebound by Team
7:50.0,,,66-72,1,J. Butler makes free throw 2 of 2
7:37.0,Turnover by T. Thompson (lost ball; steal by R. Rondo),,66-72,,
7:32.0,,,66-72,,D. Wade misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by J. Smith,,66-72,,
7:26.0,,,66-72,,Personal take foul by R. Rondo (drawn by L. James)
7:08.0,K. Love misses 2-pt shot from 10 ft,,66-72,,
7:07.0,,,66-72,,Defensive rebound by R. Lopez
6:58.0,,,66-74,2,R. Rondo makes 2-pt shot from 1 ft
6:41.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,68-74,,
6:19.0,,,68-74,,R. Rondo misses 2-pt shot from 21 ft
6:18.0,Defensive rebound by L. James,,68-74,,
6:13.0,Shooting foul by R. Rondo (drawn by T. Thompson),,68-74,,
6:13.0,T. Thompson misses free throw 1 of 2,,68-74,,
6:13.0,Offensive rebound by Team,,68-74,,
6:13.0,T. Thompson misses free throw 2 of 2,,68-74,,
6:13.0,,,68-74,,I. Canaan enters the game for D. Wade
6:11.0,,,68-74,,Defensive rebound by T. Gibson
5:59.0,,,68-76,2,R. Lopez makes 2-pt shot from 6 ft (assist by T. Gibson)
5:47.0,,,68-76,,Personal foul by R. Rondo (drawn by K. Irving)
5:47.0,,,68-76,,Chicago full timeout
5:47.0,,,68-76,,D. Wade enters the game for R. Rondo
5:35.0,L. James makes 2-pt shot from 21 ft,2,70-76,,
5:14.0,,,70-78,2,I. Canaan makes 2-pt shot from 18 ft (assist by D. Wade)
4:47.0,Turnover by Team (shot clock),,70-78,,
4:33.0,,,70-78,,D. Wade misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by T. Thompson,,70-78,,
4:22.0,K. Love makes 3-pt shot from 26 ft (assist by T. Thompson),3,73-78,,
3:57.0,,,73-78,,T. Gibson misses 2-pt shot at rim
3:57.0,,,73-78,,Offensive rebound by Team
3:57.0,Loose ball foul by K. Love (drawn by R. Lopez),,73-78,,
3:48.0,,,73-81,3,I. Canaan makes 3-pt shot from 23 ft (assist by J. Butler)
3:35.0,K. Irving misses 2-pt shot from 11 ft,,73-81,,
3:34.0,,,73-81,,Defensive rebound by T. Gibson
3:23.0,,,73-81,,Offensive foul by R. Lopez
3:23.0,,,73-81,,Turnover by R. Lopez (offensive foul)
3:23.0,,,73-81,,N. Mirotic enters the game for T. Gibson
3:11.0,K. Love misses 3-pt shot from 26 ft,,73-81,,
3:09.0,Offensive rebound by K. Irving,,73-81,,
3:00.0,K. Irving misses 2-pt shot from 3 ft (block by J. Butler),,73-81,,
2:58.0,,,73-81,,Defensive rebound by N. Mirotic
2:57.0,Personal foul by K. Love (drawn by J. Butler),,73-81,,
2:57.0,Cleveland full timeout,,73-81,,
2:57.0,,,73-81,,J. Butler misses free throw 1 of 2
2:57.0,,,73-81,,Offensive rebound by Team
2:57.0,,,73-82,1,J. Butler makes free throw 2 of 2
2:41.0,K. Love makes 2-pt shot at rim (assist by L. James),2,75-82,,
2:22.0,,,75-84,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Butler)
1:59.0,K. Irving misses 2-pt shot from 13 ft,,75-84,,
1:57.0,,,75-84,,Defensive rebound by J. Butler
1:46.0,,,75-86,2,J. Butler makes 2-pt shot from 2 ft (assist by N. Mirotic)
1:25.0,L. James makes 3-pt shot from 26 ft,3,78-86,,
1:04.0,,,78-88,2,D. Wade makes 2-pt shot from 18 ft
0:54.0,Turnover by L. James (offensive foul),,78-88,,
0:54.0,Offensive charge foul by L. James,,78-88,,
0:54.0,C. Frye enters the game for T. Thompson,,78-88,,
0:54.0,I. Shumpert enters the game for K. Irving,,78-88,,
0:46.0,,,78-88,,Offensive foul by N. Mirotic
0:46.0,,,78-88,,Turnover by N. Mirotic (offensive foul)
0:46.0,,,78-88,,T. Gibson enters the game for R. Lopez
0:30.0,L. James makes 2-pt shot from 16 ft,2,80-88,,
0:21.0,,,80-88,,Offensive foul by J. Butler
0:21.0,,,80-88,,Turnover by J. Butler (offensive foul)
0:01.0,J. Smith misses 3-pt shot from 26 ft,,80-88,,
0:00.0,,,80-88,,Defensive rebound by N. Mirotic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-88,,D. Wade misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by I. Shumpert,,80-88,,
11:39.0,,,80-88,,Personal foul by D. Wade (drawn by C. Frye)
11:34.0,,,80-88,,Personal foul by I. Canaan (drawn by L. James)
11:25.0,C. Frye makes 2-pt shot from 1 ft (assist by L. James),2,82-88,,
11:06.0,,,82-90,2,T. Gibson makes 2-pt shot from 7 ft (assist by R. Rondo)
10:50.0,C. Frye makes 2-pt shot from 2 ft (assist by I. Shumpert),2,84-90,,
10:25.0,,,84-90,,D. Wade misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by Team,,84-90,,
10:25.0,,,84-90,,Loose ball foul by T. Gibson (drawn by C. Frye)
10:18.0,Turnover by L. James (bad pass),,84-90,,
10:02.0,,,84-92,2,D. Wade makes 2-pt shot from 1 ft (assist by R. Rondo)
9:45.0,Turnover by L. James (lost ball; steal by D. Wade),,84-92,,
9:38.0,,,84-92,,I. Canaan misses 3-pt shot from 23 ft
9:37.0,,,84-92,,Offensive rebound by D. Wade
9:34.0,,,84-92,,Turnover by R. Rondo (bad pass; steal by I. Shumpert)
9:26.0,R. Jefferson makes 3-pt shot from 23 ft (assist by I. Shumpert),3,87-92,,
9:10.0,,,87-92,,N. Mirotic misses 3-pt shot from 27 ft
9:09.0,Defensive rebound by I. Shumpert,,87-92,,
8:55.0,L. James misses 3-pt shot from 26 ft,,87-92,,
8:54.0,,,87-92,,Defensive rebound by N. Mirotic
8:45.0,,,87-92,,D. Wade misses 3-pt shot from 26 ft
8:44.0,,,87-92,,Offensive rebound by T. Gibson
8:37.0,,,87-92,,N. Mirotic misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by K. Love,,87-92,,
8:29.0,L. James makes 2-pt shot from 1 ft,2,89-92,,
8:29.0,,,89-92,,Chicago full timeout
8:29.0,,,89-92,,J. Butler enters the game for D. Wade
8:09.0,,,89-92,,N. Mirotic misses 3-pt shot from 27 ft
8:08.0,,,89-92,,Offensive rebound by R. Rondo
8:08.0,,,89-94,2,R. Rondo makes 2-pt shot from 1 ft
7:49.0,I. Shumpert misses 3-pt shot from 25 ft,,89-94,,
7:48.0,,,89-94,,Defensive rebound by N. Mirotic
7:38.0,,,89-94,,J. Butler misses 2-pt shot from 21 ft
7:37.0,,,89-94,,Offensive rebound by N. Mirotic
7:20.0,,,89-97,3,R. Rondo makes 3-pt shot from 25 ft (assist by T. Gibson)
7:07.0,L. James makes 2-pt shot from 1 ft,2,91-97,,
6:47.0,,,91-99,2,J. Butler makes 2-pt shot from 2 ft
6:30.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,94-99,,
6:16.0,,,94-99,,Shooting foul by C. Frye (drawn by J. Butler)
6:16.0,,,94-100,1,J. Butler makes free throw 1 of 2
6:16.0,,,94-101,1,J. Butler makes free throw 2 of 2
6:16.0,K. Irving enters the game for R. Jefferson,,94-100,,
5:51.0,L. James misses 2-pt shot from 17 ft,,94-101,,
5:50.0,,,94-101,,Defensive rebound by N. Mirotic
5:33.0,,,94-101,,R. Rondo misses 2-pt shot from 6 ft
5:32.0,Defensive rebound by C. Frye,,94-101,,
5:23.0,K. Irving misses 2-pt shot from 11 ft,,94-101,,
5:22.0,,,94-101,,Defensive rebound by N. Mirotic
4:59.0,,,94-101,,J. Butler misses 2-pt shot from 17 ft
4:58.0,,,94-101,,Offensive rebound by T. Gibson
4:58.0,,,94-101,,T. Gibson misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by I. Shumpert,,94-101,,
4:50.0,I. Shumpert makes 2-pt shot from 2 ft (assist by K. Irving),2,96-101,,
4:28.0,,,96-103,2,N. Mirotic makes 2-pt shot from 13 ft (assist by R. Rondo)
4:07.0,K. Love makes 3-pt shot from 22 ft (assist by L. James),3,99-103,,
3:48.0,Personal foul by K. Irving (drawn by T. Gibson),,99-103,,
3:48.0,,,99-103,,Chicago full timeout
3:48.0,,,99-103,,D. Wade enters the game for I. Canaan
3:33.0,,,99-103,,D. Wade misses 2-pt shot from 11 ft
3:31.0,Defensive rebound by L. James,,99-103,,
3:24.0,K. Love misses 3-pt shot from 24 ft,,99-103,,
3:22.0,,,99-103,,Defensive rebound by J. Butler
3:15.0,,,99-103,,Shooting foul by C. Frye (drawn by J. Butler)
3:15.0,,,99-104,1,J. Butler makes free throw 1 of 2
3:15.0,,,99-105,1,J. Butler makes free throw 2 of 2
3:04.0,K. Irving makes 2-pt shot from 3 ft (assist by L. James),2,101-105,,
2:39.0,,,101-107,2,D. Wade makes 2-pt shot from 3 ft
2:30.0,Cleveland full timeout,,101-107,,
2:30.0,J. Smith enters the game for I. Shumpert,,101-107,,
2:14.0,Turnover by L. James (lost ball; steal by N. Mirotic),,101-107,,
1:58.0,,,101-107,,N. Mirotic misses 3-pt shot from 23 ft
1:58.0,,,101-107,,Offensive rebound by D. Wade
1:58.0,,,101-109,2,D. Wade makes 2-pt shot from 1 ft
1:53.0,Turnover by L. James (bad pass),,101-109,,
1:34.0,,,101-109,,J. Butler misses 2-pt shot from 21 ft
1:33.0,Defensive rebound by K. Love,,101-109,,
1:11.0,K. Irving misses 3-pt shot from 24 ft (block by N. Mirotic),,101-109,,
1:11.0,Offensive rebound by K. Irving,,101-109,,
1:11.0,K. Irving misses 3-pt shot from 24 ft,,101-109,,
1:11.0,Offensive rebound by Team,,101-109,,
1:11.0,Turnover by Team (shot clock),,101-109,,
0:49.0,,,101-109,,T. Gibson misses 2-pt shot from 7 ft
0:48.0,Defensive rebound by K. Love,,101-109,,
0:37.0,J. Smith misses 3-pt shot from 26 ft,,101-109,,
0:37.0,,,101-109,,Defensive rebound by R. Rondo
0:18.0,,,101-109,,Turnover by D. Wade (traveling)
0:18.0,Cleveland full timeout,,101-109,,
0:11.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,103-109,,
0:09.0,,,103-109,,Turnover by R. Rondo (bad pass; steal by K. Irving)
0:09.0,K. Irving makes 2-pt shot from 2 ft,2,105-109,,
0:08.0,Personal take foul by J. Smith (drawn by J. Butler),,105-109,,
0:07.0,Personal foul by J. Smith (drawn by J. Butler),,105-109,,
0:07.0,,,105-110,1,J. Butler makes free throw 1 of 2
0:07.0,,,105-111,1,J. Butler makes free throw 2 of 2
0:07.0,Cleveland full timeout,,105-111,,
0:06.0,Turnover by L. James (bad pass; steal by J. Butler),,105-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
