time,Orlando,pts.away,score,pts.home,Minnesota
8:42.0,Defensive rebound by N. Vucevic,,58-57,,
8:33.0,S. Ibaka misses 2-pt shot from 7 ft,,58-57,,
8:32.0,,,58-57,,Defensive rebound by K. Towns
8:30.0,,,58-57,,Turnover by K. Towns (bad pass; steal by E. Payton)
8:26.0,Shooting foul by G. Dieng (drawn by N. Vucevic),,58-57,,
8:26.0,N. Vucevic makes free throw 1 of 2,1,59-57,,
8:26.0,N. Vucevic misses free throw 2 of 2,,59-57,,
8:25.0,,,59-57,,Defensive rebound by G. Dieng
8:22.0,,,59-57,,Shooting foul by S. Ibaka (drawn by R. Rubio)
8:22.0,,,59-57,,R. Rubio misses free throw 1 of 2
8:22.0,,,59-57,,Offensive rebound by Team
8:22.0,,,59-58,1,R. Rubio makes free throw 2 of 2
8:08.0,A. Gordon misses 2-pt shot from 19 ft,,59-58,,
8:07.0,Offensive rebound by C. Watson,,59-58,,
8:01.0,E. Payton makes 3-pt shot from 25 ft (assist by S. Ibaka),3,62-58,,
7:42.0,,,62-60,2,K. Towns makes 2-pt shot from 2 ft (assist by A. Wiggins)
7:20.0,E. Payton misses 2-pt shot from 6 ft (block by R. Rubio),,62-60,,
7:19.0,,,62-60,,Defensive rebound by G. Dieng
7:11.0,,,62-60,,R. Rubio misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by A. Gordon,,62-60,,
7:07.0,,,62-60,,Personal foul by R. Rubio (drawn by A. Gordon)
6:59.0,E. Payton misses 3-pt shot from 23 ft,,62-60,,
6:58.0,,,62-60,,Defensive rebound by G. Dieng
6:44.0,Personal foul by S. Ibaka (drawn by K. Towns),,62-60,,
6:32.0,,,62-60,,G. Dieng misses 2-pt shot at rim (block by S. Ibaka)
6:31.0,Defensive rebound by N. Vucevic,,62-60,,
6:27.0,E. Payton misses 2-pt shot from 1 ft (block by R. Rubio),,62-60,,
6:26.0,Offensive rebound by Team,,62-60,,
6:26.0,Shooting foul by A. Wiggins (drawn by N. Vucevic),,62-60,,
6:26.0,N. Vucevic makes free throw 1 of 2,1,63-60,,
6:26.0,N. Vucevic misses free throw 2 of 2,,63-60,,
6:26.0,,,63-60,,Defensive rebound by G. Dieng
6:21.0,,,63-60,,Offensive foul by K. Towns
6:21.0,,,63-60,,Turnover by K. Towns (offensive foul)
