time,Denver,pts.away,score,pts.home,Portland
6:36.0,,,7-11,2,M. Plumlee makes 2-pt shot from 21 ft (assist by D. Lillard)
6:18.0,K. Faried misses 2-pt shot from 20 ft,,7-11,,
6:18.0,,,7-11,,Defensive rebound by M. Plumlee
6:09.0,,,7-11,,C. McCollum misses 2-pt shot from 2 ft
6:09.0,,,7-11,,Offensive rebound by M. Plumlee
6:08.0,,,7-13,2,M. Plumlee makes 2-pt shot from 1 ft
6:07.0,Denver full timeout,,7-13,,
6:07.0,J. Murray enters the game for J. Nelson,,7-13,,
6:07.0,N. Jokic enters the game for J. Nurkic,,7-13,,
5:56.0,E. Mudiay misses 2-pt shot from 1 ft,,7-13,,
5:55.0,,,7-13,,Defensive rebound by M. Plumlee
5:48.0,,,7-13,,Turnover by D. Lillard (bad pass)
5:27.0,N. Jokic misses 2-pt shot from 14 ft,,7-13,,
5:27.0,Offensive rebound by K. Faried,,7-13,,
5:22.0,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried),3,10-13,,
5:05.0,,,10-13,,E. Turner misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by J. Murray,,10-13,,
4:56.0,K. Faried makes 2-pt shot at rim (assist by N. Jokic),2,12-13,,
4:41.0,,,12-13,,D. Lillard misses 2-pt shot from 12 ft
4:40.0,Defensive rebound by Team,,12-13,,
4:40.0,,,12-13,,A. Crabbe enters the game for C. McCollum
4:40.0,,,12-13,,N. Vonleh enters the game for M. Leonard
4:23.0,N. Jokic misses 2-pt shot from 2 ft (block by M. Plumlee),,12-13,,
4:22.0,,,12-13,,Defensive rebound by D. Lillard
4:13.0,,,12-13,,E. Turner misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by N. Jokic,,12-13,,
4:06.0,D. Gallinari misses 2-pt shot from 2 ft,,12-13,,
4:06.0,Offensive rebound by K. Faried,,12-13,,
4:06.0,K. Faried makes 2-pt shot at rim,2,14-13,,
3:38.0,,,14-13,,A. Crabbe misses 3-pt shot from 25 ft
3:36.0,,,14-13,,Offensive rebound by M. Plumlee
3:33.0,,,14-13,,A. Crabbe misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by K. Faried,,14-13,,
3:19.0,Shooting foul by N. Vonleh (drawn by K. Faried),,14-13,,
3:19.0,K. Faried makes free throw 1 of 2,1,15-13,,
3:19.0,K. Faried makes free throw 2 of 2,1,16-13,,
3:19.0,,,15-13,,E. Davis enters the game for M. Plumlee
3:19.0,W. Chandler enters the game for D. Gallinari,,15-13,,
3:01.0,,,16-13,,E. Turner misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by N. Jokic,,16-13,,
2:55.0,K. Faried makes 2-pt shot from 6 ft (assist by N. Jokic),2,18-13,,
2:55.0,Shooting foul by N. Vonleh (drawn by K. Faried),,18-13,,
2:55.0,,,18-13,,Portland full timeout
2:55.0,K. Faried makes free throw 1 of 1,1,19-13,,
2:55.0,J. Nelson enters the game for E. Mudiay,,18-13,,
2:41.0,,,19-15,2,D. Lillard makes 2-pt shot from 23 ft
2:28.0,,,19-15,,Personal foul by E. Turner (drawn by K. Faried)
2:28.0,K. Faried makes free throw 1 of 2,1,20-15,,
2:28.0,K. Faried makes free throw 2 of 2,1,21-15,,
2:11.0,,,21-15,,A. Crabbe misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by W. Chandler,,21-15,,
1:58.0,J. Nelson misses 3-pt shot from 25 ft,,21-15,,
1:55.0,,,21-15,,Defensive rebound by A. Crabbe
1:49.0,,,21-15,,D. Lillard misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by J. Murray,,21-15,,
1:40.0,Turnover by J. Murray (bad pass; steal by D. Lillard),,21-15,,
1:40.0,Personal foul by J. Nelson (drawn by D. Lillard),,21-15,,
1:24.0,,,21-15,,E. Turner misses 2-pt shot from 13 ft
1:24.0,Defensive rebound by Team,,21-15,,
1:08.0,W. Chandler makes 2-pt shot from 4 ft,2,23-15,,
0:55.0,,,23-17,2,D. Lillard makes 2-pt shot from 2 ft
0:45.0,J. Nelson makes 2-pt shot from 6 ft,2,25-17,,
0:32.0,,,25-20,3,D. Lillard makes 3-pt shot from 25 ft
0:12.0,W. Chandler misses 2-pt shot from 13 ft,,25-20,,
0:12.0,,,25-20,,Defensive rebound by E. Davis
0:09.0,,,25-20,,Turnover by E. Davis (bad pass; steal by K. Faried)
0:01.0,J. Nelson makes 3-pt shot from 25 ft,3,28-20,,
0:00.0,,,28-20,,Turnover by N. Vonleh (bad pass; steal by W. Chandler)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-22,2,A. Crabbe makes 2-pt shot from 22 ft (assist by E. Turner)
11:33.0,Turnover by J. Murray (step out of bounds),,28-22,,
11:25.0,,,28-22,,C. McCollum misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by J. Hernangomez,,28-22,,
11:09.0,J. Nelson misses 2-pt shot from 23 ft,,28-22,,
11:08.0,,,28-22,,Defensive rebound by A. Crabbe
10:58.0,,,28-24,2,E. Davis makes 2-pt shot from 6 ft (assist by C. McCollum)
10:45.0,Shooting foul by A. Crabbe (drawn by J. Murray),,28-24,,
10:45.0,J. Murray makes free throw 1 of 2,1,29-24,,
10:45.0,J. Murray makes free throw 2 of 2,1,30-24,,
10:45.0,,,29-24,,J. Layman enters the game for E. Turner
10:45.0,J. Nurkic enters the game for N. Jokic,,29-24,,
10:28.0,,,30-24,,Turnover by C. McCollum (lost ball; steal by J. Nelson)
10:24.0,J. Nelson makes 2-pt shot from 1 ft,2,32-24,,
10:06.0,,,32-24,,J. Layman misses 2-pt shot from 19 ft
10:05.0,Defensive rebound by J. Nurkic,,32-24,,
9:51.0,J. Nurkic makes 2-pt shot from 3 ft (assist by J. Nelson),2,34-24,,
9:51.0,,,34-24,,Portland full timeout
9:37.0,,,34-24,,C. McCollum misses 2-pt shot from 18 ft
9:36.0,,,34-24,,Offensive rebound by C. McCollum
9:28.0,,,34-24,,C. McCollum misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by J. Nurkic,,34-24,,
9:10.0,J. Nurkic misses 2-pt shot from 2 ft (block by J. Layman),,34-24,,
9:09.0,,,34-24,,Defensive rebound by M. Harkless
9:00.0,,,34-27,3,M. Harkless makes 3-pt shot from 25 ft (assist by C. McCollum)
8:47.0,J. Murray makes 3-pt shot from 24 ft (assist by J. Hernangomez),3,37-27,,
8:34.0,,,37-27,,E. Davis misses 2-pt shot at rim
8:34.0,,,37-27,,Offensive rebound by E. Davis
8:29.0,,,37-27,,J. Layman misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by J. Nurkic,,37-27,,
8:12.0,W. Chandler makes 2-pt shot from 3 ft,2,39-27,,
8:12.0,Shooting foul by J. Layman (drawn by W. Chandler),,39-27,,
8:12.0,W. Chandler makes free throw 1 of 1,1,40-27,,
8:12.0,E. Mudiay enters the game for J. Nelson,,39-27,,
7:58.0,,,40-27,,C. McCollum misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by W. Chandler,,40-27,,
7:52.0,Shooting foul by J. Layman (drawn by W. Chandler),,40-27,,
7:52.0,W. Chandler makes free throw 1 of 2,1,41-27,,
7:52.0,W. Chandler makes free throw 2 of 2,1,42-27,,
7:31.0,,,42-29,2,C. McCollum makes 2-pt shot from 1 ft
7:18.0,Turnover by J. Nurkic (bad pass),,42-29,,
7:18.0,,,42-29,,M. Plumlee enters the game for E. Davis
7:07.0,,,42-29,,A. Crabbe misses 2-pt shot from 22 ft
7:06.0,Defensive rebound by W. Chandler,,42-29,,
6:59.0,W. Chandler misses 2-pt shot from 2 ft,,42-29,,
6:58.0,Offensive rebound by J. Hernangomez,,42-29,,
6:58.0,J. Hernangomez makes 2-pt shot from 2 ft,2,44-29,,
6:58.0,,,44-29,,Portland full timeout
6:58.0,,,44-29,,E. Turner enters the game for J. Layman
6:58.0,D. Gallinari enters the game for J. Hernangomez,,44-29,,
6:44.0,,,44-31,2,C. McCollum makes 2-pt shot from 2 ft (assist by E. Turner)
6:29.0,W. Chandler makes 2-pt shot from 8 ft,2,46-31,,
6:09.0,,,46-31,,M. Plumlee misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by D. Gallinari,,46-31,,
5:55.0,J. Nurkic makes 2-pt shot from 7 ft,2,48-31,,
5:41.0,,,48-31,,E. Turner misses 2-pt shot from 3 ft (block by D. Gallinari)
5:41.0,,,48-31,,Offensive rebound by Team
5:41.0,Official timeout,,48-31,,
5:41.0,,,48-31,,D. Lillard enters the game for C. McCollum
5:41.0,J. Nelson enters the game for J. Murray,,48-31,,
5:34.0,,,48-31,,Shooting foul by W. Chandler (drawn by D. Lillard)
5:34.0,,,48-32,1,D. Lillard makes free throw 1 of 2
5:34.0,,,48-33,1,D. Lillard makes free throw 2 of 2
5:16.0,J. Nurkic misses 2-pt shot from 4 ft,,48-33,,
5:15.0,,,48-33,,Defensive rebound by E. Turner
5:06.0,,,48-35,2,E. Turner makes 2-pt shot from 14 ft
4:51.0,E. Mudiay misses 2-pt shot from 4 ft (block by A. Crabbe),,48-35,,
4:49.0,Offensive rebound by D. Gallinari,,48-35,,
4:42.0,D. Gallinari makes 2-pt shot from 17 ft,2,50-35,,
4:34.0,,,50-35,,D. Lillard misses 3-pt shot from 26 ft
4:34.0,,,50-35,,Offensive rebound by D. Lillard
4:24.0,,,50-37,2,M. Harkless makes 2-pt shot from 19 ft
3:57.0,D. Gallinari makes 2-pt shot from 20 ft,2,52-37,,
3:37.0,,,52-39,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
3:37.0,,,52-39,,Shooting foul by D. Gallinari (drawn by M. Plumlee)
3:37.0,,,52-39,,M. Plumlee misses free throw 1 of 1
3:37.0,K. Faried enters the game for W. Chandler,,52-39,,
3:36.0,,,52-39,,Offensive rebound by M. Harkless
3:21.0,,,52-39,,E. Turner misses 2-pt shot from 3 ft
3:21.0,,,52-39,,Offensive rebound by E. Turner
3:18.0,,,52-41,2,E. Turner makes 2-pt shot from 2 ft
3:18.0,Denver full timeout,,52-41,,
3:02.0,E. Mudiay misses 3-pt shot from 23 ft,,52-41,,
3:02.0,,,52-41,,Defensive rebound by M. Plumlee
2:49.0,,,52-41,,A. Crabbe misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by J. Nurkic,,52-41,,
2:35.0,E. Mudiay misses 2-pt shot from 5 ft,,52-41,,
2:35.0,,,52-41,,Defensive rebound by M. Harkless
2:28.0,,,52-41,,E. Turner misses 2-pt shot from 2 ft
2:27.0,,,52-41,,Offensive rebound by E. Turner
2:27.0,,,52-43,2,E. Turner makes 2-pt shot from 2 ft
2:01.0,K. Faried misses 2-pt shot from 8 ft,,52-43,,
2:00.0,,,52-43,,Defensive rebound by D. Lillard
1:51.0,Loose ball foul by K. Faried (drawn by M. Plumlee),,52-43,,
1:51.0,,,52-43,,C. McCollum enters the game for A. Crabbe
1:51.0,W. Chandler enters the game for J. Nurkic,,52-43,,
1:36.0,,,52-43,,E. Turner misses 2-pt shot from 16 ft
1:36.0,,,52-43,,Offensive rebound by M. Plumlee
1:36.0,Personal foul by J. Nelson (drawn by M. Plumlee),,52-43,,
1:36.0,,,52-43,,M. Plumlee misses free throw 1 of 2
1:36.0,,,52-43,,Offensive rebound by Team
1:36.0,,,52-44,1,M. Plumlee makes free throw 2 of 2
1:21.0,E. Mudiay misses 2-pt shot from 1 ft,,52-44,,
1:20.0,Offensive rebound by K. Faried,,52-44,,
1:19.0,Turnover by K. Faried (lost ball; steal by D. Lillard),,52-44,,
1:14.0,,,52-46,2,M. Harkless makes 2-pt shot from 1 ft
1:14.0,Denver full timeout,,52-46,,
1:00.0,J. Nelson misses 3-pt shot from 26 ft,,52-46,,
0:59.0,Offensive rebound by J. Nelson,,52-46,,
0:51.0,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nelson),3,55-46,,
0:36.0,,,55-48,2,E. Turner makes 2-pt shot from 14 ft
0:18.0,W. Chandler makes 2-pt shot from 16 ft,2,57-48,,
0:03.0,,,57-48,,Shooting foul by J. Nelson (drawn by D. Lillard)
0:03.0,,,57-49,1,D. Lillard makes free throw 1 of 2
0:03.0,,,57-50,1,D. Lillard makes free throw 2 of 2
0:03.0,J. Murray enters the game for J. Nelson,,57-49,,
0:03.0,,,57-49,,A. Crabbe enters the game for M. Harkless
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,57-53,3,D. Lillard makes 3-pt shot from 26 ft
11:30.0,Shooting foul by M. Leonard (drawn by J. Nurkic),,57-53,,
11:30.0,J. Nurkic makes free throw 1 of 2,1,58-53,,
11:30.0,J. Nurkic misses free throw 2 of 2,,58-53,,
11:28.0,Offensive rebound by D. Gallinari,,58-53,,
11:20.0,J. Nurkic misses 2-pt shot from 8 ft,,58-53,,
11:19.0,Offensive rebound by J. Nurkic,,58-53,,
11:17.0,J. Nurkic misses 2-pt shot from 4 ft,,58-53,,
11:17.0,Offensive rebound by Team,,58-53,,
11:17.0,,,58-53,,Loose ball foul by M. Leonard (drawn by K. Faried)
11:10.0,E. Mudiay misses 3-pt shot from 24 ft,,58-53,,
11:09.0,,,58-53,,Defensive rebound by D. Lillard
11:09.0,Personal foul by J. Nurkic (drawn by D. Lillard),,58-53,,
10:57.0,,,58-53,,D. Lillard misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by D. Gallinari,,58-53,,
10:52.0,Turnover by D. Gallinari (bad pass),,58-53,,
10:44.0,,,58-53,,M. Harkless misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by K. Faried,,58-53,,
10:34.0,D. Gallinari misses 2-pt shot from 21 ft,,58-53,,
10:34.0,,,58-53,,Defensive rebound by Team
10:34.0,Loose ball foul by J. Nurkic (drawn by M. Leonard),,58-53,,
10:22.0,,,58-55,2,C. McCollum makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:22.0,Denver full timeout,,58-55,,
10:04.0,D. Gallinari misses 2-pt shot from 3 ft,,58-55,,
10:03.0,Offensive rebound by K. Faried,,58-55,,
10:03.0,K. Faried makes 2-pt shot at rim,2,60-55,,
9:48.0,,,60-58,3,M. Leonard makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:32.0,E. Mudiay misses 3-pt shot from 23 ft,,60-58,,
9:31.0,Offensive rebound by K. Faried,,60-58,,
9:27.0,J. Nurkic misses 2-pt shot from 2 ft,,60-58,,
9:25.0,Offensive rebound by J. Nurkic,,60-58,,
9:17.0,Turnover by J. Nurkic (offensive goaltending),,60-58,,
9:09.0,,,60-61,3,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard)
8:58.0,D. Gallinari makes 2-pt shot from 1 ft,2,62-61,,
8:36.0,,,62-63,2,C. McCollum makes 2-pt shot from 9 ft
8:22.0,E. Mudiay misses 3-pt shot from 23 ft,,62-63,,
8:21.0,Offensive rebound by J. Nurkic,,62-63,,
8:20.0,J. Nurkic misses 2-pt shot from 2 ft (block by M. Harkless),,62-63,,
8:19.0,Jump ball: M. Harkless vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: M. Harkless vs. J. Nurkic (D. Lillard gains possession)
8:19.0,,,62-63,,Defensive rebound by Team
8:14.0,,,62-65,2,D. Lillard makes 2-pt shot from 1 ft
8:13.0,Denver full timeout,,62-65,,
8:13.0,N. Jokic enters the game for J. Nurkic,,62-65,,
8:13.0,J. Murray enters the game for E. Mudiay,,62-65,,
7:55.0,J. Murray misses 2-pt shot from 19 ft,,62-65,,
7:53.0,,,62-65,,Defensive rebound by C. McCollum
7:47.0,,,62-67,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:33.0,Offensive foul by N. Jokic,,62-67,,
7:33.0,Turnover by N. Jokic (offensive foul),,62-67,,
7:33.0,W. Chandler enters the game for K. Faried,,62-67,,
7:20.0,,,62-67,,M. Leonard misses 3-pt shot from 25 ft
7:19.0,,,62-67,,Offensive rebound by M. Plumlee
7:15.0,,,62-67,,Turnover by M. Plumlee (bad pass; steal by N. Jokic)
7:08.0,J. Murray misses 3-pt shot from 24 ft,,62-67,,
7:08.0,,,62-67,,Defensive rebound by M. Leonard
6:56.0,,,62-69,2,C. McCollum makes 2-pt shot from 15 ft (assist by D. Lillard)
6:39.0,D. Gallinari makes 2-pt shot from 14 ft,2,64-69,,
6:14.0,,,64-69,,M. Harkless misses 2-pt shot from 16 ft
6:14.0,Defensive rebound by N. Jokic,,64-69,,
6:05.0,D. Gallinari misses 3-pt shot from 24 ft,,64-69,,
6:03.0,,,64-69,,Defensive rebound by Team
5:54.0,Personal block foul by J. Murray (drawn by D. Lillard),,64-69,,
5:45.0,,,64-71,2,M. Leonard makes 2-pt shot from 20 ft (assist by C. McCollum)
5:25.0,J. Nelson misses 2-pt shot from 5 ft,,64-71,,
5:24.0,,,64-71,,Defensive rebound by D. Lillard
5:18.0,,,64-73,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee)
5:16.0,Denver full timeout,,64-73,,
5:03.0,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Chandler),3,67-73,,
4:45.0,,,67-73,,D. Lillard misses 2-pt shot from 21 ft
4:44.0,Defensive rebound by D. Gallinari,,67-73,,
4:33.0,J. Murray misses 2-pt shot from 15 ft,,67-73,,
4:32.0,Offensive rebound by Team,,67-73,,
4:32.0,,,67-73,,E. Turner enters the game for M. Leonard
4:32.0,,,67-73,,E. Davis enters the game for M. Plumlee
4:28.0,Turnover by J. Murray (lost ball),,67-73,,
4:17.0,,,67-73,,C. McCollum misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by W. Chandler,,67-73,,
4:09.0,Turnover by J. Nelson (bad pass; steal by E. Davis),,67-73,,
4:05.0,,,67-73,,Shooting foul by W. Chandler (drawn by M. Harkless)
4:05.0,,,67-74,1,M. Harkless makes free throw 1 of 2
4:05.0,,,67-75,1,M. Harkless makes free throw 2 of 2
4:05.0,,,67-74,,A. Crabbe enters the game for C. McCollum
3:54.0,W. Chandler misses 3-pt shot from 25 ft,,67-75,,
3:52.0,,,67-75,,Defensive rebound by E. Davis
3:43.0,,,67-75,,D. Lillard misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by D. Gallinari,,67-75,,
3:34.0,Shooting foul by E. Turner (drawn by D. Gallinari),,67-75,,
3:34.0,D. Gallinari makes free throw 1 of 2,1,68-75,,
3:34.0,D. Gallinari makes free throw 2 of 2,1,69-75,,
3:34.0,E. Mudiay enters the game for J. Nelson,,68-75,,
3:16.0,,,69-77,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard)
2:51.0,W. Chandler misses 2-pt shot from 6 ft (block by E. Davis),,69-77,,
2:50.0,,,69-77,,Defensive rebound by E. Davis
2:45.0,,,69-77,,M. Harkless misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by J. Murray,,69-77,,
2:36.0,Turnover by N. Jokic (lost ball; steal by D. Lillard),,69-77,,
2:36.0,Personal foul by N. Jokic (drawn by E. Turner),,69-77,,
2:36.0,,,69-78,1,E. Turner makes free throw 1 of 2
2:36.0,,,69-79,1,E. Turner makes free throw 2 of 2
2:21.0,Shooting foul by E. Davis (drawn by E. Mudiay),,69-79,,
2:21.0,,,69-79,,Portland full timeout
2:21.0,E. Mudiay misses free throw 1 of 2,,69-79,,
2:21.0,Offensive rebound by Team,,69-79,,
2:21.0,E. Mudiay makes free throw 2 of 2,1,70-79,,
2:21.0,,,69-79,,M. Leonard enters the game for M. Harkless
1:59.0,,,70-79,,E. Turner misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by W. Chandler,,70-79,,
1:50.0,E. Mudiay misses 2-pt shot from 3 ft,,70-79,,
1:49.0,,,70-79,,Defensive rebound by D. Lillard
1:41.0,,,70-79,,E. Turner misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by E. Mudiay,,70-79,,
1:32.0,Turnover by D. Gallinari (lost ball; steal by E. Turner),,70-79,,
1:26.0,,,70-79,,Shooting foul by E. Mudiay (drawn by D. Lillard)
1:26.0,,,70-80,1,D. Lillard makes free throw 1 of 3
1:26.0,,,70-81,1,D. Lillard makes free throw 2 of 3
1:26.0,,,70-82,1,D. Lillard makes free throw 3 of 3
1:26.0,J. Hernangomez enters the game for D. Gallinari,,70-81,,
1:08.0,Turnover by E. Mudiay (bad pass; steal by E. Turner),,70-82,,
1:07.0,Clear path foul by W. Chandler,,70-82,,
1:07.0,,,70-83,1,E. Turner makes clear path free throw 1 of 2
1:07.0,,,70-84,1,E. Turner makes clear path free throw 2 of 2
1:00.0,,,70-84,,D. Lillard misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by E. Mudiay,,70-84,,
0:45.0,E. Mudiay makes 2-pt shot from 8 ft,2,72-84,,
0:29.0,,,72-84,,E. Davis misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by J. Hernangomez,,72-84,,
0:22.0,Jump ball: D. Lillard vs. J. Murray (M. Leonard gains possession),,,,Jump ball: D. Lillard vs. J. Murray (M. Leonard gains possession)
0:22.0,Turnover by J. Murray (lost ball; steal by D. Lillard),,72-84,,
0:02.0,,,72-84,,Shooting foul by W. Chandler (drawn by D. Lillard)
0:02.0,,,72-85,1,D. Lillard makes free throw 1 of 2
0:02.0,,,72-86,1,D. Lillard makes free throw 2 of 2
0:00.0,J. Murray misses 3-pt shot from 63 ft,,72-86,,
0:00.0,Offensive rebound by Team,,72-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-86,,Personal foul by A. Crabbe (drawn by E. Mudiay)
11:37.0,Shooting foul by M. Leonard (drawn by W. Chandler),,72-86,,
11:37.0,W. Chandler misses free throw 1 of 2,,72-86,,
11:37.0,Offensive rebound by Team,,72-86,,
11:37.0,W. Chandler makes free throw 2 of 2,1,73-86,,
11:24.0,Personal foul by N. Jokic (drawn by E. Turner),,73-86,,
11:14.0,,,73-89,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
11:03.0,W. Chandler makes 2-pt shot from 9 ft,2,75-89,,
10:51.0,,,75-89,,A. Crabbe misses 2-pt shot from 20 ft
10:50.0,Defensive rebound by W. Chandler,,75-89,,
10:41.0,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic),3,78-89,,
10:19.0,,,78-91,2,E. Turner makes 2-pt shot from 11 ft
10:08.0,W. Chandler makes 2-pt shot from 14 ft,2,80-91,,
9:54.0,,,80-93,2,C. McCollum makes 2-pt shot from 6 ft
9:41.0,E. Mudiay makes 2-pt shot from 17 ft,2,82-93,,
9:22.0,,,82-93,,E. Turner misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by W. Chandler,,82-93,,
9:17.0,,,82-93,,Personal foul by E. Turner
9:11.0,E. Mudiay misses 2-pt shot from 7 ft,,82-93,,
9:10.0,,,82-93,,Defensive rebound by Team
8:51.0,Personal foul by E. Mudiay (drawn by E. Davis),,82-93,,
8:51.0,Official timeout,,82-93,,
8:51.0,D. Gallinari enters the game for J. Hernangomez,,82-93,,
8:45.0,,,82-93,,C. McCollum misses 2-pt shot from 8 ft
8:45.0,,,82-93,,Offensive rebound by C. McCollum
8:42.0,,,82-93,,C. McCollum misses 2-pt shot from 6 ft
8:42.0,,,82-93,,Offensive rebound by E. Davis
8:42.0,,,82-93,,E. Davis misses 2-pt shot from 1 ft
8:40.0,,,82-93,,Offensive rebound by E. Davis
8:37.0,,,82-96,3,C. McCollum makes 3-pt shot from 23 ft (assist by E. Davis)
8:15.0,W. Chandler makes 2-pt shot from 15 ft,2,84-96,,
7:45.0,,,84-96,,C. McCollum misses 2-pt shot from 18 ft
7:44.0,Defensive rebound by D. Gallinari,,84-96,,
7:36.0,,,84-96,,Personal foul by E. Turner (drawn by D. Gallinari)
7:36.0,K. Faried enters the game for N. Jokic,,84-96,,
7:36.0,,,84-96,,M. Harkless enters the game for M. Leonard
