time,Milwaukee,pts.away,score,pts.home,Utah
5:46.0,J. Parker makes 2-pt shot from 3 ft,2,17-15,,
5:37.0,,,17-18,3,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward)
5:37.0,Milwaukee full timeout,,17-18,,
5:37.0,M. Brogdon enters the game for M. Dellavedova,,17-18,,
5:18.0,Shooting foul by B. Diaw (drawn by M. Beasley),,17-18,,
5:18.0,M. Beasley misses free throw 1 of 2,,17-18,,
5:18.0,Offensive rebound by Team,,17-18,,
5:18.0,M. Beasley misses free throw 2 of 2,,17-18,,
5:18.0,,,17-18,,Defensive rebound by G. Hayward
5:18.0,,,17-18,,A. Burks enters the game for G. Hill
5:18.0,,,17-18,,J. Ingles enters the game for R. Hood
5:18.0,,,17-18,,T. Lyles enters the game for B. Diaw
4:57.0,,,17-21,3,A. Burks makes 3-pt shot from 23 ft (assist by G. Hayward)
4:43.0,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon),2,19-21,,
4:22.0,J. Terry enters the game for T. Snell,,19-21,,
4:20.0,,,19-21,,Shooting foul by M. Beasley (drawn by J. Withey)
4:20.0,,,19-22,1,J. Withey makes free throw 1 of 2
4:20.0,,,19-23,1,J. Withey makes free throw 2 of 2
4:08.0,J. Terry makes 2-pt shot from 2 ft (assist by G. Monroe),2,21-23,,
3:48.0,,,21-23,,T. Lyles misses 2-pt shot from 11 ft
3:48.0,Defensive rebound by G. Monroe,,21-23,,
3:40.0,M. Brogdon makes 3-pt shot from 25 ft,3,24-23,,
3:19.0,,,24-23,,Turnover by J. Ingles (bad pass; steal by G. Monroe)
3:17.0,Turnover by M. Beasley (bad pass; steal by J. Ingles),,24-23,,
3:15.0,,,24-23,,Turnover by J. Ingles (bad pass; steal by M. Brogdon)
3:11.0,Turnover by J. Parker (bad pass; steal by A. Burks),,24-23,,
2:59.0,,,24-23,,A. Burks misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by J. Parker,,24-23,,
2:47.0,M. Brogdon misses 2-pt shot from 2 ft,,24-23,,
2:46.0,,,24-23,,Defensive rebound by T. Lyles
2:44.0,,,24-25,2,G. Hayward makes 2-pt shot from 1 ft (assist by T. Lyles)
2:44.0,,,24-25,,Shooting foul by J. Terry (drawn by G. Hayward)
2:44.0,,,24-25,,Utah full timeout
2:44.0,,,24-26,1,G. Hayward makes free throw 1 of 1
2:44.0,G. Antetokounmpo enters the game for J. Parker,,24-25,,
2:22.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,24-26,,
2:21.0,,,24-26,,Defensive rebound by J. Withey
2:13.0,,,24-26,,J. Ingles misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by G. Antetokounmpo,,24-26,,
1:47.0,G. Monroe misses 2-pt shot from 8 ft,,24-26,,
1:46.0,,,24-26,,Defensive rebound by G. Hayward
1:30.0,,,24-26,,G. Hayward misses 2-pt shot from 22 ft
1:29.0,,,24-26,,Offensive rebound by J. Withey
1:13.0,,,24-26,,G. Hayward misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by J. Terry,,24-26,,
0:53.0,M. Beasley misses 2-pt shot from 20 ft,,24-26,,
0:52.0,,,24-26,,Defensive rebound by J. Withey
0:41.0,,,24-28,2,J. Withey makes 2-pt shot from 3 ft
0:30.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,24-28,,
0:28.0,Offensive rebound by M. Beasley,,24-28,,
0:24.0,M. Beasley makes 3-pt shot from 25 ft (assist by J. Terry),3,27-28,,
0:02.0,,,27-30,2,T. Lyles makes 2-pt shot from 15 ft
0:01.0,,,27-30,,Violation by J. Ingles (kicked ball)
0:00.0,M. Beasley misses 3-pt shot from 25 ft,,27-30,,
0:00.0,Offensive rebound by Team,,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,29-30,,
11:26.0,,,29-30,,R. Hood misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by Team,,29-30,,
11:00.0,G. Monroe makes 2-pt shot from 14 ft,2,31-30,,
10:43.0,,,31-30,,Turnover by R. Hood (traveling)
10:43.0,,,31-30,,Utah full timeout
10:43.0,,,31-30,,A. Burks enters the game for R. Hood
10:43.0,,,31-30,,R. Gobert enters the game for T. Lyles
10:43.0,,,31-30,,B. Diaw enters the game for J. Withey
10:29.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,31-30,,
10:29.0,Offensive rebound by G. Monroe,,31-30,,
10:27.0,G. Monroe misses 2-pt shot from 2 ft,,31-30,,
10:26.0,,,31-30,,Defensive rebound by A. Burks
10:19.0,,,31-30,,G. Hill misses 2-pt shot from 17 ft
10:17.0,,,31-30,,Offensive rebound by J. Johnson
10:15.0,,,31-32,2,R. Gobert makes 2-pt shot at rim (assist by J. Johnson)
9:54.0,M. Teletovic misses 3-pt shot from 24 ft,,31-32,,
9:53.0,,,31-32,,Defensive rebound by A. Burks
9:42.0,Personal foul by M. Teletovic (drawn by B. Diaw),,31-32,,
9:37.0,,,31-32,,Shooting foul by G. Monroe (drawn by R. Gobert)
9:37.0,,,31-33,1,R. Gobert makes free throw 1 of 2
9:37.0,,,31-34,1,R. Gobert makes free throw 2 of 2
9:37.0,T. Maker enters the game for G. Monroe,,31-33,,
9:12.0,J. Terry misses 3-pt shot from 29 ft,,31-34,,
9:12.0,,,31-34,,Defensive rebound by J. Johnson
9:04.0,,,31-34,,G. Hill misses 2-pt shot from 1 ft (block by T. Maker)
9:03.0,Defensive rebound by M. Teletovic,,31-34,,
9:00.0,Turnover by M. Brogdon (lost ball; steal by A. Burks),,31-34,,
8:41.0,,,31-34,,A. Burks misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by G. Antetokounmpo,,31-34,,
8:32.0,T. Maker misses 3-pt shot from 24 ft,,31-34,,
8:32.0,,,31-34,,Defensive rebound by A. Burks
8:08.0,,,31-34,,R. Gobert misses 2-pt shot from 1 ft
8:08.0,,,31-34,,Offensive rebound by R. Gobert
8:06.0,,,31-36,2,R. Gobert makes 2-pt shot from 1 ft
7:44.0,M. Teletovic makes 2-pt shot from 17 ft (assist by M. Brogdon),2,33-36,,
7:29.0,,,33-36,,Turnover by A. Burks (step out of bounds)
7:29.0,,,33-36,,J. Ingles enters the game for A. Burks
7:12.0,Turnover by G. Antetokounmpo (lost ball; steal by B. Diaw),,33-36,,
7:04.0,,,33-36,,G. Hill misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by M. Teletovic,,33-36,,
6:54.0,M. Brogdon misses 2-pt shot from 17 ft,,33-36,,
6:54.0,,,33-36,,Defensive rebound by J. Johnson
6:46.0,,,33-36,,J. Johnson misses 2-pt shot from 6 ft
6:46.0,,,33-36,,Offensive rebound by R. Gobert
6:35.0,,,33-36,,Shooting foul by T. Maker (drawn by J. Johnson)
6:35.0,,,33-36,,J. Johnson misses free throw 1 of 2
6:35.0,,,33-36,,Offensive rebound by Team
6:35.0,,,33-37,1,J. Johnson makes free throw 2 of 2
6:35.0,M. Dellavedova enters the game for M. Brogdon,,33-36,,
6:35.0,T. Snell enters the game for J. Terry,,33-36,,
6:22.0,T. Maker makes 2-pt shot at rim (assist by M. Dellavedova),2,35-37,,
6:02.0,,,35-39,2,B. Diaw makes 2-pt shot from 2 ft
5:43.0,Turnover by M. Dellavedova (lost ball; steal by G. Hill),,35-39,,
5:26.0,,,35-42,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Ingles)
5:26.0,Milwaukee full timeout,,35-42,,
5:26.0,,,35-42,,D. Exum enters the game for G. Hill
5:26.0,,,35-42,,G. Hayward enters the game for B. Diaw
5:26.0,J. Parker enters the game for G. Antetokounmpo,,35-42,,
5:06.0,M. Teletovic makes 2-pt shot from 2 ft,2,37-42,,
5:06.0,Shooting foul by D. Exum (drawn by M. Teletovic),,37-42,,
5:06.0,M. Teletovic misses free throw 1 of 1,,37-42,,
5:05.0,,,37-42,,Defensive rebound by D. Exum
4:51.0,,,37-42,,Shooting foul by T. Maker (drawn by R. Gobert)
4:51.0,,,37-42,,R. Gobert misses free throw 1 of 2
4:51.0,,,37-42,,Offensive rebound by Team
4:51.0,,,37-43,1,R. Gobert makes free throw 2 of 2
4:36.0,J. Parker misses 2-pt shot from 21 ft,,37-43,,
4:35.0,,,37-43,,Defensive rebound by J. Johnson
4:25.0,,,37-46,3,D. Exum makes 3-pt shot from 23 ft (assist by J. Johnson)
4:10.0,M. Teletovic makes 2-pt shot from 16 ft (assist by M. Dellavedova),2,39-46,,
3:59.0,,,39-46,,D. Exum misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by J. Parker,,39-46,,
3:48.0,Offensive charge foul by M. Teletovic,,39-46,,
3:48.0,Turnover by M. Teletovic (offensive foul),,39-46,,
3:48.0,G. Antetokounmpo enters the game for M. Teletovic,,39-46,,
3:48.0,,,39-46,,G. Hill enters the game for D. Exum
3:37.0,,,39-48,2,G. Hayward makes 2-pt shot at rim (assist by J. Johnson)
3:37.0,,,39-48,,Shooting foul by T. Maker (drawn by G. Hayward)
3:37.0,,,39-48,,G. Hayward misses free throw 1 of 1
3:37.0,G. Monroe enters the game for T. Maker,,39-48,,
3:36.0,Defensive rebound by J. Parker,,39-48,,
3:25.0,Turnover by J. Parker (bad pass),,39-48,,
3:13.0,,,39-50,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
3:13.0,,,39-50,,Shooting foul by M. Dellavedova (drawn by R. Gobert)
3:13.0,,,39-51,1,R. Gobert makes free throw 1 of 1
3:00.0,,,39-51,,Personal foul by J. Ingles (drawn by G. Antetokounmpo)
2:58.0,,,39-51,,Personal foul by G. Hayward (drawn by G. Antetokounmpo)
2:58.0,Milwaukee full timeout,,39-51,,
2:51.0,Turnover by M. Dellavedova (bad pass),,39-51,,
2:39.0,Personal foul by G. Monroe (drawn by R. Gobert),,39-51,,
2:39.0,,,39-52,1,R. Gobert makes free throw 1 of 2
2:39.0,,,39-53,1,R. Gobert makes free throw 2 of 2
2:25.0,M. Dellavedova misses 2-pt shot from 12 ft,,39-53,,
2:25.0,,,39-53,,Defensive rebound by R. Gobert
2:12.0,,,39-53,,Turnover by G. Hayward (bad pass; steal by M. Dellavedova)
2:05.0,J. Parker makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,41-53,,
1:45.0,,,41-55,2,G. Hill makes 2-pt shot from 14 ft
1:36.0,Turnover by M. Dellavedova (bad pass; steal by R. Gobert),,41-55,,
1:29.0,,,41-55,,Offensive charge foul by J. Ingles
1:29.0,,,41-55,,Turnover by J. Ingles (offensive foul)
1:29.0,,,41-55,,A. Burks enters the game for J. Ingles
1:14.0,J. Parker misses 2-pt shot from 5 ft,,41-55,,
1:14.0,,,41-55,,Defensive rebound by A. Burks
0:58.0,,,41-57,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
0:58.0,,,41-57,,Shooting foul by J. Parker (drawn by R. Gobert)
0:58.0,,,41-58,1,R. Gobert makes free throw 1 of 1
0:42.0,G. Monroe makes 2-pt shot from 1 ft,2,43-58,,
0:31.0,,,43-58,,J. Johnson misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by T. Snell,,43-58,,
0:22.0,Turnover by G. Antetokounmpo (traveling),,43-58,,
0:03.0,,,43-61,3,G. Hill makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,43-61,,
11:47.0,,,43-61,,Defensive rebound by R. Gobert
11:30.0,,,43-61,,Turnover by G. Hayward (bad pass; steal by J. Parker)
11:25.0,,,43-61,,Shooting block foul by G. Hill (drawn by J. Parker)
11:25.0,J. Parker makes free throw 1 of 2,1,44-61,,
11:25.0,J. Parker makes free throw 2 of 2,1,45-61,,
11:14.0,,,45-63,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
11:03.0,Turnover by J. Parker (step out of bounds),,45-63,,
10:49.0,Personal foul by T. Maker (drawn by R. Gobert),,45-63,,
10:42.0,,,45-65,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hill)
10:29.0,M. Dellavedova misses 3-pt shot from 25 ft,,45-65,,
10:29.0,Offensive rebound by G. Antetokounmpo,,45-65,,
10:20.0,Shooting foul by B. Diaw (drawn by J. Parker),,45-65,,
10:20.0,J. Parker makes free throw 1 of 2,1,46-65,,
10:20.0,J. Parker misses free throw 2 of 2,,46-65,,
10:19.0,,,46-65,,Defensive rebound by R. Gobert
10:04.0,,,46-67,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
9:49.0,T. Snell misses 3-pt shot from 25 ft,,46-67,,
9:48.0,,,46-67,,Defensive rebound by R. Gobert
9:23.0,,,46-67,,B. Diaw misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by T. Snell,,46-67,,
9:09.0,T. Maker misses 2-pt shot from 4 ft (block by R. Gobert),,46-67,,
9:08.0,,,46-67,,Defensive rebound by B. Diaw
8:49.0,,,46-67,,B. Diaw misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by T. Maker,,46-67,,
8:42.0,J. Parker makes 2-pt shot at rim,2,48-67,,
8:16.0,,,48-67,,J. Ingles misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by T. Snell,,48-67,,
8:06.0,J. Parker misses 3-pt shot from 24 ft,,48-67,,
8:06.0,,,48-67,,Defensive rebound by R. Gobert
7:51.0,,,48-67,,Turnover by B. Diaw (bad pass)
7:51.0,G. Monroe enters the game for T. Maker,,48-67,,
7:51.0,M. Brogdon enters the game for M. Dellavedova,,48-67,,
7:31.0,Turnover by M. Brogdon (bad pass; steal by G. Hayward),,48-67,,
7:28.0,,,48-67,,Shooting foul by G. Antetokounmpo (drawn by G. Hayward)
7:28.0,,,48-67,,G. Hayward misses free throw 1 of 2
7:28.0,,,48-67,,Offensive rebound by Team
7:28.0,,,48-68,1,G. Hayward makes free throw 2 of 2
7:28.0,,,48-67,,T. Lyles enters the game for B. Diaw
7:21.0,,,48-68,,Personal foul by T. Lyles (drawn by J. Parker)
7:05.0,G. Monroe misses 2-pt shot from 17 ft,,48-68,,
7:05.0,,,48-68,,Defensive rebound by G. Hayward
6:53.0,,,48-68,,T. Lyles misses 3-pt shot from 23 ft
6:53.0,Defensive rebound by T. Snell,,48-68,,
6:43.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,50-68,,
6:42.0,,,50-68,,Utah full timeout
6:42.0,,,50-68,,A. Burks enters the game for G. Hill
6:19.0,,,50-68,,G. Hayward misses 2-pt shot from 21 ft
6:19.0,Defensive rebound by T. Snell,,50-68,,
5:56.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,50-68,,
5:55.0,,,50-68,,Defensive rebound by Team
5:55.0,Loose ball foul by G. Monroe (drawn by T. Lyles),,50-68,,
5:38.0,,,50-70,2,G. Hayward makes 2-pt shot from 4 ft (assist by J. Ingles)
5:21.0,Turnover by T. Snell (bad pass; steal by J. Ingles),,50-70,,
5:03.0,,,50-72,2,T. Lyles makes 2-pt shot from 1 ft
4:48.0,J. Parker misses 2-pt shot from 18 ft,,50-72,,
4:47.0,,,50-72,,Defensive rebound by R. Gobert
4:35.0,,,50-75,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles)
4:20.0,,,50-75,,Personal foul by T. Lyles (drawn by J. Parker)
4:20.0,M. Beasley enters the game for G. Antetokounmpo,,50-75,,
4:20.0,J. Terry enters the game for T. Snell,,50-75,,
4:20.0,,,50-75,,J. Johnson enters the game for G. Hayward
4:20.0,,,50-75,,D. Exum enters the game for J. Ingles
4:04.0,M. Brogdon misses 2-pt shot from 19 ft,,50-75,,
4:03.0,,,50-75,,Defensive rebound by T. Lyles
3:48.0,,,50-75,,Turnover by J. Johnson (lost ball; steal by J. Terry)
3:43.0,M. Brogdon makes 2-pt shot from 3 ft,2,52-75,,
3:26.0,,,52-75,,T. Lyles misses 2-pt shot from 2 ft (block by M. Beasley)
3:24.0,Defensive rebound by J. Parker,,52-75,,
3:10.0,G. Monroe makes 2-pt shot from 4 ft,2,54-75,,
2:48.0,,,54-78,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Johnson)
2:32.0,Shooting foul by T. Lyles (drawn by G. Monroe),,54-78,,
2:32.0,Milwaukee full timeout,,54-78,,
2:32.0,G. Monroe makes free throw 1 of 2,1,55-78,,
2:32.0,G. Monroe misses free throw 2 of 2,,55-78,,
2:32.0,,,54-78,,G. Hill enters the game for D. Exum
2:32.0,,,54-78,,J. Withey enters the game for R. Gobert
2:31.0,,,55-78,,Defensive rebound by J. Johnson
2:18.0,,,55-78,,Turnover by A. Burks (lost ball; steal by M. Brogdon)
2:12.0,Shooting foul by J. Withey (drawn by M. Beasley),,55-78,,
2:12.0,M. Beasley makes free throw 1 of 2,1,56-78,,
2:12.0,M. Beasley misses free throw 2 of 2,,56-78,,
2:12.0,,,56-78,,Defensive rebound by Team
1:45.0,,,56-80,2,J. Johnson makes 2-pt shot from 21 ft
1:22.0,M. Brogdon makes 3-pt shot from 24 ft (assist by J. Terry),3,59-80,,
0:55.0,,,59-80,,J. Johnson misses 2-pt shot from 9 ft
0:55.0,Defensive rebound by Team,,59-80,,
0:40.0,G. Monroe misses 2-pt shot from 2 ft,,59-80,,
0:39.0,,,59-80,,Defensive rebound by T. Lyles
0:27.0,,,59-80,,J. Withey misses 2-pt shot from 3 ft (block by M. Beasley)
0:26.0,Defensive rebound by M. Beasley,,59-80,,
0:04.0,M. Beasley misses 2-pt shot from 17 ft,,59-80,,
0:04.0,Offensive rebound by J. Parker,,59-80,,
0:02.0,J. Parker makes 2-pt shot at rim,2,61-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,61-80,,Turnover by R. Gobert (lost ball; steal by G. Antetokounmpo)
11:33.0,J. Parker makes 2-pt shot at rim (assist by J. Terry),2,63-80,,
11:12.0,,,63-82,2,J. Johnson makes 2-pt shot from 3 ft
10:48.0,J. Terry misses 3-pt shot from 28 ft,,63-82,,
10:47.0,,,63-82,,Defensive rebound by R. Gobert
10:40.0,,,63-82,,Turnover by G. Hill (lost ball; steal by M. Brogdon)
10:36.0,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon),2,65-82,,
10:11.0,,,65-82,,A. Burks misses 2-pt shot from 4 ft (block by J. Terry)
10:10.0,Defensive rebound by J. Terry,,65-82,,
10:08.0,,,65-82,,J. Ingles enters the game for A. Burks
10:08.0,Jump ball: G. Antetokounmpo vs. G. Hill (J. Parker gains possession),,,,Jump ball: G. Antetokounmpo vs. G. Hill (J. Parker gains possession)
9:58.0,G. Monroe misses 2-pt shot from 5 ft,,65-82,,
9:57.0,,,65-82,,Defensive rebound by J. Johnson
9:46.0,,,65-82,,J. Johnson misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by G. Monroe,,65-82,,
9:36.0,G. Monroe misses 2-pt shot from 18 ft,,65-82,,
9:36.0,,,65-82,,Defensive rebound by J. Ingles
9:16.0,,,65-82,,J. Ingles misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by J. Parker,,65-82,,
9:07.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,65-82,,
9:07.0,,,65-82,,Defensive rebound by J. Ingles
8:52.0,,,65-82,,Turnover by J. Ingles (bad pass; steal by G. Monroe)
8:51.0,,,65-82,,Personal foul by J. Ingles (drawn by M. Brogdon)
8:51.0,Milwaukee full timeout,,65-82,,
8:51.0,T. Maker enters the game for G. Monroe,,65-82,,
8:51.0,M. Dellavedova enters the game for J. Terry,,65-82,,
8:51.0,,,65-82,,G. Hayward enters the game for B. Diaw
8:38.0,,,65-82,,Personal foul by J. Ingles (drawn by M. Brogdon)
8:34.0,Offensive foul by G. Antetokounmpo,,65-82,,
8:34.0,Turnover by G. Antetokounmpo (offensive foul),,65-82,,
8:19.0,,,65-85,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Johnson)
8:01.0,M. Brogdon makes 2-pt shot from 2 ft,2,67-85,,
7:47.0,,,67-87,2,J. Johnson makes 2-pt shot from 2 ft
7:47.0,,,67-87,,Shooting foul by J. Parker (drawn by J. Johnson)
7:47.0,,,67-88,1,J. Johnson makes free throw 1 of 1
7:47.0,,,67-87,,D. Exum enters the game for J. Ingles
7:34.0,Shooting foul by R. Gobert (drawn by T. Maker),,67-88,,
7:34.0,T. Maker misses free throw 1 of 2,,67-88,,
7:34.0,Offensive rebound by Team,,67-88,,
7:34.0,T. Maker makes free throw 2 of 2,1,68-88,,
7:20.0,,,68-90,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
7:00.0,Turnover by M. Brogdon (bad pass; steal by G. Hayward),,68-90,,
6:47.0,,,68-90,,Shooting foul by G. Antetokounmpo (drawn by R. Gobert)
6:47.0,,,68-91,1,R. Gobert makes free throw 1 of 2
6:47.0,,,68-91,,R. Gobert misses free throw 2 of 2
6:47.0,Defensive rebound by G. Antetokounmpo,,68-91,,
6:47.0,M. Beasley enters the game for J. Parker,,68-91,,
6:35.0,M. Dellavedova makes 2-pt shot from 3 ft,2,70-91,,
6:19.0,,,70-91,,G. Hayward misses 3-pt shot from 22 ft
6:19.0,Defensive rebound by M. Brogdon,,70-91,,
6:10.0,M. Beasley misses 3-pt shot from 26 ft,,70-91,,
6:10.0,,,70-91,,Defensive rebound by D. Exum
6:06.0,,,70-91,,Utah full timeout
6:06.0,,,70-91,,A. Burks enters the game for G. Hill
5:54.0,,,70-93,2,G. Hayward makes 2-pt shot from 5 ft
5:39.0,T. Maker makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,73-93,,
5:15.0,,,73-96,3,J. Johnson makes 3-pt shot from 27 ft
4:56.0,T. Maker makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,76-96,,
4:34.0,,,76-96,,Shooting foul by M. Brogdon (drawn by A. Burks)
4:34.0,,,76-96,,A. Burks misses free throw 1 of 2
4:34.0,,,76-96,,Offensive rebound by Team
4:34.0,,,76-97,1,A. Burks makes free throw 2 of 2
4:34.0,,,76-96,,G. Hill enters the game for D. Exum
4:21.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,79-97,,
4:01.0,,,79-97,,A. Burks misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by M. Beasley,,79-97,,
3:53.0,M. Beasley misses 3-pt shot from 25 ft,,79-97,,
3:51.0,,,79-97,,Defensive rebound by G. Hill
3:39.0,,,79-97,,G. Hayward misses 3-pt shot from 25 ft
3:38.0,,,79-97,,Offensive rebound by R. Gobert
3:36.0,,,79-97,,R. Gobert misses 2-pt shot from 2 ft
3:34.0,,,79-97,,Offensive rebound by R. Gobert
3:34.0,Personal foul by M. Dellavedova (drawn by R. Gobert),,79-97,,
3:29.0,,,79-97,,Offensive foul by R. Gobert
3:29.0,,,79-97,,Turnover by R. Gobert (offensive foul)
3:20.0,Turnover by M. Dellavedova (bad pass; steal by G. Hayward),,79-97,,
3:14.0,,,79-97,,G. Hill misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by G. Antetokounmpo,,79-97,,
3:00.0,M. Dellavedova misses 3-pt shot from 24 ft,,79-97,,
3:00.0,Offensive rebound by M. Brogdon,,79-97,,
2:55.0,Shooting foul by G. Hayward (drawn by M. Beasley),,79-97,,
2:55.0,Milwaukee full timeout,,79-97,,
