time,Sacramento,pts.away,score,pts.home,Utah
2:15.0,,,70-73,1,R. Gobert makes free throw 2 of 2
2:15.0,K. Koufos enters the game for D. Cousins,,70-72,,
2:15.0,M. Barnes enters the game for B. McLemore,,70-72,,
2:15.0,,,70-72,,R. Neto enters the game for J. Ingles
1:51.0,G. Temple misses 3-pt shot from 23 ft,,70-73,,
1:50.0,,,70-73,,Defensive rebound by Team
1:50.0,,,70-73,,T. Lyles enters the game for J. Johnson
1:50.0,,,70-73,,J. Withey enters the game for R. Gobert
1:38.0,,,70-73,,G. Hayward misses 2-pt shot from 10 ft
1:37.0,,,70-73,,Offensive rebound by S. Mack
1:21.0,,,70-73,,G. Hayward misses 2-pt shot from 10 ft (block by K. Koufos)
1:19.0,Defensive rebound by M. Barnes,,70-73,,
1:17.0,G. Temple makes 2-pt shot from 3 ft,2,72-73,,
1:17.0,Shooting foul by J. Withey (drawn by G. Temple),,72-73,,
1:17.0,G. Temple makes free throw 1 of 1,1,73-73,,
1:00.0,,,73-75,2,G. Hayward makes 2-pt shot from 22 ft
0:45.0,Shooting foul by G. Hayward (drawn by R. Gay),,73-75,,
0:45.0,R. Gay misses free throw 1 of 2,,73-75,,
0:45.0,Offensive rebound by Team,,73-75,,
0:45.0,R. Gay makes free throw 2 of 2,1,74-75,,
0:39.0,,,74-75,,S. Mack misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by R. Gay,,74-75,,
0:27.0,R. Gay misses 2-pt shot from 13 ft,,74-75,,
0:27.0,,,74-75,,Defensive rebound by J. Withey
0:09.0,,,74-77,2,G. Hayward makes 2-pt shot from 2 ft
0:09.0,,,74-77,,Shooting foul by R. Gay (drawn by G. Hayward)
0:09.0,,,74-78,1,G. Hayward makes free throw 1 of 1
0:09.0,T. Lawson enters the game for K. Koufos,,74-77,,
0:09.0,,,74-77,,J. Ingles enters the game for J. Withey
0:02.0,D. Collison makes 2-pt shot from 18 ft,2,76-78,,
0:01.0,,,76-78,,T. Lyles misses 3-pt shot from 57 ft
0:00.0,,,76-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,76-78,,Turnover by R. Neto (bad pass; steal by M. Barnes)
11:36.0,M. Barnes misses 2-pt shot from 3 ft,,76-78,,
11:35.0,,,76-78,,Defensive rebound by J. Withey
11:24.0,,,76-81,3,T. Lyles makes 3-pt shot from 23 ft (assist by R. Neto)
11:00.0,G. Temple misses 2-pt shot from 17 ft,,76-81,,
10:59.0,,,76-81,,Defensive rebound by R. Neto
10:48.0,,,76-81,,T. Lyles misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by G. Temple,,76-81,,
10:37.0,M. Barnes misses 2-pt shot from 4 ft (block by J. Withey),,76-81,,
10:37.0,Offensive rebound by Team,,76-81,,
10:37.0,,,76-81,,J. Ingles enters the game for S. Mack
10:37.0,,,76-81,,D. Exum enters the game for R. Neto
10:35.0,D. Cousins misses 2-pt shot from 3 ft,,76-81,,
10:33.0,Offensive rebound by K. Koufos,,76-81,,
10:33.0,K. Koufos makes 2-pt shot from 2 ft,2,78-81,,
10:18.0,,,78-84,3,D. Exum makes 3-pt shot from 24 ft (assist by T. Lyles)
10:05.0,K. Koufos misses 2-pt shot from 4 ft,,78-84,,
10:04.0,Offensive rebound by G. Temple,,78-84,,
9:59.0,Turnover by T. Lawson (bad pass; steal by T. Lyles),,78-84,,
9:57.0,,,78-84,,Turnover by T. Lyles (lost ball)
9:57.0,O. Casspi enters the game for K. Koufos,,78-84,,
9:42.0,Turnover by D. Cousins (bad pass; steal by J. Johnson),,78-84,,
9:38.0,,,78-84,,Shooting foul by M. Barnes (drawn by T. Lyles)
9:38.0,,,78-85,1,T. Lyles makes free throw 1 of 2
9:38.0,,,78-86,1,T. Lyles makes free throw 2 of 2
9:38.0,,,78-85,,R. Gobert enters the game for J. Withey
9:23.0,D. Cousins misses 2-pt shot from 6 ft,,78-86,,
9:23.0,,,78-86,,Defensive rebound by J. Ingles
8:59.0,,,78-86,,J. Johnson misses 2-pt shot from 20 ft
8:58.0,,,78-86,,Offensive rebound by Team
8:57.0,,,78-86,,Utah full timeout
8:57.0,R. Gay enters the game for M. Barnes,,78-86,,
8:50.0,,,78-89,3,T. Lyles makes 3-pt shot from 23 ft (assist by D. Exum)
8:30.0,D. Cousins misses 3-pt shot from 24 ft,,78-89,,
8:29.0,,,78-89,,Defensive rebound by T. Lyles
8:12.0,,,78-89,,Turnover by T. Lyles (bad pass)
7:47.0,T. Lawson misses 3-pt shot from 25 ft,,78-89,,
7:46.0,Offensive rebound by O. Casspi,,78-89,,
7:44.0,O. Casspi misses 2-pt shot from 3 ft (block by R. Gobert),,78-89,,
7:42.0,,,78-89,,Defensive rebound by J. Johnson
7:31.0,,,78-91,2,J. Johnson makes 2-pt shot from 8 ft
7:14.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Gay),2,80-91,,
6:47.0,,,80-93,2,J. Johnson makes 2-pt shot from 10 ft
6:32.0,R. Gay misses 2-pt shot from 10 ft,,80-93,,
6:32.0,,,80-93,,Defensive rebound by R. Gobert
6:23.0,,,80-93,,T. Lyles misses 2-pt shot from 3 ft (block by G. Temple)
6:21.0,,,80-93,,Offensive rebound by R. Gobert
6:21.0,,,80-95,2,R. Gobert makes 2-pt shot at rim
6:20.0,Sacramento full timeout,,80-95,,
6:20.0,D. Collison enters the game for T. Lawson,,80-95,,
6:20.0,,,80-95,,S. Mack enters the game for D. Exum
6:20.0,,,80-95,,G. Hayward enters the game for T. Lyles
6:04.0,D. Cousins misses 3-pt shot from 25 ft,,80-95,,
6:04.0,Offensive rebound by Team,,80-95,,
6:04.0,,,80-95,,Loose ball foul by S. Mack (drawn by O. Casspi)
5:53.0,Turnover by O. Casspi (bad pass; steal by S. Mack),,80-95,,
5:37.0,,,80-95,,J. Johnson misses 3-pt shot from 25 ft
5:36.0,,,80-95,,Offensive rebound by S. Mack
5:31.0,,,80-98,3,G. Hayward makes 3-pt shot from 24 ft (assist by S. Mack)
5:17.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison),3,83-98,,
4:54.0,,,83-100,2,G. Hayward makes 2-pt shot from 23 ft
4:41.0,,,83-100,,Personal foul by G. Hayward (drawn by R. Gay)
4:41.0,B. McLemore enters the game for G. Temple,,83-100,,
4:41.0,Sacramento full timeout,,83-100,,
4:41.0,W. Cauley-Stein enters the game for D. Cousins,,83-100,,
4:27.0,D. Collison misses 2-pt shot from 14 ft,,83-100,,
4:26.0,,,83-100,,Defensive rebound by J. Ingles
4:07.0,,,83-100,,G. Hayward misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by O. Casspi,,83-100,,
3:49.0,R. Gay misses 3-pt shot from 25 ft,,83-100,,
3:48.0,Offensive rebound by O. Casspi,,83-100,,
3:36.0,,,83-100,,Personal foul by J. Ingles (drawn by O. Casspi)
3:36.0,A. Tolliver enters the game for R. Gay,,83-100,,
3:36.0,A. Afflalo enters the game for O. Casspi,,83-100,,
3:33.0,Shooting foul by R. Gobert (drawn by B. McLemore),,83-100,,
3:33.0,B. McLemore misses free throw 1 of 2,,83-100,,
3:33.0,Offensive rebound by Team,,83-100,,
3:33.0,B. McLemore misses free throw 2 of 2,,83-100,,
3:32.0,Offensive rebound by A. Tolliver,,83-100,,
3:11.0,B. McLemore misses 2-pt shot from 20 ft,,83-100,,
3:10.0,,,83-100,,Defensive rebound by J. Johnson
2:56.0,,,83-102,2,G. Hayward makes 2-pt shot from 2 ft (assist by S. Mack)
2:40.0,D. Collison misses 2-pt shot from 17 ft,,83-102,,
2:40.0,,,83-102,,Defensive rebound by R. Gobert
2:30.0,,,83-102,,Utah full timeout
2:30.0,,,83-102,,R. Neto enters the game for S. Mack
2:30.0,,,83-102,,J. Withey enters the game for R. Gobert
2:30.0,,,83-102,,T. Lyles enters the game for G. Hayward
2:30.0,,,83-102,,D. Exum enters the game for J. Johnson
2:18.0,,,83-102,,J. Withey misses 2-pt shot from 3 ft
2:18.0,Defensive rebound by W. Cauley-Stein,,83-102,,
2:06.0,B. McLemore misses 3-pt shot from 25 ft,,83-102,,
2:05.0,,,83-102,,Defensive rebound by R. Neto
1:46.0,,,83-102,,J. Ingles misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by B. McLemore,,83-102,,
1:35.0,D. Collison misses 2-pt shot from 3 ft (block by J. Withey),,83-102,,
1:33.0,,,83-102,,Defensive rebound by J. Withey
