time,Indiana,pts.away,score,pts.home,Golden State
6:08.0,,,13-19,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
6:02.0,Indiana full timeout,,13-19,,
6:02.0,,,13-19,,A. Iguodala enters the game for K. Durant
5:46.0,M. Turner makes 2-pt shot from 16 ft (assist by J. Teague),2,15-19,,
5:39.0,Violation by P. George (kicked ball),,15-19,,
5:39.0,R. Stuckey enters the game for M. Ellis,,15-19,,
5:33.0,,,15-21,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
5:16.0,M. Turner makes 2-pt shot from 3 ft (assist by R. Stuckey),2,17-21,,
5:07.0,,,17-23,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
4:55.0,T. Young misses 3-pt shot from 24 ft,,17-23,,
4:55.0,,,17-23,,Defensive rebound by Z. Pachulia
4:45.0,,,17-23,,D. Green misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by P. George,,17-23,,
4:38.0,Shooting foul by A. Iguodala (drawn by P. George),,17-23,,
4:38.0,P. George makes free throw 1 of 2,1,18-23,,
4:38.0,P. George makes free throw 2 of 2,1,19-23,,
4:38.0,A. Jefferson enters the game for M. Turner,,18-23,,
4:38.0,,,18-23,,J. McGee enters the game for Z. Pachulia
4:25.0,,,19-23,,K. Thompson misses 2-pt shot from 16 ft
4:23.0,,,19-23,,Offensive rebound by J. McGee
4:21.0,,,19-23,,K. Thompson misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by R. Stuckey,,19-23,,
4:06.0,P. George misses 2-pt shot from 18 ft,,19-23,,
4:05.0,,,19-23,,Defensive rebound by S. Curry
4:00.0,,,19-25,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
3:39.0,J. Teague makes 2-pt shot from 6 ft (assist by P. George),2,21-25,,
3:26.0,,,21-25,,K. Thompson misses 2-pt shot from 3 ft
3:25.0,,,21-25,,Offensive rebound by J. McGee
3:25.0,,,21-27,2,J. McGee makes 2-pt shot from 1 ft
3:13.0,P. George misses 2-pt shot from 16 ft,,21-27,,
3:12.0,Offensive rebound by T. Young,,21-27,,
3:11.0,T. Young makes 2-pt shot from 3 ft,2,23-27,,
3:04.0,,,23-29,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
2:52.0,J. Teague misses 2-pt shot from 10 ft,,23-29,,
2:50.0,Offensive rebound by A. Jefferson,,23-29,,
2:50.0,A. Jefferson misses 2-pt shot from 1 ft (block by J. McGee),,23-29,,
2:47.0,,,23-29,,Defensive rebound by S. Curry
2:45.0,,,23-31,2,A. Iguodala makes 2-pt shot from 3 ft (assist by S. Curry)
2:45.0,,,23-31,,Shooting foul by R. Stuckey (drawn by A. Iguodala)
2:45.0,,,23-32,1,A. Iguodala makes free throw 1 of 1
2:45.0,C. Miles enters the game for T. Young,,23-31,,
2:45.0,M. Ellis enters the game for J. Teague,,23-31,,
2:45.0,,,23-31,,I. Clark enters the game for K. Thompson
2:24.0,R. Stuckey misses 2-pt shot from 18 ft (block by I. Clark),,23-32,,
2:23.0,Offensive rebound by R. Stuckey,,23-32,,
2:22.0,R. Stuckey misses 2-pt shot from 12 ft,,23-32,,
2:19.0,,,23-32,,Defensive rebound by D. Green
2:12.0,,,23-34,2,I. Clark makes 2-pt shot from 5 ft (assist by D. Green)
1:53.0,A. Jefferson makes 2-pt shot from 1 ft (assist by C. Miles),2,25-34,,
1:41.0,,,25-34,,S. Curry misses 2-pt shot from 4 ft
1:41.0,,,25-34,,Offensive rebound by J. McGee
1:41.0,,,25-36,2,J. McGee makes 2-pt shot from 1 ft
1:23.0,Shooting foul by I. Clark (drawn by R. Stuckey),,25-36,,
1:23.0,R. Stuckey makes free throw 1 of 2,1,26-36,,
1:23.0,R. Stuckey makes free throw 2 of 2,1,27-36,,
1:23.0,,,25-36,,K. Durant enters the game for D. Green
1:23.0,G. Robinson enters the game for P. George,,26-36,,
1:06.0,,,27-36,,S. Curry misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by C. Miles,,27-36,,
0:49.0,C. Miles misses 3-pt shot from 26 ft (block by K. Durant),,27-36,,
0:48.0,,,27-36,,Defensive rebound by S. Curry
0:46.0,,,27-38,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
0:33.0,Turnover by M. Ellis (bad pass; steal by I. Clark),,27-38,,
0:26.0,,,27-38,,S. Curry misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by C. Miles,,27-38,,
0:04.0,A. Jefferson misses 2-pt shot from 11 ft,,27-38,,
0:03.0,,,27-38,,Defensive rebound by J. McGee
0:01.0,,,27-38,,S. Curry misses 3-pt shot from 55 ft
0:00.0,,,27-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-38,,Shooting foul by G. Robinson (drawn by K. Durant)
11:44.0,,,27-39,1,K. Durant makes free throw 1 of 2
11:44.0,,,27-40,1,K. Durant makes free throw 2 of 2
11:25.0,M. Ellis misses 2-pt shot from 1 ft,,27-40,,
11:24.0,Offensive rebound by A. Jefferson,,27-40,,
11:24.0,A. Jefferson makes 2-pt shot at rim,2,29-40,,
11:07.0,,,29-42,2,D. West makes 2-pt shot from 10 ft (assist by K. Durant)
10:44.0,A. Jefferson misses 2-pt shot from 18 ft,,29-42,,
10:43.0,,,29-42,,Defensive rebound by K. Durant
10:36.0,,,29-42,,D. West misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by C. Miles,,29-42,,
10:11.0,R. Stuckey makes 3-pt shot from 27 ft (assist by G. Robinson),3,32-42,,
9:48.0,,,32-42,,Shooting foul by A. Jefferson (drawn by D. West)
9:48.0,,,32-43,1,D. West makes free throw 1 of 2
9:48.0,,,32-44,1,D. West makes free throw 2 of 2
9:34.0,Shooting foul by D. West (drawn by R. Stuckey),,32-44,,
9:34.0,R. Stuckey makes free throw 1 of 2,1,33-44,,
9:34.0,R. Stuckey makes free throw 2 of 2,1,34-44,,
9:16.0,,,34-44,,K. Durant misses 2-pt shot from 6 ft
9:15.0,Defensive rebound by A. Jefferson,,34-44,,
9:10.0,C. Miles makes 2-pt shot from 6 ft,2,36-44,,
9:10.0,Shooting foul by S. Livingston (drawn by C. Miles),,36-44,,
9:10.0,C. Miles makes free throw 1 of 1,1,37-44,,
9:10.0,,,36-44,,K. Thompson enters the game for I. Clark
8:55.0,,,37-46,2,K. Thompson makes 2-pt shot from 3 ft (assist by D. West)
8:45.0,A. Jefferson misses 2-pt shot from 10 ft (block by K. Durant),,37-46,,
8:44.0,,,37-46,,Defensive rebound by D. West
8:43.0,Loose ball foul by C. Miles (drawn by K. Thompson),,37-46,,
8:43.0,Official timeout,,37-46,,
8:43.0,M. Turner enters the game for A. Jefferson,,37-46,,
8:43.0,P. George enters the game for G. Robinson,,37-46,,
8:43.0,,,37-46,,P. McCaw enters the game for A. Iguodala
8:21.0,,,37-46,,K. Durant misses 2-pt shot from 13 ft
8:21.0,Defensive rebound by M. Ellis,,37-46,,
8:14.0,M. Ellis makes 2-pt shot from 1 ft,2,39-46,,
7:55.0,Personal foul by M. Turner (drawn by D. West),,39-46,,
7:50.0,,,39-48,2,K. Thompson makes 2-pt shot from 10 ft
7:32.0,M. Turner misses 2-pt shot from 13 ft (block by D. West),,39-48,,
7:31.0,,,39-48,,Defensive rebound by D. West
7:25.0,,,39-50,2,K. Durant makes 2-pt shot from 1 ft
7:25.0,,,39-50,,Shooting foul by M. Turner (drawn by K. Durant)
7:25.0,,,39-50,,K. Durant misses free throw 1 of 1
7:23.0,Defensive rebound by P. George,,39-50,,
7:08.0,C. Miles misses 3-pt shot from 23 ft,,39-50,,
7:08.0,,,39-50,,Defensive rebound by K. Durant
6:58.0,,,39-50,,P. McCaw misses 3-pt shot from 23 ft
6:57.0,,,39-50,,Offensive rebound by D. West
6:55.0,,,39-53,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
6:47.0,Indiana full timeout,,39-53,,
6:47.0,J. Teague enters the game for R. Stuckey,,39-53,,
6:47.0,T. Young enters the game for C. Miles,,39-53,,
6:47.0,,,39-53,,D. Green enters the game for K. Durant
6:47.0,,,39-53,,Z. Pachulia enters the game for D. West
6:38.0,Turnover by M. Ellis (lost ball; steal by D. Green),,39-53,,
6:33.0,,,39-56,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
6:19.0,P. George misses 2-pt shot from 19 ft,,39-56,,
6:19.0,,,39-56,,Defensive rebound by D. Green
6:04.0,,,39-59,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston)
5:41.0,J. Teague misses 2-pt shot from 7 ft,,39-59,,
5:40.0,,,39-59,,Defensive rebound by Z. Pachulia
5:32.0,,,39-59,,K. Thompson misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by M. Turner,,39-59,,
5:28.0,,,39-59,,Personal foul by D. Green (drawn by J. Teague)
5:28.0,,,39-59,,S. Curry enters the game for P. McCaw
5:16.0,P. George makes 2-pt shot from 21 ft,2,41-59,,
4:59.0,,,41-59,,K. Thompson misses 3-pt shot from 29 ft
4:59.0,Defensive rebound by P. George,,41-59,,
4:50.0,P. George misses 2-pt shot from 4 ft (block by Z. Pachulia),,41-59,,
4:49.0,Offensive rebound by P. George,,41-59,,
4:45.0,Turnover by P. George (bad pass; steal by D. Green),,41-59,,
4:41.0,,,41-59,,Shooting foul by M. Ellis (drawn by K. Thompson)
4:41.0,,,41-60,1,K. Thompson makes free throw 1 of 2
4:41.0,,,41-61,1,K. Thompson makes free throw 2 of 2
4:41.0,,,41-60,,A. Iguodala enters the game for S. Livingston
4:28.0,M. Ellis misses 2-pt shot from 19 ft,,41-61,,
4:28.0,,,41-61,,Defensive rebound by D. Green
4:13.0,,,41-61,,S. Curry misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by J. Teague,,41-61,,
4:09.0,T. Young misses 2-pt shot from 4 ft (block by A. Iguodala),,41-61,,
4:07.0,,,41-61,,Defensive rebound by S. Curry
4:02.0,,,41-63,2,S. Curry makes 2-pt shot from 2 ft
3:57.0,Indiana full timeout,,41-63,,
3:46.0,P. George misses 3-pt shot from 25 ft,,41-63,,
3:45.0,,,41-63,,Defensive rebound by K. Thompson
3:29.0,,,41-66,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson)
3:19.0,J. Teague misses 2-pt shot from 13 ft (block by S. Curry),,41-66,,
3:17.0,Offensive rebound by Team,,41-66,,
3:17.0,,,41-66,,Loose ball foul by D. Green (drawn by J. Teague)
3:17.0,,,41-66,,Technical foul by D. Green (drawn by J. Teague)
3:17.0,P. George makes technical free throw,1,42-66,,
3:17.0,,,42-66,,K. Durant enters the game for Z. Pachulia
3:02.0,M. Turner misses 2-pt shot from 9 ft,,42-66,,
3:01.0,,,42-66,,Defensive rebound by A. Iguodala
2:54.0,,,42-68,2,K. Durant makes 2-pt shot from 2 ft (assist by D. Green)
2:45.0,Turnover by J. Teague (bad pass; steal by D. Green),,42-68,,
2:34.0,,,42-70,2,K. Thompson makes 2-pt shot from 5 ft (assist by K. Durant)
2:10.0,J. Teague misses 2-pt shot from 3 ft (block by D. Green),,42-70,,
2:10.0,Offensive rebound by J. Teague,,42-70,,
2:10.0,Shooting foul by D. Green (drawn by J. Teague),,42-70,,
2:10.0,,,42-70,,Golden State full timeout
2:10.0,J. Teague makes free throw 1 of 2,1,43-70,,
2:10.0,J. Teague makes free throw 2 of 2,1,44-70,,
2:10.0,,,42-70,,K. Looney enters the game for D. Green
1:58.0,,,44-70,,A. Iguodala misses 2-pt shot from 18 ft
1:57.0,,,44-70,,Offensive rebound by K. Looney
1:50.0,,,44-70,,K. Thompson misses 3-pt shot from 24 ft
1:49.0,,,44-70,,Offensive rebound by K. Looney
1:43.0,,,44-72,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
1:24.0,M. Ellis makes 2-pt shot from 5 ft,2,46-72,,
1:10.0,,,46-74,2,S. Curry makes 2-pt shot from 1 ft
1:06.0,Shooting foul by K. Looney (drawn by J. Teague),,46-74,,
1:06.0,J. Teague makes free throw 1 of 2,1,47-74,,
1:06.0,J. Teague makes free throw 2 of 2,1,48-74,,
0:48.0,,,48-74,,Shooting foul by M. Ellis (drawn by K. Thompson)
0:48.0,,,48-75,1,K. Thompson makes free throw 1 of 3
0:48.0,,,48-76,1,K. Thompson makes free throw 2 of 3
0:48.0,,,48-77,1,K. Thompson makes free throw 3 of 3
0:35.0,Shooting foul by K. Durant (drawn by P. George),,48-77,,
0:35.0,P. George makes free throw 1 of 2,1,49-77,,
0:35.0,P. George makes free throw 2 of 2,1,50-77,,
0:28.0,,,50-80,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
0:09.0,J. Teague misses 2-pt shot from 4 ft (block by K. Looney),,50-80,,
0:08.0,,,50-80,,Defensive rebound by K. Durant
0:05.0,,,50-80,,Turnover by K. Durant (bad pass; steal by M. Ellis)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,50-80,,D. Green misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by P. George,,50-80,,
11:31.0,T. Young makes 2-pt shot from 2 ft (assist by P. George),2,52-80,,
11:23.0,,,52-80,,Shooting foul by J. Teague (drawn by S. Curry)
11:23.0,,,52-81,1,S. Curry makes free throw 1 of 2
11:23.0,,,52-82,1,S. Curry makes free throw 2 of 2
11:08.0,T. Young misses 2-pt shot from 8 ft,,52-82,,
11:07.0,,,52-82,,Defensive rebound by K. Thompson
10:59.0,,,52-82,,Turnover by D. Green (bad pass; steal by J. Teague)
10:51.0,M. Ellis makes 2-pt shot from 1 ft (assist by J. Teague),2,54-82,,
10:37.0,,,54-82,,K. Thompson misses 2-pt shot from 3 ft (block by M. Turner)
10:37.0,,,54-82,,Offensive rebound by Team
10:35.0,,,54-84,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
10:19.0,,,54-84,,Personal foul by Z. Pachulia (drawn by M. Turner)
10:07.0,Turnover by T. Young (lost ball; steal by Z. Pachulia),,54-84,,
9:59.0,,,54-84,,K. Durant misses 3-pt shot from 25 ft
9:57.0,,,54-84,,Offensive rebound by D. Green
9:57.0,,,54-84,,D. Green misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by Team,,54-84,,
9:44.0,T. Young makes 2-pt shot from 9 ft (assist by P. George),2,56-84,,
9:32.0,,,56-86,2,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia)
9:25.0,Jump ball: P. George vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: P. George vs. Z. Pachulia (D. Green gains possession)
9:25.0,Turnover by P. George (lost ball; steal by Z. Pachulia),,56-86,,
9:18.0,,,56-88,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
9:06.0,M. Turner misses 3-pt shot from 25 ft,,56-88,,
9:06.0,,,56-88,,Defensive rebound by Team
9:06.0,Personal foul by J. Teague (drawn by S. Curry),,56-88,,
8:57.0,,,56-88,,S. Curry misses 3-pt shot from 27 ft
8:55.0,,,56-88,,Offensive rebound by Z. Pachulia
8:54.0,,,56-88,,Turnover by Z. Pachulia (bad pass; steal by M. Ellis)
8:48.0,T. Young makes 2-pt shot from 2 ft (assist by M. Ellis),2,58-88,,
8:34.0,Personal foul by T. Young (drawn by D. Green),,58-88,,
8:28.0,Personal foul by P. George (drawn by K. Durant),,58-88,,
8:23.0,,,58-90,2,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant)
8:15.0,,,58-90,,Personal foul by S. Curry (drawn by J. Teague)
7:57.0,J. Teague makes 2-pt shot from 14 ft,2,60-90,,
7:46.0,,,60-90,,Z. Pachulia misses 2-pt shot from 3 ft (block by M. Turner)
7:46.0,,,60-90,,Offensive rebound by Team
7:46.0,,,60-90,,Golden State full timeout
7:43.0,,,60-90,,K. Thompson misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by P. George,,60-90,,
7:35.0,Turnover by T. Young (bad pass; steal by S. Curry),,60-90,,
7:33.0,,,60-90,,Shooting foul by J. Teague (drawn by S. Curry)
7:33.0,,,60-91,1,S. Curry makes free throw 1 of 2
7:33.0,,,60-91,,S. Curry misses free throw 2 of 2
7:32.0,Defensive rebound by M. Turner,,60-91,,
7:16.0,Shooting foul by S. Curry (drawn by M. Ellis),,60-91,,
7:16.0,M. Ellis makes free throw 1 of 3,1,61-91,,
7:16.0,M. Ellis makes free throw 2 of 3,1,62-91,,
7:16.0,M. Ellis makes free throw 3 of 3,1,63-91,,
7:06.0,Personal foul by J. Teague (drawn by K. Thompson),,63-91,,
7:06.0,,,63-92,1,K. Thompson makes free throw 1 of 2
7:06.0,,,63-93,1,K. Thompson makes free throw 2 of 2
7:06.0,R. Stuckey enters the game for J. Teague,,63-92,,
6:51.0,Shooting foul by K. Durant (drawn by P. George),,63-93,,
6:51.0,P. George makes free throw 1 of 2,1,64-93,,
6:51.0,P. George makes free throw 2 of 2,1,65-93,,
6:40.0,Personal foul by M. Ellis (drawn by K. Thompson),,65-93,,
6:40.0,,,65-94,1,K. Thompson makes free throw 1 of 2
6:40.0,,,65-95,1,K. Thompson makes free throw 2 of 2
6:28.0,M. Turner misses 2-pt shot from 3 ft,,65-95,,
6:27.0,Offensive rebound by M. Turner,,65-95,,
6:27.0,M. Turner makes 2-pt shot from 1 ft,2,67-95,,
6:04.0,,,67-95,,K. Thompson misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by M. Turner,,67-95,,
5:49.0,T. Young misses 3-pt shot from 25 ft,,67-95,,
5:48.0,,,67-95,,Defensive rebound by K. Durant
5:36.0,,,67-95,,Z. Pachulia misses 2-pt shot from 1 ft
5:34.0,,,67-95,,Offensive rebound by K. Durant
5:34.0,,,67-97,2,K. Durant makes 2-pt shot from 1 ft
5:29.0,,,67-97,,Personal foul by K. Durant (drawn by P. George)
5:29.0,P. George makes free throw 1 of 2,1,68-97,,
5:29.0,P. George makes free throw 2 of 2,1,69-97,,
5:29.0,,,68-97,,A. Iguodala enters the game for K. Durant
5:29.0,C. Miles enters the game for T. Young,,68-97,,
5:19.0,,,69-99,2,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry)
4:57.0,P. George misses 3-pt shot from 23 ft,,69-99,,
4:57.0,,,69-99,,Defensive rebound by A. Iguodala
4:45.0,,,69-99,,Shooting foul by M. Turner (drawn by K. Thompson)
4:45.0,,,69-100,1,K. Thompson makes free throw 1 of 2
4:45.0,,,69-100,,K. Thompson misses free throw 2 of 2
4:45.0,J. Teague enters the game for M. Ellis,,69-100,,
4:43.0,,,69-100,,Offensive rebound by Z. Pachulia
4:37.0,,,69-103,3,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia)
4:27.0,Shooting foul by S. Curry (drawn by J. Teague),,69-103,,
4:27.0,J. Teague misses free throw 1 of 2,,69-103,,
4:27.0,Offensive rebound by Team,,69-103,,
4:27.0,J. Teague makes free throw 2 of 2,1,70-103,,
4:27.0,K. Seraphin enters the game for M. Turner,,69-103,,
4:27.0,,,69-103,,J. McGee enters the game for Z. Pachulia
4:09.0,,,70-103,,K. Thompson misses 2-pt shot from 14 ft
4:08.0,,,70-103,,Offensive rebound by J. McGee
4:08.0,,,70-105,2,J. McGee makes 2-pt shot at rim
3:52.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Teague),3,73-105,,
3:40.0,,,73-107,2,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:35.0,Turnover by K. Seraphin (bad pass; steal by S. Curry),,73-107,,
3:29.0,,,73-110,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
3:23.0,Indiana full timeout,,73-110,,
3:12.0,,,73-110,,Personal foul by A. Iguodala (drawn by P. George)
3:12.0,P. George makes free throw 1 of 2,1,74-110,,
3:12.0,P. George makes free throw 2 of 2,1,75-110,,
3:01.0,,,75-110,,K. Thompson misses 2-pt shot from 2 ft (block by K. Seraphin)
2:59.0,Defensive rebound by P. George,,75-110,,
2:47.0,Turnover by J. Teague (traveling),,75-110,,
2:28.0,,,75-113,3,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala)
2:10.0,J. Teague misses 2-pt shot from 17 ft,,75-113,,
2:09.0,Offensive rebound by K. Seraphin,,75-113,,
2:03.0,K. Seraphin makes 2-pt shot from 8 ft,2,77-113,,
1:54.0,,,77-113,,D. Green misses 2-pt shot from 17 ft
1:54.0,Defensive rebound by J. Teague,,77-113,,
1:44.0,J. Teague makes 2-pt shot from 2 ft,2,79-113,,
1:22.0,,,79-113,,Shooting foul by K. Seraphin (drawn by J. McGee)
1:22.0,,,79-114,1,J. McGee makes free throw 1 of 2
1:22.0,,,79-114,,J. McGee misses free throw 2 of 2
1:22.0,,,79-114,,I. Clark enters the game for K. Thompson
1:21.0,Defensive rebound by P. George,,79-114,,
1:12.0,P. George misses 2-pt shot from 17 ft,,79-114,,
1:12.0,,,79-114,,Defensive rebound by D. Green
0:58.0,,,79-116,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
0:43.0,K. Seraphin makes 2-pt shot from 6 ft,2,81-116,,
0:29.0,,,81-116,,I. Clark misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by K. Seraphin,,81-116,,
0:19.0,,,81-116,,Personal foul by J. McGee (drawn by P. George)
0:19.0,P. George makes free throw 1 of 2,1,82-116,,
0:19.0,P. George makes free throw 2 of 2,1,83-116,,
0:19.0,,,82-116,,S. Livingston enters the game for S. Curry
0:19.0,,,82-116,,K. Looney enters the game for D. Green
0:07.0,,,83-116,,I. Clark misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by P. George,,83-116,,
0:01.0,Turnover by K. Seraphin (lost ball; steal by I. Clark),,83-116,,
0:00.0,,,83-116,,J. McGee misses 3-pt shot from 74 ft
0:00.0,,,83-116,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,G. Robinson misses 3-pt shot from 27 ft,,83-116,,
11:47.0,,,83-116,,Defensive rebound by D. West
11:32.0,Personal foul by C. Miles (drawn by K. Looney),,83-116,,
11:18.0,,,83-116,,P. McCaw misses 2-pt shot from 4 ft
11:18.0,,,83-116,,Offensive rebound by P. McCaw
11:17.0,,,83-116,,P. McCaw misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by R. Stuckey,,83-116,,
11:09.0,C. Miles misses 3-pt shot from 27 ft,,83-116,,
11:07.0,,,83-116,,Defensive rebound by S. Livingston
10:59.0,,,83-116,,D. West misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by K. Seraphin,,83-116,,
10:47.0,K. Seraphin misses 2-pt shot from 18 ft,,83-116,,
10:46.0,,,83-116,,Defensive rebound by K. Looney
10:39.0,,,83-116,,Turnover by D. West (bad pass; steal by R. Stuckey)
10:15.0,C. Miles makes 3-pt shot from 25 ft (assist by K. Seraphin),3,86-116,,
10:01.0,,,86-116,,K. Looney misses 2-pt shot from 4 ft (block by C. Miles)
9:59.0,Defensive rebound by A. Brooks,,86-116,,
9:50.0,G. Robinson misses 2-pt shot from 3 ft (block by D. West),,86-116,,
9:49.0,,,86-116,,Defensive rebound by D. West
9:43.0,,,86-116,,P. McCaw misses 3-pt shot from 26 ft
9:41.0,,,86-116,,Offensive rebound by I. Clark
9:31.0,,,86-116,,K. Looney misses 2-pt shot from 4 ft (block by G. Robinson)
9:31.0,,,86-116,,Offensive rebound by Team
9:31.0,L. Allen enters the game for R. Stuckey,,86-116,,
9:31.0,J. Young enters the game for K. Seraphin,,86-116,,
9:20.0,,,86-118,2,S. Livingston makes 2-pt shot from 13 ft
8:53.0,G. Robinson makes 2-pt shot from 21 ft (assist by L. Allen),2,88-118,,
8:43.0,Personal foul by A. Brooks (drawn by I. Clark),,88-118,,
8:43.0,Official timeout,,88-118,,
8:33.0,,,88-120,2,K. Looney makes 2-pt shot at rim (assist by P. McCaw)
8:10.0,J. Young makes 2-pt shot from 18 ft,2,90-120,,
7:52.0,,,90-120,,I. Clark misses 2-pt shot from 10 ft
7:52.0,,,90-120,,Offensive rebound by Team
7:52.0,K. Seraphin enters the game for C. Miles,,90-120,,
7:52.0,,,90-120,,J. McAdoo enters the game for D. West
7:45.0,,,90-122,2,S. Livingston makes 2-pt shot from 15 ft (assist by I. Clark)
7:35.0,J. Young misses 2-pt shot from 13 ft,,90-122,,
7:35.0,,,90-122,,Defensive rebound by S. Livingston
