time,LA Clippers,pts.away,score,pts.home,Orlando
6:49.0,J. Redick makes 3-pt shot from 24 ft (assist by A. Rivers),3,15-17,,
6:34.0,,,15-17,,E. Fournier misses 2-pt shot from 20 ft
6:33.0,Defensive rebound by B. Griffin,,15-17,,
6:13.0,D. Jordan makes 2-pt shot from 5 ft,2,17-17,,
5:47.0,,,17-17,,D. Augustin misses 2-pt shot from 20 ft
5:45.0,Defensive rebound by D. Jordan,,17-17,,
5:28.0,C. Paul makes 2-pt shot from 18 ft,2,19-17,,
5:27.0,,,19-17,,Orlando full timeout
5:27.0,A. Anderson enters the game for A. Rivers,,19-17,,
5:09.0,,,19-17,,E. Fournier misses 2-pt shot from 23 ft
5:08.0,,,19-17,,Offensive rebound by S. Ibaka
5:04.0,Personal foul by A. Anderson (drawn by B. Biyombo),,19-17,,
4:55.0,,,19-17,,A. Gordon misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by D. Jordan,,19-17,,
4:40.0,J. Redick misses 3-pt shot from 25 ft,,19-17,,
4:40.0,,,19-17,,Defensive rebound by Team
4:40.0,Personal foul by D. Jordan (drawn by B. Biyombo),,19-17,,
4:40.0,,,19-17,,B. Biyombo misses free throw 1 of 2
4:40.0,,,19-17,,Offensive rebound by Team
4:40.0,,,19-17,,B. Biyombo misses free throw 2 of 2
4:40.0,J. Crawford enters the game for J. Redick,,19-17,,
4:40.0,,,19-17,,E. Payton enters the game for D. Augustin
4:38.0,Defensive rebound by J. Crawford,,19-17,,
4:23.0,,,19-17,,Personal foul by S. Ibaka (drawn by B. Griffin)
4:23.0,,,19-17,,J. Green enters the game for B. Biyombo
4:17.0,Turnover by C. Paul (lost ball; steal by E. Payton),,19-17,,
4:12.0,,,19-19,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
3:52.0,B. Griffin makes 2-pt shot from 13 ft,2,21-19,,
3:40.0,,,21-21,2,E. Fournier makes 2-pt shot from 2 ft (assist by J. Green)
3:21.0,Shooting foul by E. Payton (drawn by B. Griffin),,21-21,,
3:21.0,B. Griffin misses free throw 1 of 2,,21-21,,
3:21.0,Offensive rebound by Team,,21-21,,
3:21.0,B. Griffin makes free throw 2 of 2,1,22-21,,
3:21.0,R. Felton enters the game for C. Paul,,21-21,,
3:21.0,M. Speights enters the game for D. Jordan,,21-21,,
3:00.0,,,22-23,2,E. Payton makes 2-pt shot from 7 ft (assist by E. Fournier)
2:42.0,B. Griffin misses 2-pt shot from 21 ft,,22-23,,
2:41.0,Offensive rebound by M. Speights,,22-23,,
2:41.0,M. Speights misses 2-pt shot at rim,,22-23,,
2:39.0,,,22-23,,Defensive rebound by E. Payton
2:35.0,,,22-25,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
2:28.0,,,22-25,,Personal foul by S. Ibaka (drawn by B. Griffin)
2:28.0,LA Clippers full timeout,,22-25,,
2:28.0,,,22-25,,B. Biyombo enters the game for S. Ibaka
2:16.0,B. Griffin makes 2-pt shot from 3 ft,2,24-25,,
2:16.0,Shooting foul by B. Biyombo (drawn by B. Griffin),,24-25,,
2:16.0,B. Griffin makes free throw 1 of 1,1,25-25,,
2:04.0,Personal foul by A. Anderson (drawn by A. Gordon),,25-25,,
2:04.0,,,25-25,,A. Gordon misses free throw 1 of 2
2:04.0,,,25-25,,Offensive rebound by Team
2:04.0,,,25-25,,A. Gordon misses free throw 2 of 2
2:02.0,,,25-25,,Offensive rebound by B. Biyombo
1:54.0,,,25-25,,J. Green misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by M. Speights,,25-25,,
1:36.0,M. Speights makes 2-pt shot from 8 ft (assist by B. Griffin),2,27-25,,
1:26.0,,,27-25,,Turnover by E. Payton (traveling)
1:26.0,A. Rivers enters the game for B. Griffin,,27-25,,
1:26.0,W. Johnson enters the game for A. Anderson,,27-25,,
1:26.0,,,27-25,,D. Rudez enters the game for A. Gordon
1:11.0,A. Rivers makes 3-pt shot from 23 ft (assist by R. Felton),3,30-25,,
0:47.0,,,30-25,,E. Payton misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by A. Rivers,,30-25,,
0:36.0,A. Rivers misses 3-pt shot from 25 ft,,30-25,,
0:35.0,,,30-25,,Defensive rebound by B. Biyombo
0:25.0,,,30-25,,E. Payton misses 2-pt shot from 8 ft
0:24.0,,,30-25,,Offensive rebound by B. Biyombo
0:22.0,,,30-25,,B. Biyombo misses 2-pt shot from 2 ft (block by M. Speights)
0:20.0,Defensive rebound by A. Rivers,,30-25,,
0:00.0,J. Crawford misses 2-pt shot from 18 ft,,30-25,,
0:00.0,Offensive rebound by Team,,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-25,,J. Meeks misses 3-pt shot from 25 ft
11:44.0,,,30-25,,Offensive rebound by D. Rudez
11:44.0,,,30-25,,D. Rudez misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by M. Speights,,30-25,,
11:24.0,M. Speights makes 3-pt shot from 26 ft (assist by W. Johnson),3,33-25,,
11:02.0,,,33-25,,A. Gordon misses 2-pt shot from 2 ft
10:59.0,,,33-25,,Offensive rebound by A. Gordon
10:59.0,,,33-27,2,A. Gordon makes 2-pt shot at rim
10:45.0,A. Rivers makes 3-pt shot from 25 ft (assist by M. Speights),3,36-27,,
10:30.0,,,36-27,,Shooting foul by W. Johnson (drawn by A. Gordon)
10:30.0,,,36-28,1,A. Gordon makes free throw 1 of 2
10:30.0,,,36-29,1,A. Gordon makes free throw 2 of 2
10:19.0,J. Crawford misses 2-pt shot from 6 ft,,36-29,,
10:18.0,,,36-29,,Defensive rebound by D. Rudez
10:04.0,,,36-31,2,J. Green makes 2-pt shot from 19 ft
9:49.0,R. Felton misses 2-pt shot from 4 ft (block by E. Payton),,36-31,,
9:49.0,Offensive rebound by Team,,36-31,,
9:49.0,D. Jordan enters the game for M. Speights,,36-31,,
9:49.0,,,36-31,,B. Biyombo enters the game for D. Rudez
9:47.0,J. Crawford misses 3-pt shot from 23 ft,,36-31,,
9:46.0,,,36-31,,Defensive rebound by J. Meeks
9:39.0,,,36-31,,Turnover by J. Meeks (bad pass; steal by R. Felton)
9:33.0,R. Felton makes 2-pt shot from 2 ft,2,38-31,,
9:09.0,,,38-31,,E. Payton misses 2-pt shot from 7 ft
9:07.0,,,38-31,,Offensive rebound by B. Biyombo
9:00.0,,,38-34,3,J. Green makes 3-pt shot from 26 ft (assist by J. Meeks)
8:45.0,Official timeout,,38-34,,
8:36.0,Turnover by A. Rivers (lost ball; steal by E. Payton),,38-34,,
8:33.0,,,38-34,,Turnover by A. Gordon (bad pass; steal by W. Johnson)
8:33.0,,,38-34,,Personal foul by A. Gordon (drawn by R. Felton)
8:19.0,W. Johnson misses 3-pt shot from 28 ft,,38-34,,
8:18.0,Offensive rebound by D. Jordan,,38-34,,
8:13.0,W. Johnson makes 2-pt shot at rim (assist by D. Jordan),2,40-34,,
7:54.0,,,40-34,,J. Green misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by W. Johnson,,40-34,,
7:46.0,Turnover by J. Crawford (bad pass),,40-34,,
7:46.0,C. Paul enters the game for J. Crawford,,40-34,,
7:46.0,J. Redick enters the game for R. Felton,,40-34,,
7:46.0,B. Griffin enters the game for W. Johnson,,40-34,,
7:37.0,,,40-36,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
7:20.0,B. Griffin makes 2-pt shot from 19 ft (assist by A. Rivers),2,42-36,,
7:19.0,,,42-36,,Orlando full timeout
7:19.0,,,42-36,,S. Ibaka enters the game for J. Green
7:09.0,Personal foul by B. Griffin (drawn by J. Meeks),,42-36,,
6:59.0,,,42-39,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton)
6:34.0,Shooting foul by S. Ibaka (drawn by D. Jordan),,42-39,,
6:34.0,D. Jordan misses free throw 1 of 2,,42-39,,
6:34.0,Offensive rebound by Team,,42-39,,
6:34.0,D. Jordan makes free throw 2 of 2,1,43-39,,
6:34.0,,,42-39,,J. Green enters the game for S. Ibaka
6:25.0,,,43-39,,E. Payton misses 2-pt shot from 16 ft
6:23.0,Defensive rebound by J. Redick,,43-39,,
6:15.0,C. Paul misses 2-pt shot from 18 ft,,43-39,,
6:13.0,,,43-39,,Defensive rebound by J. Meeks
5:52.0,,,43-42,3,E. Payton makes 3-pt shot from 25 ft (assist by B. Biyombo)
5:35.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,46-42,,
5:28.0,,,46-42,,J. Meeks misses 2-pt shot from 5 ft
5:26.0,Defensive rebound by B. Griffin,,46-42,,
5:22.0,Turnover by C. Paul (bad pass; steal by J. Green),,46-42,,
5:10.0,,,46-44,2,E. Payton makes 2-pt shot from 2 ft
4:46.0,A. Rivers makes 3-pt shot from 24 ft (assist by C. Paul),3,49-44,,
4:25.0,,,49-44,,A. Gordon misses 2-pt shot from 11 ft
4:24.0,,,49-44,,Offensive rebound by B. Biyombo
4:16.0,,,49-47,3,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton)
4:07.0,LA Clippers full timeout,,49-47,,
4:07.0,,,49-47,,D. Augustin enters the game for J. Meeks
3:49.0,B. Griffin makes 2-pt shot from 4 ft,2,51-47,,
3:29.0,Personal foul by B. Griffin (drawn by J. Green),,51-47,,
3:19.0,,,51-49,2,B. Biyombo makes 2-pt shot from 14 ft (assist by E. Payton)
2:59.0,B. Griffin makes 2-pt shot from 8 ft,2,53-49,,
2:59.0,Shooting foul by A. Gordon (drawn by B. Griffin),,53-49,,
2:59.0,B. Griffin misses free throw 1 of 1,,53-49,,
2:59.0,,,53-49,,E. Fournier enters the game for A. Gordon
2:58.0,,,53-49,,Defensive rebound by B. Biyombo
2:48.0,,,53-49,,B. Biyombo misses 2-pt shot from 5 ft
2:47.0,Defensive rebound by D. Jordan,,53-49,,
2:37.0,C. Paul makes 2-pt shot from 19 ft (assist by D. Jordan),2,55-49,,
2:30.0,,,55-49,,Orlando full timeout
2:30.0,W. Johnson enters the game for B. Griffin,,55-49,,
2:20.0,,,55-49,,Turnover by J. Green (traveling)
2:15.0,J. Redick misses 3-pt shot from 26 ft,,55-49,,
2:13.0,,,55-49,,Defensive rebound by B. Biyombo
2:01.0,,,55-49,,D. Augustin misses 3-pt shot from 26 ft (block by W. Johnson)
1:59.0,Defensive rebound by A. Rivers,,55-49,,
1:46.0,,,55-49,,Violation by B. Biyombo (kicked ball)
1:46.0,,,55-49,,A. Gordon enters the game for E. Payton
1:41.0,W. Johnson misses 3-pt shot from 25 ft,,55-49,,
1:40.0,,,55-49,,Defensive rebound by B. Biyombo
1:30.0,,,55-49,,A. Gordon misses 2-pt shot from 2 ft (block by D. Jordan)
1:27.0,Defensive rebound by W. Johnson,,55-49,,
1:18.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,57-49,,
0:55.0,,,57-51,2,J. Green makes 2-pt shot from 8 ft
0:41.0,J. Redick misses 3-pt shot from 27 ft,,57-51,,
0:39.0,Offensive rebound by D. Jordan,,57-51,,
0:30.0,C. Paul makes 3-pt shot from 30 ft,3,60-51,,
0:04.0,,,60-51,,Turnover by E. Fournier (bad pass; steal by A. Rivers)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,60-53,2,A. Gordon makes 2-pt shot from 3 ft
11:22.0,Turnover by C. Paul (bad pass),,60-53,,
11:00.0,,,60-53,,S. Ibaka misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by A. Rivers,,60-53,,
10:45.0,J. Redick misses 2-pt shot from 22 ft,,60-53,,
10:43.0,Offensive rebound by D. Jordan,,60-53,,
10:26.0,B. Griffin misses 2-pt shot from 5 ft,,60-53,,
10:24.0,Offensive rebound by C. Paul,,60-53,,
10:24.0,D. Jordan makes 2-pt shot at rim,2,62-53,,
10:14.0,,,62-55,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
10:14.0,,,62-55,,Shooting foul by C. Paul (drawn by B. Biyombo)
10:14.0,,,62-55,,B. Biyombo misses free throw 1 of 1
10:12.0,Defensive rebound by D. Jordan,,62-55,,
10:04.0,J. Redick misses 2-pt shot from 3 ft,,62-55,,
10:01.0,,,62-55,,Defensive rebound by B. Biyombo
9:52.0,Jump ball: S. Ibaka vs. D. Jordan (D. Augustin gains possession),,,,Jump ball: S. Ibaka vs. D. Jordan (D. Augustin gains possession)
9:37.0,,,62-55,,A. Gordon misses 3-pt shot from 28 ft
9:36.0,,,62-55,,Offensive rebound by Team
9:34.0,Violation by C. Paul (kicked ball),,62-55,,
9:32.0,,,62-57,2,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon)
9:11.0,Turnover by B. Griffin (back court),,62-57,,
9:03.0,,,62-57,,E. Fournier misses 2-pt shot from 9 ft
9:03.0,,,62-57,,Offensive rebound by Team
9:03.0,Loose ball foul by C. Paul (drawn by B. Biyombo),,62-57,,
8:52.0,,,62-59,2,S. Ibaka makes 2-pt shot from 17 ft
8:38.0,B. Griffin misses 2-pt shot from 3 ft,,62-59,,
8:37.0,,,62-59,,Defensive rebound by B. Biyombo
8:18.0,,,62-59,,E. Fournier misses 2-pt shot from 9 ft
8:17.0,Defensive rebound by D. Jordan,,62-59,,
8:12.0,,,62-59,,Personal block foul by E. Fournier (drawn by A. Rivers)
8:06.0,J. Redick makes 3-pt shot from 28 ft (assist by B. Griffin),3,65-59,,
7:42.0,,,65-59,,B. Biyombo misses 2-pt shot from 10 ft
7:41.0,,,65-59,,Offensive rebound by A. Gordon
7:37.0,,,65-61,2,A. Gordon makes 2-pt shot from 2 ft
7:25.0,D. Jordan misses 2-pt shot from 1 ft,,65-61,,
7:22.0,,,65-61,,Defensive rebound by A. Gordon
7:07.0,,,65-61,,Turnover by A. Gordon (bad pass; steal by C. Paul)
7:05.0,,,65-61,,Personal foul by D. Augustin (drawn by C. Paul)
6:53.0,Shooting foul by E. Fournier (drawn by A. Rivers),,65-61,,
6:53.0,A. Rivers makes 2-pt shot from 4 ft,2,67-61,,
6:53.0,A. Rivers misses free throw 1 of 1,,67-61,,
6:50.0,,,67-61,,Defensive rebound by D. Augustin
6:37.0,,,67-61,,A. Gordon misses 2-pt shot from 15 ft
6:36.0,Defensive rebound by D. Jordan,,67-61,,
6:22.0,B. Griffin makes 2-pt shot from 9 ft (assist by C. Paul),2,69-61,,
6:22.0,Shooting foul by B. Biyombo (drawn by B. Griffin),,69-61,,
6:22.0,B. Griffin makes free throw 1 of 1,1,70-61,,
6:03.0,,,70-64,3,A. Gordon makes 3-pt shot from 26 ft (assist by S. Ibaka)
5:44.0,,,70-64,,Violation by S. Ibaka (def goaltending)
5:44.0,C. Paul makes 2-pt shot from 1 ft,2,72-64,,
5:30.0,,,72-64,,S. Ibaka misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by C. Paul,,72-64,,
5:24.0,Turnover by B. Griffin (traveling),,72-64,,
5:24.0,,,72-64,,Orlando full timeout
5:24.0,,,72-64,,J. Green enters the game for B. Biyombo
5:06.0,,,72-66,2,S. Ibaka makes 2-pt shot from 9 ft (assist by E. Fournier)
4:48.0,B. Griffin makes 2-pt shot from 20 ft,2,74-66,,
4:28.0,,,74-68,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
4:08.0,,,74-68,,Personal foul by J. Green (drawn by D. Jordan)
4:08.0,D. Jordan makes free throw 1 of 2,1,75-68,,
4:08.0,D. Jordan misses free throw 2 of 2,,75-68,,
4:08.0,J. Crawford enters the game for J. Redick,,75-68,,
4:08.0,,,75-68,,E. Payton enters the game for D. Augustin
4:06.0,,,75-68,,Defensive rebound by E. Payton
4:01.0,,,75-71,3,E. Fournier makes 3-pt shot from 27 ft (assist by E. Payton)
3:59.0,LA Clippers full timeout,,75-71,,
3:57.0,,,75-71,,Personal take foul by J. Green (drawn by D. Jordan)
3:57.0,D. Jordan misses free throw 1 of 2,,75-71,,
3:57.0,Offensive rebound by Team,,75-71,,
3:57.0,D. Jordan makes free throw 2 of 2,1,76-71,,
3:45.0,,,76-71,,E. Fournier misses 3-pt shot from 26 ft
3:44.0,,,76-71,,Offensive rebound by Team
3:44.0,Loose ball foul by A. Rivers (drawn by S. Ibaka),,76-71,,
3:44.0,,,76-71,,D. Rudez enters the game for S. Ibaka
3:34.0,,,76-71,,D. Rudez misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by B. Griffin,,76-71,,
3:32.0,,,76-71,,Personal take foul by J. Green (drawn by D. Jordan)
3:32.0,D. Jordan misses free throw 1 of 2,,76-71,,
3:32.0,Offensive rebound by Team,,76-71,,
3:32.0,D. Jordan misses free throw 2 of 2,,76-71,,
3:32.0,R. Felton enters the game for A. Rivers,,76-71,,
3:31.0,Offensive rebound by B. Griffin,,76-71,,
3:27.0,,,76-71,,Personal take foul by D. Rudez (drawn by D. Jordan)
3:27.0,D. Jordan makes free throw 1 of 2,1,77-71,,
3:27.0,D. Jordan makes free throw 2 of 2,1,78-71,,
3:07.0,,,78-74,3,J. Green makes 3-pt shot from 28 ft (assist by D. Rudez)
3:03.0,,,78-74,,Personal take foul by D. Rudez (drawn by C. Paul)
3:03.0,D. Jordan makes free throw 1 of 2,1,79-74,,
3:03.0,D. Jordan misses free throw 2 of 2,,79-74,,
3:02.0,,,79-74,,Defensive rebound by E. Payton
2:50.0,,,79-74,,J. Green misses 3-pt shot from 27 ft
2:48.0,Defensive rebound by R. Felton,,79-74,,
2:47.0,,,79-74,,Personal take foul by D. Rudez (drawn by D. Jordan)
2:47.0,D. Jordan makes free throw 1 of 2,1,80-74,,
2:47.0,D. Jordan makes free throw 2 of 2,1,81-74,,
2:47.0,A. Anderson enters the game for C. Paul,,80-74,,
2:33.0,,,81-77,3,D. Rudez makes 3-pt shot from 23 ft (assist by E. Fournier)
2:27.0,,,81-77,,Personal take foul by D. Rudez (drawn by D. Jordan)
2:27.0,D. Jordan makes free throw 1 of 2,1,82-77,,
2:27.0,D. Jordan makes free throw 2 of 2,1,83-77,,
2:16.0,,,83-79,2,E. Payton makes 2-pt shot from 3 ft (assist by E. Fournier)
2:12.0,,,83-79,,Personal take foul by D. Rudez (drawn by D. Jordan)
2:12.0,D. Jordan makes free throw 1 of 2,1,84-79,,
2:12.0,D. Jordan makes free throw 2 of 2,1,85-79,,
2:12.0,,,84-79,,B. Biyombo enters the game for D. Rudez
2:05.0,Personal foul by R. Felton (drawn by B. Biyombo),,85-79,,
2:05.0,M. Speights enters the game for D. Jordan,,85-79,,
2:05.0,W. Johnson enters the game for B. Griffin,,85-79,,
2:05.0,,,85-79,,J. Meeks enters the game for A. Gordon
2:04.0,Personal take foul by M. Speights (drawn by B. Biyombo),,85-79,,
2:04.0,,,85-79,,B. Biyombo misses free throw 1 of 2
2:04.0,,,85-79,,Offensive rebound by Team
2:04.0,,,85-79,,B. Biyombo misses free throw 2 of 2
2:03.0,Defensive rebound by M. Speights,,85-79,,
1:40.0,R. Felton misses 3-pt shot from 27 ft,,85-79,,
1:39.0,,,85-79,,Defensive rebound by B. Biyombo
1:28.0,,,85-82,3,J. Green makes 3-pt shot from 25 ft (assist by E. Payton)
1:06.0,M. Speights misses 2-pt shot from 6 ft,,85-82,,
1:04.0,,,85-82,,Defensive rebound by J. Green
0:54.0,,,85-84,2,E. Fournier makes 2-pt shot from 7 ft (assist by E. Payton)
0:40.0,R. Felton misses 2-pt shot from 3 ft,,85-84,,
0:40.0,Offensive rebound by Team,,85-84,,
0:40.0,Shooting foul by E. Payton (drawn by R. Felton),,85-84,,
0:40.0,R. Felton makes free throw 1 of 2,1,86-84,,
0:40.0,R. Felton makes free throw 2 of 2,1,87-84,,
0:21.0,,,87-87,3,J. Green makes 3-pt shot from 23 ft (assist by E. Fournier)
0:02.0,J. Crawford misses 3-pt shot from 28 ft,,87-87,,
0:01.0,Offensive rebound by Team,,87-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Crawford misses 2-pt shot from 20 ft,,87-87,,
11:39.0,,,87-87,,Defensive rebound by S. Ibaka
11:21.0,,,87-87,,J. Meeks misses 3-pt shot from 27 ft
11:20.0,Defensive rebound by W. Johnson,,87-87,,
11:12.0,Turnover by M. Speights (bad pass; steal by J. Green),,87-87,,
10:50.0,,,87-87,,S. Ibaka misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by M. Speights,,87-87,,
10:34.0,M. Speights makes 3-pt shot from 27 ft (assist by J. Crawford),3,90-87,,
10:17.0,,,90-87,,E. Payton misses 2-pt shot from 20 ft
10:15.0,Defensive rebound by W. Johnson,,90-87,,
10:02.0,A. Anderson misses 2-pt shot from 21 ft,,90-87,,
10:01.0,,,90-87,,Defensive rebound by S. Ibaka
9:49.0,,,90-87,,Turnover by J. Green (bad pass; steal by W. Johnson)
9:39.0,R. Felton makes 2-pt shot from 2 ft,2,92-87,,
9:38.0,,,92-87,,Orlando full timeout
9:38.0,A. Rivers enters the game for A. Anderson,,92-87,,
9:26.0,,,92-87,,E. Payton misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by W. Johnson,,92-87,,
9:10.0,M. Speights misses 2-pt shot from 14 ft,,92-87,,
9:10.0,Offensive rebound by Team,,92-87,,
9:10.0,,,92-87,,Loose ball foul by E. Payton (drawn by W. Johnson)
9:10.0,,,92-87,,A. Gordon enters the game for J. Meeks
8:59.0,R. Felton misses 2-pt shot from 9 ft,,92-87,,
8:58.0,Offensive rebound by M. Speights,,92-87,,
8:56.0,M. Speights misses 2-pt shot from 5 ft,,92-87,,
8:56.0,,,92-87,,Defensive rebound by S. Ibaka
8:56.0,Personal foul by M. Speights (drawn by S. Ibaka),,92-87,,
8:42.0,Personal foul by M. Speights (drawn by E. Payton),,92-87,,
8:34.0,,,92-87,,J. Green misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by Team,,92-87,,
8:19.0,A. Rivers makes 3-pt shot from 27 ft,3,95-87,,
8:09.0,,,95-89,2,A. Gordon makes 2-pt shot from 2 ft (assist by J. Green)
7:49.0,A. Rivers misses 3-pt shot from 26 ft,,95-89,,
7:46.0,,,95-89,,Defensive rebound by J. Green
7:40.0,,,95-89,,S. Ibaka misses 2-pt shot from 3 ft
7:39.0,,,95-89,,Offensive rebound by S. Ibaka
7:39.0,,,95-89,,Shooting foul by M. Speights (drawn by S. Ibaka)
7:39.0,,,95-90,1,S. Ibaka makes free throw 1 of 2
7:39.0,,,95-90,,S. Ibaka misses free throw 2 of 2
7:39.0,B. Griffin enters the game for W. Johnson,,95-90,,
7:39.0,,,95-90,,E. Fournier enters the game for E. Payton
7:39.0,,,95-90,,B. Biyombo enters the game for J. Green
7:38.0,Defensive rebound by B. Griffin,,95-90,,
7:13.0,A. Rivers makes 3-pt shot from 23 ft,3,98-90,,
6:57.0,,,98-90,,S. Ibaka misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by B. Griffin,,98-90,,
6:38.0,Turnover by B. Griffin (bad pass; steal by D. Augustin),,98-90,,
6:24.0,,,98-93,3,E. Fournier makes 3-pt shot from 26 ft
6:15.0,LA Clippers full timeout,,98-93,,
6:15.0,D. Jordan enters the game for R. Felton,,98-93,,
6:15.0,C. Paul enters the game for M. Speights,,98-93,,
6:04.0,Offensive foul by B. Griffin,,98-93,,
6:04.0,Turnover by B. Griffin (offensive foul),,98-93,,
6:04.0,J. Redick enters the game for J. Crawford,,98-93,,
5:51.0,,,98-93,,Turnover by A. Gordon (bad pass; steal by D. Jordan)
5:35.0,,,98-93,,Personal foul by E. Fournier (drawn by B. Griffin)
5:28.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,100-93,,
5:11.0,,,100-95,2,E. Fournier makes 2-pt shot from 23 ft (assist by D. Augustin)
4:45.0,B. Griffin misses 2-pt shot from 16 ft,,100-95,,
4:44.0,,,100-95,,Defensive rebound by Team
4:29.0,,,100-95,,E. Fournier misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by D. Jordan,,100-95,,
4:28.0,,,100-95,,Personal foul by E. Fournier (drawn by D. Jordan)
4:28.0,,,100-95,,E. Payton enters the game for E. Fournier
4:21.0,,,100-95,,Personal foul by E. Payton (drawn by C. Paul)
4:12.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,102-95,,
4:00.0,,,102-95,,A. Gordon misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by C. Paul,,102-95,,
3:44.0,A. Rivers misses 3-pt shot from 31 ft,,102-95,,
3:42.0,,,102-95,,Defensive rebound by A. Gordon
3:38.0,,,102-95,,E. Payton misses 2-pt shot from 1 ft
