time,LA Lakers,pts.away,score,pts.home,Atlanta
7:22.0,,,12-9,,Shooting foul by J. Randle (drawn by P. Millsap)
7:22.0,,,12-10,1,P. Millsap makes free throw 1 of 2
7:22.0,,,12-11,1,P. Millsap makes free throw 2 of 2
7:11.0,,,12-11,,Personal foul by D. Schroder (drawn by D. Russell)
7:11.0,,,12-11,,M. Muscala enters the game for P. Millsap
7:08.0,Turnover by L. Deng (bad pass),,12-11,,
6:56.0,,,12-11,,Turnover by D. Howard (lost ball)
6:41.0,D. Russell misses 2-pt shot from 14 ft,,12-11,,
6:40.0,Offensive rebound by D. Russell,,12-11,,
6:40.0,Shooting foul by K. Korver (drawn by L. Deng),,12-11,,
6:40.0,L. Deng makes free throw 1 of 2,1,13-11,,
6:40.0,L. Deng makes free throw 2 of 2,1,14-11,,
6:40.0,,,13-11,,T. Hardaway enters the game for K. Korver
6:32.0,,,14-11,,Shooting foul by I. Zubac (drawn by D. Howard)
6:32.0,,,14-12,1,D. Howard makes free throw 1 of 2
6:32.0,,,14-12,,D. Howard misses free throw 2 of 2
6:32.0,T. Black enters the game for I. Zubac,,14-12,,
6:30.0,,,14-12,,Offensive rebound by M. Muscala
6:21.0,,,14-14,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Muscala)
6:07.0,N. Young misses 3-pt shot from 24 ft,,14-14,,
6:06.0,,,14-14,,Defensive rebound by D. Howard
5:59.0,,,14-14,,D. Schroder misses 2-pt shot from 24 ft
5:57.0,Defensive rebound by T. Black,,14-14,,
5:49.0,D. Russell misses 2-pt shot from 15 ft,,14-14,,
5:48.0,,,14-14,,Defensive rebound by D. Howard
5:44.0,,,14-14,,Turnover by T. Hardaway (step out of bounds)
5:44.0,,,14-14,,Atlanta full timeout
5:44.0,B. Ingram enters the game for L. Deng,,14-14,,
5:44.0,J. Clarkson enters the game for N. Young,,14-14,,
5:27.0,Turnover by B. Ingram (lost ball; steal by D. Howard),,14-14,,
5:27.0,Personal foul by B. Ingram (drawn by D. Howard),,14-14,,
5:27.0,,,14-14,,D. Howard misses free throw 1 of 2
5:27.0,,,14-14,,Offensive rebound by Team
5:27.0,,,14-14,,D. Howard misses free throw 2 of 2
5:26.0,Defensive rebound by B. Ingram,,14-14,,
5:05.0,J. Randle makes 2-pt shot from 14 ft (assist by B. Ingram),2,16-14,,
4:47.0,,,16-17,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Muscala)
4:40.0,,,16-17,,Personal foul by M. Muscala (drawn by J. Randle)
4:40.0,,,16-17,,M. Delaney enters the game for D. Schroder
4:26.0,J. Clarkson misses 3-pt shot from 25 ft,,16-17,,
4:25.0,,,16-17,,Defensive rebound by M. Muscala
4:20.0,L. Nance enters the game for J. Randle,,16-17,,
4:20.0,L. Williams enters the game for D. Russell,,16-17,,
4:10.0,,,16-19,2,T. Hardaway makes 2-pt shot from 2 ft (assist by K. Bazemore)
3:52.0,T. Black makes 2-pt shot from 3 ft (assist by J. Clarkson),2,18-19,,
3:31.0,,,18-19,,K. Bazemore misses 2-pt shot from 1 ft (block by L. Nance)
3:31.0,,,18-19,,Offensive rebound by Team
3:31.0,,,18-19,,T. Sefolosha enters the game for K. Bazemore
3:27.0,,,18-19,,Shooting foul by T. Black (drawn by D. Howard)
3:27.0,,,18-20,1,D. Howard makes free throw 1 of 2
3:27.0,,,18-21,1,D. Howard makes free throw 2 of 2
3:14.0,J. Clarkson misses 2-pt shot from 23 ft,,18-21,,
3:12.0,,,18-21,,Defensive rebound by D. Howard
3:06.0,,,18-21,,T. Sefolosha misses 2-pt shot from 2 ft (block by T. Black)
3:06.0,,,18-21,,Offensive rebound by Team
3:06.0,,,18-21,,P. Millsap enters the game for D. Howard
2:59.0,,,18-24,3,T. Hardaway makes 3-pt shot from 24 ft (assist by T. Sefolosha)
2:48.0,L. Williams makes 2-pt shot from 3 ft,2,20-24,,
2:36.0,,,20-24,,T. Hardaway misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by L. Williams,,20-24,,
2:26.0,L. Nance makes 2-pt shot from 20 ft (assist by L. Williams),2,22-24,,
2:12.0,,,22-26,2,M. Muscala makes 2-pt shot from 19 ft (assist by M. Delaney)
1:50.0,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson),2,24-26,,
1:37.0,,,24-26,,P. Millsap misses 2-pt shot from 4 ft (block by J. Clarkson)
1:35.0,Defensive rebound by L. Nance,,24-26,,
1:30.0,J. Clarkson makes 2-pt shot from 1 ft,2,26-26,,
1:09.0,,,26-29,3,M. Muscala makes 3-pt shot from 23 ft (assist by T. Hardaway)
0:57.0,J. Clarkson makes 2-pt shot from 7 ft,2,28-29,,
0:48.0,Personal foul by J. Clarkson (drawn by M. Delaney),,28-29,,
0:48.0,LA Lakers full timeout,,28-29,,
0:48.0,,,28-30,1,M. Delaney makes free throw 1 of 2
0:48.0,,,28-31,1,M. Delaney makes free throw 2 of 2
0:37.0,L. Williams misses 3-pt shot from 24 ft,,28-31,,
0:37.0,,,28-31,,Defensive rebound by Team
0:28.0,,,28-34,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Delaney)
0:07.0,Turnover by B. Ingram (bad pass; steal by P. Millsap),,28-34,,
0:00.0,,,28-37,3,T. Hardaway makes 3-pt shot from 26 ft (assist by T. Sefolosha)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Clarkson misses 2-pt shot from 15 ft,,28-37,,
11:37.0,,,28-37,,Defensive rebound by T. Sefolosha
11:26.0,Personal foul by B. Ingram (drawn by P. Millsap),,28-37,,
11:15.0,,,28-37,,Shooting foul by T. Black (drawn by P. Millsap)
11:15.0,,,28-38,1,P. Millsap makes free throw 1 of 2
11:15.0,,,28-38,,P. Millsap misses free throw 2 of 2
11:15.0,Defensive rebound by Team,,28-38,,
11:15.0,,,28-38,,Loose ball foul by K. Humphries (drawn by L. Nance)
11:15.0,,,28-38,,K. Humphries enters the game for M. Muscala
11:04.0,L. Williams misses 2-pt shot from 18 ft,,28-38,,
11:02.0,,,28-38,,Defensive rebound by M. Delaney
10:52.0,,,28-38,,Turnover by K. Humphries (lost ball)
10:41.0,L. Nance misses 2-pt shot from 1 ft,,28-38,,
10:40.0,Offensive rebound by T. Black,,28-38,,
10:38.0,T. Black misses 2-pt shot from 1 ft,,28-38,,
10:37.0,,,28-38,,Defensive rebound by P. Millsap
10:23.0,,,28-38,,P. Millsap misses 2-pt shot from 13 ft
10:21.0,Defensive rebound by L. Nance,,28-38,,
10:05.0,J. Clarkson makes 2-pt shot from 6 ft,2,30-38,,
9:53.0,,,30-38,,T. Sefolosha misses 2-pt shot from 12 ft
9:50.0,Defensive rebound by J. Clarkson,,30-38,,
9:40.0,Turnover by J. Clarkson (bad pass; steal by T. Sefolosha),,30-38,,
9:32.0,,,30-38,,P. Millsap misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by L. Nance,,30-38,,
9:18.0,L. Williams misses 3-pt shot from 25 ft,,30-38,,
9:17.0,,,30-38,,Defensive rebound by P. Millsap
9:00.0,,,30-38,,K. Humphries misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by B. Ingram,,30-38,,
8:50.0,B. Ingram misses 2-pt shot from 17 ft,,30-38,,
8:48.0,,,30-38,,Defensive rebound by T. Sefolosha
8:42.0,,,30-38,,M. Delaney misses 2-pt shot from 10 ft (block by B. Ingram)
8:42.0,,,30-38,,Offensive rebound by Team
8:42.0,Official timeout,,30-38,,
8:42.0,,,30-38,,K. Korver enters the game for T. Hardaway
8:42.0,I. Zubac enters the game for T. Black,,30-38,,
8:26.0,,,30-38,,M. Delaney misses 3-pt shot from 27 ft
8:25.0,,,30-38,,Offensive rebound by K. Humphries
8:16.0,,,30-40,2,P. Millsap makes 2-pt shot from 15 ft (assist by M. Delaney)
7:51.0,J. Clarkson makes 2-pt shot from 20 ft,2,32-40,,
7:40.0,,,32-40,,Turnover by K. Korver (lost ball; steal by J. Clarkson)
7:35.0,J. Clarkson makes 2-pt shot from 1 ft,2,34-40,,
7:26.0,,,34-42,2,K. Humphries makes 2-pt shot from 17 ft (assist by T. Sefolosha)
7:07.0,J. Clarkson makes 2-pt shot from 21 ft,2,36-42,,
6:46.0,,,36-44,2,T. Sefolosha makes 2-pt shot at rim
6:35.0,Turnover by L. Williams (lost ball; steal by T. Sefolosha),,36-44,,
6:29.0,,,36-44,,Turnover by M. Delaney (bad pass; steal by L. Nance)
6:20.0,L. Williams misses 2-pt shot from 8 ft,,36-44,,
6:20.0,,,36-44,,Defensive rebound by Team
6:20.0,Loose ball foul by L. Williams,,36-44,,
6:20.0,,,36-44,,D. Howard enters the game for P. Millsap
6:20.0,,,36-44,,K. Bazemore enters the game for M. Delaney
6:20.0,,,36-44,,D. Schroder enters the game for T. Sefolosha
6:20.0,N. Young enters the game for B. Ingram,,36-44,,
6:20.0,D. Russell enters the game for L. Nance,,36-44,,
6:20.0,J. Randle enters the game for L. Williams,,36-44,,
6:08.0,,,36-46,2,D. Schroder makes 2-pt shot from 1 ft
6:01.0,J. Clarkson makes 3-pt shot from 25 ft (assist by D. Russell),3,39-46,,
5:45.0,,,39-48,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
5:23.0,,,39-48,,Atlanta full timeout
5:21.0,Turnover by D. Russell (bad pass; steal by K. Bazemore),,39-48,,
5:11.0,,,39-50,2,K. Humphries makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:56.0,J. Randle makes 2-pt shot from 17 ft,2,41-50,,
4:38.0,Personal foul by I. Zubac (drawn by D. Howard),,41-50,,
4:38.0,L. Deng enters the game for J. Clarkson,,41-50,,
4:38.0,T. Black enters the game for I. Zubac,,41-50,,
4:32.0,,,41-52,2,D. Schroder makes 2-pt shot from 1 ft
4:17.0,D. Russell makes 2-pt shot from 6 ft,2,43-52,,
4:17.0,Shooting foul by D. Schroder (drawn by D. Russell),,43-52,,
4:17.0,D. Russell makes free throw 1 of 1,1,44-52,,
4:06.0,,,44-52,,K. Bazemore misses 2-pt shot from 18 ft
4:04.0,Defensive rebound by J. Randle,,44-52,,
3:55.0,J. Randle misses 2-pt shot from 16 ft,,44-52,,
3:53.0,,,44-52,,Defensive rebound by K. Korver
3:44.0,,,44-52,,D. Schroder misses 2-pt shot from 10 ft (block by D. Russell)
3:44.0,,,44-52,,Offensive rebound by Team
3:40.0,,,44-52,,D. Howard misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by J. Randle,,44-52,,
3:24.0,L. Deng misses 2-pt shot from 8 ft,,44-52,,
3:23.0,Offensive rebound by T. Black,,44-52,,
3:19.0,T. Black misses 2-pt shot at rim,,44-52,,
3:18.0,Offensive rebound by L. Deng,,44-52,,
3:18.0,L. Deng makes 2-pt shot from 1 ft,2,46-52,,
3:02.0,,,46-52,,Turnover by K. Humphries (lost ball; steal by J. Randle)
2:58.0,Turnover by J. Randle (bad pass),,46-52,,
2:58.0,LA Lakers full timeout,,46-52,,
2:58.0,,,46-52,,T. Hardaway enters the game for K. Korver
2:58.0,,,46-52,,P. Millsap enters the game for K. Humphries
2:45.0,,,46-52,,Turnover by T. Hardaway (bad pass; steal by D. Russell)
2:43.0,D. Russell makes 2-pt shot at rim,2,48-52,,
2:43.0,Shooting foul by P. Millsap (drawn by D. Russell),,48-52,,
2:43.0,D. Russell makes free throw 1 of 1,1,49-52,,
2:30.0,,,49-52,,K. Bazemore misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by J. Randle,,49-52,,
2:19.0,Turnover by N. Young (bad pass; steal by K. Bazemore),,49-52,,
2:17.0,,,49-52,,Shooting foul by N. Young (drawn by T. Hardaway)
2:17.0,,,49-53,1,T. Hardaway makes free throw 1 of 2
2:17.0,,,49-54,1,T. Hardaway makes free throw 2 of 2
2:00.0,N. Young misses 3-pt shot from 25 ft,,49-54,,
1:58.0,,,49-54,,Defensive rebound by D. Schroder
1:40.0,,,49-54,,Turnover by P. Millsap (lost ball)
1:40.0,,,49-54,,T. Sefolosha enters the game for D. Schroder
1:27.0,D. Russell makes 2-pt shot from 4 ft,2,51-54,,
1:17.0,Personal foul by T. Black (drawn by D. Howard),,51-54,,
1:17.0,,,51-55,1,D. Howard makes free throw 1 of 2
1:17.0,,,51-56,1,D. Howard makes free throw 2 of 2
1:17.0,B. Ingram enters the game for T. Black,,51-55,,
1:08.0,D. Russell misses 3-pt shot from 25 ft,,51-56,,
1:06.0,,,51-56,,Defensive rebound by P. Millsap
0:58.0,,,51-56,,T. Sefolosha misses 3-pt shot from 23 ft
0:55.0,,,51-56,,Offensive rebound by T. Sefolosha
0:52.0,,,51-56,,Turnover by T. Sefolosha (bad pass; steal by L. Deng)
0:42.0,L. Deng misses 2-pt shot from 17 ft,,51-56,,
0:41.0,,,51-56,,Defensive rebound by P. Millsap
0:36.0,,,51-58,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
0:22.0,,,51-58,,Personal foul by K. Bazemore (drawn by N. Young)
0:14.0,Turnover by D. Russell (bad pass),,51-58,,
0:14.0,,,51-58,,K. Korver enters the game for D. Howard
0:14.0,L. Nance enters the game for B. Ingram,,51-58,,
0:03.0,,,51-60,2,K. Bazemore makes 2-pt shot from 2 ft
0:00.0,D. Russell misses 3-pt shot from 49 ft (block by T. Hardaway),,51-60,,
0:00.0,Offensive rebound by Team,,51-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by D. Russell (bad pass; steal by K. Bazemore),,51-60,,
11:37.0,,,51-62,2,K. Bazemore makes 2-pt shot from 1 ft
11:31.0,LA Lakers full timeout,,51-62,,
11:09.0,J. Randle misses 2-pt shot at rim,,51-62,,
11:08.0,Offensive rebound by I. Zubac,,51-62,,
11:01.0,,,51-62,,Violation by D. Howard (def goaltending)
11:01.0,I. Zubac makes 2-pt shot from 1 ft,2,53-62,,
10:51.0,,,53-62,,K. Bazemore misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by L. Deng,,53-62,,
10:43.0,D. Russell misses 2-pt shot from 14 ft,,53-62,,
10:42.0,Offensive rebound by J. Randle,,53-62,,
10:41.0,Shooting foul by D. Howard (drawn by J. Randle),,53-62,,
10:41.0,J. Randle makes free throw 1 of 2,1,54-62,,
10:41.0,J. Randle misses free throw 2 of 2,,54-62,,
10:40.0,Offensive rebound by J. Randle,,54-62,,
10:34.0,L. Deng makes 2-pt shot from 20 ft,2,56-62,,
10:26.0,Personal foul by J. Randle (drawn by P. Millsap),,56-62,,
10:22.0,,,56-64,2,K. Bazemore makes 2-pt shot at rim (assist by K. Korver)
10:06.0,N. Young misses 2-pt shot from 13 ft,,56-64,,
10:03.0,,,56-64,,Defensive rebound by D. Schroder
10:00.0,,,56-64,,D. Schroder misses 2-pt shot at rim (block by D. Russell)
10:00.0,,,56-64,,Offensive rebound by Team
9:47.0,,,56-66,2,P. Millsap makes 2-pt shot from 2 ft
9:35.0,Offensive charge foul by J. Randle,,56-66,,
9:35.0,Turnover by J. Randle (offensive foul),,56-66,,
9:17.0,,,56-68,2,D. Howard makes 2-pt shot from 2 ft
9:04.0,Shooting foul by P. Millsap (drawn by J. Randle),,56-68,,
9:04.0,J. Randle makes free throw 1 of 2,1,57-68,,
9:04.0,J. Randle makes free throw 2 of 2,1,58-68,,
8:53.0,,,58-68,,Turnover by P. Millsap (bad pass; steal by N. Young)
8:49.0,,,58-68,,Personal foul by K. Korver (drawn by L. Deng)
8:40.0,J. Randle misses 2-pt shot from 22 ft,,58-68,,
8:39.0,,,58-68,,Defensive rebound by P. Millsap
8:32.0,,,58-68,,Turnover by D. Schroder (bad pass; steal by I. Zubac)
8:26.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell),3,61-68,,
8:25.0,,,61-68,,Atlanta full timeout
8:16.0,,,61-68,,D. Schroder misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by D. Russell,,61-68,,
8:07.0,N. Young makes 3-pt shot from 25 ft (assist by D. Russell),3,64-68,,
7:55.0,,,64-70,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:33.0,N. Young makes 2-pt shot from 21 ft,2,66-70,,
7:20.0,,,66-70,,P. Millsap misses 2-pt shot from 11 ft
7:18.0,Defensive rebound by L. Deng,,66-70,,
7:10.0,D. Russell makes 2-pt shot from 20 ft,2,68-70,,
6:49.0,,,68-72,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
6:36.0,D. Russell makes 2-pt shot from 1 ft (assist by J. Randle),2,70-72,,
6:06.0,,,70-74,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
5:52.0,N. Young misses 3-pt shot from 24 ft,,70-74,,
5:51.0,,,70-74,,Defensive rebound by K. Korver
5:41.0,,,70-74,,D. Howard misses 2-pt shot from 1 ft
5:40.0,,,70-74,,Offensive rebound by D. Howard
5:37.0,,,70-77,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Bazemore)
5:16.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,73-77,,
5:05.0,,,73-77,,P. Millsap misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by I. Zubac,,73-77,,
4:53.0,D. Russell misses 2-pt shot from 19 ft,,73-77,,
4:50.0,,,73-77,,Defensive rebound by D. Howard
4:35.0,,,73-79,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
4:16.0,L. Deng misses 2-pt shot from 20 ft,,73-79,,
4:15.0,,,73-79,,Defensive rebound by P. Millsap
4:09.0,,,73-79,,K. Bazemore misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by I. Zubac,,73-79,,
4:03.0,N. Young makes 2-pt shot at rim (assist by L. Deng),2,75-79,,
3:39.0,,,75-79,,K. Korver misses 3-pt shot from 23 ft
3:38.0,,,75-79,,Offensive rebound by P. Millsap
3:37.0,,,75-79,,P. Millsap misses 2-pt shot at rim (block by L. Deng)
3:35.0,Defensive rebound by N. Young,,75-79,,
3:25.0,Shooting foul by D. Howard (drawn by L. Deng),,75-79,,
3:25.0,L. Deng makes free throw 1 of 2,1,76-79,,
3:25.0,L. Deng makes free throw 2 of 2,1,77-79,,
3:25.0,,,76-79,,K. Humphries enters the game for K. Bazemore
3:25.0,,,76-79,,T. Sefolosha enters the game for P. Millsap
3:25.0,,,76-79,,M. Delaney enters the game for D. Howard
3:25.0,,,76-79,,T. Hardaway enters the game for K. Korver
3:25.0,,,76-79,,M. Muscala enters the game for D. Schroder
3:25.0,L. Nance enters the game for J. Randle,,76-79,,
3:25.0,T. Black enters the game for I. Zubac,,76-79,,
3:25.0,J. Clarkson enters the game for N. Young,,76-79,,
3:13.0,,,77-79,,M. Delaney misses 2-pt shot from 10 ft (block by D. Russell)
3:11.0,,,77-79,,Offensive rebound by M. Delaney
3:07.0,,,77-79,,Shooting foul by J. Clarkson (drawn by T. Hardaway)
3:07.0,,,77-79,,T. Hardaway misses free throw 1 of 2
3:07.0,,,77-79,,Offensive rebound by Team
3:07.0,,,77-80,1,T. Hardaway makes free throw 2 of 2
3:07.0,N. Young enters the game for L. Deng,,77-79,,
2:55.0,D. Russell makes 3-pt shot from 23 ft (assist by J. Clarkson),3,80-80,,
2:35.0,,,80-80,,Turnover by M. Muscala (step out of bounds)
2:23.0,J. Clarkson misses 3-pt shot from 25 ft,,80-80,,
2:20.0,,,80-80,,Defensive rebound by M. Delaney
2:12.0,,,80-82,2,T. Hardaway makes 2-pt shot from 17 ft (assist by K. Humphries)
2:00.0,D. Russell misses 2-pt shot from 10 ft,,80-82,,
1:59.0,Offensive rebound by Team,,80-82,,
1:59.0,,,80-82,,Loose ball foul by K. Humphries (drawn by D. Russell)
1:53.0,N. Young makes 2-pt shot from 2 ft (assist by L. Nance),2,82-82,,
1:41.0,,,82-82,,Shooting foul by J. Clarkson (drawn by T. Hardaway)
1:41.0,,,82-83,1,T. Hardaway makes free throw 1 of 3
1:41.0,,,82-84,1,T. Hardaway makes free throw 2 of 3
1:41.0,,,82-84,,T. Hardaway misses free throw 3 of 3
1:39.0,,,82-84,,Offensive rebound by M. Muscala
1:35.0,,,82-87,3,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Muscala)
1:21.0,T. Black makes 2-pt shot from 1 ft,2,84-87,,
1:06.0,,,84-87,,Shooting foul by T. Black (drawn by K. Humphries)
1:06.0,,,84-88,1,K. Humphries makes free throw 1 of 2
1:06.0,,,84-88,,Violation by Team (double lane)
1:06.0,,,84-89,1,K. Humphries makes free throw 2 of 2
1:01.0,Shooting foul by M. Delaney (drawn by D. Russell),,84-89,,
1:01.0,D. Russell makes free throw 1 of 2,1,85-89,,
1:01.0,D. Russell makes free throw 2 of 2,1,86-89,,
1:01.0,L. Williams enters the game for N. Young,,85-89,,
0:41.0,,,86-92,3,K. Humphries makes 3-pt shot from 25 ft (assist by M. Delaney)
0:35.0,L. Nance makes 2-pt shot at rim,2,88-92,,
0:35.0,Away from play foul by T. Black (drawn by K. Humphries),,88-92,,
0:35.0,,,88-93,1,K. Humphries makes free throw 1 of 2
0:35.0,,,88-94,1,K. Humphries makes free throw 2 of 2
0:35.0,I. Zubac enters the game for T. Black,,88-93,,
0:24.0,L. Nance makes 2-pt shot from 7 ft (assist by D. Russell),2,90-94,,
0:01.0,,,90-94,,T. Sefolosha misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by L. Williams,,90-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,90-96,2,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Delaney)
11:34.0,Shooting foul by M. Delaney,,90-96,,
11:34.0,L. Williams makes free throw 1 of 3,1,91-96,,
11:34.0,L. Williams makes free throw 2 of 3,1,92-96,,
11:34.0,L. Williams makes free throw 3 of 3,1,93-96,,
11:21.0,,,93-96,,K. Humphries misses 2-pt shot from 19 ft
11:20.0,,,93-96,,Offensive rebound by M. Muscala
11:19.0,,,93-98,2,M. Muscala makes 2-pt shot from 1 ft
11:00.0,L. Williams makes 3-pt shot from 23 ft (assist by L. Deng),3,96-98,,
10:39.0,,,96-98,,M. Delaney misses 2-pt shot from 21 ft
10:37.0,Defensive rebound by J. Clarkson,,96-98,,
10:31.0,B. Ingram makes 3-pt shot from 25 ft (assist by L. Williams),3,99-98,,
10:15.0,Personal foul by L. Deng (drawn by M. Muscala),,99-98,,
10:11.0,Personal foul by J. Clarkson (drawn by T. Hardaway),,99-98,,
9:59.0,,,99-98,,K. Humphries misses 2-pt shot from 8 ft
9:57.0,Defensive rebound by L. Nance,,99-98,,
9:52.0,L. Williams makes 2-pt shot from 10 ft,2,101-98,,
9:52.0,Shooting foul by K. Humphries,,101-98,,
9:52.0,L. Williams makes free throw 1 of 1,1,102-98,,
9:52.0,,,101-98,,P. Millsap enters the game for K. Humphries
9:40.0,,,102-100,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by M. Delaney)
9:16.0,L. Deng misses 2-pt shot from 20 ft,,102-100,,
9:14.0,,,102-100,,Defensive rebound by T. Sefolosha
9:09.0,,,102-100,,Turnover by T. Sefolosha (bad pass; steal by L. Williams)
9:01.0,J. Clarkson misses 2-pt shot from 1 ft,,102-100,,
8:58.0,Offensive rebound by L. Nance,,102-100,,
8:58.0,L. Nance makes 2-pt shot at rim,2,104-100,,
8:41.0,,,104-100,,Turnover by P. Millsap (bad pass; steal by L. Deng)
8:31.0,L. Williams misses 3-pt shot from 24 ft,,104-100,,
8:30.0,,,104-100,,Defensive rebound by M. Muscala
8:20.0,,,104-100,,T. Hardaway misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by L. Williams,,104-100,,
8:07.0,Shooting foul by M. Delaney (drawn by J. Clarkson),,104-100,,
8:07.0,Official timeout,,104-100,,
8:07.0,J. Clarkson misses free throw 1 of 2,,104-100,,
8:07.0,Offensive rebound by Team,,104-100,,
8:07.0,J. Clarkson makes free throw 2 of 2,1,105-100,,
8:07.0,,,104-100,,D. Howard enters the game for M. Muscala
8:07.0,,,104-100,,D. Schroder enters the game for M. Delaney
7:55.0,,,105-100,,Turnover by T. Hardaway (lost ball; steal by L. Williams)
7:37.0,Turnover by J. Clarkson (bad pass; steal by P. Millsap),,105-100,,
7:37.0,,,105-100,,Turnover by P. Millsap (bad pass)
7:37.0,,,105-100,,K. Bazemore enters the game for T. Hardaway
7:37.0,,,105-100,,K. Korver enters the game for T. Sefolosha
7:30.0,L. Williams makes 2-pt shot from 3 ft,2,107-100,,
7:22.0,Personal foul by L. Williams,,107-100,,
7:16.0,,,107-100,,K. Korver misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by L. Deng,,107-100,,
6:57.0,,,107-100,,Personal foul by D. Howard
6:52.0,Turnover by J. Clarkson (lost ball; steal by D. Howard),,107-100,,
6:47.0,,,107-102,2,D. Schroder makes 2-pt shot from 1 ft
6:29.0,L. Deng misses 2-pt shot from 8 ft,,107-102,,
6:27.0,Offensive rebound by L. Deng,,107-102,,
