time,Golden State,pts.away,score,pts.home,Orlando
2:10.0,K. Durant makes free throw 1 of 1,1,24-22,,
2:10.0,,,23-22,,B. Biyombo enters the game for N. Vucevic
1:59.0,,,24-22,,E. Payton misses 2-pt shot from 16 ft
1:59.0,Defensive rebound by K. Durant,,24-22,,
1:41.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,26-22,,
1:32.0,,,26-22,,A. Gordon misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. McGee,,26-22,,
1:21.0,I. Clark misses 3-pt shot from 27 ft,,26-22,,
1:20.0,Offensive rebound by J. McGee,,26-22,,
1:16.0,I. Clark makes 2-pt shot from 2 ft (assist by J. McGee),2,28-22,,
0:55.0,,,28-22,,J. Green misses 2-pt shot from 14 ft
0:55.0,Defensive rebound by K. Durant,,28-22,,
0:42.0,Jump ball: K. Durant vs. E. Payton (A. Iguodala gains possession),,,,Jump ball: K. Durant vs. E. Payton (A. Iguodala gains possession)
0:33.0,J. McGee misses 2-pt shot from 1 ft (block by J. Green),,28-22,,
0:32.0,,,28-22,,Defensive rebound by D. Augustin
0:16.0,,,28-22,,B. Biyombo misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by Team,,28-22,,
0:16.0,D. Green enters the game for J. McGee,,28-22,,
0:00.0,S. Curry misses 2-pt shot from 1 ft,,28-22,,
0:00.0,Offensive rebound by Team,,28-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-22,,D. Augustin misses 2-pt shot from 19 ft
11:43.0,,,28-22,,Offensive rebound by M. Hezonja
11:30.0,,,28-22,,B. Biyombo misses 2-pt shot from 3 ft
11:30.0,Defensive rebound by A. Iguodala,,28-22,,
11:13.0,Turnover by I. Clark (step out of bounds),,28-22,,
10:59.0,,,28-25,3,C. Watson makes 3-pt shot from 24 ft (assist by D. Augustin)
10:45.0,A. Iguodala misses 3-pt shot from 26 ft,,28-25,,
10:45.0,,,28-25,,Defensive rebound by B. Biyombo
10:43.0,,,28-25,,Orlando full timeout
10:43.0,,,28-25,,E. Payton enters the game for D. Augustin
10:29.0,,,28-25,,J. Green misses 2-pt shot from 20 ft
10:29.0,Defensive rebound by K. Looney,,28-25,,
10:16.0,P. McCaw misses 2-pt shot from 10 ft,,28-25,,
10:16.0,,,28-25,,Defensive rebound by Team
10:16.0,Loose ball foul by K. Looney (drawn by E. Payton),,28-25,,
10:03.0,,,28-27,2,C. Watson makes 2-pt shot from 6 ft
9:47.0,I. Clark misses 3-pt shot from 27 ft,,28-27,,
9:46.0,,,28-27,,Defensive rebound by B. Biyombo
9:40.0,,,28-27,,J. Green misses 2-pt shot from 4 ft
9:40.0,Defensive rebound by Team,,28-27,,
9:40.0,,,28-27,,Loose ball foul by B. Biyombo (drawn by K. Looney)
9:32.0,Turnover by A. Iguodala (dbl dribble),,28-27,,
9:19.0,,,28-29,2,J. Green makes 2-pt shot from 17 ft (assist by C. Watson)
9:01.0,Turnover by I. Clark (bad pass; steal by M. Hezonja),,28-29,,
8:56.0,,,28-31,2,B. Biyombo makes 2-pt shot at rim (assist by J. Green)
8:56.0,Golden State full timeout,,28-31,,
8:56.0,K. Thompson enters the game for I. Clark,,28-31,,
8:42.0,K. Looney misses 2-pt shot from 2 ft (block by B. Biyombo),,28-31,,
8:41.0,,,28-31,,Defensive rebound by M. Hezonja
8:34.0,,,28-31,,J. Green misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by K. Thompson,,28-31,,
8:20.0,P. McCaw misses 2-pt shot from 6 ft (block by B. Biyombo),,28-31,,
8:19.0,,,28-31,,Defensive rebound by M. Hezonja
8:17.0,,,28-33,2,M. Hezonja makes 2-pt shot from 2 ft
8:17.0,,,28-33,,Shooting foul by D. Green (drawn by M. Hezonja)
8:17.0,,,28-33,,M. Hezonja misses free throw 1 of 1
8:16.0,,,28-33,,Offensive rebound by J. Green
8:16.0,,,28-35,2,J. Green makes 2-pt shot from 1 ft
8:16.0,,,28-35,,Shooting foul by D. Green (drawn by M. Hezonja)
8:16.0,,,28-36,1,J. Green makes free throw 1 of 1
8:16.0,Z. Pachulia enters the game for K. Looney,,28-35,,
8:03.0,K. Thompson misses 2-pt shot from 3 ft,,28-36,,
8:02.0,,,28-36,,Defensive rebound by Team
7:42.0,,,28-36,,M. Hezonja misses 3-pt shot from 28 ft
7:41.0,Defensive rebound by D. Green,,28-36,,
7:40.0,,,28-36,,Personal foul by C. Watson (drawn by D. Green)
7:18.0,P. McCaw misses 3-pt shot from 25 ft,,28-36,,
7:18.0,,,28-36,,Defensive rebound by B. Biyombo
7:07.0,,,28-38,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
6:45.0,Z. Pachulia makes 2-pt shot from 5 ft (assist by A. Iguodala),2,30-38,,
6:23.0,,,30-41,3,J. Green makes 3-pt shot from 27 ft (assist by E. Payton)
6:05.0,P. McCaw misses 3-pt shot from 25 ft,,30-41,,
6:05.0,Offensive rebound by D. Green,,30-41,,
6:05.0,Shooting foul by M. Hezonja (drawn by D. Green),,30-41,,
6:05.0,D. Green makes free throw 1 of 2,1,31-41,,
6:05.0,D. Green makes free throw 2 of 2,1,32-41,,
6:05.0,K. Durant enters the game for A. Iguodala,,31-41,,
6:05.0,,,31-41,,A. Gordon enters the game for C. Watson
5:44.0,,,32-41,,E. Payton misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by K. Thompson,,32-41,,
5:33.0,D. Green misses 3-pt shot from 24 ft,,32-41,,
5:33.0,Offensive rebound by Team,,32-41,,
5:33.0,,,32-41,,Loose ball foul by M. Hezonja (drawn by Z. Pachulia)
5:33.0,,,32-41,,Technical foul by M. Hezonja (drawn by Z. Pachulia)
5:33.0,K. Durant makes technical free throw,1,33-41,,
5:33.0,S. Curry enters the game for D. Green,,32-41,,
5:22.0,K. Durant misses 2-pt shot from 13 ft,,33-41,,
5:21.0,,,33-41,,Defensive rebound by E. Payton
5:14.0,,,33-44,3,M. Hezonja makes 3-pt shot from 28 ft (assist by E. Payton)
5:00.0,Z. Pachulia makes 2-pt shot from 5 ft (assist by S. Curry),2,35-44,,
4:46.0,,,35-44,,Shooting foul by Z. Pachulia (drawn by J. Green)
4:46.0,,,35-45,1,J. Green makes free throw 1 of 2
4:46.0,,,35-45,,J. Green misses free throw 2 of 2
4:45.0,Defensive rebound by Z. Pachulia,,35-45,,
4:24.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by P. McCaw),2,37-45,,
4:05.0,,,37-45,,M. Hezonja misses 3-pt shot from 26 ft
4:04.0,,,37-45,,Offensive rebound by B. Biyombo
3:51.0,,,37-45,,J. Green misses 2-pt shot from 21 ft
3:51.0,,,37-45,,Offensive rebound by A. Gordon
3:45.0,,,37-45,,A. Gordon misses 2-pt shot from 2 ft
3:44.0,,,37-45,,Offensive rebound by B. Biyombo
3:43.0,,,37-45,,Shooting foul by S. Curry (drawn by B. Biyombo)
3:43.0,,,37-45,,B. Biyombo misses free throw 1 of 2
3:43.0,,,37-45,,Offensive rebound by Team
3:43.0,,,37-45,,B. Biyombo misses free throw 2 of 2
3:43.0,A. Iguodala enters the game for P. McCaw,,37-45,,
3:43.0,D. Green enters the game for Z. Pachulia,,37-45,,
3:41.0,Defensive rebound by K. Thompson,,37-45,,
3:15.0,A. Iguodala misses 3-pt shot from 26 ft,,37-45,,
3:13.0,,,37-45,,Defensive rebound by E. Payton
2:55.0,,,37-45,,A. Gordon misses 2-pt shot from 19 ft (block by K. Durant)
2:54.0,Defensive rebound by S. Curry,,37-45,,
2:51.0,S. Curry makes 3-pt shot from 28 ft,3,40-45,,
2:25.0,,,40-45,,M. Hezonja misses 3-pt shot from 26 ft
2:23.0,,,40-45,,Offensive rebound by B. Biyombo
2:20.0,,,40-45,,B. Biyombo misses 2-pt shot from 2 ft
2:20.0,,,40-45,,Offensive rebound by Team
2:20.0,Official timeout,,40-45,,
2:20.0,,,40-45,,S. Ibaka enters the game for J. Green
2:20.0,,,40-45,,C. Watson enters the game for B. Biyombo
2:20.0,,,40-45,,N. Vucevic enters the game for M. Hezonja
2:10.0,,,40-47,2,A. Gordon makes 2-pt shot from 16 ft (assist by E. Payton)
1:55.0,Shooting foul by N. Vucevic (drawn by K. Durant),,40-47,,
1:55.0,K. Durant makes free throw 1 of 3,1,41-47,,
1:55.0,K. Durant misses free throw 2 of 3,,41-47,,
1:55.0,Offensive rebound by Team,,41-47,,
1:55.0,K. Durant makes free throw 3 of 3,1,42-47,,
1:47.0,,,42-47,,Turnover by C. Watson (bad pass; steal by K. Durant)
1:42.0,K. Durant makes 2-pt shot from 2 ft,2,44-47,,
1:25.0,,,44-47,,Offensive foul by A. Gordon
1:25.0,,,44-47,,Turnover by A. Gordon (offensive foul)
1:03.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant),3,47-47,,
0:48.0,,,47-47,,C. Watson misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by K. Thompson,,47-47,,
0:43.0,Turnover by D. Green (bad pass),,47-47,,
0:43.0,,,47-47,,J. Green enters the game for N. Vucevic
0:36.0,,,47-47,,E. Payton misses 2-pt shot from 2 ft (block by A. Iguodala)
0:35.0,Defensive rebound by A. Iguodala,,47-47,,
0:29.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,50-47,,
0:12.0,,,50-49,2,C. Watson makes 2-pt shot from 6 ft (assist by E. Payton)
0:12.0,,,50-49,,Shooting foul by K. Durant (drawn by C. Watson)
0:12.0,,,50-50,1,C. Watson makes free throw 1 of 1
0:12.0,Golden State full timeout,,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,50-53,3,S. Ibaka makes 3-pt shot from 25 ft (assist by A. Gordon)
11:22.0,K. Durant misses 2-pt shot from 3 ft,,50-53,,
11:21.0,,,50-53,,Defensive rebound by E. Payton
11:13.0,,,50-53,,A. Gordon misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by Z. Pachulia,,50-53,,
10:51.0,S. Curry misses 3-pt shot from 24 ft (block by N. Vucevic),,50-53,,
10:50.0,Offensive rebound by Z. Pachulia,,50-53,,
10:48.0,Turnover by Team (3 sec),,50-53,,
10:30.0,,,50-55,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
10:13.0,Turnover by S. Curry (bad pass; steal by C. Watson),,50-55,,
10:05.0,,,50-55,,A. Gordon misses 3-pt shot from 23 ft
10:05.0,Defensive rebound by S. Curry,,50-55,,
9:58.0,S. Curry makes 3-pt shot from 26 ft,3,53-55,,
9:46.0,,,53-55,,Offensive foul by C. Watson
9:46.0,,,53-55,,Turnover by C. Watson (offensive foul)
9:27.0,D. Green makes 2-pt shot at rim (assist by K. Durant),2,55-55,,
9:10.0,,,55-55,,Turnover by E. Payton (bad pass; steal by Z. Pachulia)
9:04.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,58-55,,
8:45.0,,,58-57,2,N. Vucevic makes 2-pt shot from 19 ft (assist by A. Gordon)
8:33.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,60-57,,
8:23.0,Personal foul by Z. Pachulia (drawn by N. Vucevic),,60-57,,
8:06.0,,,60-57,,A. Gordon misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by K. Durant,,60-57,,
7:59.0,K. Durant makes 2-pt shot from 3 ft,2,62-57,,
7:59.0,,,62-57,,Orlando full timeout
7:48.0,,,62-57,,N. Vucevic misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by Z. Pachulia,,62-57,,
7:43.0,Shooting foul by S. Ibaka (drawn by S. Curry),,62-57,,
7:43.0,S. Curry makes free throw 1 of 2,1,63-57,,
7:43.0,S. Curry makes free throw 2 of 2,1,64-57,,
7:33.0,,,64-57,,S. Ibaka misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by K. Thompson,,64-57,,
7:22.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green),2,66-57,,
7:03.0,,,66-57,,C. Watson misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by Team,,66-57,,
6:54.0,S. Curry makes 3-pt shot from 28 ft,3,69-57,,
6:42.0,,,69-59,2,E. Payton makes 2-pt shot from 2 ft
6:24.0,K. Thompson misses 3-pt shot from 26 ft,,69-59,,
6:24.0,,,69-59,,Defensive rebound by A. Gordon
6:16.0,,,69-61,2,E. Payton makes 2-pt shot from 9 ft
5:59.0,D. Green misses 2-pt shot from 3 ft,,69-61,,
5:58.0,Offensive rebound by D. Green,,69-61,,
5:55.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,72-61,,
5:55.0,,,72-61,,Orlando full timeout
5:55.0,,,72-61,,J. Green enters the game for A. Gordon
5:37.0,,,72-61,,C. Watson misses 2-pt shot from 1 ft
5:36.0,,,72-61,,Offensive rebound by N. Vucevic
5:36.0,,,72-63,2,N. Vucevic makes 2-pt shot from 1 ft
5:19.0,S. Curry misses 3-pt shot from 26 ft,,72-63,,
5:18.0,,,72-63,,Defensive rebound by N. Vucevic
5:01.0,,,72-63,,J. Green misses 2-pt shot from 21 ft
5:01.0,Defensive rebound by D. Green,,72-63,,
5:01.0,,,72-63,,Personal foul by E. Payton (drawn by D. Green)
4:50.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,75-63,,
4:32.0,,,75-65,2,E. Payton makes 2-pt shot from 6 ft
4:16.0,Shooting foul by E. Payton (drawn by Z. Pachulia),,75-65,,
4:16.0,Z. Pachulia misses free throw 1 of 2,,75-65,,
4:16.0,Offensive rebound by Team,,75-65,,
4:16.0,Z. Pachulia misses free throw 2 of 2,,75-65,,
4:16.0,,,75-65,,M. Hezonja enters the game for N. Vucevic
4:16.0,,,75-65,,B. Biyombo enters the game for C. Watson
4:16.0,A. Iguodala enters the game for D. Green,,75-65,,
4:15.0,,,75-65,,Defensive rebound by B. Biyombo
4:04.0,,,75-65,,E. Payton misses 2-pt shot from 13 ft
4:04.0,Defensive rebound by K. Durant,,75-65,,
3:56.0,K. Durant makes 2-pt shot at rim,2,77-65,,
3:50.0,,,77-68,3,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton)
3:37.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,79-68,,
3:24.0,,,79-68,,S. Ibaka misses 2-pt shot from 6 ft
3:24.0,Defensive rebound by K. Durant,,79-68,,
3:15.0,K. Durant misses 3-pt shot from 27 ft,,79-68,,
3:15.0,,,79-68,,Defensive rebound by E. Payton
3:05.0,,,79-70,2,E. Payton makes 2-pt shot from 1 ft
3:05.0,Golden State full timeout,,79-70,,
3:05.0,J. McGee enters the game for Z. Pachulia,,79-70,,
3:05.0,I. Clark enters the game for K. Thompson,,79-70,,
2:54.0,,,79-70,,Personal foul by M. Hezonja (drawn by J. McGee)
2:49.0,S. Curry misses 3-pt shot from 25 ft,,79-70,,
2:49.0,,,79-70,,Defensive rebound by M. Hezonja
2:30.0,,,79-70,,S. Ibaka misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by K. Durant,,79-70,,
2:23.0,I. Clark makes 3-pt shot from 24 ft (assist by K. Durant),3,82-70,,
2:07.0,,,82-70,,J. Green misses 2-pt shot from 13 ft
2:07.0,Defensive rebound by Team,,82-70,,
2:07.0,,,82-70,,Loose ball foul by S. Ibaka (drawn by A. Iguodala)
2:07.0,A. Iguodala makes free throw 1 of 2,1,83-70,,
2:07.0,A. Iguodala makes free throw 2 of 2,1,84-70,,
2:07.0,,,82-70,,A. Gordon enters the game for S. Ibaka
2:07.0,D. Green enters the game for K. Durant,,83-70,,
1:46.0,,,84-70,,Turnover by J. Green (lost ball; steal by J. McGee)
1:39.0,I. Clark misses 3-pt shot from 25 ft,,84-70,,
1:37.0,Offensive rebound by S. Curry,,84-70,,
1:30.0,S. Curry makes 3-pt shot from 22 ft,3,87-70,,
1:16.0,,,87-70,,A. Gordon misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by A. Iguodala,,87-70,,
1:09.0,S. Curry makes 3-pt shot from 30 ft (assist by A. Iguodala),3,90-70,,
0:57.0,,,90-72,2,E. Payton makes 2-pt shot from 21 ft
0:40.0,,,90-72,,Personal foul by E. Payton (drawn by S. Curry)
0:40.0,S. Curry makes free throw 1 of 2,1,91-72,,
0:40.0,S. Curry makes free throw 2 of 2,1,92-72,,
0:27.0,,,92-74,2,B. Biyombo makes 2-pt shot from 12 ft (assist by A. Gordon)
0:06.0,S. Curry misses 3-pt shot from 29 ft,,92-74,,
0:06.0,Offensive rebound by I. Clark,,92-74,,
0:04.0,I. Clark misses 2-pt shot from 2 ft (block by A. Gordon),,92-74,,
0:04.0,Offensive rebound by Team,,92-74,,
0:00.0,D. Green misses 3-pt shot from 24 ft,,92-74,,
0:00.0,,,92-74,,Defensive rebound by M. Hezonja
0:00.0,,,92-74,,M. Hezonja misses 3-pt shot from 61 ft
0:00.0,,,92-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green),3,95-74,,
11:17.0,,,95-74,,A. Gordon misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by A. Iguodala,,95-74,,
11:14.0,Turnover by A. Iguodala (bad pass),,95-74,,
11:05.0,,,95-74,,M. Hezonja misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by A. Iguodala,,95-74,,
10:54.0,,,95-74,,Personal foul by A. Gordon (drawn by J. McGee)
10:50.0,K. Thompson misses 2-pt shot from 17 ft,,95-74,,
10:49.0,Offensive rebound by P. McCaw,,95-74,,
10:49.0,P. McCaw makes 2-pt shot at rim,2,97-74,,
10:34.0,,,97-74,,Shooting foul by J. McGee (drawn by B. Biyombo)
10:34.0,,,97-75,1,B. Biyombo makes free throw 1 of 2
10:34.0,,,97-75,,B. Biyombo misses free throw 2 of 2
10:32.0,Defensive rebound by D. Green,,97-75,,
10:20.0,A. Iguodala misses 3-pt shot from 24 ft,,97-75,,
10:20.0,,,97-75,,Defensive rebound by B. Biyombo
10:16.0,Personal foul by D. Green (drawn by J. Green),,97-75,,
10:14.0,,,97-75,,Turnover by M. Hezonja (bad pass)
9:58.0,K. Thompson misses 3-pt shot from 23 ft,,97-75,,
9:58.0,,,97-75,,Defensive rebound by B. Biyombo
9:46.0,,,97-75,,Turnover by J. Green (bad pass; steal by A. Iguodala)
9:37.0,D. Green misses 3-pt shot from 26 ft,,97-75,,
9:37.0,,,97-75,,Defensive rebound by J. Green
9:13.0,,,97-75,,B. Biyombo misses 2-pt shot from 16 ft
9:12.0,Defensive rebound by A. Iguodala,,97-75,,
9:01.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,99-75,,
9:01.0,,,99-75,,Orlando full timeout
9:01.0,,,99-75,,N. Vucevic enters the game for B. Biyombo
9:01.0,,,99-75,,E. Payton enters the game for M. Hezonja
8:51.0,,,99-75,,E. Payton misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by D. Green,,99-75,,
8:35.0,J. McGee makes 2-pt shot at rim (assist by K. Thompson),2,101-75,,
8:22.0,,,101-75,,C. Watson misses 2-pt shot from 17 ft
8:22.0,Defensive rebound by Team,,101-75,,
8:22.0,,,101-75,,Loose ball foul by J. Green (drawn by D. Green)
8:06.0,K. Thompson misses 2-pt shot from 16 ft,,101-75,,
8:05.0,Offensive rebound by J. McGee,,101-75,,
8:05.0,Shooting foul by N. Vucevic (drawn by J. McGee),,101-75,,
8:05.0,J. McGee misses free throw 1 of 2,,101-75,,
8:05.0,Offensive rebound by Team,,101-75,,
8:05.0,J. McGee makes free throw 2 of 2,1,102-75,,
7:46.0,,,102-77,2,E. Payton makes 2-pt shot from 1 ft
7:24.0,D. Jones enters the game for J. McGee,,102-77,,
7:24.0,Golden State full timeout,,102-77,,
7:20.0,P. McCaw makes 3-pt shot from 25 ft (assist by A. Iguodala),3,105-77,,
7:01.0,Violation by A. Iguodala (def goaltending),,105-77,,
7:01.0,,,105-79,2,E. Payton makes 2-pt shot from 2 ft
6:42.0,D. Jones misses 2-pt shot from 1 ft,,105-79,,
6:42.0,,,105-79,,Defensive rebound by N. Vucevic
6:36.0,,,105-82,3,J. Green makes 3-pt shot from 25 ft (assist by E. Payton)
6:17.0,Offensive foul by D. Jones,,105-82,,
6:17.0,Turnover by D. Jones (offensive foul),,105-82,,
6:04.0,,,105-85,3,E. Payton makes 3-pt shot from 25 ft (assist by A. Gordon)
5:46.0,Turnover by K. Thompson (bad pass),,105-85,,
5:33.0,,,105-85,,J. Green misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by Team,,105-85,,
5:33.0,K. Durant enters the game for D. Green,,105-85,,
5:10.0,Turnover by A. Iguodala (bad pass; steal by N. Vucevic),,105-85,,
5:04.0,,,105-85,,Turnover by E. Payton (bad pass; steal by K. Durant)
4:58.0,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant),3,108-85,,
4:39.0,,,108-85,,A. Gordon misses 2-pt shot from 16 ft
4:39.0,Defensive rebound by D. Jones,,108-85,,
4:29.0,K. Thompson makes 3-pt shot from 23 ft,3,111-85,,
4:29.0,,,111-85,,Orlando full timeout
4:29.0,,,111-85,,M. Hezonja enters the game for N. Vucevic
4:29.0,,,111-85,,D. Rudez enters the game for E. Payton
