time,Chicago,pts.away,score,pts.home,Toronto
7:56.0,R. Lopez makes free throw 1 of 1,1,13-6,,
7:56.0,,,13-6,,Toronto full timeout
7:34.0,,,13-6,,D. DeRozan misses 2-pt shot from 3 ft (block by R. Lopez)
7:33.0,,,13-6,,Offensive rebound by D. DeRozan
7:31.0,,,13-6,,D. DeRozan misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by Team,,13-6,,
7:31.0,,,13-6,,Loose ball foul by S. Ibaka (drawn by R. Lopez)
7:16.0,J. Butler makes 2-pt shot from 1 ft,2,15-6,,
7:03.0,,,15-6,,C. Joseph misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by R. Rondo,,15-6,,
6:41.0,Turnover by P. Zipser (lost ball; steal by C. Joseph),,15-6,,
6:31.0,,,15-9,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Ibaka)
6:26.0,Shooting foul by D. Carroll (drawn by J. Butler),,15-9,,
6:26.0,J. Butler makes free throw 1 of 2,1,16-9,,
6:26.0,J. Butler makes free throw 2 of 2,1,17-9,,
6:26.0,,,16-9,,P. Tucker enters the game for D. Carroll
6:11.0,,,17-12,3,S. Ibaka makes 3-pt shot from 27 ft (assist by D. DeRozan)
5:54.0,N. Mirotic misses 3-pt shot from 26 ft,,17-12,,
5:54.0,Offensive rebound by R. Rondo,,17-12,,
5:49.0,R. Rondo makes 2-pt shot from 1 ft,2,19-12,,
5:31.0,,,19-12,,D. DeRozan misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by P. Zipser,,19-12,,
5:16.0,Shooting foul by J. Valanciunas (drawn by J. Butler),,19-12,,
5:16.0,J. Butler makes free throw 1 of 2,1,20-12,,
5:16.0,J. Butler makes free throw 2 of 2,1,21-12,,
5:16.0,,,20-12,,J. Poeltl enters the game for J. Valanciunas
5:16.0,D. Valentine enters the game for P. Zipser,,20-12,,
5:03.0,,,21-12,,D. DeRozan misses 2-pt shot from 9 ft
5:02.0,Defensive rebound by D. Valentine,,21-12,,
5:00.0,Turnover by D. Valentine (lost ball; steal by P. Tucker),,21-12,,
4:56.0,,,21-12,,P. Tucker misses 3-pt shot from 22 ft
4:55.0,,,21-12,,Offensive rebound by J. Poeltl
4:49.0,,,21-15,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:48.0,Chicago full timeout,,21-15,,
4:31.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler),2,23-15,,
4:13.0,,,23-17,2,D. DeRozan makes 2-pt shot from 3 ft
3:57.0,R. Rondo makes 2-pt shot from 3 ft,2,25-17,,
3:45.0,,,25-17,,S. Ibaka misses 2-pt shot from 5 ft
3:44.0,,,25-17,,Offensive rebound by J. Poeltl
3:39.0,,,25-17,,Turnover by C. Joseph (traveling)
3:39.0,B. Portis enters the game for N. Mirotic,,25-17,,
3:30.0,Turnover by R. Rondo (bad pass),,25-17,,
3:18.0,,,25-19,2,D. DeRozan makes 2-pt shot from 17 ft
3:01.0,J. Butler misses 2-pt shot from 2 ft,,25-19,,
3:01.0,,,25-19,,Defensive rebound by S. Ibaka
2:49.0,,,25-21,2,D. DeRozan makes 2-pt shot from 5 ft
2:27.0,R. Lopez makes 2-pt shot from 19 ft (assist by R. Rondo),2,27-21,,
2:12.0,,,27-23,2,S. Ibaka makes 2-pt shot from 13 ft (assist by D. DeRozan)
1:56.0,R. Rondo misses 3-pt shot from 26 ft,,27-23,,
1:55.0,,,27-23,,Defensive rebound by S. Ibaka
1:46.0,,,27-25,2,D. DeRozan makes 2-pt shot from 18 ft
1:24.0,B. Portis makes 2-pt shot from 5 ft,2,29-25,,
1:12.0,,,29-27,2,S. Ibaka makes 2-pt shot from 13 ft
0:50.0,Shooting foul by P. Tucker (drawn by J. Butler),,29-27,,
0:50.0,J. Butler makes free throw 1 of 2,1,30-27,,
0:50.0,J. Butler makes free throw 2 of 2,1,31-27,,
0:50.0,,,30-27,,D. Wright enters the game for C. Joseph
0:50.0,,,30-27,,P. Patterson enters the game for S. Ibaka
0:50.0,C. Felicio enters the game for R. Lopez,,30-27,,
0:50.0,M. Carter-Williams enters the game for R. Rondo,,30-27,,
0:29.0,,,31-27,,D. DeRozan misses 2-pt shot from 18 ft
0:28.0,,,31-27,,Offensive rebound by P. Tucker
0:09.0,Personal foul by B. Portis (drawn by P. Patterson),,31-27,,
0:00.0,,,31-27,,D. DeRozan misses 2-pt shot from 17 ft
0:00.0,,,31-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,31-27,,P. Tucker misses 2-pt shot from 6 ft (block by P. Zipser)
11:35.0,,,31-27,,Offensive rebound by J. Poeltl
11:34.0,,,31-27,,Turnover by Team (shot clock)
11:21.0,M. Carter-Williams misses 3-pt shot from 24 ft,,31-27,,
11:20.0,Offensive rebound by C. Felicio,,31-27,,
11:16.0,D. Valentine misses 3-pt shot from 25 ft,,31-27,,
11:15.0,,,31-27,,Defensive rebound by P. Tucker
11:02.0,,,31-27,,N. Powell misses 3-pt shot from 26 ft
11:02.0,,,31-27,,Offensive rebound by P. Patterson
10:54.0,,,31-27,,Turnover by D. Wright (lost ball; steal by C. Felicio)
10:50.0,C. Felicio makes 2-pt shot at rim (assist by M. Carter-Williams),2,33-27,,
10:39.0,,,33-27,,Shooting foul by M. Carter-Williams (drawn by N. Powell)
10:39.0,,,33-28,1,N. Powell makes free throw 1 of 2
10:39.0,,,33-29,1,N. Powell makes free throw 2 of 2
10:22.0,B. Portis makes 3-pt shot from 24 ft (assist by P. Zipser),3,36-29,,
10:10.0,,,36-29,,N. Powell misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by D. Valentine,,36-29,,
10:03.0,D. Valentine makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,39-29,,
10:03.0,,,39-29,,Toronto full timeout
9:40.0,,,39-31,2,N. Powell makes 2-pt shot from 1 ft
9:23.0,B. Portis misses 2-pt shot from 5 ft,,39-31,,
9:23.0,,,39-31,,Defensive rebound by J. Poeltl
9:20.0,,,39-31,,Turnover by J. Poeltl (lost ball; steal by D. Valentine)
9:19.0,,,39-31,,Clear path foul by P. Patterson
9:19.0,B. Portis makes clear path free throw 1 of 2,1,40-31,,
9:19.0,B. Portis makes clear path free throw 2 of 2,1,41-31,,
9:12.0,D. Valentine misses 2-pt shot from 5 ft,,41-31,,
9:11.0,,,41-31,,Defensive rebound by D. Wright
9:04.0,,,41-31,,Offensive foul by J. Poeltl
9:04.0,,,41-31,,Turnover by J. Poeltl (offensive foul)
8:43.0,Turnover by D. Valentine (traveling),,41-31,,
8:37.0,,,41-31,,Offensive foul by J. Poeltl
8:37.0,,,41-31,,Turnover by J. Poeltl (offensive foul)
8:37.0,,,41-31,,J. Valanciunas enters the game for J. Poeltl
8:29.0,M. Carter-Williams misses 2-pt shot from 2 ft,,41-31,,
8:29.0,Offensive rebound by C. Felicio,,41-31,,
8:29.0,Shooting foul by P. Tucker (drawn by C. Felicio),,41-31,,
8:29.0,C. Felicio makes free throw 1 of 2,1,42-31,,
8:29.0,C. Felicio misses free throw 2 of 2,,42-31,,
8:29.0,,,42-31,,D. Carroll enters the game for P. Tucker
8:28.0,,,42-31,,Defensive rebound by J. Valanciunas
8:12.0,,,42-33,2,P. Patterson makes 2-pt shot from 6 ft
7:58.0,B. Portis makes 2-pt shot from 20 ft,2,44-33,,
7:38.0,,,44-33,,Turnover by D. Wright (traveling)
7:26.0,B. Portis misses 3-pt shot from 26 ft,,44-33,,
7:26.0,Offensive rebound by Team,,44-33,,
7:26.0,,,44-33,,Loose ball foul by J. Valanciunas (drawn by C. Felicio)
7:26.0,,,44-33,,S. Ibaka enters the game for D. Wright
7:26.0,,,44-33,,D. DeRozan enters the game for P. Patterson
7:26.0,,,44-33,,C. Joseph enters the game for N. Powell
7:26.0,J. Butler enters the game for D. Valentine,,44-33,,
7:26.0,R. Rondo enters the game for M. Carter-Williams,,44-33,,
7:19.0,C. Felicio makes 2-pt shot from 20 ft (assist by R. Rondo),2,46-33,,
6:59.0,,,46-33,,S. Ibaka misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by B. Portis,,46-33,,
6:51.0,P. Zipser makes 3-pt shot from 27 ft (assist by R. Rondo),3,49-33,,
6:50.0,,,49-33,,Toronto full timeout
6:50.0,D. Valentine enters the game for J. Butler,,49-33,,
6:37.0,Personal foul by P. Zipser (drawn by D. DeRozan),,49-33,,
6:37.0,J. Butler enters the game for D. Valentine,,49-33,,
6:25.0,,,49-33,,Shooting foul by R. Rondo (drawn by D. Carroll)
6:25.0,,,49-34,1,D. Carroll makes free throw 1 of 2
6:25.0,,,49-35,1,D. Carroll makes free throw 2 of 2
6:03.0,J. Butler misses 3-pt shot from 26 ft,,49-35,,
6:02.0,,,49-35,,Defensive rebound by D. Carroll
5:52.0,,,49-38,3,D. Carroll makes 3-pt shot from 24 ft (assist by C. Joseph)
5:52.0,Chicago full timeout,,49-38,,
5:52.0,R. Lopez enters the game for C. Felicio,,49-38,,
5:30.0,P. Zipser misses 2-pt shot from 3 ft,,49-38,,
5:29.0,Offensive rebound by R. Lopez,,49-38,,
5:28.0,R. Lopez misses 2-pt shot from 1 ft,,49-38,,
5:27.0,Offensive rebound by R. Lopez,,49-38,,
5:27.0,R. Lopez misses 2-pt shot from 1 ft,,49-38,,
5:27.0,,,49-38,,Defensive rebound by Team
5:16.0,,,49-40,2,S. Ibaka makes 2-pt shot from 14 ft (assist by D. DeRozan)
4:48.0,J. Butler makes 2-pt shot from 14 ft (assist by R. Rondo),2,51-40,,
4:32.0,,,51-40,,D. Carroll misses 3-pt shot from 25 ft
4:32.0,,,51-40,,Offensive rebound by S. Ibaka
4:18.0,,,51-42,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. Carroll)
3:56.0,P. Zipser misses 3-pt shot from 24 ft,,51-42,,
3:56.0,,,51-42,,Defensive rebound by J. Valanciunas
3:44.0,,,51-45,3,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:44.0,Chicago full timeout,,51-45,,
3:44.0,D. Valentine enters the game for P. Zipser,,51-45,,
3:44.0,N. Mirotic enters the game for B. Portis,,51-45,,
3:22.0,R. Rondo makes 3-pt shot from 25 ft (assist by J. Butler),3,54-45,,
3:00.0,,,54-45,,J. Valanciunas misses 2-pt shot from 18 ft
3:00.0,,,54-45,,Offensive rebound by D. DeRozan
2:48.0,,,54-45,,C. Joseph misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by D. Valentine,,54-45,,
2:42.0,,,54-45,,Personal foul by D. DeRozan (drawn by R. Rondo)
2:42.0,Official timeout,,54-45,,
2:42.0,R. Rondo makes free throw 1 of 2,1,55-45,,
2:42.0,R. Rondo makes free throw 2 of 2,1,56-45,,
2:42.0,,,54-45,,P. Tucker enters the game for D. Carroll
2:23.0,,,56-45,,S. Ibaka misses 2-pt shot from 8 ft
2:23.0,Defensive rebound by R. Lopez,,56-45,,
2:12.0,R. Rondo makes 2-pt shot from 6 ft,2,58-45,,
1:57.0,,,58-47,2,D. DeRozan makes 2-pt shot from 7 ft
1:40.0,,,58-47,,Personal foul by S. Ibaka (drawn by N. Mirotic)
1:40.0,N. Mirotic misses free throw 1 of 2,,58-47,,
1:40.0,Offensive rebound by Team,,58-47,,
1:40.0,N. Mirotic misses free throw 2 of 2,,58-47,,
1:38.0,,,58-47,,Defensive rebound by J. Valanciunas
1:30.0,,,58-49,2,C. Joseph makes 2-pt shot from 8 ft
1:05.0,N. Mirotic misses 2-pt shot from 8 ft,,58-49,,
1:05.0,,,58-49,,Defensive rebound by Team
1:05.0,Loose ball foul by N. Mirotic (drawn by S. Ibaka),,58-49,,
0:55.0,,,58-49,,D. DeRozan misses 2-pt shot from 15 ft
0:54.0,Defensive rebound by N. Mirotic,,58-49,,
0:52.0,Turnover by N. Mirotic (lost ball),,58-49,,
0:52.0,Loose ball foul by N. Mirotic (drawn by C. Joseph),,58-49,,
0:52.0,,,58-50,1,C. Joseph makes free throw 1 of 2
0:52.0,,,58-51,1,C. Joseph makes free throw 2 of 2
0:52.0,B. Portis enters the game for N. Mirotic,,58-50,,
0:52.0,,,58-50,,P. Patterson enters the game for S. Ibaka
0:52.0,,,58-50,,J. Poeltl enters the game for J. Valanciunas
0:45.0,Offensive foul by R. Lopez,,58-51,,
0:45.0,Turnover by R. Lopez (offensive foul),,58-51,,
0:45.0,M. Carter-Williams enters the game for R. Rondo,,58-51,,
0:35.0,,,58-51,,D. DeRozan misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by B. Portis,,58-51,,
0:28.0,,,58-51,,Personal foul by J. Poeltl (drawn by J. Butler)
0:28.0,J. Butler makes free throw 1 of 2,1,59-51,,
0:28.0,J. Butler misses free throw 2 of 2,,59-51,,
0:28.0,P. Zipser enters the game for R. Lopez,,59-51,,
0:28.0,,,59-51,,N. Powell enters the game for J. Poeltl
0:27.0,,,59-51,,Defensive rebound by N. Powell
0:03.0,,,59-54,3,D. DeRozan makes 3-pt shot from 32 ft (assist by N. Powell)
0:00.0,P. Zipser misses 3-pt shot from 45 ft,,59-54,,
0:00.0,Offensive rebound by Team,,59-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,59-54,,D. DeRozan misses 2-pt shot from 19 ft
11:47.0,Defensive rebound by J. Butler,,59-54,,
11:32.0,J. Butler makes 2-pt shot from 19 ft (assist by R. Lopez),2,61-54,,
11:22.0,,,61-54,,Shooting foul by P. Zipser (drawn by D. DeRozan)
11:22.0,,,61-55,1,D. DeRozan makes free throw 1 of 2
11:22.0,,,61-56,1,D. DeRozan makes free throw 2 of 2
11:08.0,N. Mirotic misses 3-pt shot from 28 ft,,61-56,,
11:08.0,Offensive rebound by J. Butler,,61-56,,
11:06.0,J. Butler makes 2-pt shot from 2 ft,2,63-56,,
10:42.0,,,63-56,,J. Valanciunas misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by J. Butler,,63-56,,
10:25.0,R. Rondo misses 2-pt shot from 8 ft (block by D. Carroll),,63-56,,
10:25.0,,,63-56,,Defensive rebound by S. Ibaka
10:17.0,,,63-56,,Shooting foul by P. Zipser (drawn by D. DeRozan)
10:17.0,,,63-57,1,D. DeRozan makes free throw 1 of 2
10:17.0,,,63-58,1,D. DeRozan makes free throw 2 of 2
10:00.0,,,63-58,,Personal foul by D. Carroll (drawn by R. Lopez)
9:53.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler),3,66-58,,
9:27.0,,,66-58,,S. Ibaka misses 2-pt shot from 4 ft
9:27.0,,,66-58,,Offensive rebound by J. Valanciunas
9:16.0,,,66-60,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by D. Carroll)
8:54.0,R. Lopez makes 2-pt shot from 15 ft,2,68-60,,
8:42.0,,,68-62,2,C. Joseph makes 2-pt shot from 3 ft
8:25.0,J. Butler misses 2-pt shot from 18 ft,,68-62,,
8:25.0,Offensive rebound by R. Lopez,,68-62,,
8:21.0,,,68-62,,Shooting block foul by J. Valanciunas (drawn by J. Butler)
8:21.0,J. Butler makes free throw 1 of 2,1,69-62,,
8:21.0,J. Butler makes free throw 2 of 2,1,70-62,,
8:07.0,,,70-62,,S. Ibaka misses 2-pt shot from 4 ft (block by R. Lopez)
8:07.0,,,70-62,,Offensive rebound by Team
7:57.0,,,70-62,,C. Joseph misses 3-pt shot from 25 ft
7:57.0,,,70-62,,Offensive rebound by S. Ibaka
7:55.0,,,70-64,2,S. Ibaka makes 2-pt shot from 3 ft
7:38.0,Turnover by N. Mirotic (lost ball),,70-64,,
7:23.0,,,70-66,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. Carroll)
7:05.0,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo),3,73-66,,
6:49.0,,,73-66,,Turnover by J. Valanciunas (lost ball; steal by R. Rondo)
6:43.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,75-66,,
6:36.0,,,75-66,,Toronto full timeout
6:36.0,,,75-66,,N. Powell enters the game for D. Carroll
6:36.0,,,75-66,,P. Tucker enters the game for J. Valanciunas
6:27.0,,,75-68,2,D. DeRozan makes 2-pt shot from 15 ft
5:59.0,N. Mirotic misses 3-pt shot from 26 ft,,75-68,,
5:59.0,Offensive rebound by J. Butler,,75-68,,
5:47.0,R. Rondo makes 3-pt shot from 24 ft (assist by P. Zipser),3,78-68,,
5:37.0,,,78-68,,S. Ibaka misses 3-pt shot from 26 ft
5:37.0,Defensive rebound by J. Butler,,78-68,,
5:29.0,Shooting foul by S. Ibaka (drawn by J. Butler),,78-68,,
5:29.0,J. Butler makes free throw 1 of 2,1,79-68,,
5:29.0,J. Butler makes free throw 2 of 2,1,80-68,,
5:18.0,,,80-70,2,D. DeRozan makes 2-pt shot from 6 ft
4:59.0,R. Lopez makes 2-pt shot from 2 ft (assist by J. Butler),2,82-70,,
4:59.0,Shooting foul by C. Joseph (drawn by R. Lopez),,82-70,,
4:59.0,R. Lopez makes free throw 1 of 1,1,83-70,,
4:46.0,,,83-72,2,D. DeRozan makes 2-pt shot from 9 ft
4:27.0,P. Zipser makes 2-pt shot at rim (assist by N. Mirotic),2,85-72,,
4:27.0,Violation by Team (jump ball),,85-72,,
4:13.0,,,85-72,,C. Joseph misses 3-pt shot from 27 ft
4:13.0,Defensive rebound by J. Butler,,85-72,,
3:59.0,J. Butler makes 3-pt shot from 26 ft (assist by N. Mirotic),3,88-72,,
3:58.0,,,88-72,,Technical foul by S. Ibaka
3:58.0,Technical foul by R. Lopez,,88-72,,
3:58.0,Technical foul by N. Mirotic,,88-72,,
3:58.0,,,88-72,,J. Poeltl enters the game for S. Ibaka
3:58.0,C. Felicio enters the game for P. Zipser,,88-72,,
3:58.0,D. Valentine enters the game for R. Lopez,,88-72,,
3:39.0,Violation by C. Felicio (kicked ball),,88-72,,
3:32.0,,,88-72,,Turnover by C. Joseph (traveling)
3:08.0,Turnover by Team (shot clock),,88-72,,
3:08.0,B. Portis enters the game for N. Mirotic,,88-72,,
3:01.0,,,88-74,2,D. DeRozan makes 2-pt shot from 2 ft
3:01.0,,,88-74,,Shooting foul by B. Portis (drawn by D. DeRozan)
3:01.0,,,88-75,1,D. DeRozan makes free throw 1 of 1
2:44.0,R. Rondo misses 3-pt shot from 25 ft,,88-75,,
2:44.0,,,88-75,,Defensive rebound by P. Tucker
2:35.0,,,88-75,,D. DeRozan misses 2-pt shot from 5 ft (block by J. Butler)
2:34.0,,,88-75,,Offensive rebound by D. DeRozan
2:32.0,,,88-75,,Turnover by D. DeRozan (lost ball; steal by R. Rondo)
2:31.0,,,88-75,,Personal foul by C. Joseph (drawn by J. Butler)
2:31.0,Chicago full timeout,,88-75,,
2:31.0,J. Butler misses free throw 1 of 2,,88-75,,
2:31.0,Offensive rebound by Team,,88-75,,
2:31.0,J. Butler makes free throw 2 of 2,1,89-75,,
2:31.0,,,88-75,,F. VanVleet enters the game for C. Joseph
2:20.0,Personal foul by R. Rondo (drawn by F. VanVleet),,89-75,,
2:11.0,,,89-75,,N. Powell misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by R. Rondo,,89-75,,
1:56.0,J. Butler misses 2-pt shot from 17 ft,,89-75,,
1:55.0,,,89-75,,Defensive rebound by J. Poeltl
1:49.0,,,89-77,2,D. DeRozan makes 2-pt shot from 1 ft
1:49.0,,,89-77,,Shooting foul by J. Butler (drawn by D. DeRozan)
1:49.0,,,89-77,,D. DeRozan misses free throw 1 of 1
1:49.0,M. Carter-Williams enters the game for R. Rondo,,89-77,,
1:48.0,Defensive rebound by B. Portis,,89-77,,
1:31.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,91-77,,
1:19.0,,,91-77,,Turnover by F. VanVleet (bad pass)
1:09.0,Turnover by C. Felicio (traveling),,91-77,,
0:53.0,,,91-79,2,N. Powell makes 2-pt shot from 2 ft
0:30.0,J. Butler makes 3-pt shot from 27 ft,3,94-79,,
0:07.0,,,94-79,,D. DeRozan misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by B. Portis,,94-79,,
0:00.0,B. Portis misses 3-pt shot from 28 ft,,94-79,,
0:00.0,Offensive rebound by Team,,94-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,M. Carter-Williams misses 2-pt shot from 11 ft,,94-79,,
11:50.0,,,94-79,,Defensive rebound by F. VanVleet
11:37.0,,,94-79,,N. Powell misses 2-pt shot from 2 ft
11:36.0,,,94-79,,Offensive rebound by P. Tucker
11:34.0,,,94-81,2,P. Tucker makes 2-pt shot from 3 ft
11:18.0,Turnover by M. Carter-Williams (lost ball; steal by F. VanVleet),,94-81,,
11:14.0,,,94-83,2,F. VanVleet makes 2-pt shot from 1 ft
11:14.0,Chicago full timeout,,94-83,,
10:50.0,P. Zipser makes 2-pt shot from 12 ft (assist by D. Valentine),2,96-83,,
10:40.0,Personal foul by B. Portis (drawn by P. Patterson),,96-83,,
10:27.0,,,96-83,,N. Powell misses 2-pt shot from 8 ft (block by M. Carter-Williams)
10:26.0,Defensive rebound by B. Portis,,96-83,,
10:19.0,B. Portis misses 2-pt shot from 6 ft,,96-83,,
10:19.0,,,96-83,,Defensive rebound by P. Patterson
10:14.0,,,96-83,,Shooting foul by D. Valentine (drawn by F. VanVleet)
10:14.0,,,96-84,1,F. VanVleet makes free throw 1 of 2
10:14.0,,,96-85,1,F. VanVleet makes free throw 2 of 2
10:14.0,,,96-85,,Technical foul by J. Valanciunas
10:14.0,D. Valentine makes technical free throw,1,97-85,,
10:14.0,,,96-84,,C. Joseph enters the game for P. Tucker
9:59.0,Shooting foul by F. VanVleet (drawn by M. Carter-Williams),,97-85,,
9:59.0,M. Carter-Williams makes free throw 1 of 2,1,98-85,,
9:59.0,M. Carter-Williams makes free throw 2 of 2,1,99-85,,
9:44.0,,,99-87,2,N. Powell makes 2-pt shot from 4 ft
9:31.0,M. Carter-Williams misses 2-pt shot from 6 ft,,99-87,,
9:31.0,,,99-87,,Defensive rebound by F. VanVleet
9:15.0,Jump ball: M. Carter-Williams vs. N. Powell (D. Valentine gains possession),,,,Jump ball: M. Carter-Williams vs. N. Powell (D. Valentine gains possession)
9:15.0,,,99-87,,Turnover by N. Powell (lost ball; steal by M. Carter-Williams)
9:02.0,B. Portis misses 3-pt shot from 24 ft,,99-87,,
9:02.0,Offensive rebound by P. Zipser,,99-87,,
8:43.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by P. Zipser),3,102-87,,
8:28.0,Shooting block foul by M. Carter-Williams (drawn by C. Joseph),,102-87,,
8:28.0,,,102-88,1,C. Joseph makes free throw 1 of 2
8:28.0,,,102-89,1,C. Joseph makes free throw 2 of 2
8:09.0,P. Zipser makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,104-89,,
8:03.0,,,104-89,,Shooting foul by D. Valentine (drawn by N. Powell)
8:03.0,,,104-90,1,N. Powell makes free throw 1 of 2
8:03.0,,,104-90,,Turnover by J. Valanciunas (lane violation.)
7:52.0,Turnover by P. Zipser (lost ball),,104-90,,
7:44.0,,,104-92,2,P. Patterson makes 2-pt shot from 2 ft (assist by C. Joseph)
7:30.0,C. Felicio misses 2-pt shot from 3 ft (block by P. Patterson),,104-92,,
7:29.0,,,104-92,,Defensive rebound by P. Patterson
7:24.0,,,104-92,,N. Powell misses 2-pt shot from 2 ft (block by M. Carter-Williams)
7:24.0,,,104-92,,Offensive rebound by N. Powell
7:24.0,,,104-92,,Shooting foul by M. Carter-Williams (drawn by N. Powell)
7:24.0,Chicago full timeout,,104-92,,
7:24.0,,,104-92,,N. Powell misses free throw 1 of 2
7:24.0,,,104-92,,Offensive rebound by Team
7:24.0,,,104-92,,N. Powell misses free throw 2 of 2
7:24.0,J. Lauvergne enters the game for B. Portis,,104-92,,
7:24.0,J. Butler enters the game for C. Felicio,,104-92,,
7:24.0,R. Rondo enters the game for M. Carter-Williams,,104-92,,
7:24.0,,,104-92,,P. Tucker enters the game for J. Valanciunas
7:23.0,Defensive rebound by R. Rondo,,104-92,,
7:09.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Rondo),2,106-92,,
7:03.0,,,106-94,2,C. Joseph makes 2-pt shot from 4 ft
7:03.0,,,106-94,,Shooting foul by D. Valentine (drawn by C. Joseph)
7:03.0,,,106-94,,C. Joseph misses free throw 1 of 1
7:03.0,,,106-94,,D. DeRozan enters the game for N. Powell
7:02.0,Defensive rebound by J. Lauvergne,,106-94,,
6:39.0,P. Zipser makes 3-pt shot from 23 ft (assist by J. Butler),3,109-94,,
6:32.0,Personal foul by P. Zipser (drawn by D. DeRozan),,109-94,,
6:32.0,,,109-94,,D. DeRozan misses free throw 1 of 2
6:32.0,,,109-94,,Offensive rebound by Team
6:32.0,,,109-95,1,D. DeRozan makes free throw 2 of 2
6:08.0,J. Butler misses 2-pt shot from 15 ft,,109-95,,
6:08.0,,,109-95,,Defensive rebound by D. DeRozan
5:59.0,,,109-95,,D. DeRozan misses 2-pt shot from 3 ft (block by P. Zipser)
5:59.0,Defensive rebound by P. Zipser,,109-95,,
5:52.0,Turnover by R. Rondo (lost ball; steal by D. DeRozan),,109-95,,
5:39.0,,,109-98,3,P. Tucker makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:18.0,J. Lauvergne misses 2-pt shot from 20 ft,,109-98,,
5:18.0,,,109-98,,Defensive rebound by P. Tucker
5:09.0,,,109-100,2,D. DeRozan makes 2-pt shot from 3 ft
5:01.0,Turnover by R. Rondo (lost ball),,109-100,,
4:49.0,,,109-100,,D. DeRozan misses 2-pt shot from 8 ft (block by D. Valentine)
