time,Dallas,pts.away,score,pts.home,Washington
4:27.0,N. Noel makes free throw 1 of 2,1,16-21,,
4:27.0,N. Noel makes free throw 2 of 2,1,17-21,,
4:27.0,N. Brussino enters the game for D. Finney-Smith,,16-21,,
4:27.0,D. Harris enters the game for S. Curry,,16-21,,
4:27.0,,,16-21,,I. Mahinmi enters the game for M. Gortat
4:27.0,,,16-21,,B. Bogdanovic enters the game for M. Morris
4:15.0,,,17-23,2,B. Beal makes 2-pt shot at rim (assist by B. Bogdanovic)
3:57.0,N. Brussino makes 3-pt shot from 29 ft (assist by J. Barea),3,20-23,,
3:44.0,,,20-26,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
3:33.0,J. Barea makes 2-pt shot from 7 ft,2,22-26,,
3:20.0,,,22-26,,I. Mahinmi misses 2-pt shot from 3 ft
3:19.0,Defensive rebound by N. Brussino,,22-26,,
3:12.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,25-26,,
3:10.0,,,25-26,,Washington full timeout
2:54.0,,,25-28,2,B. Beal makes 2-pt shot from 18 ft
2:43.0,N. Noel makes 2-pt shot at rim (assist by J. Barea),2,27-28,,
2:23.0,,,27-30,2,J. Wall makes 2-pt shot from 15 ft (assist by O. Porter)
2:13.0,N. Noel misses 2-pt shot from 2 ft,,27-30,,
2:12.0,,,27-30,,Defensive rebound by I. Mahinmi
1:58.0,,,27-30,,O. Porter misses 3-pt shot from 28 ft
1:58.0,,,27-30,,Offensive rebound by Team
1:58.0,Loose ball foul by D. Harris (drawn by I. Mahinmi),,27-30,,
1:58.0,,,27-30,,B. Jennings enters the game for B. Beal
1:58.0,D. Nowitzki enters the game for H. Barnes,,27-30,,
1:52.0,,,27-33,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Jennings)
1:37.0,J. Barea misses 3-pt shot from 24 ft,,27-33,,
1:36.0,,,27-33,,Defensive rebound by I. Mahinmi
1:30.0,Personal foul by N. Brussino (drawn by B. Bogdanovic),,27-33,,
1:30.0,,,27-34,1,B. Bogdanovic makes free throw 1 of 2
1:30.0,,,27-35,1,B. Bogdanovic makes free throw 2 of 2
1:30.0,,,27-34,,J. Smith enters the game for O. Porter
1:13.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Harris),2,29-35,,
0:54.0,,,29-37,2,J. Wall makes 2-pt shot from 2 ft
0:36.0,J. Barea misses 2-pt shot from 3 ft,,29-37,,
0:35.0,,,29-37,,Defensive rebound by J. Wall
0:29.0,,,29-39,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
0:08.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea),3,32-39,,
0:01.0,,,32-39,,J. Wall misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by D. Nowitzki,,32-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea),2,34-39,,
11:30.0,,,34-41,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by B. Jennings)
11:22.0,,,34-41,,Personal foul by T. Satoransky (drawn by D. Harris)
11:22.0,S. Curry enters the game for J. Barea,,34-41,,
11:15.0,S. Curry misses 3-pt shot from 27 ft,,34-41,,
11:14.0,,,34-41,,Defensive rebound by I. Mahinmi
11:07.0,,,34-41,,J. Smith misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by N. Brussino,,34-41,,
10:54.0,S. Curry makes 2-pt shot from 19 ft,2,36-41,,
10:37.0,,,36-41,,Turnover by B. Bogdanovic (bad pass)
10:24.0,Shooting foul by T. Satoransky (drawn by D. Harris),,36-41,,
10:24.0,D. Harris makes free throw 1 of 2,1,37-41,,
10:24.0,D. Harris makes free throw 2 of 2,1,38-41,,
10:02.0,,,38-41,,Shooting foul by S. Mejri (drawn by B. Bogdanovic)
10:02.0,,,38-42,1,B. Bogdanovic makes free throw 1 of 2
10:02.0,,,38-43,1,B. Bogdanovic makes free throw 2 of 2
9:38.0,D. Harris misses 2-pt shot from 3 ft (block by I. Mahinmi),,38-43,,
9:37.0,,,38-43,,Defensive rebound by B. Jennings
9:30.0,,,38-43,,J. Smith misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by S. Mejri,,38-43,,
9:16.0,N. Brussino misses 3-pt shot from 28 ft,,38-43,,
9:15.0,,,38-43,,Defensive rebound by J. Smith
9:07.0,,,38-43,,B. Jennings misses 3-pt shot from 27 ft
9:06.0,Defensive rebound by N. Brussino,,38-43,,
8:58.0,Official timeout,,38-43,,
8:58.0,H. Barnes enters the game for D. Nowitzki,,38-43,,
8:47.0,H. Barnes misses 2-pt shot from 14 ft,,38-43,,
8:46.0,,,38-43,,Defensive rebound by B. Bogdanovic
8:35.0,,,38-46,3,B. Bogdanovic makes 3-pt shot from 31 ft (assist by J. Smith)
8:22.0,S. Mejri misses 2-pt shot from 2 ft,,38-46,,
8:21.0,Offensive rebound by S. Mejri,,38-46,,
8:21.0,Shooting foul by B. Bogdanovic (drawn by S. Mejri),,38-46,,
8:21.0,S. Mejri makes free throw 1 of 2,1,39-46,,
8:21.0,S. Mejri misses free throw 2 of 2,,39-46,,
8:21.0,Y. Ferrell enters the game for D. Harris,,39-46,,
8:21.0,D. Finney-Smith enters the game for N. Brussino,,39-46,,
8:20.0,,,39-46,,Defensive rebound by I. Mahinmi
7:57.0,,,39-46,,B. Bogdanovic misses 3-pt shot from 31 ft
7:56.0,Defensive rebound by S. Mejri,,39-46,,
7:44.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Finney-Smith),3,42-46,,
7:30.0,,,42-46,,Turnover by B. Bogdanovic (bad pass)
7:30.0,,,42-46,,B. Beal enters the game for T. Satoransky
7:30.0,,,42-46,,M. Morris enters the game for J. Smith
7:12.0,S. Curry makes 2-pt shot from 10 ft,2,44-46,,
6:57.0,,,44-48,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by B. Jennings)
6:48.0,,,44-48,,Personal foul by B. Jennings (drawn by Y. Ferrell)
6:40.0,S. Curry misses 3-pt shot from 25 ft,,44-48,,
6:40.0,,,44-48,,Defensive rebound by B. Jennings
6:32.0,,,44-48,,B. Jennings misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by H. Barnes,,44-48,,
6:26.0,Turnover by Y. Ferrell (bad pass),,44-48,,
6:26.0,Violation by Team (delay of game),,44-48,,
6:26.0,,,44-48,,Washington full timeout
6:26.0,,,44-48,,M. Gortat enters the game for I. Mahinmi
6:26.0,,,44-48,,J. Wall enters the game for B. Jennings
6:26.0,N. Noel enters the game for S. Mejri,,44-48,,
6:08.0,Personal foul by D. Finney-Smith (drawn by B. Bogdanovic),,44-48,,
6:02.0,,,44-48,,M. Gortat misses 2-pt shot from 7 ft
6:01.0,Defensive rebound by D. Finney-Smith,,44-48,,
5:39.0,N. Noel misses 2-pt shot from 18 ft,,44-48,,
5:38.0,,,44-48,,Defensive rebound by M. Gortat
5:21.0,,,44-48,,Offensive foul by M. Morris
5:21.0,,,44-48,,Turnover by M. Morris (offensive foul)
5:21.0,,,44-48,,O. Porter enters the game for B. Bogdanovic
4:59.0,D. Finney-Smith misses 3-pt shot from 26 ft,,44-48,,
4:59.0,,,44-48,,Defensive rebound by O. Porter
4:46.0,,,44-50,2,B. Beal makes 2-pt shot from 17 ft (assist by O. Porter)
4:37.0,Dallas full timeout,,44-50,,
4:35.0,D. Nowitzki enters the game for D. Finney-Smith,,44-50,,
4:35.0,J. Barea enters the game for Y. Ferrell,,44-50,,
4:27.0,H. Barnes misses 2-pt shot from 11 ft,,44-50,,
4:26.0,,,44-50,,Defensive rebound by M. Gortat
4:15.0,,,44-52,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
3:50.0,,,44-52,,Personal foul by M. Gortat (drawn by D. Nowitzki)
3:50.0,D. Nowitzki makes free throw 1 of 2,1,45-52,,
3:50.0,D. Nowitzki makes free throw 2 of 2,1,46-52,,
3:34.0,,,46-55,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:08.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,48-55,,
3:00.0,,,48-55,,M. Morris misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by N. Noel,,48-55,,
2:43.0,S. Curry makes 3-pt shot from 29 ft (assist by J. Barea),3,51-55,,
2:29.0,Personal foul by S. Curry (drawn by B. Beal),,51-55,,
2:17.0,,,51-55,,J. Wall misses 2-pt shot from 18 ft
2:16.0,Defensive rebound by Team,,51-55,,
1:57.0,N. Noel misses 2-pt shot from 18 ft,,51-55,,
1:56.0,,,51-55,,Defensive rebound by M. Morris
1:50.0,,,51-55,,J. Wall misses 2-pt shot from 2 ft (block by N. Noel)
1:48.0,Defensive rebound by J. Barea,,51-55,,
1:42.0,J. Barea misses 3-pt shot from 26 ft,,51-55,,
1:41.0,,,51-55,,Defensive rebound by M. Gortat
1:37.0,,,51-55,,Washington full timeout
1:36.0,,,51-55,,B. Jennings enters the game for J. Wall
1:27.0,,,51-57,2,M. Morris makes 2-pt shot from 15 ft (assist by B. Beal)
1:14.0,,,51-57,,Personal foul by M. Morris (drawn by D. Nowitzki)
1:14.0,D. Nowitzki misses free throw 1 of 2,,51-57,,
1:14.0,Offensive rebound by Team,,51-57,,
1:14.0,D. Nowitzki misses free throw 2 of 2,,51-57,,
1:14.0,,,51-57,,J. Smith enters the game for M. Morris
1:13.0,,,51-57,,Defensive rebound by M. Gortat
0:56.0,,,51-57,,B. Beal misses 3-pt shot from 27 ft
0:55.0,Defensive rebound by H. Barnes,,51-57,,
0:39.0,D. Nowitzki misses 3-pt shot from 30 ft,,51-57,,
0:39.0,,,51-57,,Defensive rebound by J. Smith
0:28.0,,,51-57,,O. Porter misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by D. Nowitzki,,51-57,,
0:03.0,H. Barnes makes 2-pt shot from 18 ft (assist by J. Barea),2,53-57,,
0:01.0,,,53-57,,B. Beal misses 3-pt shot from 42 ft
0:00.0,,,53-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,H. Barnes makes 2-pt shot from 5 ft,2,55-57,,
11:18.0,,,55-57,,O. Porter misses 3-pt shot from 27 ft
11:18.0,Defensive rebound by D. Finney-Smith,,55-57,,
11:03.0,D. Finney-Smith misses 2-pt shot from 18 ft,,55-57,,
11:02.0,,,55-57,,Defensive rebound by M. Morris
10:42.0,,,55-57,,J. Wall misses 3-pt shot from 26 ft
10:42.0,,,55-57,,Offensive rebound by Team
10:42.0,Loose ball foul by S. Curry (drawn by O. Porter),,55-57,,
10:36.0,,,55-59,2,B. Beal makes 2-pt shot from 18 ft (assist by O. Porter)
10:23.0,,,55-59,,Personal foul by M. Morris (drawn by H. Barnes)
10:11.0,H. Barnes misses 2-pt shot from 10 ft,,55-59,,
10:10.0,,,55-59,,Defensive rebound by O. Porter
10:03.0,,,55-59,,M. Gortat misses 2-pt shot from 5 ft (block by D. Nowitzki)
10:02.0,Defensive rebound by D. Finney-Smith,,55-59,,
9:48.0,Turnover by D. Nowitzki (lost ball; steal by J. Wall),,55-59,,
9:44.0,,,55-61,2,J. Wall makes 2-pt shot at rim
9:23.0,H. Barnes makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,57-61,,
8:58.0,,,57-63,2,O. Porter makes 2-pt shot from 23 ft (assist by J. Wall)
8:33.0,Turnover by D. Finney-Smith (traveling),,57-63,,
8:24.0,Personal foul by S. Curry (drawn by O. Porter),,57-63,,
8:24.0,D. Harris enters the game for S. Curry,,57-63,,
8:24.0,J. Barea enters the game for Y. Ferrell,,57-63,,
8:19.0,,,57-63,,M. Morris misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by D. Finney-Smith,,57-63,,
8:01.0,D. Nowitzki misses 2-pt shot from 10 ft,,57-63,,
8:00.0,,,57-63,,Defensive rebound by B. Beal
7:53.0,,,57-63,,J. Wall misses 3-pt shot from 28 ft
7:52.0,Defensive rebound by D. Finney-Smith,,57-63,,
7:29.0,D. Nowitzki misses 2-pt shot from 14 ft,,57-63,,
7:28.0,,,57-63,,Defensive rebound by M. Gortat
7:23.0,,,57-63,,B. Beal misses 3-pt shot from 26 ft
7:22.0,,,57-63,,Offensive rebound by M. Gortat
7:12.0,,,57-65,2,J. Wall makes 2-pt shot from 21 ft (assist by O. Porter)
6:54.0,D. Harris makes 3-pt shot from 26 ft (assist by H. Barnes),3,60-65,,
6:38.0,,,60-67,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
6:15.0,,,60-67,,Personal foul by O. Porter (drawn by H. Barnes)
6:08.0,D. Nowitzki misses 3-pt shot from 26 ft,,60-67,,
6:07.0,,,60-67,,Defensive rebound by O. Porter
5:58.0,Personal foul by J. Barea,,60-67,,
5:58.0,,,60-67,,Washington full timeout
5:53.0,,,60-67,,B. Beal misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by D. Harris,,60-67,,
5:44.0,Offensive foul by D. Harris,,60-67,,
5:44.0,Turnover by D. Harris (offensive foul),,60-67,,
5:35.0,,,60-67,,Shooting foul by D. Finney-Smith (drawn by J. Wall)
5:35.0,,,60-68,1,J. Wall makes free throw 1 of 2
5:35.0,,,60-69,1,J. Wall makes free throw 2 of 2
5:21.0,H. Barnes makes 2-pt shot at rim (assist by J. Barea),2,62-69,,
5:01.0,,,62-71,2,M. Gortat makes 2-pt shot from 16 ft (assist by B. Beal)
4:50.0,J. Barea misses 3-pt shot from 27 ft,,62-71,,
4:49.0,,,62-71,,Defensive rebound by O. Porter
4:33.0,,,62-71,,J. Wall misses 2-pt shot from 15 ft
4:32.0,Defensive rebound by H. Barnes,,62-71,,
4:20.0,D. Nowitzki misses 3-pt shot from 26 ft,,62-71,,
4:19.0,,,62-71,,Defensive rebound by M. Morris
4:15.0,,,62-71,,Turnover by B. Beal (lost ball)
4:15.0,Dallas full timeout,,62-71,,
4:15.0,N. Noel enters the game for D. Nowitzki,,62-71,,
4:15.0,N. Brussino enters the game for D. Finney-Smith,,62-71,,
4:05.0,D. Harris misses 2-pt shot from 5 ft,,62-71,,
4:04.0,,,62-71,,Defensive rebound by M. Gortat
3:59.0,,,62-74,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
3:47.0,H. Barnes makes 2-pt shot from 13 ft (assist by J. Barea),2,64-74,,
3:35.0,,,64-74,,B. Beal misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by N. Brussino,,64-74,,
3:25.0,J. Barea makes 2-pt shot from 13 ft,2,66-74,,
2:57.0,,,66-76,2,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall)
2:45.0,N. Noel makes 2-pt shot from 3 ft (assist by J. Barea),2,68-76,,
2:29.0,,,68-76,,Offensive foul by M. Gortat
2:29.0,,,68-76,,Turnover by M. Gortat (offensive foul)
2:29.0,,,68-76,,B. Jennings enters the game for B. Beal
2:29.0,,,68-76,,I. Mahinmi enters the game for M. Morris
2:29.0,,,68-76,,B. Bogdanovic enters the game for M. Gortat
2:16.0,N. Noel misses 2-pt shot from 11 ft,,68-76,,
2:15.0,,,68-76,,Defensive rebound by B. Bogdanovic
1:58.0,,,68-76,,J. Wall misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by H. Barnes,,68-76,,
1:48.0,J. Barea misses 3-pt shot from 29 ft,,68-76,,
1:48.0,,,68-76,,Defensive rebound by O. Porter
1:40.0,,,68-79,3,B. Jennings makes 3-pt shot from 24 ft (assist by O. Porter)
1:38.0,Dallas full timeout,,68-79,,
1:38.0,S. Curry enters the game for J. Barea,,68-79,,
1:38.0,Y. Ferrell enters the game for D. Harris,,68-79,,
1:23.0,,,68-79,,Personal foul by I. Mahinmi (drawn by Y. Ferrell)
1:12.0,H. Barnes makes 2-pt shot from 12 ft,2,70-79,,
1:00.0,Personal foul by N. Brussino (drawn by B. Bogdanovic),,70-79,,
1:00.0,,,70-80,1,B. Bogdanovic makes free throw 1 of 2
1:00.0,,,70-80,,B. Bogdanovic misses free throw 2 of 2
0:59.0,Defensive rebound by H. Barnes,,70-80,,
0:43.0,Y. Ferrell misses 3-pt shot from 26 ft,,70-80,,
0:42.0,,,70-80,,Defensive rebound by O. Porter
0:35.0,,,70-80,,I. Mahinmi misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by N. Brussino,,70-80,,
0:15.0,H. Barnes makes 3-pt shot from 23 ft (assist by N. Noel),3,73-80,,
0:00.0,,,73-80,,J. Wall misses 2-pt shot from 21 ft
0:00.0,,,73-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,73-80,,Turnover by B. Bogdanovic (traveling)
11:33.0,Shooting foul by I. Mahinmi (drawn by S. Curry),,73-80,,
11:33.0,S. Curry makes free throw 1 of 2,1,74-80,,
11:33.0,S. Curry makes free throw 2 of 2,1,75-80,,
11:12.0,,,75-82,2,T. Satoransky makes 2-pt shot from 11 ft
11:01.0,S. Curry makes 3-pt shot from 28 ft,3,78-82,,
10:44.0,,,78-82,,Turnover by B. Bogdanovic (bad pass; steal by N. Brussino)
10:32.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,81-82,,
10:30.0,,,81-82,,Washington full timeout
10:30.0,,,81-82,,B. Beal enters the game for T. Satoransky
10:14.0,,,81-84,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Beal)
10:05.0,Turnover by S. Curry (palming),,81-84,,
9:47.0,,,81-84,,I. Mahinmi misses 2-pt shot from 6 ft
9:46.0,Defensive rebound by D. Nowitzki,,81-84,,
9:37.0,S. Curry misses 3-pt shot from 29 ft,,81-84,,
9:36.0,Offensive rebound by N. Brussino,,81-84,,
9:26.0,Y. Ferrell makes 3-pt shot from 27 ft,3,84-84,,
9:07.0,,,84-84,,B. Beal misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by Y. Ferrell,,84-84,,
8:46.0,D. Nowitzki misses 2-pt shot from 18 ft,,84-84,,
8:45.0,,,84-84,,Defensive rebound by O. Porter
8:34.0,,,84-87,3,B. Beal makes 3-pt shot from 26 ft
8:33.0,Dallas full timeout,,84-87,,
8:33.0,,,84-87,,M. Morris enters the game for O. Porter
8:33.0,H. Barnes enters the game for N. Noel,,84-87,,
8:11.0,Y. Ferrell misses 2-pt shot from 1 ft,,84-87,,
8:10.0,,,84-87,,Defensive rebound by M. Morris
8:08.0,,,84-87,,Turnover by M. Morris (bad pass; steal by S. Curry)
8:03.0,S. Curry makes 3-pt shot from 23 ft,3,87-87,,
7:37.0,,,87-87,,Turnover by B. Beal (bad pass; steal by S. Curry)
7:37.0,,,87-87,,Personal foul by M. Morris (drawn by S. Curry)
7:37.0,,,87-87,,J. Wall enters the game for B. Jennings
7:25.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by S. Curry),2,89-87,,
7:12.0,Personal foul by S. Curry (drawn by B. Beal),,89-87,,
7:03.0,,,89-87,,B. Beal misses 2-pt shot from 21 ft
7:02.0,Defensive rebound by N. Brussino,,89-87,,
6:58.0,,,89-87,,Personal foul by I. Mahinmi (drawn by D. Nowitzki)
6:46.0,D. Nowitzki misses 3-pt shot from 28 ft,,89-87,,
6:46.0,,,89-87,,Defensive rebound by B. Bogdanovic
6:40.0,,,89-87,,Turnover by J. Wall (lost ball; steal by N. Brussino)
6:31.0,S. Curry misses 3-pt shot from 28 ft,,89-87,,
6:30.0,,,89-87,,Defensive rebound by I. Mahinmi
6:19.0,,,89-87,,J. Wall misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by H. Barnes,,89-87,,
5:59.0,N. Brussino makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,92-87,,
5:58.0,,,92-87,,Washington full timeout
5:58.0,D. Harris enters the game for S. Curry,,92-87,,
5:58.0,N. Noel enters the game for D. Nowitzki,,92-87,,
5:58.0,,,92-87,,O. Porter enters the game for I. Mahinmi
5:58.0,,,92-87,,M. Gortat enters the game for B. Bogdanovic
5:50.0,,,92-87,,Shooting foul by N. Noel (drawn by M. Gortat)
5:50.0,,,92-87,,M. Gortat misses free throw 1 of 2
5:50.0,,,92-87,,Offensive rebound by Team
5:50.0,,,92-87,,M. Gortat misses free throw 2 of 2
5:49.0,Defensive rebound by N. Brussino,,92-87,,
5:31.0,N. Brussino makes 3-pt shot from 28 ft (assist by Y. Ferrell),3,95-87,,
5:11.0,,,95-87,,M. Gortat misses 2-pt shot from 6 ft
5:10.0,Defensive rebound by H. Barnes,,95-87,,
4:48.0,H. Barnes misses 3-pt shot from 26 ft,,95-87,,
4:47.0,Offensive rebound by N. Noel,,95-87,,
4:46.0,N. Noel makes 2-pt shot at rim,2,97-87,,
4:46.0,,,97-87,,Washington full timeout
4:46.0,,,97-87,,B. Bogdanovic enters the game for M. Gortat
4:34.0,,,97-87,,Turnover by J. Wall (bad pass; steal by D. Harris)
4:13.0,Turnover by H. Barnes (lost ball; steal by J. Wall),,97-87,,
4:09.0,Personal foul by Y. Ferrell (drawn by J. Wall),,97-87,,
4:01.0,,,97-90,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by B. Beal)
3:36.0,Turnover by H. Barnes (bad pass; steal by J. Wall),,97-90,,
3:34.0,Personal foul by H. Barnes (drawn by J. Wall),,97-90,,
3:34.0,S. Curry enters the game for D. Harris,,97-90,,
3:34.0,D. Nowitzki enters the game for N. Noel,,97-90,,
3:28.0,,,97-90,,Turnover by J. Wall (traveling)
3:08.0,D. Nowitzki misses 2-pt shot from 17 ft,,97-90,,
3:07.0,Offensive rebound by N. Brussino,,97-90,,
3:05.0,N. Brussino makes 2-pt shot from 2 ft,2,99-90,,
2:50.0,Personal foul by S. Curry (drawn by M. Morris),,99-90,,
2:50.0,,,99-90,,M. Morris misses free throw 1 of 2
2:50.0,,,99-90,,Offensive rebound by Team
2:50.0,,,99-91,1,M. Morris makes free throw 2 of 2
2:28.0,Y. Ferrell misses 3-pt shot from 26 ft,,99-91,,
2:28.0,,,99-91,,Defensive rebound by O. Porter
2:20.0,,,99-93,2,J. Wall makes 2-pt shot from 1 ft
2:01.0,D. Nowitzki makes 2-pt shot from 3 ft,2,101-93,,
1:57.0,,,101-95,2,J. Wall makes 2-pt shot from 2 ft
1:33.0,D. Nowitzki makes 3-pt shot from 30 ft (assist by H. Barnes),3,104-95,,
1:23.0,,,104-95,,B. Beal misses 2-pt shot from 15 ft
1:22.0,Defensive rebound by D. Nowitzki,,104-95,,
1:03.0,Y. Ferrell misses 2-pt shot from 18 ft,,104-95,,
1:02.0,,,104-95,,Defensive rebound by B. Beal
1:01.0,,,104-95,,Washington full timeout
1:01.0,D. Harris enters the game for S. Curry,,104-95,,
1:00.0,,,104-95,,Shooting foul by N. Brussino (drawn by B. Bogdanovic)
1:00.0,,,104-96,1,B. Bogdanovic makes free throw 1 of 3
1:00.0,,,104-97,1,B. Bogdanovic makes free throw 2 of 3
1:00.0,,,104-98,1,B. Bogdanovic makes free throw 3 of 3
1:00.0,S. Curry enters the game for N. Brussino,,104-97,,
0:52.0,,,104-98,,Personal foul by O. Porter (drawn by Y. Ferrell)
0:48.0,Dallas full timeout,,104-98,,
0:46.0,Turnover by H. Barnes (traveling),,104-98,,
0:42.0,,,104-100,2,J. Wall makes 2-pt shot at rim
0:32.0,,,104-100,,Personal take foul by B. Beal (drawn by Y. Ferrell)
0:32.0,Y. Ferrell makes free throw 1 of 2,1,105-100,,
0:32.0,Y. Ferrell makes free throw 2 of 2,1,106-100,,
0:32.0,D. Finney-Smith enters the game for D. Nowitzki,,105-100,,
0:23.0,,,106-100,,B. Beal misses 3-pt shot from 27 ft
