time,Charlotte,pts.away,score,pts.home,Phoenix
3:30.0,,,27-20,,D. Booker misses 2-pt shot from 23 ft
3:30.0,Defensive rebound by K. Walker,,27-20,,
3:16.0,M. Williams misses 2-pt shot from 11 ft,,27-20,,
3:15.0,Offensive rebound by C. Zeller,,27-20,,
3:09.0,M. Williams makes 2-pt shot from 1 ft,2,29-20,,
3:09.0,Shooting foul by A. Williams (drawn by M. Williams),,29-20,,
3:09.0,M. Williams makes free throw 1 of 1,1,30-20,,
3:09.0,,,29-20,,T. Ulis enters the game for E. Bledsoe
3:09.0,B. Roberts enters the game for K. Walker,,29-20,,
2:53.0,,,30-22,2,A. Williams makes 2-pt shot at rim (assist by D. Booker)
2:29.0,N. Batum misses 2-pt shot from 16 ft,,30-22,,
2:28.0,,,30-22,,Defensive rebound by A. Williams
2:20.0,,,30-24,2,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis)
2:03.0,N. Batum misses 3-pt shot from 26 ft,,30-24,,
2:03.0,,,30-24,,Defensive rebound by Team
2:03.0,M. Belinelli enters the game for N. Batum,,30-24,,
1:50.0,,,30-26,2,D. Booker makes 2-pt shot from 6 ft
1:38.0,Turnover by B. Roberts (bad pass; steal by T. Ulis),,30-26,,
1:27.0,,,30-26,,J. Dudley misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by B. Roberts,,30-26,,
1:17.0,Shooting foul by A. Williams (drawn by M. Williams),,30-26,,
1:17.0,M. Williams makes free throw 1 of 2,1,31-26,,
1:17.0,M. Williams makes free throw 2 of 2,1,32-26,,
1:04.0,,,32-28,2,D. Jones makes 2-pt shot from 2 ft (assist by D. Booker)
0:47.0,J. Lamb misses 2-pt shot from 18 ft,,32-28,,
0:45.0,,,32-28,,Defensive rebound by D. Booker
0:41.0,,,32-28,,Turnover by D. Booker (bad pass; steal by J. Lamb)
0:26.0,Turnover by M. Williams (lost ball; steal by D. Jones),,32-28,,
0:22.0,,,32-28,,D. Booker misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by J. Lamb,,32-28,,
0:00.0,M. Belinelli misses 3-pt shot from 27 ft,,32-28,,
0:00.0,Offensive rebound by Team,,32-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,F. Kaminsky misses 3-pt shot from 26 ft,,32-28,,
11:45.0,,,32-28,,Defensive rebound by J. Dudley
11:29.0,,,32-28,,J. Dudley misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by J. Lamb,,32-28,,
11:11.0,F. Kaminsky makes 2-pt shot from 3 ft,2,34-28,,
10:58.0,,,34-28,,Turnover by L. Barbosa (bad pass; steal by F. Kaminsky)
10:56.0,Turnover by F. Kaminsky (bad pass; steal by T. Ulis),,34-28,,
10:55.0,,,34-30,2,T. Ulis makes 2-pt shot from 16 ft
10:40.0,,,34-30,,Personal foul by J. Dudley (drawn by J. Lamb)
10:33.0,M. Belinelli makes 2-pt shot from 19 ft,2,36-30,,
10:12.0,,,36-32,2,A. Williams makes 2-pt shot from 2 ft (assist by L. Barbosa)
10:07.0,Charlotte full timeout,,36-32,,
10:02.0,Shooting foul by L. Barbosa (drawn by B. Roberts),,36-32,,
10:02.0,B. Roberts makes free throw 1 of 3,1,37-32,,
10:02.0,B. Roberts misses free throw 2 of 3,,37-32,,
10:02.0,Offensive rebound by Team,,37-32,,
10:02.0,B. Roberts makes free throw 3 of 3,1,38-32,,
9:53.0,Personal foul by M. Williams (drawn by J. Dudley),,38-32,,
9:42.0,,,38-35,3,L. Barbosa makes 3-pt shot from 24 ft (assist by T. Ulis)
9:13.0,M. Williams misses 2-pt shot from 13 ft,,38-35,,
9:10.0,,,38-35,,Defensive rebound by Team
9:10.0,M. Kidd-Gilchrist enters the game for M. Williams,,38-35,,
8:57.0,,,38-35,,L. Barbosa misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by F. Kaminsky,,38-35,,
8:38.0,B. Roberts misses 3-pt shot from 25 ft,,38-35,,
8:37.0,Offensive rebound by M. Kidd-Gilchrist,,38-35,,
8:32.0,F. Kaminsky misses 3-pt shot from 25 ft,,38-35,,
8:32.0,,,38-35,,Defensive rebound by A. Williams
8:22.0,,,38-37,2,T. Ulis makes 2-pt shot from 13 ft
8:00.0,M. Belinelli misses 3-pt shot from 26 ft,,38-37,,
8:00.0,,,38-37,,Defensive rebound by L. Barbosa
7:56.0,,,38-37,,Offensive charge foul by L. Barbosa
7:56.0,,,38-37,,Turnover by L. Barbosa (offensive foul)
7:56.0,,,38-37,,M. Chriss enters the game for A. Williams
7:56.0,N. Batum enters the game for F. Kaminsky,,38-37,,
7:56.0,K. Walker enters the game for J. Lamb,,38-37,,
7:56.0,C. Zeller enters the game for B. Roberts,,38-37,,
7:42.0,K. Walker makes 2-pt shot from 2 ft (assist by C. Zeller),2,40-37,,
7:27.0,,,40-39,2,M. Chriss makes 2-pt shot from 1 ft (assist by J. Dudley)
7:12.0,C. Zeller misses 2-pt shot from 3 ft,,40-39,,
7:10.0,Offensive rebound by M. Kidd-Gilchrist,,40-39,,
7:05.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,40-39,,
7:03.0,Offensive rebound by M. Kidd-Gilchrist,,40-39,,
7:00.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,42-39,,
6:51.0,,,42-39,,L. Barbosa misses 3-pt shot from 22 ft
6:49.0,Defensive rebound by N. Batum,,42-39,,
6:41.0,Shooting foul by D. Jones (drawn by K. Walker),,42-39,,
6:41.0,K. Walker makes 2-pt shot from 2 ft,2,44-39,,
6:41.0,K. Walker makes free throw 1 of 1,1,45-39,,
6:41.0,,,44-39,,T. Warren enters the game for J. Dudley
6:32.0,,,45-39,,T. Ulis misses 2-pt shot from 21 ft
6:30.0,Defensive rebound by C. Zeller,,45-39,,
6:23.0,N. Batum misses 2-pt shot from 15 ft,,45-39,,
6:20.0,Offensive rebound by M. Kidd-Gilchrist,,45-39,,
6:09.0,Shooting foul by L. Barbosa (drawn by M. Belinelli),,45-39,,
6:09.0,M. Belinelli makes free throw 1 of 2,1,46-39,,
6:09.0,M. Belinelli makes free throw 2 of 2,1,47-39,,
6:09.0,,,46-39,,D. Booker enters the game for T. Ulis
6:09.0,,,46-39,,E. Bledsoe enters the game for D. Jones
5:46.0,,,47-42,3,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe)
5:32.0,K. Walker makes 3-pt shot from 25 ft,3,50-42,,
5:14.0,,,50-42,,L. Barbosa misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by N. Batum,,50-42,,
5:05.0,K. Walker misses 2-pt shot from 1 ft,,50-42,,
5:05.0,,,50-42,,Defensive rebound by E. Bledsoe
5:01.0,,,50-44,2,L. Barbosa makes 2-pt shot from 2 ft (assist by D. Booker)
5:01.0,,,50-44,,Shooting foul by M. Kidd-Gilchrist (drawn by L. Barbosa)
5:01.0,Official timeout,,50-44,,
5:01.0,,,50-45,1,L. Barbosa makes free throw 1 of 1
5:01.0,F. Kaminsky enters the game for C. Zeller,,50-44,,
4:40.0,N. Batum misses 2-pt shot from 12 ft,,50-45,,
4:39.0,,,50-45,,Defensive rebound by T. Warren
4:34.0,,,50-47,2,E. Bledsoe makes 2-pt shot from 10 ft
4:34.0,,,50-47,,Shooting foul by M. Kidd-Gilchrist (drawn by E. Bledsoe)
4:34.0,,,50-48,1,E. Bledsoe makes free throw 1 of 1
4:17.0,N. Batum misses 3-pt shot from 26 ft,,50-48,,
4:15.0,,,50-48,,Defensive rebound by T. Warren
4:06.0,,,50-50,2,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:59.0,Charlotte full timeout,,50-50,,
3:59.0,M. Williams enters the game for M. Kidd-Gilchrist,,50-50,,
3:40.0,K. Walker misses 3-pt shot from 23 ft,,50-50,,
3:40.0,Offensive rebound by M. Williams,,50-50,,
3:34.0,Turnover by M. Belinelli (lost ball),,50-50,,
3:22.0,,,50-52,2,L. Barbosa makes 2-pt shot from 4 ft (assist by D. Booker)
3:09.0,Shooting foul by M. Chriss (drawn by K. Walker),,50-52,,
3:09.0,K. Walker makes free throw 1 of 2,1,51-52,,
3:09.0,K. Walker misses free throw 2 of 2,,51-52,,
3:08.0,,,51-52,,Defensive rebound by T. Warren
2:50.0,Personal foul by N. Batum (drawn by D. Booker),,51-52,,
2:37.0,,,51-55,3,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
2:17.0,M. Belinelli makes 2-pt shot from 22 ft (assist by K. Walker),2,53-55,,
2:02.0,,,53-55,,D. Booker misses 2-pt shot from 19 ft
2:01.0,Defensive rebound by K. Walker,,53-55,,
1:54.0,K. Walker misses 2-pt shot from 2 ft,,53-55,,
1:54.0,,,53-55,,Defensive rebound by D. Booker
1:49.0,Shooting block foul by F. Kaminsky (drawn by D. Booker),,53-55,,
1:49.0,,,53-56,1,D. Booker makes free throw 1 of 2
1:49.0,,,53-57,1,D. Booker makes free throw 2 of 2
1:32.0,F. Kaminsky makes 2-pt shot from 4 ft (assist by N. Batum),2,55-57,,
1:16.0,,,55-59,2,M. Chriss makes 2-pt shot from 2 ft (assist by E. Bledsoe)
0:58.0,,,55-59,,Inbound foul by M. Chriss
0:58.0,M. Belinelli makes free throw 1 of 1,1,56-59,,
0:49.0,K. Walker misses 3-pt shot from 25 ft (block by E. Bledsoe),,56-59,,
0:48.0,,,56-59,,Defensive rebound by M. Chriss
0:38.0,,,56-61,2,L. Barbosa makes 2-pt shot from 1 ft
0:26.0,K. Walker makes 2-pt shot from 2 ft,2,58-61,,
0:06.0,,,58-61,,Turnover by E. Bledsoe (bad pass; steal by M. Williams)
0:00.0,K. Walker misses 3-pt shot from 25 ft,,58-61,,
0:00.0,Offensive rebound by Team,,58-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,N. Batum makes 2-pt shot from 15 ft,2,60-61,,
11:49.0,Shooting foul by D. Booker (drawn by N. Batum),,60-61,,
11:49.0,N. Batum makes free throw 1 of 1,1,61-61,,
11:32.0,,,61-61,,Shooting foul by K. Walker (drawn by E. Bledsoe)
11:32.0,,,61-62,1,E. Bledsoe makes free throw 1 of 2
11:32.0,,,61-63,1,E. Bledsoe makes free throw 2 of 2
11:15.0,Turnover by N. Batum (bad pass; steal by E. Bledsoe),,61-63,,
11:09.0,,,61-65,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
10:47.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker),2,63-65,,
10:30.0,,,63-65,,M. Chriss misses 2-pt shot from 12 ft
10:29.0,,,63-65,,Offensive rebound by T. Warren
10:26.0,,,63-67,2,T. Warren makes 2-pt shot from 1 ft
10:14.0,F. Kaminsky makes 2-pt shot from 12 ft (assist by K. Walker),2,65-67,,
9:58.0,,,65-67,,Turnover by D. Booker (bad pass; steal by K. Walker)
9:52.0,K. Walker makes 2-pt shot from 2 ft,2,67-67,,
9:35.0,,,67-67,,Shooting foul by F. Kaminsky (drawn by E. Bledsoe)
9:35.0,,,67-68,1,E. Bledsoe makes free throw 1 of 2
9:35.0,,,67-69,1,E. Bledsoe makes free throw 2 of 2
9:19.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,70-69,,
9:11.0,,,70-69,,Shooting foul by F. Kaminsky (drawn by M. Chriss)
9:11.0,,,70-70,1,M. Chriss makes free throw 1 of 2
9:11.0,,,70-71,1,M. Chriss makes free throw 2 of 2
8:54.0,N. Batum misses 3-pt shot from 25 ft,,70-71,,
8:54.0,,,70-71,,Defensive rebound by A. Len
8:38.0,,,70-73,2,A. Len makes 2-pt shot at rim
8:27.0,,,70-73,,Personal foul by M. Chriss (drawn by N. Batum)
8:16.0,K. Walker misses 2-pt shot from 2 ft,,70-73,,
8:14.0,,,70-73,,Defensive rebound by T. Warren
8:09.0,,,70-75,2,T. Warren makes 2-pt shot from 2 ft
7:52.0,F. Kaminsky misses 2-pt shot from 3 ft,,70-75,,
7:52.0,,,70-75,,Defensive rebound by T. Warren
7:44.0,,,70-78,3,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker)
7:44.0,Charlotte full timeout,,70-78,,
7:44.0,C. Zeller enters the game for M. Williams,,70-78,,
7:35.0,K. Walker misses 3-pt shot from 25 ft,,70-78,,
7:34.0,,,70-78,,Defensive rebound by E. Bledsoe
7:15.0,,,70-80,2,A. Len makes 2-pt shot from 4 ft
7:03.0,K. Walker makes 2-pt shot from 16 ft,2,72-80,,
7:03.0,Shooting foul by E. Bledsoe (drawn by K. Walker),,72-80,,
7:03.0,K. Walker makes free throw 1 of 1,1,73-80,,
6:48.0,,,73-82,2,T. Warren makes 2-pt shot from 18 ft (assist by D. Booker)
6:48.0,Away from play foul by C. Zeller (drawn by A. Len),,73-82,,
6:48.0,,,73-83,1,A. Len makes free throw 1 of 1
6:37.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,73-83,,
6:35.0,,,73-83,,Defensive rebound by A. Len
6:23.0,,,73-83,,Turnover by E. Bledsoe (bad pass; steal by M. Kidd-Gilchrist)
6:19.0,Offensive charge foul by M. Kidd-Gilchrist,,73-83,,
6:19.0,Turnover by M. Kidd-Gilchrist (offensive foul),,73-83,,
6:04.0,,,73-85,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
5:44.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by C. Zeller),2,75-85,,
5:27.0,,,75-85,,M. Chriss misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by C. Zeller,,75-85,,
5:16.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,78-85,,
5:12.0,,,78-85,,Phoenix full timeout
5:05.0,,,78-85,,Turnover by D. Booker (bad pass; steal by F. Kaminsky)
4:54.0,Turnover by N. Batum (bad pass),,78-85,,
4:44.0,,,78-85,,D. Booker misses 2-pt shot from 19 ft
4:43.0,Defensive rebound by C. Zeller,,78-85,,
4:26.0,Shooting foul by A. Len (drawn by M. Kidd-Gilchrist),,78-85,,
4:26.0,M. Kidd-Gilchrist misses free throw 1 of 2,,78-85,,
4:26.0,Offensive rebound by Team,,78-85,,
4:26.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,79-85,,
4:06.0,,,79-87,2,D. Booker makes 2-pt shot from 12 ft
3:48.0,N. Batum makes 3-pt shot from 26 ft (assist by C. Zeller),3,82-87,,
3:25.0,,,82-87,,D. Booker misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by M. Kidd-Gilchrist,,82-87,,
3:17.0,N. Batum misses 3-pt shot from 25 ft,,82-87,,
3:16.0,,,82-87,,Defensive rebound by A. Len
3:03.0,,,82-87,,Turnover by E. Bledsoe (bad pass; steal by C. Zeller)
2:53.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,85-87,,
2:36.0,,,85-87,,Turnover by D. Booker (lost ball; steal by M. Kidd-Gilchrist)
2:26.0,K. Walker misses 3-pt shot from 25 ft,,85-87,,
2:26.0,,,85-87,,Defensive rebound by E. Bledsoe
2:17.0,,,85-87,,T. Warren misses 2-pt shot from 18 ft
2:17.0,Defensive rebound by K. Walker,,85-87,,
2:04.0,F. Kaminsky misses 3-pt shot from 26 ft,,85-87,,
2:04.0,,,85-87,,Defensive rebound by Team
2:04.0,,,85-87,,T. Ulis enters the game for M. Chriss
2:04.0,,,85-87,,A. Williams enters the game for A. Len
1:59.0,J. Lamb enters the game for M. Kidd-Gilchrist,,85-87,,
1:59.0,M. Williams enters the game for F. Kaminsky,,85-87,,
1:59.0,M. Belinelli enters the game for N. Batum,,85-87,,
1:59.0,,,85-87,,M. Chriss enters the game for E. Bledsoe
1:51.0,,,85-87,,T. Warren misses 2-pt shot from 8 ft
1:50.0,Defensive rebound by J. Lamb,,85-87,,
1:37.0,K. Walker misses 2-pt shot from 12 ft,,85-87,,
1:35.0,,,85-87,,Defensive rebound by D. Booker
1:27.0,,,85-89,2,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss)
1:12.0,C. Zeller misses 2-pt shot from 19 ft,,85-89,,
1:11.0,,,85-89,,Defensive rebound by D. Booker
1:04.0,Personal foul by M. Williams (drawn by A. Williams),,85-89,,
1:04.0,,,85-89,,A. Williams misses free throw 1 of 2
1:04.0,,,85-89,,Offensive rebound by Team
1:04.0,,,85-90,1,A. Williams makes free throw 2 of 2
1:04.0,,,85-89,,J. Dudley enters the game for M. Chriss
0:48.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,88-90,,
0:37.0,,,88-90,,A. Williams misses 2-pt shot from 7 ft
0:37.0,,,88-90,,Offensive rebound by T. Warren
0:37.0,,,88-92,2,T. Warren makes 2-pt shot from 2 ft
0:22.0,M. Belinelli misses 2-pt shot from 16 ft (block by T. Warren),,88-92,,
0:21.0,,,88-92,,Defensive rebound by D. Booker
0:19.0,Shooting block foul by K. Walker (drawn by D. Booker),,88-92,,
0:19.0,Technical foul by K. Walker (drawn by D. Booker),,88-92,,
0:19.0,,,88-92,,D. Booker misses technical free throw
0:19.0,,,88-92,,Offensive rebound by Team
0:19.0,,,88-93,1,D. Booker makes free throw 1 of 2
0:19.0,,,88-94,1,D. Booker makes free throw 2 of 2
0:00.0,Shooting foul by D. Booker (drawn by M. Williams),,88-94,,
0:00.0,M. Williams makes free throw 1 of 3,1,89-94,,
0:00.0,M. Williams makes free throw 2 of 3,1,90-94,,
0:00.0,M. Williams makes free throw 3 of 3,1,91-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,91-94,,J. Dudley misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by B. Roberts,,91-94,,
11:33.0,Shooting foul by J. Dudley (drawn by J. Lamb),,91-94,,
11:33.0,J. Lamb makes free throw 1 of 2,1,92-94,,
11:33.0,J. Lamb makes free throw 2 of 2,1,93-94,,
11:20.0,,,93-96,2,L. Barbosa makes 2-pt shot from 17 ft
11:00.0,B. Roberts misses 2-pt shot from 10 ft (block by J. Dudley),,93-96,,
11:00.0,Offensive rebound by Team,,93-96,,
10:54.0,J. Lamb makes 2-pt shot from 1 ft,2,95-96,,
10:48.0,,,95-98,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
10:29.0,J. Lamb misses 2-pt shot from 2 ft (block by D. Jones),,95-98,,
10:29.0,Offensive rebound by Team,,95-98,,
10:18.0,M. Williams misses 2-pt shot from 13 ft,,95-98,,
10:17.0,,,95-98,,Defensive rebound by A. Williams
10:12.0,,,95-98,,Shooting foul by B. Roberts (drawn by T. Ulis)
10:12.0,,,95-99,1,T. Ulis makes free throw 1 of 2
10:12.0,,,95-100,1,T. Ulis makes free throw 2 of 2
9:58.0,F. Kaminsky misses 2-pt shot from 2 ft,,95-100,,
9:57.0,,,95-100,,Defensive rebound by L. Barbosa
9:48.0,,,95-100,,D. Jones misses 2-pt shot from 1 ft (block by M. Williams)
9:47.0,Defensive rebound by Team,,95-100,,
9:33.0,M. Belinelli misses 3-pt shot from 27 ft,,95-100,,
9:33.0,,,95-100,,Defensive rebound by A. Williams
9:26.0,,,95-100,,Turnover by T. Ulis (kicked ball)
9:20.0,B. Roberts misses 2-pt shot from 4 ft (block by D. Jones),,95-100,,
9:19.0,,,95-100,,Defensive rebound by A. Williams
9:11.0,,,95-100,,T. Ulis misses 2-pt shot from 17 ft
9:10.0,Defensive rebound by M. Williams,,95-100,,
8:54.0,M. Belinelli misses 2-pt shot from 19 ft,,95-100,,
8:53.0,,,95-100,,Defensive rebound by L. Barbosa
8:49.0,Shooting block foul by J. Lamb (drawn by A. Williams),,95-100,,
8:49.0,Official timeout,,95-100,,
8:49.0,,,95-100,,A. Williams misses free throw 1 of 2
8:49.0,,,95-100,,Offensive rebound by Team
8:49.0,,,95-101,1,A. Williams makes free throw 2 of 2
8:49.0,N. Batum enters the game for J. Lamb,,95-100,,
8:49.0,K. Walker enters the game for B. Roberts,,95-100,,
8:49.0,M. Kidd-Gilchrist enters the game for M. Williams,,95-100,,
8:40.0,Offensive foul by M. Kidd-Gilchrist,,95-101,,
8:40.0,Turnover by M. Kidd-Gilchrist (offensive foul),,95-101,,
8:32.0,,,95-101,,Turnover by J. Dudley (lost ball)
8:15.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Belinelli),2,97-101,,
8:02.0,,,97-103,2,L. Barbosa makes 2-pt shot from 1 ft (assist by J. Dudley)
7:47.0,Turnover by F. Kaminsky (lost ball; steal by A. Williams),,97-103,,
7:42.0,,,97-105,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
7:38.0,Charlotte full timeout,,97-105,,
7:38.0,C. Zeller enters the game for F. Kaminsky,,97-105,,
7:23.0,Turnover by M. Kidd-Gilchrist (traveling),,97-105,,
7:09.0,,,97-105,,L. Barbosa misses 2-pt shot from 12 ft
7:07.0,,,97-105,,Offensive rebound by A. Williams
6:47.0,,,97-105,,J. Dudley misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by M. Kidd-Gilchrist,,97-105,,
6:39.0,N. Batum misses 3-pt shot from 25 ft,,97-105,,
6:37.0,,,97-105,,Defensive rebound by A. Williams
6:32.0,,,97-105,,Offensive foul by A. Williams
6:32.0,,,97-105,,Turnover by A. Williams (offensive foul)
6:12.0,Turnover by M. Belinelli (bad pass),,97-105,,
5:57.0,,,97-108,3,J. Dudley makes 3-pt shot from 27 ft (assist by T. Ulis)
5:38.0,K. Walker misses 3-pt shot from 25 ft,,97-108,,
5:38.0,,,97-108,,Defensive rebound by A. Williams
5:21.0,,,97-108,,T. Ulis misses 2-pt shot from 3 ft
5:21.0,Defensive rebound by C. Zeller,,97-108,,
5:18.0,Turnover by C. Zeller (lost ball; steal by D. Jones),,97-108,,
5:18.0,,,97-108,,Shooting foul by C. Zeller (drawn by D. Jones)
5:18.0,,,97-109,1,D. Jones makes free throw 1 of 2
5:18.0,,,97-110,1,D. Jones makes free throw 2 of 2
5:18.0,M. Williams enters the game for M. Belinelli,,97-109,,
5:05.0,N. Batum misses 3-pt shot from 25 ft,,97-110,,
5:04.0,,,97-110,,Defensive rebound by A. Williams
4:49.0,,,97-110,,Turnover by L. Barbosa (bad pass; steal by M. Kidd-Gilchrist)
4:39.0,Turnover by K. Walker (bad pass; steal by L. Barbosa),,97-110,,
4:33.0,,,97-110,,J. Dudley misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by M. Williams,,97-110,,
