time,Dallas,pts.away,score,pts.home,LA Lakers
1:08.0,Turnover by A. Bogut (offensive foul),,45-55,,
1:08.0,Offensive foul by A. Bogut,,45-55,,
1:08.0,D. Powell enters the game for A. Bogut,,45-55,,
1:08.0,,,45-55,,L. Williams enters the game for T. Mozgov
0:58.0,,,45-55,,D. Russell misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by D. Powell,,45-55,,
0:40.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams),2,47-55,,
0:30.0,,,47-57,2,D. Russell makes 2-pt shot from 2 ft (assist by J. Randle)
0:06.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by D. Williams),3,50-57,,
0:03.0,,,50-57,,D. Russell misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by D. Powell,,50-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-57,,T. Mozgov misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by H. Barnes,,50-57,,
11:24.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by H. Barnes),3,53-57,,
11:00.0,,,53-59,2,J. Randle makes 2-pt shot from 2 ft
11:00.0,,,53-59,,Shooting foul by D. Williams (drawn by J. Randle)
11:00.0,,,53-60,1,J. Randle makes free throw 1 of 1
10:35.0,H. Barnes misses 3-pt shot from 23 ft,,53-60,,
10:33.0,,,53-60,,Defensive rebound by N. Young
10:25.0,,,53-60,,Turnover by J. Randle (lost ball; steal by D. Finney-Smith)
10:19.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Finney-Smith),2,55-60,,
10:01.0,,,55-60,,D. Russell misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by A. Bogut,,55-60,,
9:50.0,W. Matthews misses 3-pt shot from 23 ft,,55-60,,
9:50.0,Offensive rebound by D. Finney-Smith,,55-60,,
9:50.0,D. Finney-Smith makes 2-pt shot from 1 ft,2,57-60,,
9:50.0,,,57-60,,LA Lakers full timeout
9:26.0,,,57-63,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
9:07.0,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes),3,60-63,,
8:55.0,,,60-65,2,N. Young makes 2-pt shot from 18 ft
8:26.0,W. Matthews misses 2-pt shot from 16 ft,,60-65,,
8:24.0,,,60-65,,Defensive rebound by T. Mozgov
8:14.0,,,60-65,,J. Randle misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by H. Barnes,,60-65,,
7:53.0,H. Barnes makes 2-pt shot from 10 ft,2,62-65,,
7:25.0,,,62-65,,D. Russell misses 2-pt shot from 1 ft (block by A. Bogut)
7:24.0,Defensive rebound by W. Matthews,,62-65,,
7:17.0,Turnover by D. Finney-Smith (bad pass; steal by D. Russell),,62-65,,
7:09.0,,,62-65,,L. Deng misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by D. Finney-Smith,,62-65,,
6:56.0,Shooting foul by T. Mozgov (drawn by H. Barnes),,62-65,,
6:56.0,H. Barnes makes free throw 1 of 2,1,63-65,,
6:56.0,H. Barnes makes free throw 2 of 2,1,64-65,,
6:38.0,,,64-65,,L. Deng misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by H. Barnes,,64-65,,
6:30.0,,,64-65,,Personal foul by D. Russell (drawn by D. Williams)
6:22.0,H. Barnes misses 2-pt shot from 18 ft,,64-65,,
6:20.0,Offensive rebound by W. Matthews,,64-65,,
6:15.0,D. Finney-Smith misses 3-pt shot from 24 ft,,64-65,,
6:14.0,Offensive rebound by H. Barnes,,64-65,,
6:03.0,Turnover by D. Williams (bad pass; steal by N. Young),,64-65,,
5:58.0,,,64-65,,B. Ingram enters the game for L. Deng
5:52.0,,,64-65,,D. Russell misses 2-pt shot from 18 ft
5:51.0,Defensive rebound by A. Bogut,,64-65,,
5:44.0,,,64-65,,Personal foul by D. Russell (drawn by D. Williams)
5:31.0,W. Matthews makes 3-pt shot from 25 ft (assist by A. Bogut),3,67-65,,
5:18.0,,,67-65,,Turnover by D. Russell (bad pass; steal by D. Williams)
5:06.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,70-65,,
5:06.0,,,70-65,,LA Lakers full timeout
5:06.0,,,70-65,,L. Deng enters the game for J. Randle
5:06.0,,,70-65,,J. Clarkson enters the game for T. Mozgov
5:06.0,,,70-65,,T. Robinson enters the game for N. Young
5:06.0,,,70-65,,L. Williams enters the game for D. Russell
5:06.0,D. Powell enters the game for H. Barnes,,70-65,,
5:06.0,S. Curry enters the game for A. Bogut,,70-65,,
5:06.0,D. Harris enters the game for D. Williams,,70-65,,
4:49.0,,,70-65,,J. Clarkson misses 2-pt shot from 8 ft
4:46.0,Defensive rebound by D. Finney-Smith,,70-65,,
4:36.0,W. Matthews misses 3-pt shot from 25 ft,,70-65,,
4:34.0,,,70-65,,Defensive rebound by L. Deng
4:21.0,,,70-65,,L. Williams misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by D. Powell,,70-65,,
4:04.0,S. Curry makes 3-pt shot from 26 ft,3,73-65,,
3:36.0,,,73-67,2,T. Robinson makes 2-pt shot from 2 ft
3:15.0,S. Curry misses 2-pt shot from 10 ft,,73-67,,
3:12.0,,,73-67,,Defensive rebound by T. Robinson
2:52.0,,,73-67,,J. Clarkson misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by S. Curry,,73-67,,
2:50.0,Dallas full timeout,,73-67,,
2:38.0,D. Powell misses 2-pt shot from 1 ft,,73-67,,
2:36.0,,,73-67,,Defensive rebound by T. Robinson
2:15.0,,,73-70,3,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Ingram)
1:58.0,D. Powell makes 2-pt shot at rim (assist by D. Harris),2,75-70,,
1:37.0,,,75-70,,B. Ingram misses 2-pt shot from 7 ft
1:36.0,,,75-70,,Offensive rebound by T. Robinson
1:28.0,,,75-70,,Turnover by L. Williams (bad pass; steal by S. Curry)
1:20.0,D. Harris makes 3-pt shot from 24 ft (assist by D. Finney-Smith),3,78-70,,
1:01.0,,,78-70,,L. Williams misses 2-pt shot from 14 ft
1:01.0,Defensive rebound by Team,,78-70,,
0:42.0,S. Curry makes 2-pt shot from 23 ft,2,80-70,,
0:33.0,,,80-70,,Turnover by J. Clarkson (lost ball; steal by S. Curry)
0:10.0,S. Curry misses 2-pt shot from 4 ft (block by T. Robinson),,80-70,,
0:10.0,,,80-70,,Defensive rebound by Team
0:06.0,,,80-70,,Offensive foul by L. Williams
0:06.0,,,80-70,,Turnover by L. Williams (offensive foul)
0:04.0,,,80-70,,Personal foul by L. Williams
