time,New York,pts.away,score,pts.home,Cleveland
11:29.0,J. Holiday misses 2-pt shot from 18 ft,,18-28,,
11:29.0,,,18-28,,Defensive rebound by K. Irving
11:26.0,,,18-28,,K. Irving misses 2-pt shot from 3 ft
11:24.0,,,18-28,,Offensive rebound by L. James
11:20.0,,,18-28,,K. Irving misses 3-pt shot from 23 ft
11:19.0,,,18-28,,Offensive rebound by C. Frye
10:55.0,,,18-30,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
10:47.0,Turnover by W. Hernangomez (bad pass; steal by M. Dunleavy),,18-30,,
10:42.0,,,18-30,,L. James misses 2-pt shot from 3 ft
10:40.0,,,18-30,,Offensive rebound by C. Frye
10:40.0,,,18-30,,C. Frye misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by L. Thomas,,18-30,,
10:23.0,L. Thomas misses 2-pt shot from 22 ft,,18-30,,
10:23.0,,,18-30,,Defensive rebound by M. Dunleavy
10:11.0,,,18-30,,C. Frye misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by B. Jennings,,18-30,,
10:02.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by B. Jennings),2,20-30,,
9:46.0,,,20-32,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
9:36.0,Shooting foul by C. Frye (drawn by B. Jennings),,20-32,,
9:36.0,B. Jennings makes free throw 1 of 2,1,21-32,,
9:36.0,B. Jennings makes free throw 2 of 2,1,22-32,,
9:36.0,K. Porzingis enters the game for W. Hernangomez,,21-32,,
9:27.0,Personal foul by K. Porzingis (drawn by R. Jefferson),,22-32,,
9:27.0,D. Rose enters the game for B. Jennings,,22-32,,
9:12.0,,,22-32,,M. Dunleavy misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by J. Holiday,,22-32,,
9:01.0,D. Rose makes 2-pt shot from 12 ft,2,24-32,,
8:48.0,,,24-32,,K. Irving misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by K. O'Quinn,,24-32,,
8:41.0,Turnover by D. Rose (lost ball; steal by R. Jefferson),,24-32,,
8:36.0,,,24-34,2,L. James makes 2-pt shot at rim (assist by K. Irving)
8:36.0,New York full timeout,,24-34,,
8:36.0,C. Anthony enters the game for K. O'Quinn,,24-34,,
8:23.0,Turnover by D. Rose (bad pass; steal by C. Frye),,24-34,,
8:12.0,,,24-34,,Turnover by R. Jefferson (lost ball)
7:58.0,K. Porzingis misses 2-pt shot from 15 ft,,24-34,,
7:57.0,,,24-34,,Defensive rebound by L. James
7:46.0,,,24-34,,Turnover by L. James (bad pass; steal by K. Porzingis)
7:45.0,,,24-34,,Personal foul by K. Irving (drawn by K. Porzingis)
7:45.0,,,24-34,,I. Shumpert enters the game for R. Jefferson
7:45.0,,,24-34,,J. Smith enters the game for M. Dunleavy
7:45.0,,,24-34,,T. Thompson enters the game for C. Frye
7:45.0,J. Noah enters the game for L. Thomas,,24-34,,
7:36.0,C. Anthony misses 2-pt shot from 5 ft (block by I. Shumpert),,24-34,,
7:35.0,,,24-34,,Defensive rebound by L. James
7:33.0,,,24-36,2,L. James makes 2-pt shot at rim (assist by K. Irving)
7:18.0,,,24-36,,Personal foul by L. James (drawn by J. Noah)
7:07.0,D. Rose makes 2-pt shot from 8 ft,2,26-36,,
6:50.0,,,26-39,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
6:30.0,C. Anthony makes 2-pt shot from 15 ft,2,28-39,,
6:16.0,,,28-39,,Turnover by T. Thompson (bad pass; steal by J. Noah)
6:11.0,D. Rose makes 2-pt shot at rim,2,30-39,,
6:11.0,,,30-39,,Cleveland full timeout
6:02.0,,,30-39,,Offensive foul by T. Thompson
6:02.0,,,30-39,,Turnover by T. Thompson (offensive foul)
6:02.0,,,30-39,,K. Love enters the game for L. James
5:47.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Holiday),3,33-39,,
5:33.0,Personal foul by C. Anthony (drawn by K. Love),,33-39,,
5:18.0,,,33-39,,J. Smith misses 2-pt shot from 17 ft
5:18.0,Defensive rebound by K. Porzingis,,33-39,,
5:11.0,J. Holiday makes 3-pt shot from 24 ft (assist by C. Anthony),3,36-39,,
4:55.0,,,36-41,2,K. Irving makes 2-pt shot from 1 ft
4:40.0,J. Holiday makes 3-pt shot from 25 ft (assist by C. Anthony),3,39-41,,
4:29.0,,,39-41,,K. Love misses 3-pt shot from 26 ft
4:28.0,,,39-41,,Offensive rebound by T. Thompson
4:19.0,,,39-41,,K. Love misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by C. Anthony,,39-41,,
4:13.0,D. Rose makes 2-pt shot from 1 ft,2,41-41,,
3:59.0,,,41-44,3,K. Irving makes 3-pt shot from 24 ft
3:46.0,,,41-44,,Personal foul by I. Shumpert (drawn by C. Anthony)
3:41.0,D. Rose misses 3-pt shot from 23 ft,,41-44,,
3:40.0,,,41-44,,Defensive rebound by K. Love
3:30.0,,,41-44,,J. Smith misses 3-pt shot from 24 ft
3:30.0,,,41-44,,Offensive rebound by T. Thompson
3:17.0,,,41-44,,I. Shumpert misses 2-pt shot from 19 ft
3:17.0,Defensive rebound by Team,,41-44,,
3:17.0,,,41-44,,Personal foul by T. Thompson (drawn by K. Porzingis)
3:17.0,K. Porzingis makes free throw 1 of 2,1,42-44,,
3:17.0,K. Porzingis misses free throw 2 of 2,,42-44,,
3:17.0,,,42-44,,L. James enters the game for T. Thompson
3:17.0,,,42-44,,R. Jefferson enters the game for K. Irving
3:17.0,C. Lee enters the game for J. Noah,,42-44,,
3:16.0,,,42-44,,Defensive rebound by K. Love
3:09.0,,,42-46,2,R. Jefferson makes 2-pt shot at rim (assist by I. Shumpert)
2:52.0,J. Holiday misses 2-pt shot from 16 ft,,42-46,,
2:50.0,,,42-46,,Defensive rebound by K. Love
2:44.0,,,42-46,,J. Smith misses 3-pt shot from 23 ft
2:43.0,,,42-46,,Offensive rebound by Team
2:43.0,Loose ball foul by C. Anthony (drawn by K. Love),,42-46,,
2:43.0,Official timeout,,42-46,,
2:43.0,L. Thomas enters the game for C. Anthony,,42-46,,
2:37.0,,,42-46,,Turnover by L. James (lost ball; steal by L. Thomas)
2:28.0,Turnover by C. Lee (lost ball; steal by J. Smith),,42-46,,
2:20.0,,,42-46,,Turnover by R. Jefferson (lost ball)
2:08.0,D. Rose misses 2-pt shot from 1 ft,,42-46,,
2:07.0,,,42-46,,Defensive rebound by J. Smith
1:54.0,,,42-46,,Turnover by K. Love (bad pass; steal by J. Holiday)
1:47.0,C. Lee misses 3-pt shot from 27 ft,,42-46,,
1:45.0,Offensive rebound by D. Rose,,42-46,,
1:42.0,D. Rose makes 2-pt shot at rim,2,44-46,,
1:15.0,,,44-46,,L. James misses 3-pt shot from 24 ft
1:15.0,,,44-46,,Offensive rebound by Team
1:15.0,,,44-46,,Turnover by Team (shot clock)
1:05.0,K. Porzingis misses 3-pt shot from 27 ft,,44-46,,
1:05.0,,,44-46,,Defensive rebound by K. Love
0:53.0,,,44-46,,L. James misses 2-pt shot from 10 ft
0:52.0,Defensive rebound by J. Holiday,,44-46,,
0:38.0,Shooting foul by K. Love (drawn by K. Porzingis),,44-46,,
0:38.0,K. Porzingis makes free throw 1 of 2,1,45-46,,
0:38.0,K. Porzingis misses free throw 2 of 2,,45-46,,
0:37.0,,,45-46,,Defensive rebound by K. Love
0:27.0,,,45-48,2,I. Shumpert makes 2-pt shot from 14 ft
0:16.0,New York full timeout,,45-48,,
0:16.0,C. Anthony enters the game for L. Thomas,,45-48,,
0:16.0,,,45-48,,J. McRae enters the game for L. James
0:16.0,,,45-48,,M. Dunleavy enters the game for I. Shumpert
0:03.0,C. Anthony misses 3-pt shot from 26 ft,,45-48,,
0:02.0,Offensive rebound by K. Porzingis,,45-48,,
0:01.0,K. Porzingis misses 2-pt shot from 10 ft,,45-48,,
0:01.0,,,45-48,,Defensive rebound by K. Love
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,45-48,,J. Smith misses 3-pt shot from 26 ft
11:46.0,,,45-48,,Offensive rebound by K. Love
11:42.0,,,45-48,,Offensive charge foul by K. Love
11:42.0,,,45-48,,Turnover by K. Love (offensive foul)
11:29.0,C. Anthony misses 2-pt shot from 12 ft,,45-48,,
11:29.0,,,45-48,,Defensive rebound by T. Thompson
11:07.0,,,45-48,,K. Irving misses 2-pt shot from 14 ft
11:04.0,,,45-48,,Offensive rebound by K. Love
11:04.0,,,45-50,2,K. Love makes 2-pt shot from 2 ft
10:51.0,Turnover by C. Lee (bad pass; steal by K. Love),,45-50,,
10:47.0,Shooting block foul by C. Lee (drawn by L. James),,45-50,,
10:47.0,,,45-50,,L. James misses free throw 1 of 2
10:47.0,,,45-50,,Offensive rebound by Team
10:47.0,,,45-51,1,L. James makes free throw 2 of 2
10:34.0,D. Rose misses 2-pt shot from 17 ft,,45-51,,
10:32.0,Offensive rebound by C. Lee,,45-51,,
10:29.0,Turnover by C. Anthony (step out of bounds),,45-51,,
10:17.0,,,45-51,,K. Love misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by Team,,45-51,,
9:58.0,K. Porzingis misses 2-pt shot from 13 ft,,45-51,,
9:54.0,Offensive rebound by K. Porzingis,,45-51,,
9:54.0,K. Porzingis makes 2-pt shot at rim,2,47-51,,
9:35.0,,,47-54,3,K. Irving makes 3-pt shot from 28 ft (assist by J. Smith)
9:22.0,C. Anthony makes 2-pt shot from 19 ft (assist by J. Noah),2,49-54,,
9:05.0,,,49-56,2,L. James makes 2-pt shot at rim (assist by J. Smith)
8:50.0,Turnover by K. Porzingis (lost ball; steal by K. Irving),,49-56,,
8:46.0,,,49-58,2,L. James makes 2-pt shot at rim (assist by K. Love)
8:46.0,New York full timeout,,49-58,,
8:26.0,C. Anthony misses 2-pt shot from 11 ft,,49-58,,
8:26.0,,,49-58,,Defensive rebound by Team
8:04.0,,,49-61,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
7:50.0,D. Rose misses 2-pt shot from 2 ft,,49-61,,
7:48.0,,,49-61,,Defensive rebound by T. Thompson
7:37.0,,,49-61,,J. Smith misses 2-pt shot from 8 ft (block by C. Lee)
7:36.0,Defensive rebound by J. Noah,,49-61,,
7:36.0,,,49-61,,Personal foul by T. Thompson (drawn by J. Noah)
7:36.0,,,49-61,,R. Jefferson enters the game for T. Thompson
7:16.0,C. Lee misses 2-pt shot from 1 ft,,49-61,,
7:13.0,,,49-61,,Defensive rebound by K. Love
7:11.0,,,49-61,,Offensive charge foul by L. James
7:11.0,,,49-61,,Turnover by L. James (offensive foul)
6:48.0,C. Lee misses 2-pt shot at rim (block by L. James),,49-61,,
6:44.0,,,49-61,,Defensive rebound by R. Jefferson
6:38.0,,,49-61,,K. Love misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by C. Anthony,,49-61,,
6:21.0,Shooting foul by K. Love (drawn by C. Anthony),,49-61,,
6:21.0,C. Anthony makes free throw 1 of 2,1,50-61,,
6:21.0,C. Anthony makes free throw 2 of 2,1,51-61,,
6:21.0,L. Thomas enters the game for J. Noah,,50-61,,
6:21.0,J. Holiday enters the game for C. Lee,,50-61,,
6:06.0,,,51-63,2,K. Irving makes 2-pt shot at rim
5:51.0,Turnover by L. Thomas (lost ball; steal by K. Love),,51-63,,
5:43.0,,,51-66,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
5:32.0,Offensive foul by K. Porzingis,,51-66,,
5:32.0,Turnover by K. Porzingis (offensive foul),,51-66,,
5:21.0,,,51-66,,J. Smith misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by K. Porzingis,,51-66,,
5:11.0,D. Rose misses 2-pt shot from 12 ft,,51-66,,
5:08.0,,,51-66,,Defensive rebound by J. Smith
5:00.0,,,51-66,,J. Smith misses 2-pt shot from 2 ft (block by K. Porzingis)
5:00.0,,,51-66,,Offensive rebound by Team
5:00.0,,,51-66,,C. Frye enters the game for K. Love
4:52.0,,,51-69,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
4:35.0,C. Anthony makes 2-pt shot from 14 ft,2,53-69,,
4:06.0,,,53-72,3,K. Irving makes 3-pt shot from 22 ft (assist by L. James)
3:55.0,D. Rose misses 2-pt shot from 1 ft,,53-72,,
3:55.0,,,53-72,,Defensive rebound by L. James
3:47.0,,,53-74,2,K. Irving makes 2-pt shot from 19 ft (assist by L. James)
3:47.0,New York full timeout,,53-74,,
3:43.0,B. Jennings enters the game for D. Rose,,53-74,,
3:30.0,L. Thomas makes 2-pt shot from 8 ft (assist by B. Jennings),2,55-74,,
3:12.0,,,55-74,,K. Irving misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by J. Holiday,,55-74,,
3:02.0,C. Anthony misses 2-pt shot from 18 ft,,55-74,,
3:02.0,Offensive rebound by B. Jennings,,55-74,,
2:57.0,Shooting foul by J. Smith (drawn by J. Holiday),,55-74,,
2:57.0,,,55-74,,Cleveland full timeout
2:57.0,J. Holiday makes free throw 1 of 2,1,56-74,,
2:57.0,J. Holiday makes free throw 2 of 2,1,57-74,,
2:57.0,,,55-74,,M. Dunleavy enters the game for L. James
2:57.0,,,55-74,,I. Shumpert enters the game for J. Smith
2:33.0,,,57-76,2,K. Irving makes 2-pt shot from 9 ft (assist by I. Shumpert)
2:14.0,K. Porzingis makes 3-pt shot from 28 ft (assist by L. Thomas),3,60-76,,
1:50.0,,,60-78,2,K. Irving makes 2-pt shot at rim
1:38.0,C. Anthony misses 2-pt shot from 10 ft,,60-78,,
1:36.0,,,60-78,,Defensive rebound by I. Shumpert
1:30.0,,,60-78,,Turnover by I. Shumpert (bad pass; steal by L. Thomas)
1:05.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,63-78,,
0:51.0,,,63-78,,Cleveland full timeout
0:51.0,S. Vujacic enters the game for C. Anthony,,63-78,,
0:51.0,M. Kuzminskas enters the game for L. Thomas,,63-78,,
0:51.0,,,63-78,,J. Smith enters the game for I. Shumpert
0:42.0,,,63-80,2,K. Irving makes 2-pt shot at rim
0:30.0,Shooting foul by R. Jefferson (drawn by B. Jennings),,63-80,,
0:30.0,B. Jennings makes free throw 1 of 2,1,64-80,,
0:30.0,B. Jennings misses free throw 2 of 2,,64-80,,
0:30.0,,,64-80,,Defensive rebound by C. Frye
0:17.0,Personal foul by S. Vujacic (drawn by K. Irving),,64-80,,
0:06.0,,,64-82,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by K. Irving)
0:00.0,B. Jennings misses 3-pt shot from 25 ft,,64-82,,
0:00.0,Offensive rebound by Team,,64-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Holiday misses 2-pt shot from 1 ft,,64-82,,
11:39.0,,,64-82,,Defensive rebound by C. Frye
11:30.0,,,64-82,,C. Frye misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by J. Noah,,64-82,,
11:21.0,D. Rose misses 2-pt shot from 13 ft (block by D. Liggins),,64-82,,
11:21.0,Offensive rebound by Team,,64-82,,
11:15.0,M. Kuzminskas makes 2-pt shot from 7 ft (assist by J. Holiday),2,66-82,,
11:01.0,Personal foul by D. Rose (drawn by L. James),,66-82,,
10:53.0,,,66-84,2,D. Liggins makes 2-pt shot at rim (assist by L. James)
10:34.0,D. Rose misses 2-pt shot from 19 ft,,66-84,,
10:32.0,Offensive rebound by J. Holiday,,66-84,,
10:26.0,M. Kuzminskas makes 3-pt shot from 25 ft (assist by J. Noah),3,69-84,,
10:00.0,,,69-84,,Offensive foul by C. Frye
10:00.0,,,69-84,,Turnover by C. Frye (offensive foul)
9:56.0,Shooting foul by C. Frye (drawn by D. Rose),,69-84,,
9:56.0,D. Rose makes free throw 1 of 2,1,70-84,,
9:56.0,D. Rose makes free throw 2 of 2,1,71-84,,
9:33.0,,,71-87,3,C. Frye makes 3-pt shot from 27 ft (assist by M. Dunleavy)
9:21.0,M. Kuzminskas misses 3-pt shot from 25 ft,,71-87,,
9:21.0,,,71-87,,Defensive rebound by R. Jefferson
9:11.0,,,71-89,2,L. James makes 2-pt shot from 8 ft
9:11.0,New York full timeout,,71-89,,
9:11.0,K. Porzingis enters the game for J. Noah,,71-89,,
9:11.0,C. Anthony enters the game for M. Kuzminskas,,71-89,,
8:59.0,J. Holiday misses 3-pt shot from 24 ft,,71-89,,
8:59.0,Offensive rebound by K. Porzingis,,71-89,,
8:59.0,,,71-89,,Personal foul by C. Frye (drawn by K. Porzingis)
8:50.0,J. Holiday misses 2-pt shot from 1 ft,,71-89,,
8:48.0,,,71-89,,Defensive rebound by R. Jefferson
8:44.0,Personal foul by B. Jennings (drawn by C. Frye),,71-89,,
8:34.0,,,71-92,3,R. Jefferson makes 3-pt shot from 23 ft (assist by L. James)
8:19.0,D. Rose makes 3-pt shot from 24 ft,3,74-92,,
7:57.0,,,74-92,,R. Jefferson misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by J. Holiday,,74-92,,
7:50.0,B. Jennings misses 3-pt shot from 25 ft,,74-92,,
7:48.0,,,74-92,,Defensive rebound by D. Liggins
7:48.0,,,74-92,,Shooting foul by K. Porzingis (drawn by R. Jefferson)
7:48.0,,,74-93,1,R. Jefferson makes free throw 1 of 2
7:48.0,,,74-93,,R. Jefferson misses free throw 2 of 2
7:48.0,,,74-93,,K. Love enters the game for C. Frye
7:47.0,,,74-93,,Offensive rebound by Team
7:47.0,Personal foul by C. Anthony (drawn by K. Love),,74-93,,
7:47.0,Personal foul by C. Anthony (drawn by K. Love),,74-93,,
7:47.0,,,74-94,1,K. Love makes free throw 1 of 2
7:47.0,,,74-94,,K. Love misses free throw 2 of 2
7:47.0,,,74-93,,T. Thompson enters the game for R. Jefferson
7:46.0,Defensive rebound by C. Anthony,,74-94,,
7:33.0,C. Anthony misses 3-pt shot from 27 ft,,74-94,,
7:33.0,,,74-94,,Defensive rebound by L. James
7:29.0,Personal block foul by K. Porzingis (drawn by K. Love),,74-94,,
7:29.0,,,74-95,1,K. Love makes free throw 1 of 2
7:29.0,,,74-96,1,K. Love makes free throw 2 of 2
7:10.0,K. Porzingis misses 2-pt shot from 13 ft,,74-96,,
7:08.0,,,74-96,,Defensive rebound by L. James
6:53.0,,,74-96,,Turnover by L. James (bad pass; steal by C. Anthony)
6:47.0,C. Anthony misses 3-pt shot from 25 ft,,74-96,,
6:45.0,,,74-96,,Defensive rebound by L. James
6:44.0,Personal foul by B. Jennings (drawn by K. Love),,74-96,,
6:44.0,,,74-97,1,K. Love makes free throw 1 of 2
6:44.0,,,74-98,1,K. Love makes free throw 2 of 2
6:44.0,,,74-97,,R. Jefferson enters the game for L. James
6:44.0,R. Baker enters the game for D. Rose,,74-97,,
6:44.0,K. O'Quinn enters the game for C. Anthony,,74-97,,
