time,Boston,pts.away,score,pts.home,Cleveland
5:12.0,Offensive rebound by A. Johnson,,16-19,,
4:58.0,A. Bradley misses 3-pt shot from 24 ft,,16-19,,
4:58.0,,,16-19,,Defensive rebound by K. Love
4:50.0,,,16-19,,Turnover by L. James (bad pass; steal by A. Bradley)
4:44.0,A. Bradley misses 2-pt shot from 1 ft (block by L. James),,16-19,,
4:42.0,,,16-19,,Defensive rebound by L. James
4:38.0,,,16-19,,L. James misses 2-pt shot from 1 ft (block by A. Horford)
4:36.0,Defensive rebound by I. Thomas,,16-19,,
4:32.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,18-19,,
4:09.0,M. Smart enters the game for I. Thomas,,18-19,,
4:04.0,,,18-19,,K. Love misses 3-pt shot from 26 ft
4:04.0,,,18-19,,Offensive rebound by T. Thompson
4:04.0,,,18-19,,I. Shumpert enters the game for D. Liggins
4:03.0,,,18-19,,Turnover by T. Thompson (lost ball; steal by A. Johnson)
4:03.0,Jump ball: A. Johnson vs. T. Thompson (A. Horford gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (A. Horford gains possession)
3:50.0,A. Bradley makes 2-pt shot at rim (assist by A. Johnson),2,20-19,,
3:30.0,,,20-19,,K. Love misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by A. Bradley,,20-19,,
3:22.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford),3,23-19,,
3:07.0,,,23-21,2,K. Love makes 2-pt shot from 6 ft (assist by K. Irving)
2:48.0,A. Johnson misses 3-pt shot from 24 ft,,23-21,,
2:47.0,,,23-21,,Defensive rebound by L. James
2:41.0,,,23-21,,K. Irving misses 3-pt shot from 24 ft
2:40.0,,,23-21,,Offensive rebound by T. Thompson
2:37.0,,,23-21,,Shooting foul by A. Johnson (drawn by K. Irving)
2:37.0,,,23-23,2,K. Irving makes 2-pt shot from 1 ft (assist by K. Love)
2:37.0,,,23-23,,Cleveland full timeout
2:37.0,,,23-24,1,K. Irving makes free throw 1 of 1
2:37.0,,,23-23,,R. Jefferson enters the game for L. James
2:37.0,K. Olynyk enters the game for J. Crowder,,23-23,,
2:37.0,G. Green enters the game for A. Johnson,,23-23,,
2:28.0,Turnover by A. Bradley (bad pass; steal by K. Irving),,23-24,,
2:22.0,,,23-26,2,K. Irving makes 2-pt shot from 2 ft
2:10.0,A. Bradley misses 3-pt shot from 24 ft,,23-26,,
2:10.0,,,23-26,,Defensive rebound by K. Love
1:55.0,,,23-26,,Shooting foul by A. Bradley (drawn by K. Irving)
1:55.0,,,23-27,1,K. Irving makes free throw 1 of 3
1:55.0,,,23-28,1,K. Irving makes free throw 2 of 3
1:55.0,,,23-29,1,K. Irving makes free throw 3 of 3
1:55.0,,,23-28,,C. Frye enters the game for T. Thompson
1:55.0,J. Jerebko enters the game for A. Horford,,23-28,,
1:38.0,M. Smart misses 3-pt shot from 28 ft,,23-29,,
1:37.0,Offensive rebound by J. Jerebko,,23-29,,
1:23.0,J. Jerebko misses 3-pt shot from 25 ft,,23-29,,
1:21.0,Offensive rebound by Team,,23-29,,
1:21.0,,,23-29,,M. Dunleavy enters the game for K. Irving
1:18.0,J. Jerebko misses 3-pt shot from 24 ft,,23-29,,
1:18.0,,,23-29,,Defensive rebound by M. Dunleavy
1:01.0,,,23-31,2,K. Love makes 2-pt shot from 15 ft (assist by R. Jefferson)
0:40.0,J. Jerebko misses 2-pt shot from 7 ft,,23-31,,
0:40.0,,,23-31,,Defensive rebound by R. Jefferson
0:40.0,Personal foul by J. Jerebko (drawn by R. Jefferson),,23-31,,
0:40.0,,,23-31,,R. Jefferson misses free throw 1 of 2
0:40.0,,,23-31,,Offensive rebound by Team
0:40.0,,,23-32,1,R. Jefferson makes free throw 2 of 2
0:40.0,I. Thomas enters the game for A. Bradley,,23-31,,
0:40.0,,,23-31,,D. Liggins enters the game for C. Frye
0:34.0,Shooting foul by I. Shumpert (drawn by M. Smart),,23-32,,
0:34.0,M. Smart makes free throw 1 of 2,1,24-32,,
0:34.0,M. Smart makes free throw 2 of 2,1,25-32,,
0:34.0,,,24-32,,C. Frye enters the game for D. Liggins
0:17.0,,,25-32,,K. Love misses 2-pt shot from 16 ft
0:17.0,Defensive rebound by J. Jerebko,,25-32,,
0:00.0,M. Smart misses 3-pt shot from 25 ft,,25-32,,
0:00.0,Offensive rebound by Team,,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-32,,Turnover by L. James (lost ball; steal by I. Thomas)
11:27.0,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas),3,28-32,,
11:16.0,,,28-32,,Turnover by L. James (lost ball; steal by M. Smart)
11:00.0,I. Thomas misses 2-pt shot from 18 ft,,28-32,,
11:00.0,,,28-32,,Defensive rebound by R. Jefferson
10:38.0,,,28-34,2,L. James makes 2-pt shot from 19 ft
10:24.0,I. Thomas makes 2-pt shot at rim (assist by K. Olynyk),2,30-34,,
10:17.0,,,30-34,,Turnover by M. Dunleavy (bad pass; steal by K. Olynyk)
10:11.0,Shooting foul by M. Dunleavy (drawn by I. Thomas),,30-34,,
10:11.0,I. Thomas makes free throw 1 of 3,1,31-34,,
10:11.0,I. Thomas makes free throw 2 of 3,1,32-34,,
10:11.0,I. Thomas makes free throw 3 of 3,1,33-34,,
10:11.0,,,32-34,,K. Irving enters the game for M. Dunleavy
10:11.0,J. Brown enters the game for J. Jerebko,,32-34,,
9:53.0,,,33-36,2,K. Irving makes 2-pt shot from 15 ft (assist by L. James)
9:38.0,I. Thomas makes 2-pt shot from 1 ft,2,35-36,,
9:21.0,,,35-36,,C. Frye misses 2-pt shot from 5 ft
9:21.0,,,35-36,,Offensive rebound by C. Frye
9:20.0,,,35-36,,C. Frye misses 2-pt shot from 5 ft (block by G. Green)
9:20.0,Defensive rebound by I. Thomas,,35-36,,
9:19.0,,,35-36,,Personal foul by R. Jefferson (drawn by I. Thomas)
9:01.0,G. Green makes 2-pt shot from 14 ft (assist by I. Thomas),2,37-36,,
8:47.0,,,37-38,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
8:28.0,G. Green makes 3-pt shot from 25 ft (assist by J. Brown),3,40-38,,
8:09.0,,,40-41,3,K. Irving makes 3-pt shot from 26 ft
7:55.0,Turnover by I. Thomas (bad pass; steal by K. Irving),,40-41,,
7:47.0,,,40-44,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
7:47.0,Boston full timeout,,40-44,,
7:30.0,J. Brown misses 2-pt shot from 4 ft,,40-44,,
7:28.0,Offensive rebound by J. Brown,,40-44,,
7:28.0,J. Brown makes 2-pt shot from 1 ft,2,42-44,,
7:14.0,,,42-47,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
6:58.0,K. Olynyk misses 2-pt shot from 5 ft,,42-47,,
6:57.0,,,42-47,,Defensive rebound by L. James
6:51.0,,,42-47,,I. Shumpert misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by J. Brown,,42-47,,
6:38.0,J. Brown makes 2-pt shot from 12 ft (assist by K. Olynyk),2,44-47,,
6:13.0,,,44-47,,Shooting foul by G. Green (drawn by R. Jefferson)
6:13.0,,,44-48,1,R. Jefferson makes free throw 1 of 3
6:13.0,,,44-49,1,R. Jefferson makes free throw 2 of 3
6:13.0,,,44-50,1,R. Jefferson makes free throw 3 of 3
6:13.0,J. Crowder enters the game for J. Brown,,44-49,,
5:54.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,47-50,,
5:33.0,,,47-52,2,K. Irving makes 2-pt shot from 2 ft
5:18.0,K. Olynyk makes 2-pt shot from 5 ft (assist by I. Thomas),2,49-52,,
5:01.0,,,49-54,2,R. Jefferson makes 2-pt shot from 1 ft (assist by K. Irving)
4:50.0,Turnover by I. Thomas (lost ball; steal by I. Shumpert),,49-54,,
4:41.0,,,49-56,2,I. Shumpert makes 2-pt shot from 2 ft (assist by L. James)
4:41.0,Boston full timeout,,49-56,,
4:41.0,Official timeout,,49-56,,
4:41.0,A. Horford enters the game for I. Thomas,,49-56,,
4:41.0,A. Bradley enters the game for K. Olynyk,,49-56,,
4:41.0,,,49-56,,K. Love enters the game for R. Jefferson
4:41.0,,,49-56,,T. Thompson enters the game for C. Frye
4:24.0,A. Horford misses 2-pt shot from 13 ft,,49-56,,
4:24.0,,,49-56,,Defensive rebound by K. Love
3:59.0,,,49-59,3,L. James makes 3-pt shot from 34 ft (assist by I. Shumpert)
3:36.0,Turnover by A. Bradley (lost ball; steal by K. Love),,49-59,,
3:35.0,,,49-59,,Turnover by K. Love (bad pass; steal by A. Bradley)
3:31.0,M. Smart misses 3-pt shot from 25 ft,,49-59,,
3:30.0,,,49-59,,Defensive rebound by K. Love
3:17.0,,,49-59,,Turnover by L. James (bad pass; steal by G. Green)
3:11.0,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart),2,51-59,,
2:49.0,,,51-59,,T. Thompson misses 3-pt shot from 26 ft
2:49.0,,,51-59,,Offensive rebound by Team
2:49.0,,,51-59,,Cleveland full timeout
2:49.0,I. Thomas enters the game for M. Smart,,51-59,,
2:49.0,A. Johnson enters the game for G. Green,,51-59,,
2:46.0,,,51-59,,Turnover by K. Love (bad pass; steal by I. Thomas)
2:40.0,A. Bradley misses 2-pt shot from 3 ft (block by L. James),,51-59,,
2:39.0,Offensive rebound by I. Thomas,,51-59,,
2:38.0,I. Thomas makes 2-pt shot from 7 ft,2,53-59,,
2:27.0,,,53-59,,Shooting foul by A. Johnson (drawn by L. James)
2:27.0,,,53-61,2,L. James makes 2-pt shot from 6 ft (assist by K. Irving)
2:27.0,,,53-62,1,L. James makes free throw 1 of 1
2:16.0,Shooting foul by K. Love (drawn by I. Thomas),,53-62,,
2:16.0,I. Thomas makes free throw 1 of 2,1,54-62,,
2:16.0,I. Thomas makes free throw 2 of 2,1,55-62,,
1:58.0,,,55-62,,L. James misses 2-pt shot from 22 ft
1:58.0,,,55-62,,Offensive rebound by Team
1:58.0,Loose ball foul by J. Crowder (drawn by K. Love),,55-62,,
1:53.0,,,55-62,,L. James misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by A. Johnson,,55-62,,
1:44.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,58-62,,
1:27.0,,,58-62,,Turnover by K. Irving (lost ball)
1:13.0,A. Bradley misses 3-pt shot from 25 ft,,58-62,,
1:12.0,,,58-62,,Defensive rebound by K. Love
1:06.0,,,58-64,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
0:45.0,I. Thomas misses 3-pt shot from 25 ft,,58-64,,
0:45.0,,,58-64,,Defensive rebound by K. Love
0:29.0,,,58-64,,K. Love misses 3-pt shot from 25 ft (block by A. Horford)
0:28.0,,,58-64,,Offensive rebound by K. Love
0:26.0,,,58-64,,T. Thompson misses 2-pt shot from 4 ft (block by A. Horford)
0:26.0,,,58-64,,Offensive rebound by K. Love
0:25.0,Personal foul by J. Crowder (drawn by K. Love),,58-64,,
0:25.0,,,58-65,1,K. Love makes free throw 1 of 2
0:25.0,,,58-66,1,K. Love makes free throw 2 of 2
0:25.0,G. Green enters the game for A. Johnson,,58-65,,
0:08.0,,,58-66,,Personal foul by I. Shumpert (drawn by I. Thomas)
0:08.0,,,58-66,,D. Liggins enters the game for K. Irving
0:08.0,,,58-66,,R. Jefferson enters the game for I. Shumpert
0:06.0,,,58-66,,Personal foul by D. Liggins (drawn by J. Crowder)
0:06.0,J. Crowder makes free throw 2 of 2,1,59-66,,
0:06.0,J. Crowder misses free throw 1 of 2,,59-66,,
0:06.0,Offensive rebound by Team,,59-66,,
0:06.0,,,58-66,,M. Dunleavy enters the game for T. Thompson
0:06.0,,,58-66,,C. Frye enters the game for D. Liggins
0:06.0,M. Smart enters the game for G. Green,,58-66,,
0:00.0,,,59-66,,L. James misses 3-pt shot from 25 ft
0:00.0,,,59-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,59-66,,Shooting foul by J. Crowder (drawn by L. James)
11:42.0,,,59-66,,L. James misses free throw 1 of 2
11:42.0,,,59-66,,Offensive rebound by Team
11:42.0,,,59-66,,L. James misses free throw 2 of 2
11:41.0,Defensive rebound by J. Crowder,,59-66,,
11:25.0,Turnover by A. Horford (traveling),,59-66,,
11:04.0,,,59-66,,K. Irving misses 3-pt shot from 30 ft
11:04.0,Defensive rebound by A. Johnson,,59-66,,
10:48.0,A. Bradley misses 2-pt shot from 2 ft,,59-66,,
10:46.0,Offensive rebound by A. Johnson,,59-66,,
10:46.0,A. Johnson misses 2-pt shot from 6 ft,,59-66,,
10:45.0,,,59-66,,Defensive rebound by T. Thompson
10:37.0,,,59-69,3,K. Love makes 3-pt shot from 27 ft (assist by K. Irving)
10:37.0,Boston full timeout,,59-69,,
10:20.0,I. Thomas misses 3-pt shot from 28 ft,,59-69,,
10:19.0,,,59-69,,Defensive rebound by L. James
10:14.0,,,59-69,,Shooting foul by A. Johnson (drawn by L. James)
10:14.0,,,59-69,,L. James misses free throw 1 of 2
10:14.0,,,59-69,,Offensive rebound by Team
10:14.0,,,59-70,1,L. James makes free throw 2 of 2
10:07.0,Offensive foul by A. Johnson,,59-70,,
10:07.0,Turnover by A. Johnson (offensive foul),,59-70,,
9:42.0,,,59-73,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
9:20.0,Turnover by A. Bradley (bad pass; steal by K. Irving),,59-73,,
9:15.0,,,59-73,,Turnover by K. Irving (bad pass; steal by A. Bradley)
9:09.0,A. Bradley misses 2-pt shot at rim,,59-73,,
9:07.0,,,59-73,,Defensive rebound by L. James
9:02.0,,,59-76,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
8:48.0,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder),2,61-76,,
8:48.0,Shooting foul by K. Love (drawn by I. Thomas),,61-76,,
8:48.0,I. Thomas makes free throw 1 of 1,1,62-76,,
8:48.0,K. Olynyk enters the game for A. Johnson,,61-76,,
8:33.0,,,62-78,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving)
8:24.0,,,62-78,,Shooting block foul by K. Love (drawn by I. Thomas)
8:24.0,I. Thomas makes free throw 1 of 2,1,63-78,,
8:24.0,I. Thomas makes free throw 2 of 2,1,64-78,,
8:10.0,,,64-80,2,T. Thompson makes 2-pt shot from 3 ft (assist by L. James)
7:58.0,I. Thomas misses 2-pt shot from 1 ft,,64-80,,
7:57.0,,,64-80,,Defensive rebound by K. Love
7:52.0,,,64-80,,K. Love misses 3-pt shot from 25 ft
7:51.0,,,64-80,,Offensive rebound by K. Irving
7:46.0,,,64-80,,K. Love misses 3-pt shot from 23 ft
7:45.0,,,64-80,,Offensive rebound by L. James
7:35.0,,,64-80,,L. James misses 2-pt shot from 10 ft
7:32.0,Defensive rebound by J. Crowder,,64-80,,
7:27.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,67-80,,
7:26.0,,,67-80,,Cleveland full timeout
7:08.0,,,67-80,,Turnover by L. James (offensive foul)
7:08.0,,,67-80,,Offensive charge foul by L. James
6:47.0,A. Bradley misses 3-pt shot from 25 ft,,67-80,,
6:47.0,Offensive rebound by K. Olynyk,,67-80,,
6:40.0,A. Horford misses 2-pt shot from 3 ft,,67-80,,
6:39.0,,,67-80,,Defensive rebound by T. Thompson
6:26.0,,,67-82,2,T. Thompson makes 2-pt shot from 7 ft (assist by L. James)
6:16.0,K. Olynyk misses 3-pt shot from 26 ft,,67-82,,
6:16.0,,,67-82,,Defensive rebound by T. Thompson
6:04.0,,,67-84,2,K. Irving makes 2-pt shot from 1 ft
5:52.0,I. Thomas makes 2-pt shot from 1 ft,2,69-84,,
5:52.0,Shooting foul by D. Liggins (drawn by I. Thomas),,69-84,,
5:52.0,I. Thomas makes free throw 1 of 1,1,70-84,,
5:52.0,M. Smart enters the game for J. Crowder,,69-84,,
5:52.0,J. Jerebko enters the game for K. Olynyk,,69-84,,
5:26.0,,,70-86,2,L. James makes 2-pt shot at rim
5:08.0,Offensive foul by M. Smart,,70-86,,
5:08.0,Turnover by M. Smart (offensive foul),,70-86,,
4:56.0,,,70-86,,K. Love misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by A. Horford,,70-86,,
4:41.0,M. Smart makes 2-pt shot from 6 ft (assist by A. Horford),2,72-86,,
4:32.0,,,72-88,2,K. Irving makes 2-pt shot from 1 ft
4:16.0,A. Horford makes 2-pt shot from 18 ft (assist by I. Thomas),2,74-88,,
4:01.0,,,74-91,3,K. Irving makes 3-pt shot from 26 ft
3:58.0,G. Green enters the game for A. Bradley,,74-91,,
3:46.0,Turnover by A. Horford (lost ball; steal by K. Love),,74-91,,
3:44.0,Personal foul by G. Green (drawn by L. James),,74-91,,
3:44.0,Technical foul by I. Thomas,,74-91,,
3:44.0,,,74-92,1,K. Irving makes technical free throw
3:31.0,Personal foul by M. Smart (drawn by L. James),,74-92,,
3:27.0,Personal foul by G. Green (drawn by T. Thompson),,74-92,,
3:27.0,,,74-93,1,T. Thompson makes free throw 1 of 2
3:27.0,,,74-93,,T. Thompson misses free throw 2 of 2
3:27.0,Defensive rebound by J. Jerebko,,74-93,,
3:12.0,G. Green misses 2-pt shot from 21 ft,,74-93,,
3:12.0,,,74-93,,Defensive rebound by T. Thompson
3:00.0,,,74-93,,L. James misses 2-pt shot from 23 ft
3:00.0,Defensive rebound by J. Jerebko,,74-93,,
2:42.0,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas),3,77-93,,
2:25.0,,,77-93,,K. Love misses 3-pt shot from 25 ft
2:25.0,,,77-93,,Offensive rebound by L. James
2:18.0,,,77-96,3,D. Liggins makes 3-pt shot from 24 ft (assist by K. Love)
2:13.0,Offensive charge foul by I. Thomas,,77-96,,
2:13.0,Turnover by I. Thomas (offensive foul),,77-96,,
2:13.0,T. Zeller enters the game for A. Horford,,77-96,,
2:13.0,,,77-96,,R. Jefferson enters the game for K. Irving
1:56.0,,,77-96,,Turnover by L. James (bad pass; steal by J. Jerebko)
1:47.0,G. Green misses 3-pt shot from 23 ft,,77-96,,
1:46.0,,,77-96,,Defensive rebound by K. Love
1:39.0,,,77-96,,Cleveland full timeout
1:39.0,J. Brown enters the game for I. Thomas,,77-96,,
1:39.0,,,77-96,,I. Shumpert enters the game for L. James
1:28.0,,,77-96,,K. Love misses 2-pt shot from 10 ft
1:27.0,,,77-96,,Offensive rebound by Team
1:20.0,Personal foul by G. Green (drawn by I. Shumpert),,77-96,,
1:20.0,,,77-96,,I. Shumpert misses free throw 1 of 2
1:20.0,,,77-96,,Offensive rebound by Team
1:20.0,,,77-97,1,I. Shumpert makes free throw 2 of 2
1:09.0,Shooting foul by R. Jefferson (drawn by J. Jerebko),,77-97,,
1:09.0,J. Jerebko makes free throw 1 of 2,1,78-97,,
1:09.0,J. Jerebko makes free throw 2 of 2,1,79-97,,
1:01.0,Personal foul by M. Smart (drawn by D. Liggins),,79-97,,
1:01.0,,,79-98,1,D. Liggins makes free throw 1 of 2
1:01.0,,,79-99,1,D. Liggins makes free throw 2 of 2
0:50.0,G. Green misses 3-pt shot from 25 ft,,79-99,,
0:49.0,,,79-99,,Defensive rebound by K. Love
0:30.0,,,79-99,,D. Liggins misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by Team,,79-99,,
0:30.0,,,79-99,,Loose ball foul by T. Thompson (drawn by T. Zeller)
0:30.0,T. Zeller makes free throw 1 of 2,1,80-99,,
0:30.0,T. Zeller makes free throw 2 of 2,1,81-99,,
0:30.0,J. Crowder enters the game for G. Green,,80-99,,
0:10.0,,,81-101,2,K. Love makes 2-pt shot from 1 ft
0:04.0,T. Zeller makes 2-pt shot from 7 ft (assist by M. Smart),2,83-101,,
0:00.0,,,83-101,,D. Liggins misses 3-pt shot from 26 ft
0:00.0,,,83-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Crowder makes 2-pt shot from 13 ft,2,85-101,,
11:19.0,,,85-101,,I. Shumpert misses 3-pt shot from 26 ft
11:18.0,,,85-101,,Offensive rebound by K. Irving
11:16.0,,,85-101,,K. Irving misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by Team,,85-101,,
11:16.0,,,85-101,,Loose ball foul by I. Shumpert (drawn by T. Zeller)
10:57.0,M. Smart misses 3-pt shot from 26 ft,,85-101,,
10:57.0,,,85-101,,Defensive rebound by C. Frye
10:49.0,,,85-101,,Shooting foul by J. Brown (drawn by R. Jefferson)
10:49.0,,,85-102,1,R. Jefferson makes free throw 1 of 2
10:49.0,,,85-102,,R. Jefferson misses free throw 2 of 2
10:48.0,Defensive rebound by J. Crowder,,85-102,,
10:38.0,T. Zeller misses 2-pt shot from 17 ft,,85-102,,
10:37.0,,,85-102,,Defensive rebound by C. Frye
10:25.0,,,85-102,,L. James misses 3-pt shot from 28 ft
10:25.0,Defensive rebound by J. Brown,,85-102,,
10:19.0,J. Brown makes 2-pt shot from 1 ft,2,87-102,,
9:56.0,,,87-102,,Turnover by L. James (lost ball; steal by J. Jerebko)
9:50.0,J. Jerebko makes 2-pt shot from 1 ft,2,89-102,,
9:50.0,,,89-102,,Cleveland full timeout
9:39.0,,,89-104,2,K. Irving makes 2-pt shot from 12 ft
9:21.0,J. Crowder misses 3-pt shot from 28 ft,,89-104,,
9:21.0,,,89-104,,Defensive rebound by K. Irving
8:58.0,,,89-104,,K. Irving misses 2-pt shot from 15 ft
8:57.0,,,89-104,,Offensive rebound by I. Shumpert
8:57.0,,,89-104,,I. Shumpert misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by J. Jerebko,,89-104,,
8:44.0,J. Jerebko makes 3-pt shot from 26 ft (assist by M. Smart),3,92-104,,
8:25.0,,,92-104,,C. Frye misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by J. Jerebko,,92-104,,
8:07.0,J. Jerebko makes 2-pt shot from 16 ft,2,94-104,,
7:49.0,,,94-106,2,L. James makes 2-pt shot at rim
7:34.0,J. Crowder makes 2-pt shot from 5 ft,2,96-106,,
7:07.0,,,96-106,,L. James misses 2-pt shot from 8 ft
7:05.0,Defensive rebound by J. Jerebko,,96-106,,
6:50.0,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart),2,98-106,,
6:36.0,,,98-108,2,K. Irving makes 2-pt shot from 21 ft
6:25.0,M. Smart makes 2-pt shot from 8 ft,2,100-108,,
6:05.0,,,100-108,,Turnover by K. Irving (lost ball; steal by M. Smart)
5:47.0,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart),2,102-108,,
5:47.0,,,102-108,,Cleveland full timeout
5:47.0,Official timeout,,102-108,,
5:47.0,A. Bradley enters the game for J. Brown,,102-108,,
5:47.0,,,102-108,,K. Love enters the game for R. Jefferson
5:47.0,,,102-108,,T. Thompson enters the game for C. Frye
5:31.0,,,102-108,,I. Shumpert misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by J. Crowder,,102-108,,
5:18.0,Turnover by A. Bradley (bad pass; steal by L. James),,102-108,,
5:14.0,,,102-110,2,L. James makes 2-pt shot at rim (assist by K. Irving)
4:49.0,A. Bradley makes 3-pt shot from 24 ft,3,105-110,,
4:33.0,,,105-110,,Shooting foul by A. Bradley (drawn by K. Irving)
4:33.0,,,105-111,1,K. Irving makes free throw 1 of 2
4:33.0,,,105-111,,K. Irving misses free throw 2 of 2
4:33.0,Defensive rebound by M. Smart,,105-111,,
4:33.0,A. Horford enters the game for J. Jerebko,,105-111,,
4:33.0,I. Thomas enters the game for T. Zeller,,105-111,,
4:11.0,A. Bradley misses 3-pt shot from 25 ft,,105-111,,
4:09.0,,,105-111,,Defensive rebound by K. Love
3:48.0,,,105-113,2,L. James makes 2-pt shot from 14 ft
3:33.0,,,105-113,,Personal foul by K. Love (drawn by I. Thomas)
3:26.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,108-113,,
3:19.0,,,108-113,,Turnover by L. James (bad pass; steal by A. Bradley)
3:18.0,A. Bradley makes 2-pt shot at rim,2,110-113,,
2:53.0,,,110-113,,T. Thompson misses 2-pt shot at rim
2:52.0,,,110-113,,Offensive rebound by I. Shumpert
2:50.0,,,110-113,,K. Love misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by Team,,110-113,,
2:49.0,Boston full timeout,,110-113,,
