time,LA Lakers,pts.away,score,pts.home,Boston
4:46.0,,,23-20,,Offensive foul by I. Thomas
4:46.0,,,23-20,,Turnover by I. Thomas (offensive foul)
4:46.0,,,23-20,,T. Zeller enters the game for A. Johnson
4:46.0,B. Ingram enters the game for L. Deng,,23-20,,
4:36.0,Turnover by D. Russell (bad pass; steal by M. Smart),,23-20,,
4:31.0,,,23-22,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
4:18.0,T. Mozgov makes 2-pt shot from 2 ft (assist by B. Ingram),2,25-22,,
4:08.0,,,25-22,,T. Zeller misses 2-pt shot from 8 ft (block by D. Russell)
4:07.0,Defensive rebound by B. Ingram,,25-22,,
3:55.0,D. Russell misses 2-pt shot from 14 ft,,25-22,,
3:54.0,,,25-22,,Defensive rebound by M. Smart
3:47.0,,,25-22,,A. Horford misses 2-pt shot from 5 ft
3:46.0,Defensive rebound by T. Mozgov,,25-22,,
3:32.0,D. Russell misses 2-pt shot from 14 ft,,25-22,,
3:30.0,,,25-22,,Defensive rebound by T. Zeller
3:14.0,,,25-22,,M. Smart misses 2-pt shot from 4 ft
3:13.0,,,25-22,,Offensive rebound by Team
3:13.0,Loose ball foul by D. Russell (drawn by M. Smart),,25-22,,
3:13.0,LA Lakers full timeout,,25-22,,
3:13.0,,,25-22,,J. Jerebko enters the game for A. Horford
3:13.0,J. Clarkson enters the game for T. Black,,25-22,,
3:13.0,L. Nance enters the game for T. Mozgov,,25-22,,
3:13.0,I. Zubac enters the game for N. Young,,25-22,,
3:05.0,,,25-22,,T. Zeller misses 2-pt shot from 18 ft
3:04.0,Defensive rebound by L. Nance,,25-22,,
2:53.0,Shooting foul by J. Jerebko (drawn by B. Ingram),,25-22,,
2:53.0,B. Ingram makes free throw 1 of 2,1,26-22,,
2:53.0,B. Ingram makes free throw 2 of 2,1,27-22,,
2:44.0,,,27-24,2,I. Thomas makes 2-pt shot from 14 ft
2:25.0,Turnover by I. Zubac (lost ball; steal by M. Smart),,27-24,,
2:20.0,,,27-26,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
2:02.0,D. Russell misses 3-pt shot from 26 ft,,27-26,,
2:01.0,,,27-26,,Defensive rebound by T. Zeller
1:50.0,,,27-26,,J. Crowder misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by D. Russell,,27-26,,
1:34.0,Turnover by B. Ingram (bad pass),,27-26,,
1:34.0,L. Williams enters the game for D. Russell,,27-26,,
1:34.0,,,27-26,,J. Brown enters the game for J. Crowder
1:21.0,,,27-26,,Turnover by I. Thomas (bad pass; steal by J. Clarkson)
1:14.0,Shooting foul by T. Zeller (drawn by L. Nance),,27-26,,
1:14.0,L. Nance makes free throw 1 of 2,1,28-26,,
1:14.0,L. Nance makes free throw 2 of 2,1,29-26,,
1:14.0,,,28-26,,T. Rozier enters the game for I. Thomas
0:58.0,,,29-26,,M. Smart misses 2-pt shot from 12 ft
0:57.0,Defensive rebound by I. Zubac,,29-26,,
0:47.0,B. Ingram misses 2-pt shot from 14 ft,,29-26,,
0:45.0,,,29-26,,Defensive rebound by T. Zeller
0:31.0,,,29-26,,J. Jerebko misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by I. Zubac,,29-26,,
0:29.0,,,29-26,,Personal foul by J. Brown (drawn by L. Nance)
0:29.0,I. Zubac misses free throw 1 of 2,,29-26,,
0:29.0,Offensive rebound by Team,,29-26,,
0:29.0,I. Zubac makes free throw 2 of 2,1,30-26,,
0:29.0,,,29-26,,K. Olynyk enters the game for T. Zeller
0:16.0,,,30-26,,K. Olynyk misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by L. Nance,,30-26,,
0:04.0,L. Williams misses 2-pt shot from 22 ft,,30-26,,
0:03.0,,,30-26,,Defensive rebound by M. Smart
0:00.0,,,30-29,3,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,L. Nance misses 2-pt shot from 12 ft,,30-29,,
11:42.0,,,30-29,,Defensive rebound by J. Jerebko
11:25.0,,,30-31,2,K. Olynyk makes 2-pt shot from 4 ft
11:09.0,J. Clarkson misses 2-pt shot from 22 ft,,30-31,,
11:08.0,,,30-31,,Defensive rebound by K. Olynyk
11:00.0,,,30-33,2,T. Rozier makes 2-pt shot from 13 ft
10:47.0,,,30-33,,Personal foul by J. Brown (drawn by B. Ingram)
10:47.0,N. Young enters the game for I. Zubac,,30-33,,
10:38.0,N. Young makes 3-pt shot from 25 ft,3,33-33,,
10:30.0,,,33-36,3,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier)
10:15.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,35-36,,
10:05.0,,,35-36,,M. Smart misses 3-pt shot from 25 ft
10:04.0,,,35-36,,Offensive rebound by T. Rozier
9:56.0,Def 3 sec tech foul by B. Ingram,,35-36,,
9:56.0,LA Lakers full timeout,,35-36,,
9:56.0,,,35-37,1,J. Jerebko makes technical free throw
9:52.0,,,35-37,,Turnover by M. Smart (bad pass; steal by L. Nance)
9:38.0,L. Williams makes 3-pt shot from 26 ft,3,38-37,,
9:24.0,Personal foul by N. Young (drawn by K. Olynyk),,38-37,,
9:16.0,,,38-39,2,K. Olynyk makes 2-pt shot from 19 ft (assist by M. Smart)
9:06.0,Turnover by L. Williams (bad pass; steal by M. Smart),,38-39,,
9:01.0,,,38-41,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
8:43.0,N. Young misses 2-pt shot from 19 ft,,38-41,,
8:42.0,,,38-41,,Defensive rebound by J. Brown
8:37.0,,,38-41,,Shooting foul by B. Ingram (drawn by J. Brown)
8:37.0,,,38-41,,J. Brown misses free throw 1 of 2
8:37.0,,,38-41,,Offensive rebound by Team
8:37.0,,,38-42,1,J. Brown makes free throw 2 of 2
8:24.0,J. Clarkson misses 3-pt shot from 25 ft,,38-42,,
8:23.0,,,38-42,,Defensive rebound by J. Brown
8:03.0,,,38-44,2,J. Brown makes 2-pt shot from 16 ft (assist by K. Olynyk)
7:44.0,L. Williams misses 3-pt shot from 25 ft,,38-44,,
7:43.0,,,38-44,,Defensive rebound by K. Olynyk
7:42.0,,,38-44,,Turnover by K. Olynyk (bad pass; steal by L. Nance)
7:32.0,B. Ingram makes 2-pt shot from 17 ft,2,40-44,,
7:22.0,Shooting block foul by L. Nance (drawn by J. Brown),,40-44,,
7:22.0,,,40-45,1,J. Brown makes free throw 1 of 2
7:22.0,,,40-46,1,J. Brown makes free throw 2 of 2
7:22.0,,,40-45,,J. Crowder enters the game for M. Smart
7:03.0,L. Nance makes 2-pt shot from 6 ft (assist by N. Young),2,42-46,,
6:47.0,,,42-48,2,J. Brown makes 2-pt shot from 19 ft (assist by J. Jerebko)
6:34.0,Turnover by N. Young (lost ball; steal by J. Crowder),,42-48,,
6:32.0,,,42-48,,Shooting foul by N. Young (drawn by J. Crowder)
6:32.0,,,42-49,1,J. Crowder makes free throw 1 of 2
6:32.0,,,42-50,1,J. Crowder makes free throw 2 of 2
6:32.0,D. Russell enters the game for L. Williams,,42-49,,
6:19.0,B. Ingram makes 2-pt shot from 17 ft (assist by D. Russell),2,44-50,,
6:02.0,,,44-53,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Jerebko)
5:49.0,L. Nance misses 2-pt shot from 2 ft,,44-53,,
5:48.0,Offensive rebound by L. Nance,,44-53,,
5:44.0,B. Ingram makes 3-pt shot from 24 ft (assist by L. Nance),3,47-53,,
5:33.0,Official timeout,,47-53,,
5:33.0,,,47-53,,I. Thomas enters the game for J. Brown
5:33.0,,,47-53,,M. Smart enters the game for J. Jerebko
5:33.0,,,47-53,,A. Horford enters the game for T. Rozier
5:33.0,L. Deng enters the game for N. Young,,47-53,,
5:33.0,T. Black enters the game for L. Nance,,47-53,,
5:29.0,,,47-53,,A. Horford misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by B. Ingram,,47-53,,
5:13.0,Shooting foul by K. Olynyk (drawn by T. Black),,47-53,,
5:13.0,T. Black misses free throw 1 of 2,,47-53,,
5:13.0,Offensive rebound by Team,,47-53,,
5:13.0,T. Black misses free throw 2 of 2,,47-53,,
5:13.0,,,47-53,,Defensive rebound by K. Olynyk
4:56.0,,,47-53,,Turnover by I. Thomas (bad pass)
4:34.0,J. Clarkson misses 2-pt shot from 20 ft,,47-53,,
4:34.0,Offensive rebound by B. Ingram,,47-53,,
4:29.0,D. Russell misses 3-pt shot from 25 ft,,47-53,,
4:28.0,Offensive rebound by T. Black,,47-53,,
4:24.0,T. Black misses 2-pt shot from 11 ft,,47-53,,
4:23.0,Offensive rebound by T. Black,,47-53,,
4:20.0,J. Clarkson misses 3-pt shot from 24 ft,,47-53,,
4:19.0,,,47-53,,Defensive rebound by K. Olynyk
4:09.0,,,47-53,,Turnover by A. Horford (traveling)
4:09.0,,,47-53,,A. Johnson enters the game for K. Olynyk
3:58.0,J. Clarkson makes 2-pt shot from 2 ft (assist by D. Russell),2,49-53,,
3:44.0,,,49-53,,M. Smart misses 2-pt shot from 2 ft
3:43.0,,,49-53,,Offensive rebound by A. Johnson
3:38.0,,,49-53,,I. Thomas misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by L. Deng,,49-53,,
3:32.0,Offensive foul by T. Black,,49-53,,
3:32.0,Turnover by T. Black (offensive foul),,49-53,,
3:32.0,N. Young enters the game for J. Clarkson,,49-53,,
3:15.0,,,49-53,,Turnover by M. Smart (step out of bounds)
3:06.0,Turnover by D. Russell (bad pass),,49-53,,
2:53.0,,,49-53,,I. Thomas misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by B. Ingram,,49-53,,
2:40.0,D. Russell misses 2-pt shot from 8 ft,,49-53,,
2:38.0,,,49-53,,Defensive rebound by I. Thomas
2:28.0,,,49-56,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford)
2:26.0,LA Lakers full timeout,,49-56,,
2:26.0,,,49-56,,Boston full timeout
2:13.0,Shooting foul by A. Johnson (drawn by D. Russell),,49-56,,
2:13.0,D. Russell makes free throw 1 of 2,1,50-56,,
2:13.0,D. Russell makes free throw 2 of 2,1,51-56,,
1:59.0,,,51-58,2,J. Crowder makes 2-pt shot from 3 ft (assist by A. Horford)
1:59.0,,,51-58,,Shooting foul by B. Ingram (drawn by J. Crowder)
1:59.0,,,51-59,1,J. Crowder makes free throw 1 of 1
1:59.0,,,51-58,,J. Brown enters the game for A. Johnson
1:59.0,L. Nance enters the game for B. Ingram,,51-58,,
1:34.0,L. Deng misses 2-pt shot from 9 ft,,51-59,,
1:34.0,,,51-59,,Defensive rebound by J. Crowder
1:22.0,,,51-59,,J. Crowder misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by D. Russell,,51-59,,
1:04.0,T. Black misses 2-pt shot from 22 ft,,51-59,,
1:03.0,,,51-59,,Defensive rebound by J. Crowder
0:57.0,,,51-59,,I. Thomas misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by D. Russell,,51-59,,
0:51.0,D. Russell misses 3-pt shot from 27 ft,,51-59,,
0:50.0,,,51-59,,Defensive rebound by Team
0:50.0,Loose ball foul by T. Black (drawn by A. Horford),,51-59,,
0:50.0,,,51-59,,A. Horford misses free throw 1 of 2
0:50.0,,,51-59,,Offensive rebound by Team
0:50.0,,,51-60,1,A. Horford makes free throw 2 of 2
0:50.0,J. Clarkson enters the game for T. Black,,51-59,,
0:50.0,L. Williams enters the game for D. Russell,,51-59,,
0:37.0,N. Young misses 3-pt shot from 24 ft,,51-60,,
0:36.0,,,51-60,,Defensive rebound by M. Smart
0:22.0,,,51-60,,J. Brown misses 2-pt shot from 6 ft
0:21.0,,,51-60,,Offensive rebound by J. Brown
0:04.0,,,51-62,2,I. Thomas makes 2-pt shot from 2 ft
0:00.0,L. Williams misses 3-pt shot from 32 ft,,51-62,,
0:00.0,Offensive rebound by Team,,51-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,T. Black misses 2-pt shot from 7 ft,,51-62,,
11:35.0,,,51-62,,Defensive rebound by J. Crowder
11:18.0,,,51-62,,I. Thomas misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by T. Black,,51-62,,
10:58.0,N. Young misses 2-pt shot from 8 ft,,51-62,,
10:57.0,Offensive rebound by T. Black,,51-62,,
10:57.0,T. Black makes 2-pt shot from 3 ft,2,53-62,,
10:38.0,,,53-62,,J. Brown misses 2-pt shot from 10 ft
10:38.0,Defensive rebound by T. Black,,53-62,,
10:28.0,T. Mozgov misses 2-pt shot from 8 ft,,53-62,,
10:27.0,,,53-62,,Defensive rebound by A. Horford
10:12.0,,,53-62,,J. Brown misses 3-pt shot from 23 ft
10:11.0,,,53-62,,Offensive rebound by A. Horford
10:04.0,,,53-62,,J. Crowder misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by T. Mozgov,,53-62,,
9:49.0,Turnover by L. Deng (bad pass; steal by I. Thomas),,53-62,,
9:41.0,,,53-62,,J. Crowder misses 2-pt shot from 2 ft (block by N. Young)
9:40.0,Defensive rebound by N. Young,,53-62,,
9:35.0,N. Young misses 3-pt shot from 25 ft,,53-62,,
9:34.0,,,53-62,,Defensive rebound by J. Brown
9:26.0,,,53-62,,Turnover by I. Thomas (bad pass; steal by N. Young)
9:18.0,D. Russell makes 2-pt shot from 15 ft,2,55-62,,
9:05.0,,,55-65,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford)
8:48.0,,,55-65,,Personal foul by A. Johnson (drawn by T. Mozgov)
8:32.0,T. Black makes 2-pt shot from 2 ft (assist by N. Young),2,57-65,,
8:16.0,,,57-65,,Shooting foul by T. Black (drawn by A. Horford)
8:16.0,,,57-66,1,A. Horford makes free throw 1 of 2
8:16.0,,,57-66,,A. Horford misses free throw 2 of 2
8:16.0,Defensive rebound by T. Mozgov,,57-66,,
7:58.0,T. Black misses 2-pt shot from 2 ft (block by A. Horford),,57-66,,
7:57.0,,,57-66,,Defensive rebound by A. Horford
7:57.0,Personal foul by T. Mozgov (drawn by A. Horford),,57-66,,
7:57.0,L. Nance enters the game for T. Black,,57-66,,
7:38.0,,,57-68,2,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas)
7:23.0,L. Deng misses 2-pt shot from 13 ft,,57-68,,
7:22.0,,,57-68,,Defensive rebound by Team
7:10.0,,,57-68,,I. Thomas misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by T. Mozgov,,57-68,,
7:03.0,L. Deng misses 3-pt shot from 26 ft,,57-68,,
7:03.0,Offensive rebound by D. Russell,,57-68,,
6:57.0,L. Nance misses 2-pt shot from 2 ft,,57-68,,
6:55.0,,,57-68,,Defensive rebound by A. Johnson
6:51.0,,,57-68,,Turnover by I. Thomas (bad pass; steal by N. Young)
6:43.0,D. Russell makes 2-pt shot from 8 ft (assist by N. Young),2,59-68,,
6:21.0,,,59-68,,A. Horford misses 2-pt shot from 8 ft
6:20.0,,,59-68,,Offensive rebound by Team
6:20.0,Personal foul by T. Mozgov (drawn by A. Johnson),,59-68,,
6:11.0,,,59-68,,A. Horford misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by N. Young,,59-68,,
6:00.0,N. Young makes 2-pt shot from 21 ft (assist by D. Russell),2,61-68,,
6:00.0,,,61-68,,Boston full timeout
6:00.0,,,61-68,,M. Smart enters the game for A. Johnson
5:49.0,,,61-68,,Shooting foul by T. Mozgov (drawn by J. Crowder)
5:49.0,,,61-70,2,J. Crowder makes 2-pt shot from 3 ft
5:49.0,,,61-71,1,J. Crowder makes free throw 1 of 1
5:49.0,B. Ingram enters the game for T. Mozgov,,61-70,,
5:27.0,B. Ingram misses 2-pt shot from 17 ft,,61-71,,
5:26.0,Offensive rebound by Team,,61-71,,
5:26.0,,,61-71,,Loose ball foul by J. Crowder (drawn by L. Deng)
5:12.0,N. Young misses 3-pt shot from 26 ft,,61-71,,
5:12.0,,,61-71,,Defensive rebound by Team
5:12.0,Loose ball foul by L. Nance (drawn by J. Brown),,61-71,,
5:12.0,,,61-72,1,J. Brown makes free throw 1 of 2
5:12.0,,,61-73,1,J. Brown makes free throw 2 of 2
4:55.0,N. Young misses 2-pt shot from 13 ft,,61-73,,
4:55.0,,,61-73,,Defensive rebound by J. Crowder
4:41.0,,,61-76,3,M. Smart makes 3-pt shot from 26 ft (assist by I. Thomas)
4:27.0,,,61-76,,Personal foul by I. Thomas (drawn by D. Russell)
4:27.0,J. Clarkson enters the game for L. Deng,,61-76,,
4:12.0,J. Clarkson misses 3-pt shot from 25 ft,,61-76,,
4:11.0,,,61-76,,Defensive rebound by J. Brown
4:00.0,,,61-76,,M. Smart misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by D. Russell,,61-76,,
3:53.0,D. Russell makes 2-pt shot from 4 ft,2,63-76,,
3:34.0,Personal foul by J. Clarkson (drawn by I. Thomas),,63-76,,
3:34.0,,,63-77,1,I. Thomas makes free throw 1 of 2
3:34.0,,,63-78,1,I. Thomas makes free throw 2 of 2
3:16.0,Turnover by J. Clarkson (bad pass; steal by M. Smart),,63-78,,
3:12.0,,,63-78,,Shooting foul by N. Young (drawn by I. Thomas)
3:12.0,,,63-79,1,I. Thomas makes free throw 1 of 2
3:12.0,LA Lakers full timeout,,63-79,,
3:12.0,,,63-80,1,I. Thomas makes free throw 2 of 2
3:12.0,,,63-79,,J. Jerebko enters the game for J. Crowder
3:12.0,L. Williams enters the game for D. Russell,,63-79,,
2:59.0,L. Nance misses 2-pt shot from 8 ft,,63-80,,
2:58.0,,,63-80,,Defensive rebound by J. Jerebko
2:43.0,,,63-80,,A. Horford misses 2-pt shot from 5 ft
2:42.0,Defensive rebound by L. Nance,,63-80,,
2:38.0,L. Williams makes 2-pt shot from 11 ft,2,65-80,,
2:38.0,Shooting foul by M. Smart,,65-80,,
2:38.0,L. Williams makes free throw 1 of 1,1,66-80,,
2:38.0,,,65-80,,K. Olynyk enters the game for A. Horford
2:38.0,,,65-80,,T. Rozier enters the game for I. Thomas
2:22.0,,,66-80,,Turnover by M. Smart (lost ball; steal by J. Clarkson)
2:17.0,B. Ingram makes 2-pt shot from 3 ft (assist by J. Clarkson),2,68-80,,
1:52.0,,,68-80,,Shooting foul by N. Young (drawn by M. Smart)
1:52.0,,,68-81,1,M. Smart makes free throw 1 of 2
1:52.0,,,68-81,,M. Smart misses free throw 2 of 2
1:52.0,M. Huertas enters the game for N. Young,,68-81,,
1:51.0,Defensive rebound by B. Ingram,,68-81,,
1:36.0,B. Ingram makes 3-pt shot from 24 ft (assist by L. Williams),3,71-81,,
1:25.0,,,71-81,,Turnover by T. Rozier (step out of bounds)
1:19.0,,,71-81,,Shooting block foul by J. Jerebko (drawn by L. Nance)
1:19.0,L. Nance makes free throw 1 of 2,1,72-81,,
1:19.0,L. Nance misses free throw 2 of 2,,72-81,,
1:19.0,,,72-81,,Defensive rebound by K. Olynyk
1:04.0,,,72-81,,Shooting foul by L. Nance (drawn by K. Olynyk)
1:04.0,,,72-82,1,K. Olynyk makes free throw 1 of 2
1:04.0,,,72-82,,K. Olynyk misses free throw 2 of 2
1:02.0,Defensive rebound by L. Williams,,72-82,,
0:55.0,L. Williams makes 2-pt shot from 2 ft (assist by M. Huertas),2,74-82,,
0:45.0,,,74-82,,K. Olynyk misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by M. Huertas,,74-82,,
0:37.0,L. Williams misses 3-pt shot from 27 ft,,74-82,,
0:36.0,,,74-82,,Defensive rebound by K. Olynyk
0:24.0,,,74-82,,M. Smart misses 2-pt shot from 18 ft
0:23.0,Defensive rebound by L. Williams,,74-82,,
0:02.0,B. Ingram misses 2-pt shot from 5 ft,,74-82,,
0:01.0,,,74-82,,Defensive rebound by J. Jerebko
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-82,,K. Olynyk misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by B. Ingram,,74-82,,
11:22.0,L. Williams misses 3-pt shot from 25 ft,,74-82,,
11:20.0,Offensive rebound by J. Clarkson,,74-82,,
11:11.0,B. Ingram misses 3-pt shot from 24 ft,,74-82,,
11:10.0,,,74-82,,Defensive rebound by T. Rozier
11:04.0,,,74-85,3,I. Thomas makes 3-pt shot from 25 ft (assist by T. Rozier)
10:50.0,L. Nance makes 2-pt shot from 20 ft (assist by L. Williams),2,76-85,,
10:36.0,,,76-87,2,I. Thomas makes 2-pt shot from 2 ft (assist by K. Olynyk)
10:15.0,L. Nance misses 2-pt shot from 9 ft,,76-87,,
10:14.0,,,76-87,,Defensive rebound by T. Rozier
10:03.0,,,76-87,,Turnover by T. Rozier (lost ball; steal by J. Clarkson)
9:55.0,L. Williams misses 2-pt shot from 4 ft,,76-87,,
9:54.0,,,76-87,,Defensive rebound by K. Olynyk
9:38.0,,,76-87,,K. Olynyk misses 2-pt shot at rim
9:37.0,Defensive rebound by L. Nance,,76-87,,
9:30.0,Shooting foul by K. Olynyk,,76-87,,
9:30.0,L. Williams makes free throw 1 of 2,1,77-87,,
9:30.0,LA Lakers full timeout,,77-87,,
9:30.0,L. Williams makes free throw 2 of 2,1,78-87,,
9:18.0,,,78-87,,I. Thomas misses 3-pt shot from 27 ft (block by J. Clarkson)
9:15.0,,,78-87,,Offensive rebound by K. Olynyk
9:09.0,,,78-87,,K. Olynyk misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by L. Williams,,78-87,,
8:50.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,80-87,,
8:34.0,,,80-90,3,I. Thomas makes 3-pt shot from 25 ft
8:19.0,L. Williams misses 2-pt shot from 2 ft,,80-90,,
8:19.0,,,80-90,,Defensive rebound by T. Rozier
8:13.0,,,80-92,2,T. Rozier makes 2-pt shot from 1 ft
7:58.0,L. Nance makes 2-pt shot from 9 ft (assist by M. Huertas),2,82-92,,
7:42.0,,,82-92,,M. Smart misses 3-pt shot from 26 ft
7:41.0,,,82-92,,Offensive rebound by K. Olynyk
7:38.0,,,82-92,,I. Thomas misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by L. Nance,,82-92,,
7:28.0,J. Clarkson misses 2-pt shot from 19 ft,,82-92,,
7:27.0,,,82-92,,Defensive rebound by I. Thomas
7:16.0,D. Russell enters the game for J. Clarkson,,82-92,,
7:12.0,,,82-94,2,I. Thomas makes 2-pt shot from 17 ft (assist by M. Smart)
7:03.0,Shooting foul by J. Jerebko,,82-94,,
7:03.0,L. Williams makes free throw 1 of 2,1,83-94,,
7:03.0,L. Williams makes free throw 2 of 2,1,84-94,,
7:03.0,,,83-94,,A. Horford enters the game for K. Olynyk
7:03.0,,,83-94,,J. Crowder enters the game for M. Smart
6:48.0,,,84-97,3,T. Rozier makes 3-pt shot from 23 ft (assist by A. Horford)
6:33.0,D. Russell misses 3-pt shot from 23 ft,,84-97,,
6:32.0,Offensive rebound by L. Nance,,84-97,,
6:28.0,M. Huertas makes 3-pt shot from 24 ft (assist by L. Nance),3,87-97,,
6:11.0,Personal foul by L. Nance (drawn by I. Thomas),,87-97,,
6:01.0,Personal foul by D. Russell (drawn by T. Rozier),,87-97,,
5:46.0,,,87-99,2,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Horford)
5:35.0,B. Ingram misses 3-pt shot from 25 ft,,87-99,,
5:33.0,,,87-99,,Defensive rebound by A. Horford
5:27.0,,,87-99,,Turnover by J. Crowder (bad pass)
5:27.0,Official timeout,,87-99,,
5:27.0,N. Young enters the game for M. Huertas,,87-99,,
5:12.0,N. Young misses 3-pt shot from 26 ft,,87-99,,
5:11.0,Offensive rebound by L. Nance,,87-99,,
5:10.0,L. Nance makes 2-pt shot from 4 ft,2,89-99,,
