time,Denver,pts.away,score,pts.home,LA Lakers
5:04.0,Defensive rebound by J. Nelson,,10-17,,
4:58.0,J. Nelson misses 2-pt shot from 3 ft,,10-17,,
4:55.0,Offensive rebound by K. Faried,,10-17,,
4:55.0,K. Faried makes 2-pt shot from 2 ft,2,12-17,,
4:30.0,,,12-17,,L. Deng misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by K. Faried,,12-17,,
4:20.0,Shooting foul by T. Black (drawn by D. Gallinari),,12-17,,
4:20.0,D. Gallinari makes free throw 1 of 2,1,13-17,,
4:20.0,D. Gallinari makes free throw 2 of 2,1,14-17,,
4:20.0,,,13-17,,B. Ingram enters the game for L. Deng
4:20.0,,,13-17,,I. Zubac enters the game for T. Black
4:00.0,,,14-17,,B. Ingram misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by K. Faried,,14-17,,
3:53.0,K. Faried makes 2-pt shot from 9 ft,2,16-17,,
3:37.0,,,16-19,2,J. Clarkson makes 2-pt shot from 6 ft
3:28.0,G. Harris makes 3-pt shot from 28 ft (assist by J. Nelson),3,19-19,,
3:06.0,,,19-22,3,D. Russell makes 3-pt shot from 27 ft
2:50.0,D. Gallinari makes 2-pt shot at rim,2,21-22,,
2:35.0,,,21-22,,Turnover by L. Nance (bad pass; steal by G. Harris)
2:30.0,J. Nelson makes 2-pt shot from 1 ft (assist by G. Harris),2,23-22,,
2:30.0,,,23-22,,LA Lakers full timeout
2:30.0,,,23-22,,L. Williams enters the game for D. Russell
2:30.0,J. Murray enters the game for G. Harris,,23-22,,
2:18.0,,,23-24,2,I. Zubac makes 2-pt shot from 5 ft (assist by L. Williams)
2:02.0,D. Gallinari misses 3-pt shot from 28 ft,,23-24,,
2:01.0,Offensive rebound by K. Faried,,23-24,,
2:00.0,,,23-24,,Loose ball foul by J. Clarkson (drawn by K. Faried)
2:00.0,D. Arthur enters the game for K. Faried,,23-24,,
1:56.0,J. Murray makes 3-pt shot from 26 ft (assist by D. Gallinari),3,26-24,,
1:42.0,,,26-26,2,B. Ingram makes 2-pt shot from 3 ft
1:32.0,Shooting foul by I. Zubac (drawn by D. Gallinari),,26-26,,
1:32.0,D. Gallinari makes free throw 1 of 2,1,27-26,,
1:32.0,D. Gallinari makes free throw 2 of 2,1,28-26,,
1:23.0,,,28-26,,L. Williams misses 2-pt shot from 2 ft
1:21.0,,,28-26,,Offensive rebound by I. Zubac
1:21.0,,,28-28,2,I. Zubac makes 2-pt shot from 2 ft
1:12.0,J. Murray misses 3-pt shot from 26 ft,,28-28,,
1:11.0,Offensive rebound by D. Arthur,,28-28,,
0:57.0,D. Gallinari makes 2-pt shot from 22 ft (assist by J. Murray),2,30-28,,
0:44.0,,,30-28,,L. Nance misses 2-pt shot from 10 ft
0:41.0,Defensive rebound by D. Gallinari,,30-28,,
0:31.0,D. Arthur misses 3-pt shot from 27 ft,,30-28,,
0:30.0,,,30-28,,Defensive rebound by L. Williams
0:12.0,,,30-30,2,I. Zubac makes 2-pt shot from 6 ft (assist by L. Williams)
0:03.0,J. Nelson misses 2-pt shot from 12 ft,,30-30,,
0:03.0,Offensive rebound by W. Chandler,,30-30,,
0:02.0,W. Chandler misses 2-pt shot from 1 ft,,30-30,,
0:00.0,Offensive rebound by W. Chandler,,30-30,,
0:00.0,W. Chandler misses 2-pt shot at rim,,30-30,,
0:00.0,Offensive rebound by Team,,30-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Arthur makes 2-pt shot from 19 ft (assist by J. Murray),2,32-30,,
11:28.0,,,32-30,,J. Clarkson misses 2-pt shot from 10 ft
11:23.0,Defensive rebound by W. Chandler,,32-30,,
11:14.0,W. Chandler misses 2-pt shot from 18 ft,,32-30,,
11:14.0,,,32-30,,Defensive rebound by Team
11:14.0,Loose ball foul by J. Hernangomez,,32-30,,
10:58.0,,,32-30,,I. Zubac misses 2-pt shot from 4 ft
10:56.0,Defensive rebound by G. Harris,,32-30,,
10:46.0,J. Murray misses 2-pt shot from 11 ft,,32-30,,
10:44.0,,,32-30,,Defensive rebound by J. Clarkson
10:41.0,,,32-30,,Turnover by J. Clarkson (lost ball; steal by J. Murray)
10:37.0,Turnover by J. Murray (lost ball; steal by J. Clarkson),,32-30,,
10:36.0,,,32-30,,Turnover by J. Clarkson (lost ball)
10:22.0,Turnover by G. Harris (bad pass; steal by L. Williams),,32-30,,
10:10.0,,,32-32,2,I. Zubac makes 2-pt shot at rim (assist by B. Ingram)
10:10.0,,,32-32,,Shooting foul by D. Arthur (drawn by I. Zubac)
10:10.0,,,32-33,1,I. Zubac makes free throw 1 of 1
9:53.0,J. Murray misses 3-pt shot from 27 ft,,32-33,,
9:52.0,Offensive rebound by D. Arthur,,32-33,,
9:50.0,D. Arthur makes 2-pt shot from 14 ft,2,34-33,,
9:31.0,,,34-33,,Turnover by J. Clarkson (lost ball; steal by W. Chandler)
9:17.0,D. Arthur misses 2-pt shot from 16 ft,,34-33,,
9:14.0,,,34-33,,Defensive rebound by B. Ingram
9:08.0,,,34-35,2,B. Ingram makes 2-pt shot at rim
8:49.0,D. Arthur makes 2-pt shot from 19 ft,2,36-35,,
8:41.0,,,36-35,,Shooting foul by W. Chandler
8:41.0,Official timeout,,36-35,,
8:41.0,,,36-36,1,L. Williams makes free throw 1 of 2
8:41.0,,,36-37,1,L. Williams makes free throw 2 of 2
8:24.0,G. Harris makes 2-pt shot from 1 ft (assist by D. Arthur),2,38-37,,
8:08.0,,,38-40,3,L. Williams makes 3-pt shot from 26 ft
7:56.0,D. Arthur makes 3-pt shot from 25 ft (assist by J. Murray),3,41-40,,
7:44.0,,,41-40,,L. Nance misses 2-pt shot from 12 ft
7:43.0,Defensive rebound by W. Chandler,,41-40,,
7:34.0,W. Chandler misses 2-pt shot from 1 ft,,41-40,,
7:31.0,Offensive rebound by W. Chandler,,41-40,,
7:30.0,W. Chandler makes 2-pt shot from 1 ft,2,43-40,,
7:12.0,,,43-42,2,J. Clarkson makes 2-pt shot from 3 ft
7:02.0,Turnover by D. Arthur (bad pass),,43-42,,
7:02.0,J. Nelson enters the game for G. Harris,,43-42,,
7:02.0,,,43-42,,D. Russell enters the game for I. Zubac
6:49.0,,,43-42,,L. Williams misses 2-pt shot from 2 ft
6:48.0,,,43-42,,Offensive rebound by L. Williams
6:42.0,,,43-44,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams)
6:30.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,46-44,,
6:13.0,,,46-47,3,L. Williams makes 3-pt shot from 25 ft
6:06.0,,,46-47,,Violation by L. Nance (kicked ball)
6:06.0,D. Gallinari enters the game for D. Arthur,,46-47,,
6:06.0,K. Faried enters the game for J. Hernangomez,,46-47,,
6:06.0,,,46-47,,T. Mozgov enters the game for L. Nance
5:53.0,J. Murray misses 2-pt shot from 19 ft,,46-47,,
5:51.0,Offensive rebound by J. Nelson,,46-47,,
5:43.0,D. Gallinari misses 2-pt shot from 20 ft,,46-47,,
5:41.0,Offensive rebound by K. Faried,,46-47,,
5:41.0,K. Faried misses 2-pt shot from 2 ft (block by B. Ingram),,46-47,,
5:37.0,,,46-47,,Defensive rebound by D. Russell
5:32.0,,,46-47,,J. Clarkson misses 2-pt shot from 20 ft
5:31.0,Defensive rebound by Team,,46-47,,
5:31.0,,,46-47,,LA Lakers full timeout
5:31.0,,,46-47,,L. Deng enters the game for J. Clarkson
5:31.0,,,46-47,,N. Young enters the game for B. Ingram
5:14.0,K. Faried misses 2-pt shot from 4 ft (block by L. Deng),,46-47,,
5:13.0,,,46-47,,Defensive rebound by D. Russell
5:08.0,Personal block foul by D. Gallinari,,46-47,,
4:48.0,,,46-47,,L. Williams misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by K. Faried,,46-47,,
4:43.0,J. Nelson makes 2-pt shot from 2 ft (assist by K. Faried),2,48-47,,
4:27.0,,,48-47,,Turnover by L. Deng (bad pass; steal by K. Faried)
4:21.0,K. Faried misses 2-pt shot from 1 ft (block by L. Deng),,48-47,,
4:17.0,,,48-47,,Defensive rebound by L. Deng
4:11.0,,,48-50,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
4:02.0,,,48-50,,Personal foul by N. Young (drawn by D. Gallinari)
4:02.0,,,48-50,,T. Black enters the game for L. Williams
3:54.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,51-50,,
3:44.0,,,51-50,,N. Young misses 2-pt shot from 17 ft
3:42.0,,,51-50,,Offensive rebound by T. Black
3:33.0,,,51-50,,D. Russell misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by W. Chandler,,51-50,,
3:23.0,W. Chandler makes 2-pt shot from 14 ft,2,53-50,,
3:15.0,,,53-50,,Turnover by D. Russell (bad pass)
3:00.0,W. Chandler misses 3-pt shot from 25 ft,,53-50,,
2:58.0,,,53-50,,Defensive rebound by T. Mozgov
2:48.0,,,53-52,2,T. Black makes 2-pt shot from 1 ft (assist by N. Young)
2:48.0,,,53-52,,Shooting foul by K. Faried (drawn by T. Black)
2:48.0,Denver full timeout,,53-52,,
2:48.0,,,53-52,,T. Black misses free throw 1 of 1
2:47.0,Defensive rebound by W. Chandler,,53-52,,
2:28.0,W. Chandler makes 2-pt shot from 16 ft,2,55-52,,
2:03.0,,,55-52,,N. Young misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by K. Faried,,55-52,,
1:52.0,J. Nelson makes 2-pt shot from 17 ft,2,57-52,,
1:42.0,,,57-52,,Shooting foul by J. Nelson (drawn by D. Russell)
1:42.0,,,57-52,,D. Russell misses free throw 1 of 2
1:42.0,,,57-52,,Offensive rebound by Team
1:42.0,,,57-52,,D. Russell misses free throw 2 of 2
1:41.0,Defensive rebound by K. Faried,,57-52,,
1:25.0,K. Faried misses 2-pt shot from 17 ft,,57-52,,
1:23.0,,,57-52,,Defensive rebound by T. Black
1:11.0,,,57-52,,Shooting foul by K. Faried (drawn by T. Mozgov)
1:11.0,,,57-53,1,T. Mozgov makes free throw 1 of 2
1:11.0,,,57-54,1,T. Mozgov makes free throw 2 of 2
0:56.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari),2,59-54,,
0:44.0,,,59-54,,L. Deng misses 2-pt shot from 20 ft
0:43.0,Defensive rebound by K. Faried,,59-54,,
0:32.0,J. Nelson misses 2-pt shot from 16 ft (block by D. Russell),,59-54,,
0:29.0,,,59-54,,Defensive rebound by L. Deng
0:24.0,,,59-54,,N. Young misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by W. Chandler,,59-54,,
0:07.0,,,59-54,,Personal foul by D. Russell (drawn by J. Nelson)
0:07.0,Denver full timeout,,59-54,,
0:07.0,,,59-54,,B. Ingram enters the game for T. Mozgov
0:03.0,J. Nelson misses 3-pt shot from 27 ft,,59-54,,
0:00.0,Offensive rebound by Team,,59-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Gallinari makes 2-pt shot from 16 ft,2,61-54,,
11:27.0,Violation by K. Faried (kicked ball),,61-54,,
11:22.0,Personal foul by D. Gallinari (drawn by T. Black),,61-54,,
11:06.0,,,61-54,,Turnover by L. Deng (bad pass; steal by G. Harris)
10:56.0,J. Nurkic misses 2-pt shot at rim,,61-54,,
10:56.0,,,61-54,,Defensive rebound by T. Mozgov
10:51.0,,,61-54,,Turnover by T. Black (lost ball; steal by G. Harris)
10:40.0,D. Gallinari misses 2-pt shot from 19 ft,,61-54,,
10:39.0,Offensive rebound by J. Nurkic,,61-54,,
10:36.0,Shooting foul by T. Mozgov (drawn by K. Faried),,61-54,,
10:36.0,K. Faried makes free throw 1 of 2,1,62-54,,
10:36.0,K. Faried misses free throw 2 of 2,,62-54,,
10:36.0,,,62-54,,Defensive rebound by L. Deng
10:14.0,,,62-56,2,T. Mozgov makes 2-pt shot from 19 ft (assist by L. Deng)
9:55.0,G. Harris misses 2-pt shot from 2 ft (block by T. Mozgov),,62-56,,
9:53.0,Offensive rebound by Team,,62-56,,
9:52.0,Shooting foul by T. Mozgov (drawn by J. Nurkic),,62-56,,
9:52.0,J. Nurkic misses free throw 1 of 2,,62-56,,
9:52.0,Offensive rebound by Team,,62-56,,
9:52.0,J. Nurkic makes free throw 2 of 2,1,63-56,,
9:43.0,,,63-56,,N. Young misses 2-pt shot from 14 ft
9:40.0,,,63-56,,Offensive rebound by T. Black
9:40.0,,,63-56,,T. Black misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by J. Nurkic,,63-56,,
9:33.0,D. Gallinari misses 3-pt shot from 28 ft,,63-56,,
9:30.0,,,63-56,,Defensive rebound by D. Russell
9:25.0,,,63-56,,L. Deng misses 2-pt shot from 1 ft (block by J. Nelson)
9:25.0,,,63-56,,Offensive rebound by Team
9:11.0,,,63-56,,D. Russell misses 2-pt shot from 18 ft
9:09.0,,,63-56,,Offensive rebound by T. Black
9:05.0,,,63-58,2,T. Black makes 2-pt shot from 1 ft
8:44.0,J. Nurkic misses 2-pt shot from 2 ft (block by T. Mozgov),,63-58,,
8:42.0,Offensive rebound by J. Nurkic,,63-58,,
8:41.0,J. Nurkic misses 2-pt shot from 1 ft,,63-58,,
8:40.0,,,63-58,,Defensive rebound by N. Young
8:33.0,,,63-60,2,D. Russell makes 2-pt shot from 1 ft
8:21.0,K. Faried misses 2-pt shot from 2 ft (block by T. Black),,63-60,,
8:20.0,,,63-60,,Defensive rebound by N. Young
8:12.0,,,63-62,2,N. Young makes 2-pt shot from 4 ft
8:12.0,,,63-62,,Shooting foul by G. Harris (drawn by N. Young)
8:12.0,Denver full timeout,,63-62,,
8:12.0,,,63-62,,N. Young misses free throw 1 of 1
8:11.0,Defensive rebound by J. Nurkic,,63-62,,
7:56.0,Shooting foul by T. Black (drawn by D. Gallinari),,63-62,,
7:56.0,D. Gallinari makes free throw 1 of 2,1,64-62,,
7:56.0,D. Gallinari makes free throw 2 of 2,1,65-62,,
7:37.0,,,65-64,2,T. Mozgov makes 2-pt shot from 6 ft (assist by N. Young)
7:25.0,J. Nelson misses 2-pt shot from 9 ft,,65-64,,
7:24.0,,,65-64,,Defensive rebound by T. Black
7:05.0,,,65-64,,T. Black misses 2-pt shot from 3 ft (block by J. Nurkic)
7:04.0,Defensive rebound by K. Faried,,65-64,,
6:58.0,Turnover by K. Faried (lost ball; steal by D. Russell),,65-64,,
6:53.0,,,65-66,2,N. Young makes 2-pt shot at rim (assist by D. Russell)
6:34.0,Turnover by D. Gallinari (bad pass; steal by L. Deng),,65-66,,
6:26.0,,,65-66,,Turnover by D. Russell (bad pass; steal by D. Gallinari)
6:16.0,Turnover by G. Harris (bad pass),,65-66,,
6:16.0,W. Chandler enters the game for J. Nurkic,,65-66,,
6:00.0,,,65-66,,Turnover by T. Black (lost ball; steal by W. Chandler)
5:55.0,D. Gallinari misses 2-pt shot from 20 ft,,65-66,,
5:50.0,,,65-66,,Defensive rebound by T. Black
5:43.0,,,65-66,,Shooting foul by W. Chandler (drawn by T. Mozgov)
5:43.0,,,65-67,1,T. Mozgov makes free throw 1 of 2
5:43.0,,,65-68,1,T. Mozgov makes free throw 2 of 2
5:43.0,,,65-67,,B. Ingram enters the game for T. Black
5:30.0,G. Harris misses 2-pt shot from 14 ft,,65-68,,
5:27.0,,,65-68,,Defensive rebound by B. Ingram
5:21.0,,,65-70,2,T. Mozgov makes 2-pt shot from 9 ft
5:19.0,Denver full timeout,,65-70,,
5:19.0,D. Arthur enters the game for K. Faried,,65-70,,
5:11.0,,,65-70,,Personal foul by B. Ingram (drawn by D. Gallinari)
5:11.0,J. Murray enters the game for G. Harris,,65-70,,
4:59.0,J. Murray misses 3-pt shot from 25 ft,,65-70,,
4:58.0,,,65-70,,Defensive rebound by T. Mozgov
4:39.0,,,65-70,,B. Ingram misses 2-pt shot from 7 ft (block by D. Arthur)
4:37.0,Defensive rebound by J. Nelson,,65-70,,
4:33.0,J. Murray makes 3-pt shot from 26 ft (assist by J. Nelson),3,68-70,,
4:06.0,,,68-73,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
3:54.0,Turnover by D. Arthur (lost ball; steal by N. Young),,68-73,,
3:36.0,,,68-76,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
3:16.0,W. Chandler misses 2-pt shot from 16 ft,,68-76,,
3:14.0,Offensive rebound by D. Arthur,,68-76,,
3:14.0,Shooting foul by T. Mozgov (drawn by D. Arthur),,68-76,,
3:14.0,D. Arthur misses free throw 1 of 2,,68-76,,
3:14.0,Offensive rebound by Team,,68-76,,
3:14.0,D. Arthur makes free throw 2 of 2,1,69-76,,
3:02.0,,,69-76,,Turnover by N. Young (lost ball; steal by W. Chandler)
2:59.0,Turnover by D. Arthur (bad pass),,69-76,,
2:59.0,,,69-76,,LA Lakers full timeout
2:59.0,,,69-76,,L. Nance enters the game for L. Deng
2:59.0,,,69-76,,J. Clarkson enters the game for N. Young
2:42.0,,,69-76,,Turnover by T. Mozgov (3 sec)
2:24.0,D. Arthur misses 2-pt shot from 16 ft,,69-76,,
2:22.0,,,69-76,,Defensive rebound by J. Clarkson
2:03.0,,,69-76,,T. Mozgov misses 2-pt shot from 2 ft
2:02.0,,,69-76,,Offensive rebound by Team
2:02.0,,,69-76,,L. Williams enters the game for T. Mozgov
2:00.0,,,69-76,,J. Clarkson misses 2-pt shot from 3 ft
1:57.0,Defensive rebound by J. Murray,,69-76,,
1:40.0,D. Gallinari misses 3-pt shot from 26 ft,,69-76,,
1:39.0,,,69-76,,Defensive rebound by J. Clarkson
1:28.0,,,69-79,3,D. Russell makes 3-pt shot from 27 ft (assist by J. Clarkson)
1:02.0,J. Murray makes 3-pt shot from 26 ft,3,72-79,,
0:49.0,,,72-79,,D. Russell misses 2-pt shot from 7 ft
0:48.0,,,72-79,,Offensive rebound by D. Russell
0:48.0,,,72-81,2,D. Russell makes 2-pt shot from 7 ft
0:41.0,J. Nelson misses 2-pt shot from 1 ft,,72-81,,
0:41.0,Offensive rebound by W. Chandler,,72-81,,
0:41.0,W. Chandler makes 2-pt shot from 1 ft,2,74-81,,
0:32.0,,,74-81,,D. Russell misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by D. Gallinari,,74-81,,
0:12.0,D. Gallinari makes 2-pt shot from 11 ft,2,76-81,,
0:06.0,Personal take foul by J. Nelson,,76-81,,
0:06.0,J. Hernangomez enters the game for D. Gallinari,,76-81,,
0:06.0,G. Harris enters the game for J. Nelson,,76-81,,
0:01.0,,,76-81,,D. Russell misses 3-pt shot from 27 ft
0:00.0,,,76-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,76-81,,B. Ingram misses 2-pt shot at rim
11:46.0,Defensive rebound by D. Arthur,,76-81,,
11:36.0,D. Arthur misses 2-pt shot from 20 ft,,76-81,,
11:34.0,Offensive rebound by J. Hernangomez,,76-81,,
11:30.0,W. Chandler misses 2-pt shot from 1 ft,,76-81,,
11:28.0,,,76-81,,Defensive rebound by L. Williams
11:23.0,,,76-81,,Turnover by L. Williams (lost ball; steal by G. Harris)
11:17.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,79-81,,
11:02.0,,,79-81,,B. Ingram misses 2-pt shot from 2 ft
11:01.0,,,79-81,,Offensive rebound by I. Zubac
10:56.0,,,79-81,,L. Williams misses 2-pt shot from 1 ft (block by D. Arthur)
10:54.0,Defensive rebound by D. Arthur,,79-81,,
10:32.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Arthur),3,82-81,,
10:32.0,,,82-81,,LA Lakers full timeout
10:20.0,Personal foul by D. Arthur,,82-81,,
10:14.0,,,82-81,,J. Clarkson misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by J. Hernangomez,,82-81,,
10:01.0,G. Harris misses 2-pt shot from 3 ft (block by L. Nance),,82-81,,
9:56.0,Offensive rebound by D. Arthur,,82-81,,
9:54.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by G. Harris),3,85-81,,
9:33.0,,,85-81,,B. Ingram misses 3-pt shot from 26 ft
9:31.0,,,85-81,,Offensive rebound by I. Zubac
9:29.0,Jump ball: D. Arthur vs. I. Zubac (J. Hernangomez gains possession),,,,Jump ball: D. Arthur vs. I. Zubac (J. Hernangomez gains possession)
9:29.0,,,85-81,,Turnover by I. Zubac (lost ball; steal by D. Arthur)
9:17.0,J. Murray misses 2-pt shot from 2 ft (block by L. Nance),,85-81,,
9:14.0,Offensive rebound by J. Murray,,85-81,,
9:13.0,Shooting foul by I. Zubac,,85-81,,
9:13.0,J. Hernangomez makes free throw 1 of 2,1,86-81,,
9:13.0,J. Hernangomez makes free throw 2 of 2,1,87-81,,
8:58.0,,,87-81,,B. Ingram misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by G. Harris,,87-81,,
8:49.0,Turnover by G. Harris (bad pass; steal by L. Williams),,87-81,,
8:43.0,,,87-83,2,I. Zubac makes 2-pt shot from 3 ft (assist by L. Williams)
8:26.0,Shooting foul by B. Ingram (drawn by W. Chandler),,87-83,,
8:26.0,W. Chandler makes free throw 1 of 2,1,88-83,,
8:26.0,W. Chandler makes free throw 2 of 2,1,89-83,,
8:26.0,,,88-83,,N. Young enters the game for B. Ingram
8:26.0,,,88-83,,L. Deng enters the game for L. Nance
8:04.0,,,89-85,2,L. Deng makes 2-pt shot from 3 ft (assist by I. Zubac)
7:50.0,J. Murray makes 2-pt shot from 17 ft (assist by W. Chandler),2,91-85,,
7:26.0,,,91-88,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Clarkson)
7:10.0,J. Murray makes 3-pt shot from 26 ft,3,94-88,,
6:57.0,,,94-90,2,J. Clarkson makes 2-pt shot from 10 ft
6:40.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by W. Chandler),3,97-90,,
6:33.0,,,97-90,,Shooting foul by G. Harris
6:33.0,,,97-92,2,L. Williams makes 2-pt shot from 7 ft
6:33.0,,,97-93,1,L. Williams makes free throw 1 of 1
6:14.0,W. Chandler makes 3-pt shot from 26 ft (assist by D. Arthur),3,100-93,,
5:58.0,,,100-96,3,L. Williams makes 3-pt shot from 24 ft (assist by N. Young)
5:44.0,J. Murray misses 3-pt shot from 26 ft,,100-96,,
5:42.0,,,100-96,,Defensive rebound by I. Zubac
5:37.0,,,100-98,2,I. Zubac makes 2-pt shot from 8 ft (assist by L. Williams)
5:37.0,Denver full timeout,,100-98,,
5:37.0,K. Faried enters the game for G. Harris,,100-98,,
5:37.0,D. Gallinari enters the game for D. Arthur,,100-98,,
5:37.0,J. Nelson enters the game for J. Hernangomez,,100-98,,
5:37.0,,,100-98,,D. Russell enters the game for J. Clarkson
5:23.0,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler),3,103-98,,
5:08.0,,,103-101,3,L. Williams makes 3-pt shot from 27 ft (assist by D. Russell)
4:50.0,W. Chandler misses 3-pt shot from 27 ft,,103-101,,
4:49.0,,,103-101,,Defensive rebound by L. Williams
4:43.0,,,103-103,2,L. Williams makes 2-pt shot from 2 ft
4:25.0,W. Chandler misses 2-pt shot from 12 ft,,103-103,,
4:24.0,,,103-103,,Defensive rebound by L. Williams
4:16.0,G. Harris enters the game for J. Murray,,103-103,,
4:06.0,,,103-106,3,N. Young makes 3-pt shot from 23 ft (assist by D. Russell)
3:54.0,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson),2,105-106,,
