time,Golden State,pts.away,score,pts.home,Charlotte
5:45.0,S. Curry enters the game for D. Green,,41-32,,
5:45.0,K. Durant enters the game for K. Thompson,,41-32,,
5:32.0,S. Livingston misses 2-pt shot from 15 ft,,41-32,,
5:31.0,,,41-32,,Defensive rebound by M. Williams
5:15.0,,,41-32,,Turnover by M. Williams (bad pass)
4:57.0,K. Durant misses 3-pt shot from 25 ft,,41-32,,
4:55.0,,,41-32,,Defensive rebound by S. Hawes
4:43.0,Personal block foul by S. Livingston (drawn by K. Walker),,41-32,,
4:36.0,,,41-34,2,S. Hawes makes 2-pt shot at rim (assist by M. Williams)
4:17.0,S. Curry misses 3-pt shot from 25 ft,,41-34,,
4:16.0,,,41-34,,Defensive rebound by M. Williams
4:03.0,,,41-34,,K. Walker misses 3-pt shot from 26 ft
4:01.0,,,41-34,,Offensive rebound by N. Batum
4:01.0,,,41-36,2,N. Batum makes 2-pt shot at rim
3:54.0,Golden State full timeout,,41-36,,
3:54.0,D. Green enters the game for J. McAdoo,,41-36,,
3:54.0,A. Iguodala enters the game for S. Livingston,,41-36,,
3:37.0,P. McCaw makes 2-pt shot from 1 ft (assist by A. Iguodala),2,43-36,,
3:22.0,,,43-36,,Turnover by S. Hawes (bad pass; steal by S. Curry)
3:16.0,S. Curry misses 2-pt shot from 1 ft,,43-36,,
3:14.0,Offensive rebound by A. Iguodala,,43-36,,
3:14.0,A. Iguodala makes 2-pt shot at rim,2,45-36,,
2:56.0,,,45-39,3,K. Walker makes 3-pt shot from 23 ft (assist by N. Batum)
2:44.0,P. McCaw makes 2-pt shot from 6 ft (assist by D. Green),2,47-39,,
2:33.0,,,47-39,,Turnover by K. Walker (bad pass; steal by D. Green)
2:27.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Durant),,47-39,,
2:27.0,K. Durant makes free throw 1 of 2,1,48-39,,
2:27.0,K. Durant makes free throw 2 of 2,1,49-39,,
2:27.0,,,48-39,,M. Belinelli enters the game for M. Kidd-Gilchrist
2:14.0,,,49-39,,N. Batum misses 2-pt shot from 7 ft (block by P. McCaw)
2:14.0,,,49-39,,Offensive rebound by Team
2:03.0,,,49-39,,S. Hawes misses 2-pt shot from 11 ft
2:02.0,Defensive rebound by A. Iguodala,,49-39,,
1:54.0,P. McCaw misses 3-pt shot from 23 ft,,49-39,,
