time,Cleveland,pts.away,score,pts.home,San Antonio
6:38.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,31-40,,
6:38.0,L. James makes free throw 1 of 1,1,32-40,,
6:38.0,,,32-40,,San Antonio full timeout
6:38.0,,,32-40,,Technical foul by Team
6:38.0,K. Irving misses technical free throw,,32-40,,
6:38.0,,,32-40,,Offensive rebound by Team
6:38.0,K. Irving enters the game for D. Williams,,29-40,,
6:38.0,T. Thompson enters the game for R. Jefferson,,29-40,,
6:20.0,,,32-42,2,K. Leonard makes 2-pt shot from 17 ft
6:05.0,Turnover by K. Irving (lost ball; steal by L. Aldridge),,32-42,,
5:57.0,,,32-44,2,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson)
5:45.0,Turnover by T. Thompson (bad pass; steal by K. Anderson),,32-44,,
5:35.0,,,32-46,2,D. Lee makes 2-pt shot from 1 ft (assist by K. Leonard)
5:35.0,Cleveland full timeout,,32-46,,
5:35.0,,,32-46,,P. Gasol enters the game for D. Lee
5:35.0,R. Jefferson enters the game for L. James,,32-46,,
5:16.0,K. Love misses 2-pt shot from 7 ft,,32-46,,
5:15.0,,,32-46,,Defensive rebound by K. Anderson
5:00.0,,,32-48,2,L. Aldridge makes 2-pt shot from 6 ft
4:35.0,Turnover by Team (shot clock),,32-48,,
4:14.0,,,32-48,,L. Aldridge misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by T. Thompson,,32-48,,
4:05.0,K. Irving misses 2-pt shot from 5 ft (block by L. Aldridge),,32-48,,
4:05.0,Offensive rebound by Team,,32-48,,
4:05.0,,,32-48,,M. Ginobili enters the game for K. Leonard
4:05.0,Cleveland full timeout,,32-48,,
4:05.0,,,32-48,,K. Leonard enters the game for K. Anderson
4:05.0,L. James enters the game for K. Love,,32-48,,
3:54.0,Turnover by L. James (lost ball; steal by K. Leonard),,32-48,,
3:40.0,,,32-48,,K. Leonard misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by K. Irving,,32-48,,
3:29.0,Turnover by J. Smith (bad pass; steal by P. Gasol),,32-48,,
3:23.0,,,32-48,,K. Leonard misses 3-pt shot from 25 ft
3:22.0,,,32-48,,Offensive rebound by L. Aldridge
3:21.0,Loose ball foul by T. Thompson (drawn by L. Aldridge),,32-48,,
3:21.0,,,32-49,1,L. Aldridge makes free throw 1 of 2
3:21.0,,,32-50,1,L. Aldridge makes free throw 2 of 2
3:21.0,,,32-49,,P. Mills enters the game for T. Parker
3:11.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,34-50,,
2:58.0,,,34-52,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
2:37.0,L. James makes 2-pt shot from 2 ft,2,36-52,,
2:22.0,,,36-52,,K. Leonard misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by T. Thompson,,36-52,,
2:17.0,,,36-52,,Personal foul by P. Mills
2:17.0,T. Thompson makes free throw 1 of 2,1,37-52,,
2:17.0,T. Thompson makes free throw 2 of 2,1,38-52,,
2:17.0,K. Love enters the game for R. Jefferson,,37-52,,
2:01.0,,,38-54,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard)
1:47.0,L. James misses 2-pt shot from 15 ft,,38-54,,
1:46.0,,,38-54,,Defensive rebound by P. Mills
1:42.0,,,38-56,2,K. Leonard makes 2-pt shot from 5 ft (assist by P. Mills)
1:42.0,Shooting block foul by K. Irving (drawn by K. Leonard),,38-56,,
1:42.0,,,38-57,1,K. Leonard makes free throw 1 of 1
1:42.0,,,38-56,,D. Lee enters the game for P. Gasol
1:24.0,K. Love misses 3-pt shot from 24 ft,,38-57,,
1:22.0,,,38-57,,Defensive rebound by P. Mills
1:16.0,,,38-60,3,P. Mills makes 3-pt shot from 24 ft
1:04.0,K. Irving misses 2-pt shot from 15 ft,,38-60,,
1:03.0,,,38-60,,Defensive rebound by L. Aldridge
0:59.0,,,38-62,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
0:59.0,Cleveland full timeout,,38-62,,
0:59.0,D. Williams enters the game for J. Smith,,38-62,,
0:59.0,C. Frye enters the game for K. Love,,38-62,,
0:44.0,Turnover by K. Irving (lost ball),,38-62,,
0:29.0,,,38-62,,P. Mills misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by T. Thompson,,38-62,,
0:07.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,40-62,,
0:00.0,,,40-64,2,K. Leonard makes 2-pt shot from 15 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Love makes 2-pt shot from 2 ft (assist by J. Smith),2,42-64,,
11:24.0,,,42-64,,L. Aldridge misses 2-pt shot from 3 ft
11:23.0,,,42-64,,Offensive rebound by L. Aldridge
11:12.0,,,42-64,,Turnover by D. Green (bad pass)
10:57.0,Offensive foul by J. Smith,,42-64,,
10:57.0,Turnover by J. Smith (offensive foul),,42-64,,
10:36.0,,,42-64,,D. Green misses 2-pt shot from 10 ft
10:34.0,,,42-64,,Offensive rebound by D. Dedmon
10:31.0,,,42-66,2,D. Dedmon makes 2-pt shot from 1 ft
10:15.0,K. Love misses 3-pt shot from 25 ft,,42-66,,
10:15.0,,,42-66,,Defensive rebound by D. Dedmon
10:01.0,,,42-66,,D. Green misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by K. Love,,42-66,,
9:53.0,L. James misses 3-pt shot from 25 ft,,42-66,,
9:51.0,,,42-66,,Defensive rebound by D. Dedmon
9:33.0,,,42-66,,Turnover by L. Aldridge (bad pass; steal by K. Love)
9:33.0,Turnover by K. Love (bad pass; steal by D. Green),,42-66,,
9:16.0,,,42-66,,D. Green misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by L. James,,42-66,,
9:09.0,Shooting foul by D. Dedmon (drawn by T. Thompson),,42-66,,
9:09.0,T. Thompson makes free throw 1 of 2,1,43-66,,
9:09.0,T. Thompson misses free throw 2 of 2,,43-66,,
9:09.0,,,43-66,,Defensive rebound by D. Dedmon
8:46.0,,,43-66,,K. Leonard misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by J. Smith,,43-66,,
8:35.0,K. Irving misses 2-pt shot from 20 ft,,43-66,,
8:35.0,,,43-66,,Defensive rebound by D. Dedmon
8:31.0,,,43-66,,San Antonio full timeout
8:14.0,,,43-66,,T. Parker misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by K. Love,,43-66,,
8:09.0,L. James misses 2-pt shot from 1 ft (block by D. Green),,43-66,,
8:06.0,Offensive rebound by T. Thompson,,43-66,,
7:56.0,J. Smith misses 3-pt shot from 24 ft,,43-66,,
7:54.0,,,43-66,,Defensive rebound by K. Leonard
7:54.0,Personal foul by T. Thompson (drawn by K. Leonard),,43-66,,
7:38.0,,,43-68,2,K. Leonard makes 2-pt shot from 7 ft
7:23.0,L. James makes 2-pt shot at rim (assist by K. Love),2,45-68,,
6:59.0,Personal foul by L. James (drawn by D. Green),,45-68,,
6:59.0,,,45-68,,P. Gasol enters the game for D. Dedmon
6:59.0,R. Jefferson enters the game for L. James,,45-68,,
6:49.0,,,45-70,2,P. Gasol makes 2-pt shot from 9 ft (assist by D. Green)
6:27.0,,,45-70,,Personal foul by T. Parker (drawn by K. Love)
6:19.0,K. Love misses 2-pt shot from 7 ft (block by D. Green),,45-70,,
6:19.0,Offensive rebound by Team,,45-70,,
6:14.0,K. Irving misses 2-pt shot from 12 ft,,45-70,,
6:13.0,,,45-70,,Defensive rebound by K. Leonard
6:03.0,,,45-70,,K. Leonard misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by K. Love,,45-70,,
5:56.0,K. Irving misses 2-pt shot from 1 ft (block by D. Green),,45-70,,
5:54.0,,,45-70,,Defensive rebound by T. Parker
5:52.0,,,45-72,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
5:52.0,Cleveland full timeout,,45-72,,
5:52.0,,,45-72,,P. Mills enters the game for T. Parker
5:52.0,,,45-72,,M. Ginobili enters the game for D. Green
5:42.0,K. Love misses 3-pt shot from 24 ft,,45-72,,
5:42.0,,,45-72,,Defensive rebound by K. Leonard
5:28.0,,,45-72,,Turnover by K. Leonard (lost ball)
5:28.0,,,45-72,,K. Anderson enters the game for K. Leonard
5:17.0,Turnover by K. Love (bad pass),,45-72,,
5:06.0,Personal foul by K. Irving,,45-72,,
5:06.0,L. James enters the game for K. Irving,,45-72,,
5:06.0,D. Williams enters the game for J. Smith,,45-72,,
4:58.0,,,45-72,,P. Gasol misses 2-pt shot from 6 ft (block by T. Thompson)
4:58.0,,,45-72,,Offensive rebound by Team
4:58.0,,,45-72,,Turnover by L. Aldridge (bad pass)
4:43.0,,,45-72,,Personal foul by M. Ginobili (drawn by K. Love)
4:37.0,Turnover by D. Williams (bad pass; steal by M. Ginobili),,45-72,,
4:37.0,Loose ball foul by T. Thompson (drawn by L. Aldridge),,45-72,,
4:37.0,C. Frye enters the game for T. Thompson,,45-72,,
4:21.0,,,45-72,,L. Aldridge misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by C. Frye,,45-72,,
4:13.0,L. James makes 2-pt shot from 1 ft,2,47-72,,
3:51.0,Personal foul by L. James (drawn by L. Aldridge),,47-72,,
3:51.0,,,47-73,1,L. Aldridge makes free throw 1 of 2
3:51.0,,,47-74,1,L. Aldridge makes free throw 2 of 2
3:37.0,D. Williams misses 3-pt shot from 25 ft,,47-74,,
3:36.0,,,47-74,,Defensive rebound by K. Anderson
3:17.0,,,47-74,,Turnover by P. Gasol (lost ball; steal by K. Love)
3:12.0,,,47-74,,Personal block foul by M. Ginobili (drawn by L. James)
3:12.0,,,47-74,,D. Lee enters the game for L. Aldridge
2:59.0,C. Frye makes 2-pt shot from 7 ft (assist by L. James),2,49-74,,
2:41.0,,,49-74,,P. Mills misses 3-pt shot from 25 ft
2:39.0,,,49-74,,Offensive rebound by P. Gasol
2:39.0,,,49-76,2,P. Gasol makes 2-pt shot at rim
2:22.0,R. Jefferson makes 3-pt shot from 25 ft (assist by L. James),3,52-76,,
2:06.0,,,52-76,,M. Ginobili misses 2-pt shot from 4 ft
2:05.0,Defensive rebound by L. James,,52-76,,
1:58.0,R. Jefferson misses 3-pt shot from 23 ft,,52-76,,
1:57.0,Offensive rebound by R. Jefferson,,52-76,,
1:54.0,R. Jefferson misses 2-pt shot from 1 ft,,52-76,,
1:54.0,Offensive rebound by L. James,,52-76,,
1:54.0,,,52-76,,Personal foul by P. Gasol (drawn by L. James)
1:54.0,L. James makes free throw 1 of 2,1,53-76,,
1:54.0,L. James misses free throw 2 of 2,,53-76,,
1:54.0,,,53-76,,K. Leonard enters the game for K. Anderson
1:54.0,J. Jones enters the game for K. Love,,53-76,,
1:53.0,,,53-76,,Defensive rebound by K. Leonard
1:37.0,,,53-76,,Offensive foul by K. Leonard
1:37.0,,,53-76,,Turnover by K. Leonard (offensive foul)
1:37.0,,,53-76,,Violation by Team (jump ball)
1:22.0,D. Williams misses 2-pt shot from 1 ft,,53-76,,
1:21.0,,,53-76,,Defensive rebound by D. Lee
1:14.0,,,53-76,,Turnover by P. Gasol (bad pass; steal by C. Frye)
1:09.0,Shooting foul by P. Mills (drawn by R. Jefferson),,53-76,,
1:09.0,R. Jefferson makes free throw 1 of 2,1,54-76,,
1:09.0,R. Jefferson makes free throw 2 of 2,1,55-76,,
0:50.0,,,55-76,,P. Gasol misses 2-pt shot from 8 ft
0:48.0,Defensive rebound by L. James,,55-76,,
0:39.0,C. Frye misses 3-pt shot from 25 ft,,55-76,,
0:37.0,Offensive rebound by L. James,,55-76,,
0:37.0,L. James misses 2-pt shot from 1 ft,,55-76,,
0:36.0,,,55-76,,Defensive rebound by D. Lee
0:29.0,,,55-79,3,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard)
0:25.0,Cleveland full timeout,,55-79,,
0:25.0,J. Smith enters the game for L. James,,55-79,,
0:12.0,Turnover by J. Smith (lost ball; steal by P. Mills),,55-79,,
0:09.0,,,55-81,2,P. Mills makes 2-pt shot from 2 ft
0:05.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Jones),3,58-81,,
0:00.0,,,58-81,,K. Leonard misses 3-pt shot from 26 ft
0:00.0,,,58-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,58-83,2,P. Gasol makes 2-pt shot from 7 ft
11:22.0,Turnover by D. Williams (lost ball; steal by K. Anderson),,58-83,,
11:16.0,,,58-85,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
11:04.0,D. Williams misses 2-pt shot from 21 ft,,58-85,,
11:03.0,,,58-85,,Defensive rebound by K. Anderson
10:54.0,,,58-85,,Shooting foul by R. Jefferson (drawn by K. Leonard)
10:54.0,,,58-86,1,K. Leonard makes free throw 1 of 2
10:54.0,,,58-87,1,K. Leonard makes free throw 2 of 2
10:54.0,,,58-86,,D. Bertans enters the game for D. Lee
10:54.0,D. Williams enters the game for R. Jefferson,,58-86,,
10:44.0,Turnover by C. Frye (bad pass; steal by K. Leonard),,58-87,,
10:39.0,,,58-89,2,K. Leonard makes 2-pt shot from 1 ft
10:32.0,,,58-89,,Personal take foul by P. Mills
10:32.0,,,58-89,,J. Simmons enters the game for K. Leonard
10:32.0,,,58-89,,D. Dedmon enters the game for P. Gasol
10:32.0,,,58-89,,B. Forbes enters the game for P. Mills
10:25.0,J. Smith makes 2-pt shot from 20 ft,2,60-89,,
10:03.0,,,60-89,,B. Forbes misses 2-pt shot from 12 ft
9:58.0,,,60-89,,Offensive rebound by D. Dedmon
9:58.0,,,60-91,2,D. Dedmon makes 2-pt shot at rim
9:49.0,J. Jones misses 2-pt shot from 20 ft,,60-91,,
9:47.0,,,60-91,,Defensive rebound by D. Dedmon
9:29.0,,,60-91,,Turnover by K. Anderson (bad pass; steal by J. Jones)
9:17.0,C. Frye makes 2-pt shot from 16 ft (assist by D. Williams),2,62-91,,
8:59.0,,,62-91,,B. Forbes misses 2-pt shot from 20 ft
8:58.0,Defensive rebound by J. Smith,,62-91,,
8:48.0,C. Frye misses 3-pt shot from 23 ft,,62-91,,
8:47.0,,,62-91,,Defensive rebound by B. Forbes
8:34.0,,,62-91,,Turnover by B. Forbes (bad pass; steal by C. Frye)
8:20.0,D. Williams misses 2-pt shot from 16 ft,,62-91,,
8:19.0,,,62-91,,Defensive rebound by D. Dedmon
8:04.0,,,62-91,,B. Forbes misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by D. Williams,,62-91,,
7:56.0,D. Williams misses 2-pt shot at rim,,62-91,,
7:55.0,,,62-91,,Defensive rebound by K. Anderson
7:48.0,,,62-91,,Shooting foul by C. Frye (drawn by J. Simmons)
7:48.0,Official timeout,,62-91,,
7:48.0,,,62-92,1,J. Simmons makes free throw 1 of 2
7:48.0,,,62-92,,J. Simmons misses free throw 2 of 2
7:48.0,D. Liggins enters the game for D. Williams,,62-91,,
7:47.0,Defensive rebound by J. Jones,,62-92,,
7:24.0,Turnover by Team (shot clock),,62-92,,
7:11.0,,,62-94,2,B. Forbes makes 2-pt shot from 17 ft
6:54.0,,,62-94,,Personal foul by K. Anderson (drawn by C. Frye)
6:54.0,K. Felder enters the game for J. Smith,,62-94,,
6:39.0,D. Liggins misses 2-pt shot from 1 ft,,62-94,,
6:38.0,,,62-94,,Defensive rebound by D. Dedmon
6:28.0,,,62-94,,D. Bertans misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by D. Williams,,62-94,,
6:21.0,,,62-94,,Violation by K. Anderson (def goaltending)
6:21.0,D. Williams makes 2-pt shot from 1 ft,2,64-94,,
6:03.0,,,64-94,,Turnover by D. Dedmon (lost ball; steal by K. Felder)
5:58.0,Turnover by K. Felder (traveling),,64-94,,
5:58.0,,,64-94,,San Antonio full timeout
5:38.0,,,64-94,,B. Forbes misses 2-pt shot from 6 ft
5:38.0,,,64-94,,Offensive rebound by Team
5:36.0,Personal foul by J. Jones (drawn by B. Forbes),,64-94,,
5:20.0,,,64-96,2,J. Simmons makes 2-pt shot from 6 ft (assist by B. Forbes)
5:07.0,K. Felder misses 2-pt shot from 18 ft,,64-96,,
5:05.0,,,64-96,,Defensive rebound by D. Dedmon
4:55.0,Personal foul by J. Jones (drawn by D. Dedmon),,64-96,,
4:50.0,,,64-96,,J. Simmons misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by C. Frye,,64-96,,
4:38.0,C. Frye misses 3-pt shot from 25 ft,,64-96,,
4:37.0,Offensive rebound by Team,,64-96,,
4:21.0,C. Frye makes 2-pt shot from 20 ft (assist by K. Felder),2,66-96,,
4:07.0,,,66-96,,D. Dedmon misses 2-pt shot from 1 ft (block by J. Jones)
4:06.0,Jump ball: D. Dedmon vs. J. Jones (K. Felder gains possession),,,,Jump ball: D. Dedmon vs. J. Jones (K. Felder gains possession)
4:06.0,Defensive rebound by Team,,66-96,,
4:00.0,K. Felder makes 2-pt shot from 1 ft,2,68-96,,
3:45.0,,,68-98,2,K. Anderson makes 2-pt shot at rim (assist by D. Bertans)
3:28.0,K. Felder makes 2-pt shot from 18 ft,2,70-98,,
