time,Denver,pts.away,score,pts.home,Oklahoma City
6:30.0,,,36-48,,Defensive rebound by J. Grant
6:25.0,,,36-48,,Turnover by V. Oladipo (bad pass; steal by D. Arthur)
6:21.0,M. Beasley misses 2-pt shot at rim (block by T. Gibson),,36-48,,
6:21.0,Offensive rebound by Team,,36-48,,
6:21.0,M. Plumlee enters the game for N. Jokic,,36-48,,
6:08.0,J. Murray makes 3-pt shot from 26 ft (assist by M. Miller),3,39-48,,
5:48.0,,,39-50,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
5:36.0,M. Beasley misses 3-pt shot from 24 ft,,39-50,,
5:36.0,,,39-50,,Defensive rebound by R. Westbrook
5:26.0,,,39-52,2,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook)
5:25.0,Denver full timeout,,39-52,,
5:25.0,Official timeout,,39-52,,
5:25.0,J. Hernangomez enters the game for D. Arthur,,39-52,,
5:25.0,N. Jokic enters the game for M. Miller,,39-52,,
5:09.0,J. Hernangomez misses 2-pt shot at rim,,39-52,,
5:09.0,Offensive rebound by Team,,39-52,,
5:09.0,,,39-52,,S. Adams enters the game for J. Grant
5:05.0,M. Beasley makes 2-pt shot at rim (assist by J. Murray),2,41-52,,
4:47.0,,,41-55,3,J. Huestis makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:33.0,M. Plumlee misses 2-pt shot from 18 ft,,41-55,,
4:31.0,,,41-55,,Defensive rebound by S. Adams
4:26.0,,,41-55,,Turnover by R. Westbrook (bad pass)
4:14.0,J. Murray makes 2-pt shot from 12 ft,2,43-55,,
3:56.0,,,43-55,,T. Gibson misses 2-pt shot from 1 ft (block by N. Jokic)
3:55.0,Defensive rebound by N. Jokic,,43-55,,
3:49.0,N. Jokic makes 2-pt shot from 1 ft,2,45-55,,
3:33.0,,,45-55,,Turnover by R. Westbrook (bad pass)
3:33.0,,,45-55,,A. Abrines enters the game for V. Oladipo
3:18.0,J. Hernangomez misses 3-pt shot from 24 ft,,45-55,,
3:17.0,,,45-55,,Defensive rebound by A. Abrines
3:09.0,,,45-57,2,R. Westbrook makes 2-pt shot from 13 ft
2:50.0,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic),2,47-57,,
2:41.0,,,47-60,3,A. Abrines makes 3-pt shot from 22 ft (assist by R. Westbrook)
2:40.0,Denver full timeout,,47-60,,
2:24.0,J. Hernangomez misses 2-pt shot from 6 ft (block by J. Huestis),,47-60,,
2:23.0,,,47-60,,Defensive rebound by R. Westbrook
2:09.0,,,47-60,,T. Gibson misses 2-pt shot from 9 ft
2:08.0,Defensive rebound by N. Jokic,,47-60,,
2:04.0,Turnover by N. Jokic (bad pass),,47-60,,
1:52.0,,,47-62,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
1:37.0,N. Jokic misses 2-pt shot from 9 ft (block by J. Huestis),,47-62,,
1:37.0,Offensive rebound by Team,,47-62,,
1:36.0,,,47-62,,Shooting block foul by A. Abrines (drawn by N. Jokic)
1:36.0,N. Jokic makes free throw 1 of 2,1,48-62,,
1:36.0,N. Jokic makes free throw 2 of 2,1,49-62,,
1:26.0,,,49-62,,J. Huestis misses 2-pt shot at rim
1:26.0,Defensive rebound by J. Murray,,49-62,,
1:17.0,J. Murray misses 2-pt shot from 4 ft,,49-62,,
1:17.0,,,49-62,,Defensive rebound by R. Westbrook
1:12.0,,,49-62,,Turnover by T. Gibson (lost ball; steal by N. Jokic)
1:04.0,J. Hernangomez makes 2-pt shot at rim (assist by N. Jokic),2,51-62,,
0:52.0,,,51-62,,R. Westbrook misses 3-pt shot from 27 ft
0:50.0,,,51-62,,Offensive rebound by A. Abrines
0:50.0,,,51-62,,A. Abrines misses 2-pt shot from 1 ft
0:50.0,,,51-62,,Offensive rebound by A. Abrines
0:50.0,,,51-62,,A. Abrines misses 2-pt shot from 1 ft
0:49.0,,,51-62,,Offensive rebound by A. Abrines
0:49.0,,,51-64,2,A. Abrines makes 2-pt shot from 1 ft
0:41.0,J. Murray makes 3-pt shot from 24 ft,3,54-64,,
0:37.0,,,54-64,,Offensive foul by S. Adams
0:37.0,,,54-64,,Turnover by S. Adams (offensive foul)
0:30.0,J. Murray misses 2-pt shot from 18 ft,,54-64,,
0:29.0,,,54-64,,Defensive rebound by R. Westbrook
0:08.0,,,54-64,,Turnover by R. Westbrook (lost ball; steal by M. Beasley)
0:08.0,,,54-64,,Personal foul by R. Westbrook (drawn by M. Plumlee)
0:08.0,M. Plumlee makes free throw 1 of 2,1,55-64,,
0:08.0,M. Plumlee makes free throw 2 of 2,1,56-64,,
0:08.0,D. Arthur enters the game for N. Jokic,,55-64,,
0:00.0,,,56-64,,R. Westbrook misses 3-pt shot from 29 ft
0:00.0,,,56-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,56-66,2,D. Sabonis makes 2-pt shot from 2 ft (assist by V. Oladipo)
11:32.0,,,56-66,,Personal foul by S. Christon (drawn by J. Murray)
11:28.0,J. Murray makes 3-pt shot from 23 ft (assist by J. Hernangomez),3,59-66,,
11:10.0,,,59-68,2,V. Oladipo makes 2-pt shot from 20 ft
11:00.0,M. Beasley misses 2-pt shot from 15 ft,,59-68,,
11:00.0,,,59-68,,Defensive rebound by T. Gibson
10:54.0,,,59-68,,K. Singler misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by J. Hernangomez,,59-68,,
10:40.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,61-68,,
10:40.0,,,61-68,,Oklahoma City full timeout
10:25.0,Personal foul by M. Plumlee (drawn by D. Sabonis),,61-68,,
10:17.0,,,61-68,,V. Oladipo misses 2-pt shot from 11 ft
10:17.0,Defensive rebound by N. Jokic,,61-68,,
10:11.0,Turnover by J. Hernangomez (bad pass; steal by D. Sabonis),,61-68,,
9:59.0,,,61-70,2,T. Gibson makes 2-pt shot from 1 ft
9:38.0,N. Jokic makes 2-pt shot from 14 ft (assist by M. Beasley),2,63-70,,
9:21.0,,,63-70,,D. Sabonis misses 2-pt shot from 14 ft
9:20.0,Defensive rebound by N. Jokic,,63-70,,
9:10.0,M. Plumlee makes 2-pt shot at rim,2,65-70,,
8:57.0,,,65-70,,Shooting foul by M. Plumlee (drawn by T. Gibson)
8:57.0,,,65-71,1,T. Gibson makes free throw 1 of 2
8:57.0,,,65-72,1,T. Gibson makes free throw 2 of 2
8:41.0,J. Murray misses 3-pt shot from 24 ft,,65-72,,
8:41.0,,,65-72,,Defensive rebound by T. Gibson
8:41.0,Personal foul by N. Jokic (drawn by T. Gibson),,65-72,,
8:29.0,,,65-72,,D. Sabonis misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by J. Hernangomez,,65-72,,
8:11.0,M. Beasley misses 3-pt shot from 25 ft,,65-72,,
8:10.0,,,65-72,,Defensive rebound by V. Oladipo
8:00.0,,,65-72,,Shooting foul by M. Plumlee (drawn by T. Gibson)
8:00.0,,,65-72,,T. Gibson misses free throw 1 of 2
8:00.0,,,65-72,,Offensive rebound by Team
8:00.0,,,65-73,1,T. Gibson makes free throw 2 of 2
8:00.0,D. Arthur enters the game for M. Plumlee,,65-72,,
7:43.0,N. Jokic misses 2-pt shot at rim (block by T. Gibson),,65-73,,
7:42.0,,,65-73,,Defensive rebound by K. Singler
7:33.0,,,65-73,,D. Sabonis misses 2-pt shot from 1 ft
7:33.0,,,65-73,,Offensive rebound by T. Gibson
7:33.0,,,65-73,,T. Gibson misses 2-pt shot at rim
7:32.0,Defensive rebound by N. Jokic,,65-73,,
7:26.0,M. Beasley misses 2-pt shot at rim,,65-73,,
7:26.0,,,65-73,,Defensive rebound by K. Singler
7:09.0,,,65-75,2,K. Singler makes 2-pt shot from 2 ft
6:54.0,Turnover by N. Jokic (lost ball; steal by D. Sabonis),,65-75,,
6:47.0,,,65-75,,K. Singler misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by N. Jokic,,65-75,,
6:37.0,D. Arthur makes 3-pt shot from 23 ft (assist by N. Jokic),3,68-75,,
6:22.0,Shooting block foul by J. Hernangomez (drawn by K. Singler),,68-75,,
6:22.0,,,68-75,,K. Singler misses free throw 1 of 2
6:22.0,,,68-75,,Offensive rebound by Team
6:22.0,,,68-76,1,K. Singler makes free throw 2 of 2
6:22.0,,,68-75,,A. Abrines enters the game for V. Oladipo
6:02.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,70-76,,
6:02.0,Shooting foul by K. Singler (drawn by N. Jokic),,70-76,,
6:02.0,N. Jokic makes free throw 1 of 1,1,71-76,,
6:02.0,M. Miller enters the game for J. Hernangomez,,70-76,,
5:48.0,,,71-76,,D. Sabonis misses 2-pt shot from 2 ft (block by D. Arthur)
5:48.0,Defensive rebound by Team,,71-76,,
5:32.0,Shooting foul by D. Sabonis (drawn by N. Jokic),,71-76,,
5:32.0,N. Jokic makes free throw 1 of 2,1,72-76,,
5:32.0,N. Jokic makes free throw 2 of 2,1,73-76,,
5:20.0,,,73-78,2,T. Gibson makes 2-pt shot at rim
5:10.0,Shooting foul by D. Sabonis (drawn by N. Jokic),,73-78,,
5:10.0,N. Jokic makes free throw 1 of 2,1,74-78,,
5:10.0,N. Jokic makes free throw 2 of 2,1,75-78,,
5:10.0,,,74-78,,E. Kanter enters the game for D. Sabonis
4:53.0,,,75-78,,T. Gibson misses 2-pt shot from 1 ft
4:52.0,Defensive rebound by N. Jokic,,75-78,,
4:48.0,J. Murray misses 2-pt shot at rim (block by K. Singler),,75-78,,
4:48.0,Offensive rebound by Team,,75-78,,
4:37.0,J. Murray makes 2-pt shot from 12 ft,2,77-78,,
4:21.0,,,77-78,,A. Abrines misses 2-pt shot from 1 ft
4:20.0,,,77-78,,Offensive rebound by T. Gibson
4:20.0,,,77-78,,T. Gibson misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by D. Arthur,,77-78,,
4:16.0,J. Murray makes 3-pt shot from 24 ft (assist by M. Beasley),3,80-78,,
3:59.0,,,80-78,,Offensive foul by E. Kanter
3:59.0,,,80-78,,Turnover by E. Kanter (offensive foul)
3:59.0,,,80-78,,J. Grant enters the game for T. Gibson
3:59.0,,,80-78,,J. Huestis enters the game for K. Singler
3:46.0,M. Beasley makes 2-pt shot from 1 ft,2,82-78,,
3:46.0,,,82-78,,Oklahoma City full timeout
3:34.0,,,82-78,,A. Abrines misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by M. Miller,,82-78,,
3:19.0,Turnover by J. Murray (bad pass; steal by E. Kanter),,82-78,,
3:08.0,,,82-78,,S. Christon misses 3-pt shot from 24 ft
3:07.0,,,82-78,,Offensive rebound by J. Huestis
3:02.0,,,82-81,3,J. Grant makes 3-pt shot from 22 ft (assist by A. Abrines)
2:49.0,,,82-81,,Violation by J. Huestis (def goaltending)
2:49.0,D. Arthur makes 2-pt shot from 2 ft (assist by N. Jokic),2,84-81,,
2:36.0,,,84-81,,Turnover by A. Abrines (bad pass; steal by D. Arthur)
2:36.0,Denver full timeout,,84-81,,
2:36.0,,,84-81,,N. Cole enters the game for S. Christon
2:36.0,J. Hernangomez enters the game for M. Beasley,,84-81,,
2:21.0,J. Hernangomez misses 3-pt shot from 24 ft,,84-81,,
2:20.0,,,84-81,,Defensive rebound by J. Grant
2:10.0,,,84-83,2,N. Cole makes 2-pt shot from 15 ft
1:55.0,J. Murray misses 2-pt shot from 12 ft,,84-83,,
1:54.0,,,84-83,,Defensive rebound by A. Abrines
1:40.0,,,84-83,,A. Abrines misses 3-pt shot from 24 ft
1:40.0,,,84-83,,Offensive rebound by E. Kanter
1:39.0,,,84-83,,E. Kanter misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by D. Arthur,,84-83,,
1:27.0,D. Arthur misses 3-pt shot from 24 ft,,84-83,,
1:26.0,,,84-83,,Defensive rebound by J. Huestis
1:10.0,,,84-83,,N. Cole misses 2-pt shot from 17 ft
1:10.0,Defensive rebound by M. Miller,,84-83,,
1:01.0,N. Jokic misses 2-pt shot from 1 ft,,84-83,,
1:01.0,,,84-83,,Defensive rebound by Team
0:41.0,,,84-85,2,E. Kanter makes 2-pt shot from 4 ft
0:31.0,,,84-85,,Personal foul by N. Cole (drawn by D. Arthur)
0:31.0,D. Arthur makes free throw 1 of 2,1,85-85,,
0:31.0,D. Arthur makes free throw 2 of 2,1,86-85,,
0:19.0,,,86-85,,Turnover by E. Kanter (traveling)
0:03.0,J. Hernangomez misses 3-pt shot from 24 ft,,86-85,,
0:02.0,,,86-85,,Defensive rebound by N. Cole
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Plumlee makes 2-pt shot at rim (assist by M. Beasley),2,88-85,,
11:23.0,,,88-85,,N. Cole misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by M. Plumlee,,88-85,,
11:00.0,J. Hernangomez misses 3-pt shot from 24 ft,,88-85,,
11:00.0,,,88-85,,Defensive rebound by N. Cole
10:49.0,,,88-85,,Shooting foul by J. Hernangomez (drawn by J. Grant)
10:49.0,,,88-86,1,J. Grant makes free throw 1 of 2
10:49.0,,,88-87,1,J. Grant makes free throw 2 of 2
10:49.0,,,88-86,,V. Oladipo enters the game for A. Abrines
10:49.0,,,88-86,,D. Sabonis enters the game for E. Kanter
10:38.0,J. Hernangomez misses 3-pt shot from 24 ft,,88-87,,
10:37.0,,,88-87,,Defensive rebound by J. Huestis
10:26.0,,,88-87,,D. Sabonis misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by M. Miller,,88-87,,
10:06.0,D. Arthur misses 3-pt shot from 24 ft,,88-87,,
10:05.0,,,88-87,,Defensive rebound by V. Oladipo
10:02.0,,,88-87,,Turnover by V. Oladipo (bad pass; steal by D. Arthur)
9:56.0,J. Hernangomez makes 2-pt shot at rim (assist by M. Miller),2,90-87,,
9:41.0,,,90-89,2,V. Oladipo makes 2-pt shot from 16 ft
9:14.0,M. Plumlee misses 2-pt shot from 2 ft (block by V. Oladipo),,90-89,,
9:14.0,Offensive rebound by M. Plumlee,,90-89,,
9:14.0,Turnover by Team (shot clock),,90-89,,
8:59.0,,,90-89,,N. Cole misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by M. Miller,,90-89,,
8:38.0,Shooting foul by D. Sabonis (drawn by D. Arthur),,90-89,,
8:38.0,Official timeout,,90-89,,
8:38.0,D. Arthur makes free throw 1 of 2,1,91-89,,
8:38.0,D. Arthur makes free throw 2 of 2,1,92-89,,
8:38.0,,,90-89,,N. Collison enters the game for D. Sabonis
8:38.0,,,90-89,,K. Singler enters the game for V. Oladipo
8:17.0,N. Jokic enters the game for D. Arthur,,92-89,,
8:12.0,,,92-89,,J. Huestis misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by J. Hernangomez,,92-89,,
7:52.0,N. Jokic misses 2-pt shot from 14 ft,,92-89,,
7:52.0,,,92-89,,Defensive rebound by J. Grant
7:42.0,,,92-89,,J. Grant misses 2-pt shot from 15 ft
7:41.0,Defensive rebound by N. Jokic,,92-89,,
7:29.0,J. Hernangomez makes 3-pt shot from 22 ft (assist by M. Miller),3,95-89,,
7:16.0,,,95-89,,J. Huestis misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by N. Jokic,,95-89,,
