time,Orlando,pts.away,score,pts.home,Memphis
9:49.0,N. Vucevic makes free throw 1 of 1,1,35-35,,
9:49.0,E. Payton enters the game for D. Augustin,,34-35,,
9:32.0,,,35-35,,T. Williams misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by N. Vucevic,,35-35,,
9:22.0,Turnover by E. Payton (bad pass; steal by T. Williams),,35-35,,
9:16.0,,,35-35,,T. Williams misses 2-pt shot from 2 ft (block by N. Vucevic)
9:16.0,Defensive rebound by N. Vucevic,,35-35,,
9:16.0,,,35-35,,Personal foul by W. Baldwin (drawn by N. Vucevic)
8:58.0,N. Vucevic misses 2-pt shot from 6 ft,,35-35,,
8:56.0,,,35-35,,Defensive rebound by W. Baldwin
8:40.0,,,35-37,2,T. Daniels makes 2-pt shot from 16 ft
8:25.0,Turnover by B. Biyombo (lost ball),,35-37,,
8:25.0,,,35-37,,Memphis full timeout
8:25.0,,,35-37,,T. Allen enters the game for T. Williams
8:14.0,,,35-37,,Shooting foul by B. Biyombo (drawn by D. Davis)
8:14.0,,,35-38,1,D. Davis makes free throw 1 of 2
8:14.0,,,35-39,1,D. Davis makes free throw 2 of 2
7:51.0,J. Green misses 3-pt shot from 25 ft,,35-39,,
7:51.0,Offensive rebound by Team,,35-39,,
7:51.0,Turnover by Team (shot clock),,35-39,,
7:29.0,Personal foul by B. Biyombo (drawn by D. Davis),,35-39,,
7:18.0,,,35-39,,J. Martin misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by B. Biyombo,,35-39,,
6:58.0,J. Green misses 3-pt shot from 25 ft,,35-39,,
6:58.0,Offensive rebound by N. Vucevic,,35-39,,
6:58.0,,,35-39,,Loose ball foul by T. Daniels (drawn by N. Vucevic)
6:58.0,,,35-39,,A. Harrison enters the game for W. Baldwin
6:58.0,,,35-39,,M. Gasol enters the game for T. Daniels
6:58.0,,,35-39,,T. Williams enters the game for D. Davis
6:46.0,B. Biyombo misses 2-pt shot from 5 ft,,35-39,,
6:45.0,,,35-39,,Defensive rebound by J. Martin
6:37.0,,,35-39,,A. Harrison misses 2-pt shot from 8 ft
6:36.0,,,35-39,,Offensive rebound by J. Martin
6:36.0,,,35-41,2,J. Martin makes 2-pt shot from 2 ft
6:22.0,C. Watson misses 2-pt shot from 15 ft,,35-41,,
6:21.0,,,35-41,,Defensive rebound by A. Harrison
6:15.0,,,35-41,,J. Martin misses 2-pt shot from 3 ft (block by N. Vucevic)
6:13.0,Defensive rebound by B. Biyombo,,35-41,,
6:13.0,Turnover by B. Biyombo (lost ball; steal by T. Allen),,35-41,,
5:56.0,,,35-41,,J. Martin misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by B. Biyombo,,35-41,,
5:49.0,Turnover by J. Green (lost ball; steal by M. Gasol),,35-41,,
5:45.0,,,35-43,2,T. Williams makes 2-pt shot at rim (assist by M. Gasol)
5:45.0,Orlando full timeout,,35-43,,
5:45.0,,,35-43,,J. Green enters the game for J. Martin
5:45.0,S. Ibaka enters the game for N. Vucevic,,35-43,,
5:45.0,A. Gordon enters the game for J. Green,,35-43,,
5:45.0,E. Fournier enters the game for C. Watson,,35-43,,
5:32.0,B. Biyombo misses 2-pt shot from 4 ft (block by M. Gasol),,35-43,,
5:27.0,,,35-43,,Defensive rebound by J. Green
5:12.0,,,35-43,,A. Harrison misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by A. Gordon,,35-43,,
5:05.0,S. Ibaka misses 3-pt shot from 26 ft,,35-43,,
5:02.0,,,35-43,,Defensive rebound by T. Williams
4:47.0,,,35-43,,M. Gasol misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by E. Payton,,35-43,,
4:42.0,Shooting foul by T. Williams (drawn by A. Gordon),,35-43,,
4:42.0,A. Gordon misses free throw 1 of 2,,35-43,,
4:42.0,Offensive rebound by Team,,35-43,,
4:42.0,A. Gordon makes free throw 2 of 2,1,36-43,,
4:27.0,,,36-43,,Shooting foul by S. Ibaka (drawn by A. Harrison)
4:27.0,,,36-43,,A. Harrison misses free throw 1 of 2
4:27.0,,,36-43,,Offensive rebound by Team
4:27.0,,,36-44,1,A. Harrison makes free throw 2 of 2
4:16.0,E. Payton misses 2-pt shot from 20 ft,,36-44,,
4:16.0,,,36-44,,Defensive rebound by T. Allen
4:05.0,,,36-44,,T. Williams misses 2-pt shot from 22 ft
4:03.0,Defensive rebound by B. Biyombo,,36-44,,
3:57.0,,,36-44,,Personal foul by J. Green (drawn by S. Ibaka)
3:57.0,S. Ibaka makes free throw 1 of 2,1,37-44,,
3:57.0,S. Ibaka makes free throw 2 of 2,1,38-44,,
3:41.0,,,38-44,,Turnover by M. Gasol (lost ball; steal by E. Payton)
3:41.0,,,38-44,,Personal foul by M. Gasol (drawn by E. Payton)
3:41.0,E. Payton misses free throw 1 of 2,,38-44,,
3:41.0,Offensive rebound by Team,,38-44,,
3:41.0,E. Payton makes free throw 2 of 2,1,39-44,,
3:41.0,,,38-44,,T. Daniels enters the game for T. Williams
3:35.0,,,39-44,,Turnover by A. Harrison (bad pass; steal by E. Payton)
3:32.0,,,39-44,,Violation by A. Harrison (def goaltending)
3:32.0,E. Payton makes 2-pt shot from 1 ft,2,41-44,,
3:17.0,,,41-44,,Turnover by A. Harrison (offensive foul)
3:17.0,,,41-44,,Offensive foul by A. Harrison
3:04.0,E. Payton misses 2-pt shot from 9 ft,,41-44,,
3:02.0,,,41-44,,Defensive rebound by M. Gasol
2:53.0,,,41-44,,M. Gasol misses 2-pt shot from 7 ft
2:50.0,Defensive rebound by S. Ibaka,,41-44,,
2:45.0,E. Fournier makes 2-pt shot from 8 ft,2,43-44,,
2:45.0,Shooting foul by A. Harrison (drawn by E. Fournier),,43-44,,
2:45.0,,,43-44,,Memphis full timeout
2:45.0,E. Fournier makes free throw 1 of 1,1,44-44,,
2:34.0,,,44-46,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
2:17.0,S. Ibaka makes 2-pt shot from 15 ft (assist by E. Payton),2,46-46,,
2:00.0,,,46-48,2,M. Gasol makes 2-pt shot from 8 ft (assist by A. Harrison)
1:36.0,,,46-48,,Personal foul by J. Green (drawn by A. Gordon)
1:36.0,A. Gordon makes free throw 1 of 2,1,47-48,,
1:36.0,A. Gordon misses free throw 2 of 2,,47-48,,
1:36.0,N. Vucevic enters the game for B. Biyombo,,47-48,,
1:36.0,,,47-48,,J. Martin enters the game for J. Green
1:34.0,,,47-48,,Defensive rebound by T. Allen
1:21.0,,,47-50,2,M. Gasol makes 2-pt shot from 20 ft
1:07.0,Turnover by E. Payton (bad pass),,47-50,,
1:07.0,D. Augustin enters the game for E. Payton,,47-50,,
0:56.0,Personal foul by E. Fournier (drawn by M. Gasol),,47-50,,
0:51.0,,,47-50,,T. Daniels misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by N. Vucevic,,47-50,,
0:43.0,Turnover by E. Fournier (step out of bounds),,47-50,,
0:32.0,,,47-50,,J. Martin misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by Team,,47-50,,
0:32.0,Orlando full timeout,,47-50,,
0:32.0,,,47-50,,T. Williams enters the game for T. Daniels
0:15.0,S. Ibaka misses 3-pt shot from 25 ft,,47-50,,
0:12.0,Offensive rebound by Team,,47-50,,
0:03.0,E. Fournier makes 2-pt shot from 2 ft,2,49-50,,
0:00.0,,,49-50,,T. Williams misses 3-pt shot from 44 ft
0:00.0,,,49-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Personal foul by S. Ibaka (drawn by J. Green),,49-50,,
11:37.0,,,49-50,,Turnover by T. Allen (lost ball; steal by D. Augustin)
11:35.0,,,49-50,,Clear path foul by A. Harrison
11:35.0,D. Augustin misses clear path free throw 1 of 2,,49-50,,
11:35.0,Offensive rebound by Team,,49-50,,
11:35.0,D. Augustin makes clear path free throw 2 of 2,1,50-50,,
11:17.0,Turnover by B. Biyombo (traveling),,50-50,,
11:04.0,Personal foul by D. Augustin (drawn by A. Harrison),,50-50,,
10:54.0,,,50-50,,Turnover by M. Gasol (traveling)
10:40.0,S. Ibaka misses 3-pt shot from 25 ft,,50-50,,
10:39.0,,,50-50,,Defensive rebound by A. Harrison
10:29.0,,,50-50,,T. Allen misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by B. Biyombo,,50-50,,
10:23.0,E. Fournier misses 3-pt shot from 25 ft,,50-50,,
10:20.0,Offensive rebound by S. Ibaka,,50-50,,
10:12.0,E. Fournier misses 2-pt shot from 2 ft,,50-50,,
10:12.0,Offensive rebound by B. Biyombo,,50-50,,
10:12.0,,,50-50,,Loose ball foul by J. Green (drawn by B. Biyombo)
9:57.0,D. Augustin misses 2-pt shot from 18 ft,,50-50,,
9:56.0,,,50-50,,Defensive rebound by J. Green
9:48.0,,,50-50,,Shooting foul by D. Augustin (drawn by A. Harrison)
9:48.0,,,50-50,,A. Harrison misses free throw 1 of 2
9:48.0,,,50-50,,Offensive rebound by Team
9:48.0,,,50-50,,A. Harrison misses free throw 2 of 2
9:47.0,Defensive rebound by B. Biyombo,,50-50,,
9:38.0,D. Augustin misses 3-pt shot from 26 ft,,50-50,,
9:37.0,,,50-50,,Defensive rebound by M. Gasol
9:30.0,,,50-50,,Shooting foul by D. Augustin (drawn by M. Gasol)
9:30.0,,,50-51,1,M. Gasol makes free throw 1 of 2
9:30.0,,,50-52,1,M. Gasol makes free throw 2 of 2
9:30.0,E. Payton enters the game for D. Augustin,,50-51,,
9:08.0,E. Fournier makes 2-pt shot from 9 ft,2,52-52,,
8:49.0,,,52-52,,A. Harrison misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by B. Biyombo,,52-52,,
8:36.0,A. Gordon misses 3-pt shot from 24 ft,,52-52,,
8:36.0,,,52-52,,Defensive rebound by T. Williams
8:18.0,,,52-52,,T. Allen misses 2-pt shot from 2 ft
8:15.0,,,52-52,,Offensive rebound by T. Allen
8:15.0,,,52-52,,T. Allen misses 2-pt shot from 2 ft (block by S. Ibaka)
8:13.0,Defensive rebound by B. Biyombo,,52-52,,
8:09.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,54-52,,
7:46.0,,,54-52,,A. Harrison misses 2-pt shot from 3 ft (block by S. Ibaka)
7:44.0,,,54-52,,Offensive rebound by T. Allen
7:44.0,,,54-52,,Memphis full timeout
7:41.0,,,54-52,,M. Gasol misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by S. Ibaka,,54-52,,
7:25.0,Shooting foul by J. Green (drawn by S. Ibaka),,54-52,,
7:25.0,S. Ibaka misses free throw 1 of 2,,54-52,,
7:25.0,Offensive rebound by Team,,54-52,,
7:25.0,S. Ibaka makes free throw 2 of 2,1,55-52,,
7:25.0,,,54-52,,J. Martin enters the game for J. Green
7:06.0,,,55-52,,M. Gasol misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by S. Ibaka,,55-52,,
6:48.0,S. Ibaka makes 2-pt shot from 5 ft,2,57-52,,
6:31.0,,,57-54,2,M. Gasol makes 2-pt shot from 3 ft
6:07.0,E. Fournier makes 2-pt shot from 21 ft,2,59-54,,
5:42.0,,,59-54,,T. Williams misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by S. Ibaka,,59-54,,
5:37.0,,,59-54,,Flagrant foul type 1 by M. Gasol (drawn by B. Biyombo)
5:37.0,Technical foul by Team,,59-54,,
5:37.0,,,59-55,1,M. Gasol makes technical free throw
5:37.0,B. Biyombo makes flagrant free throw 1 of 2,1,60-55,,
5:37.0,B. Biyombo misses flagrant free throw 2 of 2,,60-55,,
5:37.0,Offensive rebound by Team,,60-55,,
5:37.0,,,60-55,,T. Daniels enters the game for T. Allen
5:37.0,N. Vucevic enters the game for B. Biyombo,,60-55,,
5:29.0,E. Fournier misses 3-pt shot from 25 ft,,60-55,,
5:28.0,,,60-55,,Defensive rebound by A. Harrison
5:10.0,,,60-55,,Shooting foul by N. Vucevic (drawn by A. Harrison)
5:10.0,,,60-56,1,A. Harrison makes free throw 1 of 2
5:10.0,,,60-57,1,A. Harrison makes free throw 2 of 2
4:59.0,,,60-57,,Personal foul by J. Martin (drawn by E. Fournier)
4:59.0,E. Fournier makes free throw 1 of 2,1,61-57,,
4:59.0,E. Fournier makes free throw 2 of 2,1,62-57,,
4:47.0,,,62-59,2,T. Daniels makes 2-pt shot from 12 ft (assist by T. Williams)
4:28.0,N. Vucevic misses 2-pt shot from 18 ft,,62-59,,
4:28.0,,,62-59,,Defensive rebound by J. Martin
4:19.0,,,62-59,,T. Daniels misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by A. Gordon,,62-59,,
4:10.0,A. Gordon makes 2-pt shot from 3 ft,2,64-59,,
3:47.0,,,64-59,,M. Gasol misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by S. Ibaka,,64-59,,
3:41.0,E. Payton misses 2-pt shot from 3 ft (block by T. Williams),,64-59,,
3:41.0,Offensive rebound by Team,,64-59,,
3:41.0,J. Green enters the game for A. Gordon,,64-59,,
3:41.0,,,64-59,,W. Baldwin enters the game for A. Harrison
3:41.0,,,64-59,,D. Davis enters the game for M. Gasol
3:29.0,S. Ibaka misses 2-pt shot from 6 ft,,64-59,,
3:27.0,,,64-59,,Defensive rebound by J. Martin
3:07.0,,,64-62,3,T. Daniels makes 3-pt shot from 25 ft
2:45.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,66-62,,
2:27.0,Personal foul by J. Green (drawn by T. Daniels),,66-62,,
2:27.0,Orlando full timeout,,66-62,,
2:27.0,,,66-62,,T. Daniels misses free throw 1 of 2
2:27.0,,,66-62,,Offensive rebound by Team
2:27.0,,,66-63,1,T. Daniels makes free throw 2 of 2
2:09.0,E. Payton misses 3-pt shot from 24 ft,,66-63,,
2:09.0,,,66-63,,Defensive rebound by J. Martin
1:51.0,,,66-63,,J. Martin misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by J. Green,,66-63,,
1:45.0,,,66-63,,Personal foul by D. Davis (drawn by N. Vucevic)
1:45.0,N. Vucevic makes free throw 1 of 2,1,67-63,,
1:45.0,N. Vucevic makes free throw 2 of 2,1,68-63,,
1:25.0,,,68-65,2,D. Davis makes 2-pt shot from 5 ft
1:06.0,S. Ibaka misses 2-pt shot from 19 ft,,68-65,,
1:06.0,,,68-65,,Defensive rebound by T. Daniels
0:47.0,,,68-65,,T. Williams misses 2-pt shot from 2 ft (block by S. Ibaka)
0:47.0,,,68-65,,Offensive rebound by Team
0:47.0,B. Biyombo enters the game for S. Ibaka,,68-65,,
0:43.0,,,68-65,,W. Baldwin misses 3-pt shot from 25 ft
0:42.0,,,68-65,,Offensive rebound by D. Davis
0:29.0,,,68-65,,W. Baldwin misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by N. Vucevic,,68-65,,
0:05.0,N. Vucevic misses 3-pt shot from 25 ft,,68-65,,
0:04.0,,,68-65,,Defensive rebound by J. Martin
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by J. Martin (drawn by J. Green),,68-65,,
11:49.0,J. Green makes free throw 1 of 2,1,69-65,,
11:49.0,J. Green makes free throw 2 of 2,1,70-65,,
11:26.0,,,70-65,,T. Williams misses 2-pt shot from 20 ft
11:25.0,Defensive rebound by Team,,70-65,,
11:07.0,C. Watson misses 3-pt shot from 22 ft,,70-65,,
11:06.0,,,70-65,,Defensive rebound by D. Davis
10:53.0,,,70-65,,Memphis full timeout
10:41.0,,,70-65,,Shooting foul by B. Biyombo (drawn by W. Baldwin)
10:41.0,,,70-66,1,W. Baldwin makes free throw 1 of 2
10:41.0,,,70-67,1,W. Baldwin makes free throw 2 of 2
10:25.0,J. Green makes 2-pt shot from 11 ft,2,72-67,,
10:06.0,,,72-67,,Turnover by T. Williams (bad pass; steal by C. Watson)
9:56.0,J. Green misses 3-pt shot from 23 ft,,72-67,,
9:55.0,,,72-67,,Defensive rebound by J. Martin
9:46.0,,,72-67,,J. Martin misses 2-pt shot from 3 ft (block by B. Biyombo)
9:42.0,Defensive rebound by E. Payton,,72-67,,
9:38.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,74-67,,
9:18.0,,,74-67,,W. Baldwin misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by J. Green,,74-67,,
9:11.0,C. Watson misses 3-pt shot from 24 ft,,74-67,,
9:08.0,Offensive rebound by B. Biyombo,,74-67,,
9:07.0,Turnover by B. Biyombo (bad pass; steal by T. Williams),,74-67,,
9:00.0,,,74-67,,Offensive foul by D. Davis
9:00.0,,,74-67,,Turnover by D. Davis (offensive foul)
9:00.0,,,74-67,,J. Green enters the game for D. Davis
9:00.0,D. Augustin enters the game for E. Payton,,74-67,,
8:41.0,J. Green makes 2-pt shot from 14 ft,2,76-67,,
8:18.0,,,76-69,2,W. Baldwin makes 2-pt shot from 12 ft
7:53.0,N. Vucevic makes 3-pt shot from 25 ft (assist by C. Watson),3,79-69,,
7:36.0,,,79-69,,T. Williams misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by N. Vucevic,,79-69,,
7:23.0,,,79-69,,Def 3 sec tech foul by W. Baldwin
7:23.0,C. Watson misses technical free throw,,79-69,,
7:23.0,Offensive rebound by Team,,79-69,,
7:23.0,,,79-69,,A. Harrison enters the game for W. Baldwin
7:23.0,,,79-69,,M. Gasol enters the game for T. Williams
7:11.0,N. Vucevic misses 2-pt shot from 11 ft,,79-69,,
7:11.0,Offensive rebound by Team,,79-69,,
7:04.0,J. Green makes 2-pt shot from 22 ft (assist by D. Augustin),2,81-69,,
6:50.0,,,81-71,2,M. Gasol makes 2-pt shot from 15 ft (assist by A. Harrison)
6:36.0,Shooting foul by J. Martin (drawn by J. Green),,81-71,,
6:36.0,J. Green makes 2-pt shot from 16 ft,2,83-71,,
6:36.0,J. Green makes free throw 1 of 1,1,84-71,,
6:22.0,,,84-71,,Offensive foul by M. Gasol
6:22.0,,,84-71,,Turnover by M. Gasol (offensive foul)
6:12.0,Shooting foul by J. Green (drawn by J. Green),,84-71,,
6:12.0,J. Green makes free throw 1 of 2,1,85-71,,
6:12.0,J. Green misses free throw 2 of 2,,85-71,,
6:12.0,E. Fournier enters the game for C. Watson,,85-71,,
6:12.0,,,85-71,,T. Allen enters the game for J. Martin
6:11.0,,,85-71,,Defensive rebound by J. Green
6:02.0,,,85-71,,Shooting foul by B. Biyombo (drawn by T. Daniels)
6:02.0,,,85-72,1,T. Daniels makes free throw 1 of 3
6:02.0,,,85-73,1,T. Daniels makes free throw 2 of 3
6:02.0,,,85-74,1,T. Daniels makes free throw 3 of 3
5:52.0,Turnover by E. Fournier (bad pass; steal by T. Allen),,85-74,,
5:42.0,,,85-76,2,T. Allen makes 2-pt shot from 4 ft (assist by A. Harrison)
5:27.0,Turnover by D. Augustin (bad pass; steal by J. Green),,85-76,,
5:22.0,,,85-78,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Daniels)
5:22.0,Orlando full timeout,,85-78,,
5:22.0,E. Payton enters the game for D. Augustin,,85-78,,
5:14.0,Turnover by N. Vucevic (bad pass),,85-78,,
4:50.0,,,85-78,,T. Allen misses 3-pt shot from 23 ft
4:49.0,,,85-78,,Offensive rebound by T. Allen
4:46.0,,,85-78,,T. Allen misses 2-pt shot from 2 ft
4:46.0,Defensive rebound by N. Vucevic,,85-78,,
4:28.0,E. Payton misses 2-pt shot from 2 ft (block by M. Gasol),,85-78,,
4:27.0,,,85-78,,Defensive rebound by T. Daniels
4:27.0,S. Ibaka enters the game for N. Vucevic,,85-78,,
