time,LA Clippers,pts.away,score,pts.home,Brooklyn
4:28.0,Defensive rebound by D. Jordan,,17-11,,
4:10.0,C. Paul misses 3-pt shot from 25 ft,,17-11,,
4:09.0,Offensive rebound by Team,,17-11,,
4:09.0,,,17-11,,Loose ball foul by J. Harris (drawn by D. Jordan)
4:09.0,W. Johnson enters the game for P. Pierce,,17-11,,
4:09.0,,,17-11,,R. Foye enters the game for S. Kilpatrick
4:01.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,19-11,,
3:52.0,,,19-11,,I. Whitehead misses 2-pt shot from 2 ft (block by D. Jordan)
3:51.0,,,19-11,,Offensive rebound by Team
3:51.0,J. Crawford enters the game for L. Mbah a Moute,,19-11,,
3:45.0,,,19-11,,T. Booker misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by C. Paul,,19-11,,
3:38.0,Turnover by J. Redick (lost ball; steal by J. Harris),,19-11,,
3:38.0,Personal foul by D. Jordan (drawn by J. Harris),,19-11,,
3:27.0,,,19-13,2,T. Booker makes 2-pt shot from 2 ft (assist by I. Whitehead)
3:27.0,,,19-13,,Shooting foul by W. Johnson (drawn by T. Booker)
3:27.0,,,19-14,1,T. Booker makes free throw 1 of 1
3:07.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,22-14,,
2:49.0,,,22-14,,J. Harris misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by D. Jordan,,22-14,,
2:45.0,Turnover by D. Jordan (bad pass; steal by T. Booker),,22-14,,
2:43.0,,,22-16,2,T. Booker makes 2-pt shot from 1 ft
2:39.0,Turnover by D. Jordan (lost ball; steal by T. Booker),,22-16,,
2:38.0,Violation by D. Jordan (kicked ball),,22-16,,
2:38.0,LA Clippers full timeout,,22-16,,
2:38.0,A. Rivers enters the game for J. Redick,,22-16,,
2:38.0,,,22-16,,B. Lopez enters the game for T. Booker
2:38.0,,,22-16,,B. Bogdanovic enters the game for I. Whitehead
2:28.0,,,22-16,,B. Lopez misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by D. Jordan,,22-16,,
2:17.0,W. Johnson misses 3-pt shot from 25 ft,,22-16,,
2:15.0,,,22-16,,Defensive rebound by R. Foye
2:09.0,Personal foul by W. Johnson (drawn by J. Hamilton),,22-16,,
2:03.0,,,22-18,2,J. Harris makes 2-pt shot from 19 ft (assist by J. Hamilton)
1:49.0,C. Paul makes 2-pt shot from 3 ft,2,24-18,,
1:33.0,,,24-20,2,B. Lopez makes 2-pt shot from 13 ft (assist by R. Foye)
1:16.0,C. Paul makes 2-pt shot from 8 ft,2,26-20,,
1:04.0,Personal foul by W. Johnson (drawn by J. Hamilton),,26-20,,
1:04.0,R. Felton enters the game for C. Paul,,26-20,,
1:04.0,M. Speights enters the game for D. Jordan,,26-20,,
1:04.0,B. Bass enters the game for W. Johnson,,26-20,,
0:58.0,,,26-20,,J. Harris misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by B. Bass,,26-20,,
0:41.0,,,26-20,,Shooting block foul by J. Hamilton (drawn by M. Speights)
0:41.0,M. Speights makes free throw 1 of 2,1,27-20,,
0:41.0,M. Speights makes free throw 2 of 2,1,28-20,,
0:25.0,,,28-22,2,J. Hamilton makes 2-pt shot from 3 ft
0:04.0,Turnover by B. Bass (lost ball; steal by J. Harris),,28-22,,
0:02.0,,,28-22,,R. Foye misses 2-pt shot from 3 ft
0:01.0,,,28-22,,Offensive rebound by J. Harris
0:00.0,,,28-24,2,J. Harris makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Rivers makes 2-pt shot from 11 ft,2,30-24,,
11:37.0,,,30-26,2,S. Kilpatrick makes 2-pt shot from 14 ft (assist by J. Hamilton)
11:19.0,A. Rivers makes 2-pt shot from 13 ft,2,32-26,,
11:03.0,,,32-26,,B. Bogdanovic misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by M. Speights,,32-26,,
10:58.0,Shooting foul by B. Bogdanovic (drawn by J. Crawford),,32-26,,
10:58.0,J. Crawford makes free throw 1 of 2,1,33-26,,
10:58.0,J. Crawford makes free throw 2 of 2,1,34-26,,
10:37.0,,,34-26,,B. Bogdanovic misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by M. Speights,,34-26,,
10:23.0,M. Speights misses 3-pt shot from 24 ft,,34-26,,
10:22.0,,,34-26,,Defensive rebound by S. Kilpatrick
10:12.0,,,34-26,,S. Kilpatrick misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by R. Felton,,34-26,,
10:04.0,R. Felton makes 2-pt shot from 2 ft,2,36-26,,
9:51.0,Shooting block foul by M. Speights (drawn by B. Bogdanovic),,36-26,,
9:51.0,,,36-27,1,B. Bogdanovic makes free throw 1 of 2
9:51.0,,,36-28,1,B. Bogdanovic makes free throw 2 of 2
9:40.0,A. Rivers misses 3-pt shot from 26 ft,,36-28,,
9:38.0,,,36-28,,Defensive rebound by J. Hamilton
9:31.0,Shooting block foul by A. Rivers (drawn by B. Bogdanovic),,36-28,,
9:31.0,,,36-29,1,B. Bogdanovic makes free throw 1 of 2
9:31.0,,,36-29,,B. Bogdanovic misses free throw 2 of 2
9:30.0,Defensive rebound by M. Speights,,36-29,,
9:17.0,R. Felton makes 3-pt shot from 26 ft (assist by A. Rivers),3,39-29,,
9:15.0,,,39-29,,Brooklyn full timeout
9:08.0,Personal block foul by R. Felton (drawn by I. Whitehead),,39-29,,
8:58.0,,,39-31,2,L. Scola makes 2-pt shot from 3 ft (assist by I. Whitehead)
8:38.0,R. Felton misses 3-pt shot from 25 ft,,39-31,,
8:37.0,,,39-31,,Defensive rebound by S. Kilpatrick
8:33.0,,,39-31,,Shooting foul by R. Felton (drawn by L. Scola)
8:33.0,,,39-31,,L. Scola misses free throw 1 of 2
8:33.0,,,39-31,,Offensive rebound by Team
8:33.0,,,39-31,,L. Scola misses free throw 2 of 2
8:32.0,Defensive rebound by M. Speights,,39-31,,
8:15.0,B. Bass makes 2-pt shot from 12 ft (assist by J. Crawford),2,41-31,,
8:02.0,,,41-31,,S. Kilpatrick misses 2-pt shot from 7 ft
8:01.0,Defensive rebound by R. Felton,,41-31,,
7:54.0,J. Crawford makes 2-pt shot from 19 ft,2,43-31,,
7:39.0,,,43-33,2,B. Bogdanovic makes 2-pt shot from 13 ft
7:25.0,,,43-33,,R. Foye enters the game for S. Kilpatrick
7:20.0,,,43-33,,Shooting block foul by L. Scola (drawn by A. Rivers)
7:20.0,A. Rivers makes free throw 1 of 2,1,44-33,,
7:20.0,A. Rivers misses free throw 2 of 2,,44-33,,
7:19.0,,,44-33,,Defensive rebound by J. Hamilton
7:06.0,,,44-33,,Shooting foul by R. Felton (drawn by B. Bogdanovic)
7:06.0,,,44-34,1,B. Bogdanovic makes free throw 1 of 2
7:06.0,,,44-35,1,B. Bogdanovic makes free throw 2 of 2
7:06.0,C. Paul enters the game for R. Felton,,44-34,,
6:54.0,J. Crawford misses 2-pt shot from 15 ft,,44-35,,
6:53.0,,,44-35,,Defensive rebound by L. Scola
6:42.0,,,44-35,,L. Scola misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by B. Bass,,44-35,,
6:21.0,Offensive charge foul by M. Speights,,44-35,,
6:21.0,Turnover by M. Speights (offensive foul),,44-35,,
6:21.0,D. Jordan enters the game for B. Bass,,44-35,,
6:21.0,,,44-35,,B. Lopez enters the game for L. Scola
6:21.0,,,44-35,,T. Booker enters the game for J. Hamilton
6:21.0,J. Redick enters the game for A. Rivers,,44-35,,
6:10.0,,,44-35,,I. Whitehead misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by J. Crawford,,44-35,,
5:57.0,,,44-35,,Personal foul by T. Booker (drawn by M. Speights)
5:57.0,Official timeout,,44-35,,
5:57.0,,,44-35,,J. Harris enters the game for I. Whitehead
5:53.0,M. Speights misses 2-pt shot at rim (block by B. Lopez),,44-35,,
5:51.0,,,44-35,,Defensive rebound by B. Bogdanovic
5:48.0,,,44-35,,Shooting foul by J. Redick (drawn by B. Bogdanovic)
5:48.0,,,44-36,1,B. Bogdanovic makes free throw 1 of 2
5:48.0,,,44-37,1,B. Bogdanovic makes free throw 2 of 2
5:36.0,J. Crawford misses 2-pt shot from 18 ft,,44-37,,
5:35.0,Offensive rebound by M. Speights,,44-37,,
5:34.0,,,44-37,,Personal foul by T. Booker (drawn by M. Speights)
5:34.0,M. Speights makes free throw 1 of 2,1,45-37,,
5:34.0,M. Speights makes free throw 2 of 2,1,46-37,,
5:34.0,,,45-37,,J. Hamilton enters the game for T. Booker
5:23.0,,,46-39,2,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic)
5:03.0,J. Crawford makes 2-pt shot from 19 ft,2,48-39,,
4:45.0,,,48-39,,B. Lopez misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by Team,,48-39,,
4:43.0,P. Pierce enters the game for M. Speights,,48-39,,
4:43.0,,,48-39,,S. Kilpatrick enters the game for B. Bogdanovic
4:31.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,50-39,,
4:14.0,,,50-39,,J. Hamilton misses 3-pt shot from 24 ft
4:13.0,,,50-39,,Offensive rebound by B. Lopez
4:12.0,,,50-41,2,B. Lopez makes 2-pt shot at rim
3:58.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,52-41,,
3:46.0,,,52-41,,J. Hamilton misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by J. Crawford,,52-41,,
3:39.0,C. Paul misses 2-pt shot from 3 ft,,52-41,,
3:38.0,Offensive rebound by D. Jordan,,52-41,,
3:37.0,D. Jordan misses 2-pt shot from 2 ft,,52-41,,
3:36.0,Offensive rebound by D. Jordan,,52-41,,
3:35.0,D. Jordan makes 2-pt shot from 2 ft,2,54-41,,
3:34.0,,,54-41,,Brooklyn full timeout
3:34.0,A. Rivers enters the game for J. Crawford,,54-41,,
3:17.0,,,54-41,,Shooting foul by D. Jordan (drawn by B. Lopez)
3:17.0,,,54-43,2,B. Lopez makes 2-pt shot from 1 ft
3:17.0,,,54-44,1,B. Lopez makes free throw 1 of 1
3:04.0,Turnover by P. Pierce (bad pass; steal by R. Foye),,54-44,,
3:00.0,,,54-44,,R. Foye misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by Team,,54-44,,
2:51.0,C. Paul misses 2-pt shot from 15 ft,,54-44,,
2:50.0,,,54-44,,Defensive rebound by R. Foye
2:43.0,Personal foul by P. Pierce (drawn by J. Hamilton),,54-44,,
2:43.0,LA Clippers full timeout,,54-44,,
2:43.0,,,54-44,,J. Hamilton misses free throw 1 of 2
2:43.0,,,54-44,,Offensive rebound by Team
2:43.0,,,54-45,1,J. Hamilton makes free throw 2 of 2
2:41.0,,,54-45,,Personal take foul by B. Lopez (drawn by D. Jordan)
2:41.0,D. Jordan makes free throw 1 of 2,1,55-45,,
2:41.0,D. Jordan makes free throw 2 of 2,1,56-45,,
2:25.0,,,56-45,,S. Kilpatrick misses 2-pt shot from 10 ft
2:24.0,Defensive rebound by D. Jordan,,56-45,,
2:19.0,P. Pierce misses 3-pt shot from 24 ft,,56-45,,
2:17.0,,,56-45,,Defensive rebound by R. Foye
2:09.0,,,56-48,3,R. Foye makes 3-pt shot from 25 ft
1:44.0,J. Redick misses 3-pt shot from 27 ft,,56-48,,
1:42.0,,,56-48,,Defensive rebound by R. Foye
1:35.0,,,56-48,,R. Foye misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by J. Redick,,56-48,,
1:22.0,P. Pierce misses 2-pt shot from 3 ft (block by J. Hamilton),,56-48,,
1:21.0,Offensive rebound by Team,,56-48,,
1:16.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,58-48,,
1:02.0,,,58-48,,Turnover by S. Kilpatrick (bad pass; steal by C. Paul)
1:00.0,Shooting foul by R. Foye (drawn by P. Pierce),,58-48,,
1:00.0,P. Pierce makes free throw 1 of 2,1,59-48,,
1:00.0,P. Pierce makes free throw 2 of 2,1,60-48,,
0:50.0,,,60-50,2,S. Kilpatrick makes 2-pt shot from 2 ft
0:42.0,C. Paul makes 2-pt shot from 2 ft,2,62-50,,
0:31.0,,,62-50,,J. Hamilton misses 3-pt shot from 24 ft
0:30.0,,,62-50,,Offensive rebound by R. Foye
0:28.0,,,62-53,3,J. Hamilton makes 3-pt shot from 25 ft (assist by R. Foye)
0:06.0,C. Paul makes 3-pt shot from 25 ft,3,65-53,,
0:01.0,,,65-53,,J. Harris misses 3-pt shot from 26 ft
0:00.0,,,65-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,65-53,,Personal foul by B. Bogdanovic (drawn by J. Redick)
11:41.0,J. Redick misses 3-pt shot from 25 ft,,65-53,,
11:40.0,,,65-53,,Defensive rebound by T. Booker
11:30.0,,,65-53,,S. Kilpatrick misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by D. Jordan,,65-53,,
11:21.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,65-53,,
11:20.0,,,65-53,,Defensive rebound by S. Kilpatrick
11:05.0,,,65-55,2,B. Lopez makes 2-pt shot from 14 ft
10:52.0,J. Redick misses 2-pt shot from 2 ft,,65-55,,
10:51.0,,,65-55,,Defensive rebound by B. Bogdanovic
10:38.0,,,65-57,2,T. Booker makes 2-pt shot from 6 ft
10:16.0,D. Jordan misses 2-pt shot from 8 ft,,65-57,,
10:15.0,,,65-57,,Defensive rebound by B. Lopez
10:09.0,,,65-57,,B. Bogdanovic misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by D. Jordan,,65-57,,
9:57.0,C. Paul misses 2-pt shot from 18 ft,,65-57,,
9:56.0,,,65-57,,Defensive rebound by I. Whitehead
9:42.0,,,65-57,,S. Kilpatrick misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by L. Mbah a Moute,,65-57,,
9:37.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,67-57,,
9:36.0,,,67-57,,Brooklyn full timeout
9:15.0,,,67-57,,S. Kilpatrick misses 2-pt shot from 1 ft
9:13.0,,,67-57,,Offensive rebound by B. Lopez
9:12.0,,,67-59,2,B. Lopez makes 2-pt shot from 2 ft
8:55.0,D. Jordan misses 2-pt shot from 1 ft,,67-59,,
8:53.0,,,67-59,,Defensive rebound by B. Bogdanovic
8:50.0,,,67-59,,S. Kilpatrick misses 2-pt shot from 3 ft (block by C. Paul)
8:49.0,,,67-59,,Offensive rebound by Team
8:43.0,,,67-59,,Turnover by B. Bogdanovic (bad pass; steal by P. Pierce)
8:22.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,69-59,,
8:07.0,,,69-59,,B. Lopez misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by L. Mbah a Moute,,69-59,,
7:54.0,C. Paul misses 2-pt shot from 13 ft,,69-59,,
7:53.0,,,69-59,,Defensive rebound by T. Booker
7:48.0,,,69-59,,T. Booker misses 2-pt shot from 7 ft
7:47.0,Defensive rebound by D. Jordan,,69-59,,
7:32.0,,,69-59,,Personal foul by S. Kilpatrick (drawn by P. Pierce)
7:32.0,,,69-59,,J. Hamilton enters the game for B. Lopez
7:21.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,69-59,,
7:20.0,,,69-59,,Defensive rebound by Team
7:20.0,Loose ball foul by P. Pierce (drawn by J. Hamilton),,69-59,,
7:12.0,Personal foul by J. Redick (drawn by T. Booker),,69-59,,
7:00.0,,,69-59,,I. Whitehead misses 2-pt shot from 5 ft
6:59.0,Defensive rebound by L. Mbah a Moute,,69-59,,
6:47.0,J. Redick misses 3-pt shot from 24 ft,,69-59,,
6:46.0,,,69-59,,Defensive rebound by I. Whitehead
6:37.0,,,69-62,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by T. Booker)
6:36.0,LA Clippers full timeout,,69-62,,
6:18.0,,,69-62,,Personal foul by I. Whitehead (drawn by C. Paul)
6:18.0,J. Crawford enters the game for L. Mbah a Moute,,69-62,,
6:14.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,72-62,,
6:14.0,Shooting foul by S. Kilpatrick (drawn by J. Redick),,72-62,,
6:14.0,J. Redick makes free throw 1 of 1,1,73-62,,
6:02.0,,,73-62,,Shooting foul by J. Redick (drawn by B. Bogdanovic)
6:02.0,,,73-63,1,B. Bogdanovic makes free throw 1 of 2
6:02.0,,,73-64,1,B. Bogdanovic makes free throw 2 of 2
6:02.0,A. Rivers enters the game for J. Redick,,73-63,,
5:54.0,Turnover by D. Jordan (bad pass),,73-64,,
5:50.0,,,73-64,,Shooting foul by P. Pierce (drawn by B. Bogdanovic)
5:50.0,,,73-65,1,B. Bogdanovic makes free throw 1 of 2
5:50.0,,,73-65,,B. Bogdanovic misses free throw 2 of 2
5:49.0,Defensive rebound by D. Jordan,,73-65,,
5:33.0,J. Crawford misses 3-pt shot from 26 ft,,73-65,,
5:32.0,,,73-65,,Defensive rebound by T. Booker
5:20.0,,,73-65,,S. Kilpatrick misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by D. Jordan,,73-65,,
4:56.0,D. Jordan misses 3-pt shot from 25 ft,,73-65,,
4:55.0,,,73-65,,Defensive rebound by T. Booker
4:49.0,,,73-65,,Offensive charge foul by B. Bogdanovic
4:49.0,,,73-65,,Turnover by B. Bogdanovic (offensive foul)
4:49.0,,,73-65,,J. Harris enters the game for B. Bogdanovic
4:33.0,P. Pierce misses 3-pt shot from 25 ft,,73-65,,
4:33.0,,,73-65,,Defensive rebound by Team
4:16.0,,,73-65,,Shooting foul by P. Pierce (drawn by J. Hamilton)
4:16.0,,,73-65,,J. Hamilton misses free throw 1 of 2
4:16.0,,,73-65,,Offensive rebound by Team
4:16.0,,,73-66,1,J. Hamilton makes free throw 2 of 2
4:16.0,W. Johnson enters the game for P. Pierce,,73-65,,
4:16.0,,,73-65,,R. Foye enters the game for S. Kilpatrick
4:08.0,A. Rivers makes 2-pt shot from 1 ft,2,75-66,,
4:08.0,Shooting foul by J. Harris (drawn by A. Rivers),,75-66,,
4:08.0,A. Rivers makes free throw 1 of 1,1,76-66,,
3:53.0,,,76-66,,R. Foye misses 2-pt shot from 19 ft
3:52.0,Defensive rebound by A. Rivers,,76-66,,
3:40.0,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul),3,79-66,,
3:30.0,,,79-66,,I. Whitehead misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by C. Paul,,79-66,,
3:14.0,A. Rivers makes 3-pt shot from 26 ft,3,82-66,,
3:14.0,,,82-66,,Brooklyn full timeout
3:14.0,R. Felton enters the game for C. Paul,,82-66,,
3:14.0,,,82-66,,B. Bogdanovic enters the game for I. Whitehead
3:14.0,,,82-66,,B. Lopez enters the game for T. Booker
2:57.0,,,82-66,,B. Lopez misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by D. Jordan,,82-66,,
2:46.0,W. Johnson makes 2-pt shot from 21 ft (assist by R. Felton),2,84-66,,
2:37.0,Personal foul by J. Crawford (drawn by J. Harris),,84-66,,
2:37.0,,,84-66,,J. Harris misses free throw 1 of 2
2:37.0,,,84-66,,Offensive rebound by Team
2:37.0,,,84-66,,J. Harris misses free throw 2 of 2
2:36.0,Defensive rebound by D. Jordan,,84-66,,
2:15.0,J. Crawford misses 2-pt shot from 20 ft,,84-66,,
2:14.0,,,84-66,,Defensive rebound by B. Lopez
2:14.0,Personal foul by J. Crawford (drawn by J. Harris),,84-66,,
2:14.0,,,84-67,1,J. Harris makes free throw 1 of 2
2:14.0,,,84-68,1,J. Harris makes free throw 2 of 2
2:14.0,M. Speights enters the game for D. Jordan,,84-66,,
2:00.0,R. Felton makes 2-pt shot from 19 ft,2,86-68,,
1:42.0,,,86-68,,Turnover by B. Lopez (bad pass; steal by R. Felton)
1:36.0,R. Felton misses 2-pt shot from 2 ft,,86-68,,
1:34.0,,,86-68,,Defensive rebound by J. Hamilton
1:29.0,,,86-68,,Turnover by B. Bogdanovic (lost ball; steal by R. Felton)
1:25.0,Turnover by R. Felton (bad pass; steal by J. Harris),,86-68,,
1:17.0,,,86-68,,Turnover by J. Harris (lost ball; steal by W. Johnson)
0:57.0,A. Rivers misses 2-pt shot from 2 ft,,86-68,,
0:55.0,,,86-68,,Defensive rebound by J. Hamilton
0:42.0,,,86-70,2,J. Harris makes 2-pt shot from 2 ft (assist by B. Lopez)
0:42.0,,,86-70,,Shooting foul by W. Johnson (drawn by J. Harris)
0:42.0,,,86-71,1,J. Harris makes free throw 1 of 1
0:42.0,,,86-70,,T. Booker enters the game for B. Lopez
0:33.0,J. Crawford misses 2-pt shot from 3 ft (block by J. Hamilton),,86-71,,
0:32.0,Offensive rebound by Team,,86-71,,
0:28.0,W. Johnson misses 3-pt shot from 25 ft,,86-71,,
0:27.0,,,86-71,,Defensive rebound by B. Bogdanovic
0:07.0,,,86-73,2,B. Bogdanovic makes 2-pt shot from 10 ft
0:01.0,R. Felton misses 3-pt shot from 27 ft,,86-73,,
0:00.0,Offensive rebound by Team,,86-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,86-73,,I. Whitehead misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by J. Crawford,,86-73,,
11:08.0,J. Crawford misses 3-pt shot from 25 ft,,86-73,,
11:07.0,,,86-73,,Defensive rebound by S. Kilpatrick
10:53.0,,,86-73,,Turnover by T. Booker (lost ball; steal by M. Speights)
10:34.0,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers),3,89-73,,
10:19.0,,,89-73,,Offensive charge foul by S. Kilpatrick
10:19.0,,,89-73,,Turnover by S. Kilpatrick (offensive foul)
10:09.0,Turnover by M. Speights (lost ball),,89-73,,
9:55.0,,,89-73,,I. Whitehead misses 2-pt shot from 13 ft
9:54.0,Defensive rebound by W. Johnson,,89-73,,
9:42.0,J. Crawford misses 2-pt shot from 18 ft,,89-73,,
9:41.0,,,89-73,,Defensive rebound by B. Lopez
9:26.0,,,89-76,3,S. Kilpatrick makes 3-pt shot from 26 ft (assist by T. Booker)
9:09.0,M. Speights makes 2-pt shot from 17 ft (assist by W. Johnson),2,91-76,,
9:03.0,,,91-78,2,B. Lopez makes 2-pt shot from 2 ft (assist by I. Whitehead)
9:01.0,Technical foul by M. Speights,,91-78,,
9:01.0,,,91-79,1,I. Whitehead makes technical free throw
8:44.0,M. Speights misses 3-pt shot from 24 ft,,91-79,,
8:43.0,,,91-79,,Defensive rebound by T. Booker
8:38.0,Personal foul by M. Speights (drawn by B. Lopez),,91-79,,
8:38.0,Official timeout,,91-79,,
8:28.0,,,91-81,2,S. Kilpatrick makes 2-pt shot from 5 ft (assist by B. Lopez)
8:16.0,Turnover by A. Rivers (lost ball),,91-81,,
7:58.0,,,91-84,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Lopez)
7:42.0,Shooting foul by I. Whitehead (drawn by A. Rivers),,91-84,,
7:42.0,A. Rivers makes free throw 1 of 2,1,92-84,,
7:42.0,A. Rivers misses free throw 2 of 2,,92-84,,
7:42.0,D. Jordan enters the game for M. Speights,,92-84,,
7:42.0,C. Paul enters the game for R. Felton,,92-84,,
7:42.0,J. Redick enters the game for J. Crawford,,92-84,,
7:40.0,,,92-84,,Defensive rebound by S. Kilpatrick
7:26.0,,,92-84,,T. Booker misses 2-pt shot from 7 ft
7:25.0,Defensive rebound by D. Jordan,,92-84,,
7:08.0,A. Rivers misses 2-pt shot from 18 ft,,92-84,,
7:07.0,,,92-84,,Defensive rebound by I. Whitehead
6:59.0,,,92-84,,T. Booker misses 2-pt shot from 2 ft (block by W. Johnson)
6:58.0,,,92-84,,Offensive rebound by Team
