time,Chicago,pts.away,score,pts.home,Washington
4:35.0,N. Mirotic misses 2-pt shot from 2 ft,,15-16,,
4:34.0,,,15-16,,Defensive rebound by M. Gortat
4:29.0,,,15-19,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
4:29.0,Chicago full timeout,,15-19,,
4:29.0,,,15-19,,I. Mahinmi enters the game for M. Gortat
4:28.0,,,15-19,,B. Bogdanovic enters the game for J. Smith
4:11.0,J. Butler misses 2-pt shot from 18 ft,,15-19,,
4:10.0,,,15-19,,Defensive rebound by B. Beal
3:47.0,,,15-21,2,I. Mahinmi makes 2-pt shot from 7 ft (assist by J. Wall)
3:29.0,,,15-21,,Personal foul by I. Mahinmi (drawn by R. Lopez)
3:21.0,R. Rondo misses 3-pt shot from 26 ft,,15-21,,
3:21.0,,,15-21,,Defensive rebound by B. Beal
3:14.0,,,15-23,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by J. Wall)
2:57.0,R. Lopez makes 2-pt shot from 16 ft (assist by R. Rondo),2,17-23,,
2:38.0,,,17-23,,O. Porter misses 2-pt shot from 7 ft
2:37.0,Defensive rebound by N. Mirotic,,17-23,,
2:31.0,Turnover by R. Rondo (lost ball),,17-23,,
2:31.0,,,17-23,,B. Jennings enters the game for J. Wall
2:31.0,M. Carter-Williams enters the game for R. Rondo,,17-23,,
2:13.0,,,17-23,,B. Beal misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by N. Mirotic,,17-23,,
2:08.0,D. Valentine makes 2-pt shot from 1 ft (assist by N. Mirotic),2,19-23,,
1:56.0,,,19-25,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Jennings)
1:45.0,M. Carter-Williams misses 2-pt shot from 2 ft,,19-25,,
1:44.0,Offensive rebound by R. Lopez,,19-25,,
1:42.0,R. Lopez makes 2-pt shot from 2 ft,2,21-25,,
1:30.0,,,21-25,,Offensive foul by B. Beal
1:30.0,,,21-25,,Turnover by B. Beal (offensive foul)
1:30.0,,,21-25,,K. Oubre enters the game for B. Beal
1:24.0,Turnover by M. Carter-Williams (lost ball; steal by K. Oubre),,21-25,,
1:16.0,,,21-27,2,O. Porter makes 2-pt shot from 3 ft (assist by K. Oubre)
1:00.0,N. Mirotic misses 3-pt shot from 26 ft,,21-27,,
0:59.0,,,21-27,,Defensive rebound by B. Jennings
0:43.0,,,21-29,2,B. Bogdanovic makes 2-pt shot from 2 ft
0:28.0,R. Lopez misses 2-pt shot from 6 ft,,21-29,,
0:26.0,,,21-29,,Defensive rebound by I. Mahinmi
0:21.0,,,21-29,,B. Bogdanovic misses 3-pt shot from 31 ft
0:20.0,Defensive rebound by N. Mirotic,,21-29,,
0:06.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Butler),2,23-29,,
0:03.0,Personal take foul by M. Carter-Williams (drawn by B. Jennings),,23-29,,
0:01.0,,,23-29,,B. Bogdanovic misses 3-pt shot from 26 ft (block by N. Mirotic)
0:00.0,,,23-29,,Offensive rebound by B. Bogdanovic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-29,,B. Bogdanovic misses 2-pt shot at rim
11:42.0,,,23-29,,Offensive rebound by I. Mahinmi
11:41.0,,,23-29,,I. Mahinmi misses 2-pt shot from 1 ft
11:40.0,,,23-29,,Offensive rebound by I. Mahinmi
11:39.0,,,23-29,,I. Mahinmi misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by N. Mirotic,,23-29,,
11:28.0,Turnover by M. Carter-Williams (lost ball; steal by B. Jennings),,23-29,,
11:24.0,,,23-31,2,K. Oubre makes 2-pt shot at rim (assist by B. Jennings)
11:05.0,M. Carter-Williams misses 2-pt shot from 2 ft,,23-31,,
11:04.0,Offensive rebound by P. Zipser,,23-31,,
10:59.0,C. Felicio makes 2-pt shot at rim (assist by P. Zipser),2,25-31,,
10:51.0,,,25-34,3,J. Smith makes 3-pt shot from 27 ft (assist by K. Oubre)
10:35.0,Turnover by P. Zipser (bad pass),,25-34,,
10:25.0,Personal foul by C. Felicio (drawn by I. Mahinmi),,25-34,,
10:17.0,,,25-36,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by I. Mahinmi)
10:03.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by D. Valentine),2,27-36,,
9:58.0,,,27-36,,Offensive foul by B. Jennings
9:58.0,,,27-36,,Turnover by B. Jennings (offensive foul)
9:46.0,C. Felicio misses 2-pt shot from 2 ft (block by I. Mahinmi),,27-36,,
9:44.0,,,27-36,,Defensive rebound by B. Jennings
9:37.0,,,27-36,,B. Jennings misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by C. Felicio,,27-36,,
9:28.0,Shooting foul by K. Oubre (drawn by M. Carter-Williams),,27-36,,
9:28.0,M. Carter-Williams makes free throw 1 of 2,1,28-36,,
9:28.0,M. Carter-Williams misses free throw 2 of 2,,28-36,,
9:27.0,,,28-36,,Defensive rebound by J. Smith
9:16.0,,,28-36,,Turnover by B. Jennings (bad pass; steal by C. Felicio)
9:13.0,Offensive foul by M. Carter-Williams,,28-36,,
9:13.0,Turnover by M. Carter-Williams (offensive foul),,28-36,,
9:07.0,,,28-36,,Turnover by I. Mahinmi (bad pass)
8:53.0,Turnover by M. Carter-Williams (traveling),,28-36,,
8:53.0,Official timeout,,28-36,,
8:53.0,R. Rondo enters the game for M. Carter-Williams,,28-36,,
8:43.0,,,28-39,3,J. Smith makes 3-pt shot from 26 ft (assist by B. Jennings)
8:27.0,N. Mirotic makes 2-pt shot from 20 ft (assist by R. Rondo),2,30-39,,
8:02.0,,,30-39,,J. Smith misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by D. Valentine,,30-39,,
7:49.0,D. Valentine misses 3-pt shot from 25 ft,,30-39,,
7:48.0,,,30-39,,Defensive rebound by B. Jennings
7:39.0,,,30-39,,B. Jennings misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by C. Felicio,,30-39,,
7:33.0,P. Zipser makes 2-pt shot from 2 ft (assist by R. Rondo),2,32-39,,
7:20.0,,,32-41,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
7:01.0,N. Mirotic misses 2-pt shot from 20 ft,,32-41,,
7:00.0,Offensive rebound by C. Felicio,,32-41,,
6:54.0,N. Mirotic misses 3-pt shot from 27 ft,,32-41,,
6:53.0,,,32-41,,Defensive rebound by B. Jennings
6:44.0,,,32-41,,Turnover by B. Bogdanovic (bad pass; steal by N. Mirotic)
6:36.0,D. Valentine misses 3-pt shot from 25 ft,,32-41,,
6:35.0,Offensive rebound by C. Felicio,,32-41,,
6:31.0,P. Zipser makes 2-pt shot from 2 ft (assist by C. Felicio),2,34-41,,
6:05.0,,,34-41,,K. Oubre misses 3-pt shot from 30 ft
6:04.0,Defensive rebound by P. Zipser,,34-41,,
6:00.0,D. Valentine misses 2-pt shot from 2 ft (block by K. Oubre),,34-41,,
5:58.0,Offensive rebound by Team,,34-41,,
5:55.0,,,34-41,,Washington full timeout
5:55.0,,,34-41,,J. Wall enters the game for B. Jennings
5:55.0,B. Portis enters the game for N. Mirotic,,34-41,,
5:55.0,R. Lopez enters the game for D. Valentine,,34-41,,
5:55.0,J. Butler enters the game for C. Felicio,,34-41,,
5:55.0,,,34-41,,O. Porter enters the game for K. Oubre
5:54.0,,,34-41,,B. Beal enters the game for I. Mahinmi
5:45.0,J. Butler misses 2-pt shot from 18 ft,,34-41,,
5:44.0,,,34-41,,Defensive rebound by Team
5:33.0,,,34-41,,J. Smith misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by J. Butler,,34-41,,
5:26.0,Turnover by J. Butler (lost ball),,34-41,,
5:09.0,,,34-43,2,O. Porter makes 2-pt shot from 17 ft
4:54.0,J. Butler misses 2-pt shot from 18 ft,,34-43,,
4:54.0,,,34-43,,Defensive rebound by Team
4:54.0,Loose ball foul by P. Zipser (drawn by B. Beal),,34-43,,
4:36.0,,,34-45,2,J. Smith makes 2-pt shot from 21 ft (assist by J. Wall)
4:19.0,R. Rondo makes 2-pt shot from 2 ft,2,36-45,,
4:10.0,,,36-47,2,O. Porter makes 2-pt shot from 19 ft
3:58.0,Chicago full timeout,,36-47,,
3:58.0,Offensive foul by B. Portis,,36-47,,
3:58.0,Turnover by B. Portis (offensive foul),,36-47,,
3:38.0,,,36-47,,J. Smith misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by P. Zipser,,36-47,,
3:29.0,,,36-47,,Personal foul by O. Porter (drawn by R. Rondo)
3:21.0,P. Zipser misses 2-pt shot from 2 ft,,36-47,,
3:20.0,,,36-47,,Defensive rebound by J. Smith
3:12.0,,,36-47,,J. Wall misses 2-pt shot from 22 ft
3:10.0,Defensive rebound by J. Butler,,36-47,,
3:00.0,R. Lopez misses 2-pt shot from 9 ft,,36-47,,
2:59.0,Offensive rebound by J. Butler,,36-47,,
2:57.0,J. Butler makes 2-pt shot at rim,2,38-47,,
2:44.0,,,38-47,,B. Beal misses 2-pt shot from 17 ft
2:43.0,,,38-47,,Offensive rebound by B. Bogdanovic
2:36.0,,,38-47,,Turnover by J. Wall (lost ball; steal by J. Butler)
2:29.0,P. Zipser misses 2-pt shot from 1 ft,,38-47,,
2:28.0,,,38-47,,Defensive rebound by O. Porter
2:23.0,,,38-47,,B. Bogdanovic misses 2-pt shot from 1 ft
2:22.0,,,38-47,,Offensive rebound by B. Beal
2:19.0,,,38-47,,B. Beal misses 2-pt shot from 2 ft
2:19.0,,,38-47,,Offensive rebound by O. Porter
2:13.0,,,38-49,2,O. Porter makes 2-pt shot from 3 ft
1:52.0,B. Portis makes 2-pt shot at rim (assist by R. Lopez),2,40-49,,
1:40.0,,,40-51,2,J. Smith makes 2-pt shot from 19 ft (assist by J. Wall)
1:19.0,Turnover by R. Rondo (lost ball; steal by J. Smith),,40-51,,
1:13.0,,,40-54,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Wall)
1:12.0,Chicago full timeout,,40-54,,
1:11.0,D. Valentine enters the game for R. Lopez,,40-54,,
1:11.0,,,40-54,,K. Oubre enters the game for B. Bogdanovic
0:55.0,J. Butler misses 2-pt shot from 4 ft,,40-54,,
0:53.0,,,40-54,,Defensive rebound by K. Oubre
0:48.0,,,40-56,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
0:26.0,B. Portis misses 3-pt shot from 24 ft,,40-56,,
0:24.0,,,40-56,,Defensive rebound by O. Porter
0:01.0,,,40-59,3,J. Wall makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,40-59,,M. Gortat misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by B. Portis,,40-59,,
11:33.0,P. Zipser makes 2-pt shot from 1 ft (assist by B. Portis),2,42-59,,
11:17.0,,,42-59,,M. Gortat misses 2-pt shot from 2 ft (block by B. Portis)
11:15.0,Defensive rebound by B. Portis,,42-59,,
11:09.0,P. Zipser misses 2-pt shot from 1 ft,,42-59,,
11:09.0,,,42-59,,Defensive rebound by M. Gortat
11:03.0,,,42-59,,Turnover by B. Beal (step out of bounds)
10:46.0,P. Zipser makes 2-pt shot from 18 ft (assist by R. Lopez),2,44-59,,
10:23.0,Personal foul by P. Zipser (drawn by J. Smith),,44-59,,
10:23.0,,,44-60,1,J. Smith makes free throw 1 of 2
10:23.0,,,44-61,1,J. Smith makes free throw 2 of 2
10:14.0,,,44-61,,Personal foul by M. Gortat (drawn by R. Lopez)
10:05.0,B. Portis misses 2-pt shot from 17 ft,,44-61,,
10:03.0,Offensive rebound by R. Lopez,,44-61,,
10:02.0,R. Lopez makes 2-pt shot from 2 ft,2,46-61,,
9:47.0,,,46-61,,B. Beal misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by B. Portis,,46-61,,
9:40.0,P. Zipser misses 3-pt shot from 27 ft,,46-61,,
9:39.0,,,46-61,,Defensive rebound by M. Gortat
9:34.0,,,46-61,,J. Wall misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by R. Lopez,,46-61,,
9:24.0,P. Zipser misses 2-pt shot from 5 ft,,46-61,,
9:24.0,Offensive rebound by R. Rondo,,46-61,,
9:19.0,P. Zipser misses 3-pt shot from 23 ft,,46-61,,
9:18.0,,,46-61,,Defensive rebound by M. Gortat
9:00.0,,,46-61,,O. Porter misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by B. Portis,,46-61,,
8:53.0,Shooting foul by J. Wall (drawn by B. Portis),,46-61,,
8:53.0,B. Portis makes free throw 1 of 2,1,47-61,,
8:53.0,B. Portis misses free throw 2 of 2,,47-61,,
8:51.0,,,47-61,,Defensive rebound by O. Porter
8:37.0,,,47-63,2,J. Wall makes 2-pt shot from 1 ft
8:11.0,B. Portis misses 3-pt shot from 27 ft (block by J. Smith),,47-63,,
8:11.0,Offensive rebound by Team,,47-63,,
8:11.0,Turnover by Team (shot clock),,47-63,,
8:01.0,Personal foul by R. Rondo (drawn by J. Smith),,47-63,,
8:01.0,N. Mirotic enters the game for B. Portis,,47-63,,
7:52.0,,,47-63,,J. Smith misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by P. Zipser,,47-63,,
7:49.0,Shooting foul by B. Beal (drawn by N. Mirotic),,47-63,,
7:49.0,N. Mirotic makes free throw 1 of 2,1,48-63,,
7:49.0,N. Mirotic misses free throw 2 of 2,,48-63,,
7:49.0,,,48-63,,Defensive rebound by M. Gortat
7:40.0,,,48-63,,B. Beal misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by R. Lopez,,48-63,,
7:27.0,Offensive foul by R. Lopez,,48-63,,
7:27.0,Turnover by R. Lopez (offensive foul),,48-63,,
7:11.0,,,48-63,,Turnover by J. Wall (bad pass; steal by J. Butler)
7:03.0,R. Rondo makes 2-pt shot at rim,2,50-63,,
6:57.0,,,50-65,2,J. Wall makes 2-pt shot from 1 ft
6:30.0,N. Mirotic misses 3-pt shot from 30 ft (block by J. Smith),,50-65,,
6:27.0,Offensive rebound by R. Lopez,,50-65,,
6:27.0,R. Lopez makes 2-pt shot from 1 ft,2,52-65,,
6:11.0,,,52-67,2,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall)
6:11.0,,,52-67,,Shooting foul by P. Zipser (drawn by B. Beal)
6:11.0,,,52-68,1,B. Beal makes free throw 1 of 1
6:11.0,D. Valentine enters the game for P. Zipser,,52-67,,
6:00.0,J. Butler makes 2-pt shot from 19 ft,2,54-68,,
5:51.0,,,54-68,,J. Smith misses 3-pt shot from 26 ft
5:50.0,,,54-68,,Offensive rebound by J. Smith
5:45.0,,,54-68,,Washington full timeout
5:43.0,,,54-68,,J. Wall misses 2-pt shot from 1 ft
5:41.0,Defensive rebound by R. Lopez,,54-68,,
5:23.0,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler),3,57-68,,
5:07.0,,,57-70,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:51.0,R. Rondo misses 3-pt shot from 25 ft,,57-70,,
4:50.0,Offensive rebound by R. Lopez,,57-70,,
4:47.0,R. Lopez makes 2-pt shot from 1 ft,2,59-70,,
4:31.0,,,59-72,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Smith)
4:20.0,N. Mirotic misses 3-pt shot from 29 ft,,59-72,,
4:19.0,,,59-72,,Defensive rebound by M. Gortat
4:08.0,,,59-74,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
3:48.0,N. Mirotic makes 2-pt shot from 9 ft,2,61-74,,
3:43.0,,,61-74,,Shooting foul by R. Lopez (drawn by J. Wall)
3:43.0,,,61-75,1,J. Wall makes free throw 1 of 2
3:43.0,,,61-75,,J. Wall misses free throw 2 of 2
3:43.0,,,61-75,,I. Mahinmi enters the game for M. Gortat
3:43.0,M. Carter-Williams enters the game for R. Rondo,,61-75,,
3:42.0,Defensive rebound by R. Lopez,,61-75,,
3:24.0,Turnover by R. Lopez (lost ball),,61-75,,
3:24.0,,,61-75,,B. Bogdanovic enters the game for J. Smith
3:12.0,,,61-75,,J. Wall misses 2-pt shot from 2 ft
3:12.0,Defensive rebound by Team,,61-75,,
3:00.0,Turnover by M. Carter-Williams (lost ball; steal by J. Wall),,61-75,,
2:55.0,,,61-75,,Offensive foul by B. Beal
2:55.0,,,61-75,,Turnover by B. Beal (offensive foul)
2:55.0,Chicago full timeout,,61-75,,
2:55.0,,,61-75,,B. Jennings enters the game for B. Beal
2:39.0,J. Butler makes 2-pt shot from 19 ft (assist by N. Mirotic),2,63-75,,
2:21.0,,,63-77,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Jennings)
2:07.0,N. Mirotic misses 2-pt shot from 4 ft (block by I. Mahinmi),,63-77,,
2:05.0,Offensive rebound by R. Lopez,,63-77,,
2:03.0,R. Lopez makes 2-pt shot from 1 ft,2,65-77,,
1:55.0,,,65-80,3,B. Jennings makes 3-pt shot from 27 ft (assist by J. Wall)
1:44.0,J. Butler makes 2-pt shot from 2 ft,2,67-80,,
1:44.0,Shooting foul by I. Mahinmi (drawn by J. Butler),,67-80,,
1:44.0,J. Butler makes free throw 1 of 1,1,68-80,,
1:32.0,,,68-82,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by J. Wall)
1:17.0,N. Mirotic misses 3-pt shot from 22 ft,,68-82,,
1:15.0,Offensive rebound by R. Lopez,,68-82,,
1:13.0,R. Lopez misses 2-pt shot at rim,,68-82,,
1:12.0,Offensive rebound by N. Mirotic,,68-82,,
1:09.0,D. Valentine makes 2-pt shot from 1 ft (assist by N. Mirotic),2,70-82,,
0:51.0,,,70-82,,J. Wall misses 2-pt shot from 3 ft (block by M. Carter-Williams)
0:49.0,Defensive rebound by N. Mirotic,,70-82,,
0:38.0,D. Valentine misses 3-pt shot from 25 ft,,70-82,,
0:38.0,Offensive rebound by R. Lopez,,70-82,,
0:37.0,R. Lopez makes 2-pt shot from 1 ft,2,72-82,,
0:24.0,,,72-84,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by J. Wall)
0:03.0,J. Butler misses 2-pt shot from 21 ft,,72-84,,
0:01.0,Offensive rebound by J. Butler,,72-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,72-84,,Technical foul by J. Wall
12:00.0,J. Butler makes technical free throw,1,73-84,,
11:42.0,Turnover by J. Butler (lost ball),,73-84,,
11:30.0,,,73-87,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Jennings)
11:11.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by J. Butler),3,76-87,,
10:55.0,,,76-87,,O. Porter misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by D. Valentine,,76-87,,
10:49.0,Shooting foul by B. Bogdanovic (drawn by J. Butler),,76-87,,
10:49.0,J. Butler makes free throw 1 of 2,1,77-87,,
10:49.0,J. Butler makes free throw 2 of 2,1,78-87,,
10:25.0,,,78-87,,K. Oubre misses 2-pt shot from 18 ft
10:24.0,,,78-87,,Offensive rebound by O. Porter
10:22.0,,,78-87,,O. Porter misses 2-pt shot from 10 ft (block by N. Mirotic)
10:21.0,Defensive rebound by J. Lauvergne,,78-87,,
10:07.0,D. Valentine makes 3-pt shot from 25 ft (assist by J. Butler),3,81-87,,
10:06.0,,,81-87,,Washington full timeout
10:06.0,P. Zipser enters the game for J. Butler,,81-87,,
9:59.0,Personal foul by M. Carter-Williams (drawn by B. Jennings),,81-87,,
9:47.0,,,81-87,,O. Porter misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by M. Carter-Williams,,81-87,,
9:29.0,Offensive foul by P. Zipser,,81-87,,
9:29.0,Turnover by P. Zipser (offensive foul),,81-87,,
9:29.0,,,81-87,,J. Smith enters the game for O. Porter
9:12.0,,,81-87,,B. Jennings misses 3-pt shot from 26 ft
9:11.0,,,81-87,,Offensive rebound by K. Oubre
9:08.0,,,81-87,,K. Oubre misses 3-pt shot from 27 ft
9:07.0,Defensive rebound by P. Zipser,,81-87,,
8:57.0,Shooting foul by I. Mahinmi (drawn by M. Carter-Williams),,81-87,,
8:57.0,M. Carter-Williams misses free throw 1 of 2,,81-87,,
8:57.0,Offensive rebound by Team,,81-87,,
8:57.0,M. Carter-Williams makes free throw 2 of 2,1,82-87,,
8:42.0,,,82-87,,B. Bogdanovic misses 3-pt shot from 28 ft
8:42.0,,,82-87,,Offensive rebound by K. Oubre
8:28.0,,,82-89,2,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings)
8:27.0,,,82-89,,Technical foul by I. Mahinmi
8:27.0,D. Valentine makes technical free throw,1,83-89,,
8:12.0,N. Mirotic misses 3-pt shot from 26 ft,,83-89,,
8:11.0,,,83-89,,Defensive rebound by B. Bogdanovic
8:01.0,,,83-91,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Jennings)
7:45.0,Turnover by M. Carter-Williams (lost ball),,83-91,,
7:32.0,,,83-91,,B. Bogdanovic misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by P. Zipser,,83-91,,
7:25.0,D. Valentine misses 3-pt shot from 28 ft,,83-91,,
7:24.0,,,83-91,,Defensive rebound by K. Oubre
7:07.0,,,83-91,,I. Mahinmi misses 2-pt shot from 2 ft
7:06.0,Defensive rebound by J. Lauvergne,,83-91,,
6:57.0,N. Mirotic makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,85-91,,
6:31.0,,,85-91,,B. Bogdanovic misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by D. Valentine,,85-91,,
6:21.0,D. Valentine misses 3-pt shot from 28 ft,,85-91,,
6:20.0,Offensive rebound by P. Zipser,,85-91,,
6:16.0,J. Lauvergne makes 2-pt shot from 12 ft (assist by P. Zipser),2,87-91,,
6:15.0,,,87-91,,Washington full timeout
6:15.0,,,87-91,,J. Wall enters the game for I. Mahinmi
6:15.0,,,87-91,,B. Beal enters the game for B. Jennings
6:15.0,,,87-91,,M. Gortat enters the game for K. Oubre
6:15.0,R. Rondo enters the game for M. Carter-Williams,,87-91,,
6:15.0,J. Butler enters the game for P. Zipser,,87-91,,
6:03.0,,,87-94,3,B. Beal makes 3-pt shot from 27 ft (assist by M. Gortat)
5:48.0,,,87-94,,Personal foul by B. Bogdanovic (drawn by J. Butler)
5:48.0,,,87-94,,O. Porter enters the game for B. Bogdanovic
5:37.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Valentine),2,89-94,,
5:21.0,,,89-96,2,J. Wall makes 2-pt shot from 1 ft (assist by J. Smith)
5:04.0,N. Mirotic makes 2-pt shot at rim,2,91-96,,
4:41.0,,,91-98,2,O. Porter makes 2-pt shot from 7 ft (assist by J. Wall)
4:18.0,J. Butler makes 2-pt shot from 8 ft,2,93-98,,
4:01.0,R. Lopez enters the game for J. Lauvergne,,93-98,,
3:55.0,,,93-98,,J. Wall misses 3-pt shot from 29 ft
