time,Dallas,pts.away,score,pts.home,LA Clippers
9:47.0,,,55-66,,Turnover by C. Paul (bad pass; steal by Y. Ferrell)
9:41.0,Y. Ferrell makes 2-pt shot from 4 ft,2,57-66,,
9:32.0,,,57-66,,Turnover by C. Paul (lost ball; steal by Y. Ferrell)
9:29.0,Y. Ferrell makes 2-pt shot from 3 ft,2,59-66,,
9:14.0,Personal foul by W. Matthews,,59-66,,
9:07.0,,,59-66,,Shooting foul by N. Noel (drawn by B. Griffin)
9:07.0,,,59-67,1,B. Griffin makes free throw 1 of 2
9:07.0,,,59-67,,B. Griffin misses free throw 2 of 2
9:05.0,Defensive rebound by H. Barnes,,59-67,,
8:48.0,Y. Ferrell misses 3-pt shot from 26 ft,,59-67,,
8:44.0,,,59-67,,Defensive rebound by D. Jordan
8:40.0,,,59-70,3,J. Redick makes 3-pt shot from 28 ft (assist by C. Paul)
8:25.0,W. Matthews makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,62-70,,
8:07.0,,,62-72,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
8:07.0,,,62-72,,Shooting foul by D. Nowitzki (drawn by D. Jordan)
8:07.0,,,62-73,1,D. Jordan makes free throw 1 of 1
7:54.0,D. Nowitzki misses 3-pt shot from 27 ft,,62-73,,
7:52.0,,,62-73,,Defensive rebound by D. Jordan
7:46.0,,,62-73,,C. Paul misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by H. Barnes,,62-73,,
7:38.0,N. Noel misses 2-pt shot from 14 ft,,62-73,,
7:36.0,,,62-73,,Defensive rebound by D. Jordan
7:25.0,,,62-73,,B. Griffin misses 3-pt shot from 27 ft
7:23.0,Defensive rebound by N. Noel,,62-73,,
7:15.0,D. Nowitzki makes 3-pt shot from 28 ft (assist by Y. Ferrell),3,65-73,,
6:50.0,,,65-73,,Turnover by C. Paul (bad pass)
6:43.0,Y. Ferrell makes 2-pt shot from 3 ft,2,67-73,,
6:43.0,,,67-73,,LA Clippers full timeout
6:21.0,,,67-75,2,B. Griffin makes 2-pt shot from 6 ft
6:08.0,D. Nowitzki misses 2-pt shot from 21 ft,,67-75,,
6:07.0,,,67-75,,Defensive rebound by D. Jordan
5:48.0,,,67-75,,L. Mbah a Moute misses 3-pt shot from 28 ft
5:47.0,Defensive rebound by W. Matthews,,67-75,,
5:32.0,Y. Ferrell misses 2-pt shot from 1 ft,,67-75,,
5:30.0,,,67-75,,Defensive rebound by D. Jordan
5:26.0,,,67-75,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by N. Noel)
5:26.0,,,67-75,,Offensive rebound by Team
5:26.0,Inbound foul by Y. Ferrell,,67-75,,
5:26.0,,,67-76,1,C. Paul makes free throw 1 of 1
5:26.0,D. Finney-Smith enters the game for D. Nowitzki,,67-75,,
5:16.0,,,67-78,2,B. Griffin makes 2-pt shot from 3 ft
5:01.0,Turnover by N. Noel (lost ball; steal by C. Paul),,67-78,,
4:55.0,,,67-80,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by C. Paul)
4:44.0,Dallas full timeout,,67-80,,
4:44.0,J. Barea enters the game for W. Matthews,,67-80,,
4:44.0,D. Harris enters the game for Y. Ferrell,,67-80,,
4:38.0,H. Barnes misses 3-pt shot from 26 ft,,67-80,,
4:37.0,,,67-80,,Defensive rebound by D. Jordan
4:32.0,Personal foul by J. Barea,,67-80,,
4:32.0,,,67-81,1,D. Jordan makes free throw 1 of 2
4:32.0,,,67-82,1,D. Jordan makes free throw 2 of 2
4:20.0,N. Noel misses 2-pt shot from 15 ft,,67-82,,
4:18.0,Offensive rebound by H. Barnes,,67-82,,
4:13.0,Turnover by J. Barea (bad pass; steal by J. Redick),,67-82,,
3:53.0,,,67-84,2,C. Paul makes 2-pt shot from 19 ft
3:43.0,Shooting foul by D. Jordan (drawn by H. Barnes),,67-84,,
3:43.0,H. Barnes makes free throw 1 of 2,1,68-84,,
3:43.0,H. Barnes makes free throw 2 of 2,1,69-84,,
3:43.0,S. Mejri enters the game for N. Noel,,68-84,,
3:35.0,,,69-84,,Shooting foul by D. Harris (drawn by B. Griffin)
3:35.0,,,69-85,1,B. Griffin makes free throw 1 of 2
3:35.0,,,69-86,1,B. Griffin makes free throw 2 of 2
3:35.0,,,69-85,,M. Speights enters the game for D. Jordan
3:35.0,,,69-85,,J. Crawford enters the game for J. Redick
3:10.0,H. Barnes misses 3-pt shot from 29 ft,,69-86,,
3:08.0,,,69-86,,Defensive rebound by B. Griffin
3:00.0,Personal foul by J. Barea,,69-86,,
3:00.0,,,69-87,1,B. Griffin makes free throw 1 of 2
3:00.0,,,69-88,1,B. Griffin makes free throw 2 of 2
3:00.0,,,69-87,,R. Felton enters the game for C. Paul
2:48.0,S. Mejri makes 2-pt shot at rim (assist by D. Harris),2,71-88,,
2:48.0,Shooting foul by M. Speights (drawn by S. Mejri),,71-88,,
2:48.0,S. Mejri misses free throw 1 of 1,,71-88,,
2:47.0,,,71-88,,Defensive rebound by M. Speights
2:31.0,,,71-88,,Turnover by B. Griffin (bad pass; steal by S. Mejri)
2:30.0,,,71-88,,Personal foul by B. Griffin (drawn by S. Mejri)
2:08.0,Turnover by J. Barea (bad pass; steal by R. Felton),,71-88,,
1:55.0,,,71-88,,R. Felton misses 3-pt shot from 27 ft
1:54.0,Defensive rebound by D. Harris,,71-88,,
1:44.0,Offensive foul by H. Barnes,,71-88,,
1:44.0,Turnover by H. Barnes (offensive foul),,71-88,,
1:44.0,D. Nowitzki enters the game for H. Barnes,,71-88,,
1:29.0,,,71-90,2,M. Speights makes 2-pt shot from 13 ft (assist by B. Griffin)
1:15.0,J. Barea misses 2-pt shot from 13 ft,,71-90,,
1:12.0,,,71-90,,Defensive rebound by B. Griffin
0:54.0,,,71-90,,M. Speights misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by S. Mejri,,71-90,,
0:47.0,J. Barea makes 2-pt shot from 3 ft,2,73-90,,
0:35.0,,,73-90,,Offensive charge foul by M. Speights
0:35.0,,,73-90,,Turnover by M. Speights (offensive foul)
0:35.0,,,73-90,,J. Redick enters the game for L. Mbah a Moute
0:15.0,Turnover by D. Nowitzki (bad pass),,73-90,,
0:05.0,,,73-90,,J. Crawford misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by D. Nowitzki,,73-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-93,3,M. Speights makes 3-pt shot from 27 ft (assist by J. Crawford)
11:25.0,J. Barea misses 2-pt shot from 20 ft,,73-93,,
11:23.0,,,73-93,,Defensive rebound by M. Speights
11:18.0,Personal block foul by J. Barea,,73-93,,
11:02.0,,,73-93,,M. Speights misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by D. Finney-Smith,,73-93,,
10:50.0,D. Nowitzki misses 2-pt shot from 16 ft,,73-93,,
10:48.0,,,73-93,,Defensive rebound by M. Speights
10:30.0,,,73-93,,J. Redick misses 2-pt shot from 17 ft
10:27.0,Defensive rebound by S. Mejri,,73-93,,
10:09.0,J. Barea makes 2-pt shot from 3 ft,2,75-93,,
9:55.0,,,75-93,,Offensive foul by B. Bass
9:55.0,,,75-93,,Turnover by B. Bass (offensive foul)
9:32.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Harris),2,77-93,,
9:12.0,,,77-93,,J. Redick misses 2-pt shot from 3 ft
9:12.0,,,77-93,,Offensive rebound by Team
9:12.0,Loose ball foul by D. Finney-Smith (drawn by B. Bass),,77-93,,
9:04.0,,,77-95,2,R. Felton makes 2-pt shot from 19 ft
8:49.0,J. Barea misses 3-pt shot from 26 ft,,77-95,,
8:48.0,Offensive rebound by D. Finney-Smith,,77-95,,
8:48.0,D. Finney-Smith misses 2-pt shot from 1 ft,,77-95,,
8:45.0,,,77-95,,Defensive rebound by J. Crawford
8:45.0,Personal take foul by D. Harris (drawn by J. Crawford),,77-95,,
8:45.0,Official timeout,,77-95,,
8:45.0,H. Barnes enters the game for D. Nowitzki,,77-95,,
8:45.0,W. Matthews enters the game for D. Harris,,77-95,,
8:45.0,Y. Ferrell enters the game for J. Barea,,77-95,,
8:45.0,N. Brussino enters the game for D. Finney-Smith,,77-95,,
8:34.0,,,77-95,,M. Speights misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by Y. Ferrell,,77-95,,
8:17.0,H. Barnes misses 2-pt shot from 6 ft,,77-95,,
8:15.0,,,77-95,,Defensive rebound by M. Speights
8:01.0,,,77-95,,B. Bass misses 2-pt shot from 2 ft
7:59.0,,,77-95,,Offensive rebound by M. Speights
7:59.0,,,77-95,,M. Speights misses 2-pt shot from 2 ft
7:58.0,,,77-95,,Offensive rebound by M. Speights
7:58.0,,,77-95,,M. Speights misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by Y. Ferrell,,77-95,,
7:53.0,N. Brussino misses 3-pt shot from 26 ft,,77-95,,
7:51.0,Offensive rebound by S. Mejri,,77-95,,
7:50.0,Shooting foul by B. Bass (drawn by S. Mejri),,77-95,,
7:50.0,S. Mejri misses free throw 1 of 2,,77-95,,
7:50.0,Offensive rebound by Team,,77-95,,
7:50.0,S. Mejri makes free throw 2 of 2,1,78-95,,
7:41.0,,,78-95,,Shooting foul by Y. Ferrell (drawn by B. Bass)
7:41.0,,,78-96,1,B. Bass makes free throw 1 of 2
7:41.0,,,78-97,1,B. Bass makes free throw 2 of 2
7:29.0,S. Mejri misses 2-pt shot from 6 ft,,78-97,,
7:26.0,,,78-97,,Defensive rebound by M. Speights
7:23.0,,,78-97,,Turnover by J. Crawford (bad pass; steal by S. Mejri)
7:21.0,Y. Ferrell misses 3-pt shot from 26 ft,,78-97,,
7:19.0,Offensive rebound by S. Mejri,,78-97,,
7:19.0,S. Mejri misses 2-pt shot from 2 ft,,78-97,,
7:15.0,Offensive rebound by N. Brussino,,78-97,,
7:15.0,N. Brussino misses 2-pt shot from 3 ft,,78-97,,
7:13.0,Offensive rebound by W. Matthews,,78-97,,
7:08.0,N. Brussino makes 2-pt shot from 3 ft,2,80-97,,
7:08.0,Shooting foul by M. Speights (drawn by N. Brussino),,80-97,,
7:08.0,N. Brussino makes free throw 1 of 1,1,81-97,,
7:08.0,,,80-97,,D. Jordan enters the game for M. Speights
7:08.0,,,80-97,,L. Mbah a Moute enters the game for B. Bass
6:51.0,,,81-97,,R. Felton misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by N. Brussino,,81-97,,
6:37.0,Turnover by H. Barnes (lost ball; steal by J. Crawford),,81-97,,
6:32.0,,,81-97,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by N. Brussino)
6:29.0,Defensive rebound by S. Mejri,,81-97,,
6:25.0,Turnover by S. Mejri (bad pass; steal by J. Redick),,81-97,,
6:23.0,,,81-97,,Turnover by J. Redick (bad pass)
6:23.0,,,81-97,,C. Paul enters the game for R. Felton
6:23.0,N. Noel enters the game for S. Mejri,,81-97,,
6:09.0,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes),3,84-97,,
6:06.0,,,84-97,,LA Clippers full timeout
6:06.0,,,84-97,,B. Griffin enters the game for J. Crawford
5:50.0,,,84-97,,J. Redick misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by N. Noel,,84-97,,
5:26.0,H. Barnes makes 2-pt shot from 9 ft,2,86-97,,
5:11.0,,,86-97,,J. Redick misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by N. Noel,,86-97,,
4:57.0,Jump ball: H. Barnes vs. C. Paul (Y. Ferrell gains possession),,,,Jump ball: H. Barnes vs. C. Paul (Y. Ferrell gains possession)
4:47.0,N. Brussino misses 2-pt shot from 16 ft,,86-97,,
4:44.0,,,86-97,,Defensive rebound by J. Redick
4:29.0,Shooting block foul by N. Noel (drawn by B. Griffin),,86-97,,
4:29.0,,,86-98,1,B. Griffin makes free throw 1 of 2
4:29.0,,,86-99,1,B. Griffin makes free throw 2 of 2
4:04.0,N. Brussino makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,89-99,,
