time,LA Clippers,pts.away,score,pts.home,Miami
2:05.0,,,25-23,,J. Johnson misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by D. Jordan,,25-23,,
1:58.0,,,25-23,,Personal foul by H. Whiteside (drawn by D. Jordan)
1:58.0,,,25-23,,W. Reed enters the game for H. Whiteside
1:55.0,,,25-23,,Personal foul by J. Johnson (drawn by B. Griffin)
1:55.0,B. Griffin makes free throw 1 of 2,1,26-23,,
1:55.0,B. Griffin makes free throw 2 of 2,1,27-23,,
1:37.0,,,27-25,2,J. Richardson makes 2-pt shot from 17 ft (assist by G. Dragic)
1:27.0,C. Paul misses 2-pt shot from 8 ft (block by J. Richardson),,27-25,,
1:26.0,Offensive rebound by Team,,27-25,,
1:26.0,M. Speights enters the game for D. Jordan,,27-25,,
1:26.0,,,27-25,,R. McGruder enters the game for G. Dragic
1:26.0,,,27-25,,J. Winslow enters the game for W. Reed
1:17.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,29-25,,
1:04.0,,,29-25,,J. Winslow misses 2-pt shot from 16 ft
1:03.0,Defensive rebound by J. Crawford,,29-25,,
0:56.0,Turnover by J. Crawford (step out of bounds),,29-25,,
0:56.0,A. Anderson enters the game for C. Paul,,29-25,,
0:35.0,,,29-27,2,J. Winslow makes 2-pt shot from 8 ft
0:28.0,J. Crawford makes 2-pt shot from 16 ft,2,31-27,,
0:05.0,,,31-27,,J. Richardson misses 2-pt shot from 17 ft
0:04.0,Defensive rebound by B. Griffin,,31-27,,
0:01.0,J. Crawford misses 3-pt shot from 24 ft,,31-27,,
0:00.0,Offensive rebound by Team,,31-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,31-29,2,J. Winslow makes 2-pt shot from 2 ft
11:35.0,J. Crawford misses 2-pt shot from 20 ft,,31-29,,
11:34.0,,,31-29,,Defensive rebound by L. Babbitt
11:19.0,,,31-29,,J. Richardson misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by J. Crawford,,31-29,,
11:13.0,R. Felton misses 2-pt shot from 1 ft,,31-29,,
11:12.0,Offensive rebound by Team,,31-29,,
11:12.0,,,31-29,,Loose ball foul by J. Johnson (drawn by M. Speights)
11:06.0,M. Speights makes 2-pt shot from 2 ft (assist by R. Felton),2,33-29,,
10:43.0,,,33-29,,L. Babbitt misses 3-pt shot from 23 ft
10:42.0,,,33-29,,Offensive rebound by J. Winslow
10:32.0,,,33-29,,J. Richardson misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by W. Johnson,,33-29,,
10:18.0,W. Johnson makes 2-pt shot from 5 ft (assist by J. Crawford),2,35-29,,
10:04.0,,,35-29,,L. Babbitt misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by W. Johnson,,35-29,,
9:57.0,J. Crawford makes 2-pt shot from 16 ft,2,37-29,,
9:34.0,,,37-29,,J. Winslow misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by Team,,37-29,,
9:33.0,,,37-29,,Loose ball foul by J. Johnson (drawn by W. Johnson)
9:33.0,,,37-29,,D. Williams enters the game for J. Johnson
9:20.0,M. Speights makes 2-pt shot from 3 ft (assist by J. Crawford),2,39-29,,
9:20.0,,,39-29,,Miami full timeout
9:13.0,Personal foul by W. Johnson (drawn by J. Winslow),,39-29,,
8:54.0,,,39-29,,R. McGruder misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by W. Johnson,,39-29,,
8:47.0,J. Crawford misses 2-pt shot from 17 ft,,39-29,,
8:46.0,Offensive rebound by Team,,39-29,,
8:46.0,,,39-29,,Loose ball foul by D. Williams (drawn by M. Speights)
8:46.0,,,39-29,,G. Dragic enters the game for L. Babbitt
8:34.0,Turnover by M. Speights (bad pass),,39-29,,
8:22.0,,,39-29,,G. Dragic misses 2-pt shot from 12 ft
8:21.0,,,39-29,,Offensive rebound by D. Williams
8:20.0,,,39-29,,D. Williams misses 2-pt shot from 2 ft
8:19.0,,,39-29,,Offensive rebound by Team
8:19.0,A. Rivers enters the game for A. Anderson,,39-29,,
8:12.0,,,39-29,,J. Winslow misses 2-pt shot from 7 ft
8:11.0,,,39-29,,Offensive rebound by J. Winslow
8:10.0,,,39-29,,J. Winslow misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by M. Speights,,39-29,,
7:53.0,Shooting foul by R. McGruder (drawn by M. Speights),,39-29,,
7:53.0,M. Speights makes free throw 1 of 2,1,40-29,,
7:53.0,M. Speights makes free throw 2 of 2,1,41-29,,
7:44.0,,,41-31,2,D. Williams makes 2-pt shot from 2 ft (assist by G. Dragic)
7:44.0,,,41-31,,Shooting foul by M. Speights (drawn by D. Williams)
7:44.0,,,41-32,1,D. Williams makes free throw 1 of 1
7:29.0,R. Felton misses 2-pt shot from 8 ft,,41-32,,
7:28.0,Offensive rebound by M. Speights,,41-32,,
7:27.0,M. Speights misses 2-pt shot from 3 ft,,41-32,,
7:26.0,,,41-32,,Defensive rebound by G. Dragic
7:21.0,,,41-32,,G. Dragic misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by Team,,41-32,,
7:20.0,D. Jordan enters the game for M. Speights,,41-32,,
7:20.0,,,41-32,,H. Whiteside enters the game for D. Williams
7:11.0,Shooting foul by J. Richardson (drawn by A. Rivers),,41-32,,
7:11.0,A. Rivers misses free throw 1 of 2,,41-32,,
7:11.0,Offensive rebound by Team,,41-32,,
7:11.0,A. Rivers makes free throw 2 of 2,1,42-32,,
6:55.0,,,42-32,,R. McGruder misses 2-pt shot from 17 ft
6:54.0,Defensive rebound by R. Felton,,42-32,,
6:46.0,J. Crawford misses 2-pt shot from 3 ft (block by H. Whiteside),,42-32,,
6:45.0,,,42-32,,Defensive rebound by R. McGruder
6:43.0,Personal foul by R. Felton (drawn by J. Richardson),,42-32,,
6:43.0,,,42-33,1,J. Richardson makes free throw 1 of 2
6:43.0,,,42-34,1,J. Richardson makes free throw 2 of 2
6:43.0,,,42-33,,W. Ellington enters the game for R. McGruder
6:43.0,C. Paul enters the game for R. Felton,,42-33,,
6:43.0,B. Griffin enters the game for W. Johnson,,42-33,,
6:20.0,J. Crawford makes 3-pt shot from 24 ft,3,45-34,,
5:55.0,,,45-36,2,H. Whiteside makes 2-pt shot from 9 ft
5:55.0,,,45-36,,Shooting foul by B. Griffin (drawn by H. Whiteside)
5:55.0,,,45-36,,H. Whiteside misses free throw 1 of 1
5:54.0,Defensive rebound by D. Jordan,,45-36,,
5:39.0,B. Griffin makes 2-pt shot at rim (assist by J. Crawford),2,47-36,,
5:31.0,Official timeout,,47-36,,
5:31.0,J. Redick enters the game for J. Crawford,,47-36,,
5:18.0,,,47-36,,J. Winslow misses 2-pt shot from 4 ft (block by D. Jordan)
5:17.0,,,47-36,,Offensive rebound by W. Ellington
5:13.0,,,47-36,,W. Ellington misses 3-pt shot from 47 ft
5:12.0,,,47-36,,Offensive rebound by Team
5:12.0,,,47-36,,Turnover by Team (shot clock)
4:55.0,A. Rivers misses 3-pt shot from 24 ft,,47-36,,
4:54.0,Offensive rebound by D. Jordan,,47-36,,
4:50.0,D. Jordan makes 2-pt shot from 4 ft,2,49-36,,
4:41.0,,,49-36,,Shooting foul by B. Griffin (drawn by H. Whiteside)
4:41.0,,,49-36,,H. Whiteside misses free throw 1 of 2
4:41.0,,,49-36,,Offensive rebound by Team
4:41.0,,,49-36,,H. Whiteside misses free throw 2 of 2
4:40.0,Defensive rebound by D. Jordan,,49-36,,
4:32.0,Shooting foul by W. Ellington (drawn by J. Redick),,49-36,,
4:32.0,J. Redick makes free throw 1 of 2,1,50-36,,
4:32.0,J. Redick misses free throw 2 of 2,,50-36,,
4:31.0,,,50-36,,Defensive rebound by H. Whiteside
4:16.0,,,50-38,2,H. Whiteside makes 2-pt shot from 18 ft (assist by G. Dragic)
3:59.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,52-38,,
3:40.0,,,52-38,,H. Whiteside misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by C. Paul,,52-38,,
3:33.0,,,52-38,,Personal foul by J. Richardson (drawn by C. Paul)
3:33.0,C. Paul makes free throw 1 of 2,1,53-38,,
3:33.0,C. Paul makes free throw 2 of 2,1,54-38,,
3:27.0,,,54-38,,Shooting foul by A. Rivers (drawn by G. Dragic)
3:27.0,,,54-39,1,G. Dragic makes free throw 1 of 2
3:27.0,,,54-40,1,G. Dragic makes free throw 2 of 2
3:27.0,,,54-39,,R. McGruder enters the game for W. Ellington
3:15.0,Shooting foul by J. Richardson (drawn by J. Redick),,54-40,,
3:15.0,J. Redick makes free throw 1 of 2,1,55-40,,
3:15.0,J. Redick makes free throw 2 of 2,1,56-40,,
3:15.0,,,55-40,,W. Ellington enters the game for J. Richardson
3:09.0,Personal foul by A. Rivers (drawn by J. Winslow),,56-40,,
3:09.0,,,56-40,,J. Winslow misses free throw 1 of 2
3:09.0,,,56-40,,Offensive rebound by Team
3:09.0,,,56-41,1,J. Winslow makes free throw 2 of 2
2:57.0,J. Redick misses 3-pt shot from 25 ft,,56-41,,
2:56.0,,,56-41,,Defensive rebound by H. Whiteside
2:45.0,,,56-43,2,G. Dragic makes 2-pt shot from 19 ft
2:38.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,58-43,,
2:24.0,,,58-43,,G. Dragic misses 2-pt shot from 14 ft
2:23.0,Defensive rebound by B. Griffin,,58-43,,
2:11.0,C. Paul misses 2-pt shot from 18 ft,,58-43,,
2:10.0,,,58-43,,Defensive rebound by G. Dragic
1:58.0,,,58-43,,W. Ellington misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by C. Paul,,58-43,,
1:44.0,J. Redick misses 3-pt shot from 25 ft,,58-43,,
1:43.0,,,58-43,,Defensive rebound by R. McGruder
1:36.0,,,58-43,,W. Ellington misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by D. Jordan,,58-43,,
1:19.0,B. Griffin misses 2-pt shot from 21 ft,,58-43,,
1:18.0,,,58-43,,Defensive rebound by H. Whiteside
1:04.0,,,58-43,,H. Whiteside misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by B. Griffin,,58-43,,
0:57.0,LA Clippers full timeout,,58-43,,
0:57.0,J. Crawford enters the game for A. Rivers,,58-43,,
0:44.0,J. Redick misses 2-pt shot from 6 ft,,58-43,,
0:43.0,,,58-43,,Defensive rebound by H. Whiteside
0:23.0,,,58-46,3,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic)
0:03.0,,,58-46,,W. Reed enters the game for H. Whiteside
0:00.0,B. Griffin makes 2-pt shot from 15 ft,2,60-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,60-46,,Offensive foul by H. Whiteside
11:48.0,,,60-46,,Turnover by H. Whiteside (offensive foul)
11:31.0,J. Redick misses 2-pt shot from 7 ft,,60-46,,
11:30.0,,,60-46,,Defensive rebound by H. Whiteside
11:19.0,,,60-48,2,J. McRoberts makes 2-pt shot from 19 ft (assist by R. McGruder)
11:04.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,62-48,,
10:44.0,,,62-50,2,W. Ellington makes 2-pt shot from 19 ft (assist by G. Dragic)
10:34.0,A. Rivers misses 2-pt shot from 9 ft,,62-50,,
10:33.0,,,62-50,,Defensive rebound by H. Whiteside
10:26.0,,,62-50,,G. Dragic misses 2-pt shot from 7 ft
10:25.0,,,62-50,,Offensive rebound by H. Whiteside
10:24.0,,,62-52,2,H. Whiteside makes 2-pt shot at rim
10:09.0,,,62-52,,Violation by H. Whiteside (def goaltending)
10:09.0,B. Griffin makes 2-pt shot from 8 ft,2,64-52,,
9:53.0,,,64-54,2,W. Ellington makes 2-pt shot from 18 ft (assist by G. Dragic)
9:36.0,B. Griffin misses 2-pt shot from 2 ft (block by J. McRoberts),,64-54,,
9:35.0,Offensive rebound by B. Griffin,,64-54,,
9:34.0,Turnover by B. Griffin (bad pass; steal by G. Dragic),,64-54,,
9:27.0,Personal foul by C. Paul (drawn by H. Whiteside),,64-54,,
9:19.0,Def 3 sec tech foul by B. Griffin,,64-54,,
9:19.0,,,64-55,1,G. Dragic makes technical free throw
9:13.0,Personal foul by C. Paul (drawn by G. Dragic),,64-55,,
9:06.0,,,64-58,3,J. McRoberts makes 3-pt shot from 26 ft (assist by G. Dragic)
9:06.0,LA Clippers full timeout,,64-58,,
8:53.0,C. Paul misses 2-pt shot from 16 ft,,64-58,,
8:52.0,,,64-58,,Defensive rebound by H. Whiteside
8:36.0,,,64-58,,J. McRoberts misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by A. Rivers,,64-58,,
8:23.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,67-58,,
8:05.0,Personal foul by C. Paul (drawn by G. Dragic),,67-58,,
7:54.0,,,67-58,,J. McRoberts misses 2-pt shot from 6 ft
7:53.0,Defensive rebound by D. Jordan,,67-58,,
7:47.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,70-58,,
7:47.0,,,70-58,,Miami full timeout
7:47.0,,,70-58,,J. Richardson enters the game for W. Ellington
7:33.0,,,70-60,2,G. Dragic makes 2-pt shot from 17 ft
7:13.0,J. Redick misses 3-pt shot from 25 ft,,70-60,,
7:12.0,,,70-60,,Defensive rebound by Team
6:51.0,,,70-60,,R. McGruder misses 3-pt shot from 25 ft
6:50.0,,,70-60,,Offensive rebound by R. McGruder
6:46.0,,,70-60,,G. Dragic misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by D. Jordan,,70-60,,
6:23.0,B. Griffin misses 2-pt shot from 20 ft,,70-60,,
6:22.0,,,70-60,,Defensive rebound by H. Whiteside
6:08.0,,,70-60,,H. Whiteside misses 2-pt shot from 10 ft
6:07.0,Defensive rebound by D. Jordan,,70-60,,
5:53.0,Shooting foul by H. Whiteside (drawn by D. Jordan),,70-60,,
5:53.0,D. Jordan makes free throw 1 of 2,1,71-60,,
5:53.0,D. Jordan makes free throw 2 of 2,1,72-60,,
5:53.0,,,71-60,,W. Reed enters the game for H. Whiteside
5:39.0,,,72-60,,J. Richardson misses 2-pt shot from 3 ft (block by D. Jordan)
5:38.0,Defensive rebound by C. Paul,,72-60,,
5:32.0,C. Paul misses 2-pt shot from 10 ft,,72-60,,
5:31.0,Offensive rebound by B. Griffin,,72-60,,
5:28.0,B. Griffin makes 2-pt shot from 1 ft,2,74-60,,
5:07.0,,,74-60,,G. Dragic misses 3-pt shot from 25 ft
5:06.0,,,74-60,,Offensive rebound by G. Dragic
4:54.0,,,74-60,,J. McRoberts misses 2-pt shot from 11 ft
4:53.0,Defensive rebound by D. Jordan,,74-60,,
4:46.0,C. Paul makes 2-pt shot from 12 ft,2,76-60,,
4:24.0,,,76-60,,J. McRoberts misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by C. Paul,,76-60,,
4:17.0,J. Redick misses 3-pt shot from 26 ft,,76-60,,
4:16.0,,,76-60,,Defensive rebound by Team
4:16.0,,,76-60,,J. Johnson enters the game for J. McRoberts
4:00.0,,,76-60,,W. Reed misses 2-pt shot from 10 ft
3:59.0,,,76-60,,Offensive rebound by W. Reed
3:58.0,,,76-60,,W. Reed misses 2-pt shot from 7 ft
3:57.0,Defensive rebound by D. Jordan,,76-60,,
3:38.0,Turnover by B. Griffin (lost ball; steal by G. Dragic),,76-60,,
3:35.0,,,76-60,,Shooting foul by A. Rivers (drawn by G. Dragic)
3:35.0,,,76-61,1,G. Dragic makes free throw 1 of 2
3:35.0,,,76-62,1,G. Dragic makes free throw 2 of 2
3:35.0,R. Felton enters the game for J. Redick,,76-61,,
3:35.0,J. Crawford enters the game for A. Rivers,,76-61,,
3:35.0,,,76-61,,J. Winslow enters the game for R. McGruder
3:26.0,C. Paul misses 2-pt shot from 2 ft (block by W. Reed),,76-62,,
3:25.0,,,76-62,,Defensive rebound by W. Reed
3:11.0,,,76-64,2,J. Johnson makes 2-pt shot at rim
2:59.0,Turnover by B. Griffin (lost ball),,76-64,,
2:59.0,A. Anderson enters the game for C. Paul,,76-64,,
2:47.0,,,76-64,,J. Richardson misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by R. Felton,,76-64,,
2:29.0,D. Jordan misses 2-pt shot from 2 ft,,76-64,,
2:28.0,,,76-64,,Defensive rebound by J. Richardson
2:24.0,Personal foul by D. Jordan (drawn by W. Reed),,76-64,,
2:24.0,,,76-64,,W. Reed misses free throw 1 of 2
2:24.0,,,76-64,,Offensive rebound by Team
2:24.0,,,76-64,,W. Reed misses free throw 2 of 2
2:24.0,M. Speights enters the game for D. Jordan,,76-64,,
2:23.0,Defensive rebound by B. Griffin,,76-64,,
2:05.0,M. Speights misses 3-pt shot from 24 ft,,76-64,,
2:04.0,,,76-64,,Defensive rebound by J. Winslow
1:59.0,,,76-64,,Turnover by J. Winslow (offensive foul)
1:59.0,,,76-64,,Offensive charge foul by J. Winslow
1:40.0,A. Anderson makes 3-pt shot from 25 ft (assist by R. Felton),3,79-64,,
1:24.0,,,79-66,2,G. Dragic makes 2-pt shot from 2 ft
1:07.0,J. Crawford misses 3-pt shot from 26 ft,,79-66,,
1:06.0,,,79-66,,Defensive rebound by J. Johnson
0:42.0,,,79-66,,J. Richardson misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by M. Speights,,79-66,,
0:33.0,M. Speights misses 3-pt shot from 25 ft,,79-66,,
0:32.0,,,79-66,,Defensive rebound by J. Johnson
0:25.0,,,79-68,2,J. Johnson makes 2-pt shot from 9 ft
0:25.0,,,79-68,,Shooting foul by M. Speights (drawn by J. Johnson)
0:25.0,,,79-69,1,J. Johnson makes free throw 1 of 1
0:25.0,,,79-68,,R. McGruder enters the game for G. Dragic
0:02.0,J. Crawford misses 3-pt shot from 25 ft,,79-69,,
0:01.0,,,79-69,,Defensive rebound by R. McGruder
0:00.0,,,79-69,,R. McGruder misses 3-pt shot from 45 ft
0:00.0,,,79-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Shooting foul by G. Dragic (drawn by R. Felton),,79-69,,
11:51.0,R. Felton makes free throw 1 of 2,1,80-69,,
11:51.0,R. Felton makes free throw 2 of 2,1,81-69,,
11:32.0,,,81-71,2,J. Johnson makes 2-pt shot from 2 ft
11:18.0,R. Felton makes 2-pt shot from 3 ft,2,83-71,,
10:51.0,,,83-71,,G. Dragic misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by M. Speights,,83-71,,
10:35.0,J. Crawford makes 2-pt shot from 3 ft,2,85-71,,
10:12.0,,,85-73,2,J. Winslow makes 2-pt shot from 2 ft
9:54.0,Shooting foul by L. Babbitt (drawn by A. Anderson),,85-73,,
9:54.0,A. Anderson makes free throw 1 of 2,1,86-73,,
9:54.0,A. Anderson misses free throw 2 of 2,,86-73,,
9:53.0,,,86-73,,Defensive rebound by J. Johnson
9:42.0,,,86-75,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
9:24.0,J. Crawford misses 2-pt shot from 15 ft,,86-75,,
9:23.0,,,86-75,,Defensive rebound by G. Dragic
9:16.0,,,86-75,,J. Johnson misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by W. Johnson,,86-75,,
9:08.0,Shooting foul by L. Babbitt (drawn by M. Speights),,86-75,,
9:08.0,M. Speights makes free throw 1 of 2,1,87-75,,
9:08.0,M. Speights makes free throw 2 of 2,1,88-75,,
9:08.0,,,87-75,,R. McGruder enters the game for G. Dragic
9:08.0,A. Rivers enters the game for W. Johnson,,87-75,,
8:56.0,,,88-75,,J. Richardson misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by J. Crawford,,88-75,,
8:35.0,M. Speights misses 2-pt shot from 14 ft,,88-75,,
8:34.0,,,88-75,,Defensive rebound by L. Babbitt
8:32.0,,,88-75,,Shooting foul by M. Speights (drawn by J. Winslow)
8:32.0,Official timeout,,88-75,,
8:32.0,,,88-76,1,J. Winslow makes free throw 1 of 2
8:32.0,,,88-76,,J. Winslow misses free throw 2 of 2
8:31.0,Defensive rebound by M. Speights,,88-76,,
8:11.0,J. Crawford misses 3-pt shot from 24 ft,,88-76,,
8:10.0,,,88-76,,Defensive rebound by J. Winslow
7:48.0,,,88-76,,J. Johnson misses 2-pt shot from 8 ft
7:47.0,Defensive rebound by M. Speights,,88-76,,
7:40.0,Turnover by J. Crawford (lost ball; steal by J. Winslow),,88-76,,
7:38.0,Personal foul by M. Speights (drawn by J. Winslow),,88-76,,
7:38.0,C. Paul enters the game for R. Felton,,88-76,,
7:38.0,B. Griffin enters the game for M. Speights,,88-76,,
7:38.0,D. Jordan enters the game for A. Anderson,,88-76,,
7:38.0,,,88-76,,H. Whiteside enters the game for L. Babbitt
7:23.0,,,88-78,2,J. Winslow makes 2-pt shot from 2 ft (assist by J. Johnson)
7:03.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,90-78,,
6:46.0,,,90-80,2,J. Richardson makes 2-pt shot from 20 ft
6:35.0,C. Paul misses 3-pt shot from 24 ft,,90-80,,
6:34.0,,,90-80,,Defensive rebound by J. Johnson
6:29.0,,,90-80,,J. Johnson misses 3-pt shot from 23 ft
6:28.0,,,90-80,,Offensive rebound by H. Whiteside
6:27.0,,,90-80,,H. Whiteside misses 2-pt shot from 8 ft
6:26.0,,,90-80,,Offensive rebound by J. Johnson
6:21.0,,,90-80,,J. Richardson misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by C. Paul,,90-80,,
5:57.0,J. Crawford misses 2-pt shot from 19 ft,,90-80,,
5:56.0,,,90-80,,Defensive rebound by J. Johnson
5:49.0,,,90-82,2,J. Johnson makes 2-pt shot from 1 ft
5:49.0,LA Clippers full timeout,,90-82,,
5:49.0,J. Redick enters the game for J. Crawford,,90-82,,
5:33.0,A. Rivers misses 2-pt shot from 10 ft,,90-82,,
5:32.0,,,90-82,,Defensive rebound by J. Johnson
5:29.0,Shooting block foul by B. Griffin (drawn by J. Johnson),,90-82,,
5:29.0,,,90-82,,J. Johnson misses free throw 1 of 2
5:29.0,,,90-82,,Offensive rebound by Team
5:29.0,,,90-83,1,J. Johnson makes free throw 2 of 2
5:29.0,,,90-82,,G. Dragic enters the game for J. Richardson
5:14.0,J. Redick makes 2-pt shot from 18 ft,2,92-83,,
4:53.0,,,92-85,2,J. Winslow makes 2-pt shot from 5 ft
4:36.0,J. Redick misses 2-pt shot from 12 ft (block by J. Johnson),,92-85,,
4:35.0,,,92-85,,Defensive rebound by H. Whiteside
4:27.0,,,92-85,,J. Winslow misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by Team,,92-85,,
4:08.0,B. Griffin misses 2-pt shot from 19 ft,,92-85,,
4:07.0,Offensive rebound by D. Jordan,,92-85,,
4:06.0,D. Jordan misses 2-pt shot from 1 ft,,92-85,,
4:05.0,,,92-85,,Defensive rebound by H. Whiteside
3:58.0,Personal foul by D. Jordan (drawn by G. Dragic),,92-85,,
