time,Memphis,pts.away,score,pts.home,Cleveland
8:23.0,,,4-4,,Turnover by K. Love (lost ball; steal by Z. Randolph)
8:19.0,Turnover by T. Williams (lost ball; steal by D. Liggins),,4-4,,
8:10.0,,,4-7,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
7:49.0,T. Williams makes 2-pt shot from 1 ft,2,6-7,,
7:37.0,,,6-9,2,L. James makes 2-pt shot from 2 ft (assist by K. Love)
7:18.0,T. Allen makes 2-pt shot from 11 ft (assist by J. Green),2,8-9,,
7:02.0,Jump ball: A. Harrison vs. K. Love (J. Smith gains possession),,,,Jump ball: A. Harrison vs. K. Love (J. Smith gains possession)
6:51.0,,,8-11,2,J. Smith makes 2-pt shot from 21 ft
6:29.0,A. Harrison misses 2-pt shot from 18 ft,,8-11,,
6:29.0,,,8-11,,Defensive rebound by L. James
6:10.0,,,8-11,,T. Thompson misses 2-pt shot from 8 ft
6:09.0,,,8-11,,Offensive rebound by J. Smith
6:09.0,,,8-11,,J. Smith misses 2-pt shot from 4 ft
6:08.0,,,8-11,,Offensive rebound by K. Love
6:07.0,,,8-13,2,K. Love makes 2-pt shot from 1 ft
6:00.0,Memphis full timeout,,8-13,,
5:51.0,J. Green misses 2-pt shot from 7 ft,,8-13,,
5:49.0,,,8-13,,Defensive rebound by D. Liggins
5:47.0,,,8-13,,Shooting foul by T. Allen (drawn by L. James)
5:47.0,,,8-14,1,L. James makes free throw 1 of 2
5:47.0,,,8-15,1,L. James makes free throw 2 of 2
5:47.0,V. Carter enters the game for T. Allen,,8-14,,
5:38.0,,,8-15,,Personal foul by T. Thompson (drawn by Z. Randolph)
5:29.0,V. Carter makes 3-pt shot from 24 ft (assist by A. Harrison),3,11-15,,
5:10.0,,,11-15,,Turnover by L. James (bad pass)
4:58.0,A. Harrison makes 3-pt shot from 24 ft,3,14-15,,
4:43.0,,,14-15,,Turnover by D. Liggins (lost ball)
4:27.0,J. Green misses 2-pt shot from 8 ft (block by J. Smith),,14-15,,
4:24.0,Offensive rebound by J. Green,,14-15,,
4:22.0,T. Williams makes 2-pt shot from 1 ft (assist by J. Green),2,16-15,,
4:03.0,,,16-17,2,J. Smith makes 2-pt shot from 18 ft
3:38.0,A. Harrison misses 3-pt shot from 25 ft,,16-17,,
3:38.0,,,16-17,,Defensive rebound by L. James
3:28.0,,,16-20,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
3:12.0,V. Carter misses 3-pt shot from 27 ft,,16-20,,
3:11.0,,,16-20,,Defensive rebound by D. Liggins
3:04.0,,,16-20,,D. Liggins misses 2-pt shot from 3 ft (block by A. Harrison)
3:04.0,,,16-20,,Offensive rebound by Team
3:04.0,,,16-20,,I. Shumpert enters the game for D. Liggins
3:04.0,J. Martin enters the game for J. Green,,16-20,,
3:04.0,T. Douglas enters the game for A. Harrison,,16-20,,
2:51.0,,,16-22,2,L. James makes 2-pt shot from 2 ft
2:37.0,Z. Randolph makes 2-pt shot from 7 ft (assist by V. Carter),2,18-22,,
2:23.0,,,18-25,3,K. Love makes 3-pt shot from 27 ft (assist by L. James)
2:12.0,,,18-25,,Cleveland full timeout
2:12.0,,,18-25,,R. Jefferson enters the game for L. James
2:01.0,V. Carter misses 3-pt shot from 23 ft,,18-25,,
2:00.0,Offensive rebound by J. Martin,,18-25,,
1:43.0,T. Douglas misses 2-pt shot from 2 ft,,18-25,,
1:41.0,,,18-25,,Defensive rebound by T. Thompson
1:23.0,,,18-27,2,T. Thompson makes 2-pt shot from 12 ft (assist by J. Smith)
1:06.0,Z. Randolph makes 2-pt shot from 7 ft,2,20-27,,
0:52.0,,,20-29,2,K. Love makes 2-pt shot from 8 ft
0:38.0,Z. Randolph misses 2-pt shot from 16 ft,,20-29,,
0:38.0,,,20-29,,Defensive rebound by K. Love
0:31.0,,,20-32,3,I. Shumpert makes 3-pt shot from 31 ft (assist by J. Smith)
0:18.0,T. Douglas misses 2-pt shot from 7 ft,,20-32,,
0:16.0,,,20-32,,Defensive rebound by K. Love
0:00.0,,,20-32,,K. Love misses 2-pt shot from 18 ft
0:00.0,,,20-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,T. Daniels misses 2-pt shot from 18 ft,,20-32,,
11:39.0,Offensive rebound by J. Green,,20-32,,
11:39.0,J. Green misses 2-pt shot from 3 ft,,20-32,,
11:37.0,Offensive rebound by J. Green,,20-32,,
11:37.0,J. Green misses 2-pt shot at rim (block by I. Shumpert),,20-32,,
11:36.0,,,20-32,,Defensive rebound by K. Felder
11:34.0,Personal foul by T. Douglas (drawn by K. Felder),,20-32,,
11:25.0,,,20-32,,Shooting foul by D. Davis (drawn by C. Frye)
11:25.0,,,20-33,1,C. Frye makes free throw 1 of 2
11:25.0,,,20-34,1,C. Frye makes free throw 2 of 2
11:06.0,Turnover by T. Daniels (bad pass; steal by L. James),,20-34,,
11:04.0,,,20-34,,Shooting foul by J. Martin (drawn by L. James)
11:04.0,,,20-34,,L. James misses free throw 1 of 2
11:04.0,,,20-34,,Offensive rebound by Team
11:04.0,,,20-34,,L. James misses free throw 2 of 2
11:03.0,Defensive rebound by J. Martin,,20-34,,
10:54.0,Turnover by T. Douglas (bad pass; steal by L. James),,20-34,,
10:46.0,,,20-34,,L. James misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by T. Douglas,,20-34,,
10:32.0,Turnover by T. Douglas (bad pass),,20-34,,
10:10.0,,,20-34,,L. James misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by T. Daniels,,20-34,,
10:03.0,Shooting foul by C. Frye (drawn by T. Daniels),,20-34,,
10:03.0,T. Daniels makes free throw 1 of 2,1,21-34,,
10:03.0,T. Daniels makes free throw 2 of 2,1,22-34,,
10:03.0,A. Harrison enters the game for T. Douglas,,21-34,,
9:53.0,,,22-34,,Shooting foul by J. Martin (drawn by L. James)
9:53.0,,,22-35,1,L. James makes free throw 1 of 2
9:53.0,,,22-36,1,L. James makes free throw 2 of 2
9:33.0,A. Harrison misses 2-pt shot from 6 ft,,22-36,,
9:32.0,,,22-36,,Defensive rebound by K. Felder
9:30.0,,,22-38,2,L. James makes 2-pt shot from 7 ft
9:30.0,,,22-38,,Shooting foul by J. Martin (drawn by L. James)
9:30.0,,,22-39,1,L. James makes free throw 1 of 1
9:30.0,T. Williams enters the game for J. Martin,,22-38,,
9:21.0,,,22-39,,Personal foul by K. Felder (drawn by A. Harrison)
9:05.0,T. Williams makes 3-pt shot from 30 ft (assist by A. Harrison),3,25-39,,
8:45.0,,,25-39,,R. Jefferson misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by D. Davis,,25-39,,
8:39.0,T. Williams misses 2-pt shot from 2 ft,,25-39,,
8:38.0,,,25-39,,Defensive rebound by C. Frye
8:25.0,,,25-39,,C. Frye misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by T. Williams,,25-39,,
8:09.0,J. Green misses 2-pt shot from 16 ft,,25-39,,
8:08.0,,,25-39,,Defensive rebound by K. Felder
7:57.0,,,25-39,,I. Shumpert misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by A. Harrison,,25-39,,
7:55.0,A. Harrison makes 2-pt shot from 5 ft,2,27-39,,
7:55.0,Shooting foul by K. Felder (drawn by A. Harrison),,27-39,,
7:55.0,Official timeout,,27-39,,
7:55.0,A. Harrison makes free throw 1 of 1,1,28-39,,
7:55.0,Z. Randolph enters the game for D. Davis,,27-39,,
7:37.0,,,28-39,,C. Frye misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by T. Williams,,28-39,,
7:11.0,Turnover by Team (shot clock),,28-39,,
7:11.0,,,28-39,,J. Smith enters the game for K. Felder
6:51.0,,,28-39,,L. James misses 2-pt shot from 5 ft
6:50.0,Defensive rebound by Z. Randolph,,28-39,,
6:39.0,T. Williams misses 3-pt shot from 24 ft,,28-39,,
6:39.0,,,28-39,,Defensive rebound by Team
6:39.0,Loose ball foul by J. Green (drawn by J. Smith),,28-39,,
6:39.0,,,28-39,,J. Smith misses free throw 1 of 2
6:39.0,,,28-39,,Offensive rebound by Team
6:39.0,,,28-40,1,J. Smith makes free throw 2 of 2
6:39.0,,,28-39,,K. Love enters the game for R. Jefferson
6:19.0,T. Williams misses 3-pt shot from 24 ft,,28-40,,
6:18.0,,,28-40,,Defensive rebound by K. Love
6:03.0,,,28-42,2,L. James makes 2-pt shot from 3 ft
5:40.0,Z. Randolph misses 2-pt shot from 5 ft,,28-42,,
5:40.0,,,28-42,,Defensive rebound by L. James
5:29.0,,,28-42,,L. James misses 3-pt shot from 25 ft
5:27.0,,,28-42,,Offensive rebound by K. Love
5:26.0,,,28-42,,K. Love misses 2-pt shot from 3 ft (block by A. Harrison)
5:26.0,,,28-42,,Offensive rebound by L. James
5:25.0,,,28-44,2,L. James makes 2-pt shot from 5 ft
5:25.0,,,28-44,,Shooting foul by A. Harrison (drawn by L. James)
5:25.0,,,28-44,,Cleveland full timeout
5:25.0,,,28-44,,L. James misses free throw 1 of 1
5:25.0,T. Allen enters the game for T. Williams,,28-44,,
5:25.0,V. Carter enters the game for T. Daniels,,28-44,,
5:24.0,Defensive rebound by V. Carter,,28-44,,
5:08.0,Z. Randolph makes 2-pt shot from 10 ft (assist by V. Carter),2,30-44,,
4:47.0,,,30-46,2,K. Love makes 2-pt shot from 13 ft
4:47.0,,,30-46,,Shooting foul by J. Green (drawn by K. Love)
4:47.0,Technical foul by Team,,30-46,,
4:47.0,,,30-47,1,K. Love makes technical free throw
4:47.0,,,30-48,1,K. Love makes free throw 1 of 1
4:47.0,,,30-46,,T. Thompson enters the game for L. James
4:47.0,,,30-46,,D. Liggins enters the game for C. Frye
4:31.0,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter),2,32-48,,
4:15.0,,,32-48,,D. Liggins misses 2-pt shot from 7 ft (block by A. Harrison)
4:14.0,,,32-48,,Offensive rebound by D. Liggins
4:07.0,,,32-48,,Turnover by I. Shumpert (dbl dribble)
3:53.0,A. Harrison misses 3-pt shot from 26 ft,,32-48,,
3:53.0,Offensive rebound by Team,,32-48,,
3:40.0,Z. Randolph misses 2-pt shot from 15 ft,,32-48,,
3:40.0,,,32-48,,Defensive rebound by K. Love
3:24.0,Violation by Z. Randolph (kicked ball),,32-48,,
3:20.0,,,32-48,,T. Thompson misses 2-pt shot from 2 ft (block by Z. Randolph)
3:19.0,,,32-48,,Offensive rebound by Team
3:17.0,,,32-51,3,J. Smith makes 3-pt shot from 23 ft (assist by D. Liggins)
2:58.0,J. Green misses 2-pt shot from 20 ft,,32-51,,
2:58.0,,,32-51,,Defensive rebound by Team
2:58.0,Memphis full timeout,,32-51,,
2:45.0,,,32-53,2,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert)
2:29.0,T. Allen makes 2-pt shot from 5 ft (assist by Z. Randolph),2,34-53,,
2:29.0,Shooting foul by I. Shumpert (drawn by T. Allen),,34-53,,
2:29.0,T. Allen misses free throw 1 of 1,,34-53,,
2:29.0,J. Martin enters the game for J. Green,,34-53,,
2:28.0,,,34-53,,Defensive rebound by J. Smith
2:13.0,,,34-56,3,J. Smith makes 3-pt shot from 28 ft (assist by D. Liggins)
2:00.0,T. Allen misses 2-pt shot from 3 ft (block by T. Thompson),,34-56,,
1:58.0,Offensive rebound by J. Martin,,34-56,,
1:58.0,J. Martin makes 2-pt shot from 2 ft,2,36-56,,
1:46.0,,,36-56,,D. Liggins misses 2-pt shot from 23 ft
1:45.0,,,36-56,,Offensive rebound by K. Love
1:45.0,,,36-58,2,K. Love makes 2-pt shot from 1 ft
1:36.0,Shooting foul by T. Thompson (drawn by A. Harrison),,36-58,,
1:36.0,A. Harrison misses free throw 1 of 2,,36-58,,
1:36.0,Offensive rebound by Team,,36-58,,
1:36.0,A. Harrison makes free throw 2 of 2,1,37-58,,
1:36.0,,,36-58,,C. Frye enters the game for T. Thompson
1:36.0,,,36-58,,L. James enters the game for D. Liggins
1:21.0,,,37-58,,C. Frye misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by Z. Randolph,,37-58,,
1:06.0,J. Martin makes 2-pt shot from 20 ft (assist by A. Harrison),2,39-58,,
0:51.0,,,39-58,,K. Love misses 3-pt shot from 22 ft
0:51.0,Defensive rebound by J. Martin,,39-58,,
0:42.0,A. Harrison makes 2-pt shot from 1 ft,2,41-58,,
0:23.0,,,41-58,,Turnover by C. Frye (lost ball; steal by A. Harrison)
0:19.0,T. Allen makes 2-pt shot from 1 ft (assist by A. Harrison),2,43-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,A. Harrison misses 3-pt shot from 29 ft,,43-58,,
11:35.0,,,43-58,,Defensive rebound by K. Love
11:23.0,,,43-58,,Turnover by L. James (bad pass; steal by Z. Randolph)
11:01.0,Z. Randolph makes 2-pt shot from 20 ft (assist by T. Allen),2,45-58,,
10:36.0,,,45-58,,D. Liggins misses 3-pt shot from 25 ft
10:36.0,,,45-58,,Offensive rebound by T. Thompson
10:32.0,,,45-58,,J. Smith misses 3-pt shot from 28 ft
10:31.0,Defensive rebound by T. Williams,,45-58,,
10:16.0,T. Allen misses 2-pt shot from 3 ft (block by D. Liggins),,45-58,,
10:16.0,Offensive rebound by Team,,45-58,,
10:13.0,Turnover by J. Green (lost ball; steal by K. Love),,45-58,,
10:01.0,,,45-58,,Shooting foul by T. Williams (drawn by K. Love)
10:01.0,,,45-59,1,K. Love makes free throw 1 of 2
10:01.0,,,45-60,1,K. Love makes free throw 2 of 2
9:39.0,J. Green misses 2-pt shot from 21 ft,,45-60,,
9:39.0,Offensive rebound by T. Williams,,45-60,,
9:35.0,T. Williams misses 2-pt shot from 1 ft,,45-60,,
9:32.0,,,45-60,,Defensive rebound by T. Thompson
9:27.0,,,45-60,,J. Smith misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by J. Green,,45-60,,
9:15.0,T. Allen misses 2-pt shot from 1 ft,,45-60,,
9:14.0,Offensive rebound by J. Green,,45-60,,
9:14.0,Turnover by J. Green (step out of bounds),,45-60,,
9:02.0,,,45-60,,Turnover by L. James (bad pass)
9:02.0,J. Martin enters the game for J. Green,,45-60,,
8:53.0,T. Williams makes 2-pt shot at rim (assist by Z. Randolph),2,47-60,,
8:35.0,,,47-62,2,L. James makes 2-pt shot from 19 ft
8:14.0,Z. Randolph misses 2-pt shot from 16 ft,,47-62,,
8:14.0,,,47-62,,Defensive rebound by D. Liggins
8:01.0,,,47-62,,K. Love misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by J. Martin,,47-62,,
7:54.0,Shooting foul by T. Thompson (drawn by A. Harrison),,47-62,,
7:54.0,A. Harrison makes free throw 1 of 2,1,48-62,,
7:54.0,A. Harrison makes free throw 2 of 2,1,49-62,,
7:33.0,,,49-64,2,L. James makes 2-pt shot from 19 ft
7:16.0,T. Allen misses 2-pt shot from 5 ft,,49-64,,
7:14.0,,,49-64,,Defensive rebound by K. Love
7:05.0,,,49-64,,Turnover by L. James (lost ball; steal by T. Allen)
7:00.0,T. Williams makes 2-pt shot at rim,2,51-64,,
6:37.0,,,51-64,,J. Smith misses 2-pt shot from 5 ft
6:37.0,,,51-64,,Offensive rebound by J. Smith
6:30.0,,,51-64,,J. Smith misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by J. Martin,,51-64,,
6:19.0,Z. Randolph misses 3-pt shot from 28 ft,,51-64,,
6:19.0,,,51-64,,Defensive rebound by K. Love
6:09.0,,,51-67,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
6:08.0,Memphis full timeout,,51-67,,
6:08.0,J. Green enters the game for Z. Randolph,,51-67,,
5:59.0,,,51-67,,Personal foul by L. James (drawn by T. Allen)
5:46.0,T. Williams misses 2-pt shot from 1 ft,,51-67,,
5:44.0,,,51-67,,Defensive rebound by K. Love
5:39.0,,,51-67,,D. Liggins misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by Team,,51-67,,
5:19.0,Turnover by J. Martin (lost ball; steal by D. Liggins),,51-67,,
5:04.0,,,51-67,,Turnover by J. Smith (bad pass; steal by T. Allen)
5:00.0,Offensive foul by J. Martin,,51-67,,
5:00.0,Turnover by J. Martin (offensive foul),,51-67,,
4:36.0,,,51-67,,L. James misses 2-pt shot from 11 ft
4:35.0,Defensive rebound by J. Martin,,51-67,,
4:22.0,J. Martin makes 2-pt shot from 16 ft (assist by T. Williams),2,53-67,,
4:02.0,,,53-67,,L. James misses 2-pt shot from 14 ft
3:59.0,Defensive rebound by J. Martin,,53-67,,
3:52.0,T. Williams misses 3-pt shot from 26 ft,,53-67,,
3:51.0,,,53-67,,Defensive rebound by L. James
3:48.0,Personal foul by J. Martin (drawn by L. James),,53-67,,
3:48.0,D. Davis enters the game for T. Allen,,53-67,,
3:48.0,V. Carter enters the game for J. Martin,,53-67,,
3:48.0,,,53-67,,I. Shumpert enters the game for D. Liggins
3:32.0,,,53-67,,J. Smith misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by J. Green,,53-67,,
3:20.0,V. Carter misses 3-pt shot from 24 ft,,53-67,,
3:20.0,,,53-67,,Defensive rebound by J. Smith
2:59.0,,,53-67,,K. Love misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by A. Harrison,,53-67,,
2:51.0,A. Harrison misses 3-pt shot from 26 ft,,53-67,,
2:50.0,,,53-67,,Defensive rebound by I. Shumpert
2:46.0,,,53-67,,Cleveland full timeout
2:46.0,T. Daniels enters the game for T. Williams,,53-67,,
2:46.0,T. Douglas enters the game for A. Harrison,,53-67,,
2:46.0,,,53-67,,R. Jefferson enters the game for L. James
2:27.0,,,53-67,,R. Jefferson misses 2-pt shot from 4 ft
2:27.0,,,53-67,,Offensive rebound by R. Jefferson
2:24.0,,,53-67,,Turnover by R. Jefferson (lost ball; steal by T. Douglas)
2:05.0,D. Davis makes 2-pt shot at rim (assist by V. Carter),2,55-67,,
1:48.0,Personal foul by T. Douglas (drawn by I. Shumpert),,55-67,,
1:41.0,,,55-67,,J. Smith misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by D. Davis,,55-67,,
1:23.0,J. Green misses 2-pt shot from 18 ft,,55-67,,
1:22.0,,,55-67,,Defensive rebound by Team
1:04.0,,,55-67,,K. Love misses 2-pt shot from 12 ft (block by T. Douglas)
1:04.0,,,55-67,,Offensive rebound by Team
1:00.0,,,55-70,3,J. Smith makes 3-pt shot from 23 ft (assist by R. Jefferson)
0:46.0,T. Daniels makes 3-pt shot from 26 ft,3,58-70,,
0:33.0,,,58-73,3,K. Love makes 3-pt shot from 25 ft (assist by I. Shumpert)
0:15.0,T. Douglas misses 3-pt shot from 27 ft,,58-73,,
0:15.0,,,58-73,,Defensive rebound by J. Smith
0:01.0,,,58-73,,J. Smith misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by T. Douglas,,58-73,,
0:00.0,T. Douglas misses 3-pt shot from 59 ft,,58-73,,
0:00.0,Offensive rebound by Team,,58-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,58-73,,C. Frye misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by V. Carter,,58-73,,
11:33.0,T. Daniels misses 3-pt shot from 30 ft,,58-73,,
11:32.0,Offensive rebound by D. Davis,,58-73,,
11:32.0,D. Davis makes 2-pt shot from 1 ft,2,60-73,,
11:17.0,,,60-73,,I. Shumpert misses 2-pt shot from 10 ft
11:14.0,Defensive rebound by D. Davis,,60-73,,
11:12.0,,,60-73,,Personal foul by R. Jefferson (drawn by T. Douglas)
11:06.0,Shooting foul by D. Liggins (drawn by D. Davis),,60-73,,
11:06.0,D. Davis makes 2-pt shot at rim (assist by T. Douglas),2,62-73,,
11:06.0,D. Davis misses free throw 1 of 1,,62-73,,
11:05.0,,,62-73,,Defensive rebound by L. James
10:44.0,,,62-73,,Turnover by R. Jefferson (traveling)
10:34.0,T. Douglas makes 2-pt shot from 12 ft,2,64-73,,
10:34.0,Violation by Team (jump ball),,64-73,,
10:22.0,,,64-75,2,R. Jefferson makes 2-pt shot at rim (assist by C. Frye)
10:04.0,T. Douglas makes 2-pt shot from 15 ft,2,66-75,,
9:41.0,,,66-75,,Offensive charge foul by I. Shumpert
9:41.0,,,66-75,,Turnover by I. Shumpert (offensive foul)
9:24.0,T. Daniels misses 3-pt shot from 31 ft,,66-75,,
9:23.0,,,66-75,,Defensive rebound by R. Jefferson
9:15.0,,,66-78,3,C. Frye makes 3-pt shot from 26 ft (assist by L. James)
8:54.0,T. Douglas misses 2-pt shot from 16 ft,,66-78,,
8:52.0,,,66-78,,Defensive rebound by I. Shumpert
8:50.0,Personal foul by T. Williams (drawn by L. James),,66-78,,
8:50.0,Official timeout,,66-78,,
8:50.0,T. Allen enters the game for V. Carter,,66-78,,
8:50.0,Z. Randolph enters the game for D. Davis,,66-78,,
8:39.0,,,66-78,,Turnover by L. James (lost ball; steal by T. Douglas)
8:33.0,T. Williams makes 2-pt shot from 1 ft (assist by T. Douglas),2,68-78,,
8:21.0,,,68-80,2,I. Shumpert makes 2-pt shot at rim
7:57.0,Z. Randolph makes 2-pt shot from 8 ft (assist by T. Daniels),2,70-80,,
7:45.0,,,70-83,3,D. Liggins makes 3-pt shot from 23 ft (assist by L. James)
7:20.0,Z. Randolph makes 2-pt shot from 13 ft,2,72-83,,
7:06.0,,,72-83,,I. Shumpert misses 3-pt shot from 30 ft
7:06.0,Defensive rebound by T. Williams,,72-83,,
6:56.0,,,72-83,,Personal foul by C. Frye (drawn by Z. Randolph)
6:56.0,,,72-83,,K. Love enters the game for I. Shumpert
6:47.0,Z. Randolph makes 2-pt shot from 6 ft (assist by T. Douglas),2,74-83,,
6:37.0,Personal foul by T. Douglas (drawn by D. Liggins),,74-83,,
6:37.0,A. Harrison enters the game for T. Douglas,,74-83,,
6:26.0,,,74-85,2,C. Frye makes 2-pt shot from 7 ft (assist by L. James)
6:26.0,,,74-85,,Shooting foul by T. Williams (drawn by C. Frye)
6:26.0,,,74-86,1,C. Frye makes free throw 1 of 1
6:11.0,Turnover by T. Daniels (lost ball; steal by L. James),,74-86,,
6:11.0,Personal foul by T. Daniels (drawn by L. James),,74-86,,
6:11.0,,,74-86,,T. Thompson enters the game for C. Frye
6:11.0,J. Martin enters the game for T. Daniels,,74-86,,
5:56.0,,,74-86,,L. James misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by Z. Randolph,,74-86,,
5:51.0,Offensive charge foul by T. Allen,,74-86,,
5:51.0,Turnover by T. Allen (offensive foul),,74-86,,
5:51.0,,,74-86,,Cleveland full timeout
5:41.0,,,74-88,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
5:37.0,,,74-88,,J. Smith enters the game for R. Jefferson
5:20.0,Turnover by Z. Randolph (bad pass; steal by K. Love),,74-88,,
5:12.0,,,74-90,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:12.0,Memphis full timeout,,74-90,,
5:12.0,T. Daniels enters the game for T. Williams,,74-90,,
4:56.0,A. Harrison misses 2-pt shot from 18 ft,,74-90,,
4:55.0,,,74-90,,Defensive rebound by T. Thompson
4:55.0,,,74-90,,Turnover by T. Thompson (lost ball; steal by T. Allen)
4:55.0,Jump ball: T. Allen vs. T. Thompson (J. Martin gains possession),,,,Jump ball: T. Allen vs. T. Thompson (J. Martin gains possession)
4:47.0,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Martin),2,76-90,,
4:34.0,Personal foul by Z. Randolph (drawn by K. Love),,76-90,,
4:34.0,,,76-91,1,K. Love makes free throw 1 of 2
4:34.0,,,76-92,1,K. Love makes free throw 2 of 2
4:20.0,T. Daniels misses 3-pt shot from 30 ft,,76-92,,
4:20.0,,,76-92,,Defensive rebound by T. Thompson
4:01.0,,,76-94,2,T. Thompson makes 2-pt shot at rim (assist by D. Liggins)
3:59.0,Offensive foul by A. Harrison,,76-94,,
3:59.0,Turnover by A. Harrison (offensive foul),,76-94,,
3:59.0,T. Williams enters the game for T. Allen,,76-94,,
3:59.0,W. Baldwin enters the game for A. Harrison,,76-94,,
3:47.0,,,76-94,,T. Thompson misses 2-pt shot from 5 ft (block by W. Baldwin)
3:45.0,Defensive rebound by T. Daniels,,76-94,,
3:41.0,T. Williams misses 2-pt shot from 2 ft,,76-94,,
3:39.0,,,76-94,,Defensive rebound by K. Love
3:34.0,,,76-96,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
3:22.0,Shooting foul by T. Thompson (drawn by J. Martin),,76-96,,
3:22.0,J. Martin makes free throw 1 of 2,1,77-96,,
3:22.0,J. Martin makes free throw 2 of 2,1,78-96,,
3:22.0,,,77-96,,J. McRae enters the game for L. James
3:22.0,J. Green enters the game for Z. Randolph,,77-96,,
3:04.0,,,78-99,3,J. Smith makes 3-pt shot from 26 ft (assist by D. Liggins)
2:56.0,,,78-99,,Personal foul by D. Liggins (drawn by W. Baldwin)
2:56.0,W. Baldwin makes free throw 1 of 2,1,79-99,,
2:56.0,W. Baldwin makes free throw 2 of 2,1,80-99,,
2:56.0,,,79-99,,C. Andersen enters the game for K. Love
2:56.0,,,79-99,,J. Jones enters the game for T. Thompson
2:56.0,,,79-99,,K. Felder enters the game for J. Smith
2:32.0,,,80-99,,K. Felder misses 2-pt shot from 15 ft
2:32.0,Defensive rebound by J. Martin,,80-99,,
2:22.0,J. Martin misses 2-pt shot from 8 ft,,80-99,,
2:21.0,Offensive rebound by J. Green,,80-99,,
2:17.0,J. Green makes 2-pt shot at rim,2,82-99,,
1:52.0,,,82-99,,D. Liggins misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by J. Green,,82-99,,
