time,Utah,pts.away,score,pts.home,Miami
7:51.0,D. Favors makes 2-pt shot from 4 ft (assist by G. Hayward),2,9-6,,
7:34.0,,,9-6,,L. Babbitt misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by D. Exum,,9-6,,
7:28.0,D. Exum makes 2-pt shot from 2 ft,2,11-6,,
7:15.0,,,11-8,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
6:49.0,D. Exum misses 2-pt shot from 2 ft,,11-8,,
6:48.0,,,11-8,,Defensive rebound by H. Whiteside
6:45.0,Shooting block foul by R. Hood (drawn by D. Waiters),,11-8,,
6:45.0,,,11-8,,D. Waiters misses free throw 1 of 2
6:45.0,,,11-8,,Offensive rebound by Team
6:45.0,,,11-9,1,D. Waiters makes free throw 2 of 2
6:45.0,,,11-8,,J. Johnson enters the game for L. Babbitt
6:45.0,J. Johnson enters the game for R. Hood,,11-8,,
6:26.0,Turnover by D. Exum (lost ball),,11-9,,
6:10.0,,,11-11,2,J. Richardson makes 2-pt shot from 16 ft
6:05.0,Utah full timeout,,11-11,,
6:05.0,T. Lyles enters the game for D. Favors,,11-11,,
6:05.0,,,11-11,,T. Johnson enters the game for J. Winslow
5:57.0,G. Hayward misses 3-pt shot from 24 ft (block by J. Richardson),,11-11,,
5:56.0,,,11-11,,Defensive rebound by J. Johnson
5:33.0,,,11-11,,Turnover by Team (shot clock)
5:24.0,,,11-11,,Personal foul by D. Waiters (drawn by J. Johnson)
5:15.0,,,11-11,,Personal foul by T. Johnson (drawn by D. Exum)
5:07.0,G. Hayward makes 2-pt shot from 11 ft,2,13-11,,
5:07.0,Shooting foul by J. Richardson (drawn by G. Hayward),,13-11,,
5:07.0,G. Hayward makes free throw 1 of 1,1,14-11,,
4:59.0,,,14-11,,Shooting foul by J. Johnson (drawn by T. Johnson)
4:59.0,,,14-12,1,D. Waiters makes free throw 1 of 2
4:59.0,,,14-12,,D. Waiters misses free throw 2 of 2
4:59.0,S. Mack enters the game for D. Exum,,14-12,,
4:58.0,Defensive rebound by J. Johnson,,14-12,,
4:49.0,J. Johnson makes 3-pt shot from 25 ft,3,17-12,,
4:32.0,,,17-12,,Turnover by J. Johnson (lost ball)
4:15.0,J. Johnson misses 2-pt shot from 20 ft,,17-12,,
4:14.0,,,17-12,,Defensive rebound by H. Whiteside
4:05.0,,,17-12,,Turnover by D. Waiters (step out of bounds)
3:41.0,T. Lyles misses 3-pt shot from 25 ft,,17-12,,
3:40.0,,,17-12,,Defensive rebound by Team
3:40.0,,,17-12,,R. McGruder enters the game for J. Richardson
3:40.0,,,17-12,,Miami full timeout
3:40.0,,,17-12,,J. Winslow enters the game for D. Waiters
3:16.0,,,17-12,,J. Johnson misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by R. Gobert,,17-12,,
3:08.0,Shooting foul by J. Johnson (drawn by R. Gobert),,17-12,,
3:08.0,R. Gobert misses free throw 1 of 2,,17-12,,
3:08.0,Offensive rebound by Team,,17-12,,
3:08.0,R. Gobert makes free throw 2 of 2,1,18-12,,
2:49.0,,,18-12,,T. Johnson misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by S. Mack,,18-12,,
2:26.0,J. Johnson makes 2-pt shot from 7 ft,2,20-12,,
2:06.0,,,20-14,2,R. McGruder makes 2-pt shot from 6 ft
1:50.0,T. Lyles misses 2-pt shot from 16 ft,,20-14,,
1:49.0,,,20-14,,Defensive rebound by R. McGruder
1:35.0,,,20-16,2,J. Winslow makes 2-pt shot from 16 ft
1:19.0,G. Hayward makes 2-pt shot from 17 ft,2,22-16,,
1:19.0,Shooting foul by J. Winslow (drawn by G. Hayward),,22-16,,
1:19.0,G. Hayward makes free throw 1 of 1,1,23-16,,
1:19.0,,,22-16,,J. McRoberts enters the game for H. Whiteside
1:19.0,J. Withey enters the game for R. Gobert,,22-16,,
1:06.0,,,23-19,3,R. McGruder makes 3-pt shot from 25 ft (assist by T. Johnson)
1:00.0,Turnover by S. Mack (step out of bounds),,23-19,,
1:00.0,J. Ingles enters the game for G. Hayward,,23-19,,
0:44.0,,,23-19,,J. McRoberts misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by J. Johnson,,23-19,,
0:34.0,J. Johnson misses 2-pt shot from 17 ft,,23-19,,
0:33.0,,,23-19,,Defensive rebound by J. Johnson
0:26.0,,,23-21,2,J. Johnson makes 2-pt shot from 2 ft
0:26.0,,,23-21,,Shooting foul by J. Withey (drawn by J. Johnson)
0:26.0,,,23-21,,J. Johnson misses free throw 1 of 1
0:26.0,G. Hayward enters the game for J. Withey,,23-21,,
0:25.0,Defensive rebound by G. Hayward,,23-21,,
0:03.0,G. Hayward misses 2-pt shot from 18 ft,,23-21,,
0:02.0,,,23-21,,Defensive rebound by J. Winslow
0:00.0,,,23-21,,J. Winslow misses 2-pt shot from 19 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,R. Hood makes 2-pt shot from 18 ft (assist by J. Withey),2,25-21,,
11:26.0,,,25-23,2,J. Johnson makes 2-pt shot from 2 ft
11:13.0,Turnover by J. Withey (lost ball; steal by J. Johnson),,25-23,,
11:08.0,,,25-25,2,J. Winslow makes 2-pt shot at rim (assist by J. Johnson)
10:49.0,S. Mack makes 2-pt shot from 9 ft,2,27-25,,
10:26.0,,,27-28,3,J. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder)
10:08.0,R. Hood makes 2-pt shot from 18 ft,2,29-28,,
9:54.0,,,29-28,,Turnover by J. Johnson (bad pass; steal by J. Withey)
9:48.0,T. Lyles makes 2-pt shot from 2 ft,2,31-28,,
9:37.0,,,31-28,,Turnover by J. McRoberts (traveling)
9:37.0,,,31-28,,J. Richardson enters the game for T. Johnson
9:37.0,J. Johnson enters the game for T. Lyles,,31-28,,
9:17.0,Shooting foul by J. Richardson (drawn by R. Hood),,31-28,,
9:17.0,R. Hood makes free throw 1 of 2,1,32-28,,
9:17.0,R. Hood makes free throw 2 of 2,1,33-28,,
9:03.0,,,33-30,2,J. Richardson makes 2-pt shot from 16 ft (assist by J. Winslow)
8:44.0,J. Ingles makes 2-pt shot from 2 ft (assist by S. Mack),2,35-30,,
8:19.0,,,35-32,2,J. Winslow makes 2-pt shot from 1 ft
8:00.0,R. Hood makes 2-pt shot from 13 ft,2,37-32,,
7:43.0,,,37-34,2,J. Winslow makes 2-pt shot from 3 ft (assist by J. McRoberts)
7:43.0,Shooting block foul by J. Withey (drawn by J. Winslow),,37-34,,
7:43.0,Official timeout,,37-34,,
7:43.0,,,37-35,1,J. Winslow makes free throw 1 of 1
7:43.0,,,37-34,,H. Whiteside enters the game for J. McRoberts
7:43.0,D. Exum enters the game for S. Mack,,37-34,,
7:43.0,R. Gobert enters the game for J. Withey,,37-34,,
7:34.0,Turnover by R. Hood (bad pass),,37-35,,
7:15.0,,,37-35,,Turnover by J. Richardson (lost ball; steal by D. Exum)
7:02.0,J. Johnson makes 2-pt shot from 12 ft,2,39-35,,
6:46.0,,,39-35,,J. Richardson misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by R. Hood,,39-35,,
6:26.0,R. Hood misses 3-pt shot from 25 ft,,39-35,,
6:25.0,,,39-35,,Defensive rebound by J. Richardson
6:14.0,,,39-37,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson)
5:51.0,Shooting foul by J. Johnson (drawn by R. Gobert),,39-37,,
5:51.0,,,39-37,,Miami full timeout
5:51.0,R. Gobert makes free throw 1 of 2,1,40-37,,
5:51.0,R. Gobert makes free throw 2 of 2,1,41-37,,
5:51.0,G. Hayward enters the game for J. Ingles,,39-37,,
5:51.0,,,39-37,,D. Waiters enters the game for J. Winslow
5:51.0,,,39-37,,T. Johnson enters the game for J. Johnson
5:51.0,,,39-37,,D. Williams enters the game for R. McGruder
5:41.0,Personal foul by R. Gobert (drawn by H. Whiteside),,41-37,,
5:27.0,,,41-39,2,T. Johnson makes 2-pt shot from 7 ft (assist by D. Williams)
5:03.0,J. Johnson misses 3-pt shot from 25 ft,,41-39,,
5:02.0,,,41-39,,Defensive rebound by D. Waiters
4:54.0,Personal foul by R. Gobert (drawn by H. Whiteside),,41-39,,
4:37.0,,,41-39,,D. Williams misses 3-pt shot from 24 ft
4:36.0,,,41-39,,Offensive rebound by T. Johnson
4:18.0,,,41-39,,H. Whiteside misses 2-pt shot from 2 ft
4:17.0,Defensive rebound by G. Hayward,,41-39,,
4:08.0,G. Hayward makes 2-pt shot from 6 ft,2,43-39,,
3:53.0,,,43-41,2,J. Richardson makes 2-pt shot from 2 ft
3:31.0,R. Hood makes 2-pt shot from 18 ft,2,45-41,,
3:16.0,,,45-41,,T. Johnson misses 2-pt shot from 20 ft
3:15.0,Defensive rebound by J. Johnson,,45-41,,
3:09.0,Offensive foul by R. Gobert,,45-41,,
3:09.0,Turnover by R. Gobert (offensive foul),,45-41,,
3:09.0,J. Withey enters the game for R. Gobert,,45-41,,
2:57.0,,,45-41,,J. Richardson misses 2-pt shot from 3 ft
2:56.0,Defensive rebound by J. Johnson,,45-41,,
2:41.0,J. Johnson misses 2-pt shot from 11 ft,,45-41,,
2:40.0,Offensive rebound by J. Withey,,45-41,,
2:39.0,J. Withey makes 2-pt shot from 1 ft,2,47-41,,
2:33.0,,,47-41,,Miami full timeout
2:33.0,Utah full timeout,,47-41,,
2:24.0,,,47-43,2,J. Richardson makes 2-pt shot from 17 ft
2:07.0,D. Exum misses 3-pt shot from 26 ft,,47-43,,
2:06.0,Offensive rebound by D. Exum,,47-43,,
2:01.0,D. Exum misses 2-pt shot from 1 ft (block by H. Whiteside),,47-43,,
1:58.0,,,47-43,,Defensive rebound by H. Whiteside
1:56.0,,,47-45,2,D. Williams makes 2-pt shot at rim (assist by J. Richardson)
1:43.0,G. Hayward misses 2-pt shot from 2 ft,,47-45,,
1:41.0,,,47-45,,Defensive rebound by H. Whiteside
1:34.0,,,47-47,2,D. Williams makes 2-pt shot from 2 ft
1:34.0,Utah full timeout,,47-47,,
1:34.0,,,47-47,,J. Winslow enters the game for T. Johnson
1:34.0,S. Mack enters the game for D. Exum,,47-47,,
1:22.0,G. Hayward makes 2-pt shot at rim,2,49-47,,
1:01.0,,,49-47,,H. Whiteside misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by R. Hood,,49-47,,
0:53.0,G. Hayward makes 3-pt shot from 25 ft (assist by S. Mack),3,52-47,,
0:28.0,,,52-47,,D. Waiters misses 2-pt shot from 20 ft
0:27.0,Defensive rebound by J. Johnson,,52-47,,
0:05.0,S. Mack misses 3-pt shot from 24 ft,,52-47,,
0:03.0,,,52-47,,Defensive rebound by D. Williams
0:02.0,Personal foul by S. Mack (drawn by D. Williams),,52-47,,
0:02.0,J. Ingles enters the game for S. Mack,,52-47,,
0:02.0,D. Exum enters the game for R. Hood,,52-47,,
0:00.0,,,52-47,,J. Richardson misses 3-pt shot from 25 ft
0:00.0,,,52-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,T. Lyles misses 2-pt shot from 11 ft,,52-47,,
11:42.0,,,52-47,,Defensive rebound by H. Whiteside
11:29.0,,,52-47,,Turnover by D. Waiters (bad pass; steal by R. Gobert)
11:20.0,R. Gobert misses 2-pt shot from 6 ft,,52-47,,
11:19.0,,,52-47,,Defensive rebound by J. Winslow
11:16.0,Personal foul by T. Lyles (drawn by H. Whiteside),,52-47,,
11:04.0,,,52-47,,H. Whiteside misses 2-pt shot from 2 ft
11:03.0,Defensive rebound by R. Gobert,,52-47,,
10:49.0,D. Exum makes 3-pt shot from 24 ft (assist by R. Hood),3,55-47,,
10:29.0,,,55-47,,J. Richardson misses 2-pt shot from 11 ft
10:28.0,Defensive rebound by R. Gobert,,55-47,,
10:14.0,G. Hayward makes 2-pt shot from 10 ft,2,57-47,,
9:59.0,,,57-47,,J. Winslow misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by T. Lyles,,57-47,,
9:36.0,D. Exum misses 2-pt shot from 2 ft,,57-47,,
9:35.0,,,57-47,,Defensive rebound by H. Whiteside
9:27.0,,,57-47,,J. Richardson misses 2-pt shot from 7 ft
9:26.0,Defensive rebound by R. Hood,,57-47,,
9:19.0,G. Hayward misses 3-pt shot from 24 ft,,57-47,,
9:18.0,Offensive rebound by R. Gobert,,57-47,,
9:17.0,R. Gobert makes 2-pt shot at rim,2,59-47,,
9:13.0,,,59-47,,Miami full timeout
8:56.0,,,59-47,,H. Whiteside misses 2-pt shot from 1 ft (block by R. Hood)
8:55.0,,,59-47,,Offensive rebound by Team
8:54.0,,,59-47,,D. Williams misses 2-pt shot from 2 ft (block by T. Lyles)
8:53.0,Defensive rebound by Team,,59-47,,
8:28.0,R. Hood makes 3-pt shot from 26 ft,3,62-47,,
8:11.0,,,62-47,,D. Waiters misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by T. Lyles,,62-47,,
8:05.0,Turnover by G. Hayward (bad pass; steal by J. Winslow),,62-47,,
8:04.0,Personal foul by G. Hayward (drawn by J. Winslow),,62-47,,
7:51.0,,,62-47,,H. Whiteside misses 2-pt shot from 9 ft
7:50.0,Defensive rebound by G. Hayward,,62-47,,
7:30.0,R. Hood misses 3-pt shot from 25 ft,,62-47,,
7:29.0,,,62-47,,Defensive rebound by H. Whiteside
7:15.0,,,62-47,,D. Waiters misses 2-pt shot from 6 ft
7:14.0,,,62-47,,Offensive rebound by D. Williams
7:14.0,,,62-47,,Shooting foul by R. Hood (drawn by D. Williams)
7:14.0,,,62-47,,D. Williams misses free throw 1 of 2
7:14.0,,,62-47,,Offensive rebound by Team
7:14.0,,,62-47,,D. Williams misses free throw 2 of 2
7:14.0,,,62-47,,T. Johnson enters the game for D. Waiters
7:14.0,,,62-47,,J. McRoberts enters the game for H. Whiteside
7:13.0,Defensive rebound by T. Lyles,,62-47,,
7:01.0,T. Lyles misses 3-pt shot from 25 ft,,62-47,,
7:00.0,,,62-47,,Defensive rebound by D. Williams
6:47.0,,,62-47,,J. Richardson misses 2-pt shot from 17 ft
6:46.0,Defensive rebound by T. Lyles,,62-47,,
6:40.0,,,62-47,,Personal foul by J. McRoberts (drawn by R. Hood)
6:38.0,,,62-47,,Personal foul by J. Winslow (drawn by G. Hayward)
6:29.0,R. Hood misses 3-pt shot from 25 ft,,62-47,,
6:28.0,,,62-47,,Defensive rebound by J. Richardson
6:19.0,,,62-49,2,J. McRoberts makes 2-pt shot from 13 ft (assist by J. Richardson)
6:01.0,T. Lyles makes 2-pt shot from 12 ft,2,64-49,,
5:47.0,,,64-49,,D. Williams misses 2-pt shot from 2 ft (block by R. Gobert)
5:46.0,Defensive rebound by T. Lyles,,64-49,,
5:31.0,G. Hayward misses 3-pt shot from 25 ft,,64-49,,
5:30.0,,,64-49,,Defensive rebound by J. Winslow
5:21.0,,,64-49,,J. Winslow misses 2-pt shot from 20 ft
5:20.0,Defensive rebound by R. Gobert,,64-49,,
5:10.0,,,64-49,,Personal foul by J. Winslow (drawn by G. Hayward)
5:10.0,J. Johnson enters the game for T. Lyles,,64-49,,
5:10.0,,,64-49,,J. Johnson enters the game for J. Winslow
5:00.0,R. Gobert misses 2-pt shot from 1 ft (block by D. Williams),,64-49,,
4:59.0,,,64-49,,Defensive rebound by D. Williams
4:49.0,,,64-51,2,J. McRoberts makes 2-pt shot from 2 ft (assist by J. Richardson)
4:31.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,66-51,,
4:16.0,,,66-51,,J. Richardson misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by D. Exum,,66-51,,
4:00.0,D. Exum misses 3-pt shot from 24 ft,,66-51,,
3:59.0,,,66-51,,Defensive rebound by J. Richardson
3:51.0,,,66-51,,T. Johnson misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by G. Hayward,,66-51,,
3:45.0,Utah full timeout,,66-51,,
3:45.0,J. Ingles enters the game for R. Gobert,,66-51,,
3:45.0,J. Withey enters the game for R. Hood,,66-51,,
3:38.0,G. Hayward makes 2-pt shot from 2 ft,2,68-51,,
3:38.0,Shooting foul by J. McRoberts (drawn by G. Hayward),,68-51,,
3:38.0,G. Hayward makes free throw 1 of 1,1,69-51,,
3:23.0,,,69-51,,T. Johnson misses 2-pt shot from 15 ft
3:22.0,Defensive rebound by J. Johnson,,69-51,,
3:00.0,J. Johnson misses 2-pt shot from 17 ft,,69-51,,
2:59.0,,,69-51,,Defensive rebound by T. Johnson
2:51.0,,,69-53,2,J. Johnson makes 2-pt shot from 2 ft
2:32.0,G. Hayward misses 2-pt shot from 9 ft,,69-53,,
2:31.0,Offensive rebound by J. Withey,,69-53,,
2:29.0,J. Withey makes 2-pt shot at rim,2,71-53,,
2:17.0,,,71-53,,J. Richardson misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by G. Hayward,,71-53,,
2:00.0,J. Ingles misses 2-pt shot from 19 ft,,71-53,,
1:59.0,,,71-53,,Defensive rebound by T. Johnson
1:48.0,,,71-55,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Johnson)
1:30.0,J. Johnson misses 3-pt shot from 25 ft,,71-55,,
1:29.0,Offensive rebound by G. Hayward,,71-55,,
1:26.0,D. Exum makes 3-pt shot from 24 ft (assist by J. Johnson),3,74-55,,
1:09.0,,,74-57,2,D. Williams makes 2-pt shot from 1 ft (assist by T. Johnson)
0:56.0,G. Hayward makes 2-pt shot from 7 ft,2,76-57,,
0:37.0,,,76-57,,J. McRoberts misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by J. Ingles,,76-57,,
0:29.0,Turnover by J. Ingles (lost ball; steal by J. Richardson),,76-57,,
0:26.0,,,76-59,2,J. Richardson makes 2-pt shot from 2 ft
0:03.0,G. Hayward misses 2-pt shot from 13 ft,,76-59,,
0:01.0,,,76-59,,Defensive rebound by J. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,76-59,,J. Winslow misses 2-pt shot from 5 ft
11:38.0,Defensive rebound by R. Gobert,,76-59,,
11:20.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Johnson),2,78-59,,
11:06.0,,,78-61,2,H. Whiteside makes 2-pt shot from 2 ft (assist by R. McGruder)
11:06.0,,,78-61,,Shooting foul by T. Lyles (drawn by H. Whiteside)
11:06.0,,,78-61,,H. Whiteside misses free throw 1 of 1
11:06.0,R. Hood enters the game for J. Johnson,,78-61,,
11:05.0,Defensive rebound by R. Gobert,,78-61,,
10:45.0,S. Mack makes 2-pt shot from 13 ft,2,80-61,,
10:27.0,,,80-61,,Shooting foul by R. Gobert (drawn by H. Whiteside)
10:27.0,,,80-62,1,H. Whiteside makes free throw 1 of 2
10:27.0,,,80-63,1,H. Whiteside makes free throw 2 of 2
10:03.0,S. Mack makes 2-pt shot from 6 ft,2,82-63,,
9:47.0,Personal foul by S. Mack (drawn by T. Johnson),,82-63,,
9:38.0,,,82-63,,Turnover by J. Winslow (bad pass; steal by T. Lyles)
9:17.0,T. Lyles misses 2-pt shot from 9 ft,,82-63,,
9:16.0,Offensive rebound by R. Gobert,,82-63,,
9:15.0,Shooting foul by H. Whiteside (drawn by R. Gobert),,82-63,,
9:15.0,R. Gobert makes free throw 1 of 2,1,83-63,,
9:15.0,R. Gobert makes free throw 2 of 2,1,84-63,,
8:58.0,,,84-65,2,J. Winslow makes 2-pt shot from 12 ft
8:42.0,S. Mack makes 2-pt shot from 2 ft,2,86-65,,
8:28.0,,,86-67,2,T. Johnson makes 2-pt shot from 2 ft
8:28.0,,,86-67,,Shooting foul by T. Lyles (drawn by T. Johnson)
8:28.0,Official timeout,,86-67,,
8:28.0,,,86-68,1,T. Johnson makes free throw 1 of 1
8:28.0,J. Johnson enters the game for T. Lyles,,86-67,,
8:03.0,R. Hood misses 2-pt shot from 12 ft,,86-68,,
8:02.0,,,86-68,,Defensive rebound by J. Winslow
7:47.0,Personal foul by R. Hood (drawn by J. Johnson),,86-68,,
7:47.0,,,86-69,1,J. Johnson makes free throw 1 of 2
7:47.0,,,86-70,1,J. Johnson makes free throw 2 of 2
7:47.0,G. Hayward enters the game for J. Ingles,,86-69,,
7:29.0,R. Gobert misses 2-pt shot from 1 ft,,86-70,,
7:28.0,,,86-70,,Defensive rebound by J. Winslow
7:15.0,,,86-72,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Winslow)
7:02.0,R. Hood misses 2-pt shot from 3 ft,,86-72,,
7:01.0,,,86-72,,Defensive rebound by H. Whiteside
6:55.0,,,86-72,,J. Winslow misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by R. Gobert,,86-72,,
6:38.0,G. Hayward misses 2-pt shot from 13 ft,,86-72,,
6:37.0,,,86-72,,Defensive rebound by J. Winslow
6:32.0,,,86-75,3,R. McGruder makes 3-pt shot from 23 ft (assist by T. Johnson)
6:32.0,Utah full timeout,,86-75,,
6:32.0,D. Exum enters the game for R. Hood,,86-75,,
6:20.0,Shooting foul by R. McGruder (drawn by G. Hayward),,86-75,,
6:20.0,G. Hayward makes 2-pt shot from 14 ft,2,88-75,,
6:20.0,G. Hayward misses free throw 1 of 1,,88-75,,
6:19.0,,,88-75,,Defensive rebound by H. Whiteside
5:58.0,,,88-75,,T. Johnson misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by R. Gobert,,88-75,,
5:35.0,D. Exum misses 2-pt shot from 3 ft (block by H. Whiteside),,88-75,,
5:34.0,,,88-75,,Defensive rebound by H. Whiteside
5:27.0,,,88-75,,J. Winslow misses 2-pt shot from 2 ft
5:26.0,Defensive rebound by S. Mack,,88-75,,
5:22.0,Shooting foul by J. Winslow (drawn by D. Exum),,88-75,,
5:22.0,D. Exum makes free throw 1 of 2,1,89-75,,
5:22.0,D. Exum makes free throw 2 of 2,1,90-75,,
5:22.0,,,89-75,,J. Richardson enters the game for T. Johnson
5:17.0,,,90-75,,Miami full timeout
5:17.0,R. Hood enters the game for D. Exum,,90-75,,
5:05.0,,,90-75,,R. McGruder misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by R. Gobert,,90-75,,
4:55.0,G. Hayward makes 2-pt shot from 2 ft,2,92-75,,
4:55.0,Shooting foul by J. Winslow (drawn by G. Hayward),,92-75,,
4:55.0,G. Hayward makes free throw 1 of 1,1,93-75,,
4:43.0,,,93-75,,Turnover by H. Whiteside (lost ball; steal by R. Gobert)
4:27.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward),3,96-75,,
4:12.0,,,96-75,,Shooting foul by R. Gobert (drawn by H. Whiteside)
4:12.0,,,96-77,2,H. Whiteside makes 2-pt shot from 4 ft (assist by J. Johnson)
4:12.0,,,96-78,1,H. Whiteside makes free throw 1 of 1
3:55.0,G. Hayward misses 2-pt shot from 22 ft,,96-78,,
3:54.0,,,96-78,,Defensive rebound by R. McGruder
3:47.0,,,96-78,,J. Winslow misses 2-pt shot from 16 ft
3:46.0,Defensive rebound by G. Hayward,,96-78,,
3:30.0,S. Mack misses 3-pt shot from 25 ft,,96-78,,
3:29.0,,,96-78,,Defensive rebound by H. Whiteside
3:16.0,,,96-80,2,J. Richardson makes 2-pt shot from 2 ft (assist by H. Whiteside)
3:03.0,,,96-80,,Personal foul by J. Richardson (drawn by R. Hood)
3:03.0,R. Hood makes free throw 1 of 2,1,97-80,,
3:03.0,R. Hood makes free throw 2 of 2,1,98-80,,
2:50.0,,,98-80,,J. Richardson misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by G. Hayward,,98-80,,
2:33.0,S. Mack makes 2-pt shot from 6 ft (assist by G. Hayward),2,100-80,,
2:26.0,,,100-80,,Miami full timeout
2:26.0,T. Lyles enters the game for G. Hayward,,100-80,,
2:26.0,D. Exum enters the game for R. Gobert,,100-80,,
2:26.0,J. Withey enters the game for J. Johnson,,100-80,,
2:26.0,,,100-80,,W. Reed enters the game for J. Winslow
2:26.0,,,100-80,,T. Johnson enters the game for H. Whiteside
2:26.0,,,100-80,,D. Williams enters the game for J. Richardson
2:15.0,,,100-82,2,R. McGruder makes 2-pt shot from 9 ft
1:55.0,R. Hood misses 2-pt shot from 17 ft,,100-82,,
1:54.0,,,100-82,,Defensive rebound by J. Johnson
1:35.0,,,100-84,2,J. Johnson makes 2-pt shot from 3 ft
1:12.0,S. Mack makes 2-pt shot from 10 ft,2,102-84,,
1:03.0,Personal block foul by S. Mack (drawn by R. McGruder),,102-84,,
1:03.0,,,102-84,,R. McGruder misses free throw 1 of 2
1:03.0,,,102-84,,Offensive rebound by Team
1:03.0,,,102-85,1,R. McGruder makes free throw 2 of 2
1:03.0,J. Ingles enters the game for R. Hood,,102-84,,
1:03.0,J. Bolomboy enters the game for T. Lyles,,102-84,,
1:00.0,Turnover by J. Bolomboy (bad pass; steal by T. Johnson),,102-85,,
0:59.0,,,102-88,3,R. McGruder makes 3-pt shot from 23 ft (assist by T. Johnson)
0:33.0,D. Exum misses 2-pt shot from 16 ft,,102-88,,
0:31.0,,,102-88,,Defensive rebound by W. Reed
0:20.0,,,102-91,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
