time,Philadelphia,pts.away,score,pts.home,Memphis
1:03.0,Defensive rebound by T. Luwawu-Cabarrot,,41-43,,
0:53.0,H. Thompson misses 3-pt shot from 25 ft,,41-43,,
0:52.0,,,41-43,,Defensive rebound by Team
0:51.0,E. Ilyasova enters the game for R. Holmes,,41-43,,
0:39.0,,,41-43,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Green)
0:39.0,,,41-44,1,J. Green makes free throw 1 of 2
0:39.0,,,41-45,1,J. Green makes free throw 2 of 2
0:32.0,Turnover by S. Rodriguez (traveling),,41-45,,
0:32.0,T. McConnell enters the game for S. Rodriguez,,41-45,,
0:14.0,,,41-45,,Shooting foul by E. Ilyasova (drawn by M. Gasol)
0:14.0,,,41-46,1,M. Gasol makes free throw 1 of 2
0:14.0,,,41-47,1,M. Gasol makes free throw 2 of 2
0:14.0,,,41-46,,T. Douglas enters the game for T. Daniels
0:01.0,T. McConnell makes 2-pt shot from 8 ft,2,43-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,E. Ilyasova makes 2-pt shot from 8 ft,2,45-47,,
11:20.0,,,45-47,,M. Gasol misses 2-pt shot from 9 ft
11:19.0,Defensive rebound by E. Ilyasova,,45-47,,
11:04.0,R. Holmes misses 2-pt shot from 8 ft,,45-47,,
11:02.0,,,45-47,,Defensive rebound by M. Gasol
10:49.0,,,45-47,,M. Gasol misses 3-pt shot from 26 ft
10:49.0,,,45-47,,Offensive rebound by M. Gasol
10:46.0,,,45-47,,Offensive charge foul by M. Gasol
10:46.0,,,45-47,,Turnover by M. Gasol (offensive foul)
10:29.0,Shooting foul by T. Allen (drawn by N. Stauskas),,45-47,,
10:29.0,N. Stauskas makes free throw 1 of 2,1,46-47,,
10:29.0,N. Stauskas misses free throw 2 of 2,,46-47,,
10:28.0,,,46-47,,Defensive rebound by M. Gasol
10:12.0,,,46-47,,Turnover by T. Allen (3 sec)
10:03.0,S. Rodriguez misses 3-pt shot from 25 ft,,46-47,,
10:02.0,,,46-47,,Defensive rebound by A. Harrison
9:45.0,,,46-47,,A. Harrison misses 2-pt shot from 2 ft
9:44.0,,,46-47,,Offensive rebound by J. Green
9:44.0,,,46-47,,J. Green misses 2-pt shot from 1 ft
9:43.0,,,46-47,,Offensive rebound by J. Green
9:43.0,,,46-47,,J. Green misses 2-pt shot from 1 ft
9:43.0,,,46-47,,Offensive rebound by Team
9:43.0,Loose ball foul by E. Ilyasova (drawn by J. Green),,46-47,,
9:36.0,,,46-49,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
9:18.0,E. Ilyasova misses 3-pt shot from 27 ft,,46-49,,
9:18.0,,,46-49,,Defensive rebound by J. Green
9:10.0,,,46-51,2,T. Williams makes 2-pt shot from 2 ft
9:10.0,Philadelphia full timeout,,46-51,,
8:47.0,N. Stauskas misses 3-pt shot from 25 ft,,46-51,,
8:46.0,Offensive rebound by R. Holmes,,46-51,,
8:45.0,R. Holmes misses 2-pt shot from 1 ft (block by M. Gasol),,46-51,,
8:45.0,Jump ball: M. Gasol vs. R. Holmes (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Holmes (J. Green gains possession)
8:45.0,,,46-51,,Defensive rebound by Team
8:32.0,,,46-51,,Turnover by J. Green (bad pass; steal by R. Holmes)
8:17.0,G. Henderson misses 2-pt shot from 11 ft,,46-51,,
8:16.0,,,46-51,,Defensive rebound by T. Williams
8:08.0,,,46-51,,A. Harrison misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by Team,,46-51,,
7:56.0,S. Rodriguez makes 3-pt shot from 26 ft,3,49-51,,
7:39.0,,,49-53,2,J. Green makes 2-pt shot from 20 ft (assist by T. Allen)
7:27.0,G. Henderson makes 3-pt shot from 25 ft (assist by R. Holmes),3,52-53,,
7:09.0,,,52-53,,T. Williams misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by R. Holmes,,52-53,,
6:59.0,S. Rodriguez makes 2-pt shot from 9 ft,2,54-53,,
6:59.0,,,54-53,,Memphis full timeout
6:59.0,,,54-53,,T. Daniels enters the game for T. Williams
6:59.0,,,54-53,,W. Baldwin enters the game for A. Harrison
6:59.0,D. Saric enters the game for E. Ilyasova,,54-53,,
6:47.0,,,54-53,,Shooting foul by G. Henderson (drawn by M. Gasol)
6:47.0,,,54-54,1,M. Gasol makes free throw 1 of 2
6:47.0,,,54-55,1,M. Gasol makes free throw 2 of 2
6:36.0,R. Holmes misses 2-pt shot from 4 ft (block by J. Green),,54-55,,
6:34.0,,,54-55,,Defensive rebound by J. Green
6:31.0,,,54-55,,Shooting foul by N. Stauskas (drawn by J. Green)
6:31.0,,,54-56,1,J. Green makes free throw 1 of 2
6:31.0,,,54-57,1,J. Green makes free throw 2 of 2
6:31.0,H. Thompson enters the game for G. Henderson,,54-56,,
6:17.0,S. Rodriguez misses 3-pt shot from 24 ft,,54-57,,
6:16.0,,,54-57,,Defensive rebound by T. Allen
6:07.0,,,54-59,2,M. Gasol makes 2-pt shot at rim (assist by T. Allen)
5:55.0,H. Thompson makes 3-pt shot from 25 ft (assist by R. Holmes),3,57-59,,
5:38.0,,,57-61,2,M. Gasol makes 2-pt shot from 6 ft
5:23.0,R. Holmes misses 3-pt shot from 25 ft,,57-61,,
5:23.0,,,57-61,,Defensive rebound by T. Allen
5:16.0,,,57-61,,Shooting foul by S. Rodriguez (drawn by W. Baldwin)
5:16.0,,,57-62,1,W. Baldwin makes free throw 1 of 2
5:16.0,,,57-63,1,W. Baldwin makes free throw 2 of 2
5:16.0,E. Ilyasova enters the game for R. Holmes,,57-62,,
5:16.0,,,57-62,,Z. Randolph enters the game for J. Green
5:02.0,N. Stauskas makes 2-pt shot from 1 ft,2,59-63,,
4:47.0,,,59-63,,Offensive foul by M. Gasol
4:47.0,,,59-63,,Turnover by M. Gasol (offensive foul)
4:37.0,D. Saric misses 3-pt shot from 25 ft,,59-63,,
4:36.0,,,59-63,,Defensive rebound by Z. Randolph
4:26.0,,,59-65,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Daniels)
4:20.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,59-65,,
4:20.0,N. Stauskas misses free throw 1 of 2,,59-65,,
4:20.0,Offensive rebound by Team,,59-65,,
4:20.0,N. Stauskas makes free throw 2 of 2,1,60-65,,
4:20.0,T. McConnell enters the game for S. Rodriguez,,59-65,,
4:00.0,,,60-67,2,M. Gasol makes 2-pt shot from 8 ft (assist by Z. Randolph)
3:51.0,Turnover by D. Saric (traveling),,60-67,,
3:49.0,,,60-67,,Turnover by T. Allen (bad pass; steal by T. McConnell)
3:42.0,E. Ilyasova makes 2-pt shot at rim (assist by N. Stauskas),2,62-67,,
3:32.0,,,62-67,,Turnover by W. Baldwin (bad pass)
3:32.0,,,62-67,,T. Williams enters the game for T. Allen
3:16.0,Shooting foul by T. Daniels (drawn by H. Thompson),,62-67,,
3:16.0,H. Thompson misses free throw 1 of 2,,62-67,,
3:16.0,Offensive rebound by Team,,62-67,,
3:16.0,H. Thompson makes free throw 2 of 2,1,63-67,,
3:16.0,,,62-67,,J. Green enters the game for M. Gasol
2:59.0,,,63-67,,T. Daniels misses 3-pt shot from 25 ft
2:58.0,,,63-67,,Offensive rebound by Z. Randolph
2:47.0,,,63-67,,Z. Randolph misses 2-pt shot from 16 ft
2:47.0,Defensive rebound by E. Ilyasova,,63-67,,
2:36.0,H. Thompson misses 2-pt shot from 3 ft (block by T. Williams),,63-67,,
2:36.0,Offensive rebound by Team,,63-67,,
2:36.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,63-67,,
2:26.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,66-67,,
2:26.0,,,66-67,,Memphis full timeout
2:07.0,,,66-67,,T. Daniels misses 2-pt shot from 5 ft (block by H. Thompson)
2:07.0,,,66-67,,Offensive rebound by Team
2:03.0,,,66-67,,Z. Randolph misses 2-pt shot from 8 ft
2:01.0,Jump ball: Z. Randolph vs. D. Saric,,,,Jump ball: Z. Randolph vs. D. Saric
2:01.0,,,66-67,,Offensive rebound by Team
1:54.0,,,66-69,2,T. Daniels makes 2-pt shot from 7 ft (assist by W. Baldwin)
1:54.0,,,66-69,,Shooting foul by D. Saric (drawn by T. Daniels)
1:54.0,,,66-70,1,T. Daniels makes free throw 1 of 1
1:46.0,,,66-70,,Personal foul by J. Green (drawn by E. Ilyasova)
1:46.0,R. Holmes enters the game for D. Saric,,66-70,,
1:42.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by H. Thompson),3,69-70,,
1:25.0,,,69-70,,T. Daniels misses 3-pt shot from 26 ft
1:23.0,,,69-70,,Offensive rebound by Z. Randolph
1:22.0,,,69-72,2,Z. Randolph makes 2-pt shot from 1 ft
1:15.0,H. Thompson misses 3-pt shot from 25 ft,,69-72,,
1:14.0,,,69-72,,Defensive rebound by J. Green
1:07.0,,,69-74,2,W. Baldwin makes 2-pt shot from 1 ft
0:54.0,R. Holmes makes 2-pt shot from 2 ft (assist by T. McConnell),2,71-74,,
0:54.0,Shooting foul by W. Baldwin (drawn by R. Holmes),,71-74,,
0:54.0,R. Holmes misses free throw 1 of 1,,71-74,,
0:53.0,,,71-74,,Defensive rebound by J. Green
0:41.0,,,71-74,,Offensive charge foul by W. Baldwin
0:41.0,,,71-74,,Turnover by W. Baldwin (offensive foul)
0:30.0,T. McConnell makes 3-pt shot from 26 ft,3,74-74,,
0:18.0,,,74-74,,Turnover by J. Green (offensive goaltending)
0:18.0,D. Saric enters the game for R. Holmes,,74-74,,
0:18.0,,,74-74,,J. Martin enters the game for Z. Randolph
0:04.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,77-74,,
0:01.0,,,77-76,2,T. Williams makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-76,,Z. Randolph misses 2-pt shot from 2 ft
11:46.0,Defensive rebound by D. Saric,,77-76,,
11:34.0,,,77-76,,Personal foul by J. Green (drawn by D. Saric)
11:21.0,D. Saric misses 3-pt shot from 25 ft,,77-76,,
11:21.0,,,77-76,,Defensive rebound by T. Williams
11:10.0,,,77-78,2,Z. Randolph makes 2-pt shot from 1 ft
10:54.0,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft,,77-78,,
10:54.0,,,77-78,,Defensive rebound by Z. Randolph
10:49.0,,,77-80,2,J. Green makes 2-pt shot at rim (assist by T. Williams)
10:28.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by H. Thompson),3,80-80,,
10:02.0,,,80-82,2,T. Daniels makes 2-pt shot from 2 ft
9:43.0,R. Holmes misses 2-pt shot from 14 ft,,80-82,,
9:42.0,Offensive rebound by T. McConnell,,80-82,,
9:29.0,T. McConnell misses 2-pt shot from 17 ft,,80-82,,
9:27.0,,,80-82,,Defensive rebound by Z. Randolph
9:23.0,,,80-82,,Shooting foul by H. Thompson (drawn by W. Baldwin)
9:23.0,,,80-83,1,W. Baldwin makes free throw 1 of 2
9:23.0,,,80-83,,W. Baldwin misses free throw 2 of 2
9:23.0,E. Ilyasova enters the game for R. Holmes,,80-83,,
9:23.0,N. Stauskas enters the game for H. Thompson,,80-83,,
9:22.0,Defensive rebound by N. Stauskas,,80-83,,
9:13.0,E. Ilyasova misses 3-pt shot from 24 ft,,80-83,,
9:12.0,,,80-83,,Defensive rebound by T. Daniels
9:04.0,,,80-83,,T. Daniels misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by E. Ilyasova,,80-83,,
8:49.0,E. Ilyasova misses 3-pt shot from 26 ft,,80-83,,
8:47.0,,,80-83,,Defensive rebound by Z. Randolph
8:30.0,,,80-83,,Z. Randolph misses 2-pt shot from 2 ft
8:30.0,,,80-83,,Offensive rebound by Z. Randolph
8:28.0,,,80-85,2,Z. Randolph makes 2-pt shot from 1 ft
8:27.0,Philadelphia full timeout,,80-85,,
8:27.0,,,80-85,,M. Gasol enters the game for J. Green
