time,Orlando,pts.away,score,pts.home,Cleveland
6:54.0,Shooting foul by J. Smith (drawn by E. Fournier),,15-11,,
6:54.0,E. Fournier makes free throw 1 of 2,1,16-11,,
6:54.0,E. Fournier makes free throw 2 of 2,1,17-11,,
6:36.0,,,17-13,2,K. Irving makes 2-pt shot from 12 ft
6:27.0,E. Payton misses 2-pt shot from 3 ft (block by T. Thompson),,17-13,,
6:26.0,,,17-13,,Defensive rebound by K. Irving
6:22.0,,,17-15,2,J. Smith makes 2-pt shot at rim (assist by K. Irving)
6:21.0,Orlando full timeout,,17-15,,
6:05.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,19-15,,
5:47.0,,,19-18,3,K. Love makes 3-pt shot from 22 ft (assist by T. Thompson)
5:23.0,A. Gordon makes 2-pt shot from 19 ft (assist by E. Payton),2,21-18,,
5:03.0,,,21-18,,K. Love misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by N. Vucevic,,21-18,,
4:58.0,Turnover by E. Payton (bad pass; steal by K. Love),,21-18,,
4:52.0,,,21-20,2,L. James makes 2-pt shot at rim (assist by J. Smith)
4:36.0,A. Gordon misses 3-pt shot from 25 ft,,21-20,,
4:35.0,,,21-20,,Defensive rebound by L. James
4:33.0,,,21-20,,Turnover by L. James (bad pass; steal by E. Fournier)
4:16.0,T. Ross misses 2-pt shot from 18 ft,,21-20,,
4:16.0,Offensive rebound by E. Payton,,21-20,,
4:10.0,E. Payton makes 2-pt shot from 8 ft,2,23-20,,
3:58.0,,,23-22,2,K. Irving makes 2-pt shot from 2 ft
3:58.0,,,23-22,,Shooting foul by E. Fournier (drawn by K. Irving)
3:58.0,,,23-23,1,K. Irving makes free throw 1 of 1
3:58.0,M. Hezonja enters the game for T. Ross,,23-22,,
3:58.0,,,23-22,,I. Shumpert enters the game for K. Love
3:47.0,Turnover by E. Fournier (step out of bounds),,23-23,,
3:36.0,,,23-23,,T. Thompson misses 2-pt shot from 6 ft
3:34.0,Defensive rebound by N. Vucevic,,23-23,,
3:26.0,E. Payton makes 2-pt shot at rim (assist by E. Fournier),2,25-23,,
3:02.0,,,25-25,2,L. James makes 2-pt shot from 11 ft
2:41.0,A. Gordon misses 2-pt shot from 14 ft,,25-25,,
2:39.0,,,25-25,,Defensive rebound by T. Thompson
2:33.0,,,25-28,3,K. Irving makes 3-pt shot from 25 ft
2:25.0,E. Payton makes 2-pt shot from 1 ft,2,27-28,,
2:13.0,,,27-28,,J. Smith misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by A. Gordon,,27-28,,
1:56.0,E. Fournier misses 2-pt shot from 5 ft,,27-28,,
1:54.0,Offensive rebound by E. Payton,,27-28,,
1:51.0,E. Payton misses 2-pt shot from 16 ft,,27-28,,
1:50.0,,,27-28,,Defensive rebound by J. Smith
1:45.0,,,27-28,,Cleveland full timeout
1:45.0,B. Biyombo enters the game for A. Gordon,,27-28,,
1:45.0,C. Watson enters the game for N. Vucevic,,27-28,,
1:45.0,J. Meeks enters the game for E. Payton,,27-28,,
1:45.0,,,27-28,,D. Williams enters the game for L. James
1:45.0,,,27-28,,R. Jefferson enters the game for J. Smith
1:37.0,,,27-28,,K. Irving misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by J. Meeks,,27-28,,
1:28.0,Shooting foul by R. Jefferson (drawn by J. Meeks),,27-28,,
1:28.0,J. Meeks makes free throw 1 of 2,1,28-28,,
1:28.0,J. Meeks makes free throw 2 of 2,1,29-28,,
1:28.0,,,28-28,,C. Frye enters the game for T. Thompson
1:15.0,,,29-28,,Shooting foul by C. Watson (drawn by R. Jefferson)
1:15.0,,,29-28,,R. Jefferson misses free throw 1 of 2
1:15.0,,,29-28,,Offensive rebound by Team
1:15.0,,,29-28,,R. Jefferson misses free throw 2 of 2
1:14.0,Defensive rebound by B. Biyombo,,29-28,,
0:59.0,J. Meeks misses 2-pt shot from 10 ft,,29-28,,
0:58.0,Offensive rebound by J. Meeks,,29-28,,
0:57.0,M. Hezonja misses 3-pt shot from 26 ft,,29-28,,
0:56.0,Offensive rebound by B. Biyombo,,29-28,,
0:44.0,,,29-28,,Personal foul by K. Irving (drawn by M. Hezonja)
0:44.0,M. Hezonja makes free throw 1 of 2,1,30-28,,
0:44.0,M. Hezonja makes free throw 2 of 2,1,31-28,,
0:32.0,,,31-28,,C. Frye misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by C. Watson,,31-28,,
0:14.0,E. Fournier misses 2-pt shot from 18 ft,,31-28,,
0:13.0,,,31-28,,Defensive rebound by C. Frye
0:00.0,,,31-28,,K. Irving misses 3-pt shot from 27 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-30,2,L. James makes 2-pt shot at rim
11:25.0,M. Hezonja misses 2-pt shot from 7 ft,,31-30,,
11:25.0,,,31-30,,Defensive rebound by L. James
11:13.0,,,31-30,,Turnover by I. Shumpert (bad pass; steal by J. Meeks)
11:04.0,A. Gordon makes 2-pt shot at rim (assist by C. Watson),2,33-30,,
10:44.0,,,33-30,,D. Williams misses 2-pt shot from 18 ft
10:43.0,Defensive rebound by B. Biyombo,,33-30,,
10:34.0,Turnover by C. Watson (bad pass; steal by C. Frye),,33-30,,
10:30.0,,,33-30,,Turnover by I. Shumpert (bad pass)
10:15.0,,,33-30,,Personal foul by D. Williams (drawn by C. Watson)
10:08.0,Turnover by J. Meeks (bad pass; steal by C. Frye),,33-30,,
10:06.0,Personal foul by C. Watson (drawn by L. James),,33-30,,
10:06.0,T. Ross enters the game for M. Hezonja,,33-30,,
9:58.0,,,33-33,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Williams)
9:49.0,Shooting foul by C. Frye (drawn by C. Watson),,33-33,,
9:49.0,C. Watson makes free throw 1 of 2,1,34-33,,
9:49.0,C. Watson makes free throw 2 of 2,1,35-33,,
9:41.0,Personal foul by J. Meeks (drawn by L. James),,35-33,,
9:37.0,,,35-33,,Turnover by L. James (bad pass)
9:26.0,Shooting foul by I. Shumpert (drawn by J. Meeks),,35-33,,
9:26.0,J. Meeks makes free throw 1 of 2,1,36-33,,
9:26.0,J. Meeks makes free throw 2 of 2,1,37-33,,
9:26.0,,,36-33,,K. Love enters the game for C. Frye
9:04.0,,,37-33,,L. James misses 3-pt shot from 27 ft
9:02.0,,,37-33,,Offensive rebound by K. Love
9:02.0,,,37-35,2,K. Love makes 2-pt shot at rim
8:48.0,C. Watson makes 3-pt shot from 26 ft (assist by J. Meeks),3,40-35,,
8:24.0,,,40-37,2,K. Love makes 2-pt shot from 8 ft
8:06.0,C. Watson makes 2-pt shot from 17 ft,2,42-37,,
7:52.0,,,42-37,,K. Korver misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by B. Biyombo,,42-37,,
7:46.0,Turnover by C. Watson (lost ball; steal by K. Love),,42-37,,
7:26.0,,,42-37,,Shooting foul by B. Biyombo (drawn by K. Love)
7:26.0,Official timeout,,42-37,,
7:26.0,,,42-37,,K. Love misses free throw 1 of 2
7:26.0,,,42-37,,Offensive rebound by Team
7:26.0,,,42-38,1,K. Love makes free throw 2 of 2
7:15.0,,,42-38,,Personal foul by K. Love (drawn by J. Meeks)
7:05.0,T. Ross misses 3-pt shot from 26 ft,,42-38,,
7:04.0,,,42-38,,Defensive rebound by L. James
6:59.0,,,42-38,,K. Irving enters the game for D. Williams
6:59.0,,,42-38,,J. Smith enters the game for I. Shumpert
6:47.0,,,42-38,,K. Irving misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by J. Meeks,,42-38,,
6:36.0,J. Meeks makes 3-pt shot from 24 ft (assist by C. Watson),3,45-38,,
6:15.0,,,45-38,,K. Love misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by B. Biyombo,,45-38,,
6:04.0,B. Biyombo misses 2-pt shot from 3 ft (block by L. James),,45-38,,
6:04.0,,,45-38,,Defensive rebound by Team
6:04.0,,,45-38,,T. Thompson enters the game for K. Korver
5:51.0,,,45-41,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
5:31.0,A. Gordon misses 2-pt shot from 14 ft,,45-41,,
5:30.0,Offensive rebound by C. Watson,,45-41,,
5:28.0,C. Watson makes 2-pt shot from 15 ft,2,47-41,,
5:03.0,,,47-41,,L. James misses 2-pt shot at rim (block by B. Biyombo)
5:01.0,Defensive rebound by B. Biyombo,,47-41,,
4:47.0,J. Meeks misses 3-pt shot from 26 ft,,47-41,,
4:46.0,,,47-41,,Defensive rebound by K. Love
4:42.0,,,47-41,,Shooting foul by B. Biyombo (drawn by L. James)
4:42.0,,,47-41,,Cleveland full timeout
4:42.0,,,47-42,1,L. James makes free throw 1 of 2
4:42.0,,,47-42,,L. James misses free throw 2 of 2
4:42.0,E. Fournier enters the game for B. Biyombo,,47-41,,
4:42.0,N. Vucevic enters the game for J. Meeks,,47-41,,
4:42.0,E. Payton enters the game for C. Watson,,47-41,,
4:41.0,Defensive rebound by N. Vucevic,,47-42,,
4:26.0,Turnover by A. Gordon (bad pass; steal by L. James),,47-42,,
4:16.0,,,47-42,,J. Smith misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by A. Gordon,,47-42,,
4:10.0,Turnover by A. Gordon (bad pass),,47-42,,
3:50.0,,,47-42,,Shooting foul by T. Ross (drawn by K. Love)
3:50.0,,,47-43,1,K. Love makes free throw 1 of 2
3:50.0,,,47-44,1,K. Love makes free throw 2 of 2
3:37.0,E. Payton makes 2-pt shot from 6 ft,2,49-44,,
3:18.0,,,49-47,3,K. Irving makes 3-pt shot from 24 ft (assist by J. Smith)
2:55.0,E. Fournier misses 2-pt shot from 9 ft,,49-47,,
2:53.0,,,49-47,,Defensive rebound by L. James
2:49.0,,,49-49,2,L. James makes 2-pt shot at rim
2:44.0,Orlando full timeout,,49-49,,
2:37.0,T. Ross makes 2-pt shot from 19 ft,2,51-49,,
2:27.0,Personal foul by E. Fournier (drawn by K. Love),,51-49,,
2:27.0,,,51-50,1,K. Love makes free throw 1 of 2
2:27.0,,,51-51,1,K. Love makes free throw 2 of 2
2:09.0,N. Vucevic misses 2-pt shot from 13 ft,,51-51,,
2:07.0,,,51-51,,Defensive rebound by K. Love
1:57.0,,,51-51,,J. Smith misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by A. Gordon,,51-51,,
1:45.0,E. Fournier misses 3-pt shot from 23 ft,,51-51,,
1:45.0,,,51-51,,Defensive rebound by L. James
1:40.0,,,51-53,2,K. Irving makes 2-pt shot from 4 ft (assist by L. James)
1:25.0,,,51-53,,Personal foul by K. Irving (drawn by E. Fournier)
1:25.0,E. Fournier makes free throw 1 of 2,1,52-53,,
1:25.0,E. Fournier makes free throw 2 of 2,1,53-53,,
1:25.0,,,52-53,,D. Williams enters the game for K. Irving
1:05.0,,,53-53,,K. Love misses 2-pt shot from 6 ft
1:05.0,Defensive rebound by E. Payton,,53-53,,
0:59.0,T. Ross misses 3-pt shot from 25 ft,,53-53,,
0:57.0,Offensive rebound by A. Gordon,,53-53,,
0:50.0,T. Ross misses 3-pt shot from 24 ft,,53-53,,
0:50.0,,,53-53,,Defensive rebound by K. Love
0:45.0,B. Biyombo enters the game for E. Fournier,,53-53,,
0:38.0,,,53-53,,K. Love misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by E. Payton,,53-53,,
0:33.0,Orlando full timeout,,53-53,,
0:33.0,E. Fournier enters the game for B. Biyombo,,53-53,,
0:26.0,,,53-53,,Personal foul by T. Thompson (drawn by E. Fournier)
0:26.0,E. Fournier makes free throw 1 of 2,1,54-53,,
0:26.0,E. Fournier makes free throw 2 of 2,1,55-53,,
0:26.0,,,54-53,,C. Frye enters the game for T. Thompson
0:26.0,B. Biyombo enters the game for T. Ross,,54-53,,
0:01.0,,,55-53,,L. James misses 3-pt shot from 25 ft
0:00.0,,,55-53,,Offensive rebound by K. Love
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,55-56,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
11:28.0,A. Gordon misses 2-pt shot at rim,,55-56,,
11:26.0,,,55-56,,Defensive rebound by K. Love
11:24.0,,,55-56,,Turnover by J. Smith (bad pass)
10:59.0,A. Gordon makes 3-pt shot from 23 ft (assist by T. Ross),3,58-56,,
10:34.0,,,58-56,,L. James misses 2-pt shot from 16 ft
10:33.0,,,58-56,,Offensive rebound by K. Irving
10:28.0,,,58-56,,K. Irving misses 3-pt shot from 24 ft
10:28.0,,,58-56,,Offensive rebound by T. Thompson
10:22.0,,,58-58,2,K. Irving makes 2-pt shot from 19 ft (assist by L. James)
10:12.0,E. Payton makes 2-pt shot from 1 ft,2,60-58,,
9:57.0,,,60-61,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
9:42.0,N. Vucevic misses 2-pt shot from 9 ft,,60-61,,
9:40.0,,,60-61,,Defensive rebound by L. James
9:35.0,,,60-64,3,J. Smith makes 3-pt shot from 27 ft (assist by L. James)
9:18.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,62-64,,
8:59.0,,,62-64,,J. Smith misses 2-pt shot from 10 ft
8:57.0,Defensive rebound by N. Vucevic,,62-64,,
8:51.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,65-64,,
8:32.0,,,65-67,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
8:16.0,N. Vucevic makes 2-pt shot from 18 ft (assist by T. Ross),2,67-67,,
8:00.0,,,67-70,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
8:00.0,Orlando full timeout,,67-70,,
7:42.0,T. Ross misses 3-pt shot from 25 ft,,67-70,,
7:41.0,,,67-70,,Defensive rebound by K. Love
7:36.0,Personal block foul by E. Fournier (drawn by L. James),,67-70,,
7:16.0,,,67-73,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
6:53.0,E. Payton misses 3-pt shot from 23 ft,,67-73,,
6:53.0,,,67-73,,Defensive rebound by K. Love
6:48.0,,,67-75,2,K. Irving makes 2-pt shot from 2 ft (assist by K. Love)
6:27.0,Turnover by A. Gordon (offensive foul),,67-75,,
6:27.0,Offensive charge foul by A. Gordon,,67-75,,
6:15.0,,,67-75,,K. Love misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by N. Vucevic,,67-75,,
6:11.0,Shooting foul by K. Irving (drawn by E. Payton),,67-75,,
6:11.0,E. Payton makes free throw 1 of 2,1,68-75,,
6:11.0,E. Payton makes free throw 2 of 2,1,69-75,,
6:09.0,,,69-77,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:06.0,Turnover by A. Gordon (bad pass; steal by L. James),,69-77,,
6:03.0,,,69-79,2,L. James makes 2-pt shot from 1 ft
6:02.0,Orlando full timeout,,69-79,,
5:55.0,Offensive foul by N. Vucevic,,69-79,,
5:55.0,Turnover by N. Vucevic (offensive foul),,69-79,,
5:36.0,,,69-81,2,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving)
5:24.0,A. Gordon misses 3-pt shot from 24 ft,,69-81,,
5:23.0,,,69-81,,Defensive rebound by J. Smith
5:12.0,,,69-83,2,K. Love makes 2-pt shot from 15 ft (assist by L. James)
4:51.0,N. Vucevic misses 2-pt shot from 9 ft,,69-83,,
4:50.0,,,69-83,,Defensive rebound by L. James
4:49.0,Personal foul by N. Vucevic (drawn by L. James),,69-83,,
4:49.0,M. Hezonja enters the game for E. Payton,,69-83,,
4:49.0,C. Watson enters the game for T. Ross,,69-83,,
4:32.0,,,69-85,2,K. Love makes 2-pt shot from 8 ft (assist by K. Irving)
4:16.0,A. Gordon makes 2-pt shot from 16 ft (assist by C. Watson),2,71-85,,
3:58.0,,,71-88,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
3:58.0,Orlando full timeout,,71-88,,
3:58.0,,,71-88,,K. Korver enters the game for L. James
3:47.0,Shooting foul by K. Love (drawn by E. Fournier),,71-88,,
3:47.0,E. Fournier makes free throw 1 of 2,1,72-88,,
3:47.0,E. Fournier misses free throw 2 of 2,,72-88,,
3:47.0,J. Meeks enters the game for A. Gordon,,72-88,,
3:45.0,,,72-88,,Defensive rebound by J. Smith
3:32.0,,,72-88,,K. Love misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by Team,,72-88,,
3:23.0,N. Vucevic misses 2-pt shot from 16 ft,,72-88,,
3:21.0,,,72-88,,Defensive rebound by K. Korver
3:09.0,,,72-88,,K. Love misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by N. Vucevic,,72-88,,
2:59.0,M. Hezonja misses 2-pt shot from 6 ft,,72-88,,
2:59.0,Offensive rebound by N. Vucevic,,72-88,,
2:59.0,N. Vucevic misses 2-pt shot from 1 ft,,72-88,,
2:59.0,Offensive rebound by Team,,72-88,,
2:59.0,,,72-88,,Personal foul by T. Thompson (drawn by N. Vucevic)
2:59.0,,,72-88,,R. Jefferson enters the game for K. Love
2:59.0,B. Biyombo enters the game for N. Vucevic,,72-88,,
2:47.0,E. Fournier makes 3-pt shot from 28 ft (assist by C. Watson),3,75-88,,
2:33.0,,,75-88,,Turnover by K. Korver (bad pass)
2:22.0,E. Fournier misses 3-pt shot from 25 ft,,75-88,,
2:22.0,,,75-88,,Defensive rebound by R. Jefferson
2:10.0,Personal foul by C. Watson (drawn by K. Irving),,75-88,,
1:53.0,,,75-91,3,K. Korver makes 3-pt shot from 31 ft (assist by J. Smith)
1:35.0,C. Watson misses 2-pt shot from 18 ft,,75-91,,
1:35.0,,,75-91,,Defensive rebound by K. Irving
1:16.0,,,75-94,3,K. Korver makes 3-pt shot from 24 ft (assist by K. Irving)
0:47.0,Turnover by M. Hezonja (lost ball; steal by K. Irving),,75-94,,
0:40.0,,,75-94,,K. Korver misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by B. Biyombo,,75-94,,
0:28.0,J. Meeks misses 3-pt shot from 24 ft,,75-94,,
0:28.0,,,75-94,,Defensive rebound by T. Thompson
0:07.0,,,75-96,2,K. Korver makes 2-pt shot from 16 ft (assist by K. Irving)
0:02.0,C. Watson misses 3-pt shot from 25 ft,,75-96,,
0:01.0,,,75-96,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by T. Ross (bad pass; steal by C. Frye),,75-96,,
11:41.0,,,75-96,,Turnover by D. Williams (bad pass; steal by M. Hezonja)
11:38.0,M. Hezonja makes 2-pt shot at rim,2,77-96,,
11:24.0,Personal foul by B. Biyombo (drawn by C. Frye),,77-96,,
11:09.0,,,77-99,3,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Korver)
10:52.0,M. Hezonja makes 3-pt shot from 26 ft (assist by C. Watson),3,80-99,,
10:33.0,,,80-99,,Turnover by L. James (bad pass; steal by T. Ross)
10:26.0,M. Hezonja misses 3-pt shot from 24 ft,,80-99,,
10:26.0,Offensive rebound by C. Watson,,80-99,,
10:18.0,B. Biyombo misses 2-pt shot from 3 ft,,80-99,,
10:18.0,,,80-99,,Defensive rebound by C. Frye
10:03.0,,,80-99,,Turnover by L. James (bad pass; steal by T. Ross)
10:01.0,,,80-99,,Personal foul by R. Jefferson (drawn by T. Ross)
10:01.0,,,80-99,,I. Shumpert enters the game for K. Korver
9:49.0,J. Meeks misses 2-pt shot from 16 ft,,80-99,,
9:48.0,,,80-99,,Defensive rebound by C. Frye
9:38.0,,,80-101,2,D. Williams makes 2-pt shot from 5 ft
9:38.0,,,80-101,,Shooting foul by B. Biyombo (drawn by D. Williams)
9:38.0,,,80-102,1,D. Williams makes free throw 1 of 1
9:22.0,T. Ross makes 3-pt shot from 25 ft (assist by J. Meeks),3,83-102,,
9:06.0,,,83-102,,C. Frye misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by J. Meeks,,83-102,,
8:58.0,T. Ross misses 3-pt shot from 23 ft,,83-102,,
8:58.0,Offensive rebound by B. Biyombo,,83-102,,
8:55.0,J. Meeks makes 2-pt shot from 1 ft (assist by B. Biyombo),2,85-102,,
8:55.0,,,85-102,,Cleveland full timeout
8:41.0,,,85-102,,Turnover by L. James (bad pass; steal by J. Meeks)
8:35.0,Turnover by J. Meeks (bad pass; steal by I. Shumpert),,85-102,,
8:31.0,,,85-104,2,L. James makes 2-pt shot at rim (assist by I. Shumpert)
8:04.0,T. Ross misses 2-pt shot from 16 ft,,85-104,,
8:02.0,Offensive rebound by Team,,85-104,,
7:55.0,C. Watson misses 3-pt shot from 26 ft,,85-104,,
7:54.0,,,85-104,,Defensive rebound by Team
7:38.0,,,85-104,,D. Williams misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by B. Biyombo,,85-104,,
7:29.0,B. Biyombo makes 2-pt shot at rim (assist by J. Meeks),2,87-104,,
7:07.0,,,87-104,,R. Jefferson misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by J. Meeks,,87-104,,
6:58.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Watson),3,90-104,,
6:35.0,,,90-104,,D. Williams misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by B. Biyombo,,90-104,,
6:30.0,Shooting foul by L. James (drawn by B. Biyombo),,90-104,,
6:30.0,B. Biyombo makes free throw 1 of 2,1,91-104,,
6:30.0,B. Biyombo makes free throw 2 of 2,1,92-104,,
6:30.0,,,91-104,,K. Love enters the game for C. Frye
6:30.0,,,91-104,,J. Smith enters the game for R. Jefferson
6:16.0,,,92-104,,L. James misses 3-pt shot from 27 ft
6:16.0,Defensive rebound by J. Meeks,,92-104,,
6:07.0,J. Meeks misses 3-pt shot from 24 ft,,92-104,,
6:07.0,,,92-104,,Defensive rebound by L. James
6:00.0,,,92-104,,L. James misses 2-pt shot from 3 ft (block by M. Hezonja)
5:59.0,,,92-104,,Offensive rebound by L. James
5:58.0,,,92-104,,Shooting foul by B. Biyombo (drawn by L. James)
5:58.0,Official timeout,,92-104,,
5:58.0,,,92-105,1,L. James makes free throw 1 of 2
5:58.0,,,92-106,1,L. James makes free throw 2 of 2
5:58.0,A. Gordon enters the game for B. Biyombo,,92-104,,
5:43.0,T. Ross misses 3-pt shot from 24 ft,,92-106,,
5:43.0,,,92-106,,Defensive rebound by L. James
5:28.0,,,92-109,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
5:11.0,,,92-109,,Personal foul by L. James (drawn by A. Gordon)
5:11.0,,,92-109,,K. Irving enters the game for L. James
5:06.0,Shooting foul by I. Shumpert (drawn by J. Meeks),,92-109,,
5:06.0,J. Meeks makes free throw 1 of 2,1,93-109,,
5:06.0,J. Meeks makes free throw 2 of 2,1,94-109,,
4:49.0,Personal foul by M. Hezonja (drawn by K. Love),,94-109,,
4:49.0,E. Fournier enters the game for M. Hezonja,,94-109,,
4:49.0,E. Payton enters the game for C. Watson,,94-109,,
4:41.0,,,94-109,,Shooting foul by E. Fournier (drawn by I. Shumpert)
4:41.0,,,94-110,1,I. Shumpert makes free throw 1 of 2
4:41.0,,,94-111,1,I. Shumpert makes free throw 2 of 2
4:33.0,A. Gordon misses 2-pt shot from 3 ft (block by K. Love),,94-111,,
4:33.0,Offensive rebound by Team,,94-111,,
4:33.0,,,94-111,,R. Jefferson enters the game for K. Love
4:29.0,E. Fournier misses 3-pt shot from 25 ft,,94-111,,
4:28.0,,,94-111,,Defensive rebound by K. Irving
4:19.0,,,94-113,2,K. Irving makes 2-pt shot from 1 ft
4:17.0,Orlando full timeout,,94-113,,
4:17.0,,,94-113,,D. Liggins enters the game for J. Smith
4:17.0,,,94-113,,D. Williams enters the game for K. Irving
4:17.0,D. Rudez enters the game for T. Ross,,94-113,,
4:17.0,M. Georges-Hunt enters the game for A. Gordon,,94-113,,
4:17.0,C. Watson enters the game for E. Fournier,,94-113,,
4:17.0,M. Hezonja enters the game for E. Payton,,94-113,,
4:17.0,P. Garino enters the game for J. Meeks,,94-113,,
4:05.0,,,94-113,,Personal foul by R. Jefferson (drawn by M. Hezonja)
4:05.0,M. Hezonja makes free throw 1 of 2,1,95-113,,
4:05.0,M. Hezonja makes free throw 2 of 2,1,96-113,,
3:52.0,,,96-115,2,I. Shumpert makes 2-pt shot from 16 ft (assist by D. Williams)
3:34.0,D. Rudez makes 2-pt shot from 1 ft (assist by M. Hezonja),2,98-115,,
3:21.0,,,98-115,,D. Williams misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by M. Hezonja,,98-115,,
3:16.0,Turnover by M. Hezonja (bad pass),,98-115,,
3:03.0,,,98-117,2,D. Williams makes 2-pt shot from 8 ft
3:03.0,,,98-117,,Shooting foul by D. Rudez (drawn by D. Williams)
