time,Golden State,pts.away,score,pts.home,Miami
7:42.0,,,7-11,,H. Whiteside misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by D. Green,,7-11,,
7:31.0,S. Curry misses 2-pt shot from 1 ft,,7-11,,
7:30.0,,,7-11,,Defensive rebound by H. Whiteside
7:23.0,,,7-11,,H. Whiteside misses 2-pt shot from 9 ft
7:22.0,Defensive rebound by S. Curry,,7-11,,
7:12.0,Z. Pachulia misses 2-pt shot from 16 ft,,7-11,,
7:11.0,,,7-11,,Defensive rebound by L. Babbitt
6:52.0,,,7-11,,Turnover by G. Dragic (traveling)
6:52.0,,,7-11,,J. Johnson enters the game for L. Babbitt
6:41.0,K. Durant makes 2-pt shot from 16 ft (assist by D. Green),2,9-11,,
6:19.0,,,9-11,,R. McGruder misses 3-pt shot from 25 ft
6:18.0,,,9-11,,Offensive rebound by Team
6:17.0,Loose ball foul by K. Thompson (drawn by H. Whiteside),,9-11,,
6:17.0,,,9-11,,W. Ellington enters the game for G. Dragic
6:17.0,I. Clark enters the game for K. Thompson,,9-11,,
6:13.0,,,9-14,3,D. Waiters makes 3-pt shot from 25 ft (assist by W. Ellington)
5:58.0,Shooting foul by H. Whiteside (drawn by Z. Pachulia),,9-14,,
5:58.0,,,9-14,,Miami full timeout
5:58.0,Z. Pachulia makes free throw 1 of 2,1,10-14,,
5:58.0,Z. Pachulia misses free throw 2 of 2,,10-14,,
5:57.0,,,10-14,,Defensive rebound by R. McGruder
5:45.0,,,10-17,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters)
5:33.0,S. Curry makes 3-pt shot from 24 ft,3,13-17,,
5:19.0,J. McGee enters the game for Z. Pachulia,,13-17,,
5:10.0,,,13-17,,W. Ellington misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by J. McGee,,13-17,,
5:01.0,J. McGee makes 2-pt shot from 8 ft (assist by D. Green),2,15-17,,
4:48.0,Def 3 sec tech foul by J. McGee,,15-17,,
4:48.0,,,15-18,1,W. Ellington makes technical free throw
4:48.0,,,15-18,,W. Reed enters the game for H. Whiteside
4:48.0,P. McCaw enters the game for D. Green,,15-18,,
4:36.0,,,15-20,2,D. Waiters makes 2-pt shot from 22 ft
4:11.0,J. McGee misses 2-pt shot from 2 ft (block by W. Reed),,15-20,,
4:10.0,Offensive rebound by Team,,15-20,,
4:07.0,I. Clark misses 2-pt shot from 2 ft,,15-20,,
4:06.0,,,15-20,,Defensive rebound by W. Reed
3:53.0,,,15-22,2,D. Waiters makes 2-pt shot from 19 ft
3:42.0,S. Curry misses 2-pt shot from 17 ft,,15-22,,
3:41.0,,,15-22,,Defensive rebound by W. Reed
3:39.0,,,15-24,2,W. Reed makes 2-pt shot at rim (assist by J. Johnson)
3:39.0,Golden State full timeout,,15-24,,
3:32.0,,,15-24,,Personal foul by J. Johnson (drawn by K. Durant)
3:24.0,I. Clark makes 2-pt shot from 1 ft (assist by K. Durant),2,17-24,,
3:02.0,,,17-26,2,W. Reed makes 2-pt shot at rim (assist by D. Waiters)
2:53.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,19-26,,
2:53.0,Shooting foul by W. Reed (drawn by J. McGee),,19-26,,
2:53.0,J. McGee misses free throw 1 of 1,,19-26,,
2:52.0,,,19-26,,Defensive rebound by W. Reed
2:28.0,,,19-26,,R. McGruder misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by S. Curry,,19-26,,
2:23.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,21-26,,
2:06.0,,,21-26,,Turnover by D. Waiters (bad pass; steal by I. Clark)
1:52.0,Turnover by K. Durant (lost ball; steal by W. Ellington),,21-26,,
1:49.0,,,21-26,,Shooting foul by S. Curry (drawn by R. McGruder)
1:49.0,,,21-26,,R. McGruder misses free throw 1 of 2
1:49.0,,,21-26,,Offensive rebound by Team
1:49.0,,,21-26,,R. McGruder misses free throw 2 of 2
1:49.0,,,21-26,,G. Dragic enters the game for D. Waiters
1:49.0,D. Green enters the game for K. Durant,,21-26,,
1:48.0,Defensive rebound by J. McGee,,21-26,,
1:33.0,D. Green makes 2-pt shot from 2 ft (assist by J. McGee),2,23-26,,
1:21.0,,,23-26,,Turnover by R. McGruder (lost ball)
1:21.0,,,23-26,,L. Babbitt enters the game for R. McGruder
1:10.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,25-26,,
0:58.0,,,25-28,2,J. Johnson makes 2-pt shot at rim (assist by W. Reed)
0:49.0,S. Curry misses 3-pt shot from 25 ft,,25-28,,
0:48.0,,,25-28,,Defensive rebound by Team
0:32.0,,,25-28,,G. Dragic misses 2-pt shot from 15 ft
0:31.0,Defensive rebound by S. Curry,,25-28,,
0:27.0,S. Curry makes 3-pt shot from 25 ft,3,28-28,,
0:09.0,,,28-28,,G. Dragic misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by J. McGee,,28-28,,
0:00.0,S. Curry makes 2-pt shot from 9 ft,2,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,30-28,,
11:46.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Livingston),2,32-28,,
11:27.0,,,32-28,,W. Ellington misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by Team,,32-28,,
11:12.0,J. McGee makes 2-pt shot from 1 ft (assist by K. Thompson),2,34-28,,
10:58.0,,,34-30,2,J. Johnson makes 2-pt shot from 3 ft
10:50.0,D. Green misses 3-pt shot from 26 ft,,34-30,,
10:49.0,Offensive rebound by J. McGee,,34-30,,
10:46.0,P. McCaw misses 3-pt shot from 24 ft,,34-30,,
10:45.0,,,34-30,,Defensive rebound by H. Whiteside
10:26.0,,,34-30,,J. Johnson misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by K. Thompson,,34-30,,
10:19.0,K. Thompson misses 3-pt shot from 26 ft,,34-30,,
10:18.0,,,34-30,,Defensive rebound by J. Johnson
10:05.0,,,34-32,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson)
10:05.0,,,34-32,,Shooting foul by S. Livingston (drawn by H. Whiteside)
10:05.0,,,34-33,1,H. Whiteside makes free throw 1 of 1
10:05.0,,,34-32,,O. White enters the game for J. Johnson
10:05.0,Z. Pachulia enters the game for J. McGee,,34-32,,
9:46.0,Turnover by S. Livingston (bad pass; steal by H. Whiteside),,34-33,,
9:29.0,,,34-33,,G. Dragic misses 2-pt shot from 6 ft
9:28.0,,,34-33,,Offensive rebound by G. Dragic
9:21.0,,,34-33,,W. Ellington misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by K. Thompson,,34-33,,
9:09.0,,,34-33,,Personal foul by H. Whiteside (drawn by Z. Pachulia)
9:01.0,S. Livingston misses 2-pt shot from 12 ft,,34-33,,
9:00.0,Offensive rebound by Team,,34-33,,
8:49.0,K. Thompson misses 2-pt shot from 16 ft,,34-33,,
8:48.0,Offensive rebound by Team,,34-33,,
8:47.0,,,34-33,,Loose ball foul by W. Ellington (drawn by Z. Pachulia)
8:47.0,Official timeout,,34-33,,
8:47.0,I. Clark enters the game for P. McCaw,,34-33,,
8:40.0,D. Green makes 2-pt shot from 3 ft (assist by S. Livingston),2,36-33,,
8:24.0,,,36-33,,Turnover by H. Whiteside (lost ball; steal by K. Thompson)
8:22.0,Turnover by K. Thompson (lost ball; steal by H. Whiteside),,36-33,,
8:17.0,,,36-36,3,G. Dragic makes 3-pt shot from 24 ft (assist by W. Ellington)
7:50.0,D. Green makes 2-pt shot from 17 ft (assist by S. Livingston),2,38-36,,
7:30.0,K. Durant enters the game for D. Green,,38-36,,
7:22.0,,,38-36,,H. Whiteside misses 2-pt shot from 8 ft
7:21.0,,,38-36,,Offensive rebound by H. Whiteside
7:18.0,,,38-36,,H. Whiteside misses 2-pt shot from 8 ft
7:17.0,Defensive rebound by K. Durant,,38-36,,
7:12.0,K. Thompson misses 3-pt shot from 25 ft,,38-36,,
7:11.0,,,38-36,,Defensive rebound by H. Whiteside
7:04.0,,,38-36,,L. Babbitt misses 3-pt shot from 23 ft
7:03.0,,,38-36,,Offensive rebound by O. White
7:02.0,,,38-38,2,O. White makes 2-pt shot from 1 ft
6:43.0,Turnover by Z. Pachulia (traveling),,38-38,,
6:29.0,,,38-38,,O. White misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by K. Durant,,38-38,,
6:16.0,K. Thompson makes 2-pt shot from 18 ft (assist by S. Livingston),2,40-38,,
6:05.0,,,40-40,2,G. Dragic makes 2-pt shot from 1 ft
5:53.0,K. Durant misses 3-pt shot from 28 ft,,40-40,,
5:52.0,,,40-40,,Defensive rebound by H. Whiteside
5:42.0,,,40-40,,G. Dragic misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by Z. Pachulia,,40-40,,
5:38.0,Golden State full timeout,,40-40,,
5:38.0,S. Curry enters the game for I. Clark,,40-40,,
5:38.0,,,40-40,,D. Waiters enters the game for L. Babbitt
5:38.0,,,40-40,,J. Johnson enters the game for G. Dragic
5:38.0,,,40-40,,R. McGruder enters the game for O. White
5:24.0,K. Durant makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,42-40,,
5:03.0,,,42-40,,W. Ellington misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by S. Curry,,42-40,,
4:56.0,S. Curry misses 3-pt shot from 25 ft,,42-40,,
4:55.0,,,42-40,,Defensive rebound by H. Whiteside
4:45.0,,,42-42,2,R. McGruder makes 2-pt shot from 1 ft (assist by D. Waiters)
4:38.0,K. Durant misses 3-pt shot from 25 ft,,42-42,,
4:37.0,,,42-42,,Defensive rebound by H. Whiteside
4:18.0,,,42-44,2,D. Waiters makes 2-pt shot from 2 ft
4:00.0,K. Durant misses 2-pt shot from 6 ft,,42-44,,
3:59.0,Offensive rebound by Team,,42-44,,
3:53.0,K. Thompson makes 2-pt shot from 16 ft,2,44-44,,
3:35.0,,,44-44,,Turnover by D. Waiters (bad pass; steal by S. Livingston)
3:30.0,Turnover by S. Curry (bad pass; steal by W. Ellington),,44-44,,
3:24.0,,,44-44,,W. Ellington misses 3-pt shot from 25 ft
3:23.0,,,44-44,,Offensive rebound by H. Whiteside
3:21.0,,,44-44,,H. Whiteside misses 2-pt shot from 5 ft
3:20.0,Defensive rebound by S. Livingston,,44-44,,
3:13.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,46-44,,
3:13.0,,,46-44,,Miami full timeout
3:13.0,J. McGee enters the game for Z. Pachulia,,46-44,,
3:13.0,D. Green enters the game for S. Livingston,,46-44,,
3:13.0,,,46-44,,G. Dragic enters the game for W. Ellington
2:56.0,,,46-44,,D. Waiters misses 3-pt shot from 24 ft
2:54.0,,,46-44,,Offensive rebound by H. Whiteside
2:54.0,,,46-44,,H. Whiteside misses 2-pt shot from 1 ft
2:53.0,,,46-44,,Offensive rebound by G. Dragic
2:44.0,Personal foul by J. McGee (drawn by H. Whiteside),,46-44,,
2:28.0,,,46-44,,Turnover by Team (shot clock)
2:12.0,S. Curry misses 2-pt shot from 1 ft (block by H. Whiteside),,46-44,,
2:11.0,,,46-44,,Defensive rebound by D. Waiters
2:00.0,,,46-46,2,J. Johnson makes 2-pt shot at rim (assist by G. Dragic)
1:48.0,Turnover by K. Durant (lost ball; steal by D. Waiters),,46-46,,
1:37.0,,,46-46,,H. Whiteside misses 2-pt shot from 4 ft
1:36.0,Defensive rebound by K. Durant,,46-46,,
1:35.0,,,46-46,,Personal foul by R. McGruder (drawn by K. Durant)
1:18.0,K. Durant makes 2-pt shot from 15 ft (assist by S. Curry),2,48-46,,
0:52.0,,,48-46,,Miami full timeout
0:52.0,Personal foul by J. McGee (drawn by H. Whiteside),,48-46,,
0:41.0,,,48-46,,G. Dragic misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by S. Curry,,48-46,,
0:32.0,S. Curry misses 2-pt shot from 2 ft,,48-46,,
0:30.0,,,48-46,,Defensive rebound by D. Waiters
0:08.0,,,48-46,,R. McGruder misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by J. McGee,,48-46,,
0:00.0,K. Durant misses 3-pt shot from 25 ft,,48-46,,
0:00.0,Offensive rebound by Team,,48-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Green misses 3-pt shot from 24 ft,,48-46,,
11:41.0,,,48-46,,Defensive rebound by H. Whiteside
11:18.0,,,48-48,2,H. Whiteside makes 2-pt shot from 14 ft
11:07.0,Turnover by S. Curry (bad pass; steal by G. Dragic),,48-48,,
11:03.0,,,48-48,,Turnover by G. Dragic (bad pass; steal by K. Durant)
10:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,51-48,,
10:41.0,,,51-51,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
10:26.0,K. Thompson misses 2-pt shot from 8 ft,,51-51,,
10:25.0,Offensive rebound by Z. Pachulia,,51-51,,
10:19.0,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,53-51,,
10:02.0,,,53-51,,L. Babbitt misses 2-pt shot from 12 ft
10:01.0,,,53-51,,Offensive rebound by Team
10:00.0,Loose ball foul by K. Thompson (drawn by L. Babbitt),,53-51,,
9:48.0,,,53-54,3,L. Babbitt makes 3-pt shot from 24 ft (assist by R. McGruder)
9:36.0,K. Durant misses 3-pt shot from 25 ft,,53-54,,
9:35.0,,,53-54,,Defensive rebound by L. Babbitt
9:19.0,,,53-54,,R. McGruder misses 2-pt shot from 16 ft
9:18.0,,,53-54,,Offensive rebound by H. Whiteside
9:17.0,Flagrant foul type 1 by K. Durant (drawn by H. Whiteside),,53-54,,
9:17.0,,,53-55,1,H. Whiteside makes flagrant free throw 1 of 2
9:17.0,,,53-55,,H. Whiteside misses flagrant free throw 2 of 2
9:17.0,,,53-55,,Offensive rebound by Team
9:04.0,,,53-55,,L. Babbitt misses 2-pt shot from 20 ft
9:03.0,Defensive rebound by Z. Pachulia,,53-55,,
8:48.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green),2,55-55,,
8:32.0,,,55-55,,Shooting foul by Z. Pachulia (drawn by R. McGruder)
8:32.0,,,55-55,,R. McGruder misses free throw 1 of 2
8:32.0,,,55-55,,Offensive rebound by Team
8:32.0,,,55-56,1,R. McGruder makes free throw 2 of 2
8:24.0,Z. Pachulia misses 2-pt shot from 20 ft,,55-56,,
8:23.0,,,55-56,,Defensive rebound by L. Babbitt
8:14.0,,,55-56,,D. Waiters misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by S. Curry,,55-56,,
8:01.0,K. Durant makes 2-pt shot from 17 ft,2,57-56,,
7:48.0,,,57-59,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
7:30.0,Shooting foul by D. Waiters (drawn by K. Thompson),,57-59,,
7:30.0,K. Thompson misses free throw 1 of 2,,57-59,,
7:30.0,Offensive rebound by Team,,57-59,,
7:30.0,K. Thompson makes free throw 2 of 2,1,58-59,,
7:17.0,,,58-59,,G. Dragic misses 2-pt shot from 2 ft (block by K. Thompson)
7:16.0,,,58-59,,Offensive rebound by Team
7:10.0,,,58-61,2,D. Waiters makes 2-pt shot from 20 ft
6:58.0,S. Curry makes 2-pt shot from 6 ft,2,60-61,,
6:46.0,,,60-61,,Turnover by H. Whiteside (lost ball; steal by Z. Pachulia)
6:40.0,K. Durant misses 3-pt shot from 26 ft,,60-61,,
6:39.0,,,60-61,,Defensive rebound by G. Dragic
6:35.0,,,60-61,,Shooting foul by S. Curry (drawn by G. Dragic)
6:35.0,,,60-61,,G. Dragic misses free throw 1 of 2
6:35.0,,,60-61,,Offensive rebound by Team
6:35.0,,,60-61,,G. Dragic misses free throw 2 of 2
6:34.0,Defensive rebound by D. Green,,60-61,,
6:19.0,K. Durant makes 2-pt shot from 2 ft,2,62-61,,
5:53.0,,,62-63,2,G. Dragic makes 2-pt shot from 20 ft
5:43.0,S. Curry makes 2-pt shot from 18 ft,2,64-63,,
5:42.0,,,64-63,,Miami full timeout
5:42.0,,,64-63,,J. Johnson enters the game for L. Babbitt
5:42.0,,,64-63,,W. Ellington enters the game for G. Dragic
5:29.0,,,64-63,,H. Whiteside misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by S. Curry,,64-63,,
5:26.0,Shooting foul by J. Johnson (drawn by S. Curry),,64-63,,
5:26.0,S. Curry makes free throw 1 of 2,1,65-63,,
5:26.0,S. Curry makes free throw 2 of 2,1,66-63,,
5:15.0,,,66-63,,Turnover by H. Whiteside (bad pass; steal by D. Green)
5:09.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,68-63,,
4:43.0,,,68-63,,W. Ellington misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by K. Durant,,68-63,,
4:34.0,Shooting foul by H. Whiteside (drawn by Z. Pachulia),,68-63,,
4:34.0,Z. Pachulia misses free throw 1 of 2,,68-63,,
4:34.0,Offensive rebound by Team,,68-63,,
4:34.0,Z. Pachulia makes free throw 2 of 2,1,69-63,,
4:34.0,P. McCaw enters the game for D. Green,,68-63,,
4:22.0,,,69-65,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
4:07.0,S. Curry misses 3-pt shot from 25 ft,,69-65,,
4:06.0,,,69-65,,Defensive rebound by D. Waiters
3:57.0,,,69-65,,Turnover by D. Waiters (bad pass; steal by K. Thompson)
3:52.0,,,69-65,,Personal foul by J. Johnson (drawn by P. McCaw)
3:52.0,,,69-65,,W. Reed enters the game for H. Whiteside
3:52.0,J. McGee enters the game for Z. Pachulia,,69-65,,
3:52.0,Golden State full timeout,,69-65,,
3:41.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,71-65,,
3:20.0,,,71-65,,J. Johnson misses 2-pt shot from 10 ft
3:19.0,,,71-65,,Offensive rebound by J. Johnson
3:10.0,,,71-68,3,D. Waiters makes 3-pt shot from 25 ft
2:55.0,K. Durant misses 3-pt shot from 24 ft,,71-68,,
2:54.0,,,71-68,,Defensive rebound by W. Ellington
2:37.0,,,71-71,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Waiters)
2:28.0,K. Durant misses 2-pt shot from 2 ft (block by J. Johnson),,71-71,,
2:27.0,,,71-71,,Defensive rebound by R. McGruder
2:20.0,,,71-73,2,W. Ellington makes 2-pt shot at rim (assist by R. McGruder)
2:20.0,Golden State full timeout,,71-73,,
2:20.0,I. Clark enters the game for K. Durant,,71-73,,
2:20.0,D. Green enters the game for K. Thompson,,71-73,,
2:03.0,Turnover by S. Curry (bad pass; steal by W. Ellington),,71-73,,
1:56.0,,,71-73,,Turnover by W. Ellington (bad pass; steal by J. McGee)
1:37.0,D. Green misses 2-pt shot from 6 ft,,71-73,,
1:36.0,,,71-73,,Defensive rebound by W. Reed
1:19.0,,,71-75,2,D. Waiters makes 2-pt shot from 2 ft
1:00.0,S. Curry misses 3-pt shot from 25 ft,,71-75,,
0:59.0,,,71-75,,Defensive rebound by W. Reed
0:37.0,,,71-75,,W. Reed misses 2-pt shot from 17 ft
0:36.0,Defensive rebound by S. Curry,,71-75,,
0:30.0,S. Curry makes 2-pt shot from 1 ft,2,73-75,,
0:16.0,,,73-77,2,W. Reed makes 2-pt shot at rim (assist by J. Johnson)
0:08.0,Offensive charge foul by D. Green,,73-77,,
0:08.0,Turnover by D. Green (offensive foul),,73-77,,
0:08.0,,,73-77,,G. Dragic enters the game for W. Reed
0:08.0,K. Durant enters the game for J. McGee,,73-77,,
0:01.0,,,73-77,,D. Waiters misses 3-pt shot from 25 ft
0:00.0,,,73-77,,Offensive rebound by D. Waiters
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,73-80,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
11:32.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,76-80,,
11:15.0,,,76-80,,W. Ellington misses 2-pt shot from 20 ft
11:14.0,Defensive rebound by Z. Pachulia,,76-80,,
11:07.0,K. Thompson misses 3-pt shot from 26 ft,,76-80,,
11:06.0,,,76-80,,Defensive rebound by W. Reed
10:56.0,,,76-80,,Turnover by G. Dragic (bad pass; steal by Z. Pachulia)
10:48.0,P. McCaw makes 3-pt shot from 24 ft (assist by S. Livingston),3,79-80,,
10:36.0,,,79-80,,J. Johnson misses 2-pt shot from 7 ft
10:35.0,,,79-80,,Offensive rebound by W. Reed
10:34.0,,,79-80,,W. Reed misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by Team,,79-80,,
10:32.0,,,79-80,,Loose ball foul by W. Reed (drawn by K. Thompson)
10:18.0,,,79-80,,Personal foul by J. Johnson (drawn by Z. Pachulia)
10:11.0,K. Thompson misses 2-pt shot from 17 ft,,79-80,,
10:10.0,,,79-80,,Defensive rebound by W. Ellington
10:02.0,,,79-80,,Turnover by J. Johnson (lost ball)
10:02.0,,,79-80,,O. White enters the game for J. Johnson
9:47.0,K. Thompson misses 2-pt shot from 12 ft,,79-80,,
9:46.0,Offensive rebound by Z. Pachulia,,79-80,,
9:45.0,Shooting foul by W. Ellington (drawn by K. Thompson),,79-80,,
9:45.0,K. Thompson makes free throw 1 of 2,1,80-80,,
9:45.0,K. Thompson makes free throw 2 of 2,1,81-80,,
9:45.0,,,80-80,,H. Whiteside enters the game for W. Reed
9:37.0,Violation by P. McCaw (kicked ball),,81-80,,
9:23.0,,,81-80,,Shooting foul by D. Green (drawn by G. Dragic)
9:23.0,,,81-81,1,G. Dragic makes free throw 1 of 2
9:23.0,,,81-82,1,G. Dragic makes free throw 2 of 2
9:10.0,Shooting foul by L. Babbitt (drawn by D. Green),,81-82,,
9:10.0,D. Green makes free throw 1 of 2,1,82-82,,
9:10.0,D. Green misses free throw 2 of 2,,82-82,,
9:10.0,,,82-82,,Defensive rebound by Team
8:57.0,,,82-84,2,O. White makes 2-pt shot from 4 ft (assist by W. Ellington)
8:57.0,,,82-84,,Shooting foul by Z. Pachulia (drawn by O. White)
8:57.0,Official timeout,,82-84,,
8:57.0,,,82-85,1,O. White makes free throw 1 of 1
8:57.0,K. Durant enters the game for K. Thompson,,82-84,,
8:41.0,K. Durant misses 2-pt shot from 18 ft,,82-85,,
8:40.0,Offensive rebound by Z. Pachulia,,82-85,,
8:38.0,Z. Pachulia misses 2-pt shot from 4 ft,,82-85,,
8:37.0,,,82-85,,Defensive rebound by H. Whiteside
8:14.0,,,82-85,,Shooting foul by S. Livingston (drawn by G. Dragic)
8:14.0,,,82-86,1,G. Dragic makes free throw 1 of 2
8:14.0,,,82-87,1,G. Dragic makes free throw 2 of 2
8:00.0,S. Livingston makes 2-pt shot from 15 ft,2,84-87,,
7:49.0,,,84-87,,Turnover by G. Dragic (step out of bounds)
7:35.0,S. Livingston misses 2-pt shot from 12 ft,,84-87,,
7:34.0,Offensive rebound by Team,,84-87,,
7:32.0,Turnover by S. Livingston (bad pass),,84-87,,
7:13.0,,,84-87,,G. Dragic misses 3-pt shot from 25 ft (block by S. Livingston)
7:11.0,,,84-87,,Offensive rebound by L. Babbitt
7:08.0,,,84-90,3,L. Babbitt makes 3-pt shot from 26 ft
6:53.0,,,84-90,,Personal foul by L. Babbitt (drawn by D. Green)
6:53.0,D. Green misses free throw 1 of 2,,84-90,,
6:53.0,Offensive rebound by Team,,84-90,,
6:53.0,D. Green misses free throw 2 of 2,,84-90,,
6:53.0,S. Curry enters the game for P. McCaw,,84-90,,
6:52.0,,,84-90,,Defensive rebound by H. Whiteside
6:51.0,Flagrant foul type 1 by Z. Pachulia (drawn by L. Babbitt),,84-90,,
6:51.0,,,84-90,,Technical foul by L. Babbitt (drawn by D. Green)
6:51.0,S. Curry misses technical free throw,,84-90,,
6:51.0,,,84-90,,Offensive rebound by Team
6:51.0,,,84-91,1,L. Babbitt makes flagrant free throw 1 of 2
6:51.0,,,84-92,1,L. Babbitt makes flagrant free throw 2 of 2
6:43.0,Personal foul by S. Livingston (drawn by G. Dragic),,84-92,,
6:43.0,,,84-93,1,G. Dragic makes free throw 1 of 2
6:43.0,,,84-93,,G. Dragic misses free throw 2 of 2
6:43.0,K. Thompson enters the game for Z. Pachulia,,84-93,,
6:42.0,Defensive rebound by K. Durant,,84-93,,
6:25.0,K. Durant makes 2-pt shot from 18 ft,2,86-93,,
6:02.0,,,86-93,,W. Ellington misses 2-pt shot from 16 ft
6:01.0,Defensive rebound by K. Thompson,,86-93,,
5:52.0,Turnover by D. Green (bad pass; steal by L. Babbitt),,86-93,,
5:28.0,,,86-93,,G. Dragic misses 2-pt shot from 8 ft (block by D. Green)
5:27.0,Defensive rebound by S. Curry,,86-93,,
5:15.0,K. Thompson misses 3-pt shot from 24 ft,,86-93,,
5:14.0,,,86-93,,Defensive rebound by H. Whiteside
5:08.0,,,86-93,,Miami full timeout
5:08.0,,,86-93,,D. Waiters enters the game for L. Babbitt
5:08.0,,,86-93,,J. Johnson enters the game for O. White
4:58.0,,,86-95,2,D. Waiters makes 2-pt shot from 10 ft
4:58.0,,,86-95,,Shooting foul by S. Livingston (drawn by D. Waiters)
